hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Diplomat Hotel Alice Springs,US$65,"6,8",Puntuación,1.975,https://cf.bstatic.com/xdata/images/hotel/max1024x768/92934480.webp?k=c4d9ce7ca2283b9c2a0840dbd4e0ba07fc4bbfee7bca5fbd81bf848af458ed91&o=,https://www.booking.com/hotel/au/diplomat-motel.es.html?aid=2410095,"Billar, Seguridad 24 horas, Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Zona de fumadores, Servicio de lavandería, Abierta todo el año, Restaurante, Eventos deportivos en directo (emisión), Habitaciones sin humo, Parking en la calle, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Utensilios de planchado, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Secador de pelo, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Aseo adicional, Aire acondicionado, Terraza, Karaoke, Canales vía satélite, Escritorio, Insonorización, Nevera, Extintores, Teléfono, Caja fuerte, Recepción 24 horas, Guardaequipaje, Almuerzos para llevar, Canales por cable, Tumbonas/sillas de playa, Servicio de conserjería, Cajero automático en el hotel, Desayuno en la habitación, Perchero, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Calefacción, Ropa de cama, Cafetería en el alojamiento, TV de pantalla plana, Barbacoa, Vino / champán, Bingo, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Servicio de traslado, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Llave de acceso, Adaptado personas de movilidad reducida, Parking gratis, Inglés, Entretenimiento nocturno, Para todas las edades, Piscina al aire libre, Jardín, Suelo de moqueta, Zona de estar",Alice Springs,Australia,"El Diplomat Hotel Alice Springs está ubicado en el centro de Alice Springs, a solo 3 minutos a pie del río Todd, y ofrece WiFi gratuita en todas las zonas y alojamiento con aire acondicionado y TV por cable. Cuenta con piscina al aire libre, zona de barbacoa y bar. Incluye 1 bebida de bienvenida.

El Diplomat Hotel Alice Springs se halla a 15 minutos en coche del aeropuerto de Alice Springs. El mirador de Anzac Hill, que ofrece vistas panorámicas a Alice Springs, queda a 20 minutos a pie.

Las habitaciones tienen escritorio, nevera, set de té y café y baño privado con artículos de aseo y secador de pelo.

El Diplomat Hotel Alice Springs dispone de jardín, zona de barbacoa, servicio de lavandería, mostrador de información turística y consigna de equipaje.

El restaurante Uncles Tavern sirve comidas de estilo bistró y una amplia gama de vino y cerveza. Además, el restaurante tiene varias TV de pantalla plana, karaoke y mesas de billar."
Alice's Secret Travellers Inn,US$23,"8,8",Fabuloso,1.020,https://cf.bstatic.com/xdata/images/hotel/max1024x768/121137721.webp?k=37adc903a603bee6fb142a3f30402d128e578ddccc334fe85ccd1595da4beb20&o=,https://www.booking.com/hotel/au/alice-s-secret-travellers-inn.es.html?aid=2410095,"Guardaequipaje, Tumbonas/sillas de playa, Alquiler de coches, Prohibido fumar en todo el alojamiento, Senderismo, Calefacción, Cámaras de seguridad fuera del alojamiento, Cocina compartida, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Sala de juegos, Llave de acceso, Aire acondicionado, Traslado aeropuerto, Juegos de mesa / puzles, Terraza, Registro de entrada / salida privado, Terraza / solárium, Barbacoa, Parking gratis, Alemán, Ciclismo, Habitaciones sin humo, Parking en la calle, Francés, Inglés, WiFi gratis, Información turística, Zona TV / salón de uso compartido, Detectores de humo, Papel higiénico, Baño compartido, WC, Extintores, Entrada privada, Piscina al aire libre, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Jardín, Servicio de traslado, Zona de pícnic, Equipamiento de juegos para exterior, Mobiliario exterior",Alice Springs,Australia,"El Alice’s Secret Travellers Inn se encuentra a 5 minutos a pie del centro de la ciudad y cuenta con piscina al aire libre, zona de barbacoa de uso gratuito, aparcamiento gratuito y alojamiento con aire acondicionado. Hay un bonito y exuberante jardín.

El pequeño y tranquilo Alice's Secret Travellers Hostel ofrece habitaciones privadas y compartidas. Todos incluyen ropa de cama y acceso a baño compartido.

El Secret Travellers Inn se encuentra a menos de 10 minutos a pie de los jardines botánicos de Alice Springs. El Alice Plaza y el Aboriginal Australia Art & Culture Centre se encuentran a 15 minutos a pie.

El mostrador de información turística del hotel puede organizar su próxima aventura en Alice Springs, como paseos en globo aerostático o un viaje a Uluru o a Westmacs."
YHA Alice Springs,US$20,"8,0",Muy bien,469,https://cf.bstatic.com/xdata/images/hotel/max1024x768/40357840.webp?k=0350c1a3785f0e3430fca0289cc4530f365d8f2e25e761fb5d04664d5b7f5d3c&o=,https://www.booking.com/hotel/au/alice-aprings-yha.es.html?aid=2410095,"Guardaequipaje, Senderismo, Fax / fotocopiadora, Calefacción, Taquillas, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Zona de fumadores, Ducha, Servicio de lavandería, Sala de juegos, Aire acondicionado, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Terraza, Adaptado personas de movilidad reducida, Barbacoa, Tarjeta de acceso, Alemán, Habitaciones sin humo, Inglés, Noches de cine, WiFi gratis, Eslovaco, Información turística, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Detectores de humo, Papel higiénico, Baño compartido, WC, Checo, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Jardín, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Mobiliario exterior",Alice Springs,Australia,"El YHA Alice Springs se encuentra en el centro de la ciudad, en un antiguo cine al aire libre, y ofrece alojamiento para mochileros con aire acondicionado. El establecimiento alberga una piscina y una zona de ocio al aire libre con una pantalla de cine original y una zona de barbacoa.

El mostrador de información turística puede organizar excursiones a la cordillera West MacDonnell, Ayers Rock y Kings Canyon. A solo 500 metros del YHA Alice Springs Backpackers Hostel hay una tienda de alimentación.

Hay habitaciones compartidas y privadas con 1 cama doble o 2 individuales. Todas las habitaciones incluyen luces de noche. Los huéspedes tienen acceso a una sala de juegos con TV de pantalla grande.

El YHA Alice Springs se encuentra a 2 km de la estación de tren de Alice Springs y a 15 km del aeropuerto de Alice Springs. El parque del desierto de Alice Springs, la Escuela del Aire y el Royal Flying Doctor Service están a 10 minutos en coche."
Desert Palms Alice Springs,US$98,"8,2",Muy bien,2.013,https://cf.bstatic.com/xdata/images/hotel/max1024x768/32561677.webp?k=3070bbe743fcf55625ea22da3fcfcb42d28e8c6ae040a5cb3e9adf7df4ecd94a&o=,https://www.booking.com/hotel/au/desert-palms-resort.es.html?aid=2410095,"Guardaequipaje, Supermercado pequeño en el alojamiento, Snack-bar, Tetera/cafetera en todas las habitaciones, Toallas, Tumbonas/sillas de playa, Senderismo, Baño privado, Toda la unidad en la planta baja, Fax / fotocopiadora, Vistas, Calefacción, Zona de cocina, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Patio, Tostadora, Llave de acceso, Aire acondicionado, Abierta todo el año, Toallas de playa/piscina, Sombrillas, TV de pantalla plana, Terraza, Adaptado personas de movilidad reducida, Microondas, Terraza / solárium, Barbacoa, Parking gratis, Utensilios de cocina, Valla alrededor de la piscina, Habitaciones sin humo, Vino / champán, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Balcón, Parking adaptado para personas de movilidad reducida, Información turística, Suelo de baldosa / mármol, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Entrada privada, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Jardín, Cámaras de seguridad en las zonas comunitarias, Piscina de agua salada, Filipino, Habitaciones familiares, Vietnamita, Zona de pícnic, Proporciona factura, Mobiliario exterior, Fruta",Alice Springs,Australia,"Desert Palms is a 3.5-star property offering individual studio villa accommodation, surrounded by tropical gardens and set around a crystal clear swimming pool with island and waterfall. Free WiFi is accessible throughout the property.

All villas at Desert Palms Alice Springs are air-conditioned and include bougainvillea-covered verandahs, private en suite bathrooms and kitchenette facilities.

Located on the banks of the Todd River, in the main accommodation centre of Alice Springs, Desert Palms is a 5-minute walk from Lasseters Casino, Alice Springs Convention Centre and the Alice Springs Golf Club.

There is a small kiosk and shop on-site, where food items and liquor can be purchased. Facilities include a guest laundry, BBQ area and secure off-street parking directly outside each villa.

Some of Alice Springs’ best restaurants are within metres of the Desert Palms, including the Golf Course Club House, Hanumans and The Deck Eatery and Bar. There are also 4 restaurants at Lasseters Casino."
Alice Lodge,US$26,"7,3",Bien,596,https://cf.bstatic.com/xdata/images/hotel/max1024x768/102140555.webp?k=b28188cf2a5efd4155ee416d98ace351ccb712ca89a42a8c816853eed8527431&o=,https://www.booking.com/hotel/au/alice-lodge-backpackers.es.html?aid=2410095,"Guardaequipaje, Toda la unidad en la planta baja, Fax / fotocopiadora, Toallas / sábanas (por un suplemento), Calefacción, Taquillas, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Zona de fumadores, Ducha, Ventilador, Servicio de lavandería, Aire acondicionado, Juegos de mesa / puzles, Polaco, Terraza / solárium, Barbacoa, Habitaciones sin humo, Inglés, WiFi gratis, Información turística, Parking privado, Zona TV / salón de uso compartido, Detectores de humo, Papel higiénico, Baño compartido, WC, Nevera, Extintores, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Jardín, Caja fuerte, Zona de pícnic, Proporciona factura, Mobiliario exterior",Alice Springs,Australia,"Debido a la extrema escasez de personal, nuestra recpetión es desatendida la mayoría del tiempo. El establecimiento cuenta con un sistema automático de registro de entrada automático las 24 horas.  Toda la información necesaria se envía 48 horas antes de la llegada Para cualquier pregunta o inquietud, por favor llámenos o envíenos un correo electrónico directamente.

Este albergue se encuentra a solo 10 minutos a pie del centro de Alice Springs y ofrece conexión Wi-Fi gratuita, piscina al aire libre y un parque en la parte delantera.

El Alice Lodge cuenta con cocina compartida totalmente equipada, zona de barbacoa, sala de TV y lavandería compartida. El establecimiento ofrece consigna de equipaje gratuita.

El Alice Lodge Alice Springs ofrece habitaciones privadas y compartidas. Todas las habitaciones incluyen aire acondicionado y nevera. El acceso a la zona de internet es gratuito.

El mostrador de información turística puede organizar paseos en camello al atardecer y excursiones a Uluru (Roca de Ayers). El establecimiento se encuentra a 5 minutos en coche del centro de reptiles de Alice Springs y a 5 minutos a pie de un supermercado, restaurantes y tiendas para llevar. El aeropuerto de Alice Springs está a 20 minutos en coche."
"Crowne Plaza Alice Springs Lasseters, an IHG Hotel",US$141,"7,7",Bien,1.700,https://cf.bstatic.com/xdata/images/hotel/max1024x768/246619119.webp?k=2f48e1bf868aca42c99fd7da837a487cc61ba46ccba4ca1df4d2577eb3e89218&o=,https://www.booking.com/hotel/au/lasseters-casino.es.html?aid=2410095,"Snack-bar, Seguridad 24 horas, Toallas, Servicio de habitaciones, Fax / fotocopiadora, Servicios de depilación, Zona de fumadores, Discoteca / DJ, Servicio de lavandería, Spa y centro de bienestar, Exfoliación corporal, Clases de yoga, Abierta todo el año, Sombrillas, Ascensor, Restaurante, Centro de negocios, Servicio de limpieza en seco, Casino, Habitaciones sin humo, Servicio de limpieza diario, Información turística, Hervidor eléctrico, WC, Buen desayuno, Secador de pelo, Alarma de seguridad, Prohibido fumar en todo el alojamiento, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Aire acondicionado, Terraza, Taquillas en el gimnasio / spa, Plancha para pantalones, Extintores, Campo de golf (a menos de 3 km), Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Almuerzos para llevar, Aeróbic, Tumbonas/sillas de playa, Bañera de hidromasaje / jacuzzi, Servicio de conserjería, Cajero automático en el hotel, Tratamientos faciales, Desayuno en la habitación, Sauna, Artículos de aseo gratis, Calefacción, Ropa de cama, Clases de fitness, Cafetería en el alojamiento, TV de pantalla plana, Alquiler de bicicletas, Zapatillas, Tarjeta de acceso, Tratamientos corporales, Masajes, Vino / champán, Salas de reuniones / banquetes, Manicura, WiFi gratis, Detectores de humo, Instalaciones de spa, Servicios de belleza, Cámaras de seguridad en las zonas comunitarias, Zona de spa / relajación, Habitaciones familiares, Servicio de planchado, Pedicura, Parking adaptado para personas de movilidad reducida, Entrenador personal, Ducha, Paquetes de spa / bienestar, Baño de vapor, Adaptado personas de movilidad reducida, Parking gratis, Inglés, Zona poco profunda, Para todas las edades, Registro de entrada y salida exprés, Piscina infantil, Piscina al aire libre, Jardín, Gimnasio, Proporciona factura",Alice Springs,Australia,"El Crowne Plaza Alice Springs Lasseters es un establecimiento de 4,5 estrellas situado a los pies de la majestuosa cordillera MacDonnell, en Alice Springs, y alberga habitaciones con balcón o patio. Ofrece WiFi gratuita, piscina climatizada, bañera de hidromasaje y centro de fitness y bienestar abierto las 24 horas.

El Crowne Plaza Alice Springs Lasseters está situado junto al centro de convenciones de Alice Springs y el campo de golf de Alice Springs. El parque Alice Springs Desert Park está a 15 minutos en coche.

Las habitaciones y las suites del Crowne Plaza Alice Springs Lasseters incluyen TV LCD por cable y películas.

El establecimiento alberga un casino, una sauna y un spa y centro de bienestar. También hay servicio de conserjería, mostrador de información turística y servicio de lavandería.

Además, ofrece 4 bares y 3 restaurantes, entre los que se encuentran el bar asador Juicy Rump, la enoteca y bar de tapas Tempo y el restaurante Tali, que sirve platos de la gastronomía australiana moderna con influencias del interior del país."
Mercure Alice Springs Resort,US$121,"7,4",Bien,857,https://cf.bstatic.com/xdata/images/hotel/max1024x768/376168750.webp?k=7ad60afcbeb384f45e67a3c93b1298cc977cf474b6822005ae6d106f24034be8&o=,https://www.booking.com/hotel/au/chifley-alice-springs-resort.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Lavamanos más bajo, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Servicio de lavandería, Chino, Toallas de playa/piscina, Abierta todo el año, Bar en la piscina, Ascensor, Restaurante, Japonés, Servicio de limpieza en seco, Parking en la calle, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Francés, Servicio de limpieza diario, Utensilios de planchado, Información turística, Máquina expendedora (bebidas), Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Buen desayuno, Secador de pelo, Zona de pícnic, Valla alrededor de la piscina, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Hindi, Aire acondicionado, Máquina expendedora (aperitivos), Terraza, Escritorio, Extintores, Nevera, Campo de golf (a menos de 3 km), Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Almuerzos para llevar, Tumbonas/sillas de playa, Cajero automático en el hotel, Desayuno en la habitación, Artículos de aseo gratis, Calefacción, Ropa de cama, TV de pantalla plana, Terraza / solárium, Tarjeta de acceso, Salas de reuniones / banquetes, Coreano, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Servicio de planchado, Parking adaptado para personas de movilidad reducida, WC elevado, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Llave de acceso, Adaptado personas de movilidad reducida, Radio, Parking gratis, Inglés, Registro de entrada y salida exprés, Vistas al jardín, Piscina al aire libre, Filipino, Jardín, Gimnasio, Suelo de moqueta, Zona de estar",Alice Springs,Australia,"El Mercure Alice Springs Resort está situado a orillas del río Todd y ofrece habitaciones modernas con WiFi gratuita a solo 5 minutos a pie del centro de Alice Springs. Este complejo galardonado cuenta con piscina, restaurante y bar de temporada.

Todas las habitaciones disponen de aire acondicionado, TV vía satélite, escritorio, minibar y baño privado. Las habitaciones deluxe ofrecen cafetera exprés de cápsulas y balcón con vistas al río.

El establecimiento cuenta con sala de fitness, servicio de lavandería y aparcamiento gratuito. Además, hay un mostrador de información turística. 

El restaurante Barra on Todd sirve un desayuno buffet completo y un menú a la carta para el almuerzo y la cena. El Barra Bar, situado junto a la piscina, ofrece una amplia variedad de cervezas, vinos y cócteles.

El Mercure Alice Springs Resort se encuentra a solo 10 minutos a pie de los jardines botánicos. El aeropuerto de Alice Springs está a 15 minutos en coche. El campo de golf de Alice Springs se encuentra a 3 minutos en coche."
Stay at Alice Springs Hotel,US$117,"7,1",Bien,1.117,https://cf.bstatic.com/xdata/images/hotel/max1024x768/428370394.webp?k=e449477b83201eae4d1217d70c1d0be2afe6432b05e1dbdc5138c19f7ad51bde&o=,https://www.booking.com/hotel/au/aurora-alice-springs.es.html?aid=2410095,"Guardaequipaje, Desayuno, Toallas, Servicio de despertador, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Calefacción, Ducha, Servicio de lavandería, Reloj despertador, Aire acondicionado, Ascensor, Restaurante, Terraza, Adaptado personas de movilidad reducida, Radio, Barbacoa, Parking gratis, Habitaciones sin humo, Inglés, WiFi gratis, Utensilios de planchado, Información turística, Detectores de humo, Papel higiénico, Armario, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Entrada privada, Secador de pelo, Campo de golf (a menos de 3 km), Jardín, Teléfono, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Alarma de seguridad, Caja fuerte, Zona de pícnic, Proporciona factura, Mobiliario exterior, Recepción 24 horas, Parking en un garaje",Alice Springs,Australia,"Stay at Alice Springs Hotel is the most centrally located accommodation in Alice Springs and the perfect place to stay for your true Outback holiday experience. Free Wi-Fi is provided for all guests.

Situated between the banks of the famous Todd River and Todd Mall, it's a popular choice with both holiday and business travellers. You're in the perfect position to explore both the town and the surrounding Outback areas.

Located in Todd Mall, a short walk from the hotel’s main building and overlooking Todd Mall in Alice Springs, Bella Alice Cafe & Restaurant is an excellent place for friends and families to enjoy a bite together. Enjoy a cup of our Segafredo Zanetti coffee, sit in for breakfast, lunch, dinner or grab a wood-fired pizza in our alfresco and watch the action unfold. Excellence is our guarantee, we are rated in the Australian Good Food Guide.

There is a refurbished reception, courtyard and pool/spa areas for our guests to enjoy. Undercover parking is available.

Nearby are the magnificent East and West MacDonnell Ranges featuring Simpsons Gap, Standley Chasm, Palm Valley and Trephina Gorge.

There is a refurbished reception, courtyard and pool/spa areas for our guests to enjoy. Undercover parking is subjected to availability."
DoubleTree by Hilton Alice Springs,US$139,"7,7",Bien,1.031,https://cf.bstatic.com/xdata/images/hotel/max1024x768/483811338.webp?k=0e47da69e5116e9c49b4ae00970f8cb5ca14de12324984e5fce0aa68643e2ad6&o=,https://www.booking.com/hotel/au/double-tree-alice-springs.es.html?aid=2410095,"Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Albornoz, Pista de tenis, Zona de fumadores, Servicio de lavandería, Chino, Toallas de playa/piscina, Proporciona factura, Abierta todo el año, Piscina climatizada, Ascensor, Restaurante, Japonés, 3 restaurantes, Centro de negocios, Servicio de limpieza en seco, Caja fuerte para ordenador portátil, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Peluquería / salón de belleza, Utensilios de planchado, Papel higiénico, Hervidor eléctrico, WC, TV, Buen desayuno, Secador de pelo, Zona de pícnic, Canales de pago, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Hindi, Aire acondicionado, Microondas, Equipamiento de tenis, Sofá cama, Canales vía satélite, Balcón, Escritorio, Ruso, Plancha para pantalones, Nevera, Extintores, Campo de golf (a menos de 3 km), Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Almuerzos para llevar, Canales por cable, Tumbonas/sillas de playa, Sauna, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Calefacción, Ropa de cama, TV de pantalla plana, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Coreano, WiFi gratis, Detectores de humo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Fruta, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Cocina, Vídeo, Ducha, Reloj despertador, Adaptado personas de movilidad reducida, Radio, Parking gratis, Inglés, Minibar, Registro de entrada y salida exprés, Piscina al aire libre, Jardín, Gimnasio, Suelo de moqueta, Zona de estar",Alice Springs,Australia,"El DoubleTree by Hilton Alice Springs ofrece habitaciones y suites reformadas con muebles y accesorios sofisticados, baños modernos, iluminación LED y Smart TV en el centro de Australia. El hotel está situado frente a la cordillera MacDonnell, a solo 15 km del aeropuerto de Alice Springs y a pocos pasos de la ciudad. Hay WiFi gratuita. 

El DoubleTree by Hilton Alice Springs cuenta con un centro de fitness abierto las 24 horas, 2 pistas de tenis, piscina climatizada al aire libre con vistas al exuberante jardín y un campo de golf de 18 hoyos situado al lado.

El restaurante Saltbush sirve un menú innovador que destaca la cocina australiana moderna. A su llegada al hotel, los huéspedes podrán disfrutar de una cálida y exclusiva galleta DoubleTree.

El establecimiento se encuentra a 10 minutos a pie del centro de convenciones de Alice Springs y cuenta con 5 salones de actos con zona de descanso al aire libre y servicio de catering fuera del establecimiento."
Kathys Place Bed and Breakfast,US$65,"8,6",Fabuloso,194,https://cf.bstatic.com/xdata/images/hotel/max1024x768/282398332.webp?k=3e97b2478328d691a709c27e1b919cb637eb13e72b8ecae668838a36d0b685b0&o=,https://www.booking.com/hotel/au/kathys-place-bed-and-breakfast-alice-springs2.es.html?aid=2410095,"Snack-bar, Seguridad 24 horas, Toallas, Toda la unidad en la planta baja, Servicio de habitaciones, Libros, DVD o música para niños, Zona de fumadores, Ventilador, Servicio de lavandería, Toallas de playa/piscina, Abierta todo el año, Sombrillas, Traslado aeropuerto, Zona de comedor, Fogones, Habitaciones sin humo, Parking en la calle, Cafetera, Chimenea exterior, Menús para dietas especiales (bajo petición), Buffet para niños, Servicio de limpieza diario, Utensilios de planchado, Información turística, Ping pong, Papel higiénico, Hervidor eléctrico, TV, Zona de comedor exterior, Secador de pelo, Sofá, Zona de pícnic, Valla alrededor de la piscina, Servicio de despertador, Suelo de moqueta, Menú para niños, Bañera de hidromasaje, Vistas, Mesa de comedor, Servicio de despertador / alarma, Tostadora, Aseo compartido, Desayuno fantástico, Aire acondicionado, Piscina con vistas, Juegos de mesa / puzles, Terraza, Microondas, Escritorio, Nevera, Extintores, Juguetes para la piscina, Campo de golf (a menos de 3 km), Horno, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Secadora de ropa, Tumbonas/sillas de playa, Cajero automático en el hotel, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Perchero, Cocina compartida, Calefacción, Ropa de cama, Cafetería en el alojamiento, Servicio de aparcacoches, Terraza / solárium, Barbacoa, Utensilios de cocina, Adaptado para sillas de ruedas, WiFi gratis, Barandillas de seguridad para bebés, Suelo de baldosa / mármol, Zona TV / salón de uso compartido, Lavadora, Detectores de humo, Baño compartido, Armario, Tetera / cafetera, Zona de spa / relajación, Habitaciones familiares, Bañera, Lavavajillas, Zona de juegos interior, Fruta, Parking adaptado para personas de movilidad reducida, Vistas a la piscina, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Cocina, Enchufe cerca de la cama, Ducha, Reloj despertador, Productos de limpieza, Llave de acceso, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Barandillas protectoras para bebés, Tendedero, Parking gratis, Vistas a un patio interior, Inglés, Zona poco profunda, Para todas las edades, Registro de entrada y salida exprés, Vistas al jardín, Piscina al aire libre, Jardín, Proporciona factura, Zona de estar",Alice Springs,Australia,"El Kathys Place Bed and Breakfast se encuentra en Alice Springs y ofrece piscina, salón compartido, jardín, vistas al jardín y alojamiento con conexión WiFi gratuita.

Los huéspedes tienen acceso a una zona de cocina totalmente equipada con lavavajillas, zona de estar, TV, lavadora y baño compartido con bañera de hidromasaje y secador de pelo. Hay microondas, nevera, horno, hervidor de agua y cafetera.

Este bed and breakfast sirve un desayuno continental o caliente todas las mañanas.

El Kathys Place Bed and Breakfast dispone de barbacoa y solárium.

El centro de convenciones de Alice Springs se encuentra a 5 km del alojamiento, mientras que el casino Lasseters está a 6 km. El aeropuerto más cercano es el de Alice Springs, situado a 17 km del Kathys Place Bed and Breakfast. El establecimiento ofrece un servicio gratuito de enlace con el aeropuerto."
