hotel,hotel_url,description,popular_facilities,highres_url,city,country
MAKTUB DEPARTAMENTOS Y HABITACIONES,https://www.booking.com/hotel/ar/maktub-departamentos-y-habitaciones.es.html?aid=2410095,"MAKTUB DEPARTAMENTOS Y HABITACIONES está en Alta Gracia, en la región de Provincia de Córdoba, y ofrece alojamiento con estacionamiento privado gratis.

Hay un baño privado totalmente equipado con bidet y artículos de aseo gratuitos.

En el aparthotel, la clientela puede practicar ciclismo en los alrededores o disfrutar del jardín.

Ayuntamiento está a 36 km del alojamiento, y Puente Uruguay está a 36 km. El aeropuerto (Aeropuerto Internacional Ingeniero Aeronáutico Ambrosio L. V. Taravella) está a 55 km, y el alojamiento ofrece servicio de transfer de pago para ir o volver del aeropuerto.","Baño privado, Seguridad las 24 horas, Campo de golf (a menos de 3 km), Calefacción, Traslados (aeropuerto), Cámaras de seguridad en exterior del alojamiento, Mobiliario exterior, Zona de fumadores, Ciclismo, Italiano, Proporciona factura, Extintores, Enchufe cerca de la cama, Cambio de moneda, Acceso con llave, Recepción 24 horas, Pileta al aire libre, Servicio de transfer, Tours a pie, Aire acondicionado, Cámaras de seguridad en áreas comunes, Habitaciones familiares, Ducha, Check-in/check-out privado, Sillas y reposeras, Español, Bidé, TV, Alquiler de bicicletas, Inglés, Servicio de lavandería, Servicio de streaming (ej.: Netflix), Artículos de tocador gratuitos, Senderismo, Bañera o ducha, Cancha de tenis, Papel higiénico, Estacionamiento gratuito, Wifi rápido gratis (69 Mbps), Pileta infantil, Jardín, Habitaciones para no fumadores, Servicio diario de limpieza, Tours en bici, Toallas, Información turística, Ropa de cama, Prohibido fumar en todo el establecimiento, Portugués, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518719224.jpg?k=defe5f48f40ee84c5d5a010b999931b84a1693838cc35520e50ebb3f70f299da&o=&hp=1,Altagracia de Orituco,Venezuela
Hotel Ritz,https://www.booking.com/hotel/ar/ritz-alta-gracia.es.html?aid=2410095,"El Hotel Ritz se encuentra en Alta Gracia y ofrece habitaciones cómodas con conexión de wifi gratis. La terminal de autobuses está situada a 1 km y el Museo del Che se halla a 900 metros del hotel.

Las habitaciones del Ritz Hotel cuentan con TV y baño privado con ducha. También hay servicio de lavandería.

El Hotel Ritz alberga un jardín y el personal puede proporcionar consejos para visitar los alrededores.

En el alojamiento hay estacionamiento gratuito.","Baño privado, Servicio de planchado, Calefacción, Zona TV/salón compartidos, Servicio de delivery de alimentos, Buen desayuno, Teléfono, Recepción 24 horas, Aire acondicionado, Habitaciones familiares, Español, TV, Inglés, Servicio de lavandería, Wifi gratis, Estacionamiento gratuito, Baño, Jardín, Servicio de conserjería, Servicio diario de limpieza, Desayuno en la habitación, Información turística, Salas de reuniones/banquetes, Balcón, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/202066393.jpg?k=d6ca6e6ec667e0bb23d146f93aedb345d66702b1d9c300b651dcaf44ec8eefff&o=&hp=1,Altagracia de Orituco,Venezuela
Buena Vista,https://www.booking.com/hotel/ar/buena-vista-alta-gracia.es.html?aid=2410095,"Buena Vista se encuentra en Alta Gracia y ofrece alojamiento con pileta privada y wifi gratis. Este departamento tiene acceso a un balcón.

Este departamento con aire acondicionado da a una terraza y cuenta con 1 dormitorio y cocina totalmente equipada.

Ayuntamiento está a 36 km del alojamiento, y Puente Uruguay está a 36 km. El aeropuerto más cercano (Aeropuerto Internacional Ingeniero Aeronáutico Ambrosio L. V. Taravella) está a 54 km del alojamiento.","Lavarropas, Cocina, Prohibido fumar en todo el establecimiento, Calefacción, Español, Desayuno, Balcón, Wifi gratis, Vista, Aire acondicionado, Pileta privada, Terraza, Pileta",https://cf.bstatic.com/xdata/images/hotel/max1024x768/544805955.jpg?k=df25adaca2a7716b319768c51538c81b18c130215c48b3c15b2cb92e5ae6c037&o=&hp=1,Altagracia de Orituco,Venezuela
Casa Pampa,https://www.booking.com/hotel/ar/monoambiente-con-patio-alta-gracia.es.html?aid=2410095,"El Monoambiente con patio se encuentra en Alta Gracia. Ofrece alojamiento con pileta privada y wifi gratis. Ofrece vistas al jardín.

Este departamento dispone de 1 dormitorio, TV de pantalla plana y cocina.","Cocina, Calefacción, Mobiliario exterior, Canales por cable, Canales vía satélite, Productos de limpieza, Lavavajillas, Pileta privada, Horno, Zona poco profunda, Wifi bueno gratis (39 Mbps), Acceso con llave, Heladera, Hidromasaje, Parrilla, Pileta al aire libre, Patio, Por temporada, Habitaciones familiares, Ducha, Vista al jardín, Entrada privada, Plancha para ropa, Español, TV, Kitchenette, Mesa de comedor, Servicio de streaming (ej.: Netflix), Bañera o ducha, Bañera, Papel higiénico, Baño, Jardín, Toallas, Información turística, Zona de comedor, Para todas las edades, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/481800047.jpg?k=847ba7a3744be6d11cb9ec8c01fcd0b95b38b07eb850d31457f005c166506fc5&o=&hp=1,Altagracia de Orituco,Venezuela
Departamento Alta Gracia,https://www.booking.com/hotel/ar/departamento-alta-gracia-alta-gracia1.es.html?aid=2410095,"Departamento Alta Gracia se encuentra en Alta Gracia, a 36 km de Ayuntamiento, a 37 km de Puente Uruguay y a 37 km de Reloj Cucú. Este departamento está a 41 km de Plaza España y a 42 km de Patio Olmos Shopping.

El departamento dispone de balcón, 1 dormitorio, sala de estar y cocina bien equipada con heladera y horno. Hay toallas y ropa de cama en el departamento.

Manzana Jesuítica está a 43 km del alojamiento, y Catedral de Córdoba está a 43 km. El aeropuerto más cercano (Aeropuerto Internacional Ingeniero Aeronáutico Ambrosio L. V. Taravella) está a 55 km.","Cocina, Calefacción, Hornalla, Utensilios de cocina, Productos de limpieza, Pava eléctrica, Perchero de barral, Horno, Enchufe cerca de la cama, Ventilador, Heladera, Parrilla, Español, Bidé, TV, Mesa de comedor, Inglés, Sofá cama, Bañera o ducha, Papel higiénico, Baño, Tostadora, Toallas, Acceso a pisos superiores solo por escalera, Ropa de cama, Zona de comedor, Prohibido fumar en todo el establecimiento, Balcón, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/505888572.jpg?k=7f3ad18829f27897a52269bd339a77826fb6a58dc816912f5d7052af3bc5e5f4&o=&hp=1,Altagracia de Orituco,Venezuela
Loma del Alto,https://www.booking.com/hotel/ar/loma-del-alto.es.html?aid=2410095,"El Loma del Alto se encuentra en Alta Gracia. Tiene vistas a la pileta.

El alojamiento está equipado con TV de pantalla plana. Se proporcionan toallas y ropa de cama.

El alojamiento sirve un desayuno continental.","Baño privado, Calefacción, Utensilios de cocina, Canales por cable, Pava eléctrica, Perchero de barral, Tetera/Cafetera, Desayuno, Ventilador, Cafetera, Heladera, Secador de pelo, Patio, Toallas/sábanas (cargos extra), Ducha, Radio, Vista al jardín, Español, Bidé, TV, Mesa de comedor, Servicio de streaming (ej.: Netflix), Artículos de tocador gratuitos, Wifi gratis, Bañera o ducha, Vista, Pileta, Papel higiénico, Estacionamiento gratuito, Baño, Armario, Lavarropas, Jardín, Microondas, Toallas, Ropa de cama, Vista a la pileta, Zona de comedor, Prohibido fumar en todo el establecimiento, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/502460913.jpg?k=2e54be7b691e263501af2a5f79c3bacc90c5fdb71bf3933e5e7bcac012f3a38a&o=&hp=1,Altagracia de Orituco,Venezuela
Complejo Arenas,https://www.booking.com/hotel/ar/complejo-arenas.es.html?aid=2410095,"Complejo Arenas se encuentra en Alta Gracia, a 37 km de Ayuntamiento, a 37 km de Puente Uruguay y a 37 km de Reloj Cucú, y ofrece patio. Este departamento está a 40 km de Plaza España y a 41 km de Patio Olmos Shopping.

El departamento dispone de balcón, 1 dormitorio, sala de estar y cocina bien equipada con heladera y horno. Hay toallas y ropa de cama en el departamento.

Manzana Jesuítica está a 42 km del alojamiento, y Catedral de Córdoba está a 42 km. El aeropuerto más cercano (Aeropuerto Internacional Ingeniero Aeronáutico Ambrosio L. V. Taravella) está a 51 km.","Baño privado, Independiente, Cocina, Calefacción, Hornalla, Utensilios de cocina, Zona de fumadores, Productos de limpieza, Perchero de barral, Zona de comedor exterior, Horno, Enchufe cerca de la cama, Ventilador, Heladera, Parrilla, Patio, Muebles de exterior, Ducha, Entrada privada, Español, Bidé, Kitchenette, Mesa de comedor, Inglés, Artículos de tocador gratuitos, Wifi gratis, Bañera o ducha, Papel higiénico, Armario, Jardín, Vista a un patio interno, Habitaciones para no fumadores, Tostadora, Toallas, Acceso a pisos superiores solo por escalera, Ropa de cama, Zona de comedor, Prohibido fumar en todo el establecimiento, Balcón, Portugués",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537040682.jpg?k=5a363d69718967680b6572a7c54e51aa503a438c689a289372086f0d82e9c74e&o=&hp=1,Altagracia de Orituco,Venezuela
Casa Olivia Habitación privada,https://www.booking.com/hotel/ar/casa-olivia-habitacion-privada.es.html?aid=2410095,"Casa Olivia Habitación privada, que tiene jardín, dispone de alojamiento en Alta Gracia con wifi gratis y vistas al jardín.

La habitación en casa privada dispone de TV de pantalla plana. Hay toallas y ropa de cama en la habitación en casa privada.","Baño privado, Calefacción, Pava eléctrica, Aire acondicionado, Habitaciones familiares, Ducha, Vista al jardín, Español, Bidé, Artículos de tocador gratuitos, Wifi gratis, Vista, Papel higiénico, Baño, Armario, Jardín, Habitaciones para no fumadores, Toallas, Ropa de cama, Prohibido fumar en todo el establecimiento, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547810090.jpg?k=712130d953907b858851c59cfd5d528c91b82fdf5085010c23a7d19c0ba5d413&o=&hp=1,Altagracia de Orituco,Venezuela
Howard Johnson Sierras Hotel y Casino Alta Gracia,https://www.booking.com/hotel/ar/howard-johnson-sierras-y-casino-alta-gracia.es.html?aid=2410095,"El Howard Johnson Sierras Hotel y Casino Alta Gracia se encuentra en Alta Gracia, a 700 metros de la Casa Museo del Che Guevara. El hotel tiene vistas a la montaña y ofrece pileta al aire libre de temporada, bar y restaurante. También facilita estacionamiento privado gratuito y WiFi gratuita en todo el recinto.

Todas las habitaciones de este hotel incluyen aire acondicionado, TV de pantalla plana, secador de pelo y artículos de aseo gratuitos.

El establecimiento dispone de recepción 24 horas.

El hotel cuenta con cancha de tenis y está a 44 km del aeropuerto Ambrosio L V Taravella.","Restaurante, Baño privado, Servicio a la habitación, Valla alrededor de la pileta, Calefacción, Casino, Canales por cable, Vista a la montaña, Escritorio, Pileta climatizada, Desayuno, Enchufe cerca de la cama, Servicio de despertador, Sauna, Teléfono, Abierta todo el año, Secador de pelo, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Adaptado para personas con movilidad reducida, Por temporada, Habitaciones familiares, Ducha, Acceso a pisos superiores mediante ascensor, Sillas y reposeras, Español, 2 piletas, Bidé, Gimnasio, TV, Servicio de despertador/Reloj despertador, Caja fuerte, Artículos de tocador gratuitos, Wifi gratis, Bañera o ducha, Vista, Pileta/toallones, Ping pong, Papel higiénico, Estacionamiento gratuito, Bañera, Alfombra, Sombrillas, Armario, Jardín, Camas extra largas (más de 2 metros), Baño público, Servicio diario de limpieza, Habitaciones para no fumadores, Toallas, Minibar, Guardaequipaje, Ropa de cama, Información turística, Salas de reuniones/banquetes, Para todas las edades, Prohibido fumar en todo el establecimiento, Balcón, Terraza, TV de pantalla plana, Estacionamiento adaptado para personas con movilidad reducida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/70840661.jpg?k=a0d80eff1e9d9de82d8d81a6a330eb1114043d8c02fcaa5df4433ea5fc0084b9&o=&hp=1,Altagracia de Orituco,Venezuela
Descanso de Liniers,https://www.booking.com/hotel/ar/descanso-de-liniers.es.html?aid=2410095,"Descanso de Liniers se encuentra en Alta Gracia, a solo 37 km de Ayuntamiento, y ofrece alojamiento con vistas al jardín, wifi gratis y estacionamiento privado gratis. Este bed and breakfast está a 37 km de Puente Uruguay y a 37 km de Reloj Cucú.

El bed and breakfast cuenta con TV de pantalla plana. Hay toallas y ropa de cama en el bed and breakfast.

Plaza España está a 43 km del alojamiento, y Patio Olmos Shopping está a 44 km. El aeropuerto más cercano (Aeropuerto Internacional Ingeniero Aeronáutico Ambrosio L. V. Taravella) está a 55 km del alojamiento.","Baño privado, Calefacción, Pava eléctrica, Escritorio, Tetera/Cafetera, Desayuno, Enchufe cerca de la cama, Acceso con llave, Ventilador, Toda la unidad está situada en planta baja, Ducha, Vista al jardín, Español, Bidé, TV, Artículos de tocador gratuitos, Wifi gratis, Vista, Papel higiénico, Estacionamiento gratuito, Armario, Jardín, Toallas, Ropa de cama, Prohibido fumar en todo el establecimiento, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567945766.jpg?k=0c7a5dca64ccfb5def11cf5a8b307a0b5418a43d8111eca10ddf32d63bd1adce&o=&hp=1,Altagracia de Orituco,Venezuela
