hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hacienda Turística La Morería,https://www.booking.com/hotel/ec/hacienda-turistica-la-moreria.es.html?aid=2410095,"Hacienda Turística La Morería está en Amaguaña, a 26 km de Teatro Bolívar, y dispone de alojamiento con centro de fitness, parking privado gratis, jardín y terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 27 km de Teatro Sucre.

En el hotel, cada habitación tiene balcón. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas unidades también cuentan con vistas a la montaña. En Hacienda Turística La Morería, las habitaciones disponen de ropa de cama y toallas.

Museo de Arte Colonial está a 28 km del alojamiento, y Parque El Ejido está a 28 km. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 47 km.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Recepción 24 horas, Inglés, Baño privado, Jardín, Armario, Traslado aeropuerto, Parking gratis, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Traslado aeropuerto (gratis), Zapatillas, Bañera de hidromasaje, Gimnasio, WC, Restaurante, Balcón, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530499885.jpg?k=b7b8c88605bd967bd498770535eb05697e746869a64c9bf84f3bcd3a03f55751&o=&hp=1,Amaguaña,Ecuador
Espacio Pueblo. Galería rural,https://www.booking.com/hotel/ec/espacio-pueblo-galeria-rural.es.html?aid=2410095,"Espacio Pueblo. Galería rural está en Amaguaña, a 25 km de Teatro Bolívar y a 26 km de Teatro Sucre. Ofrece alojamiento con wifi gratis y acceso a un jardín con terraza.

También hay nevera y hervidor.

Museo de Arte Colonial está a 27 km del alojamiento, y Parque El Ejido está a 28 km. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 46 km.","Inglés, Terraza, WC, Jardín, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, Zona de comedor, Parking gratis, Hervidor eléctrico, Bañera, Ropa de cama, Español, Nevera, Utensilios de cocina, WiFi gratis, Ducha, Papel higiénico, Mesa de comedor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/507087855.jpg?k=e219a2d43df92039d4d16b4218ba921074e2ea0e0e890dc3f5434758a0ca0736&o=&hp=1,Amaguaña,Ecuador
Palacio de Cristal,https://www.booking.com/hotel/ec/palacio-de-cristal.es.html?aid=2410095,"Palacio de Cristal está en Sangolquí, a 24 km de Teatro Bolívar y a 24 km de Teatro Sucre, y ofrece alojamiento con wifi gratis, jardín con terraza y vistas a la montaña.

Las unidades están equipadas con balcón y disponen de TV de pantalla plana y baño privado con secador de pelo. También hay nevera y hervidor.

Museo de Arte Colonial está a 25 km del alojamiento, y Parque El Ejido está a 26 km. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 38 km.","Secador de pelo, Terraza, Piscina, Calefacción, Baño privado, Jardín, Aire acondicionado, Tetera / cafetera, Parking gratis, WiFi gratis, Sauna, Mesa de comedor, Bañera de hidromasaje / jacuzzi, Hervidor eléctrico, Tetera/cafetera en todas las habitaciones, Zona de comedor, TV de pantalla plana, Balcón, Toallas, Español, Nevera, Utensilios de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/565412764.jpg?k=4b5551cdcd360b86cddd473df6d6966b1a52b002835b3c9ae7f0ff277edf3588&o=&hp=1,Amaguaña,Ecuador
Sueños del Valle,https://www.booking.com/hotel/ec/suenos-del-valle.es.html?aid=2410095,"Sueños del Valle está en Sangolquí, a 19 km de Teatro Bolívar, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y terraza. El alojamiento tiene un bar y un restaurante que sirve cocina americana. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable, cocina y zona de comedor. Algunas habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también incluyen vistas a la ciudad. En el hostal o pensión, cada habitación dispone de ropa de cama y toallas.

Sueños del Valle ofrece zona de juegos infantil.

Teatro Sucre está a 19 km del alojamiento, y Museo de Arte Colonial está a 20 km. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 37 km.","Terraza, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Suelo de madera o parquet, Vistas, Adaptado para sillas de ruedas, Recepción 24 horas, Inglés, Baño privado, Jardín, Extintores, Cocina, TV, Traslado aeropuerto, Vino / champán, Menú para niños, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, Patio, Ropa de cama, Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Cocina compartida, Mesa de comedor, Enchufe cerca de la cama, Proporciona factura, Detectores de humo, Zona de fumadores, Alquiler de coches, Bañera de hidromasaje / jacuzzi, Zona de pícnic, Mobiliario exterior, Canales por cable, Tours a pie, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Guardaequipaje, Utensilios de cocina, Servicio de lavandería, Salas de reuniones / banquetes, Zona de comedor exterior, Microondas, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Zona de comedor, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/120621358.jpg?k=20a2d1599d291c92bb3b6d46d8ba96bce5f2f15e5d9871ba8cd9ca8b57aa4e18&o=&hp=1,Amaguaña,Ecuador
El palacio de Cristal,https://www.booking.com/hotel/ec/el-palacio-de-cristal-sangolqui.es.html?aid=2410095,"El palacio de Cristal se encuentra a 24 km de Teatro Bolívar y ofrece alojamiento conjardín, terraza y cocina compartida. En el bed and breakfast, tanto el wifi como el parking privado son gratis.

Algunas unidades disponen de balcón y/o patio con vistas a la ciudad.

El desayuno diario ofrece opciones a la carta, continentales o americanas.

Teatro Sucre está a 24 km del alojamiento, y Museo de Arte Colonial está a 25 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 38 km.","Piscina interior, Desayuno, Terraza, Juegos de mesa / puzles, Horario de apertura, Habitaciones sin humo, Vistas, Inglés, Calefacción, Jardín, TV, Armario, Perchero, Parking gratis, Patio, WiFi gratis, Cocina compartida, Sauna, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de pícnic, Terraza / solárium, Zona de comedor, TV de pantalla plana, Balcón, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568633905.jpg?k=3b7557e338f5a316e94ca2190d5f8f95c139114e85e416aa90dbc2fa90d953fa&o=&hp=1,Amaguaña,Ecuador
Mansion Samzara Hosteleria,https://www.booking.com/hotel/ec/mansion-samzara-hosteleria.es.html?aid=2410095,"La Mansión Samzara Hostelería está situada en Sangolquí, a 1,3 km de la Escuela Politécnica del Ejército. Dispone de bañera de hidromasaje, sauna y restaurante. Se proporciona WiFi y aparcamiento privado, ambos de forma gratuita.

Todas las habitaciones incluyen TV. Algunas tienen una relajante zona de estar. También hay habitaciones con terraza o balcón. Todas disponen de baño privado con artículos de aseo gratuitos y secador de pelo.

La recepción abre las 24 horas.

El establecimiento tiene una mesa de billar. El aeropuerto internacional Mariscal Sucre de Quito queda a 24 km.","Secador de pelo, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Teléfono, Suelo de moqueta, Baño privado, Jardín, Centro de negocios, Extintores, Hipoalergénico, Instalaciones de spa, Equipamiento de juegos para exterior, Parking gratis, Ropa de cama, Servicio de habitaciones, Masaje de pies, Proporciona factura, Zona de juegos interior, Mobiliario exterior, Masaje de cabeza, Utensilios de planchado, Cubierta para piscina, Masaje de espalda, Servicio de entrega de comestibles, Cafetería en el alojamiento, Árabe, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Desayuno fabuloso, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Desayuno en la habitación, Salas de reuniones / banquetes, Baño de vapor, Masaje de cuello, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Juegos de mesa / puzles, Almuerzos para llevar, Caja fuerte, Masaje de manos, Parking en la calle, TV, Armario, Masajes, Servicio de traslado, Detectores de humo, Sauna, Karaoke, Bañera de hidromasaje / jacuzzi, Zona de pícnic, Barbacoa, Servicio de planchado, Guardaequipaje, WC, Francés, Toallas, Español, Zona de fumadores, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Recepción 24 horas, Inglés, Calefacción, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Registro de entrada / salida privado, Menús para dietas especiales (bajo petición), Fruta, Ducha, Servicio de despertador, Para todas las edades, Servicio de lavandería, Masaje corporal completo, Billar, Abierta todo el año, 2 piscinas, Zona poco profunda, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/83777563.jpg?k=a80f40a78f0edeb192083fa9dbe9a46d9e63b5e7cd90d3d1a8ae5a5815e4fce4&o=&hp=1,Amaguaña,Ecuador
HOTEL DEL RIVER MONUMENTO,https://www.booking.com/hotel/ec/del-river-monumento.es.html?aid=2410095,"HOTEL DEL RIVER MONUMENTO se encuentra en Sangolquí, a 21 km de Teatro Bolívar y a 21 km de Teatro Sucre. Ofrece alojamiento con restaurante y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento está a 22 km de Museo de Arte Colonial, a 23 km de Parque El Ejido y a 26 km de Parque La Carolina. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Todas las unidades disponen de baño privado con bañera o ducha y artículos de aseo gratuitos.

Estadio Olímpico Atahualpa está a 26 km del alojamiento, y Centro comercial Iñaquito está a 27 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 35 km.","Desayuno, Parking adaptado para personas de movilidad reducida, Bañera o ducha, Teléfono, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Extintores, TV, Traslado aeropuerto, Información turística, Parking gratis, Registro de entrada / salida privado, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Detectores de humo, Servicio de habitaciones, Mesa de comedor, Proporciona factura, Traslado aeropuerto (gratis), Servicio de planchado, Guardaequipaje, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/417398525.jpg?k=fb292caef288ed8ac052d2102d8e65e8c353bbb91fb9fd9af116528d2dc61299&o=&hp=1,Amaguaña,Ecuador
Hostal Zafiro,https://www.booking.com/hotel/ec/hostal-zafiro.es.html?aid=2410095,"Hostal Zafiro está en Sangolquí, a 23 km de Teatro Bolívar, y dispone de alojamiento con jardín, parking privado gratis y terraza. El alojamiento está a unos 23 km de Teatro Sucre, a 24 km de Museo de Arte Colonial y a 25 km de Parque El Ejido. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, mostrador de información turística y wifi gratis en todo el alojamiento.

Todas las habitaciones de este alojamiento están equipadas con zona de estar, TV de pantalla plana con canales vía satélite y caja fuerte. En el hostal o pensión, las habitaciones incluyen ropa de cama y toallas.

Parque La Carolina está a 28 km del alojamiento, y Centro comercial Iñaquito está a 29 km. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 37 km.","Secador de pelo, Terraza, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Caja fuerte, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Jardín, Extintores, TV, Traslado aeropuerto, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Registro de entrada / salida privado, Patio, Entrada privada, Ropa de cama, Servicio de traslado, WiFi gratis, Ducha, Detectores de humo, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Productos de limpieza, Zona de estar, WC, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/539415850.jpg?k=9063de64937c888b5ec8095c16aeb3222c835e53193d5134205ab743d31b5846&o=&hp=1,Amaguaña,Ecuador
HOSTAL ROCAFUERTE,https://www.booking.com/hotel/ec/hostal-rocafuerte.es.html?aid=2410095,"HOSTAL ROCAFUERTE está en Sangolquí, a 19 km de Teatro Bolívar, y dispone de mostrador de información turística, habitaciones libres de humo, terraza, wifi gratis en todo el alojamiento y bar. El alojamiento se encuentra a 19 km de Teatro Sucre, a 20 km de Museo de Arte Colonial y a 21 km de Parque El Ejido. El hostal o pensión tiene habitaciones familiares.

Todas las habitaciones de este alojamiento están equipadas con TV. Las habitaciones del alojamiento tienen baño privado y vistas a la ciudad.

En el hostal o pensión se puede disfrutar de un desayuno continental.

En la recepción se habla inglés y español, y el personal está dispuesto a ayudar en cualquier momento.

Parque La Carolina está a 24 km del alojamiento, y Estadio Olímpico Atahualpa está a 25 km. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 36 km.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Recepción 24 horas, Inglés, Calefacción, Baño privado, Extintores, TV, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Seguridad 24 horas, WiFi gratis, Ducha, Proporciona factura, WC, Cámaras de seguridad fuera del alojamiento, Bar, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524897289.jpg?k=2e6aecb497cdeaa8a9e2fa061b89a162ad1ca37df78d401726d4e977a6b37929&o=&hp=1,Amaguaña,Ecuador
Hostal La Suite,https://www.booking.com/hotel/ec/hostal-restaurante-la-suite.es.html?aid=2410095,"Hostal La Suite está en Sangolquí, a 19 km de Teatro Bolívar y a 19 km de Teatro Sucre. Ofrece alojamiento con terraza y wifi gratis, además de parking privado gratis. El alojamiento se encuentra a 20 km de Museo de Arte Colonial, a 21 km de Parque El Ejido y a 24 km de Parque La Carolina. El alojamiento dispone de recepción 24 horas, servicio de conserjería y servicio de organización de tours.

En el hostal o pensión, las habitaciones cuentan con escritorio, TV, baño privado, ropa de cama y toallas. Hostal La Suite ofrece algunas unidades con vistas a la ciudad, y todas cuentan con patio. En el alojamiento, las habitaciones incluyen zona de estar.

Estadio Olímpico Atahualpa está a 24 km del alojamiento, y Centro comercial Iñaquito está a 24 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 36 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Suelo de madera o parquet, Recepción 24 horas, Inglés, Baño privado, Hipoalergénico, Extintores, TV, Accesible para personas sordas, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Patio, Entrada privada, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, Ducha, Detectores de humo, Enchufe cerca de la cama, Proporciona factura, Wifi rápida gratis (105 Mbps), Mobiliario exterior, Productos de limpieza, Canales por cable, Habitaciones insonorizadas, Sofá, Zona de estar, Llave de acceso, Servicio de planchado, Camas extralargas (más de 2 metros), Escritorio, Habitaciones hipoalergénicas, Servicio de lavandería, WC, Terraza / solárium, Sofá cama, Cámaras de seguridad fuera del alojamiento, Habitaciones comunicadas disponibles, Toallas, Plancha para pantalones, Habitaciones familiares, Artículos de aseo gratis, Papel higiénico, Detector de monóxido de carbono, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/566284621.jpg?k=e10777343dc772355c96d1228403f2dbc096e1aa804dc279fcbd408f498c2ea2&o=&hp=1,Amaguaña,Ecuador
