hotel,hotel_url,description,popular_facilities,highres_url,city,country
Gran Hotel Napoleón,https://www.booking.com/hotel/ec/gran-napoleon.es.html?aid=2410095,"El Gran Hotel está ubicado en el centro de Ambato, a 50 metros de la iglesia de la Medalla Milagrosa. Este hotel ofrece WiFi gratuito y un salón para eventos.

Las habitaciones presentan una decoración moderna y disponen de TV de pantalla plana y baño privado.

Cuenta con recepción 24 horas.

El Gran Hotel se encuentra a 29 km de Baños y a 40 km de San Andrés.","Parking en un garaje, Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Servicio de planchado, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Servicio de despertador, Bañera o ducha, Armario, Papel higiénico, Servicio de lavandería, Detectores de humo, WiFi gratis, Inglés, Alarma de seguridad, WC, Canales por cable, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Español, Baño privado, Habitaciones sin humo, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Guardaequipaje, Escritorio, TV de pantalla plana, Buen desayuno, Ducha, Desayuno en la habitación, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/437249395.jpg?k=2bfb6bc3e9af6c1e9ae61432c227221ae2c5a957f5fcd96493ca4cea09b4dbfa&o=&hp=1,Ambato,Ecuador
Hotel Miraflores,https://www.booking.com/hotel/ec/miraflores-ambato123.es.html?aid=2410095,"Hotel Miraflores dispone de jardín, salón de uso común, terraza y restaurante en Ambato. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El bar es ideal para tomar algo.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. El baño privado está equipado con bañera o ducha, artículos de aseo gratuitos y secador de pelo.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 159 km.","Fruta, Menús para dietas especiales (bajo petición), Parking gratis, Servicio de limpieza diario, Buffet para niños, Terraza, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Bar, Detectores de humo, WiFi gratis, Inglés, Toallas / sábanas (por un suplemento), Menú para niños, Alarma de seguridad, Proporciona factura, Servicio de habitaciones, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Secador de pelo, Registro de entrada / salida privado, Desayuno fantástico, Español, Baño privado, Zona TV / salón de uso compartido, Vistas, Restaurante, Extintores, Recepción 24 horas, TV de pantalla plana, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/317952538.jpg?k=6e205454f91e09e4a3e358ed98ad8b8a8bd968581b4d45fa8fad71fbc2355064&o=&hp=1,Ambato,Ecuador
Hotel Florida,https://www.booking.com/hotel/ec/florida.es.html?aid=2410095,"Hotel Florida ofrece wifi gratis en todo el alojamiento y vistas al jardín en Ambato. Todas las opciones de alojamiento de este hotel de 4 estrellas tienen vistas a la ciudad, jardín y salón de uso común. Hay un restaurante de cocina americana y parking privado gratis.

En el hotel, todas las habitaciones cuentan con zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. Todas las unidades cuentan con nevera.

Hay opciones buffet o americanas de desayuno disponibles todos los días en Hotel Florida.

La clientela puede usar el centro de negocios o relajarse en la cafetería El personal de la recepción habla tanto inglés como español y puede ayudar a la clientela a planificar su estancia.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 158 km del alojamiento.","Parking en un garaje, Minibar, Prohibido fumar en todo el alojamiento, Vistas al jardín, Canales vía satélite, Eventos deportivos en directo (emisión), Plancha para pantalones, Servicio de planchado, Menús para dietas especiales (bajo petición), Parking gratis, Llave de acceso, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Servicio de despertador, Bañera o ducha, Zona de estar, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Caja fuerte, Servicio de entrega de comestibles, Acceso al salón executive, Detectores de humo, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Inglés, Toallas / sábanas (por un suplemento), Nevera, Menú para niños, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Libros, DVD o música para niños, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Cenas temáticas, Baño de vapor, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Secador de pelo, Cafetería en el alojamiento, Snack-bar, Registro de entrada / salida privado, Información turística, Centro de negocios, Productos de limpieza, Almuerzos para llevar, Español, Baño privado, Vistas a la ciudad, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Servicio de despertador / alarma, Guardaequipaje, Escritorio, TV de pantalla plana, Entrada privada, Buen desayuno, Ducha, Teléfono, Habitaciones familiares, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/160328655.jpg?k=343758d26d4969694481af3cf30b96ec257ccfd5b5b1883a6be2abac70cb742d&o=&hp=1,Ambato,Ecuador
Hotel de las Américas - Ambato,https://www.booking.com/hotel/ec/de-las-americas.es.html?aid=2410095,"El Hotel De Las Américas está situado a 750 metros del Parque de la Laguna y 2 km de la plaza principal de Ambato, y dispone de restaurante. Ofrece conexión WiFi gratuita en todas las instalaciones.

Las habitaciones cuentan con TV por cable. El baño privado tiene ducha, secador de pelo y artículos de aseo gratuitos.

En el Hotel de Las Américas hay recepción abierta las 24 horas, una terraza y un bar. Además, dispone de un salón compartido y mostrador de información turística. El establecimiento cuenta con aparcamiento gratuito.

El hotel está a 2 horas en coche del aeropuerto internacional Mariscal Sucre en Quito.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Vistas al jardín, Plancha para pantalones, Parking gratis, Aseo adicional, Perchero, Terraza, Toda la unidad en la planta baja, Mobiliario exterior, Detectores de humo, WiFi gratis, Baños públicos, Canales por cable, Canales de pago, Zona de fumadores, Terraza / solárium, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Centro de negocios, Vistas a la montaña, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Adaptado personas de movilidad reducida, Habitaciones familiares, Tarjeta de acceso, Fruta, Noches de cine, Traslado aeropuerto, Buffet para niños, Armario, Suelo de moqueta, Vistas a un lugar de interés, Alarma de seguridad, WC, Vino / champán, Galerías de arte temporales, Fax / fotocopiadora, Habitaciones sin humo, Buen desayuno, Parking adaptado para personas de movilidad reducida, Servicio de planchado, Servicio de limpieza diario, Barandillas protectoras para bebés, Salas de reuniones / banquetes, Zona de estar, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Servicio de lavandería, TV, Cámaras de seguridad fuera del alojamiento, Habitaciones comunicadas disponibles, Menú para niños, Snack-bar, Secador de pelo, Productos de limpieza, Baño privado, Vestidor, Adaptado para sillas de ruedas, Ducha, Capilla, Calefacción, Teléfono, Entretenimiento nocturno, Suelo de madera o parquet, Canales vía satélite, Zona de juegos interior, Menús para dietas especiales (bajo petición), Llave de acceso, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Inglés, Toallas / sábanas (por un suplemento), Alquiler de coches, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Información turística, Ascensor, Vistas a la ciudad, Cochecitos de bebé, Restaurante, Recepción 24 horas, Hipoalergénico, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/178331552.jpg?k=4a22b47bffeee5766e9772321c4dcf5126234d14e681290c39e7de1a63f9b9d5&o=&hp=1,Ambato,Ecuador
Jardines Ambato,https://www.booking.com/hotel/ec/apartahotel.es.html?aid=2410095,"Jardines Ambato dispone de jardín, salón de uso común, terraza y bar en Ambato. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis.

Todas las habitaciones están equipadas con baño privado, algunas ofrecen balcón y otras también disponen de vistas a la ciudad.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 159 km del alojamiento.","Prohibido fumar en todo el alojamiento, Desayuno, Llave de acceso, Traslado aeropuerto, Terraza, Caja fuerte, Seguridad 24 horas, Cocina compartida, Bar, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Gimnasio, Alarma de seguridad, Servicio de traslado, Proporciona factura, Portugués, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Información turística, Registro de entrada / salida privado, Jardín, Zona de fumadores, Juegos de mesa / puzles, Taquillas, Español, Baño privado, Habitaciones sin humo, Extintores, Zona TV / salón de uso compartido, Supermercado pequeño en el alojamiento, Recepción 24 horas, Francés, Guardaequipaje, Parking privado, Calefacción, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495180397.jpg?k=578da3c4ece5c10938d89d6a2dd466bde3d1fe1c5b5304eda995c5c0a5221dc4&o=&hp=1,Ambato,Ecuador
Colony Inn Hotel,https://www.booking.com/hotel/ec/colony-inn.es.html?aid=2410095,"Colony Inn Hotel se encuentra en Ambato. Este hotel de 3 estrellas ofrece salón de uso común y servicio de habitaciones. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, cada habitación cuenta con armario. En Colony Inn Hotel, todas las habitaciones cuentan con TV de pantalla plana y algunas también ofrecen vistas a la ciudad.

En la recepción 24 horas se habla inglés, español y italiano, y el personal está dispuesto a ayudar en cualquier momento.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 156 km.","Parking en un garaje, Utensilios de planchado, Desayuno, Parking gratis, Italiano, Terraza, Bañera o ducha, Armario, Papel higiénico, Detectores de humo, WiFi gratis, TV, Inglés, Suelo de moqueta, Canales por cable, Proporciona factura, Servicio de habitaciones, Toallas, Información turística, Productos de limpieza, Fax / fotocopiadora, Español, Habitaciones sin humo, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, TV de pantalla plana, Ducha, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/418516773.jpg?k=9f53ede483f85335f4be12e1a587073f5765d9ad6638b95ab2f72ff3eb42986c&o=&hp=1,Ambato,Ecuador
Hotel Ficoa,https://www.booking.com/hotel/ec/ficoa.es.html?aid=2410095,"Hotel Ficoa se encuentra en Ambato y ofrece alojamiento de 3 estrellas con jardín. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

En el hotel, cada habitación dispone de armario. Todas las habitaciones están equipadas con baño privado con ducha y artículos de aseo gratuitos. Las habitaciones incluyen TV de pantalla plana con canales por cable y caja fuerte.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 156 km del alojamiento.","Suelo de madera o parquet, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Muy buen desayuno, Parking gratis, Sombrillas, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Caja fuerte, Seguridad 24 horas, Armario, Habitaciones insonorizadas, Servicio de lavandería, Mobiliario exterior, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Zona de fumadores, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Cajero automático en el hotel, Fax / fotocopiadora, Almuerzos para llevar, Ascensor, Adaptado personas de movilidad reducida, Bañera, Español, Baño privado, Habitaciones sin humo, Vistas, Restaurante, Extintores, Supermercado pequeño en el alojamiento, Recepción 24 horas, TV de pantalla plana, Ducha, Desayuno en la habitación, Teléfono, Habitaciones familiares, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/345513361.jpg?k=08993dc732cdcdcd320cc7b0f9e741aee112c9a4d6d45849d23e5c5b79eace52&o=&hp=1,Ambato,Ecuador
Hotel Seny,https://www.booking.com/hotel/ec/seny-vip.es.html?aid=2410095,"Hotel Seny se encuentra en Ambato. Este hotel de 3 estrellas ofrece recepción 24 horas, servicio de conserjería y wifi gratis. Algunas habitaciones del alojamiento incluyen un patio con vistas a la ciudad.

En el hotel se sirve todos los días un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 158 km del alojamiento.","Parking en un garaje, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Parking gratis, Llave de acceso, Servicio de limpieza diario, Seguridad 24 horas, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Servicio de entrega de comestibles, Servicio de aparcacoches, Mobiliario exterior, Servicio de conserjería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Alarma de seguridad, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Información turística, Registro de entrada / salida privado, Cafetería en el alojamiento, Desayuno fantástico, Español, Máquina expendedora (bebidas), Extintores, Recepción 24 horas, Parking adaptado para personas de movilidad reducida, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/185575829.jpg?k=10960f1703e07b5dc784ce1753c153ee86a0889d598cded1c4dd3e85712056fb&o=&hp=1,Ambato,Ecuador
Hotel Golosone,https://www.booking.com/hotel/ec/golosone.es.html?aid=2410095,"Hotel Golosone tiene jardín, salón de uso común, terraza y restaurante en Ambato. Este hotel de 2 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El alojamiento dispone de servicio de conserjería y servicio de organización de tours.

En el hotel, todas las habitaciones están equipadas con armario. Las habitaciones del alojamiento tienen baño privado con bañera y artículos de aseo gratuitos, y también cuentan con vistas a la ciudad. En Hotel Golosone, cada habitación cuenta con TV de pantalla plana con canales vía satélite.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 158 km.","Parking en un garaje, Registro de entrada y salida exprés, Vistas al jardín, Canales vía satélite, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Utensilios de planchado, Plancha para ropa, Zona de comedor, Parking gratis, Entrenador personal, Llave de acceso, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Vistas a un patio interior, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Detectores de humo, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Suelo de moqueta, Toallas / sábanas (por un suplemento), Menú para niños, Baños públicos, Alarma de seguridad, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Registro de entrada / salida privado, Información turística, Bañera, Español, Baño privado, Vistas a la ciudad, Habitaciones sin humo, Vistas, Restaurante, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, TV de pantalla plana, Lavadora, Desayuno en la habitación, Desayuno fabuloso, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/140776238.jpg?k=e56dcd7d8fc02d88e42fe9d2e5c2ccb7200143ff35808e56ba66dd3453bc1a7a&o=&hp=1,Ambato,Ecuador
Floresta Inn Hotel,https://www.booking.com/hotel/ec/floresta-inn.es.html?aid=2410095,"Floresta Inn Hotel ofrece alojamiento en Ambato. Este alojamiento, que tiene recepción 24 horas, también ofrece restaurante. El hotel también dispone de wifi gratis y parking privado gratis.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Todas las habitaciones tienen baño privado con ducha y artículos de aseo gratuitos.

En el hotel se puede disfrutar de un desayuno continental.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 160 km.","Artículos de aseo gratis, Prohibido fumar en todo el alojamiento, Recepción 24 horas, Zona de comedor exterior, WiFi gratis, Español, Inglés, Guardaequipaje, Muy buen desayuno, TV de pantalla plana, Parking gratis, Baños públicos, WC, Ducha, Servicio de limpieza diario, Baño privado, Habitaciones familiares, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/427461888.jpg?k=768615ae2d781ebff5d81c64304c9cc0a445a7749a56f1660ae8ad232a6e0177&o=&hp=1,Ambato,Ecuador
