hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Pension Scherwirt,US$60,"8,9",Fabuloso,68,https://cf.bstatic.com/xdata/images/hotel/max1024x768/31926446.webp?k=6dee5c73b4ef0acc1aa860ab15af8ddea6867e6151076720f776290519687234&o=,https://www.booking.com/hotel/at/pension-scherwirt.es.html?aid=2410095,"Almuerzos para llevar, Toallas, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Senderismo, Baño privado, Calefacción, Cámaras de seguridad fuera del alojamiento, Ventilador, Ropa de cama, Ducha, Reloj despertador, Llave de acceso, Cubierta para piscina, Toallas de playa/piscina, Sombrillas, TV de pantalla plana, Terraza, Radio, Terraza / solárium, Parking gratis, Alemán, Valla alrededor de la piscina, Ciclismo, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Inglés, WiFi gratis, Servicio de limpieza diario, De temporada, Información turística, Máquina expendedora (bebidas), Escritorio, Desayuno fabuloso, Detectores de humo, Armario, WC, Extintores, Piscina al aire libre, Secador de pelo, Campo de golf (a menos de 3 km), Jardín, Alarma de seguridad, Caja fuerte, Suelo de moqueta, Mobiliario exterior",Andritz,Austria,"La Pension Scherwirt está situada en las afueras de Graz y cuenta con un jardín con piscina, ideal para refrescarse después de un largo día de turismo. Todas las habitaciones están equipadas con muebles modernos y conexión Wi-Fi gratuita. El centro de Graz se encuentra a 15-20 minutos en coche.

Todas las habitaciones cuentan con TV de pantalla plana y baño con ducha y secador de pelo.
Además, la Scherwirt Pension alberga una terraza donde se puede tomar el sol.

El establecimiento dispone de aparcamiento privado gratuito y se encuentra a 3 km de la autopista A9 y a 5 minutos en coche del campo de golf de Graz Andritz."
Schönes Apartment mit Aussicht über Graz,US$79,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/531248242.webp?k=ee27249938b790fd3c65760b2a53fa5d865be94ffe6cbf951ab8e3e2a34ad03f&o=,https://www.booking.com/hotel/at/schones-apartment-mit-aussicht-uber-graz.es.html?aid=2410095,"Toallas, Vistas a la ciudad, Prohibido fumar en todo el alojamiento, Plancha para ropa, Independiente, Bañera o ducha, Perchero, Cocina, Zona de cocina, Vistas, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Zona de fumadores, Calefacción, Videoconsola, Aseo adicional, Productos de limpieza, Suelo de madera o parquet, Aire acondicionado, Mosquitera, TV de pantalla plana, Terraza, Microondas, Zona de comedor, Radio, Tendedero, Utensilios de cocina, Parking gratis, Alemán, Habitaciones sin humo, Apartamento privado en edificio, Cafetera, Sofá cama, Canales vía satélite, Inglés, Holandés, WiFi gratis, Balcón, Barandillas de seguridad para bebés, Lavadora, Escritorio, Acceso a pisos superiores solo mediante escaleras, Insonorización, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Hipoalergénico, Secador de pelo, Sofá, Caja fuerte, Lavavajillas, Zona de estar",Andritz,Austria,"Schönes Apartment mit Aussicht über Graz, que cuenta con vistas a la ciudad, ofrece alojamiento con terraza y balcón a unos 5,2 km de Ayuntamiento de Graz. Este alojamiento con aire acondicionado está a 5,1 km de Torre del reloj de Graz y ofrece wifi gratis y parking privado en el propio alojamiento.

Este apartamento tiene 1 dormitorio, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

Catedral y Mausoleo está a 5,7 km del alojamiento, y Estación de tren Graz Central está a 5,8 km. El aeropuerto más cercano (Aeropuerto de Graz) está a 14 km."
Stoffbauer,US$71,"8,4",Muy bien,362,https://cf.bstatic.com/xdata/images/hotel/max1024x768/268314748.webp?k=588a2f0abb67b14a85f939dfbf4c8c9eab1f9901aa8512b526c1faf954dd87e3&o=,https://www.booking.com/hotel/at/gasthaus-stoffbauer.es.html?aid=2410095,"WC elevado, Almuerzos para llevar, Aeróbic, Prohibido fumar en todo el alojamiento, Senderismo, Menú para niños, Lavamanos más bajo, Fax / fotocopiadora, Zona de fumadores, Tours en bici, Llave de acceso, Estación de carga de vehículos eléctricos, Restaurante, Terraza, Alquiler de bicicletas, Adaptado personas de movilidad reducida, Habitaciones hipoalergénicas, Terraza / solárium, Eventos deportivos en directo (emisión), Parking gratis, Servicio de limpieza en seco, Alemán, Ciclismo, Habitaciones sin humo, Italiano, Zona de juegos para niños, Chimenea exterior, Vino / champán, Buffet para niños, Menús para dietas especiales (bajo petición), Equipamiento de juegos para exterior, Salas de reuniones / banquetes, Boles para mascotas, WiFi gratis, Servicio de limpieza diario, WC con barras de apoyo, Adaptado para sillas de ruedas, Tours a pie, Información turística, Ping pong, Cambio de moneda, Registro de entrada y salida exprés, Inglés, Desayuno fabuloso, Detectores de humo, Servicio de traslado, Extintores, Campo de golf (a menos de 3 km), Jardín, Habitaciones familiares, Caja fuerte, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Andritz,Austria,"El Stoffbauer es un hotel y restaurante tradicional de Estiria y se encuentra a las afueras de Graz, a 3,5 km del centro de la ciudad. Ofrece conexión Wi-Fi y aparcamiento privado gratuitos.

El restaurante del Stoffbauer sirve especialidades clásicas de Estiria, como pollo frito. También ofrece una gran selección de cervezas austriacas. En verano, los huéspedes pueden comer en el jardín, donde hay un parque infantil. La terraza ofrece vistas panorámicas a Graz y los alrededores.

El establecimiento ocupa un edificio de 300 años de antigüedad. Las habitaciones presentan una decoración individual con suelo de madera y disponen de baño con secador de pelo.

A 1,8 km hay una parada de autobús, mientras que la Universidad de Graz se encuentra a 1,5 km. En las inmediaciones hay numerosas rutas de senderismo y ciclismo."
Pension Günther,US$27,"4,0",Puntuación,183,https://cf.bstatic.com/xdata/images/hotel/max1024x768/282966524.webp?k=69eeb7f4725bceb35e0948d9432ff822f53345d62e7551845e86cf7b63dcb23b&o=,https://www.booking.com/hotel/at/pension-gunther.es.html?aid=2410095,"Guardaequipaje, Cesta para mascotas, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Baño privado, Solo para adultos, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Servicio de lavandería, Llave de acceso, Terraza, Registro de entrada / salida privado, Terraza / solárium, Barbacoa, Tarjeta de acceso, Alemán, Húngaro, Habitaciones sin humo, Chimenea exterior, Salas de reuniones / banquetes, Boles para mascotas, Inglés, WiFi gratis, Servicio de limpieza diario, De temporada, Registro de entrada y salida exprés, Detectores de humo, Extintores, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Jardín, Servicio de planchado, Alarma de seguridad, Zona de pícnic, Proporciona factura, Mobiliario exterior, Rumano",Andritz,Austria,"Pension Günther dispone de piscina de temporada al aire libre, jardín, terraza y bar en Graz. El alojamiento está a unos 5,9 km de Torre del reloj de Graz, a 6 km de Ayuntamiento de Graz y a 6,5 km de Catedral y Mausoleo. El hostal o pensión libre de humo cuenta con wifi gratis en todo el alojamiento.

Cada habitación está equipada con baño privado, y algunas también ofrecen cocina con nevera.

El hostal o pensión ofrece barbacoa.

Estación de tren Graz Central está a 6,6 km del alojamiento, y Ópera de Graz está a 6,8 km. El aeropuerto más cercano (Aeropuerto de Graz) está a 15 km del alojamiento."
"Apartment Graz-Ulrichsbrunn, free parking",US$127,"9,4",Fantástico,109,https://cf.bstatic.com/xdata/images/hotel/max1024x768/173114158.webp?k=05ba5b60ad6518bcbeff1c8d25477ec614460c685d64f1fa5ad57d6a74ed0114&o=,https://www.booking.com/hotel/at/apartment-graz-andritz.es.html?aid=2410095,"Toallas, Mantas eléctricas, Senderismo, Baño privado, Toda la unidad en la planta baja, Piragüismo, Albornoz, Pista de tenis, Libros, DVD o música para niños, Zona de fumadores, Tours en bici, Habitaciones hipoalergénicas, Zona de comedor, Instalaciones para deportes acuáticos en el alojamiento, Alemán, Fogones, Habitaciones sin humo, Cafetera, Chimenea exterior, Utensilios de planchado, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Secador de pelo, Sofá, Videojuegos, Videoconsola Xbox 360, Wifi rápida gratis (52 Mbps), Prohibido fumar en todo el alojamiento, Vistas, Mesa de comedor, Videoconsola, Tostadora, Videoconsola PS2, Suelo de madera o parquet, Juegos de mesa / puzles, Microondas, Ciclismo, Apartamento privado en edificio, Sofá cama, Canales vía satélite, Escritorio, Insonorización, Nevera, Extintores, Campo de golf (a menos de 3 km), Horno, Mobiliario exterior, Supermercado pequeño en el alojamiento, Secadora de ropa, Reproductor de Blu-ray, Canales por cable, Galerías de arte temporales, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Zona de cocina, Perchero, Calefacción, Ropa de cama, Reproductor de DVD, Estación de carga de vehículos eléctricos, TV de pantalla plana, Trona, Zapatillas, Utensilios de cocina, Equitación, Suelo de baldosa / mármol, Lavadora, Detectores de humo, Armario, Hipoalergénico, Ruta de bares, Tetera / cafetera, Habitaciones familiares, Lavavajillas, Plancha para ropa, Independiente, Cocina, Vídeo, Ducha, Enchufe cerca de la cama, Baños públicos, Productos de limpieza, Llave de acceso, Registro de entrada / salida privado, Radio, Servicio de streaming (como Netflix), Tendedero, Parking gratis, Vistas a un patio interior, Inglés, Tours a pie, Cama plegable, Vistas al jardín, Tiro con arco, Proporciona factura, Zona de estar",Andritz,Austria,"Apartment Graz-Ulrichsbrunn, free parking está en Graz, en la región de Estiria, y es un alojamiento de 5 estrellas que cuenta con wifi gratis. El apartamento, que tiene parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo y ciclismo.

El apartamento, que dispone de reproductor de Blu-ray, tiene una cocina con nevera, lavavajillas y horno, una sala de estar, una zona de comedor, 2 dormitorios y 1 baño con ducha. Hay TV de pantalla plana con canales vía satélite y videoconsola.

Torre del reloj de Graz está a 3,4 km del alojamiento, y Ayuntamiento de Graz está a 3,5 km. El aeropuerto más cercano (Aeropuerto de Graz) está a 12 km."
"ElegantLiving Graz, free parking",US$98,"9,4",Fantástico,5,https://cf.bstatic.com/xdata/images/hotel/max1024x768/514753372.webp?k=fe90c59d198362391e514e2db6226e4b7269269c832e1862d69e83f9d7163496&o=,https://www.booking.com/hotel/at/elegantliving-graz-free-parking.es.html?aid=2410095,"Toallas, Mantas eléctricas, Senderismo, Baño privado, Piragüismo, Pista de tenis, Libros, DVD o música para niños, Zona de fumadores, Tours en bici, Habitaciones hipoalergénicas, Zona de comedor, Instalaciones para deportes acuáticos en el alojamiento, Alemán, Fogones, Habitaciones sin humo, Cafetera, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Secador de pelo, Sofá, Prohibido fumar en todo el alojamiento, Vistas, Mesa de comedor, Tostadora, Suelo de madera o parquet, Juegos de mesa / puzles, Terraza, Microondas, Ciclismo, Apartamento privado en edificio, Sofá cama, Detector de monóxido de carbono, Canales vía satélite, Balcón, Tour o clase sobre cultura local, Escritorio, Insonorización, Nevera, Extintores, Campo de golf (a menos de 3 km), Horno, Mobiliario exterior, Secadora de ropa, Canales por cable, Galerías de arte temporales, Bañera o ducha, Artículos de aseo gratis, Perchero, Zona de cocina, Calefacción, Ropa de cama, Estación de carga de vehículos eléctricos, TV de pantalla plana, Trona, Zapatillas, Utensilios de cocina, WiFi gratis, Suelo de baldosa / mármol, Lavadora, Detectores de humo, Armario, Hipoalergénico, Tetera / cafetera, Habitaciones familiares, Lavavajillas, Habitaciones insonorizadas, Plancha para ropa, Cocina, Enchufe cerca de la cama, Ducha, Baños públicos, Productos de limpieza, Llave de acceso, Registro de entrada / salida privado, Radio, Servicio de streaming (como Netflix), Tendedero, Parking gratis, Vistas a un patio interior, Inglés, Tours a pie, Cama plegable, Vistas al jardín, Jardín, Tiro con arco, Proporciona factura, Zona de estar",Andritz,Austria,"ElegantLiving Graz, free parking, que tiene jardín y terraza, ofrece alojamiento en Graz con wifi gratis y vistas al jardín. El apartamento, que cuenta con parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo, piragüismo y ciclismo.

Este apartamento consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Torre del reloj de Graz está a 3,4 km del alojamiento, y Ayuntamiento de Graz está a 3,5 km. El aeropuerto más cercano (Aeropuerto de Graz) está a 12 km."
Suiten am Rosenberg,US$136,"8,4",Muy bien,19,https://cf.bstatic.com/xdata/images/hotel/max1024x768/311366692.webp?k=fd9e64d79c737055dbda22100b575e5efb822a457246147abedcb3ded61746bd&o=,https://www.booking.com/hotel/at/suiten-am-rosenberg.es.html?aid=2410095,"Toallas, Vistas a la montaña, Prohibido fumar en todo el alojamiento, Senderismo, Baño privado, Vistas, Cocina, Zona de cocina, Calefacción, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, TV de pantalla plana, Terraza, Zona de comedor, Terraza / solárium, Utensilios de cocina, Parking gratis, Alemán, Fogones, Habitaciones sin humo, Cafetera, Sofá cama, Canales vía satélite, Inglés, WiFi gratis, Acceso a pisos superiores solo mediante escaleras, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Vistas al jardín, Extintores, Tetera / cafetera, Sofá, Jardín, Habitaciones familiares, Zona de pícnic, Zona de estar",Andritz,Austria,"Suiten am Rosenberg se encuentra en Graz, a 3 km de Torre del reloj de Graz y a 3,5 km de Ayuntamiento de Graz, y ofrece alojamiento con wifi gratis, jardín con terraza y vistas a la montaña.

Cada unidad cuenta con sofá cama, zona de estar, TV de pantalla plana con canales vía satélite, cocina bien equipada y baño privado con ducha. También se ofrece nevera y fogones, además de cafetera y hervidor.

Catedral y Mausoleo está a 3,6 km del alojamiento, y Ópera de Graz está a 3,9 km. El aeropuerto más cercano (Aeropuerto de Graz) está a 12 km."
NOVAPARK Flugzeughotel Graz,US$107,"7,9",Bien,2.908,https://cf.bstatic.com/xdata/images/hotel/max1024x768/348895300.webp?k=67f056e434aa6c900e9f6a1877f39bc4e2d442630379084aa3c656f17d9e3302&o=,https://www.booking.com/hotel/at/novapark-graz-das-wohlfuhlhotel.es.html?aid=2410095,"Billar, Snack-bar, Toallas, Senderismo, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Pista de tenis, Zona de fumadores, 2 piscinas, Discoteca / DJ, Servicio de lavandería, Spa y centro de bienestar, Abierta todo el año, Sombrillas, Ascensor, Restaurante, Habitaciones hipoalergénicas, Eventos deportivos en directo (emisión), Servicio de limpieza en seco, Alemán, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Información turística, Ping pong, Máquina expendedora (bebidas), Acceso a pisos superiores en ascensor, Papel higiénico, WC, TV, Secador de pelo, Parking en un garaje, Prohibido fumar en todo el alojamiento, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Aire acondicionado, Máquina expendedora (aperitivos), Terraza, Horario de apertura, Taquillas en el gimnasio / spa, Ciclismo, Canales vía satélite, Parking privado, Escritorio, Extintores, Campo de golf (a menos de 3 km), Dardos, Teléfono, Caja fuerte, Mobiliario exterior, Guardaequipaje, Supermercado pequeño en el alojamiento, Tumbonas/sillas de playa, Bañera de hidromasaje / jacuzzi, Sauna, Desayuno en la habitación, Perchero, Solo para adultos, Calefacción, Ropa de cama, Sala de juegos, Estación de carga de vehículos eléctricos, Cafetería en el alojamiento, TV de pantalla plana, Alquiler de bicicletas, 2 restaurantes, Terraza / solárium, Tarjeta de acceso, Masajes, Vino / champán, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, Tarjetas de transporte público, Detectores de humo, Instalaciones de spa, Armario, Cámaras de seguridad en las zonas comunitarias, Zona de spa / relajación, Habitaciones familiares, Servicio de planchado, Zona de juegos interior, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Paquetes de spa / bienestar, Cubierta para piscina, Baño de vapor, Adaptado personas de movilidad reducida, Solárium, Música / espectáculos en directo, Inglés, Entretenimiento nocturno, Para todas las edades, Hammam, Proporciona factura, Desayuno fabuloso",Andritz,Austria,"The family-run NOVAPARK Flugzeughotel Graz is located in the north of Graz, 10 minutes away from the inner city. The hotel features 2 restaurants, 2 bars, a terrace, as well as a spa and wellness area. One of the restaurants and the Flieger Bar are situated in former aeroplanes on the roof.

All rooms and apartments are equipped with satellite TV, refrigerator, and a private bathroom with a hairdryer. Some units feature air conditioning and/or a balcony.

The 3,000 m² Nova-Spa - with a grandiose view over the rooftops of Graz - offers hotel and day guests, in addition to five saunas, swimming pool, hot tubs, relaxation areas and the salt oasis, exactly the right thing to do in search of relaxation and relaxation (spa area is textile and textile free and is permitted for children from 12 years with accompaniment). For families with children, our Family Spa is available in the basement.)

For an additional cost , guests can enjoy the GATE-08 Flight/Racing-Simulation Center and the the Gaming Zone with darts, billiards, pinball and rotary football. The 25m2  Indoor Playground can be used for free .

Breakfast is buffet style and is served in the Tafelzimmer restaurant with sun terrace. During the week, a buffet lunch is served in the Tafelzimmer restaurant. The Boeing restaurant at 22 metres altitude serves international and Austrian dishes. The 80er Flieger Bar & Restaurant also serves international food and selected 80s drinks in a cool atmosphere.

Pets are very welcome for a fee. Parking spaces on the site, the first three hours even free of charge."
apartmentHAUSmannstätten,US$65,"9,3",Fantástico,37,https://cf.bstatic.com/xdata/images/hotel/max1024x768/236585482.webp?k=77a7307115daf8484a23fee915e6f7c01e0f99e9298637aeaeb43c85f62bd66c&o=,https://www.booking.com/hotel/at/apartmenthausmannstatten-hausmannstatten1.es.html?aid=2410095,"Secadora de ropa, Toallas, Canales por cable, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Bañera o ducha, Perchero, Cocina, Ventilador, Zona de fumadores, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Calefacción, Cámaras de seguridad fuera del alojamiento, Suelo de madera o parquet, Aire acondicionado, Sombrillas, TV de pantalla plana, Terraza, Alquiler de bicicletas, Microondas, Zona de comedor, Registro de entrada / salida privado, Terraza / solárium, Tendedero, Utensilios de cocina, Parking gratis, Barbacoa, Alemán, Fogones, Habitaciones sin humo, Cafetera, Inglés, WiFi gratis, Utensilios de planchado, Balcón, Escritorio, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Entrada privada, Extintores, Zona de comedor exterior, Secador de pelo, Tetera / cafetera, Jardín, Habitaciones familiares, Caja fuerte, Proporciona factura, Mobiliario exterior, Zona de estar",Andritz,Austria,"ApartmentHAUSmannstätten está en Hausmannstätten, en la región de Estiria, a 13 km de Ópera de Graz. Ofrece alojamiento con wifi gratis, zona de barbacoa, jardín y parking privado gratis.

El apartamento ofrece balcón, zona de estar, TV de pantalla plana por cable, cocina totalmente equipada con nevera y microondas, y baño privado con ducha y secador de pelo. También hay fogones, además de cafetera y hervidor.

ApartmentHAUSmannstätten dispone de terraza.

Glockenspiel está a 13 km del alojamiento, y Landeszeughaus está a 13 km. El aeropuerto más cercano (Aeropuerto de Graz) está a 9 km."
Schlossberghotel,US$136,"9,1",Fantástico,1.271,https://cf.bstatic.com/xdata/images/hotel/max1024x768/22756230.webp?k=3e2e5eb4805b3670dcc3679a7b5433ca5f7c43caf2eb4aff4db70feddc0bbce7&o=,https://www.booking.com/hotel/at/schlossberg.es.html?aid=2410095,"Snack-bar, Baño privado, Servicio de habitaciones, Albornoz, Zona de fumadores, Servicio de lavandería, Clases de yoga, Toallas de playa/piscina, Sombrillas, Ascensor, Habitaciones hipoalergénicas, Servicio de limpieza en seco, Alemán, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Buffet para niños, Servicio de limpieza diario, Información turística, Secador de pelo, Alarma de seguridad, Valla alrededor de la piscina, Parking en un garaje, Prohibido fumar en todo el alojamiento, Servicio de entrega de comestibles, Cámaras de seguridad fuera del alojamiento, Bar, Piscina con vistas, Desayuno fantástico, Aire acondicionado, Suelo de madera o parquet, Terraza, Horario de apertura, Parking privado, Tour o clase sobre cultura local, Escritorio, Extintores, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Almuerzos para llevar, Tumbonas/sillas de playa, Galerías de arte temporales, Servicio de conserjería, Sauna, Desayuno en la habitación, Artículos de aseo gratis, Calefacción, Estación de carga de vehículos eléctricos, Cafetería en el alojamiento, Servicio de aparcacoches, Alquiler de bicicletas, Terraza / solárium, Vino / champán, Salas de reuniones / banquetes, WiFi gratis, Detectores de humo, Armario, Cámaras de seguridad en las zonas comunitarias, Zona de spa / relajación, Habitaciones familiares, Servicio de planchado, Servicio de traslado, Parking adaptado para personas de movilidad reducida, Fruta, Llave de acceso, Registro de entrada / salida privado, Barandillas protectoras para bebés, Boles para mascotas, Inglés, De temporada, Tours a pie, Para todas las edades, Registro de entrada y salida exprés, Piscina al aire libre, Jardín, Gimnasio",Andritz,Austria,"El Schlossberghotel, decorado con elementos de época y obras de arte, está situado a los pies del Schlossberg, en el centro histórico de la ciudad de Graz. El establecimiento ofrece WiFi gratuita en todas las instalaciones y dispone de sauna, gimnasio, piscina en la azotea con vistas a la ciudad y bar abierto las 24 horas.

Todas las habitaciones del Schlossberghotel cuentan con aire acondicionado, escritorio y baño con bañera. La mayoría ofrece vistas a los patios de ambiente romántico. También hay apartamentos elegantes con zona de cocina.

El Schlossberghotel proporciona aparcamiento subterráneo en garaje y al aire libre, ambos por un suplemento.

El aeropuerto de Graz y la autopista A2 están a solo 15 km. La plaza principal de Graz se encuentra a 3 minutos a pie."
