hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Plataneras Plaza,https://www.booking.com/hotel/co/plataneras-plaza.es.html?aid=2410095,"Hotel Plataneras Plaza se encuentra en Apartadó y ofrece bar. El hotel ofrece terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel, cada habitación está equipada con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones de este alojamiento incluyen aire acondicionado y armario.

En Hotel Plataneras Plaza se puede disfrutar de un desayuno americano.

En el alojamiento, la clientela puede disfrutar de bañera de hidromasaje.

El aeropuerto más cercano (Aeropuerto Antonio Roldán Betancur) está a 19 km del alojamiento.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Baños públicos, Bañera o ducha, Habitaciones sin humo, Teléfono, Recepción 24 horas, Ventilador, Baño privado, Centro de negocios, Aire acondicionado, TV, Armario, Perchero, Vídeo, Toda la unidad accesible en silla de ruedas, Entrada privada, Ropa de cama, Acceso a pisos superiores en ascensor, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Productos de limpieza, Servicio de despertador, Escritorio, Guardaequipaje, Salas de reuniones / banquetes, WC, Bar, TV de pantalla plana, Toallas, Habitaciones familiares, Servicio de despertador / alarma, Español, Ascensor, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/144638927.jpg?k=2123f2119dbf825524dde3b173b8f655785ec9983e25a6f87f4bbdace007869b&o=&hp=1,Apartadó,Colombia
HOTEL HABANA REAL,https://www.booking.com/hotel/co/habana-real.es.html?aid=2410095,"HOTEL HABANA REAL, que cuenta con terraza, se encuentra en Apartadó. Este hotel de 4 estrellas ofrece salón de uso común y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay un restaurante de cocina caribeña y parking privado gratis.

En el hotel, las habitaciones cuentan con escritorio y TV de pantalla plana. Algunas habitaciones también están equipadas con cocina con nevera. En HOTEL HABANA REAL, cada habitación tiene ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno americano.

En HOTEL HABANA REAL, la clientela puede disfrutar de sauna.

La recepción ofrece información sobre cómo y por dónde moverse en la zona.

El aeropuerto más cercano (Aeropuerto Antonio Roldán Betancur) está a 17 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Secador de pelo, Terraza, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Almuerzos para llevar, Teléfono, Habitaciones sin humo, Servicios de belleza, Recepción 24 horas, Ventilador, Baño privado, Aire acondicionado, Extintores, Instalaciones de spa, TV, Manicura, Armario, Traslado aeropuerto, Perchero, Vino / champán, Menú para niños, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Máquina expendedora (aperitivos), Servicios de maquillaje, Proporciona factura, Sauna, Mobiliario exterior, Canales por cable, Tarjeta de acceso, Peinado, Servicio de despertador, Escritorio, Servicio de lavandería, Salas de reuniones / banquetes, WC, Máquina expendedora (bebidas), Baño de vapor, Terraza / solárium, Exfoliación corporal, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Canales vía satélite, Restaurante, TV de pantalla plana, Pedicura, Toallas, Habitaciones familiares, Español, Minibar, Papel higiénico, Paquetes de spa / bienestar, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/169747877.jpg?k=6c6c2d9af3f46833c6b81599aeafd887c3f7bbc92cdb039df0882f728d3737dc&o=&hp=1,Apartadó,Colombia
Hotel Puerta del Sol de Uraba,https://www.booking.com/hotel/co/puerta-del-sol-de-uraba.es.html?aid=2410095,"Hotel Puerta del Sol de Uraba se encuentra en Apartadó y dispone de terraza. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

El aeropuerto más cercano (Aeropuerto Antonio Roldán Betancur) está a 19 km.","Terraza, Traslado aeropuerto, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Habitaciones familiares, Español, Recepción 24 horas, Inglés, WiFi gratis, Aire acondicionado, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538793430.jpg?k=32b32736bcba87640418fd6f416f4ce3e355fcbbb6c33b9310618225966ac1b8&o=&hp=1,Apartadó,Colombia
Hotel Las Molas,https://www.booking.com/hotel/co/las-molas.es.html?aid=2410095,"Hotel Las Molas ofrece alojamiento en Apartadó. Este hotel de 4 estrellas ofrece salón de uso común y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, las habitaciones disponen de armario. En Hotel Las Molas, todas las habitaciones están equipadas con escritorio y TV de pantalla plana, y algunas también ofrecen balcón. En el alojamiento, las habitaciones cuentan con ropa de cama y toallas.

En Hotel Las Molas se puede disfrutar de un desayuno americano.

El aeropuerto (Aeropuerto Antonio Roldán Betancur) está a 19 km.","Desayuno, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Baños públicos, Bañera o ducha, Habitaciones sin humo, Teléfono, Minibar, Recepción 24 horas, Ventilador, Baño privado, Hipoalergénico, Extintores, Aire acondicionado, TV, Parking, Armario, Menú para niños, Traslado aeropuerto, Información turística, Baño adicional, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Mobiliario exterior, Traslado aeropuerto (gratis), Productos de limpieza, Canales por cable, Habitaciones insonorizadas, Tarjeta de acceso, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Habitaciones hipoalergénicas, Escritorio, Guardaequipaje, Servicio de lavandería, WC, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Vistas a la ciudad, Nevera, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/367541056.jpg?k=7b9556420288cf05d7a50ff5e4d96a03e3d2913d7b890098395ae13ae3295f60&o=&hp=1,Apartadó,Colombia
Ayenda Torre 2,https://www.booking.com/hotel/co/karolina-torre-2.es.html?aid=2410095,"El Ayenda Torre 2 se encuentra en Apartadó, Antioquía.

Todas las habitaciones incluyen TV de pantalla plana, y hay algunas con zona de estar.

La recepción está abierta las 24 horas.

El aeropuerto Antonio Roldán está a 16 km del establecimiento.","Baños públicos, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Desayuno fabuloso, Ropa de cama, Fruta, WiFi gratis, Ducha, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Desayuno en la habitación, Llave de acceso, Servicio de despertador, Servicio de planchado, Escritorio, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/510789901.jpg?k=4b757c423991344c59f26cfaea21d97a48149096859f339c828439d7998efd05&o=&hp=1,Apartadó,Colombia
Hotel Emberá,https://www.booking.com/hotel/co/embera-medellin.es.html?aid=2410095,"Hotel Emberá se encuentra en Apartadó y ofrece bar. Este alojamiento ofrece restaurante, recepción 24 horas y mostrador de información turística, además de wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

En el hotel, cada habitación incluye balcón. En Hotel Emberá, cada habitación está equipada con aire acondicionado y baño privado.

En el alojamiento se sirve todos los días un desayuno americano.

El aeropuerto más cercano (Aeropuerto Antonio Roldán Betancur) está a 19 km del alojamiento.","Prohibido fumar en todo el alojamiento, Caja fuerte, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Información turística, Cámaras de seguridad en las zonas comunitarias, Muy buen desayuno, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Enchufe cerca de la cama, Llave de acceso, Servicio de despertador, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Balcón, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/450138586.jpg?k=eeb0a680ab69504b2e4b4ede08954fa42fcb9ca43c362c37b182563407c17bcd&o=&hp=1,Apartadó,Colombia
Ayenda Las 4 Estaciones,https://www.booking.com/hotel/co/las-4-estaciones.es.html?aid=2410095,"El Ayenda Las 4 Estaciones está situado en Cabo de Hornos, a 900 metros de la terminal de autobuses y a 5 minutos a pie del centro comercial Plaza del Río. Dispone de conexión Wi-Fi gratuita, recepción 24 horas, jardín y centro de negocios.

Las habitaciones del Ayenda Las 4 Estaciones gozan de un ambiente tranquilo y están equipadas con baño privado, minibar y TV de pantalla plana por cable.

El personal del Ayenda Las 4 Estaciones ofrece información turística sobre la zona. Además, hay aparcamiento privado gratuito.

El Ayenda Las 4 Estaciones se encuentra a 70 km de la playa de Necoclí y a 19 km del aeropuerto Antonio Roldán Betancourt.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Baños públicos, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Información turística, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Detectores de humo, Enchufe cerca de la cama, Llave de acceso, Servicio de despertador, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Ascensor, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/341460457.jpg?k=44e7feaee398ea231ee935ed6c0fa913cf3dcc9bbda5a3ec2613ffe570571751&o=&hp=1,Apartadó,Colombia
Hotel EGIPTO,https://www.booking.com/hotel/co/egipto.es.html?aid=2410095,"Hotel EGIPTO se encuentra en Apartadó. El hotel ofrece terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel, cada habitación tiene escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones de este alojamiento incluyen aire acondicionado y armario.

El aeropuerto más cercano (Aeropuerto Antonio Roldán Betancur) está a 19 km del alojamiento.","Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ventilador, Baño privado, Aire acondicionado, Armario, Perchero, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, Escritorio, WC, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/502472976.jpg?k=5d0813ef68b21fa0d13e8840615ddaa29574b39bda53436678ccc292ffcd03bd&o=&hp=1,Apartadó,Colombia
ibis Apartado,https://www.booking.com/hotel/co/ibis-apartado.es.html?aid=2410095,"El Ibis Apartado ofrece WiFi gratuita y habitaciones con aire acondicionado en Apartadó. También cuenta con recepción 24 horas y terraza.

Todas las habitaciones están equipadas con escritorio. El baño privado incluye ducha. Todas las habitaciones del Ibis Apartado están equipadas con TV y secador de pelo.

El establecimiento sirve un desayuno continental o buffet.

También hay mostrador de información turística, servicio de alquiler de coches y centro de negocios con prensa.","Secador de pelo, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Almuerzos para llevar, Baños públicos, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Inglés, WC elevado, Baño privado, Centro de negocios, Extintores, Aire acondicionado, TV, WC con barras de apoyo, Apoyo visual: carteles táctiles, Menú para niños, Perchero, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Ropa de cama, Servicio de traslado, Acceso a pisos superiores en ascensor, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Detectores de humo, Enchufe cerca de la cama, Proporciona factura, Música / espectáculos en directo, Alquiler de coches, Cuerda de emergencia en el baño, Mobiliario exterior, Buffet para niños, Habitaciones insonorizadas, Tarjeta de acceso, Llave de acceso, Eventos deportivos en directo (emisión), Servicio de planchado, Escritorio, Guardaequipaje, Servicio de despertador, Servicio de lavandería, Salas de reuniones / banquetes, WC, Apoyo visual: braille, Cámaras de seguridad fuera del alojamiento, Insonorización, Bar, Restaurante, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Español, Ascensor, Happy hour, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495963802.jpg?k=90442412411e8f2d98f4ec43768cb7b7c94c0250fb681221f00f174aab8deda5&o=&hp=1,Apartadó,Colombia
Hotel Anglo,https://www.booking.com/hotel/co/anglo.es.html?aid=2410095,"Hotel Anglo está en Apartadó y tiene salón de uso común, terraza, bar y wifi gratis en todo el alojamiento. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones cuentan con minibar.

En Hotel Anglo, la clientela puede disfrutar de bañera de hidromasaje.

El aeropuerto (Aeropuerto Antonio Roldán Betancur) está a 19 km.","Servicio de entrega de comestibles, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Baños públicos, Teléfono, Habitaciones sin humo, Muebles de exterior, Recepción 24 horas, Servicio de limpieza diario, Baño privado, Aire acondicionado, Extintores, TV, Parking, Armario, Perchero, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Muy buen desayuno, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Canales por cable, Tarjeta de acceso, Llave de acceso, Servicio de planchado, Servicio de despertador, Servicio de lavandería, WC, Zona de comedor exterior, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Zona de comedor, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Minibar, Papel higiénico, Fax / fotocopiadora, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/320778767.jpg?k=10e773184d77a6fd9deef5c92980229efd14dea383180edde615fd3bf206b0ff&o=&hp=1,Apartadó,Colombia
