hotel,hotel_url,description,popular_facilities,highres_url,city,country
ibis Aracaju,https://www.booking.com/hotel/br/ibis-aracaju.es.html?aid=2410095,"Ibis Aracaju, que cuenta con bar y vistas a la ciudad, se encuentra en Aracaju, a 13 min a pie de Centro comercial Jardins. Este hotel de 3 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. Este alojamiento libre de humo está a 2 km de Parque da Sementeira.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, todas las habitaciones están equipadas con ropa de cama y toallas.

En ibis Aracaju se puede disfrutar de un desayuno buffet.

El alojamiento cuenta con recepción 24 horas, centro de negocios y servicio de planchado.

Estación de autobús de Aracaju está a 13 min a pie del alojamiento, y RioMar Shopping está a 3,3 km. El aeropuerto más cercano (Aeropuerto de Santa María) está a 5 km del alojamiento.","Acceso a pisos superiores en ascensor, Playa, Bar, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Extintores, Restaurante, Ropa de cama, Toda la unidad accesible en silla de ruedas, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Menú para niños, Habitaciones hipoalergénicas, Centro de negocios, Caja fuerte, Vistas a la ciudad, Servicio de planchado, Ducha, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Eventos deportivos en directo (emisión), Almuerzos para llevar, Canales por cable, Seguridad 24 horas, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Aire acondicionado, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/307183921.jpg?k=2ccd47cf56e3db4cb2ec6adec5d02018e62e176bc94df1e0d6d3f68e598857f7&o=&hp=1,Aracaju,Brasil
ibis budget Aracaju,https://www.booking.com/hotel/br/ibis-budget-aracaju.es.html?aid=2410095,"El ibis budget Aracaju ofrece habitaciones con WiFi gratuita y se encuentra en Aracaju, a solo 1,4 km de la Praça de Eventos. El establecimiento está cerca de lugares de interés populares, como la zona Passarela do Caranguejo, el centro cultural y de arte Sergipe y la playa Atalaia. El establecimiento tiene salón común.

Todas las habitaciones del hotel están equipadas con TV de pantalla plana.

Todas las mañanas se sirve un desayuno buffet en el ibis budget Aracaju.

El establecimiento cuenta con centro de negocios. El personal de la recepción, abierta las 24 horas, habla inglés y portugués.

El centro comercial Riomar y la playa de Aruana se encuentran a 4,2 km del ibis budget Aracaju. El aeropuerto de Santa María, el más cercano, queda a 3 km.","Tumbonas/sillas de playa, Inglés, Playa, Tarjeta de acceso, Snack-bar, Abierta todo el año, TV de pantalla plana, Extintores, Restaurante, Ropa de cama, Escritorio, Información turística, Sombrillas, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Traslado aeropuerto, Piscina al aire libre, Servicio de conserjería, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Mobiliario exterior, WC elevado, TV, Prohibido fumar en todo el alojamiento, Habitaciones insonorizadas, Centro de negocios, Supermercado pequeño en el alojamiento, Ducha, Toallas, Gimnasio, Buen desayuno, Servicio de limpieza diario, Para todas las edades, Traslado aeropuerto (gratis), Canales por cable, WC con barras de apoyo, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Horario de apertura, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Lavamanos más bajo, Zona de spa / relajación, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/248087819.jpg?k=b4658a7f98ba833c724e02c5236ecf0ef02618dbcff2b972ba0257df5e4fa83f&o=&hp=1,Aracaju,Brasil
MK Express Hotel,https://www.booking.com/hotel/br/meps-executive.es.html?aid=2410095,"El MK Express Hotelis se encuentra a 4 km del centro de la ciudad de Aracaju. Hay conexión WiFi gratuita y aparcamiento gratuito.

Las habitaciones del MK Express Hotel disponen de TV vía satélite, aire acondicionado, teléfono y minibar. También incluyen balcón y zona de estar.

En la recepción se ofrece cada mañana una caja para llevar que incluye zumo, un sándwich y 2 piezas de fruta. El restaurante sirve café todos los días.

El MK Express Hotel está a 1,5 km de la estación de autobuses y a 8,5 km del aeropuerto.","Tumbonas/sillas de playa, Inglés, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Sombrillas, Adaptado personas de movilidad reducida, WiFi gratis, Vistas a la piscina, Enchufe cerca de la cama, Teléfono, Alarma de seguridad, TV, Prohibido fumar en todo el alojamiento, Español, Guardaequipaje, Canales vía satélite, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Buen desayuno, Solo para adultos, Adecuada para niños, Jardín, Canales por cable, Seguridad 24 horas, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Portugués, Piscina infantil, Horario de apertura, Recepción 24 horas, Toallas de playa/piscina, WC, Aire acondicionado, 2 piscinas, Habitaciones familiares, Taquillas, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/111260373.jpg?k=87c55fe3f81bf973bdda937141a0f522430b68d938748c1280239742717106f3&o=&hp=1,Aracaju,Brasil
Farol Plaza Hotel,https://www.booking.com/hotel/br/farol-plaza-aracaju12.es.html?aid=2410095,"Farol Plaza Hotel está en Aracaju, a 3 min a pie de Playa de Atalaia y a 600 metros de Praça de Eventos, Atalaia. Este hotel de 3 estrellas ofrece piscina al aire libre y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

En el hotel, cada habitación dispone de escritorio. Todas las habitaciones del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

Farol Plaza Hotel ofrece zona de juegos infantil.

Centro de arte y cultura Sergipe está a 9 min a pie del alojamiento, y RioMar Shopping está a 3,5 km. El aeropuerto (Aeropuerto de Santa María) está a 5 km.","Playa, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Escritorio, Zona de juegos para niños, Adaptado personas de movilidad reducida, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Prohibido fumar en todo el alojamiento, Ducha, Salas de reuniones / banquetes, Armario, Artículos de aseo gratis, Para todas las edades, Sala de juegos, Suelo de baldosa / mármol, WC con barras de apoyo, Servicio de habitaciones, Cafetería en el alojamiento, Baño privado, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, WC, Aire acondicionado, Lavamanos más bajo, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/362267475.jpg?k=bd3c0e03dac03f9b090676e291fe612ad8750af5eaef815e85aca1e3f60ab067&o=&hp=1,Aracaju,Brasil
NB Hoteis,https://www.booking.com/hotel/br/nb-hoteis.es.html?aid=2410095,"El NB Hoteis está situado en Aracaju, a 200 metros del centro comercial Jardins. Dispone de restaurante, aparcamiento privado gratuito y WiFi gratuita en todas las dependencias.

Las habitaciones incluyen aire acondicionado, TV de pantalla plana, minibar y baño privado.

El establecimiento ofrece recepción 24 horas y centro de fitness.

El NB Hoteis se encuentra a 800 metros del parque Sementeira y a 1,3 km del centro comercial Riomar. El aeropuerto de Santa María, el más cercano, queda a 4 km del NB Hoteis.","Acceso a pisos superiores en ascensor, Inglés, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Extintores, Desayuno fabuloso, Llave de acceso, Restaurante, Ropa de cama, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Servicio de despertador, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Centro de negocios, Caja fuerte, Vistas a la ciudad, Canales vía satélite, Ducha, Salas de reuniones / banquetes, Armario, Vistas, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Suelo de baldosa / mármol, Almuerzos para llevar, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Caja fuerte para ordenador portátil, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/112440517.jpg?k=ddacd9fbc6946a17272c15284a13c06999516a4a0ad73a62c4b678dc15575d7b&o=&hp=1,Aracaju,Brasil
Hotel Pousada do Sol,https://www.booking.com/hotel/br/pousada-do-sol.es.html?aid=2410095,"Just minutes from Atalaia beach, Pousada do Sol has a large garden with a swimming pool and sun deck. It offers modern rooms with free Wi-Fi.

Accommodation at Hotel Pousada do Sol is air conditioned and equipped with a fridge. Each unit features TV and a telephone. Some have balconies.

Each morning guests can enjoy a rich breakfast buffet, which includes fresh fruit, pastries, yoghurt and cereals. The on-site restaurant serves traditional Brazilian dishes, which can also be ordered straight to the room.

Pousada do Sol is located less than 10 minutes’ drive from the airport, Riomar Shopping and Convention Centre, and the Shopping Garden. The city centre can be reached within 15 minutes by car.","Tumbonas/sillas de playa, Inglés, Playa, Bar, Tarjeta de acceso, Abierta todo el año, Extintores, Restaurante, Ropa de cama, Escritorio, Sombrillas, Alquiler de coches, Zona de juegos para niños, Adaptado personas de movilidad reducida, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Zona poco profunda, Piscina al aire libre, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, WC elevado, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Español, Centro de negocios, Buffet para niños, Guardaequipaje, Ducha, Salas de reuniones / banquetes, Bar en la piscina, Armario, Toallas, Artículos de aseo gratis, Billar, Servicio de limpieza diario, Para todas las edades, Jardín, Suelo de baldosa / mármol, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Horario de apertura, Recepción 24 horas, Detectores de humo, Toallas de playa/piscina, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Zona de comedor exterior, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/106341368.jpg?k=6ce60ca7a4a1362dfcdc1b3b7b37b1b1326a7a4cf0f9a4c0b72e38022a5118e1&o=&hp=1,Aracaju,Brasil
Hotel Praia e Mar,https://www.booking.com/hotel/br/praia-e-mar.es.html?aid=2410095,"El Hotel Praia e Mar está situado en Aracuju, frente a la playa, y ofrece conexión Wi-Fi gratuita. Dispone de aire acondicionado y está rodeado de una gran variedad de restaurantes, bares y parques.

Las habitaciones son modernas y cuentan con TV por cable, minibar y escritorio. Presentan una decoración sencilla, con cortinas, y ofrecen ropa de cama blanca y baño privado.

Todas las mañanas el Praia e Mar sirve un desayuno bufé completo, en el que se ofrece una selección de platos tradicionales junto a una gran variedad de panes, frutas y dulces.

El hotel se encuentra a solo 5 km del centro comercial Riomar y de los restaurantes a su alrededor, así como a 5 km del aeropuerto internacional de Aracaju, que es de fácil acceso.","Playa, TV de pantalla plana, Servicio de lavandería, Extintores, Situado frente a la playa, Restaurante, Alquiler de coches, Adaptado personas de movilidad reducida, WiFi gratis, Teléfono, TV, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Buen desayuno, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/179536324.jpg?k=f9207aed841cf7005197896cacd221840b020a8e65da55d3cd31872488b8d4e8&o=&hp=1,Aracaju,Brasil
Pousada Águas Douradas,https://www.booking.com/hotel/br/pousada-aguas-douradas.es.html?aid=2410095,"La Pousada Aguas Douradas, situada a poca distancia a pie de las playas de Atalaia y Artistas, ofrece recepción 24 horas y conexión WiFi gratuita en todo el recinto. El establecimiento cuenta con instalaciones adaptadas para personas de movilidad reducida.

Las habitaciones de la Aguas Douradas son de estilo funcional y disponen de aire acondicionado, TV LED por cable de 32 pulgadas, minibar, ropero y baño privado con ducha de agua caliente.

El desayuno buffet diario se sirve en la sala de desayunos y consta de fruta fresca, pan y embutido variados y una selección de bebidas calientes y frías.

El establecimiento proporciona aparcamiento gratuito y está a 6 km de la estación de autobús Luis Garcia, del centro de la ciudad de Aracaju y del aeropuerto de Aracaju–Santa Maria.","TV de pantalla plana, Extintores, Ropa de cama, Productos de limpieza, Escritorio, Zona de fumadores, Alquiler de coches, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Alarma de seguridad, Servicio de despertador, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Canales vía satélite, Ducha, Armario, Toallas, Buen desayuno, Servicio de limpieza diario, Proporciona factura, Canales por cable, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Detectores de humo, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/355881962.jpg?k=6c36b3e26780b86f1b1dd93361fff9ac452f9ce85c87b3e90d4a6f18b1453e3e&o=&hp=1,Aracaju,Brasil
Anauê Pousada e Hostel,https://www.booking.com/hotel/br/anaue-hostel.es.html?aid=2410095,"El Anauê Hostel se encuentra en Aracaju, a 300 metros de la playa Praia de Atalaia. Hay conexión WiFi gratuita.

Las habitaciones son luminosas, presentan colores vivos y disponen de aire acondicionado y plancha. Algunas incluyen baño privado y otras tienen acceso a un baño compartido. Se proporcionan taquillas.

El Anauê Hostel ofrece recepción 24 horas, una tienda pequeña, consigna de equipaje, servicio de lavandería y una máquina expendedora.

El albergue está a 300 m de la zona de ocio y restauración de Passarela do Caranguejo. La terminal de autobuses de la ciudad también se encuentra a 300 metros. El aeropuerto internacional de Aracaju - Santa Maria se sitúa a 2,6 km.","Terraza, Playa, Inglés, Servicio de lavandería, Extintores, Desayuno fabuloso, Cocina compartida, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Alarma de seguridad, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Español, Guardaequipaje, Servicio de despertador / alarma, Armario, Servicio de limpieza diario, Portugués, Recepción 24 horas, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Aire acondicionado, Habitaciones familiares, Taquillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/141113488.jpg?k=de3bb204abc4f8030c3bdacdb037c99c4fd913af2ac2415aad88437c63bcded8&o=&hp=1,Aracaju,Brasil
Atalaia Apart Hotel,https://www.booking.com/hotel/br/atalaia-apart.es.html?aid=2410095,"El Atalaia está situado en Aracaju, a solo 2 calles del río Sergipe, y ofrece apartamentos modernos con conexión gratuita a internet.

Las habitaciones del Atalaia Apart Hotel son amplias y cuentan con suelo de baldosa blanco y obras de arte contemporáneo.  Todas tienen aire acondicionado y TV por cable.

Todos los días se sirve un desayuno bufé con fruta tropical en rodajas, huevos revueltos y panecillos de queso.  El restaurante sirve especialidades regionales y el bar ofrece una variedad de opciones informales.

El Atalaia Apart Hotel está a 5 km del centro comercial Jardins y a 3 km del aeropuerto de Santa María.  Dispone de aparcamiento gratuito. En la recepción podrá solicitar información sobre actividades de surf y snorkel.","Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Perchero, Adaptado personas de movilidad reducida, Registro de entrada / salida privado, Piscina al aire libre, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, WC elevado, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Salas de reuniones / banquetes, Servicio de limpieza diario, Gimnasio, Buen desayuno, Solo para adultos, Proporciona factura, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/285911586.jpg?k=1a7644a883ebe04ddc0346a6fb6ed1add86d6d054ee6c9241b37e1cd00be11ee&o=&hp=1,Aracaju,Brasil
