hotel,hotel_url,description,popular_facilities,highres_url,city,country
Loft novinho araxá,https://www.booking.com/hotel/br/loft-de-luxo-araxa.es.html?aid=2410095,"Loft novinho araxá está a 15 min a pie de Estación de autobús de Araxá y ofrece alojamiento con balcón y wifi gratis.

El alojamiento tiene aire acondicionado, zona de cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha y secador de pelo.

Estadio Municipal Fausto Alvim está a 1,7 km del alojamiento, y Centro de convenciones de Agenor Lemos está a 3,3 km. El aeropuerto (Aeropuerto de Araxa) está a 3 km.","TV de pantalla plana, Ropa de cama, Escritorio, Zona de comedor, Toda la unidad accesible en silla de ruedas, Perchero, WiFi gratis, Enchufe cerca de la cama, Adosado, Camas extralargas (más de 2 metros), Entrada privada, TV, Prohibido fumar en todo el alojamiento, Minibar, Microondas, Utensilios de cocina, Ducha, Mesa de comedor, Toallas, Suelo de baldosa / mármol, Proporciona factura, Nevera, Baño privado, Secador de pelo, Toda la unidad en la planta baja, WC, Accesible para personas sordas, Aire acondicionado, Habitaciones familiares, Portugués, Balcón, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/551050951.jpg?k=8515f0df9d518507df610ef177d71cb6bad120b7b5ee104cf3db052fec296edb&o=&hp=1,Araxá,Brasil
Hotel Nacional Inn Araxá Previdência,https://www.booking.com/hotel/br/nacional-inn-previdencia-araxa.es.html?aid=2410095,"El Nacional Inn Araxá Previdência está situado en el complejo turístico de Barreiro, a solo 8 km del centro de Araxá y a 12 km del aeropuerto de Araxá. Ofrece piscina al aire libre, gimnasio, sauna y WiFi gratuita.

Los alojamientos del Nacional Inn Araxá Previdência tienen suelo de baldosa moderno. Todas las habitaciones están equipadas con aire acondicionado, minibar y TV. Las cunas están sujetas a disponibilidad.

El Nacional Inn Araxá Previdência alberga un bar y un restaurante a la carta que sirve cocina regional. Todos los días se sirve un desayuno buffet que incluye fruta fresca, zumos, bollería y pan.

El Nacional Inn Araxá Previdência está a solo 300 metros de la fuente Dona Beja. Venga a disfrutar de una estancia cómoda y relajante con nosotros!","Pista de tenis, Tarjeta de acceso, Abierta todo el año, Extintores, Información turística, Ping pong, Adaptado personas de movilidad reducida, Piscina climatizada, Teléfono, Fruta, Alarma de seguridad, TV, Caja fuerte, Buffet para niños, Sauna, Salas de reuniones / banquetes, Para todas las edades, Sala de juegos, Jardín, Almuerzos para llevar, Música / espectáculos en directo, Tiro con arco, Piscina infantil, Zona de juegos interior, Recepción 24 horas, Habitaciones familiares, Portugués, Tumbonas/sillas de playa, Restaurante, Vistas al jardín, Escritorio, Vistas a un lugar de interés, Happy hour, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Bar en la piscina, Bidet, Artículos de aseo gratis, Billar, Alquiler de bicicletas, TV de pantalla plana, Ropa de cama, Zona de juegos para niños, Enchufe cerca de la cama, Baño de vapor, Menú para niños, Armario, Piscina en la azotea, Toallas, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Baño privado, Adaptado para sillas de ruedas, Ascensor, Zona TV / salón de uso compartido, WC, Personal de animación, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Bar, Tobogán de agua, Servicio de lavandería, Sombrillas, Menús para dietas especiales (bajo petición), WiFi gratis, Parking privado, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, Muy buen desayuno, Habitaciones hipoalergénicas, Centro de negocios, Vistas a un patio interior, Servicio de limpieza diario, Senderismo, Proporciona factura, Seguridad 24 horas, Vino / champán, Equipamiento de juegos para exterior, Aire acondicionado, 2 piscinas, Tours en bici, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/68930045.jpg?k=7ba753233cbf9da582737b0d079c22b0d41604daf4299a24c51589926a76a356&o=&hp=1,Araxá,Brasil
Hotel Dona Beja,https://www.booking.com/hotel/br/pousada-dona-beja.es.html?aid=2410095,"Este hotel está ubicado en Araxá y presenta una decoración de estilo neoclásico. Está rodeado de jardines y ofrece solárium con piscina, piscina cubierta, spa con bañera de hidromasaje, conexión WiFi gratuita y aparcamiento gratuito.

Las habitaciones del Pousada Dona Beja son de estilo clásico y están equipadas con aire acondicionado, minibar, TV por cable y baño privado con ducha.

El Hotel Pousada Dona Beja sirve un desayuno buffet a diario en su luminosa zona de comedor. Alberga un bar elegante y un restaurante de cocina regional e internacional.

El hotel está a 5 km del aeropuerto de Romeu Zema, a 10 minutos en coche de los baños de Araxá y a 3 km del centro de la localidad. Ofrece recepción 24 horas con servicio de lavandería.","Tumbonas/sillas de playa, Terraza, Bar, Tarjeta de acceso, Snack-bar, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Ropa de cama, Zona de fumadores, Sombrillas, Menús para dietas especiales (bajo petición), Zona poco profunda, WiFi gratis, Happy hour, Piscina climatizada, 3 piscinas, Baño de vapor, Barbacoa, Teléfono, Fruta, Fax / fotocopiadora, Cenas temáticas, Mobiliario exterior, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Terraza / solárium, Caja fuerte, Buffet para niños, Bañera o ducha, Guardaequipaje, Sauna, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de despertador / alarma, Armario, Piscina en la azotea, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Eventos deportivos en directo (emisión), Para todas las edades, Adecuada para niños, Jardín, Canales por cable, Desayuno en la habitación, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Vino / champán, Baños termales, Piscina infantil, Equipamiento de juegos para exterior, Recepción 24 horas, Toallas de playa/piscina, WC, Aire acondicionado, Zona de spa / relajación, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/33635640.jpg?k=830e61e62a1e333b90505cc48061901aae8d16cf64694fc9cbf876363bf9b24e&o=&hp=1,Araxá,Brasil
Plaza Inn Flat Araxá,https://www.booking.com/hotel/br/plaza-inn-flat-araxa.es.html?aid=2410095,"Este establecimiento se encuentra a 2 calles del Museo Dona Beja de Araxás. El Plaza Inn ofrece apartamentos con TV por cable, conexión a internet gratuita y terraza. Dispone de aparcamiento gratuito, gimnasio y piscina.

Las habitaciones del Plaza Inn Flat Araxá cuentan con aire acondicionado, sala de estar, minibar y escritorio.

El establecimiento cuenta con centro de negocios gratuito, sauna y sala de TV. Por las mañanas se sirve un desayuno buffet gratuito con bollería regional casera.

El Plaza Inn Flat ofrece un menú especial para el almuerzo y la cena con platos caseros, disponible las 24 horas.

El Plaza Inn Flat está situado en una zona céntrica, a 3 km del aeropuerto de Araxá y cerca de museos, iglesias históricas, tiendas y restaurantes.","Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Terraza, Inglés, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Ropa de cama, Sombrillas, Escritorio, Adaptado personas de movilidad reducida, Sofá, WiFi gratis, Baño de vapor, Zona de estar, Piscina al aire libre, Teléfono, Servicio de despertador, Mobiliario exterior, Muy buen desayuno, TV, Minibar, Español, Terraza / solárium, Centro de negocios, Piscina con vistas, Caja fuerte, Sauna, Guardaequipaje, Servicio de planchado, Ducha, Papel higiénico, Salas de reuniones / banquetes, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Suelo de baldosa / mármol, Canales por cable, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Portugués, Secador de pelo, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Cocina, Habitaciones sin humo, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/82578234.jpg?k=d7b7ad85c0fdc1bca3c18bc1f00a300ef56aaf65b681db07b4c29b70d8213728&o=&hp=1,Araxá,Brasil
Hotel Araxá,https://www.booking.com/hotel/br/oyo-araxa.es.html?aid=2410095,"Hotel Araxá está en Araxá, a 4 min a pie de Estadio Municipal Fausto Alvim y a 1,8 km de Centro de convenciones de Agenor Lemos. Este hotel de 2 estrellas ofrece bar y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. Este alojamiento libre de humo se encuentra a 1,8 km de Estación de autobús de Araxá.

En el hotel, las habitaciones tienen escritorio. En Hotel Araxá, todas las habitaciones disponen de TV de pantalla plana y algunas también ofrecen vistas a la ciudad. En el alojamiento, cada habitación incluye ropa de cama y toallas.

El personal de recepción puede ofrecer información sobre qué hacer por la zona.

El aeropuerto más cercano (Aeropuerto de Araxa) está a 4 km del alojamiento.","Bar, TV de pantalla plana, Extintores, Ropa de cama, Zona de fumadores, Escritorio, Toda la unidad accesible en silla de ruedas, Perchero, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Servicio de planchado, Ducha, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Suelo de baldosa / mármol, Proporciona factura, Parking gratis, Baño privado, Parking en un garaje, Portugués, Adaptado para sillas de ruedas, Recepción 24 horas, Máquina expendedora (bebidas), WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Taquillas, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/294905940.jpg?k=a0acc833f559ccc90fac6bfcefbecf44c9ad67c65c926be67ec2c6b5aa30698b&o=&hp=1,Araxá,Brasil
Hotel Cidade Araxá,https://www.booking.com/hotel/br/cidade-araxa.es.html?aid=2410095,"Este hotel se encuentra en el centro de Araxá, a 7 km de las aguas termales de Termas do Araxá. Ofrece habitaciones con aire acondicionado y WiFi gratuita. La recepción está abierta las 24 horas y hay aparcamiento gratuito.

Todas las habitaciones del Hotel Cidade Araxá cuentan con TV LCD, teléfono, escritorio y minibar. El baño es privado e incluye ducha.

El establecimiento sirve un desayuno buffet. De lunes a viernes se sirve un menú a la carta para la cena.

La terminal de autobuses de Araxá se encuentra a 1,5 km. Iglesia de São Sebastião y Museo de Arte Sacro El Hotel Cidade Araxá está a 1,3 km. La Universidad Uniaraxá está a 3,7 km. El aeropuerto más cercano es el de Araxa, ubicado a 5 km.","Inglés, Tarjeta de acceso, Servicio de lavandería, Extintores, Desayuno fabuloso, Llave de acceso, Menús para dietas especiales (bajo petición), Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Fax / fotocopiadora, Parking adaptado para personas de movilidad reducida, Prohibido fumar en todo el alojamiento, Español, Calefacción, Buffet para niños, Supermercado pequeño en el alojamiento, Servicio de planchado, Salas de reuniones / banquetes, Servicio de limpieza diario, Gimnasio, Seguridad 24 horas, Parking gratis, Baño privado, Recepción 24 horas, Ascensor, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/292098940.jpg?k=f2cac2ad90986c558e7cbbaef6d697bccfea97945ebaab511a6f04d0435a102f&o=&hp=1,Araxá,Brasil
Fenix Hotel Araxá,https://www.booking.com/hotel/br/fenix-araxa.es.html?aid=2410095,"El Fenix Hotel Araxá se encuentra a 6 km del centro de Araxá y ofrece habitaciones con aire acondicionado, salas de reuniones y conexión WiFi gratuita. El aparcamiento es gratuito.

Las habitaciones del hotel son modernas e incorporan conexión a internet, escritorio, TV de pantalla plana, minibar, ropa de cama y toallas.

El desayuno buffet se sirve por la mañanas en la sala de desayunos por un suplemento. Incluye una selección de fruta fresca, pan, embutidos y bebidas frías y calientes. A 3 minutos en coche, hay diversos sitios para comer.

El Fenix Hotel Araxá está a 3 km del aeropuerto Romeu Zema y a 5 km de la estación de autobuses de Araxá.","Tarjeta de acceso, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Escritorio, Zona de fumadores, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Centro de negocios, Caja fuerte, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Servicio de limpieza diario, Jardín, Proporciona factura, Suelo de baldosa / mármol, Canales por cable, Desayuno en la habitación, WC con barras de apoyo, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/305064113.jpg?k=2fed29a0bc51f7572cf1c1d2ca9398f191cf3aae221f2bd9703240309395e9dc&o=&hp=1,Araxá,Brasil
Ribeiro Suit's Hotel,https://www.booking.com/hotel/br/ribeiro-suit-39-s.es.html?aid=2410095,"Ribeiro Suit's Hotel está en Araxá, a 3,3 km de Estación de autobús de Araxá, y ofrece vistas al jardín. Este hotel de 3 estrellas ofrece jardín y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de recepción 24 horas.

En el hotel, cada habitación está equipada con armario y TV de pantalla plana. En Ribeiro Suit's Hotel, las habitaciones incluyen ropa de cama y toallas.

Estadio Municipal Fausto Alvim está a 3,2 km del alojamiento, y Centro de convenciones de Agenor Lemos está a 2,9 km. El aeropuerto (Aeropuerto de Araxa) está a 6 km.","TV de pantalla plana, Extintores, Ropa de cama, Zona de fumadores, Vistas al jardín, Toda la unidad accesible en silla de ruedas, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada / salida privado, Baños públicos, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Bañera o ducha, Ducha, Papel higiénico, Servicio de despertador / alarma, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Proporciona factura, Cafetería en el alojamiento, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Toda la unidad en la planta baja, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495874710.jpg?k=8069e5aaa1af4239656265ab5cc3c3a6c85a801eabb51ce941cecd91cca56193&o=&hp=1,Araxá,Brasil
Carlton Plaza Torre,https://www.booking.com/hotel/br/da-torre.es.html?aid=2410095,"El Carlton Plaza Torre se encuentra en Araxá. Cuenta con conexión WiFi gratuita.

Todas las habitaciones tienen minibar y TV vía satélite. El baño privado está equipado con ducha. Hay canales por cable.

El Carlton Plaza Torre dispone de recepción 24 horas y terraza. Cuenta con instalaciones para reuniones y consigna de equipaje. Asimismo, se proporciona servicio de planchado. El establecimiento tiene aparcamiento gratuito.

El hotel se halla a 2,2 km de la estación de autobuses de Araxá, a 500 metros del estadio municipal Fausto Alvim y a 600 metros del centro de convenciones Agenor Lemos.","TV de pantalla plana, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Entrada privada, TV, Prohibido fumar en todo el alojamiento, Minibar, Bañera o ducha, Ducha, Servicio de despertador / alarma, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Canales por cable, Parking gratis, Baño privado, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ascensor, WC, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/407848570.jpg?k=cde1a726f0dfa173287865a552de231c090195de6172ff65ca7e604a25875491&o=&hp=1,Araxá,Brasil
Carlton Express Imbiara,https://www.booking.com/hotel/br/carlton-express-imbiara.es.html?aid=2410095,"Carlton Express Imbiara se encuentra en Araxá, a 1,7 km de Estación de autobús de Araxá, y ofrece alojamiento con wifi gratis y parking privado gratis. Este hotel de 2 estrellas ofrece recepción 24 horas. Este alojamiento libre de humo está a 4 min a pie de Estadio Municipal Fausto Alvim.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, cada habitación está equipada con ropa de cama y toallas.

Centro de convenciones de Agenor Lemos está a 19 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto de Araxa) está a 4 km del alojamiento.","Parking gratis, Portugués, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Ventilador, Toallas, Artículos de aseo gratis, Ropa de cama, Recepción 24 horas, WC, Habitaciones familiares, Desayuno, TV, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/536566129.jpg?k=27970e6362d87f5a3e00feef678a2352a19dccb483c19ca6f417deedf66ec911&o=&hp=1,Araxá,Brasil
