hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Asatryan’s Guest House,US$22,"9,0",Fantástico,4,https://cf.bstatic.com/xdata/images/hotel/max1024x768/470394539.webp?k=b9ce16562fd4c5738f3d004ef82ab65b84ab12d745ba0e7ea801cd05338f3625&o=,https://www.booking.com/hotel/am/asatryans-guest-house.es.html?aid=2410095,"Ruso, Ducha, Desayuno, Terraza, Jardín, Parking gratis, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, WC, Toallas, Inglés, WiFi gratis, Papel higiénico, Zapatillas",Armavir,Armenia,"Asatryan’s Guest House está en Vagharshapat, a 11 km de Catedral de Ejmiatsin, y dispone de alojamiento con jardín, parking privado gratis y terraza. El alojamiento está a unos 30 km de Plaza de la República, a 31 km de Teatro de la Ópera y el Ballet de Armenia y a 29 km de Fábrica de Brandy Yerevan. El hostal o pensión libre de humo dispone de wifi gratis en todo el alojamiento.

Blue Mosque está a 29 km del alojamiento, y Museo Sergei Parajanov está a 30 km. El aeropuerto (Aeropuerto Internacional de Zvartnots) está a 17 km."
Pool House,US$87,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/502308005.webp?k=16790f5d05de6231520933d688a55d55e34f2c49994c9512e27ab2efaa3efada&o=,https://www.booking.com/hotel/am/pool-house.es.html?aid=2410095,"Vistas al jardín, Ruso, Piscina, TV de pantalla plana, Terraza, Jardín, Parking gratis, Calefacción, Aire acondicionado, Cocina, Inglés, WiFi gratis, Vistas, Piscina privada",Armavir,Armenia,"Pool House, que cuenta con terraza, ofrece alojamiento en Tsakhkunk con wifi gratis y vistas al jardín. Esta villa dispone de piscina privada, jardín y parking privado gratis.

Esta villa de 2 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.

Catedral de Ejmiatsin está a 3,9 km del alojamiento, y Plaza de la República está a 23 km. El aeropuerto más cercano (Aeropuerto Internacional de Zvartnots) está a 10 km del alojamiento."
OUR House,US$36,"9,6",Excepcional,89,https://cf.bstatic.com/xdata/images/hotel/max1024x768/476286691.webp?k=1abf0ea37422aa68ca4cd25b9ddf831caf83a78ab19c784ca7a728a67aa708cd&o=,https://www.booking.com/hotel/am/our-house-vagarshapat.es.html?aid=2410095,"Vestidor, Ducha, Productos de limpieza, Zona de estar, Ruso, Desayuno, Terraza, Jardín, Perchero, Bañera, TV de pantalla plana, Zona TV / salón de uso compartido, Zona de pícnic, Papel higiénico, Chimenea exterior, Bañera o ducha, Juegos de mesa / puzles, Entrada privada, Zapatillas, Escritorio, Secador de pelo, Tetera / cafetera, Plancha para ropa, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, Cocina, Proporciona factura, Zona de comedor exterior, Chimenea, Aire acondicionado, Armenio, WiFi gratis, Tetera/cafetera en todas las habitaciones, Nevera, Utensilios de planchado, Mosquitera, Libros, DVD o música para niños, Fogones, Bar, Mesa de comedor, Baño privado, Enchufe cerca de la cama, Aseo adicional, Habitaciones familiares, Toallas, Inglés, Lavadora, Traslado aeropuerto, Utensilios de cocina, Ventilador, Vistas, Insonorización, Mobiliario exterior, Armario, Habitaciones sin humo, Sofá, Cocina compartida, Tendedero, Parking gratis, Hervidor eléctrico, Zona de cocina, WC, Horno, Minibar, Servicio de traslado, Ropa de cama",Armavir,Armenia,"OUR House se encuentra en Vagharshapat y ofrece wifi gratis, jardín, salón de uso común y terraza.

El alojamiento está equipado con TV de pantalla plana y baño privado con ducha, bañeray artículos de aseo gratuitos. La cocina dispone de nevera, horno y minibar. También se ofrece fogones y hervidor.

En el bed and breakfast se sirve todos los días un desayuno continental.

Catedral de Ejmiatsin está a 1,8 km del alojamiento, y Plaza de la República está a 20 km. El aeropuerto (Aeropuerto Internacional de Zvartnots) está a 7 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Richmind Hotel,US$37,"8,9",Fabuloso,645,https://cf.bstatic.com/xdata/images/hotel/max1024x768/363001384.webp?k=9ce56d1771747f104ebfb6ab45d8182e052e09b1060fbe78889460d7d82c8168&o=,https://www.booking.com/hotel/am/richmind.es.html?aid=2410095,"Menú para niños, Papel higiénico, Guardaequipaje, Servicio de lavandería, Sombrillas, Extintores, Artículos de aseo gratis, Armenio, Utensilios de planchado, Habitaciones insonorizadas, Zona de fumadores, Detectores de humo, Servicio de conserjería, Pesca, Acceso a pisos superiores en ascensor, Buffet para niños, Ciclismo, Ducha, Senderismo, Perchero, Cajero automático en el hotel, Zona de pícnic, Juegos de mesa / puzles, Escritorio, Tetera / cafetera, Baño compartido, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, Entretenimiento nocturno, WiFi gratis, Buen desayuno, Capilla, Enchufe cerca de la cama, Almuerzos para llevar, Habitaciones familiares, Teléfono, Lavadora, Vistas, Armario, Suelo de moqueta, Cocina compartida, Hervidor eléctrico, WC, Bolos, Cambio de moneda, Alquiler de equipamiento de esquí en el alojamiento, Fax / fotocopiadora, Servicio de traslado, Venta de forfaits, Ruso, TV de pantalla plana, Recepción 24 horas, Zona TV / salón de uso compartido, Fruta, Chimenea exterior, Zapatillas, Vistas a la montaña, Equitación, Servicio de planchado, Desayuno en la habitación, Libros, DVD o música para niños, Servicio de despertador / alarma, Servicio de limpieza diario, Llave de acceso, Baño privado, Toallas, Inglés, Traslado aeropuerto, Parking adaptado para personas de movilidad reducida, Dardos, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Ropa de cama, Servicio de habitaciones, Vestidor, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Acceso al salón executive, Bañera o ducha, Alquiler de coches, Guardaesquíes, Servicio de aparcacoches, Pista de tenis, Plancha para ropa, TV, Vistas a la ciudad, Aire acondicionado, Proporciona factura, Tetera/cafetera en todas las habitaciones, Nevera, Información turística, Mosquitera, Esquí, Salas de reuniones / banquetes, Bar, Mesa de comedor, Restaurante, Ascensor, Terraza / solárium, Camas extralargas (más de 2 metros), Habitaciones sin humo, Parking gratis, Tumbonas/sillas de playa, Piscina infantil, Baño al aire libre, Alarma de seguridad, Servicio de despertador",Armavir,Armenia,"El Richmind Hotel se encuentra en Ejmiatsin, a 300 metros de la catedral de Etchmiadzin, y ofrece habitaciones con aire acondicionado. Cuenta con restaurante, recepción 24 horas, cocina compartida y WiFi gratuita en todas las instalaciones. Hay aparcamiento privado gratuito y servicio de enlace con el aeropuerto por un suplemento.

Las habitaciones incluyen armario. Las habitaciones del Richmind Hotel cuentan con escritorio, TV de pantalla plana y baño privado.

Todas las mañanas se sirve un desayuno buffet."
Toneh Guest House and Gastro-yard,US$62,10,Excepcional,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/370831074.webp?k=e3e4fc59d3f6a9761060d9777251932e07e1675790309d592b7997a63d1cd639&o=,https://www.booking.com/hotel/am/toneh-guest-house-and-gastro-yard.es.html?aid=2410095,"Ruso, Ducha, Tour o clase sobre cultura local, Adecuada para niños, Desayuno, Terraza, Jardín, Perchero, Senderismo, Karaoke, Menú para niños, Zona TV / salón de uso compartido, Zona de pícnic, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Chimenea exterior, Guardaequipaje, Alquiler de coches, Juegos de mesa / puzles, Secador de pelo, Cenas temáticas, Equitación, Barandillas protectoras para bebés, Calefacción, De temporada, Piscina  - Al aire libre (infantil), Artículos de aseo gratis, Entretenimiento nocturno, Armenio, WiFi gratis, Barbacoa, Zona de comedor, Servicio de entrega de comestibles, Zona de fumadores, Zona de juegos para niños, Mosquitera, Noches de cine, Eventos deportivos en directo (emisión), Bar, Clases de cocina, Mesa de comedor, Equipamiento de juegos para exterior, Restaurante, Servicio de limpieza diario, Llave de acceso, Baño privado, Enchufe cerca de la cama, Habitaciones familiares, Toallas, Inglés, Traslado aeropuerto, Snack-bar, Ventilador, Vistas, Terraza / solárium, Mobiliario exterior, Armario, Vistas al jardín, Dardos, Habitaciones sin humo, Cocina compartida, Tendedero, Menús para dietas especiales (bajo petición), Máquina expendedora (bebidas), Parking gratis, Hervidor eléctrico, Cámaras de seguridad fuera del alojamiento, Piscina infantil, WC, Vino / champán, Tours a pie, Buffet para niños, Ciclismo, Ropa de cama, Equipamiento de bádminton",Armavir,Armenia,"Toneh Guest House and Gastro-yard se encuentra en Lernarot, a 42 km de Catedral de Ejmiatsin, y ofrece alojamiento con piscina de temporada al aire libre, parking privado gratis, jardín y salón de uso común. Este alojamiento, que cuenta con cocina compartida, también ofrece zona de juegos infantil. El hostal o pensión tiene terraza, vistas al jardín, restaurante y bar.

En el hostal o pensión, todas las habitaciones cuentan con armario. Todas las habitaciones están equipadas con baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En Toneh Guest House and Gastro-yard, las habitaciones están equipadas con ropa de cama y toallas.

El alojamiento ofrece barbacoa. Se puede jugar a los dardos en Toneh Guest House and Gastro-yard, y la zona es ideal para practicar senderismo y ciclismo.

Cascada de Ereván está a 50 km del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional de Zvartnots) está a 48 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Artson B&B Vagharshapat,US$19,"9,8",Excepcional,125,https://cf.bstatic.com/xdata/images/hotel/max1024x768/268260968.webp?k=c75ce3cd63cd399dd63588e6efa1ec06483eae8213ed54f13013faa2a196f647&o=,https://www.booking.com/hotel/am/b-amp-b-artson.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Productos de limpieza, Tour o clase sobre cultura local, Zona de estar, Parking en un garaje, Desayuno, Terraza, Balcón, Jardín, Toallas / sábanas (por un suplemento), Perchero, TV de pantalla plana, Menú para niños, Zona TV / salón de uso compartido, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Acceso al salón executive, Vistas a un lugar de interés, Juegos de mesa / puzles, Suelo de madera o parquet, Zapatillas, Secador de pelo, Cenas temáticas, Vistas a la montaña, Plancha para ropa, Barandillas de seguridad para bebés, Calefacción, Artículos de aseo gratis, Vistas a la ciudad, Galerías de arte temporales, Zona de comedor exterior, Canales de pago, Aire acondicionado, WiFi gratis, Barbacoa, Nevera, Zona de comedor, Desayuno en la habitación, Zona de fumadores, Libros, DVD o música para niños, Noches de cine, Mosquitera, Capilla, Servicio de despertador / alarma, Fogones, Clases de cocina, Mesa de comedor, Enchufe cerca de la cama, Aseo adicional, Almuerzos para llevar, Habitaciones familiares, Toallas, Inglés, Lavadora, Utensilios de cocina, Muebles de exterior, Vistas, Ruso, Canales por cable, Habitaciones sin humo, Cocina compartida, Microondas, Menús para dietas especiales (bajo petición), Parking gratis, Hervidor eléctrico, Zona de cocina, WC, Vino / champán, Protector de enchufes para niños, Utensilios de planchado, Registro de entrada y salida exprés, Ropa de cama, Servicio de despertador",Armavir,Armenia,"El Artson B&B  Vagharshapat se encuentra en Echmiadzin y ofrece piscina al aire libre. Hay conexión Wi-Fi gratuita.

Todas las habitaciones cuentan con armario y escritorio. Los baños compartidos incluyen toallas.

El Artson B&B  Vagharshapat cuenta con recepción 24 horas, bar y cocina compartida. El restaurante y la cafetería más cercanos se encuentran a 1 km. A 100 metros hay varias tiendas.

El Artson B&B  Vagharshapat se encuentra a 1,5 km del centro de la ciudad y a 16 km de Ereván.

El aeropuerto internacional de Zvartnots está a 9 km. Se proporciona servicio de traslado gratuito."
Machanents Guest House,US$38,"9,3",Fantástico,100,https://cf.bstatic.com/xdata/images/hotel/max1024x768/481358742.webp?k=8d1ded33acda1ddb9ca07c0708e81278fa3f077a58e6e4dcfa64273ba4ea8e8a&o=,https://www.booking.com/hotel/am/machanents-guesthouse.es.html?aid=2410095,"Servicio de habitaciones, Ruso, Tour o clase sobre cultura local, Personal de animación, Recepción 24 horas, Jardín, Zona TV / salón de uso compartido, Fruta, Desayuno fabuloso, Guardaequipaje, Servicio de lavandería, Calefacción, Aire acondicionado, Entretenimiento nocturno, Servicio de planchado, Cafetería en el alojamiento, Servicio de entrega de comestibles, Información turística, Zona de fumadores, Wifi rápida gratis (53 Mbps), Salas de reuniones / banquetes, Alquiler de bicicletas, Parking en la calle, Bar, Servicio de limpieza diario, Restaurante, Baño privado, Almuerzos para llevar, Habitaciones familiares, Inglés, Traslado aeropuerto, Habitaciones sin humo, Cocina compartida, Menús para dietas especiales (bajo petición), Parking gratis, Vino / champán, Fax / fotocopiadora, Servicio de traslado",Armavir,Armenia,"El Machanents Guest House está situado en Ejmiatsin y cuenta con una piscina exterior de temporada. Alberga una panadería y una taberna armenias y ofrece además conexión WiFi gratuita.

Las habitaciones son cómodas y presentan una decoración rústica. Los baños son compartidos.

El Machanents Guest House alberga un jardín con zona de barbacoa, una cocina compartida y una zona de salón. Este establecimiento se encuentra a 10 minutos a pie de varias cafeterías.

La estación central de autobuses de Vagharshapat se halla a 10 minutos a pie."
H Resort Hotel Vagharshapat Armenia,US$45,"9,3",Fantástico,188,https://cf.bstatic.com/xdata/images/hotel/max1024x768/342415274.webp?k=b7ff970abf50bf8a7645104468e66aae005a2c01b820a61a70491682953bece7&o=,https://www.booking.com/hotel/am/h-resort-vagharshapat12.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Servicio de limpieza en seco, Tour o clase sobre cultura local, Ruso, Fax / fotocopiadora, Terraza, TV de pantalla plana, Jardín, Menú para niños, Recepción 24 horas, Zona TV / salón de uso compartido, Peluquería / salón de belleza, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Desayuno fabuloso, Bañera o ducha, Guardaequipaje, Juegos de mesa / puzles, Zapatillas, Tetera / cafetera, Secador de pelo, Servicio de aparcacoches, Servicio de lavandería, Caja fuerte, Registro de entrada / salida privado, Extintores, TV, Artículos de aseo gratis, Aire acondicionado, Proporciona factura, Calefacción, Armenio, WiFi gratis, Tetera/cafetera en todas las habitaciones, Nevera, Zona de comedor, Cafetería en el alojamiento, Desayuno en la habitación, Libros, DVD o música para niños, Servicio de planchado, Servicio de entrega de comestibles, Salas de reuniones / banquetes, Zona de fumadores, Servicio de despertador / alarma, Mesa de comedor, Servicio de limpieza diario, Restaurante, Detectores de humo, Baño privado, Habitaciones familiares, Toallas, Teléfono, Inglés, Club infantil, Traslado aeropuerto, Servicio de conserjería, Vistas, Mobiliario exterior, Habitaciones sin humo, Parking gratis, Hervidor eléctrico, Cámaras de seguridad fuera del alojamiento, WC, Vino / champán, Tours a pie, Registro de entrada y salida exprés, Servicio de traslado, Alarma de seguridad, Servicio de despertador",Armavir,Armenia,"H Resort Hotel Vagharshapat Armenia está en Vagharshapat, a 1,8 km de Catedral de Ejmiatsin, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este hotel de 4 estrellas ofrece servicio de habitaciones y servicio de conserjería. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, club infantil y wifi gratis en todo el alojamiento.

Todas las unidades de este alojamiento están equipadas con hervidor. Las habitaciones disponen de baño privado con ducha, artículos de aseo gratuitos y secador de pelo. Las unidades del alojamiento están equipadas con TV de pantalla plana y zapatillas.

Plaza de la República está a 21 km del alojamiento, y Teatro de la Ópera y el Ballet de Armenia está a 21 km. El aeropuerto (Aeropuerto Internacional de Zvartnots) está a 8 km."
Machanents Art Hotel,US$45,"9,3",Fantástico,134,https://cf.bstatic.com/xdata/images/hotel/max1024x768/481340059.webp?k=1302b3a46e658c1d941cad8a623381a1d1ba4167077cd1b3439250ea9646769e&o=,https://www.booking.com/hotel/am/machanents-art.es.html?aid=2410095,"Menú para niños, Papel higiénico, Canales vía satélite, Secador de pelo, Servicio de lavandería, Extintores, Artículos de aseo gratis, Armenio, Cafetería en el alojamiento, Servicio de entrega de comestibles, Zona de fumadores, Parking en la calle, Clases de cocina, Servicio de conserjería, Ducha, Tour o clase sobre cultura local, Perchero, Zona de pícnic, Juegos de mesa / puzles, Escritorio, Tetera / cafetera, Registro de entrada / salida privado, Barandillas protectoras para bebés, Calefacción, Galerías de arte temporales, WiFi gratis, Enchufe cerca de la cama, Almuerzos para llevar, Habitaciones familiares, Armario, Cocina compartida, Hervidor eléctrico, WC, Fax / fotocopiadora, Servicio de traslado, Ruso, TV de pantalla plana, Recepción 24 horas, Fruta, Chimenea exterior, Zapatillas, Servicio de planchado, Desayuno en la habitación, Servicio de limpieza diario, Desayuno excepcional, Llave de acceso, Baño privado, Toallas, Inglés, Traslado aeropuerto, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Ropa de cama, Toda la unidad en la planta baja, Servicio de habitaciones, Servicio de limpieza en seco, Terraza, Jardín, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Alquiler de coches, Suelo de madera o parquet, Servicio de aparcacoches, Cenas temáticas, Aire acondicionado, Proporciona factura, Tetera/cafetera en todas las habitaciones, Mosquitera, Salas de reuniones / banquetes, Bar, Mesa de comedor, Restaurante, Taquillas, Mobiliario exterior, Canales por cable, Habitaciones sin humo, Parking gratis, Música / espectáculos en directo, Tours a pie",Armavir,Armenia,"Machanents Art Hotel dispone de jardín, terraza, restaurante y bar en Vagharshapat. El alojamiento está a unos 17 min a pie de Catedral de Ejmiatsin, a 20 km de Plaza de la República y a 21 km de Teatro de la Ópera y el Ballet de Armenia. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

Todas las unidades incluyen aire acondicionado, TV de pantalla plana con canales vía satélite, hervidor, ducha, artículos de aseo gratuitos y escritorio. Las unidades disponen de baño privado, secador de pelo y ropa de cama.

En el hotel se sirve todas las mañanas un desayuno continental.

Fábrica de Brandy Yerevan está a 19 km del alojamiento, y Blue Mosque está a 19 km. El aeropuerto más cercano (Aeropuerto Internacional de Zvartnots) está a 7 km."
Holliday Villa,US$194,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/514984199.webp?k=e3f2f03c6c96a72be00471cf3de915e891c682ebcb6798fb796dbd4df28a935f&o=,https://www.booking.com/hotel/am/holliday-villa.es.html?aid=2410095,"Vistas al jardín, Ruso, Piscina, TV de pantalla plana, Terraza, Balcón, Parking gratis, Calefacción, Zona de cocina, Aire acondicionado, Cocina, Inglés, WiFi gratis, Lavadora, Sauna, Vistas, Piscina privada",Armavir,Armenia,"Holliday Villa, que se encuentra en Aghtsʼkʼ, ofrece alojamiento con piscina privada, vistas al jardín y balcón. El alojamiento, que está a 24 km de Catedral de Ejmiatsin, dispone de terraza y parking privado gratis.

Esta villa de 3 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.

Teatro de la Ópera y el Ballet de Armenia está a 32 km del alojamiento, y Plaza de la República está a 32 km. El aeropuerto (Aeropuerto Internacional de Zvartnots) está a 29 km."
