hotel,hotel_url,description,popular_facilities,highres_url,city,country
Baum Hotel,https://www.booking.com/hotel/co/altos-de-san-julian.es.html?aid=2410095,"Baum Hotel está en Armenia y cuenta con vistas a la montaña, piscina al aire libre, jardín, terraza y bar. En la casa rural, tanto el wifi como el parking privado son gratis.

Las unidades están equipadas con balcón y disponen de TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos.

En Baum Hotel se sirve todos los días un desayuno americano.

Parque Nacional del Café está a 8,3 km del alojamiento, y Parque Nacional de la Cultura Agropecuaria (PANACA) está a 27 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 12 km del alojamiento.","Desayuno, Terraza, Juegos de mesa / puzles, Vestidor, Sombrillas, Baños públicos, Bañera o ducha, Vistas a la piscina, Muebles de exterior, Vistas, Ventilador, Baño privado, Jardín, TV, Armario, Perchero, Vídeo, Parking gratis, Entrada privada, Ropa de cama, Servicio de traslado, WiFi gratis, Ducha, Toallas de playa/piscina, Enchufe cerca de la cama, Vistas a un lugar de interés, Proporciona factura, Zona de pícnic, Productos de limpieza, Piscina al aire libre, Vistas a la montaña, Zona de estar, Vistas al jardín, Baño al aire libre, Servicio de streaming (como Netflix), Bar, Billar, TV de pantalla plana, Balcón, Abierta todo el año, Toallas, Tumbonas/sillas de playa, Habitaciones familiares, Zona poco profunda, Piscina con vistas, Español, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/383069034.jpg?k=11d953ffcd481ac3662a41460bf83bfa9154c371d2e376d082ceb1603233a44f&o=&hp=1,Armenia,Colombia
Hotel Castillo Real,https://www.booking.com/hotel/co/castillo-real-armenia1.es.html?aid=2410095,"El Hotel Castillo Real dispone de restaurante y se encuentra en el centro de la ciudad de Armenia. Además, hay conexión WiFi gratuita en todas las instalaciones.

Todas las habitaciones están equipadas con TV por cable, minibar y escritorio. El baño es privado y tiene artículos de aseo gratuitos.

El Hotel Castillo Real dispone de recepción abierta las 24 horas, salón compartido, servicio de venta de entradas y mostrador de información turística.

El aeropuerto internacional El Edén queda a 30 minutos en coche.","Caja fuerte, Cafetería en el alojamiento, Habitaciones sin humo, Masaje de manos, Recepción 24 horas, Extintores, Masajes, Masaje en pareja, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Tours en bici, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Masaje de pies, Proporciona factura, Alquiler de coches, Zona de fumadores, Masaje de cabeza, Llave de acceso, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Masaje corporal completo, Masaje de cuello, Habitaciones familiares, Español, Masaje de espalda, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/38191374.jpg?k=81f650ce5e03131599b4cab82e286e822db1536296d56ae2be83d2b8298c76f2&o=&hp=1,Armenia,Colombia
Hotel Armenia Lions,https://www.booking.com/hotel/co/armenia-lions.es.html?aid=2410095,"Hotel Armenia Lions se encuentra en Armenia, a 18 km de Parque Nacional del Café, y ofrece servicio de conserjería, habitaciones hipoalergénicas, salón de uso común, wifi gratis en todo el alojamiento y terraza. Este hotel de 4 estrellas ofrece mostrador de información turística y guardaequipaje. El restaurante sirve platos de cocina internacional y de cocina latinoamericana, y el cafetería es ideal para tomar algo.

En el hotel, todas las habitaciones tienen armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Hay opciones buffet o americanas de desayuno disponibles todas las mañanas en Hotel Armenia Lions.

En recepción se habla inglés y español, y el personal estará encantado de dar información sobre la zona.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 29 km del alojamiento, y Jardín Botánico de Pereira está a 44 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 14 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de entrega de comestibles, Terraza, Vestidor, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Almuerzos para llevar, Baños públicos, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Cambio de moneda, Recepción 24 horas, Cenas temáticas, Ventilador, Baño privado, Centro de negocios, Extintores, Hipoalergénico, TV, Inglés, Parking, Armario, Traslado aeropuerto, Perchero, Menú para niños, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Buen desayuno, Detectores de humo, Máquina expendedora (aperitivos), Vistas a un lugar de interés, Proporciona factura, Plancha para ropa, Mobiliario exterior, Productos de limpieza, Llave de acceso, Servicio de planchado, Habitaciones hipoalergénicas, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Tendedero, Vistas a la ciudad, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567040580.jpg?k=919f3283cee1bf04eeb6653bc5b7aa80aafa1990d49fd794c80d3507a159a0d5&o=&hp=1,Armenia,Colombia
Hotel Ayenda Marckia 1901,https://www.booking.com/hotel/co/marckia.es.html?aid=2410095,"Hotel Ayenda Marckia 1901 está en Armenia, a 45 km de Universidad Tecnológica de Pereira y a 48 km de Museo de Arte de Pereira. El alojamiento está a unos 18 km de Parque Nacional del Café, a 28 km de Parque Nacional de la Cultura Agropecuaria (PANACA) y a 45 km de Jardín Botánico de Pereira. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de conserjería y wifi gratis en todo el alojamiento.

El baño privado está equipado con ducha y artículos de aseo gratuitos. En el hotel, las habitaciones tienen TV con canales por cable.

Monumento a los Fundadores está a 49 km del alojamiento, y Catedral de Nuestra Señora de la Pobreza está a 49 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 14 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Baños públicos, Bañera o ducha, Recepción 24 horas, Ventilador, Baño privado, Extintores, TV, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Servicio de conserjería, Parking en un garaje, WiFi gratis, Ducha, Buen desayuno, Parking en el alojamiento, Detectores de humo, Proporciona factura, Servicio de aparcacoches, Mobiliario exterior, Canales por cable, Llave de acceso, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/286669550.jpg?k=658e6def29cdaef746fbf1b63c01c01c21419793431c756d40962a0fa04a961d&o=&hp=1,Armenia,Colombia
Hotel Café Color,https://www.booking.com/hotel/co/cafe-color.es.html?aid=2410095,"Hotel Café Color está a 19 km de Parque Nacional del Café, en Armenia, y ofrece wifi gratis y servicio de conserjería. El alojamiento está a unos 28 km de Parque Nacional de la Cultura Agropecuaria (PANACA), a 44 km de Jardín Botánico de Pereira y a 44 km de Universidad Tecnológica de Pereira. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

En el hotel, cada habitación cuenta con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades disponen de armario.

Museo de Arte de Pereira está a 47 km del alojamiento, y Monumento a los Fundadores está a 48 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 15 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ventilador, Baño privado, Extintores, TV, Armario, Perchero, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de conserjería, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Máquina expendedora (aperitivos), Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Plancha para ropa, Mobiliario exterior, Canales por cable, Servicio de planchado, Escritorio, Servicio de lavandería, Máquina expendedora (bebidas), Microondas, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Tendedero, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578999306.jpg?k=98566b55573732642b304e14d2d34228c834d992ee314eca992e88c3c335af75&o=&hp=1,Armenia,Colombia
Hotel Armenia Centro,https://www.booking.com/hotel/co/armenia-centro.es.html?aid=2410095,"Hotel Armenia Centro está en Armenia, a 19 km de Parque Nacional del Café y a 30 km de Parque Nacional de la Cultura Agropecuaria (PANACA). Este alojamiento ofrece servicio de habitaciones y mostrador de información turística, además de wifi gratis en todo el alojamiento. Algunas unidades del alojamiento tienen un balcón con vistas a la montaña.

En el hotel, las habitaciones disponen de armario, una terraza con vistas a la ciudad, baño privado, TV, ropa de cama y toallas.

En la recepción 24 horas se habla alemán, inglés, español y francés, y el personal estará encantado de dar consejos sobre la zona.

Jardín Botánico de Pereira está a 44 km del alojamiento, y Universidad Tecnológica de Pereira está a 44 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 15 km.","Servicio de entrega de comestibles, Secador de pelo, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ventilador, Inglés, Baño privado, Extintores, TV, Armario, Italiano, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Entrada privada, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Alemán, Canales por cable, Llave de acceso, Servicio de planchado, Servicio de despertador, Guardaequipaje, Servicio de lavandería, Portugués, WC, Terraza / solárium, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Francés, Canales vía satélite, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581230567.jpg?k=1faeb4b1a609429497e840edd97734891b8ebe307c164d5363967cb08ed6f31a&o=&hp=1,Armenia,Colombia
Hotel La Gran Estaciónag,https://www.booking.com/hotel/co/la-gran-estacionag.es.html?aid=2410095,"Hotel La Gran Estaciónag está en Armenia, a 17 km de Parque Nacional del Café y a 27 km de Parque Nacional de la Cultura Agropecuaria (PANACA). El alojamiento se encuentra a 45 km de Jardín Botánico de Pereira, a 45 km de Universidad Tecnológica de Pereira y a 49 km de Museo de Arte de Pereira. El hotel dispone de terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

Monumento a los Fundadores está a 50 km del alojamiento, y Catedral de Nuestra Señora de la Pobreza está a 50 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 13 km.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Almuerzos para llevar, Habitaciones sin humo, Recepción 24 horas, Extintores, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Seguridad 24 horas, WiFi gratis, Detectores de humo, Servicio de habitaciones, Proporciona factura, Llave de acceso, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Plancha para pantalones, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/513348598.jpg?k=3a8163fe32d4d15e292576895de329fb87adb7c9c1e91a3fa73728080e0428ef&o=&hp=1,Armenia,Colombia
Hotel Cafe Estrella,https://www.booking.com/hotel/co/cafe-estelar-armenia-quindio.es.html?aid=2410095,"Hotel Cafe Estrella se encuentra en Armenia, a 19 km de Parque Nacional del Café, y ofrece servicio de conserjería, habitaciones libres de humo, salón de uso común, wifi gratis y restaurante. Este hotel de 4 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay parking privado en el propio alojamiento.

En el hotel, todas las habitaciones están equipadas con armario y TV de pantalla plana. Hotel Cafe Estrella dispone de algunas habitaciones con vistas a la ciudad, y todas tienen baño privado y escritorio.

En el alojamiento se sirve todos los días un desayuno americano.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 29 km del alojamiento, y Jardín Botánico de Pereira está a 44 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 15 km del alojamiento.","Servicio de entrega de comestibles, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Baños públicos, Cafetería en el alojamiento, Bañera o ducha, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ventilador, Baño privado, Extintores, TV, Armario, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Parking en un garaje, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Detectores de humo, Servicio de habitaciones, Proporciona factura, Zona de fumadores, Parking privado, Mobiliario exterior, Productos de limpieza, Taquillas, Habitaciones insonorizadas, Llave de acceso, Servicio de planchado, Escritorio, Guardaequipaje, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/556479678.jpg?k=4993a2506172d233f22beaef3e8461506e40ac59c8be92e7c9f776283682b8f6&o=&hp=1,Armenia,Colombia
Hotel San Jeronimo Armenia,https://www.booking.com/hotel/co/casa-san-jeronimo.es.html?aid=2410095,"Este hotel ofrece habitaciones cómodas con WiFi gratuita en Armenia, en el centro comercial Cielos Abiertos de Armenia. Las llamadas telefónicas nacionales son gratuitas y la terminal de autobuses de la localidad está a 15 minutos en coche.

 El Hotel San Jeronimo tiene habitaciones con TV por cable y minibar. Todas disponen de escritorio y baño privado con ducha. Las suites también cuentan con aire acondicionado.

Todos los días se sirve un desayuno con frutas tropicales y café colombiano en el Hotel San Jeronimo.

El Museo del Oro Quimbaya se encuentra a 15 minutos en coche y el distrito financiero de la localidad está a 10 minutos a pie.

La recepción está abierta las 24 horas.","Terraza, Sombrillas, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Baños públicos, Recepción 24 horas, Inglés, Baño privado, Aire acondicionado, Desayuno fantástico, Extintores, TV, Parking, Armario, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Entrada privada, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Plancha para ropa, Zona de fumadores, Canales por cable, Aseo adicional, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Escritorio, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Minibar, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/531559823.jpg?k=1facbc54a601d3fe5aca1295346bc5d1527ed21140a8cf8b8beb1c3e0894f5e4&o=&hp=1,Armenia,Colombia
Hotel Volare,https://www.booking.com/hotel/co/volare.es.html?aid=2410095,"Este alojamiento de Armenia, Quindío, ofrece habitaciones cómodas con WiFi gratuita. El Hotel Volare está a solo 100 metros del centro comercial Unicentro y a 400 metros del centro de la ciudad. El alojamiento sirve un desayuno diario.

Las habitaciones del Volare presentan una decoración sencilla pero moderna y disponen de TV de pantalla plana y baño privado. Algunas habitaciones tienen balcón.

El parque de atracciones Panaca está a 26 km. El mostrador de información turística ofrece consejos para moverse por la zona.

El hotel tiene recepción 24 horas y está a 15 km del aeropuerto internacional El Edén.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Teléfono, Suelo de madera o parquet, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Información turística, Cámaras de seguridad en las zonas comunitarias, Muy buen desayuno, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Proporciona factura, Canales por cable, Llave de acceso, Escritorio, Guardaequipaje, WC, Cámaras de seguridad fuera del alojamiento, Zona de comedor, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/410669748.jpg?k=d6f776cbea6d5fc2c384e3f6b908439b30c4b8bbe69a6b9ba8ab95faea34bf43&o=&hp=1,Armenia,Colombia
