hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
RUBENYAN GUEST HOUSE,US$25,"9,8",Excepcional,58,https://cf.bstatic.com/xdata/images/hotel/max1024x768/499776919.webp?k=28bb14267fb183fa94abefc03def6b2aa8981893b34701ef1ef0c4ab439f9974&o=,https://www.booking.com/hotel/am/rubenyan-guest-house.es.html?aid=2410095,"Ruso, Ducha, Productos de limpieza, Desayuno, Jardín, Papel higiénico, Bañera o ducha, Zapatillas, Escritorio, Secador de pelo, Tetera / cafetera, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, Cocina, Aire acondicionado, Armenio, WiFi gratis, Tetera/cafetera en todas las habitaciones, Nevera, Zona de comedor, Cafetería en el alojamiento, Servicio de entrega de comestibles, Mosquitera, Utensilios de planchado, Salas de reuniones / banquetes, Capilla, Parking en la calle, Servicio de limpieza diario, Enchufe cerca de la cama, Suelo de baldosa / mármol, Almuerzos para llevar, Habitaciones familiares, Toallas, Lavadora, Club infantil, Traslado aeropuerto, Utensilios de cocina, Ventilador, Habitaciones sin humo, Cocina compartida, Microondas, Tendedero, Supermercado pequeño en el alojamiento, Parking gratis, Cámaras de seguridad fuera del alojamiento, Cambio de moneda, Servicio de traslado, Toda la unidad en la planta baja",Artashat,Armenia,"RUBENYAN GUEST HOUSE se encuentra en Artashat, a 31 km de Plaza de la República y a 32 km de Teatro de la Ópera y el Ballet de Armenia. Ofrece alojamiento con jardín y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento está a 35 km de Catedral de Ejmiatsin, a 29 km de Yerevan Train Station y a 31 km de Erebuni Fortress. El alojamiento ofrece cocina compartida y cambio de moneda.

En el hostal o pensión, cada habitación tiene escritorio. Las habitaciones cuentan con nevera.

Blue Mosque está a 31 km del alojamiento, y Saint Gregory the Illuminator Cathedral está a 31 km. El aeropuerto (Aeropuerto Internacional de Zvartnots) está a 31 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Friend's House rooms near Airport,US$17,"9,0",Fantástico,188,https://cf.bstatic.com/xdata/images/hotel/max1024x768/344803777.webp?k=506a42dddacc91a9005feb6fd7e6eba5e939f6cc1273bcaea91bb2196ac9b124&o=,https://www.booking.com/hotel/am/dom-riadom-erevana.es.html?aid=2410095,"Zona de estar, Ducha, Productos de limpieza, Ruso, Terraza, Recepción 24 horas, Jardín, Perchero, Peluquería / salón de belleza, Cajero automático en el hotel, Zona de pícnic, Papel higiénico, Bañera o ducha, Alquiler de coches, Guardaequipaje, Vistas a un patio interior, Zapatillas, Escritorio, Secador de pelo, Tetera / cafetera, Baño compartido, Plancha para ropa, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, Cocina, Cama plegable, Zona de comedor exterior, Armenio, WiFi gratis, Nevera, Aseo compartido, Zona de comedor, Utensilios de planchado, Sofá cama, Mosquitera, Toda la unidad en la planta baja, Servicio de entrega de comestibles, Información turística, Fogones, Mesa de comedor, Restaurante, Enchufe cerca de la cama, Suelo de baldosa / mármol, Habitaciones familiares, Toallas, Inglés, Lavadora, Traslado aeropuerto, Utensilios de cocina, Mobiliario exterior, Armario, Vistas al jardín, Habitaciones sin humo, Sofá, Cocina compartida, Tendedero, Suelo de moqueta, Supermercado pequeño en el alojamiento, Parking gratis, Hervidor eléctrico, Zona de cocina, WC, Horno, Cambio de moneda, Registro de entrada y salida exprés, Servicio de traslado, Ropa de cama",Artashat,Armenia,"Friend's House rooms near Airport, que cuenta con jardín, terraza y restaurante, ofrece alojamiento en Ereván con wifi gratis y vistas al jardín. Este apartamento dispone de parking privado gratis y cocina compartida.

Este apartamento consta de 4 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y hervidor, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

En recepción se hablan varios idiomas, como inglés, armenio y ruso.

El apartamento ofrece servicio de alquiler de coches.

Plaza de la República está a 10 km del alojamiento, y Teatro de la Ópera y el Ballet de Armenia está a 11 km. El aeropuerto (Aeropuerto Internacional de Zvartnots) está a 1 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Puzzle Space,US$11,"8,7",Fabuloso,141,https://cf.bstatic.com/xdata/images/hotel/max1024x768/515581176.webp?k=d05b0b908357299c594342efab7636459c17dc2ad60a751116c1ed2f81503fe5&o=,https://www.booking.com/hotel/am/puzzle.es.html?aid=2410095,"Zona de estar, Ducha, Productos de limpieza, Ruso, Desayuno, Recepción 24 horas, Vistas a la piscina, Terraza, Balcón, Jardín, Perchero, Zona TV / salón de uso compartido, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Solo para adultos, Papel higiénico, Detector de monóxido de carbono, Guardaequipaje, Parking, Juegos de mesa / puzles, Alarma de seguridad, Zapatillas, Secador de pelo, Extintores, Calefacción, Aire acondicionado, De temporada, Zona de comedor exterior, Piscina al aire libre, WiFi gratis, Zona de comedor, Cafetería en el alojamiento, Servicio de entrega de comestibles, Zona de fumadores, Habitaciones insonorizadas, Noches de cine, Clases de yoga, Bar, Mesa de comedor, Baño privado, Enchufe cerca de la cama, Suelo de baldosa / mármol, Toallas, Inglés, Lavadora, Vistas, Sala de juegos, Mobiliario exterior, Vistas al jardín, Cocina compartida, Tendedero, Horario de apertura, Centro de negocios, Cámaras de seguridad fuera del alojamiento, Tumbonas/sillas de playa, WC, Toallas de playa/piscina, Música / espectáculos en directo, Bar en la piscina, Servicio de traslado, Ropa de cama",Artashat,Armenia,"Puzzle Space está en Ereván y tiene jardín, salón de uso común, bar y wifi gratis en todo el alojamiento. El alojamiento está a unos 2,5 km de Plaza de la República, a 2,9 km de Teatro de la Ópera y el Ballet de Armenia y a 23 km de Catedral de Ejmiatsin. El alojamiento dispone de cocina compartida, recepción 24 horas y guardaequipaje.

En el albergue, las habitaciones cuentan con una terraza con vistas a la piscina. Las habitaciones del alojamiento tienen baño privado con ducha y secador de pelo, y algunas unidades también cuentan con vistas a la ciudad. En Puzzle Space, las habitaciones disponen de ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno continental.

Cerca del alojamiento hay puntos de interés como Saint Gregory the Illuminator Cathedral, Yerevan State University y History Museum of Armenia. El aeropuerto (Aeropuerto Internacional de Zvartnots) está a 11 km."
"Nacho by Stellar Hotels, Yerevan",US$47,"8,7",Fabuloso,706,https://cf.bstatic.com/xdata/images/hotel/max1024x768/317878554.webp?k=5d2930bb44ebd236d61a029dc460edf8cb0337bd096bc56fe9fbd61aa9fd366e&o=,https://www.booking.com/hotel/am/nacho-yerevan.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Ruso, Fax / fotocopiadora, TV de pantalla plana, Recepción 24 horas, Zona TV / salón de uso compartido, Seguridad 24 horas, Abierta todo el año, Fruta, Guardaequipaje, Sauna, Zapatillas, Secador de pelo, Caja fuerte, Servicio de lavandería, Registro de entrada / salida privado, Extintores, Calefacción, Artículos de aseo gratis, Aire acondicionado, Proporciona factura, Armenio, WiFi gratis, Buen desayuno, Servicio de planchado, Información turística, Zona de fumadores, Piscina interior, Salas de reuniones / banquetes, Bar, Servicio de limpieza diario, Restaurante, Detectores de humo, Adaptado personas de movilidad reducida, Registro de entrada y salida exprés, Habitaciones familiares, Albornoz, Inglés, Ascensor, Traslado aeropuerto, Servicio de conserjería, Piscina climatizada, Armario, Habitaciones sin humo, Baño de vapor, Horario de apertura, Parking gratis, Hervidor eléctrico, Tumbonas/sillas de playa, WC, Vino / champán, Toallas de playa/piscina, Minibar, Buffet para niños, Servicio de traslado, Alarma de seguridad, Para todas las edades",Artashat,Armenia,"Nacho by Stellar Hotels, Yerevan está en Ereván, a 14 min a pie de Plaza de la República, y dispone de alojamiento con salón de uso común, parking privado gratis, restaurante y bar. El alojamiento está cerca de varios lugares de interés destacados, a unos 5 min a pie de Saint Gregory the Illuminator Cathedral, a 1,2 km de History Museum of Armenia y a 18 min a pie de Yerevan State University. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones cuentan con armario. Todas las habitaciones cuentan con aire acondicionado, caja fuerte y TV de pantalla plana.

En Nacho by Stellar Hotels, Yerevan se sirve cada mañana un desayuno buffet.

El alojamiento ofrece alojamiento de 4 estrellas con piscina cubierta y sauna.

Teatro de la Ópera y el Ballet de Armenia está a 2,2 km del alojamiento, y Catedral de Ejmiatsin está a 23 km. El aeropuerto (Aeropuerto Internacional de Zvartnots) está a 11 km."
Benefice Hotel Yerevan,US$50,"8,9",Fabuloso,551,https://cf.bstatic.com/xdata/images/hotel/max1024x768/321992200.webp?k=4b24f4c93d53dc205c0b9ea294b87e752b6f1d419aa64abdfd1e7188e148a115&o=,https://www.booking.com/hotel/am/benefice-mini-hotel-and-tours.es.html?aid=2410095,"Menú para niños, Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Extintores, Artículos de aseo gratis, Canales de pago, Adaptado para sillas de ruedas, Zona de comedor, Cafetería en el alojamiento, Servicio de entrega de comestibles, Habitaciones insonorizadas, Zona de fumadores, Parking en la calle, Clases de cocina, Detectores de humo, Habitaciones hipoalergénicas, Servicio de conserjería, Sala de juegos, Buffet para niños, Zona de estar, Ducha, Tour o clase sobre cultura local, Perchero, Zona de pícnic, Juegos de mesa / puzles, Zona de juegos interior, Escritorio, Tetera / cafetera, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Barandillas protectoras para bebés, Calefacción, Galerías de arte temporales, Zona de comedor exterior, WiFi gratis, Eventos deportivos en directo (emisión), Alquiler de bicicletas, Equipamiento de juegos para exterior, Adaptado personas de movilidad reducida, Enchufe cerca de la cama, Almuerzos para llevar, Tours en bici, Habitaciones familiares, Teléfono, Vistas, Armario, Vistas al jardín, Suelo de moqueta, Cocina compartida, Hervidor eléctrico, WC, Fax / fotocopiadora, Servicio de traslado, Ruso, TV de pantalla plana, Recepción 24 horas, Zona TV / salón de uso compartido, Fruta, Detector de monóxido de carbono, Bidet, Zapatillas, Servicio de planchado, Libros, DVD o música para niños, Servicio de despertador / alarma, Servicio de limpieza diario, Desayuno excepcional, Llave de acceso, Baño privado, Toallas, Inglés, Traslado aeropuerto, Insonorización, Plancha para pantalones, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Ropa de cama, Toda la unidad en la planta baja, Servicio de habitaciones, Servicio de limpieza en seco, Terraza, Jardín, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Alquiler de coches, Entrada privada, Vistas a un patio interior, TV, Vistas a la ciudad, Aire acondicionado, Proporciona factura, Nevera, Información turística, Salas de reuniones / banquetes, Bar, Mesa de comedor, Taquillas, Mobiliario exterior, Canales por cable, Ruta de bares, Habitaciones sin humo, Parking gratis, Música / espectáculos en directo, Tours a pie, Minibar, Radio, Alarma de seguridad, Servicio de despertador",Artashat,Armenia,"El Benefice Hotel Yerevan está situado a solo 3 minutos a pie de la estación de tren de Ereván y ofrece WiFi gratuita y aparcamiento privado gratuito.

Las habitaciones son confortables y cuentan con aire acondicionado y baño privado.

El establecimiento tiene recepción 24 horas y servicio de información turística. Hay varias cafeterías a 5 minutos a pie.

El Benefice Hotel Yerevan se encuentra a 3,5 km del teatro armenio de ópera y ballet y a 2,5 km de la plaza de la República. El aeropuerto internacional de Zvartnots está a 12 km."
FAVORIT HOTEL-HOSTEL,US$27,"9,1",Fantástico,58,https://cf.bstatic.com/xdata/images/hotel/max1024x768/487653189.webp?k=8ae4727cdd1e6d7f70e3e2ed5c54d2c1678bf161f9f30e10fccca929755a4318&o=,https://www.booking.com/hotel/am/favorit-hostel.es.html?aid=2410095,"Ruso, Ducha, Desayuno, Recepción 24 horas, Senderismo, Perchero, Zona TV / salón de uso compartido, Seguridad 24 horas, Fruta, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Guardaequipaje, Zapatillas, Escritorio, Secador de pelo, Tetera / cafetera, Baño compartido, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, Aire acondicionado, Entretenimiento nocturno, Proporciona factura, WiFi gratis, Zona de comedor, Servicio de entrega de comestibles, Habitaciones insonorizadas, Zona de fumadores, Mesa de comedor, Servicio de limpieza diario, Detectores de humo, Llave de acceso, Habitaciones familiares, Toallas, Inglés, Traslado aeropuerto, Servicio de conserjería, Vistas, Armario, Habitaciones sin humo, Cocina compartida, Microondas, Hervidor eléctrico, Cámaras de seguridad fuera del alojamiento, WC, Vino / champán, Tours a pie, Registro de entrada y salida exprés, Servicio de traslado, Alarma de seguridad",Artashat,Armenia,"FAVORIT HOTEL-HOSTEL está en Ereván, a 2 km de Plaza de la República, y ofrece alojamiento con aire acondicionado y salón de uso común. El alojamiento se encuentra a 3,2 km de Teatro de la Ópera y el Ballet de Armenia, a 23 km de Catedral de Ejmiatsin y a 14 min a pie de Saint Gregory the Illuminator Cathedral. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

En el albergue, cada habitación está equipada con armario. Las habitaciones incluyen baño compartido con ducha, secador de pelo y zapatillas. Todas las habitaciones cuentan con escritorio y hervidor.

FAVORIT HOTEL-HOSTEL ofrece desayuno continental o vegetariano.

Yerevan Train Station está a 1,9 km del alojamiento, y History Museum of Armenia está a 2,4 km. El aeropuerto (Aeropuerto Internacional de Zvartnots) está a 10 km."
MarNar Hotel,US$34,"8,7",Fabuloso,172,https://cf.bstatic.com/xdata/images/hotel/max1024x768/485706879.webp?k=cd9666e815b5e3790166d6735ee1114ed68abc098b4a1b9d40b2020054559578&o=,https://www.booking.com/hotel/am/marnar.es.html?aid=2410095,"Ruso, Ducha, TV de pantalla plana, Jardín, Perchero, WC elevado, Zona de pícnic, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Chimenea exterior, Bañera o ducha, Alarma de seguridad, Zapatillas, Tetera / cafetera, Servicio de lavandería, Lavamanos más bajo, Extintores, TV, Artículos de aseo gratis, Aire acondicionado, Calefacción, Adaptado para sillas de ruedas, Armenio, WiFi gratis, Tetera/cafetera en todas las habitaciones, Nevera, Servicio de planchado, Zona de fumadores, Servicio de limpieza diario, Adaptado personas de movilidad reducida, Baño privado, Enchufe cerca de la cama, Llave de acceso, Habitaciones familiares, Toallas, Inglés, Traslado aeropuerto, Utensilios de cocina, Ventilador, Mobiliario exterior, Habitaciones sin humo, Cocina compartida, Supermercado pequeño en el alojamiento, Parking gratis, Hervidor eléctrico, Cámaras de seguridad fuera del alojamiento, WC, Servicio de traslado, Ropa de cama",Artashat,Armenia,"MarNar Hotel está en Ereván, a 2,5 km de Plaza de la República y a 3 km de Teatro de la Ópera y el Ballet de Armenia. Ofrece alojamiento con jardín y wifi gratis, además de parking privado gratis. El alojamiento está a unos 20 km de Catedral de Ejmiatsin, a 2,5 km de History Museum of Armenia y a 2,7 km de Armenian Genocide Museum. Saint Gregory the Illuminator Cathedral está a 3,5 km del hotel y Yerevan Train Station, a 4,4 km.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Cada habitación dispone de baño privado con ducha, artículos de aseo gratuitos y zapatillas. En el hotel, las habitaciones cuentan con ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como Fábrica de Brandy Yerevan, Blue Mosque y Museo Sergei Parajanov. El aeropuerto más cercano (Aeropuerto Internacional de Zvartnots) está a 8 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Garden Lounge Hotel,US$40,"9,6",Excepcional,244,https://cf.bstatic.com/xdata/images/hotel/max1024x768/361361989.webp?k=96619de2fa9ddcd1af75c48ca02af4b9734cf82b264b3dc0640da2424fad964d&o=,https://www.booking.com/hotel/am/garden-lounge.es.html?aid=2410095,"Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Sombrillas, Extintores, Artículos de aseo gratis, Piscina al aire libre, Armenio, Cafetería en el alojamiento, Servicio de entrega de comestibles, Habitaciones insonorizadas, Zona de fumadores, Parking en la calle, Detectores de humo, Habitaciones hipoalergénicas, Servicio de conserjería, Tendedero, Wifi buena gratis (17 Mbps), Ducha, Tour o clase sobre cultura local, Perchero, Zona de pícnic, Escritorio, Registro de entrada / salida privado, Juguetes para la piscina, Barandillas protectoras para bebés, Calefacción, Enchufe cerca de la cama, Tarjetas de transporte público, Vistas, Armario, Máquina expendedora (bebidas), WC, Fax / fotocopiadora, Servicio de traslado, Ruso, Productos de limpieza, TV de pantalla plana, Bañera, Zona TV / salón de uso compartido, Zapatillas, Hipoalergénico, De temporada, Parque acuático, Servicio de planchado, Servicio de limpieza diario, Desayuno excepcional, Llave de acceso, Baño privado, Toallas, Inglés, Traslado aeropuerto, Insonorización, Dardos, Cámaras de seguridad fuera del alojamiento, Registro de entrada y salida exprés, Ropa de cama, Para todas las edades, Servicio de habitaciones, Terraza, Jardín, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Alquiler de coches, Caja fuerte, TV, Aire acondicionado, Proporciona factura, Información turística, Esquí, Cubierta para piscina, Terraza / solárium, Mobiliario exterior, Canales por cable, Habitaciones sin humo, Parking gratis, Tumbonas/sillas de playa, Alarma de seguridad",Artashat,Armenia,"Garden Lounge Hotel está en Ereván, a 5,5 km de Plaza de la República y a 6,5 km de Teatro de la Ópera y el Ballet de Armenia, y ofrece alojamiento con wifi gratis, aire acondicionado, piscina de temporada al aire libre y jardín.

El bed and breakfast ofrece TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha.

Garden Lounge Hotel dispone de terraza, además de salón de uso común.

Catedral de Ejmiatsin está a 19 km del alojamiento, y Yerevan Train Station está a 4,1 km. El aeropuerto más cercano (Aeropuerto Internacional de Zvartnots) está a 6 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Revive Boutique Hotel,US$69,"9,8",Excepcional,36,https://cf.bstatic.com/xdata/images/hotel/max1024x768/505368289.webp?k=de2e6a557352697d1b6096f9c0ccc603098b8b3f1f00c128ade0b442666bd1b3&o=,https://www.booking.com/hotel/am/revive-boutique.es.html?aid=2410095,"Ruso, Ducha, Productos de limpieza, Desayuno, Recepción 24 horas, TV de pantalla plana, Perchero, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Bidet, Cafetera, Alarma de seguridad, Zapatillas, Escritorio, Secador de pelo, Tetera / cafetera, Caja fuerte, Hipoalergénico, Prohibido fumar en todo el alojamiento, Calefacción, TV, Artículos de aseo gratis, Vistas a la ciudad, Proporciona factura, Aire acondicionado, WiFi gratis, Tetera/cafetera en todas las habitaciones, Mesa de comedor, Tarjeta de acceso, Baño privado, Enchufe cerca de la cama, Aseo adicional, Toallas, Teléfono, Inglés, Ascensor, Traslado aeropuerto, Armario, Habitaciones sin humo, Suelo de moqueta, Hervidor eléctrico, WC, Minibar, Ropa de cama, Servicio de despertador",Artashat,Armenia,"Revive Boutique Hotel se encuentra en Ereván, a 19 min a pie de Plaza de la República, y ofrece vistas a la ciudad. El alojamiento está a unos 2,4 km de Teatro de la Ópera y el Ballet de Armenia, a 23 km de Catedral de Ejmiatsin y a menos de 1 km de Saint Gregory the Illuminator Cathedral. El hotel también ofrece wifi gratis y servicio de traslado de pago para ir o volver del aeropuerto.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, minibar, caja fuerte, TV de pantalla plana y baño privado con bidet. En Revive Boutique Hotel, todas las habitaciones están equipadas con ropa de cama y toallas.

El alojamiento ofrece desayuno buffet o continental.

El personal habla inglés y ruso, y estará encantado de dar información sobre la zona en la recepción 24 horas.

History Museum of Armenia está a 16 min a pie del alojamiento, y Yerevan State University está a 1,7 km. El aeropuerto más cercano (Aeropuerto Internacional de Zvartnots) está a 11 km del alojamiento."
Sofia Suite Hotel Yerevan,US$36,"8,6",Fabuloso,8,https://cf.bstatic.com/xdata/images/hotel/max1024x768/522163668.webp?k=8174e1ec8fdca095d65f5cfaab43c668d6a1a946389acdc05520dac9486f9973&o=,https://www.booking.com/hotel/am/sofia-yerevan.es.html?aid=2410095,"Ruso, Ducha, Servicio de limpieza en seco, Fax / fotocopiadora, TV de pantalla plana, Recepción 24 horas, Perchero, Bañera, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Fruta, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Bañera o ducha, Guardaequipaje, Juegos de mesa / puzles, Alquiler de coches, Alarma de seguridad, Entrada privada, Zapatillas, Escritorio, Secador de pelo, Reloj despertador, Tetera / cafetera, Servicio de lavandería, Caja fuerte, Hipoalergénico, Prohibido fumar en todo el alojamiento, Extintores, TV, Artículos de aseo gratis, Vistas a la ciudad, Proporciona factura, Aire acondicionado, Calefacción, Armenio, WiFi gratis, Tetera/cafetera en todas las habitaciones, Zona de comedor, Cafetería en el alojamiento, Información turística, Servicio de planchado, Servicio de entrega de comestibles, Zona de fumadores, Habitaciones insonorizadas, Mesa de comedor, Servicio de limpieza diario, Tarjeta de acceso, Detectores de humo, Enchufe cerca de la cama, Suelo de baldosa / mármol, Habitaciones familiares, Toallas, Albornoz, Inglés, Ascensor, Traslado aeropuerto, Vistas, Parking adaptado para personas de movilidad reducida, Insonorización, Armario, Habitaciones sin humo, Supermercado pequeño en el alojamiento, Parking gratis, Hervidor eléctrico, Cámaras de seguridad fuera del alojamiento, WC, Vino / champán, Minibar, Acceso a pisos superiores en ascensor, Registro de entrada y salida exprés, Servicio de traslado, Ropa de cama, Servicio de despertador",Artashat,Armenia,"Sofia Suite Hotel Yerevan está en Ereván, a 1,8 km de Plaza de la República, y ofrece vistas a la ciudad. Este hotel de 4 estrellas tiene wifi gratis, recepción 24 horas y mostrador de información turística. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, cada habitación cuenta con armario. En Sofia Suite Hotel Yerevan, las habitaciones tienen aire acondicionado, escritorio y TV de pantalla plana, y algunas también ofrecen balcón. En el alojamiento, todas las habitaciones disponen de ropa de cama y toallas.

En Sofia Suite Hotel Yerevan se puede disfrutar de un desayuno buffet.

Cerca del alojamiento hay puntos de interés como Saint Gregory the Illuminator Cathedral, History Museum of Armenia y Yerevan Train Station. El aeropuerto (Aeropuerto Internacional de Zvartnots) está a 10 km."
