hotel,hotel_url,description,popular_facilities,highres_url,city,country
Vistamar Guest House,https://www.booking.com/hotel/ec/vistamar-guest-house.es.html?aid=2410095,"Vistamar Guest House está en Ayampe, a 2 min a pie de Playa de Ayampe, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento, que tiene cocina compartida, también ofrece barbacoa. En el restaurante que hay en el alojamiento se sirve cocina africana, cocina americana, cocina argentina y cocina cajún criolla.

En el hotel, cada habitación dispone de escritorio, ropa de cama y un patio con vistas al jardín. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de wifi gratis. Algunas de las habitaciones también incluyen vistas al mar. Todas las habitaciones de este alojamiento tienen aire acondicionado y armario.

La zona es idea para practicar ciclismo, y hay alquiler de bicicletas y alquiler de coches en Vistamar Guest House.

Las Tunas Beach está a 2,4 km del alojamiento.","Parking en un garaje, Vistas al jardín, Zona de comedor exterior, Masajes, Parking gratis, Tours en bici, Perchero, Terraza, Bañera o ducha, Servicio de entrega de comestibles, Mobiliario exterior, WiFi gratis, Masaje de pies, Pesca, Proporciona factura, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Snorkel, Español, Máquina expendedora (bebidas), Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Ropa de cama, Habitaciones familiares, Submarinismo, Mesa de comedor, Traslado aeropuerto, Tour o clase sobre cultura local, Armario, Masaje de cabeza, Alarma de seguridad, Mosquitera, WC, Artículos de aseo gratis, Masaje de espalda, Fogones, Habitaciones sin humo, Guardaequipaje, Ventilador, Registro de entrada y salida exprés, Barbacoa, Masaje de manos, Zona de comedor, Servicio de limpieza diario, Zona de estar, Papel higiénico, Cocina compartida, Servicio de lavandería, Habitaciones insonorizadas, Alquiler de bicicletas, Masaje corporal completo, Juegos de mesa / puzles, Productos de limpieza, Tours a pie, Clases de cocina, Baño privado, Patio, Aire acondicionado, Bingo, Escritorio, Ducha, Calefacción, Ciclismo, Playa, Clases de yoga, Llave de acceso, Utensilios de cocina, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Equitación, Alquiler de coches, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Toallas, Información turística, Restaurante, Zona de pícnic, Tendedero, Masaje en pareja, Masaje de cuello, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/400229753.jpg?k=db93bad5e0fa341179d0dd88fe035b98bf9e637d04aaf5ccccc68ee2d7e616fd&o=&hp=1,Ayampe,Ecuador
Spondylus Lodge,https://www.booking.com/hotel/ec/spondylus-lodge.es.html?aid=2410095,"El Spondylus Lodge está situado en Ayampe y ofrece cocina compartida totalmente equipada, jardín y zona de barbacoa. La playa de Ayampe está a 200 metros y la zona comercial de Puerto López, a 15 minutos en coche.

Las habitaciones del Spondylus Lodge son tranquilas y disponen de baño compartido. Los bungalows cuentan con baño privado y aire acondicionado.

El Spondylus Lodge alberga una sala de juegos. Se ofrece café y té gratuitos durante todo el día.

El Spondylus Lodge se encuentra a 15 minutos en coche de la estación de autobuses y a 3 horas en coche del aeropuerto internacional José Joaquín de Olmedo. Hay aparcamiento privado gratuito.","Playa, Sala de juegos, Fruta, Zona de juegos interior, Barbacoa, Desayuno, Noches de cine, Masajes, Parking gratis, Tours en bici, Llave de acceso, Servicio de limpieza diario, Chimenea exterior, Accesible para personas sordas, Terraza, Servicio de despertador, Bañera o ducha, Tour o clase sobre cultura local, Papel higiénico, Cocina compartida, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, Inglés, Toallas / sábanas (por un suplemento), Equitación, Pesca, WC, Servicio de traslado, Libros, DVD o música para niños, Cámaras de seguridad en las zonas comunitarias, Zona de fumadores, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Galerías de arte temporales, Juegos de mesa / puzles, Productos de limpieza, Tours a pie, Bañera de hidromasaje / jacuzzi, Bañera, Snorkel, Baño privado, Patio, Aire acondicionado, Español, Bingo, Parking en la calle, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Música / espectáculos en directo, Extintores, Zona de juegos para niños, Zona TV / salón de uso compartido, Suelo de baldosa / mármol, Servicio de despertador / alarma, Guardaequipaje, Ropa de cama, Ducha, Senderismo, Ciclismo, Habitaciones familiares, Submarinismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/126270516.jpg?k=0cd2ca2bb3b19d2ff02a30fd3f94881c1056d3b91e0d8c4da54f5394e8531e54&o=&hp=1,Ayampe,Ecuador
Ganso & Búho,https://www.booking.com/hotel/ec/ganzo-amp-buho.es.html?aid=2410095,"Ganso & Búho está en Ayampe, a pocos pasos de Playa de Ayampe, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. Este alojamiento, que tiene cocina compartida, también ofrece zona de juegos infantil. Se ofrece traslado para ir o volver del aeropuerto.

Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de wifi gratis. Algunas habitaciones ofrecen vistas al mar. En el hostal o pensión, todas las habitaciones incluyen ropa de cama y toallas.

Las Tunas Beach está a 2,6 km del alojamiento.","Playa, Sala de juegos, Prohibido fumar en todo el alojamiento, Zona de juegos interior, Menús para dietas especiales (bajo petición), Parking gratis, Sombrillas, Tours en bici, Traslado aeropuerto, Servicio de limpieza diario, Barandillas protectoras para bebés, Perchero, Terraza, Bañera o ducha, Papel higiénico, Cocina compartida, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Alemán, Equitación, Tarjetas de transporte público, Situado frente a la playa, WC, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Snack-bar, Información turística, Juegos de mesa / puzles, Tours a pie, Español, Baño privado, Aire acondicionado, Parking en la calle, Cochecitos de bebé, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Vestidor, Extintores, Zona de juegos para niños, Zona de pícnic, Supermercado pequeño en el alojamiento, Suelo de baldosa / mármol, Francés, Guardaequipaje, Entrada privada, Ropa de cama, Desayuno excepcional, Ducha, Senderismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/290140663.jpg?k=1f3d1e23b9483beffd43195dbcf73304ab36b9abde11e5d24513164f60ac2c6b&o=&hp=1,Ayampe,Ecuador
Las Cabañas de la Iguana,https://www.booking.com/hotel/ec/las-cabanas-de-la-iguana.es.html?aid=2410095,"Las Cabañas de la Iguana está en Ayampe, a pocos pasos de Playa de Ayampe y a 2,7 km de Las Tunas Beach. Ofrece alojamiento con jardín y wifi gratis, además de parking privado gratis. El alojamiento ofrece cocina compartida, servicio de conserjería y servicio de organización de tours.

En la posada u hostería, las habitaciones incluyen escritorio. Las Cabañas de la Iguana dispone de algunas habitaciones con balcón, y todas tienen baño privado con ducha y artículos de aseo gratuitos. En el alojamiento, las habitaciones tienen ropa de cama y toallas.

Puedes jugar al ping-pong en Las Cabañas de la Iguana.","Playa, Sala de juegos, Vistas al jardín, Zona de comedor exterior, Clases de yoga, Masajes, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Bañera o ducha, Papel higiénico, Cocina compartida, Servicio de lavandería, Mobiliario exterior, Servicio de conserjería, WiFi gratis, Inglés, Alemán, Masaje corporal completo, Mosquitera, Zona de fumadores, Toallas, Información turística, Jardín, Artículos de aseo gratis, Juegos de mesa / puzles, Tours a pie, Snorkel, Baño privado, Español, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Zona de pícnic, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, Ropa de cama, Entrada privada, Ducha, Ventilador, Senderismo, Ping pong, Habitaciones familiares, Submarinismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/180618575.jpg?k=d2282661ed1e5ce21a90e926ab2320acafb23ba7582a5ad2e183a99dfa34465c&o=&hp=1,Ayampe,Ecuador
Suite La Patera & El colibri,https://www.booking.com/hotel/ec/suite-la-patera-amp-el-colibri-ayampe.es.html?aid=2410095,"Suite La Patera & El colibri tiene vistas a la ciudad y se encuentra en Ayampe. Cuenta con restaurante, servicio de habitaciones, bar, jardín y terraza. Se ofrece wifi gratis en todo el alojamiento.

El alojamiento dispone de cocina totalmente equipada con nevera y cafetera, TV de pantalla plana y baño privado con ducha o bañera. Las unidades cuentan con patio con vistas al jardín.

Playa de Ayampe está a pocos pasos del alojamiento, y Las Tunas Beach está a 2,7 km.","Playa, Cafetera, Prohibido fumar en todo el alojamiento, Mesa de comedor, Vistas al jardín, Instalaciones para deportes acuáticos en el alojamiento, Zona de cocina, Zona de comedor, Parking gratis, Chimenea exterior, Perchero, Terraza, Bañera o ducha, Papel higiénico, Toda la unidad en la planta baja, Utensilios de cocina, Bar, Mobiliario exterior, WiFi gratis, TV, Apartamento privado en edificio, Cámaras de seguridad fuera del alojamiento, Inglés, Nevera, Pesca, Situado frente a la playa, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Toallas, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Sofá, Bañera, Toda la unidad accesible en silla de ruedas, Baño privado, Patio, Aire acondicionado, Vistas a la ciudad, Español, Habitaciones sin humo, Vistas, Restaurante, Supermercado pequeño en el alojamiento, Servicio de streaming (como Netflix), Cocina, Sofá cama, TV de pantalla plana, Tetera / cafetera, Desayuno excepcional, Ducha, Senderismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/372443870.jpg?k=f4468fe7569fbdf91f6846e2c52c89f7e47a8cf20681cd590afe4b6eba885ab2&o=&hp=1,Ayampe,Ecuador
Casa Peregrina,https://www.booking.com/hotel/ec/casa-peregrina-ayampe.es.html?aid=2410095,"Casa Peregrina se encuentra a 15 min a pie de Playa de Ayampe y ofrece jardín y terraza, así como alojamiento con aire acondicionado, patio y wifi gratis.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

En el apartamento se puede disfrutar de un desayuno a la carta o americano.

Las Tunas Beach está a 1,8 km del alojamiento.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Vistas al jardín, Desayuno, Zona de comedor, Parking gratis, Llave de acceso, Terraza, Bañera o ducha, Zona de estar, Vistas a un patio interior, Papel higiénico, Toda la unidad en la planta baja, Servicio de lavandería, WiFi gratis, Inglés, Toallas / sábanas (por un suplemento), WC, Proporciona factura, Terraza / solárium, Toallas, Jardín, Artículos de aseo gratis, Independiente, Español, Baño privado, Patio, Aire acondicionado, Habitaciones sin humo, Vistas, Restaurante, Escritorio, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538223862.jpg?k=02d5bbae59c3eac6c6f9c7976db9aab0df40ef207020863792498e21a1229c62&o=&hp=1,Ayampe,Ecuador
El Campito Lodge,https://www.booking.com/hotel/ec/el-campito-lodge.es.html?aid=2410095,"El Campito Lodge se encuentra en Ayampe, a 17 min a pie de Playa de Ayampe, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. Este alojamiento ofrece restaurante, club infantil y servicio de habitaciones, además de wifi gratis en todo el alojamiento. El alojamiento dispone de traslado para ir o volver del aeropuerto y también hay servicio de alquiler de bicicletas.

En el hotel, todas las habitaciones incluyen un balcón con vistas al jardín. Cada habitación tiene baño privado con ducha y artículos de aseo gratuitos, y algunas también ofrecen cocina con nevera. Las habitaciones incluyen escritorio.

Las Tunas Beach está a 2,1 km del alojamiento.","Playa, Sala de juegos, Vistas al jardín, Zona de comedor exterior, Zona de comedor, Parking gratis, Sombrillas, Traslado aeropuerto, Terraza, Bañera o ducha, Zona de estar, Papel higiénico, Servicio de lavandería, Toda la unidad en la planta baja, Bar, Mobiliario exterior, WiFi gratis, Alquiler de bicicletas, Inglés, Para todas las edades, Vistas a un lugar de interés, WC, Servicio de traslado, Servicio de habitaciones, Terraza / solárium, Toallas, Jardín, Artículos de aseo gratis, Productos de limpieza, Abierta todo el año, Club infantil, Toda la unidad accesible en silla de ruedas, Baño privado, Patio, Aire acondicionado, Español, Equipamiento de juegos para exterior, Balcón, Piscina al aire libre, Habitaciones sin humo, Restaurante, Vistas, Zona de pícnic, Suelo de baldosa / mármol, Escritorio, Desayuno excepcional, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/407558777.jpg?k=bcd0c9a78755de6f9cb15ae985e2ca3036ad948458a00796586cf405cceb5953&o=&hp=1,Ayampe,Ecuador
ROOM COLIBRÍ - La Casa de Eros,https://www.booking.com/hotel/ec/habitacion-cedrela.es.html?aid=2410095,"ROOM COLIBRÍ - La Casa de Eros es un alojamiento con vistas al río que se encuentra en Ayampe, a 6 min a pie de Playa de Ayampe y a 1,7 km de Las Tunas Beach. Esta habitación en casa particular con vistas a la ciudad y a la montaña también tiene wifi gratis.

Esta habitación en casa particular tiene aire acondicionado y incluye zona de estar, cocina con nevera y TV de pantalla plana.","Cafetera, Prohibido fumar en todo el alojamiento, Zona de cocina, Zona de comedor, Parking gratis, Zona de estar, Wifi rápida gratis (58 Mbps), Armario, Papel higiénico, Toda la unidad en la planta baja, Utensilios de cocina, TV, Lavavajillas, Nevera, WC, Vistas al río, Toallas, Sofá, Vistas a la montaña, Productos de limpieza, Muebles de exterior, Bañera, Toda la unidad accesible en silla de ruedas, Baño privado, Aire acondicionado, Español, Vistas a la ciudad, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Cocina, TV de pantalla plana, Tetera / cafetera, Ducha, Tostadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/435160085.jpg?k=204680a0f6be4470b0fa1fa0cfc499911ad865cd971942d4cee3274e0fcf86a6&o=&hp=1,Ayampe,Ecuador
Hotel Palma Coco,https://www.booking.com/hotel/ec/palma-coco-ayampe1.es.html?aid=2410095,"Hotel Palma Coco está en Ayampe, a pocos pasos de Playa de Ayampe, y tiene jardín, habitaciones libres de humo y wifi gratis en todo el alojamiento. Las Tunas Beach está a 2,7 km de la posada u hostería.","Habitaciones sin humo, Jardín, Playa, Prohibido fumar en todo el alojamiento, WiFi gratis, Inglés, Español, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/542751853.jpg?k=a3453cf5005a467e5f4e8d41246ac9b423f59f817b68bfc24275bf338684f3d8&o=&hp=1,Ayampe,Ecuador
Ayampe Lofts,https://www.booking.com/hotel/ec/ayampe-lofts.es.html?aid=2410095,"Ayampe Lofts está en Ayampe, a 5 min a pie de Playa de Ayampe y a 2,3 km de Las Tunas Beach, y ofrece alojamiento con wifi gratis, aire acondicionado, jardín y terraza. La habitación en casa particular, que tiene balcón, está en una zona en la que se pueden practicar actividades como senderismo y ciclismo.

Hay toallas y ropa de cama en la habitación en casa particular.

La habitación en casa particular ofrece servicio de alquiler de bicicletas.","Playa, Cafetera, Vistas al jardín, Zona de comedor exterior, Mesa de comedor, Zona de cocina, Clases de yoga, Zona de comedor, Masajes, Italiano, Tours en bici, Traslado aeropuerto, Perchero, Terraza, Vistas a un patio interior, Armario, Papel higiénico, Masaje de cabeza, Utensilios de cocina, Alquiler de bicicletas, WiFi gratis, Inglés, Masaje de pies, Nevera, Equitación, Hervidor eléctrico, Masaje corporal completo, WC, Servicio de traslado, Toallas, Jardín, Masaje de espalda, Sofá, Vistas a la montaña, Tours a pie, Muebles de exterior, Español, Baño privado, Aire acondicionado, Balcón, Habitaciones sin humo, Vistas, Cocina, Entrada privada, Ropa de cama, Masaje en pareja, Tetera / cafetera, Masaje de cuello, Ducha, Senderismo, Ciclismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/443680138.jpg?k=17b896658bed52acd0304a0959c01573c68086c3acec4a9efd35d0d21065530e&o=&hp=1,Ayampe,Ecuador
