hotel,hotel_url,description,popular_facilities,highres_url,city,country
okeyloft Coyhaique 1,https://www.booking.com/hotel/cl/okeyloft.es.html?aid=2410095,"Okeyloft Coyhaique 1 se encuentra en Coyhaique, en la región de Aysén, y dispone de jardín. Esta casa o chalet tiene acceso a un patio.

Esta casa o chalet con aire acondicionado consta de 1 dormitorio independiente, 1 baño con artículos de aseo gratuitos y secador de pelo, y una zona de estar. La cocina está equipada con nevera, horno y microondas, además de cafetera y hervidor.","Tetera / cafetera, TV de pantalla plana, Libros, DVD o música para niños, Ropa de cama, Escritorio, Plancha para ropa, Utensilios de planchado, Perchero, Juegos de mesa / puzles, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Patio, Zona de estar, Ventilador, Apartamento privado en edificio, Horno, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Independiente, Microondas, Bañera o ducha, Utensilios de cocina, Guardaequipaje, Ducha, Secadora de ropa, Toallas, Artículos de aseo gratis, Cafetera, Jardín, Hervidor eléctrico, Nevera, Baño privado, Tostadora, Secador de pelo, WC, Aire acondicionado, Cocina, Lavadora, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516177429.jpg?k=7231feb74143e345cd4596e6263331f0636fa15a9e0c236ee0426af343dd53fc&o=&hp=1,Aysén,Chile
QUELEN PATAGONIA,https://www.booking.com/hotel/cl/quelen-patagonia.es.html?aid=2410095,"QUELEN PATAGONIA se encuentra en Villa Cerro Castillo y dispone de jardín. El alojamiento ofrece cocina compartida y salón de uso común.

Algunas de las habitaciones tienen cocina con nevera y microondas. Las habitaciones incluyen ropa de cama.

El aeropuerto más cercano (Aeropuerto de Balmaceda) está a 69 km del alojamiento.","Parking gratis, Ducha, Extintores, Toallas / sábanas (por un suplemento), Ropa de cama, Zona TV / salón de uso compartido, WC, Jardín, Cocina compartida, Español, Enchufe cerca de la cama, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522726683.jpg?k=e8cc97abefad9d7f4068927eb1740601d63b38511b0488e401687310f5a21fcb&o=&hp=1,Aysén,Chile
Hotel Bacaris,https://www.booking.com/hotel/cl/bacaris.es.html?aid=2410095,"Hotel Bacaris está en Puerto Tranquilo y cuenta con terraza. Este hotel de 3 estrellas ofrece jardín y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay parking privado gratis y hotel también dispone de alquiler de bicicletas para descubrir los alrededores.

Algunas habitaciones también cuentan con cocina con nevera y minibar. En el hotel, las habitaciones cuentan con ropa de cama y toallas.

En Hotel Bacaris se sirve cada mañana un desayuno continental.

La zona es ideal para practicar ciclismo, y en el alojamiento hay alquiler de coches.","Terraza, Inglés, Tarjeta de acceso, Servicio de lavandería, Extintores, Ropa de cama, Cambio de moneda, Vistas al jardín, Zona de comedor, Información turística, Alquiler de coches, Desayuno, Cocina compartida, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Estación de carga de vehículos eléctricos, Registro de entrada y salida exprés, Registro de entrada / salida privado, Baños públicos, Entrada privada, Cenas temáticas, Mobiliario exterior, Suelo de madera o parquet, Windsurf, Prohibido fumar en todo el alojamiento, Español, Calefacción, Pesca, Sauna, Bañera o ducha, Guardaequipaje, Ducha, Vistas a un patio interior, Mesa de comedor, Toallas, Servicio de limpieza diario, Senderismo, Sala de juegos, Jardín, Proporciona factura, Spa y centro de bienestar, Tours a pie, Equitación, Ruta de bares, Parking gratis, Baño privado, Alquiler de bicicletas, Música / espectáculos en directo, Vino / champán, Tostadora, Secador de pelo, Toallas / sábanas (por un suplemento), Ciclismo, Toda la unidad en la planta baja, WC, Aire acondicionado, Habitaciones familiares, Tours en bici, Zona de comedor exterior, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515072128.jpg?k=833bb6363c64a166718a0ce8eab6fb37acecb9a8fd46a08361f331560a112888&o=&hp=1,Aysén,Chile
Cabañas Robinson,https://www.booking.com/hotel/cl/cabanas-robinson.es.html?aid=2410095,"Cabañas Robinson se encuentra en Puerto Puyuhuapi y ofrece wifi gratis, jardín y salón de uso común.

El lodge ofrece patio, vistas a la montaña, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y baño compartido con ducha.

Se puede practicar senderismo en los alrededores.","Playa, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Información turística, Perchero, Cocina compartida, Adaptado personas de movilidad reducida, WiFi gratis, Sofá, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Patio, Bañera, Zona de estar, Registro de entrada / salida privado, Baños públicos, Entrada privada, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Español, Calefacción, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Ducha, Armario, Mesa de comedor, Senderismo, Jardín, Suelo de baldosa / mármol, Hervidor eléctrico, Seguridad 24 horas, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Zona TV / salón de uso compartido, Baño compartido, Habitaciones familiares, Cocina, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/324499102.jpg?k=68da7ee68b5a76786cb75a34f2be81cba5b0eeeaea153a8c42f0076144e73de1&o=&hp=1,Aysén,Chile
herencia de pioneros,https://www.booking.com/hotel/cl/patagona.es.html?aid=2410095,"Herencia de pioneros, que cuenta con bañera de hidromasaje, se encuentra en Coyhaique. Hay wifi gratis en todo el alojamiento.","Inglés, Ropa de cama, Productos de limpieza, Zona de fumadores, Perchero, Bañera de hidromasaje, WiFi gratis, Zona de estar, Ventilador, Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Español, Calefacción, Bañera o ducha, Papel higiénico, Armario, Chimenea, Proporciona factura, Hervidor eléctrico, Secador de pelo, Aire acondicionado, Baño compartido, Portugués, Tendedero, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/511354499.jpg?k=8b898fbdf32ab7de1a5a1f57d80900cac4f63933e904e8cea3b27440cb990f3e&o=&hp=1,Aysén,Chile
Terra Luna Lodge,https://www.booking.com/hotel/cl/terra-luna-lodge.es.html?aid=2410095,"El Terra Luna Lodge ofrece un restaurante, una piscina al aire libre, un spa y alojamientos independientes con zona de playa privada en Puerto Guadal. El desayuno está incluido y se sirve todos los días.

Los bungalows y apartamentos del Terra Luna Lodge gozan de un ambiente tranquilo y tienen vistas panorámicas al lago y cocina equipada. Hay conexión Wi-Fi gratuita en las zonas comunes.

El Terra Luna Lodge ofrece aparcamiento privado gratuito. El establecimiento alberga una sala de cine y un centro de negocios. Se organizan excursiones por la zona por un suplemento.

El Terra Luna Lodge se encuentra a orillas del pintoresco lago General Carrera, frente a los campos de hielo del norte y a 12 km del parque nacional de San Rafael. Este lodge se encuentra a 3 horas en coche de Chile Chico. La ciudad de Coyhaique y el aeropuerto de Balmaceda se hallan a 5 horas en coche.","Terraza, Playa, Bar, Inglés, Snack-bar, Servicio de lavandería, Extintores, Masaje de pies, Ropa de cama, Restaurante, Información turística, Zona de fumadores, Menús para dietas especiales (bajo petición), Masaje de manos, Masajes, Perchero, Instalaciones de spa, WiFi gratis, Enchufe cerca de la cama, Traslado aeropuerto, Barbacoa, Baños públicos, Entrada privada, Suelo de madera o parquet, Mobiliario exterior, Muy buen desayuno, Masaje de cabeza, 2 restaurantes, Menú para niños, Terraza / solárium, Centro de negocios, Calefacción, Pesca, Masaje corporal completo, Bañera o ducha, Sauna, Español, Francés, Paquetes de spa / bienestar, Papel higiénico, Chimenea exterior, Clases de yoga, Discoteca / DJ, Toallas, Artículos de aseo gratis, Billar, Chimenea, Senderismo, Servicio de limpieza diario, Sala de juegos, Jardín, Proporciona factura, Almuerzos para llevar, Spa y centro de bienestar, Masaje en pareja, Masaje de espalda, Bañera de hidromasaje / jacuzzi, Equitación, Parking gratis, Baño privado, Alquiler de bicicletas, Zona privada de playa, Vino / champán, Masaje de cuello, Secador de pelo, Karaoke, Equipamiento de juegos para exterior, Zona de juegos interior, Ciclismo, Zona TV / salón de uso compartido, WC, Zona de pícnic, Habitaciones familiares, Balcón, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/31585312.jpg?k=a652aa29853e3387a03961556635ff933cb026a26ba68df989cefac6909b475c&o=&hp=1,Aysén,Chile
Apart Hotel y Cabañas Valle Exploradores,https://www.booking.com/hotel/cl/caba-a-valle-exploradores.es.html?aid=2410095,"Estos bungalows, confortables y equipados con conexión Wi-Fi gratuita, están situados en Puerto Tranquilo, una zona de lagos y bosques muy pintoresca. Las cuevas de mármol, conocidas como las capillas de mármol, están a 5 km del Cabaña Valle. Hay aparcamiento gratuito en el establecimiento.

Los bungalows del Apart Hotel y Cabañas Valle Exploradores disponen de TV por cable, baño privado y cocina equipada con microondas, nevera y utensilios de cocina.

Además, los bungalows del Cabañas Valle están frente a la plaza principal y cuentan con aparcamiento privado gratuito.

El aeropuerto internacional de Balmaceda está a 180 km.","Microondas, Inglés, Baño privado, Jardín, Ducha, Servicio de lavandería, WC, Habitaciones familiares, WiFi gratis, Español, Hervidor eléctrico, Calefacción, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/231572898.jpg?k=0bda4e2589136dd743ea872d42e249579956f18be49eec82c09308e7c4ea3f8f&o=&hp=1,Aysén,Chile
Hostal Español Coyhaique,https://www.booking.com/hotel/cl/hostal-espanol-coyhaique.es.html?aid=2410095,"El Hostal Español Coyhaique ofrece alojamiento a solo 5 minutos a pie de la plaza de Armas de Coyhaique. Ofrece conexión Wi-Fi gratuita.

Las habitaciones disponen de TV y baño privado con artículos de aseo gratuitos. Además, incluyen desayuno diario.

La recepción del Hostal Español Coyhaique está abierta las 24 horas. El establecimiento cuenta con un jardín, un salón compartido y una máquina expendedora. Además, hay aparcamiento gratuito.

El Hostal Español Coyhaique se encuentra a 10 minutos a pie de la terminal de autobuses y a 15 minutos a pie de la Piedra del Indio.","TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, Escritorio, Zona de comedor, Información turística, Perchero, WiFi gratis, Enchufe cerca de la cama, Patio, Bañera, Zona de estar, Registro de entrada / salida privado, Servicio de conserjería, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Guardaequipaje, Ducha, Vistas a un patio interior, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Proporciona factura, Canales por cable, Parking gratis, Baño privado, Secador de pelo, Aseo adicional, Detectores de humo, Ordenador, Zona TV / salón de uso compartido, WC, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/223488412.jpg?k=1c14e4e73d972caf27171dae4a7d6d4b43805503649e5b83f130f7349efca95b&o=&hp=1,Aysén,Chile
Hotel Tehuelche Natura,https://www.booking.com/hotel/cl/apart-tehuelche-natura.es.html?aid=2410095,"El Hotel Tehuelche Natura se encuentra en Coihaique y ofrece alojamientos independientes con jardín y WiFi gratuita. El establecimiento se sitúa en el centro de la ciudad, a poca distancia a pie de la plaza principal. El desayuno diario es gratuito.

Las habitaciones del Hotel Tehuelche Natura disponen de TV con canales por cable, baño privado con ducha y secador de pelo, ropa de cama, toallas y cortinas opacas.

El registro de entrada en el Tehuelche Natura se puede efectuar hasta las 22:00. El establecimiento se halla a 29 km de la estación de esquí de El Fraile y a 56 km del aeropuerto de Balmaceda.","Inglés, TV de pantalla plana, Extintores, Llave de acceso, Escritorio, Información turística, Plancha para ropa, Utensilios de planchado, Perchero, WiFi gratis, Enchufe cerca de la cama, Registro de entrada y salida exprés, Zona de estar, Servicio de conserjería, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Desayuno fantástico, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Caja fuerte, Bañera o ducha, Guardaequipaje, Ducha, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Pediluvio, Suelo de baldosa / mármol, Proporciona factura, Canales por cable, Hervidor eléctrico, Caja fuerte para ordenador portátil, Baño privado, Secador de pelo, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/227683992.jpg?k=531be64192883835d1a46b1a53233cf19e2f6444d7e411724339597983964220&o=&hp=1,Aysén,Chile
Cabañas Ecoturismo la Pancha,https://www.booking.com/hotel/cl/cabanas-ecoturismo-la-pancha.es.html?aid=2410095,"Cabañas Ecoturismo la Pancha está en Puerto Aysén y ofrece alojamiento con wifi gratis, jardín con terraza y vistas al río.

Cada unidad dispone de balcón con vistas a la montaña, TV de pantalla plana vía satélite, zona de comedor, cocina bien equipada y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

La casa o chalet ofrece barbacoa.

En Cabañas Ecoturismo la Pancha, la clientela puede jugar al ping-pong en el propio alojamiento o practicar senderismo o pesca en los alrededores.","Terraza, Tetera / cafetera, Extintores, Productos de limpieza, Información turística, Ping pong, Cama plegable, TV, Independiente, Mesa de comedor, Jardín, Almuerzos para llevar, Tours a pie, Tour o clase sobre cultura local, Aseo adicional, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Habitaciones familiares, Zona de cocina, Vistas, Situado frente a la playa, Escritorio, Zona de comedor, Vistas al jardín, Sofá cama, Vistas a un lugar de interés, Patio, Bañera, Barbacoa, Entrada privada, Apartamento privado en edificio, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Calefacción, Ducha, Artículos de aseo gratis, Playa, TV de pantalla plana, Ropa de cama, Enchufe cerca de la cama, Piragüismo, Traslado aeropuerto, Español, Vistas al río, Pesca, Utensilios de cocina, Secadora de ropa, Armario, Toallas, Vestidor, Canales por cable, Equitación, Servicio de habitaciones, Parking gratis, Baño privado, WC, Cocina, Servicio de traslado, Tendedero, Suelo de baldosa / mármol, Papel higiénico, Servicio de lavandería, Sofá, WiFi gratis, Baños públicos, Suelo de madera o parquet, Bañera o ducha, Canales vía satélite, Vistas a un patio interior, Senderismo, Proporciona factura, Desayuno en la habitación, Vistas a la montaña, Secador de pelo, Toallas / sábanas (por un suplemento), Ciclismo, Toda la unidad en la planta baja, Tours en bici, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/273377044.jpg?k=cc5fdbb58acd2b6ff347860286017973ebcf797fbe122002301758e085dad992&o=&hp=1,Aysén,Chile
