hotel,hotel_url,description,popular_facilities,highres_url,city,country
GO INN Silom BTS Surasak Station V โกอินน์ สีลม BTS สถานีสุรศักดิ์,https://www.booking.com/hotel/th/go-inn-silom-bts-surasak-station-v-ok-inn-siilm-bts-sthaaniisursakdi.es.html?aid=2410095,"GO INN Silom BTS Surasak Station V โกอินน์ สีลม BTS สถานีสุรศักดิ์ está a 3,7 km de Parque Lumpini, en Bangkok, y ofrece alojamiento con aire acondicionado y wifi gratis.

Hay un baño compartido totalmente equipado con bidet y secador de pelo.

También hay un salón de uso común ideal para relajarse.

Centro comercial Gaysorn Village está a 3,9 km del alojamiento, y Centro comercial MBK Center está a 3,9 km. El aeropuerto (Aeropuerto internacional Don Mueang) está a 27 km.","Aire acondicionado, Tarjeta de acceso, Llave de acceso, WC, Extintores, Toallas, Proporciona factura, Servicio de limpieza diario, Acceso a pisos superiores solo mediante escaleras, Habitaciones sin humo, Nevera, Baño compartido, Apartamento privado en edificio, WiFi gratis, Ducha, Zona TV / salón de uso compartido, Inglés, Mesa de comedor, Ropa de cama, Aseo compartido, Tailandés, Muebles de exterior, Secador de pelo, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Bidet, Servicio de conserjería",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574205814.jpg?k=ef053739450993b5ea45491e108b8c12cf7c7225ba832ffef4bfb89ae3176af4&o=&hp=1,Bangkok,Tailandia
Chan Cha La 99 Hostel,https://www.booking.com/hotel/th/chan-cha-la-99-hostel.es.html?aid=2410095,"El Chan Cha La 99 Hostel ofrece habitaciones privadas con aire acondicionado a 1 minuto a pie de la estación de tren aéreo BTS de Bang Chak. (Salida 3). Hay WiFi gratuita en todo el albergue.

La terminal de autobuses de Ekkamai está a solo 8 minutos en BTS del Chan Cha La 99 Hostel. El aeropuerto internacional de Suvarnabhumi está a 30 minutos en coche.

Algunas habitaciones privadas incluyen baño y TV vía satélite. Hay cocina y baño compartidos.

A 5 minutos a pie del establecimiento hay varios restaurantes locales.","Cámaras de seguridad en las zonas comunitarias, Peluquería / salón de belleza, Aire acondicionado, Tarjeta de acceso, Zona de fumadores, Enchufe cerca de la cama, Llave de acceso, WC, Cajero automático en el hotel, Extintores, Solo para adultos, Toallas, Habitaciones sin humo, Papel higiénico, Guardaequipaje, WiFi gratis, Ducha, Cámaras de seguridad fuera del alojamiento, Secadora de ropa, Suelo de baldosa / mármol, Inglés, Ropa de cama, Escritorio, Toallas / sábanas (por un suplemento), Supermercado pequeño en el alojamiento, Prohibido fumar en todo el alojamiento, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/255767134.jpg?k=93b57d62b95e9aa69c333eef9c31335389418637cc6fb0ec0f8eda48f00b128a&o=&hp=1,Bangkok,Tailandia
K.V.Mansion,https://www.booking.com/hotel/th/k-v-mansion.es.html?aid=2410095,"El K.V.Mansion está situado a poca distancia a pie de la estación de BTS Skytrain On-Nut. Ofrece un alojamiento cómodo con balcón privado. También incluye un restaurante y hay conexión Wi-Fi gratuita en todo el hotel.

Todas las habitaciones del K.V.Mansion disponen de aire acondicionado, TV por cable, nevera, escritorio, baño privado y zona de estar.

El KV Mansion ofrece servicio de masajes, lavandería, cambio de divisa y alquiler de coches.

El restaurante del Mansion K.V. sirve platos locales y occidentales, que se pueden degustar en la habitación.

El hotel está a media hora en coche del aeropuerto de Suvarnabhumi y de la autopista.","Masajes, Servicio de traslado, Sauna, Baño privado, Zona de estar, Teléfono, Vistas, Wifi rápida gratis (331 Mbps), Servicio de planchado, Aire acondicionado, Taquillas en el gimnasio / spa, TV, WC, Servicio de lavandería, Utensilios de cocina, Toallas, Habitaciones sin humo, Zona de cocina, Servicio de habitaciones, Servicio de despertador, Artículos de aseo gratis, Nevera, Jardín, Terraza, Ducha, Calefacción, Sofá, Suelo de baldosa / mármol, TV de pantalla plana, Restaurante, Gimnasio, Canales por cable, Inglés, Spa y centro de bienestar, Escritorio, Balcón, Tailandés, Chino, Parking gratis, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/3275780.jpg?k=1a9e3097579c5dcb4026f25206548abb4f6a37ff5283e4339305e01c2e3a45ab&o=&hp=1,Bangkok,Tailandia
Donmueang Place Hotel - SHA Plus,https://www.booking.com/hotel/th/donmueang-place.es.html?aid=2410095,"Donmueang Place Hotel - SHA Plus se encuentra en Bangkok, a 8,8 km de Centro de Convenciones IMPACT Muang Thong Thani, y ofrece alojamiento con salón de uso común, parking privado gratis y terraza. Este hotel de 4 estrellas ofrece recepción 24 horas y wifi gratis. Este alojamiento libre de humo está a 17 km de CentralPlaza Lardprao.

Todas las unidades de este alojamiento incluyen zona de estar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo gratuitos y ducha. Las habitaciones de este alojamiento disponen de aire acondicionado y escritorio.

Mercado de fin de semana de Chatuchak está a 22 km del alojamiento, y CentralFestival EastVille está a 23 km. El aeropuerto más cercano (Aeropuerto internacional Don Mueang) está a 6 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de traslado, Baño privado, Zona de estar, Cámaras de seguridad en las zonas comunitarias, Peluquería / salón de belleza, Aire acondicionado, Tarjeta de acceso, WC, Taquillas, Bañera o ducha, Extintores, Seguridad 24 horas, Alarma de seguridad, Registro de entrada y salida exprés, Proporciona factura, Servicio de limpieza diario, Habitaciones sin humo, Artículos de aseo gratis, Traslado aeropuerto, Papel higiénico, Habitaciones familiares, Armario, Servicio de aparcacoches, Terraza, WiFi gratis, Ducha, Cámaras de seguridad fuera del alojamiento, Parking en la calle, Zona TV / salón de uso compartido, TV de pantalla plana, Gimnasio, Canales por cable, Inglés, Perchero, Escritorio, Recepción 24 horas, Mandarín, Tailandés, Caja fuerte, Secador de pelo, Supermercado pequeño en el alojamiento, Prohibido fumar en todo el alojamiento, Detectores de humo, Parking gratis, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/219192971.jpg?k=8238a3dcb502fc4ad8c4023cc1e8444e1c9349f9cc799dd888a9e1a416cf5b10&o=&hp=1,Bangkok,Tailandia
Admiral Suites Bangkok,https://www.booking.com/hotel/th/admiral.es.html?aid=2410095,"El Admiral Suites, a 15 minutos a pie de la estación de BTS Skytrain de Phrom Phong, ofrece apartamentos totalmente amueblados en la animada calle Sukhumvit Road, cerca de centros comerciales y de sitios para comprar, como el Emporium Mall y The EmQuartier. El hotel alberga una piscina en la azotea con bañera de hidromasaje y proporciona WiFi gratuita.

Las suites del Admiral Suites son amplias y disponen de TV de pantalla plana y zona de cocina bien equipada. También cuentan con balcón privado y baño integrado.

Hay un centro de fitness a disposición de los huéspedes. También se ofrece aparcamiento gratuito y servicio de recepción 24 horas. 

El Cafe 22 sirve platos calientes y café aromático. Abre de 06:30 a 23:00. Hay servicio de habitaciones.

El parque de atracciones Dinosaur Planet está situado a menos de 15 minutos a pie. El Admiral Suites Bangkok está situado a 26,5 km del aeropuerto internacional Suvarnabhumi.","Servicio de traslado, Sauna, Baño privado, Cámaras de seguridad en las zonas comunitarias, Teléfono, Servicio de planchado, Aire acondicionado, Tarjeta de acceso, Bañera, Suelo de madera o parquet, TV, Zona de fumadores, WC, Piscina al aire libre, Bañera o ducha, Extintores, Servicio de lavandería, Seguridad 24 horas, Toallas, Servicio de limpieza diario, Habitaciones sin humo, Servicio de conserjería, Servicio de despertador, Artículos de aseo gratis, Traslado aeropuerto, Hervidor eléctrico, Nevera, Sombrillas, Canales vía satélite, Papel higiénico, Habitaciones familiares, Armario, Microondas, Guardaequipaje, Servicio de limpieza en seco, Aseo adicional, WiFi gratis, Ducha, Terraza, Buen desayuno, TV de pantalla plana, Laosiano, Gimnasio, Toallas de playa/piscina, Canales por cable, Parking adaptado para personas de movilidad reducida, Inglés, Ropa de cama, Perchero, Balcón, Recepción 24 horas, Escritorio, Tailandés, Toallas / sábanas (por un suplemento), Caja fuerte, Fax / fotocopiadora, Detectores de humo, Bidet, Parking gratis, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/106464001.jpg?k=18a81d51e2b10d57ab13d6747641b6ddfbf2af4e0045d884cfe78f694b38d1e4&o=&hp=1,Bangkok,Tailandia
Wish Inn Chidlom V วิช อินน์ ชิดลม 2,https://www.booking.com/hotel/th/wish-inn-chidlom-v-wich-inn-chidlm-2.es.html?aid=2410095,"Wish Inn Chidlom V วิช อินน์ ชิดลม 2 ofrece alojamiento con aire acondicionado en el centro de Bangkok, a 9 min a pie de Central Embassy, a 800 metros de Centro comercial Amarin Plaza y a 7 min a pie de Centro comercial Gaysorn Village. Hay wifi gratis en todo el alojamiento.

Hay un baño privado totalmente equipado con bidet y secador de pelo.

Cerca del alojamiento hay puntos de interés como Centro comercial Central World Plaza, Centro comercial Siam Paragon y Sea Life Bangkok Ocean World. El aeropuerto (Aeropuerto internacional Don Mueang) está a 24 km.","Baño privado, Zona de estar, Vistas, Aire acondicionado, Tarjeta de acceso, Enchufe cerca de la cama, Llave de acceso, WC, Zona de comedor, Bañera o ducha, Extintores, Toallas, Proporciona factura, Acceso a pisos superiores solo mediante escaleras, Habitaciones sin humo, Hervidor eléctrico, Nevera, Vistas a la ciudad, Papel higiénico, Apartamento privado en edificio, WiFi gratis, Ducha, Tendedero, Inglés, Ropa de cama, Escritorio, Perchero, Tailandés, Secador de pelo, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Bidet, Servicio de conserjería",https://cf.bstatic.com/xdata/images/hotel/max1024x768/575585424.jpg?k=17f0f5d4d377889e39a10f6480801df52d527ec8d0b3fd30d9b5403e324ec8b8&o=&hp=1,Bangkok,Tailandia
Prince Theatre Heritage Stay Hostel - Silom,https://www.booking.com/hotel/th/prince-theatre-heritage-stay.es.html?aid=2410095,"El Prince Theatre Heritage Stay Hostel - Silom es un establecimiento de estilo rústico moderno situado en un cine de 1900, detrás de una esquina escondida en la calle Charoenkrung. La sala de cine se convierte en una zona de bar común que sirve cócteles sin alcohol inspirados en las películas originales.

Las habitaciones presentan una decoración minimalista en tonos blancos y neutros y cuentan con techos altos y baño privado o compartido. Ofrece habitaciones privadas y compartidas con aire acondicionado, artículos de aseo gratuitos y toallas para cada huésped.

El bar Box Office sirve refrescos, aperitivos y bebidas. También sirve un desayuno a la carta con opciones continentales o locales.

El hotel está situado a unos 400 metros de la estación de tren aéreo BTS de Saphan Taksin y del muelle de Sathorn, donde los huéspedes pueden visitar los lugares históricos a lo largo del río Chao Phraya a través de los exclusivos barcos de cola larga de la ciudad.","Entretenimiento nocturno, Cámaras de seguridad en las zonas comunitarias, Aire acondicionado, Tarjeta de acceso, Zona de fumadores, Enchufe cerca de la cama, WC, Taquillas, Noches de cine, Extintores, Happy hour, Seguridad 24 horas, Alarma de seguridad, Toallas, Registro de entrada y salida exprés, Proporciona factura, Habitaciones sin humo, Papel higiénico, Habitaciones familiares, Guardaequipaje, WiFi gratis, Ducha, Cámaras de seguridad fuera del alojamiento, Cafetería en el alojamiento, Buen desayuno, Tarjetas de transporte público, Tendedero, Zona TV / salón de uso compartido, Ventilador, Alemán, Suelo de baldosa / mármol, Restaurante, Inglés, Ropa de cama, Bar, Perchero, Recepción 24 horas, Prohibido fumar en todo el alojamiento, Tailandés, Tours en bici, Registro de entrada / salida privado, Zona de juegos interior, Juegos de mesa / puzles, Detectores de humo, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522512268.jpg?k=70c0b1e00c1d4b97ac5f73027e8bb589bbcbe3cbc6458ef543f59c403f14b39a&o=&hp=1,Bangkok,Tailandia
PR Place Hotel,https://www.booking.com/hotel/th/pr-place.es.html?aid=2410095,"El PR Place Hotel se encuentra en el distrito Pathumwan de Bangkok, a 300 metros del mercado mayorista Pratunam. El establecimiento se encuentra a 11 minutos a pie del Central World Plaza, a 1 km del centro comercial Gaysorn y a 1,2 km del centro comercial Siam Paragon. El centro comercial Amarin Plaza está a 1,2 km.

Las habitaciones del hotel están equipadas con TV de pantalla plana con canales por cable, aire acondicionado y baño privado con artículos de aseo gratuitos. Algunas habitaciones del PR Place Hotel tienen balcón.

La Embajada Central se encuentra a 1,2 km del PR Place Hotel.","Baño privado, Cámaras de seguridad en las zonas comunitarias, Teléfono, Aire acondicionado, Tarjeta de acceso, Bañera, TV, Enchufe cerca de la cama, Llave de acceso, Zona de comedor, Bañera o ducha, Extintores, Seguridad 24 horas, Toallas, Habitaciones sin humo, Hervidor eléctrico, Artículos de aseo gratis, Nevera, Papel higiénico, Habitaciones familiares, Armario, WiFi gratis, Ducha, Cámaras de seguridad fuera del alojamiento, Zona TV / salón de uso compartido, Suelo de baldosa / mármol, TV de pantalla plana, Canales por cable, Inglés, Mesa de comedor, Perchero, Tailandés, Prohibido fumar en todo el alojamiento, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/257004707.jpg?k=d9077ef861e47ec627d0b8e6ebbfe16d90f66755f2e6dc8852b39bfbeea1ab8d&o=&hp=1,Bangkok,Tailandia
Cascade Hotel Bangkok,https://www.booking.com/hotel/th/cascadehotel.es.html?aid=2410095,"Cascade Hotel Bangkok se encuentra en Bangkok, a 4,1 km de Wat Arun, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. El alojamiento dispone de terraza y restaurante, además de bar. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Templo Wat Pho está a 4,1 km del alojamiento, y Templo del Buda de Esmeralda (Wat Phra Kaew) está a 4,6 km. El aeropuerto más cercano (Aeropuerto internacional Don Mueang) está a 30 km.","Entretenimiento nocturno, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Peluquería / salón de belleza, Servicio de planchado, Aire acondicionado, Tarjeta de acceso, Zona de fumadores, Piscina al aire libre, Taquillas, Extintores, Happy hour, Servicio de lavandería, Alarma de seguridad, Seguridad 24 horas, Proporciona factura, Almuerzos para llevar, Para todas las edades, Habitaciones sin humo, Servicio de habitaciones, Traslado aeropuerto, Snack-bar, Habitaciones insonorizadas, Jardín, Habitaciones familiares, Servicio de aparcacoches, Buffet para niños, Servicio de limpieza en seco, Terraza, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Cafetería en el alojamiento, Abierta todo el año, Zona TV / salón de uso compartido, Menú para niños, Mobiliario exterior, Restaurante, Inglés, Spa y centro de bienestar, Bar, Recepción 24 horas, Prohibido fumar en todo el alojamiento, Tailandés, Música / espectáculos en directo, Fax / fotocopiadora, Caja fuerte, Supermercado pequeño en el alojamiento, Cenas temáticas, Menús para dietas especiales (bajo petición), Detectores de humo, Chino, Parking gratis, Ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/449140712.jpg?k=24deca6ecf998361a57754fd4c598bfde88d1aaa8a1f5fc8bf98a658fbc39df0&o=&hp=1,Bangkok,Tailandia
Here Hostel Bangkok,https://www.booking.com/hotel/th/here-hostel.es.html?aid=2410095,"El Here Hostel se encuentra en Bangkok, a 700 metros de la calle Khao San. Además, hay WiFi gratuita. Este albergue dispone de despensa compartida con té y café gratuitos a diario.

Todas las habitaciones privadas o compartidas constan de aire acondicionado. Las literas incluyen cortina, luz de lectura personal, toma de corriente y armario con capacidad para 1 bulto de equipaje de mano. El baño es compartido y cuenta con ducha y artículos de aseo gratuitos. Se proporcionan toallas por un suplemento. También se ofrecen taquillas.

Además, el Here Hostel cuenta con bar, cocina compartida y consigna de equipaje.

El Here Hostel Bangkok está situado a 20 minutos a pie del Gran Palacio de Bangkok, del templo de Wat Pho y del muelle de Phra Athit. Asimismo, el establecimiento se halla a 32 km del aeropuerto Suvarnabhumi.

A 200 metros hay varios restaurantes, bares y tiendas.","Entretenimiento nocturno, Vistas, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Aire acondicionado, Tarjeta de acceso, Zona de fumadores, Enchufe cerca de la cama, WC, Taquillas, Servicio de lavandería, Happy hour, Toallas, Tour o clase sobre cultura local, Acceso a pisos superiores solo mediante escaleras, Habitaciones sin humo, Snack-bar, Jardín, Papel higiénico, Guardaequipaje, Terraza, WiFi gratis, Ducha, Cámaras de seguridad fuera del alojamiento, Tours a pie, Buen desayuno, Zona TV / salón de uso compartido, Mobiliario exterior, Zona de pícnic, Inglés, Ropa de cama, Bar, Perchero, Recepción 24 horas, Tailandés, Música / espectáculos en directo, Tours en bici, Fax / fotocopiadora, Secador de pelo, Información turística, Juegos de mesa / puzles, Cocina compartida, Ruta de bares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/93322479.jpg?k=2a3a25e4cea7f6e99f60431fa43cea0ded4f492ec88a7e924704c0531a86b43c&o=&hp=1,Bangkok,Tailandia
