hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Casa Ballesteros,https://www.booking.com/hotel/co/boulevard58.es.html?aid=2410095,"El Hotel Casa Ballesteros se encuentra a solo 50 metros de la iglesia de la Inmaculada Concepción y ofrece jardín con piscina, desayuno y habitaciones con conexión WiFi gratuita. También cuenta con restaurante y aparcamiento gratuito.

Las habitaciones del Hotel Casa Ballesteros son amplias y luminosas y disponen de suelo de baldosa, ventanas amplias con vistas preciosas a la ciudad, muebles de madera, TV por cable y aire acondicionado.

Por las mañanas se sirve un desayuno americano. El restaurante ofrece una amplia variedad de platos internacionales.

Los huéspedes podrán relajarse en el jardín o descansar en las tumbonas de la piscina. En el mostrador de información turística se pueden reservar excursiones.

La recepción 24 horas del hotel ofrece servicio seguro de enlace con el aeropuerto. El Hotel Casa Ballesteros se encuentra a 50 metros de la oficina de Avianca y a 40 metros del centro médico Chicago.","Caja fuerte, Vistas, Recepción 24 horas, Inglés, Baño privado, Jardín, Aire acondicionado, TV, Armario, Servicio de limpieza en seco, Parking gratis, Bar en la piscina, Muy buen desayuno, Ropa de cama, WiFi gratis, Ducha, Toallas de playa/piscina, Enchufe cerca de la cama, Alquiler de coches, Productos de limpieza, Piscina al aire libre, Bidet, Desayuno en la habitación, Servicio de despertador, Servicio de planchado, Escritorio, Guardaequipaje, Para todas las edades, Servicio de lavandería, Salas de reuniones / banquetes, Bar, Restaurante, TV de pantalla plana, Canales vía satélite, Adaptado personas de movilidad reducida, Toallas, Abierta todo el año, Habitaciones familiares, Español, Vistas a la ciudad, Ascensor, Zona poco profunda, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/408867619.jpg?k=db307b10e8ae2a853fdcddf03c5b2fabaab46f546b60f34d54ee7addc5311466&o=&hp=1,Barranquilla,Colombia
Hotel Torre del Prado,https://www.booking.com/hotel/co/apartahotel-torre-del-prado-barranquilla.es.html?aid=2410095,"El Apartahotel Torre del Prado está situado a solo 15 minutos en coche del centro de Barranquilla y ofrece restaurante a la carta, centro de fitness y habitaciones y suites amplias.

Sus habitaciones disponen de aire acondicionado, TV de pantalla plana, zona de estar pequeña y baño privado con ducha y aseo. Las suites son amplias y cuentan con zona de cocina.

El Apartahotel Torre del Prado se encuentra a 5 minutos a pie de muchos restaurantes y bares. Además, hay un supermercado grande a menos de 100 metros.

El centro comercial Villa Country se encuentra a 3 km del establecimiento. El aeropuerto internacional Ernesto Cortissoz queda a 45 minutos en coche. Hay aparcamiento gratuito disponible en el establecimiento.","Terraza, Sombrillas, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Cafetería en el alojamiento, Habitaciones sin humo, Recepción 24 horas, Calefacción, Jardín, Extintores, Aire acondicionado, TV, Traslado aeropuerto, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Parking en un garaje, Acceso a pisos superiores en ascensor, Fruta, Seguridad 24 horas, WiFi gratis, Buen desayuno, Ducha, Servicio de habitaciones, Detectores de humo, Proporciona factura, Alquiler de coches, Zona de fumadores, Mobiliario exterior, Habitaciones insonorizadas, Tarjeta de acceso, Desayuno en la habitación, Llave de acceso, Gimnasio, Eventos deportivos en directo (emisión), Servicio de planchado, Guardaequipaje, Servicio de lavandería, WC, Máquina expendedora (bebidas), Baño de vapor, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/330779943.jpg?k=895d6613fb8e751e640f0f2e7a33d146cbe4fc5b957338f539bed73e8388aa7f&o=&hp=1,Barranquilla,Colombia
Hotel Dann Carlton Barranquilla y Centro de Convenciones,https://www.booking.com/hotel/co/promotora-dann-carlton-barranquilla.es.html?aid=2410095,"El Hotel Dann Carlton Barranquilla y Centro de Convenciones se encuentra justo enfrente del centro comercial Buenavista y dispone de habitaciones lujosas, piscina, instalaciones de spa y terraza tropical. También alberga un restaurante giratorio con vistas a la ciudad.

Las habitaciones del Dann Carlton Barranquilla Hotel incluyen TV de plasma y minibar. Algunas también tienen zonas de estar y de comedor independientes. Asimismo, hay WiFi gratis.

Todos los días se sirve un desayuno americano. El restaurante Oasis prepara cocina de fusión, mientras que el restaurante giratorio The Spin, ubicado en la planta 13, está especializado en recetas francesas. El bar del vestíbulo ofrece bebidas y música en directo.

Además, el hotel cuenta con gimnasio. La terraza tropical y las zonas con sombra del jardín son ideales para relajarse. El Centro Comercial Buenavista se encuentra a solo 5 minutos a pie.

La recepción permanece abierta las 24 horas y facilita servicio de enlace con el aeropuerto E. Cortissoz, situado a 35 minutos en coche. Se proporciona aparcamiento gratuito.","Secador de pelo, Terraza, Horario de apertura, Alarma de seguridad, Bañera o ducha, Teléfono, Habitaciones sin humo, Noches de cine, Baño privado, Jardín, Centro de negocios, Extintores, WC con barras de apoyo, Instalaciones de spa, Hammam, Servicio de limpieza en seco, Parking en un garaje, Ropa de cama, Servicio de habitaciones, Mesa de comedor, Toallas de playa/piscina, Proporciona factura, Mobiliario exterior, Utensilios de planchado, Restaurante, Servicio de entrega de comestibles, Cajero automático en el hotel, Cafetería en el alojamiento, Cambio de moneda, WC elevado, Aire acondicionado, Solárium, Italiano, Cámaras de seguridad en las zonas comunitarias, Muy buen desayuno, WiFi gratis, Música / espectáculos en directo, Habitaciones insonorizadas, Piscina al aire libre, Tarjeta de acceso, Desayuno en la habitación, Llave de acceso, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Papel higiénico, Parking privado, Fax / fotocopiadora, Suelo de baldosa / mármol, Piscina climatizada, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Caja fuerte, Adaptado para sillas de ruedas, TV, Armario, Servicio de traslado, Seguridad 24 horas, Detectores de humo, Sauna, Bañera de hidromasaje / jacuzzi, Reloj despertador, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, Francés, Bar, TV de pantalla plana, Español, Zona de fumadores, Prohibido fumar en todo el alojamiento, Baños públicos, Vistas, Recepción 24 horas, Inglés, Calefacción, 2 restaurantes, Traslado aeropuerto, Vino / champán, Información turística, Snack-bar, Servicio de conserjería, Menús para dietas especiales (bajo petición), Fruta, Plancha para ropa, Radio, Taquillas, Gimnasio, Eventos deportivos en directo (emisión), Servicio de despertador, Para todas las edades, Servicio de lavandería, Portugués, Abierta todo el año, Tumbonas/sillas de playa, Ascensor, Zona poco profunda, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/359698380.jpg?k=19c12743455bfaa7d726f2879e7bfff1f7ca8983b91939e391b2322ae5458c6d&o=&hp=1,Barranquilla,Colombia
ibis budget Barranquilla,https://www.booking.com/hotel/co/ibis-budget-barranquilla.es.html?aid=2410095,"El ibis Budget Barranquilla se encuentra en la parte norte de la ciudad. Ofrece terraza, salón común y WiFi gratuita. El establecimiento se encuentra en el distrito comercial, médico y financiero.

Hay aparcamiento privado gratuito, centro de negocios y recepción 24 horas.

Las habitaciones del ibis Budget Barranquilla incluyen escritorio, TV de pantalla plana, baño privado, aire acondicionado y armario.

El aeropuerto internacional Ernesto Cortissoz es el más cercano y está a 14 km.","Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Inglés, WC elevado, Baño privado, Centro de negocios, Extintores, Aire acondicionado, WC con barras de apoyo, Traslado aeropuerto, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Parking en un garaje, Muy buen desayuno, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Parking privado, Tarjeta de acceso, Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Habitaciones familiares, Español, Ascensor, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/331913575.jpg?k=e18a8a851ced61b0c753c871f8c5e7f22b07219f19b50a7cc0d362f2d77fff12&o=&hp=1,Barranquilla,Colombia
Hotel Dorado,https://www.booking.com/hotel/co/suite-dorado.es.html?aid=2410095,"Hotel Dorado está en Barranquilla, a 2,5 km de Church of the Immaculate Conception, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este alojamiento ofrece restaurante, recepción 24 horas y mostrador de información turística, además de wifi gratis en todo el alojamiento. Algunas unidades del alojamiento tienen un balcón con vistas a la ciudad.

En el hotel, las habitaciones cuentan con armario. Las unidades del alojamiento disponen de baño privado con ducha, TV de pantalla plana y aire acondicionado. Algunas habitaciones cuentan con terraza. En Hotel Dorado, las habitaciones disponen de ropa de cama y toallas.

En el alojamiento se sirve cada mañana un desayuno americano.

Consulado de Panamá está a 2,5 km del alojamiento, y Romantic Museum of Barranquilla está a 3 km. El aeropuerto (Aeropuerto Internacional Ernesto Cortissoz) está a 15 km.","Desayuno, Terraza, Horario de apertura, Supermercado pequeño en el alojamiento, Habitaciones sin humo, Lavamanos más bajo, Baño privado, Jardín, Extintores, WC con barras de apoyo, Parking gratis, Bar en la piscina, Ropa de cama, Toallas de playa/piscina, Proporciona factura, Mobiliario exterior, Baño al aire libre, Restaurante, Piscina con vistas, Servicio de entrega de comestibles, Cafetería en el alojamiento, Cenas temáticas, WC elevado, Aire acondicionado, Solárium, Menú para niños, Piscina en la azotea, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Música / espectáculos en directo, Habitaciones insonorizadas, Piscina al aire libre, Zona de estar, Parque acuático, Llave de acceso, Habitaciones hipoalergénicas, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Habitaciones familiares, Sombrillas, Papel higiénico, Suelo de baldosa / mármol, Almuerzos para llevar, Adaptado para sillas de ruedas, TV, Armario, Piscina pequeña, Seguridad 24 horas, Detectores de humo, Ruta de bares, Buffet para niños, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, TV de pantalla plana, Toallas, Español, Zona de fumadores, Baños públicos, Recepción 24 horas, Perchero, Información turística, Snack-bar, Entrada privada, Menús para dietas especiales (bajo petición), Ducha, Eventos deportivos en directo (emisión), Para todas las edades, Servicio de lavandería, Piscina infantil, Instalaciones para deportes acuáticos en el alojamiento, Abierta todo el año, Tumbonas/sillas de playa, Ascensor, Zona poco profunda, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/145236362.jpg?k=8651a0c9218ea4df3570e54c21c96d7ec7a37f9db782e64d97e8231bb78f52c0&o=&hp=1,Barranquilla,Colombia
Vallclaire Suites,https://www.booking.com/hotel/co/vallclaire-suites.es.html?aid=2410095,"El Vallclaire Suites está en Barranquilla y dispone de piscina al aire libre, gimnasio y restaurante. Ofrece habitaciones independientes con conexión Wi-Fi gratuita y TV por cable. Dispone de aparcamiento privado gratuito y se encuentra a 30 minutos en coche de la playa.

Los apartamentos Vallclaire Suites están decorados con suelos de baldosas y mobiliario moderno, y están equipados con aire acondicionado. Todos ellos disponen de zona de cocina y comedor.

A diario se sirve desayuno americano y en el restaurante se pueden degustar platos regionales.

Los apartamentos Vallclaire Suites están a 10 minutos en coche del Museo del Caribe y del Museo Romántico. El aeropuerto Ernesto Cotizzos está a 45 minutos en coche.","Piscina interior, Sombrillas, Horario de apertura, Alarma de seguridad, Caja fuerte, Cafetería en el alojamiento, Teléfono, Adaptado para sillas de ruedas, Recepción 24 horas, Inglés, Baño privado, Jardín, Extintores, Aire acondicionado, TV, Armario, Vino / champán, Perchero, Menú para niños, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Parking en un garaje, Entrada privada, Ropa de cama, Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Buen desayuno, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Toallas de playa/piscina, Proporciona factura, Zona de fumadores, Peluquería / salón de belleza, Mobiliario exterior, Habitaciones insonorizadas, Tarjeta de acceso, Desayuno en la habitación, Gimnasio, Servicio de planchado, Servicio de despertador, Para todas las edades, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Restaurante, TV de pantalla plana, Abierta todo el año, Adaptado personas de movilidad reducida, Toallas, Tumbonas/sillas de playa, Habitaciones familiares, Tendedero, Zona poco profunda, Ascensor, Nevera, Artículos de aseo gratis, Español, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/458671625.jpg?k=2190619a8386c4396212c0444b418115be334ebd8f1d0dd6d6720aa930ce0423&o=&hp=1,Barranquilla,Colombia
Ayenda 1313 Barahona 72,https://www.booking.com/hotel/co/barahona-72.es.html?aid=2410095,"El Hotel Barahona 72 By MFM tiene una ubicación céntrica en el barrio de Bellavista, cerca del centro comercial Cosmo y de los distritos financieros. Ofrece conexión Wi-Fi gratuita. La estación de metro Joe Arroyo está a 3 calles.

Los alojamientos del Barahona presentan una decoración contemporánea y disponen de aire acondicionado, TV por cable y teléfono.

El establecimiento cuenta con bar, restaurante, donde los huéspedes pueden disfrutar de un desayuno americano, recepción 24 horas y servicio de enlace con el aeropuerto.

El hotel se encuentra a 250 metros del estadio Romelio Martínez y a 3 calles del parque Tomás Suri Salcedo.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Recepción 24 horas, Inglés, Baño privado, Aire acondicionado, Extintores, TV, Información turística, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Enchufe cerca de la cama, Mobiliario exterior, Productos de limpieza, Llave de acceso, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Vistas a la ciudad, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/287699982.jpg?k=867de53d6d8a842aca051039deea1dd9304a31bb30a2bfe5826aafd0b9922f23&o=&hp=1,Barranquilla,Colombia
Hotel Boutique M,https://www.booking.com/hotel/co/elegant-exclusive-inn-barranquilla.es.html?aid=2410095,"Hotel Boutique M se encuentra en Barranquilla y ofrece alojamiento de 4 estrellas con jardín y terraza. El alojamiento está a unos 4 min a pie de VIVA Shopping Mall, a 800 metros de Buenavista Shopping Mall y a 3,4 km de Consulado de Panamá. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Del Norte University está a 3,7 km del alojamiento, y Mapuka Museum está a 3,8 km. El aeropuerto más cercano (Aeropuerto Internacional Ernesto Cortissoz) está a 17 km del alojamiento.","Terraza, Caja fuerte, Recepción 24 horas, Inglés, Centro de negocios, Jardín, Extintores, Aire acondicionado, Traslado aeropuerto, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Buen desayuno, Servicio de habitaciones, Servicio de lavandería, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Francés, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/269961623.jpg?k=ef3f1edc1ae12937aa70999b421ecf70828de7754bd289e9813f3756fc291988&o=&hp=1,Barranquilla,Colombia
ibis Barranquilla,https://www.booking.com/hotel/co/ibis-barranquilla.es.html?aid=2410095,"El ibis Barranquilla se encuentra en Barranquilla, en la parte norte de la ciudad, y ofrece terraza, habitaciones, WiFi gratuita en todo el establecimiento y salón compartido. El establecimiento está en el distrito comercial, médico y financiero. Hay recepción 24 horas

Las habitaciones del ibis Barranquilla incluyen escritorio, TV de pantalla plana, baño privado, aire acondicionado y armario.

Todas las mañanas se sirve un desayuno continental, buffet o americano. El restaurante sirve cocina internacional y caribeña.

El establecimiento alberga un centro de negocios y proporciona aparcamiento privado, sujeto a disponibilidad.

El aeropuerto Ernesto Cortissoz, el más cercano, está a 14 km.","Secador de pelo, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Almuerzos para llevar, Suelo de madera o parquet, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Inglés, WC elevado, Baño privado, Centro de negocios, Extintores, Aire acondicionado, TV, WC con barras de apoyo, Armario, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Parking en un garaje, Muy buen desayuno, Entrada privada, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Acceso a pisos superiores en ascensor, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Enchufe cerca de la cama, Alquiler de coches, Mobiliario exterior, Productos de limpieza, Habitaciones insonorizadas, Tarjeta de acceso, Servicio de planchado, Servicio de despertador, Guardaequipaje, Servicio de lavandería, Apoyo visual: braille, Cámaras de seguridad fuera del alojamiento, Insonorización, Bar, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Habitaciones familiares, Español, Ascensor, Apoyo visual: carteles táctiles, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/141829519.jpg?k=5d175ad4d71f58a65dee87c4c161970da381480f0d3d41880b8c380511cd6f66&o=&hp=1,Barranquilla,Colombia
"Holiday Inn Express - Barranquilla Buenavista, an IHG Hotel",https://www.booking.com/hotel/co/holiday-inn-express-barranquilla-buenavista.es.html?aid=2410095,"El Holiday Inn Express Barranquilla Buenavista tiene piscina al aire libre y centro de fitness y ocupa un edificio de nueva construcción del distrito de Riomar, en Barranquilla, a 1 km del centro comercial Buenavista.

Las habitaciones disponen de aire acondicionado, TV de pantalla plana y baño privado

Hay una recepción 24 horas.

El aeropuerto Ernesto Cortissoz es el más cercano y está a 15 km del Holiday Inn Express Barranquilla Buenavista.","Terraza, Prohibido fumar en todo el alojamiento, Caja fuerte, Bañera o ducha, Habitaciones sin humo, Teléfono, Recepción 24 horas, Inglés, Baño privado, Centro de negocios, Aire acondicionado, TV, Armario, Traslado aeropuerto, Perchero, Parking gratis, Muy buen desayuno, Ropa de cama, Acceso a pisos superiores en ascensor, WiFi gratis, Ducha, Servicio de habitaciones, Plancha para ropa, Reloj despertador, Productos de limpieza, Canales por cable, Piscina al aire libre, Gimnasio, Servicio de despertador, Habitaciones hipoalergénicas, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, TV de pantalla plana, Toallas, Tendedero, Español, Ascensor, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/223446957.jpg?k=7089ce105426e255cdbc5de39240a5a5f28733d19e62de07aebc49379f0eb39d&o=&hp=1,Barranquilla,Colombia
