hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hostal Campos Rancagua,US$53,"9,2",Fantástico,49,https://cf.bstatic.com/xdata/images/hotel/max1024x768/474441765.webp?k=c07d1e68970499dff316ead0d40d124b62eae1d898ab5e1c9b50e57e6d2d340e&o=,https://www.booking.com/hotel/cl/hostal-campos-rancagua.es.html?aid=2410095,"Ducha, Parking en un garaje, Desayuno, TV de pantalla plana, Español, Zona TV / salón de uso compartido, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Bañera o ducha, Alarma de seguridad, Suelo de madera o parquet, Tetera / cafetera, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, Artículos de aseo gratis, Aire acondicionado, Proporciona factura, WiFi gratis, Tetera/cafetera en todas las habitaciones, Nevera, Zona de comedor, Desayuno en la habitación, Toda la unidad en la planta baja, Servicio de limpieza diario, Detectores de humo, Baño privado, Enchufe cerca de la cama, Llave de acceso, Toda la unidad accesible en silla de ruedas, Toallas, Utensilios de cocina, Servicio de conserjería, Armario, Habitaciones sin humo, Microondas, Parking privado, Hervidor eléctrico, Zona de cocina, Cámaras de seguridad fuera del alojamiento, WC, Ropa de cama",Bazar-e Yakawlang,Afghanistan,"Hostal Campos Rancagua, que cuenta con salón de uso común, se encuentra en la región de O'Higgins, Rancagua, a 30 km de Centro de convenciones Monticello y a 30 km de Casino Monticello. Hay wifi gratis y se ofrece parking privado por un suplemento.

Todas las unidades incluyen aire acondicionado, nevera, microondas, hervidor, ducha, artículos de aseo gratuitos y armario. En el hostal o pensión, todas las habitaciones incluyen baño privado y ropa de cama.

Estadio El Teniente está a 12 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto Rancagua de la Independencia) está a 3 km."
Apart Hotel Campos Rancagua,US$45,"8,9",Fabuloso,152,https://cf.bstatic.com/xdata/images/hotel/max1024x768/474695191.webp?k=8468649e76ea3ad6f47b8cd6bc98ce5f140ebc227b757b6daa6c4c028a1e7cca&o=,https://www.booking.com/hotel/cl/campos-aparthotel-rancagua.es.html?aid=2410095,"Ducha, Apartamento privado en edificio, TV de pantalla plana, Balcón, Perchero, Español, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Bañera o ducha, Entrada privada, Alarma de seguridad, Suelo de madera o parquet, Tetera / cafetera, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Tostadora, Calefacción, TV, Artículos de aseo gratis, Cocina, Proporciona factura, Aire acondicionado, Extintores, WiFi gratis, Nevera, Desayuno en la habitación, Muy buen desayuno, Mesa de comedor, Servicio de limpieza diario, Llave de acceso, Baño privado, Enchufe cerca de la cama, Aseo adicional, Almuerzos para llevar, Toallas, Independiente, Utensilios de cocina, Servicio de conserjería, Vistas, Armario, Canales por cable, Habitaciones sin humo, Microondas, Hervidor eléctrico, Zona de cocina, Cámaras de seguridad fuera del alojamiento, WC, Ropa de cama",Bazar-e Yakawlang,Afghanistan,"Apart Hotel Campos Rancagua se encuentra a 30 km de Centro de convenciones Monticello y ofrece alojamiento con aire acondicionado, balcón y wifi gratis.

Las unidades disponen de suelo de parquet, cocina totalmente equipada con nevera, TV de pantalla plana con canales por cable y baño privado con ducha y artículos de aseo gratuitos. También se ofrece microondas y tostadora, además de hervidor.

Casino Monticello está a 30 km del alojamiento, y Estadio El Teniente está a 13 min a pie. El aeropuerto más cercano (Aeropuerto Rancagua de la Independencia) está a 3 km."
Hermoso Depto Centrico,US$64,"8,9",Fabuloso,33,https://cf.bstatic.com/xdata/images/hotel/max1024x768/410984692.webp?k=7c3c3f57920c1b1995cdbbfecdd78ac8a3a23e102b24665829ce5d8c898fe8d7&o=,https://www.booking.com/hotel/cl/hermoso-depto-centrico.es.html?aid=2410095,"TV de pantalla plana, Terraza, Balcón, Parking gratis, Prohibido fumar en todo el alojamiento, Español, Cocina, Inglés, WiFi gratis, Lavadora, Escritorio",Bazar-e Yakawlang,Afghanistan,"Hermoso Depto Centrico está en Rancagua, a 31 km de Casino Monticello y a 12 min a pie de Estadio El Teniente, y ofrece alojamiento con equipamiento como wifi gratis y TV de pantalla plana. El alojamiento, que se encuentra a 31 km de Centro de convenciones Monticello, ofrece terraza y parking privado gratis.

Este apartamento tiene acceso directo a un balcón y cuenta con 3 dormitorios y cocina totalmente equipada.

El aeropuerto más cercano (Aeropuerto Rancagua de la Independencia) está a 2 km del alojamiento."
JMJ Departamentos Amoblados Ocarrol,US$46,"7,8",Bien,38,https://cf.bstatic.com/xdata/images/hotel/max1024x768/219855948.webp?k=83abaa8096a54875fbacb99ab31d1b0e35401d7358251f7f5d5c23544e40def6&o=,https://www.booking.com/hotel/cl/departamentos-amiblados-ocarrol.es.html?aid=2410095,"Ducha, Español, Escritorio, Secador de pelo, Servicio de lavandería, Plancha para ropa, Calefacción, TV, Cocina, WiFi gratis, Servicio de limpieza diario, Portugués, Baño privado, Toallas, Inglés, Ventilador, Canales por cable, Habitaciones sin humo, Microondas, Parking privado, Minibar, Servicio de traslado, Ropa de cama",Bazar-e Yakawlang,Afghanistan,"JMJ Departamentos Amoblados Ocarrol ofrece alojamiento bien equipado y con wifi gratis en Rancagua, a 30 km de Centro de convenciones Monticello y a 30 km de Casino Monticello.

Cada unidad tiene TV por cable, cocina totalmente equipada con microondas y baño privado con ducha y secador de pelo.

Estadio El Teniente está a 8 min a pie del alojamiento. El aeropuerto (Aeropuerto Rancagua de la Independencia) está a 4 km."
Apartamento en el centro de Rancagua,US$62,"9,5",Excepcional,11,https://cf.bstatic.com/xdata/images/hotel/max1024x768/531289675.webp?k=b6e9efaed85cf8771c4789ea5d3cd7226a5dbfc6bba724766e6923b9f13bc501&o=,https://www.booking.com/hotel/cl/apartamento-en-el-centro-de-rancagua.es.html?aid=2410095,"TV de pantalla plana, Baño privado, Balcón, Parking gratis, Calefacción, Zona de cocina, Aire acondicionado, Cocina, Prohibido fumar en todo el alojamiento, Español, WiFi gratis, Lavadora, Vistas",Bazar-e Yakawlang,Afghanistan,"Apartamento en el centro de Rancagua está en Rancagua, a 30 km de Centro de convenciones Monticello, a 30 km de Casino Monticello y a menos de 1 km de Estadio El Teniente. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

Este apartamento con aire acondicionado consta de 2 dormitorios independientes, una sala de estar, una cocina totalmente equipada y 2 baños. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto Rancagua de la Independencia) está a 4 km."
Apartament central y acogedor AIRE ACONDICIONADO Y WIFI,US$69,10,Excepcional,7,https://cf.bstatic.com/xdata/images/hotel/max1024x768/515141859.webp?k=f2c32e682a8e7ec164bf2dff415889381c77ae6d353e5d3ba8cf254337d4f698&o=,https://www.booking.com/hotel/cl/apartament-central-y-acogedor.es.html?aid=2410095,"Ducha, Productos de limpieza, TV de pantalla plana, Terraza, Balcón, Perchero, Toallas / sábanas (por un suplemento), Bañera, Recepción 24 horas, Español, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Canales vía satélite, Cafetera, Alarma de seguridad, Tetera / cafetera, Secador de pelo, Hipoalergénico, Vistas a la montaña, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, Cocina, Cama plegable, Vistas a la ciudad, Proporciona factura, Aire acondicionado, WiFi gratis, Nevera, Zona de comedor, Servicio de streaming (como Netflix), Sofá cama, Mesa de comedor, Adaptado personas de movilidad reducida, Baño privado, Enchufe cerca de la cama, Detectores de humo, Toallas, Independiente, Ascensor, Utensilios de cocina, Ventilador, Vistas, Canales por cable, Habitaciones sin humo, Sofá, Tendedero, Microondas, Parking gratis, Hervidor eléctrico, Zona de cocina, Cámaras de seguridad fuera del alojamiento, WC, Horno, Registro de entrada y salida exprés, Ropa de cama",Bazar-e Yakawlang,Afghanistan,"Apartament central y acogedor AIRE ACONDICIONADO Y WIFI, que tiene vistas a la ciudad, ofrece alojamiento con terraza y balcón a unos 30 km de Centro de convenciones Monticello. Este apartamento dispone de parking privado gratis, recepción 24 horas y wifi gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Casino Monticello está a 30 km del alojamiento, y Estadio El Teniente está a 9 min a pie. El aeropuerto (Aeropuerto Rancagua de la Independencia) está a 4 km."
"Apartamento amoblado Edificio Panoramic, Rancagua",US$45,"7,6",Bien,14,https://cf.bstatic.com/xdata/images/hotel/max1024x768/186740939.webp?k=481cb737f5daac2b8af2b556cf090e5f9997cfc73393cdf178600d363027b1e8&o=,https://www.booking.com/hotel/cl/apartamento-amoblado-edificio-panoramic-rancagua.es.html?aid=2410095,"Apartamento privado en edificio, TV de pantalla plana, Terraza, Balcón, Perchero, Bañera, Español, Papel higiénico, Bañera o ducha, Suelo de madera o parquet, TV, Artículos de aseo gratis, Cocina, Gimnasio, WiFi gratis, Nevera, Fogones, Enchufe cerca de la cama, Toallas, Lavadora, Ascensor, Utensilios de cocina, Vistas, Armario, Canales por cable, Sofá, Tendedero, Microondas, Hervidor eléctrico, Zona de cocina, Horno, Acceso a pisos superiores en ascensor, Ropa de cama",Bazar-e Yakawlang,Afghanistan,"Apartamento amoblado Edificio Panoramic, Rancagua está en Rancagua y ofrece alojamiento con terraza y wifi gratis. Este apartamento ofrece alojamiento con balcón.

El apartamento dispone de 1 dormitorio, TV de pantalla plana con canales por cable y cocina totalmente equipada con nevera, horno, lavadora, microondas y fogones. Hay toallas y ropa de cama en el apartamento.

Centro de convenciones Monticello está a 30 km del alojamiento, y Casino Monticello está a 30 km. El aeropuerto (Aeropuerto Rancagua de la Independencia) está a 4 km."
Residencial F y V Spa,US$33,"5,4",Puntuación,17,https://cf.bstatic.com/xdata/images/hotel/max1024x768/512787857.webp?k=1022d5805d5ed711444795f455bee683f2dc18273fd693703ac6cd7ac981d40c&o=,https://www.booking.com/hotel/cl/residencial-f-y-v-spa.es.html?aid=2410095,"Servicio de habitaciones, Ducha, TV de pantalla plana, Recepción 24 horas, Perchero, Español, Seguridad 24 horas, Papel higiénico, Alarma de seguridad, Escritorio, Tetera / cafetera, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, WiFi gratis, Tetera/cafetera en todas las habitaciones, Zona de comedor, Mesa de comedor, Baño privado, Habitaciones familiares, Toallas, Inglés, Ventilador, Armario, Habitaciones sin humo, Microondas, Parking gratis, Hervidor eléctrico, Cámaras de seguridad fuera del alojamiento, WC, Ropa de cama, Servicio de despertador",Bazar-e Yakawlang,Afghanistan,"Residencial F y V Spa está en Rancagua, a 29 km de Casino Monticello y a 1,8 km de Estadio El Teniente. Este hotel de 5 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Este alojamiento libre de humo se encuentra a 29 km de Centro de convenciones Monticello.

En el hotel, todas las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades cuentan con armario y hervidor.

El aeropuerto más cercano (Aeropuerto Rancagua de la Independencia) está a 2 km."
Hotel Mar Andino,US$90,"8,0",Muy bien,95,https://cf.bstatic.com/xdata/images/hotel/max1024x768/154850333.webp?k=0754ff45979ca4f0aefe2759593f21b24a39fd1e2d05a1c697d68395870a85b0&o=,https://www.booking.com/hotel/cl/mar-andino.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Terraza, Recepción 24 horas, Jardín, Menú para niños, Español, Papel higiénico, Bañera o ducha, Escritorio, Secador de pelo, Caja fuerte, Calefacción, TV, Artículos de aseo gratis, Aire acondicionado, De temporada, Piscina al aire libre, WiFi gratis, Zona de fumadores, Muy buen desayuno, Salas de reuniones / banquetes, Bar, Clases de cocina, Restaurante, Baño privado, Enchufe cerca de la cama, Habitaciones familiares, Teléfono, Inglés, Armario, Canales por cable, Habitaciones sin humo, Happy hour, Parking gratis, Centro de negocios, WC, Servicio de traslado, Para todas las edades",Bazar-e Yakawlang,Afghanistan,"El Mar Andino está situado a 5 calles del centro histórico de Rancagua. Ofrece jardín con piscina al aire libre y habitaciones con TV vía satélite y conexión Wi-Fi gratuita.

Las habitaciones presentan una decoración moderna. Todas ellas incluyen aire acondicionado, minibar, caja fuerte y escritorio. También disponen de baño privado con bañera y ducha.

Todas las mañanas se sirve un desayuno bufé abundante. Además, se proporciona servicio de habitaciones. El restaurante Mar Andino prepara platos locales e internacionales acompañados de vinos chilenos excelentes.

El aparcamiento es gratuito. La recepción está abierta durante las 24 horas."
Hostal el Parron,US$42,"7,2",Bien,159,https://cf.bstatic.com/xdata/images/hotel/max1024x768/41963560.webp?k=7584561334342a402fd4caa90e9f9286dcedabb098e11a051743f19ede802600&o=,https://www.booking.com/hotel/cl/hostal-el-parron.es.html?aid=2410095,"Habitaciones sin humo, Servicio de limpieza diario, Servicio de lavandería, Terraza, Recepción 24 horas, Jardín, Parking gratis, Español, Zona TV / salón de uso compartido, Habitaciones familiares, Inglés, WiFi gratis, Información turística, Servicio de conserjería, Guardaequipaje, Muy buen desayuno",Bazar-e Yakawlang,Afghanistan,"El Hostal el Parron está a solo 2 minutos a pie del centro de la ciudad y ofrece habitaciones con conexión WiFi gratuita en Rancagua.

Todas las habitaciones disponen de zona de estar y algunas también cuentan con aire acondicionado y baño privado. Además, el desayuno diario está incluido.

El Hostal el Parron tiene recepción abierta las 24 horas, jardín y terraza, así como salón común, mostrador de información turística y consigna de equipaje. Este establecimiento también ofrece aparcamiento gratuito.

El centro de convenciones Monticello se encuentra a 27,3 km y el Casino Monticello está a 27,4 km de distancia, mientras que el aeropuerto internacional de Santiago se halla a 86 km."
Hotel Diego De Almagro Rancagua,US$80,"8,0",Muy bien,1.577,https://cf.bstatic.com/xdata/images/hotel/max1024x768/483802871.webp?k=970781b70bbcdf4433fdbeaa95549d9ef420825103b1102d65d7cbaded8d3cd5&o=,https://www.booking.com/hotel/cl/diego-de-almagro-rancagua.es.html?aid=2410095,"Terraza, TV de pantalla plana, Jardín, Recepción 24 horas, Español, Abierta todo el año, Solo para adultos, Papel higiénico, Bañera o ducha, Guardaequipaje, Escritorio, Secador de pelo, Caja fuerte, Servicio de lavandería, Extintores, Calefacción, Artículos de aseo gratis, Aire acondicionado, Gimnasio, Baños públicos, WiFi gratis, Cafetería en el alojamiento, Servicio de entrega de comestibles, Servicio de planchado, Piscina interior, Muy buen desayuno, Salas de reuniones / banquetes, Bar, Servicio de limpieza diario, Restaurante, Tarjeta de acceso, Adaptado personas de movilidad reducida, Baño privado, Detectores de humo, Toallas, Teléfono, Ascensor, Insonorización, Armario, Canales por cable, Habitaciones sin humo, Parking gratis, Centro de negocios, Tumbonas/sillas de playa, WC, Minibar, Acceso a pisos superiores en ascensor, Fax / fotocopiadora, Ropa de cama",Bazar-e Yakawlang,Afghanistan,"El Hotel Diego De Almagro Rancagua ofrece alojamiento en el centro de la ciudad, en la avenida Bernardo O'Higgins, la calle comercial más importante de la ciudad. El hotel ofrece un gimnasio. Hay WiFi gratuita disponible en todas las instalaciones.

Las habitaciones del Hotel Diego De Almagro Rancagua están equipadas con aire acondicionado, minibar y TV por cable.

Cada día se sirve un desayuno buffet que incluye fruta fresca, zumos y panecillos. El hotel también cuenta con un bar restaurante. Hay otros sitios para comer a pocos pasos.

El Hotel Diego De Almagro está a 1 hora en coche del centro de la ciudad de Santiago. Se facilita aparcamiento privado gratuito (sujeto a disponibilidad)."
Departamento Nuevo Premium Hospedaje Rancagua - Centro,US$90,"9,3",Fantástico,24,https://cf.bstatic.com/xdata/images/hotel/max1024x768/379566943.webp?k=e7b9993ced9a140d8bfa2cf4b925a2478021ff7fa74e750965e2bb3304f5fb2d&o=,https://www.booking.com/hotel/cl/departamento-nuevo-premium-hospedaje-rancagua-centro.es.html?aid=2410095,"Habitaciones sin humo, TV de pantalla plana, Baño privado, Balcón, Parking gratis, Terraza, Zona de cocina, Aire acondicionado, Cocina, Habitaciones familiares, Jardín, Piscina al aire libre, Español, Lavadora, Vistas, Piscina privada",Bazar-e Yakawlang,Afghanistan,"Departamento Nuevo Premium Hospedaje Rancagua - Centro es un alojamiento con terraza que está en Rancagua, a 30 km de Centro de convenciones Monticello, a 30 km de Casino Monticello y a 13 min a pie de Estadio El Teniente. Este apartamento tiene piscina privada, jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 2 dormitorios independientes, una sala de estar, una cocina totalmente equipada y 2 baños. Hay TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto Rancagua de la Independencia) está a 4 km."
