hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Grão Para,https://www.booking.com/hotel/br/grao-para-belem.es.html?aid=2410095,"El Hotel Grão Para es un hotel sencillo situado en Belém. Queda a 750 metros de la estación de Docas y ofrece un desayuno gratuito y conexión WiFi gratuita en todas sus instalaciones.

Las habitaciones del Grão Para son luminosas, están decoradas con sencillez y disponen de aire acondicionado, TV de pantalla plana, minibar y baño privado.

Hay una recepción abierta las 24 horas.

El Grão Para Hotel se encuentra a solo 100 metros del Teatro de la Paz, a 1,6 km del santuario de la Basílica de Nuestra Señora de Nazaret y a 8 km del aeropuerto internacional de Val de Cans.","Inglés, TV de pantalla plana, Servicio de lavandería, Extintores, Ropa de cama, Zona de fumadores, Escritorio, Alquiler de coches, WiFi gratis, Enchufe cerca de la cama, Teléfono, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Centro de negocios, Caja fuerte, Canales vía satélite, Ducha, Armario, Toallas, Servicio de limpieza diario, Suelo de baldosa / mármol, Canales por cable, Baño privado, Toallas / sábanas (por un suplemento), Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/283208053.jpg?k=ac90b2153f7a345e49e5249eab90498a5a35de77d0368da549b2a228638c84b5&o=&hp=1,Belém,Brasil
ibis budget Belem,https://www.booking.com/hotel/br/ibis-budget-belem.es.html?aid=2410095,"El Ibis Budget Belem está situado en Belém, a 1,4 km de la basílica de Nuestra Señora de Nazaret, y cuenta con WiFi gratuita y aparcamiento privado gratuito.

Todas las habitaciones disponen de aire acondicionado, escritorio y baño privado.

El establecimiento tiene recepción 24 horas y un centro de negocios.

El Ibis Budget Belem se halla a 3,4 km de la estación de las Docas y a 3,7 km del mercado Ver-o-Peso. El aeropuerto internacional de Belém/Val de Cans-Júlio Cezar Ribeiro se encuentra a 7 km.","Restaurante, Escritorio, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Fax / fotocopiadora, WC elevado, TV, Prohibido fumar en todo el alojamiento, Centro de negocios, Ducha, Toallas, Buen desayuno, Billar, Servicio de limpieza diario, Jardín, WC con barras de apoyo, Cafetería en el alojamiento, Adaptado para sillas de ruedas, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/248085204.jpg?k=ba633a1d81cdd2f8bedbba603992d1c05f5ccad95b71afc609fa08994d6ece9f&o=&hp=1,Belém,Brasil
Hotel Val-de-Cans Aeroporto,https://www.booking.com/hotel/br/val-de-cans.es.html?aid=2410095,"Hotel Val-de-Cans Aeroporto está en Belém, a 7,7 km de Estación de los Muelles y a 8,1 km de Mercado Ver-o-Peso. Ofrece alojamiento con salón de uso común y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento está a unos 8,7 km de Feliz Lusitania, a 9 km de Basílica-Santuario de Nuestra Señora de Nazareth y a 5,3 km de Estadio do Mangueirão. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

Teatro da Paz está a 8,2 km del alojamiento, y Museo Emilio Goeldi está a 8,4 km. El aeropuerto (Aeropuerto internacional de Belém/Val de Cans–Júlio Cezar Ribeiro) está a 2 km.","Peluquería / salón de belleza, Inglés, Servicio de lavandería, Extintores, Llave de acceso, Zona de fumadores, Desayuno, WiFi gratis, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Guardaequipaje, Supermercado pequeño en el alojamiento, Servicio de planchado, Servicio de aparcacoches, Servicio de limpieza diario, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Parking en un garaje, Portugués, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, Aire acondicionado, Habitaciones familiares, Taquillas, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/447889748.jpg?k=2e6de7c337a7a52273981c99da514e7cc16e9465080c4797e50ca410342f514e&o=&hp=1,Belém,Brasil
Panorama Hotel,https://www.booking.com/hotel/br/panorama-belem.es.html?aid=2410095,"El Panorama Hotel ofrece alojamiento en Belém y cuenta con WiFi gratuita en todas las instalaciones. Hay aparcamiento privado.

Las habitaciones del Panorama Hotel presentan una decoración sencilla y cuentan con suelo de baldosa/mármol, TV y minibar. Los baños son privados.

La recepción está abierta las 24 horas. Todas las mañanas se sirve un desayuno buffet que incluye fruta fresca variada, pan y embutidos.

El Panorama Hotel está a 1,7 km del santuario basílica de Nuestra Señora de Nazaret y a 3,8 km de la estación de Docas.","TV de pantalla plana, Ropa de cama, Escritorio, Utensilios de planchado, Perchero, WiFi gratis, Parking privado, Teléfono, Servicio de despertador, TV, Minibar, Vistas a la ciudad, Ducha, Bidet, Armario, Toallas, Buen desayuno, Servicio de limpieza diario, Canales por cable, Servicio de habitaciones, Baño privado, Radio, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/59190009.jpg?k=beeb5d734b00464e9b95bfb193dfbbb5dfe0d8ada5a47db50218b76d286f78d1&o=&hp=1,Belém,Brasil
"Holiday Inn Express Belem Ananindeua, an IHG Hotel",https://www.booking.com/hotel/br/holiday-inn-express-belem-ananindeua.es.html?aid=2410095,"El Holiday Inn Express Belem Ananindeua ofrece alojamientos cómodos, instalaciones modernas, una recepción abierta las 24 horas, centro de negocios y servicio de lavandería.

Las habitaciones del Holiday Inn Express Belem están decoradas con elegancia y disponen de aire acondicionado, TV, minibar y baño privado con ducha de agua caliente y secador de pelo.

Por las mañanas se sirve un desayuno buffet con productos tropicales.

El Holiday Inn Belem Ananindeua está a 10 km del centro de Belém y el teatro Paz. El mercado Ver-o-Peso también está a 10 km. El aeropuerto internacional de Belém se encuentra a 7 km del hotel.","Inglés, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, Servicio de lavandería, Extintores, Escritorio, Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Español, Centro de negocios, Apoyo visual: braille, Caja fuerte, Francés, Guardaequipaje, Supermercado pequeño en el alojamiento, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de limpieza diario, Gimnasio, Artículos de aseo gratis, WC con barras de apoyo, Seguridad 24 horas, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Guiado auditivo, WC, Aire acondicionado, Lavamanos más bajo, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/406224946.jpg?k=4eec7797dfa6f93cbae84cd6a0c82f120722be7d2e646e91e53ee76e9c81b3f5&o=&hp=1,Belém,Brasil
ibis Belem Aeroporto,https://www.booking.com/hotel/br/ibis-belem-aeroporto.es.html?aid=2410095,"Ibis Belem Aeroporto dispone de jardín, salón de uso común, restaurante y bar en Belém. Este hotel de 3 estrellas tiene wifi gratis, recepción 24 horas y centro de negocios. Este alojamiento libre de humo se encuentra a 7,3 km de Estación de los Muelles.

En el hotel, todas las habitaciones incluyen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades de este alojamiento disponen de aire acondicionado y armario.

Mercado Ver-o-Peso está a 7,6 km del alojamiento, y Feliz Lusitania está a 8,2 km. El aeropuerto más cercano (Aeropuerto internacional de Belém/Val de Cans–Júlio Cezar Ribeiro) está a 3 km.","Acceso a pisos superiores en ascensor, Inglés, Bar, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Escritorio, Boles para mascotas, Menús para dietas especiales (bajo petición), Insonorización, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, WC elevado, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Centro de negocios, Caja fuerte, Bañera o ducha, Guardaequipaje, Ducha, Papel higiénico, Servicio de despertador / alarma, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Billar, Servicio de limpieza diario, Cesta para mascotas, Jardín, Suelo de baldosa / mármol, Canales por cable, WC con barras de apoyo, Seguridad 24 horas, Cafetería en el alojamiento, Parking gratis, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Lavamanos más bajo, Portugués, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/259058906.jpg?k=8aa087367ebea05d45ea0ed52557a36a38513859bc870c24d56b58ffe15fd2eb&o=&hp=1,Belém,Brasil
ibis Styles Belém do Pará,https://www.booking.com/hotel/br/soft-inn-batista-campos.es.html?aid=2410095,"Ideally siting on Belém do Pará City Centre and 1,7 km from the traditional Ver o Peso Market, Ibis Budget Belém Batista Campos offers quality rooms with free WiFi. A tour desk is provided.

Each modern and bright room features contemporary décor. They are equipped with a flat-screen TV and minibar. The elegant and private bathroom comes with a hot shower.

Guests are invited to dine at Ibis Budget Belém Batista Campos’ restaurant. There is also a variety of restaurants and bars available within a 5-minute walk.

This hotel is 3 km from Baía do Guajará Bay, 350 metres from Patio Belém Shopping Mall and 12 km from Belém International Airport.","Inglés, Tarjeta de acceso, Servicio de lavandería, Extintores, Restaurante, Parking en el alojamiento, Adaptado personas de movilidad reducida, WiFi gratis, Máquina expendedora (aperitivos), Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Prohibido fumar en todo el alojamiento, Menú para niños, Habitaciones hipoalergénicas, Caja fuerte, Buffet para niños, Guardaequipaje, Servicio de planchado, Servicio de limpieza diario, Buen desayuno, WC con barras de apoyo, Seguridad 24 horas, Servicio de habitaciones, Vino / champán, Portugués, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Máquina expendedora (bebidas), Ascensor, Aire acondicionado, Taquillas, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/571256283.jpg?k=a618dbc49e7286b960925a3b5b0465ee4e47248211391a4e52bdcb280981c160&o=&hp=1,Belém,Brasil
Ibis Styles Belém Hangar,https://www.booking.com/hotel/br/tulip-inn-hangar.es.html?aid=2410095,"With a rooftop pool, gym and restaurant, Ibis Styles Belém Hangar offers accommodation with Free WiFi. A complimentary buffet breakfast is available when booking rates with included breakfast.

Rooms at the Ibis Styles Belém Hangar are modern and air conditioned. They are equipped with a cable LCD TV and minibar. The private bathroom includes a hot shower.

The Hangar Convention Centre is only 500 metres away. São Brás bus terminal is less than 4 km from Ibis Styles Belém Hangar. The popular Ver o Peso market is 7.5 km from this hotel and Val-de-Cans International Airport is 6 km away.

The pool is under renovation work from June 10th to June 15th.","Tumbonas/sillas de playa, Bar, Abierta todo el año, Servicio de lavandería, Extintores, Masaje de pies, Restaurante, Masajes, Instalaciones de spa, Adaptado personas de movilidad reducida, WiFi gratis, Parking privado, Piscina al aire libre, Baños públicos, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, WC elevado, Prohibido fumar en todo el alojamiento, Masaje corporal completo, Centro de negocios, Piscina con vistas, Guardaequipaje, Piscina en la azotea, Gimnasio, Buen desayuno, Billar, Para todas las edades, Jardín, Proporciona factura, Masaje en pareja, WC con barras de apoyo, Masaje de espalda, Servicio de habitaciones, Parking en un garaje, Adaptado para sillas de ruedas, Masaje de cuello, Piscina infantil, Horario de apertura, Recepción 24 horas, Detectores de humo, Ascensor, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/541058758.jpg?k=a4416c68070631db5030f677bc85d1b7d6890b2d2adffb9b4dfac3e72d7977d3&o=&hp=1,Belém,Brasil
ibis Styles Belem Batista Campos,https://www.booking.com/hotel/br/expresso-xxi-batista-campos.es.html?aid=2410095,"Located next to Santa Trindade Church, in Belem commercial centre, Ibis Styles Belem Batista Campos is 300 metres from Patio Belem Shopping Centre. It offers free parking, and air-conditioned rooms with free WiFi. Room service and a front desk are available 24 hours a day, offering express check-in and check-out.

Rooms at the Ibis Styles Belem Batista Campos feature a flat-screen TV with cable channels, minibar, wardrobe and blackout curtains. A private bathroom fitted with a shower and a hairdryer.

A buffet breakfast is served at the Ibis Styles Belem Batista Campos.

Mercado Ver-O-Peso is 1.4 km from the hotel, while Mangal das Garças is 1.7 km away. Estação das Docas do Pará and Basílica Santuário de Nossa Senhora de Nazaré are 2 km from property. The closest airport is Aeroporto Internacional de Belém 9.1 km from Ibis Styles Belem Batista Campos.","Inglés, Tarjeta de acceso, Servicio de lavandería, Extintores, Adaptado personas de movilidad reducida, WiFi gratis, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Prohibido fumar en todo el alojamiento, Servicio de limpieza diario, Buen desayuno, Parking gratis, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, Aire acondicionado, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/319146476.jpg?k=359af8e3176ba117d337f4c7e33f2860fc8c58beac656d5cc115a8be5dedb713&o=&hp=1,Belém,Brasil
Hotel Ipê,https://www.booking.com/hotel/br/ipaa.es.html?aid=2410095,"El Hotel Ipê se encuentra en Belém y ofrece habitaciones con aire acondicionado y WiFi gratuita. El establecimiento está cerca de la basílica santuario de Nuestra Señora de Nazaret, la estación de Docas y el mercado de Ver-o-Peso. El establecimiento se encuentra a 4,2 km de Feliz Lusitania y a 1,1 km del Museo Emilio Goeldi.

Todas las habitaciones del hotel están equipadas con TV, minibar y baño privado.

En la zona de desayunos se sirve un desayuno buffet.

La recepción del Hotel Ipê proporciona información sobre la zona.

Cerca del alojamiento hay varios lugares de interés, como el Teatro de la Paz, la Universidad Federal de Para y el Museo del Estado de Para. El aeropuerto más cercano es el aeropuerto internacional de Belém/Val de Cans-Júlio Cezar Ribeiro, ubicado a 7 km.

El establecimiento dispone de aparcamiento giratorio con plazas limitadas. No garantizamos vacantes para huéspedes.","Tarjeta de acceso, Servicio de lavandería, Restaurante, WiFi gratis, Fruta, Fax / fotocopiadora, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, Prohibido fumar en todo el alojamiento, Caja fuerte, Servicio de planchado, Ducha, Servicio de limpieza diario, Desayuno en la habitación, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Parking en un garaje, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/46907776.jpg?k=288139479b708222019a95b8955f8e633f58921de63eea26bfdf3a1a9d63d2d7&o=&hp=1,Belém,Brasil
