hotel,hotel_url,description,popular_facilities,highres_url,city,country
Pousada Verde Villas,https://www.booking.com/hotel/br/pousada-verde-villas.es.html?aid=2410095,"El Pousada Verde Villas se encuentra en Brumadinho y dispone de jardín y terraza. Todas las habitaciones cuentan con TV de pantalla plana con canales por cable y baño privado. El restaurante del establecimiento sirve platos locales e internacionales.

Todas las habitaciones están equipadas con zona de estar, nevera y aire acondicionado. Algunos alojamientos incluyen balcón.

Todos los días se sirve un desayuno buffet o americano en el establecimiento.

El alojamiento alberga un parque infantil.

Belo Horizonte se encuentra a 38 km de la Pousada Verde Villas, mientras que Macacos está a 32 km. El aeropuerto de Belo Horizonte/Pampulha - Carlos Drummond de Andrade es el más cercano y queda a 41 km.","Inglés, Extintores, Llave de acceso, Menús para dietas especiales (bajo petición), Zona de juegos para niños, WiFi gratis, Registro de entrada / salida privado, Parking adaptado para personas de movilidad reducida, Habitaciones hipoalergénicas, Salas de reuniones / banquetes, Servicio de limpieza diario, Buen desayuno, Jardín, Proporciona factura, Parking gratis, Parking en un garaje, Aire acondicionado, Zona de spa / relajación, Zona de pícnic, Club infantil, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/83765539.jpg?k=3561e31ba046809b2cbdddbfeb90bfdb7522e82bd11132d601b61f1a43e1d563&o=&hp=1,Brumadinho,Brasil
Ville de Montagne Hotel,https://www.booking.com/hotel/br/ville-de-montagne.es.html?aid=2410095,"El Ville de Montagne Hotel ofrece conexión Wi-Fi y aparcamiento gratuitos, recepción abierta las 24 horas, salas de reuniones, servicio de lavandería y bar que sirve bebidas tradicionales y opciones exóticas.

Las habitaciones del Ville de Montagne disponen de aire acondicionado, ventilador, minibar, TV de pantalla plana con canales por cable y baño privado con secador de pelo. Los alojamientos deluxe incluyen también una bañera relajante.

El establecimiento se encuentra a unos 5 km de la estación de autobuses y el centro de Brumadinho y del centro de Inhotim y a 95 km del aeropuerto internacional Tancredo Neves.

El restaurante sirve todas las mañanas un desayuno buffet con fruta fresca, pan y embutidos, así como una selección de bebidas frías y calientes.","Inglés, Bar, TV de pantalla plana, Extintores, Restaurante, Escritorio, Adaptado personas de movilidad reducida, Zona de juegos para niños, WiFi gratis, Juegos de mesa / puzles, Baño de vapor, Traslado aeropuerto, Piscina al aire libre, Muy buen desayuno, TV, Minibar, Terraza / solárium, Caja fuerte, Sauna, Guardaequipaje, Ducha, Armario, Servicio de limpieza diario, Artículos de aseo gratis, Jardín, Suelo de baldosa / mármol, Canales por cable, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Zona de juegos interior, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/459968299.jpg?k=955fa7a90bc24763c650dd7f19442d2d9d94cd337441645c7a517f71f3e6e9ce&o=&hp=1,Brumadinho,Brasil
Hostel Amarelinho,https://www.booking.com/hotel/br/casa-grande-hostel.es.html?aid=2410095,"Hostel Amarelinho ofrece alojamiento en Brumadinho. Está a 1,9 km de Centro Cultural Inhotim y ofrece salón de uso común y wifi gratis.

Hay opciones buffet o continentales de desayuno disponibles todas las mañanas en la habitación en casa particular.","Portugués, Calefacción, Toallas, Ropa de cama, Zona de fumadores, Zona TV / salón de uso compartido, Aire acondicionado, Habitaciones familiares, Cocina compartida, Prohibido fumar en todo el alojamiento, Wifi rápida gratis (59 Mbps), Habitaciones sin humo, Seguridad 24 horas, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/570904104.jpg?k=fadf2ca035bb42b844aa65cd65a189c69ebdd1a76d50f4e3e65b0739725471fe&o=&hp=1,Brumadinho,Brasil
Hostel LARes,https://www.booking.com/hotel/br/hostel-lares.es.html?aid=2410095,"Hostel LARes se encuentra en Brumadinho, a 3,6 km de Centro Cultural Inhotim, y ofrece mostrador de información turística, habitaciones hipoalergénicas, jardín, wifi gratis en todo el alojamiento y salón de uso común. Este alojamiento, que cuenta con cocina compartida, también ofrece terraza solárium. Algunas habitaciones del alojamiento incluyen un balcón con vistas a la ciudad.","Inglés, Servicio de lavandería, Entretenimiento nocturno, Llave de acceso, Zona de fumadores, Masajes, Información turística, Plancha para pantalones, Cocina compartida, WiFi gratis, Juegos de mesa / puzles, Happy hour, Traslado aeropuerto, Mobiliario exterior, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Terraza / solárium, Masaje corporal completo, Servicio de planchado, Ducha, Servicio de limpieza diario, Senderismo, Jardín, Tours a pie, Ruta de bares, Portugués, Equipamiento de juegos para exterior, Zona TV / salón de uso compartido, WC, Zona de spa / relajación, Habitaciones familiares, Taquillas, Servicio de traslado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/513115777.jpg?k=c4958af9f6c55a54ff818f8f4cea80109f847d8371921c814b278906ad0c1077&o=&hp=1,Brumadinho,Brasil
Casa Lua,https://www.booking.com/hotel/br/casa-lua-brumadinho1.es.html?aid=2410095,"Casa Lua se encuentra en Brumadinho, a 1,9 km de Centro Cultural Inhotim, y dispone de terraza, habitaciones hipoalergénicas y wifi gratis en todo el alojamiento. El albergue tiene habitaciones familiares.

Las habitaciones de este alojamiento incluyen aire acondicionado y escritorio.","Peluquería / salón de belleza, Terraza, Llave de acceso, Ropa de cama, Zona de fumadores, Escritorio, Plancha para ropa, Cocina compartida, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Registro de entrada / salida privado, Habitaciones sin humo, Mobiliario exterior, Habitaciones hipoalergénicas, Caja fuerte, Ducha, Papel higiénico, Toallas, Secador de pelo, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Habitaciones familiares, Zona de comedor exterior, Portugués, Tendedero, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/509388402.jpg?k=cfe88ae9cd11b96bff63c2e8f68e3aa8ff5cad3724d25c0b1e5b27f9c087473d&o=&hp=1,Brumadinho,Brasil
Estrada Real Palace Hotel,https://www.booking.com/hotel/br/estrada-real-palace.es.html?aid=2410095,"Offering outdoor pool and a restaurant, Estrada Real Palace Hotel is located in Brumadinho, 1.5 km from the city centre. Free WiFi and free parking are available.

Rooms here will provide you with a flat-screen TV with satellite channels, air conditioning and a minibar. Featuring a shower, private bathrooms also come with a hairdryer, free toiletries and towels. Some of the rooms also feature a balcony.

A buffet breakfast is served daily at the restaurant. In addition, you can enjoy special drinks by the pool or at the bar. The property also has a sauna.

At Estrada Real Palace Hotel you will find a 24-hour front desk. Other facilities offered include a tour desk.

Estrada Real Palace Hotel is located 95 km from Confins Airport in Belo Horizonte, while Belo Horizonte/Pampulha Airport is within a distance of 60 km.","Tumbonas/sillas de playa, Abierta todo el año, TV de pantalla plana, Extintores, Ropa de cama, Sombrillas, Escritorio, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Baño de vapor, Teléfono, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, TV, Minibar, Piscina con vistas, Sauna, Canales vía satélite, Ducha, Servicio de despertador / alarma, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Solo para adultos, Adecuada para niños, Sala de juegos, Jardín, Proporciona factura, Suelo de baldosa / mármol, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Secador de pelo, Piscina infantil, Recepción 24 horas, Toda la unidad en la planta baja, Zona TV / salón de uso compartido, WC, Aire acondicionado, Accesible para personas sordas, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Toallas de playa/piscina, Portugués, Cámaras de seguridad fuera del alojamiento, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/152413835.jpg?k=f99f908936983d3827c9004d2e72f3057122711cc4d4aee0038ba7825e83864d&o=&hp=1,Brumadinho,Brasil
Pousada Kafundó - Inhotim,https://www.booking.com/hotel/br/pousada-kafundo.es.html?aid=2410095,"La Pousada Kafundó - Inhotim ofrece alojamiento en São Joaquim de Bicas, a 39 km de Belo Horizonte y a 9 km del parque Inhotim.

Las habitaciones disponen de TV de pantalla plana. Algunas habitaciones cuentan con aire acondicionado.

Hay servicio de habitaciones.

En la zona se pueden practicar diversas actividades, como pesca y senderismo. El aeropuerto internacional de Confins está a 89 km de la Pousada Kafundó.","Tumbonas/sillas de playa, Terraza, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, Abierta todo el año, TV de pantalla plana, Extintores, Restaurante, Ropa de cama, Vistas al jardín, Zona de comedor, Zona de fumadores, Ping pong, Sombrillas, Vistas a un lugar de interés, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Patio, Zona de estar, Registro de entrada / salida privado, Ventilador, Fruta, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, TV, Minibar, Terraza / solárium, Centro de negocios, Piscina con vistas, Pesca, Buffet para niños, Guardaequipaje, Ducha, Salas de reuniones / banquetes, Mesa de comedor, Vistas, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Senderismo, Adecuada para niños, Cámaras de seguridad fuera del alojamiento, Pediluvio, Jardín, Proporciona factura, Suelo de baldosa / mármol, Almuerzos para llevar, Desayuno en la habitación, Servicio de habitaciones, Cafetería en el alojamiento, Nevera, Parking gratis, Baño privado, Alquiler de bicicletas, Vino / champán, Portugués, Adaptado para sillas de ruedas, Piscina infantil, Ciclismo, Toallas de playa/piscina, Zona TV / salón de uso compartido, Aire acondicionado, Zona de spa / relajación, 2 piscinas, Habitaciones familiares, Zona de pícnic, Zona de comedor exterior, Barandillas protectoras para bebés, Balcón, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/247557977.jpg?k=4178cf13e7c206ecb6751c476f963cc2b128748af9b21d53d7c2833d8998d927&o=&hp=1,Brumadinho,Brasil
Pousada Villa da Serra,https://www.booking.com/hotel/br/pousada-villa-da-serra.es.html?aid=2410095,"La Pousada Villa da Serra ofrece habitaciones funcionales con conexión Wi-Fi gratuita. Está rodeada de amplios jardines y cuenta con piscinas para adultos y niños, campo de fútbol, pista de voleibol y varias actividades de ocio. También alberga un lago donde se puede pescar y donde podrá ver monos y aves.

Las habitaciones y chalets de la Pousada Villa disponen de patio con hamacas, TV, minibar y baño privado. Algunos alojamientos incluyen reproductor de DVD.

Por las mañanas se sirve un desayuno buffet que consta de una gran variedad de fruta fresca, varios tipos de pan y embutido, así como de una selección de bebidas.

El establecimiento está situado en la ciudad de Brumadinho, en la región Mário Campos. El establecimiento se encuentra a 60 km del centro de Belo Horizonte, a 75 km del aeropuerto internacional de Confins y a 12 km del centro de la ciudad de Brumadinho y de su estación de autobuses. El Museo Inhotim se sitúa a 13 km de la Villa da Serra. Se ofrece aparcamiento privado gratuito.","Tumbonas/sillas de playa, Inglés, Bar, Extintores, Restaurante, Ropa de cama, Vistas al jardín, Zona de fumadores, De temporada, Ping pong, Sombrillas, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Traslado aeropuerto, Parking adaptado para personas de movilidad reducida, Desayuno fantástico, Piscina infinita, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Pesca, Ducha, Vistas a un patio interior, Papel higiénico, Toallas, Billar, Servicio de limpieza diario, Senderismo, Adecuada para niños, Sala de juegos, Jardín, Tours a pie, Parking gratis, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Piscina infantil, Horario de apertura, WC, Aire acondicionado, 2 piscinas, Habitaciones familiares, Portugués, Balcón, Servicio de traslado, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/249958994.jpg?k=b16352ee4d2dfa918e5972bde65a8093ade5fd82d3109b613d3025282c17a763&o=&hp=1,Brumadinho,Brasil
Lar Doce Lar,https://www.booking.com/hotel/br/lar-doce-lar-brumadinho.es.html?aid=2410095,"Lar Doce Lar ofrece alojamiento en Brumadinho, a 6,9 km de Centro Cultural Inhotim. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

La casa o chalet dispone de 2 dormitorios, TV de pantalla plana con canales vía satélite, una cocina equipada con nevera y horno, lavadora y 1 baño con bañera o ducha. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto más cercano (Aeropuerto internacional de Tancredo Neves) está a 90 km.","TV de pantalla plana, Productos de limpieza, Ropa de cama, Escritorio, Zona de comedor, Plancha para ropa, Sofá cama, Balcón, Perchero, Sofá, WiFi gratis, Enchufe cerca de la cama, Zona de estar, Ventilador, Fogones, Entrada privada, Parking adaptado para personas de movilidad reducida, Horno, TV, Independiente, Microondas, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Guardaequipaje, Mesa de comedor, Toallas, Artículos de aseo gratis, Suelo de baldosa / mármol, Nevera, Parking en un garaje, Parking gratis, Baño privado, Portugués, Tostadora, Secador de pelo, Toda la unidad en la planta baja, WC, Habitaciones familiares, Cocina, Lavadora, Tendedero, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/575704948.jpg?k=d58cd817f386e07ee95214d038e9282a847c74edfaa5c6cd7f45c8be0b229c94&o=&hp=1,Brumadinho,Brasil
Hotel Fazenda Horizonte Belo,https://www.booking.com/hotel/br/fazenda-horizonte-belo.es.html?aid=2410095,"El Hotel Fazenda Horizonte Belo se encuentra en una granja, a 4 km del centro de Brumadinho, y ofrece piscina al aire libre, restaurante y jardín. El centro de Inhotim está a 9 km.

Las habitaciones del Fazenda Horizonte Belo tienen suelo de baldosa, balcón, TV, minibar y ventilador. El baño dispone de ducha.

Todas las mañanas se sirve un desayuno buffet con fruta fresca variada, pan y embutidos. Además, el bar restaurante del hotel ofrece especialidades regionales y una gran selección de bebidas. Se sirven cenas, por un suplemento.

El Hotel Fazenda Horizonte Belo está a 100 km del aeropuerto Tancredo Neves, y el establecimiento dispone de aparcamiento gratuito.","Tumbonas/sillas de playa, Terraza, Inglés, Bar, Snack-bar, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Hammam, Restaurante, Ropa de cama, Sombrillas, Ping pong, Zona de juegos para niños, WiFi gratis, Enchufe cerca de la cama, Baño de vapor, Ventilador, Fruta, Fax / fotocopiadora, Desayuno fantástico, TV, Menú para niños, Minibar, Centro de negocios, Pesca, Sauna, Bañera o ducha, Canales vía satélite, Ducha, Salas de reuniones / banquetes, Toallas, Gimnasio, Billar, Servicio de limpieza diario, Senderismo, Para todas las edades, Sala de juegos, Jardín, Proporciona factura, Tours a pie, Equitación, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Secador de pelo, Piscina infantil, Equipamiento de juegos para exterior, Zona de juegos interior, Toallas de playa/piscina, Zona TV / salón de uso compartido, WC, Aire acondicionado, Zona de spa / relajación, 2 piscinas, Habitaciones familiares, Zona de pícnic, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/419164757.jpg?k=57f5f7c397a953ee702ce0c62010a7c9a0590f491de5928d12b346213e42ab23&o=&hp=1,Brumadinho,Brasil
