hotel,hotel_url,description,popular_facilities,highres_url,city,country
BGA Hotel,https://www.booking.com/hotel/co/bga.es.html?aid=2410095,"El Santander BGA Hotel, de estilo boutique, alberga un restaurante y ofrece habitaciones con WiFi gratuita. El centro de Bucaramanga queda a 18 minutos a pie.

Las habitaciones presentan un diseño minimalista y disponen de TV por cable, escritorio y baño privado con artículos de aseo gratuitos y ducha con mampara de cristal. El BGA Hotel facilita toallas y ropa de cama.

La recepción 24 horas ofrece un servicio de consigna de equipaje. El personal del mostrador de información turística puede recomendar lugares de interés de la zona. Se presta un servicio de entrega de alimentos por un suplemento.

El bar sirve cócteles, cervezas y vino. Hay un bar cafetería.

El hotel se encuentra a menos de 35,2 km de la vía del teleférico. El aeropuerto de Yariguíes queda a 78 km.

El alojamiento cuenta con instalaciones de cotrabajo disponibles de forma gratuita para los huéspedes.","Servicio de entrega de comestibles, Terraza, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Caja fuerte, Habitaciones sin humo, Recepción 24 horas, Centro de negocios, Aire acondicionado, Extintores, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Buen desayuno, Detectores de humo, Servicio de habitaciones, Proporciona factura, Alquiler de coches, Reloj despertador, Barbacoa, Mobiliario exterior, Desayuno en la habitación, Gimnasio, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Bar, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/492571835.jpg?k=d8b2e91277540a35e89f58547d4581addf0daa36112a9ec1464b4140e9743bbf&o=&hp=1,Bucaramanga,Colombia
Hampton By Hilton Bucaramanga,https://www.booking.com/hotel/co/hampton-by-hilton-bucaramanga.es.html?aid=2410095,"El Hampton By Hilton Bucaramanga, situado en uno de los barrios más exclusivos de Cabecera, con varias tiendas y restaurantes locales a poca distancia a pie, ofrece centro de fitness, bañera de hidromasaje, vestíbulo Sky en la planta 13 y WiFi gratuita en todas las instalaciones. El desayuno está incluido.

Todas las habitaciones de este hotel disponen de aire acondicionado, zona de trabajo, cafetera, nevera pequeña, TV de pantalla plana y baño privado.

Además, el establecimiento cuenta con una tienda abierta las 24 horas, centro de negocios y un restaurante Crepes & Waffles.

El Hampton by Hilton Bucaramanga se encuentra a 1 km del consulado de España en Bucaramanga y a 1,3 km del Instituto Municipal de Cultura y Turismo. El aeropuerto de Palonegro se halla a 30 minutos en coche del hotel.","Servicio de entrega de comestibles, Secador de pelo, Terraza, Juegos de mesa / puzles, Supermercado pequeño en el alojamiento, Alarma de seguridad, Caja fuerte, Prohibido fumar en todo el alojamiento, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Adaptado para sillas de ruedas, Recepción 24 horas, Inglés, Centro de negocios, Aire acondicionado, Extintores, WC con barras de apoyo, Apoyo visual: carteles táctiles, Traslado aeropuerto, Vino / champán, Información turística, Tetera / cafetera, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Parking en un garaje, Muy buen desayuno, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Detectores de humo, Bañera de hidromasaje / jacuzzi, Proporciona factura, Reloj despertador, Zona de fumadores, Radio, Buffet para niños, Habitaciones insonorizadas, Tarjeta de acceso, Gimnasio, Utensilios de planchado, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Apoyo visual: braille, Terraza / solárium, Tetera/cafetera en todas las habitaciones, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Tumbonas/sillas de playa, Adaptado personas de movilidad reducida, Plancha para pantalones, Español, Ascensor, Happy hour, Sombrillas, Fax / fotocopiadora, Servicio de limpieza diario, Nevera",https://cf.bstatic.com/xdata/images/hotel/max1024x768/486107037.jpg?k=14c2919c3d2fa503c2664a6eb3dd9cf7a9833f638b5438abecc2828d04899e28&o=&hp=1,Bucaramanga,Colombia
"Holiday Inn Bucaramanga Cacique, an IHG Hotel",https://www.booking.com/hotel/co/holiday-inn-bucaramanga.es.html?aid=2410095,"El Holiday Inn Bucaramanga dispone de piscina cubierta, spa y centro de fitness, y está a solo 20 minutos en coche del aeropuerto. Hay además bar y restaurante en el establecimiento.

Las habitaciones tienen aire acondicionado, TV de pantalla plana y minibar. Hay cafetera, y algunas habitaciones ofrecen vistas a las montañas del entorno.

El restaurante de las instalaciones elabora cocina internacional, y hay otros sitios para comer en el centro comercial El Cacique, situado a solo 50 metros.

El establecimiento se halla a 5 minutos en coche de la zona financiera de la ciudad, y está a menos de 200 metros del estadio La Flora y a 30 minutos en coche del aeropuerto internacional de Palonegro.","Terraza, Spa y centro de bienestar, Casino, Zona de juegos para niños, Supermercado pequeño en el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Cafetería en el alojamiento, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Baños públicos, Entretenimiento nocturno, Cambio de moneda, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Cenas temáticas, Calefacción, Centro de negocios, Aire acondicionado, Desayuno fantástico, Extintores, Instalaciones de spa, Inglés, Discoteca / DJ, Masajes, Vino / champán, Menú para niños, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Parking en un garaje, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Detectores de humo, Servicio de habitaciones, Proporciona factura, Música / espectáculos en directo, Peluquería / salón de belleza, Cuerda de emergencia en el baño, Barbacoa, Mobiliario exterior, Habitaciones insonorizadas, Tarjeta de acceso, Desayuno en la habitación, Llave de acceso, Gimnasio, Servicio de planchado, Habitaciones hipoalergénicas, Servicio de lavandería, Salas de reuniones / banquetes, Apoyo visual: braille, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Bar, Restaurante, Adaptado personas de movilidad reducida, Paquetes de spa / bienestar, Habitaciones familiares, Español, Ascensor, Apoyo visual: carteles táctiles, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/244281305.jpg?k=01b4752eaa245f67c685ceafc9b6ec724a4323e8a07865a1c13492efd44dc981&o=&hp=1,Bucaramanga,Colombia
Hotel Ruittoque D Prada,https://www.booking.com/hotel/co/ruitoque-bucaramanga.es.html?aid=2410095,"El Ruitoque goza de una ubicación céntrica, a sólo 5 minutos en coche del centro comercial y financiero de Bucaramanga. Ofrece un restaurante, un mostrador de información turística, conexión Wi-Fi gratuita y aparcamiento gratuito.

Las habitaciones del Hotel Ruittoque D Prada presentan colores alegres y obras de arte enmarcadas en las paredes. TV por cable, radio, teléfono y minibar.

Todos los días se sirve un desayuno con café colombiano de calidad, panes y pasteles. El bar restaurante está especializado en cocina regional y ofrece servicio de habitaciones.

El Hotel Ruittoque D Prada se encuentra a 3 calles de los parques Santander y Simón Bolívar. El aeropuerto internacional de Palonegro está a 30 minutos en coche.","Servicio de entrega de comestibles, Terraza, Almuerzos para llevar, Caja fuerte, Baños públicos, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Cenas temáticas, Inglés, Baño privado, Aire acondicionado, Extintores, TV, Armario, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Parking en un garaje, Muy buen desayuno, Ropa de cama, Menús para dietas especiales (bajo petición), Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Zona de fumadores, Mobiliario exterior, Canales por cable, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/425945529.jpg?k=2a392631a29f13d964c57a7bfd0ceb6c24ebc9a84e840cc3e7506efaafb71d3e&o=&hp=1,Bucaramanga,Colombia
BLH Business Loft Hotel,https://www.booking.com/hotel/co/blh.es.html?aid=2410095,"BLH Business Loft Hotel se encuentra en Bucaramanga, a 8,9 km de Parque Acualago, y dispone de habitaciones con aire acondicionado y jardín. El alojamiento está a 11 km de Centro de Convenciones CENFER, a 3,2 km de Consulado de España y a 6,9 km de Neomundo Centro de Convenciones. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, salón de uso común y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones cuentan con armario. El baño privado está equipado con ducha y secador de pelo. En BLH Business Loft Hotel, cada habitación está equipada con escritorio y TV de pantalla plana.

Para mayor comodidad, el alojamiento tiene un centro de negocios.

Mesa de Los Santos está a 47 km del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional Palonegro) está a 22 km del alojamiento.","Secador de pelo, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Teléfono, Habitaciones sin humo, Recepción 24 horas, Inglés, Baño privado, Jardín, Centro de negocios, Extintores, TV, Aire acondicionado, Armario, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Muy buen desayuno, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Mobiliario exterior, Tarjeta de acceso, Servicio de despertador, Escritorio, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/156923830.jpg?k=84fb1781958d12eb1caa12dad42a87c62dca0fd82c344080ce6398bbac8da557&o=&hp=1,Bucaramanga,Colombia
HOTEL GUADALUPE BGA,https://www.booking.com/hotel/co/guadalupe-bga.es.html?aid=2410095,"HOTEL GUADALUPE BGA, que se encuentra a 7,6 km de Centro de Convenciones CENFER y a 1,9 km de Consulado de España, ofrece habitaciones en Bucaramanga. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Este alojamiento libre de humo está a 5,9 km de Parque Acualago.

En el hotel, cada habitación está equipada con armario. En HOTEL GUADALUPE BGA, las habitaciones disponen de escritorio, TV de pantalla plana y baño privado.

Neomundo Centro de Convenciones está a 4,4 km del alojamiento, y Mesa de Los Santos está a 44 km. El aeropuerto (Aeropuerto Internacional Palonegro) está a 17 km.","Armario, WC, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Baño privado, Toallas, TV de pantalla plana, Habitaciones familiares, Papel higiénico, Español, Recepción 24 horas, Aire acondicionado, WiFi gratis, Ducha, Servicio de despertador, Servicio de habitaciones, Escritorio",https://cf.bstatic.com/xdata/images/hotel/max1024x768/475940120.jpg?k=634f0029d5114fd43a917edebc15358bd8ffabd390d70f5432d82ea20d3b38a3&o=&hp=1,Bucaramanga,Colombia
Hotel jhonyky,https://www.booking.com/hotel/co/jhonyky-bucaramanga1.es.html?aid=2410095,"Hotel jhonyky se encuentra en Bucaramanga, a 5,4 km de Parque Acualago y a 7,5 km de Centro de Convenciones CENFER. Ofrece alojamiento con bar y parking privado gratis. El alojamiento está a unos 19 min a pie de Consulado de España, a 3,8 km de Neomundo Centro de Convenciones y a 43 km de Mesa de Los Santos. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, cada habitación incluye aire acondicionado y baño privado.

Teleférico de Chicamocha está a 48 km del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional Palonegro) está a 17 km del alojamiento.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ventilador, Baño privado, Aire acondicionado, Extintores, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Ropa de cama, Seguridad 24 horas, Ducha, Servicio de habitaciones, Proporciona factura, Llave de acceso, Habitaciones hipoalergénicas, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Bar, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578514009.jpg?k=2a7fdaa4091a63d3287294b18bc7ad704be2d50e70e3104205e37d04c103a2b7&o=&hp=1,Bucaramanga,Colombia
Casa de Pinos Hotel Boutique,https://www.booking.com/hotel/co/hostal-tamarindo-bucaramanga.es.html?aid=2410095,"El Hotel Casa de Pinos Hotel Boutique se encuentra en Bucaramanga. Hay conexión WiFi gratuita.

Todas las habitaciones disponen de aire acondicionado y TV. También incluyen caja fuerte, ropa de cama y productos de limpieza.

El Hotel Casa de Pinos Hotel Boutique cuenta con recepción 24 horas, jardín y terraza. También hay consigna de equipaje.

El establecimiento se encuentra a 35 km de la Vía del Teleférico y a 35 km de Via del Teleférico. El aeropuerto de Yariguies se encuentra a 78 km.","Servicio de entrega de comestibles, Secador de pelo, Terraza, Vestidor, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Inglés, Baño privado, Jardín, Extintores, Aire acondicionado, Parking, Armario, Traslado aeropuerto, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Parking en un garaje, Entrada privada, Desayuno fabuloso, Ropa de cama, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Mesa de comedor, Plancha para ropa, Productos de limpieza, Canales por cable, Desayuno en la habitación, Llave de acceso, Utensilios de planchado, Servicio de planchado, Guardaequipaje, Tostadora, Servicio de lavandería, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Insonorización, Zona de comedor, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/395939837.jpg?k=8acebb8c9b392bd035b95f1780c6cccf2c3173bbc62b9232163973279c974239&o=&hp=1,Bucaramanga,Colombia
HOTEL PLAZUELA REAL,https://www.booking.com/hotel/co/plazuela-real-bucaramanga.es.html?aid=2410095,"HOTEL PLAZUELA REAL está en Bucaramanga, a 5,4 km de Parque Acualago, y dispone de alojamiento con terraza, parking privado gratis, restaurante y bar. Este hotel de 2 estrellas ofrece recepción 24 horas y wifi gratis. Este alojamiento libre de humo se encuentra a 7,6 km de Centro de Convenciones CENFER.

En el hotel, cada habitación cuenta con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades de este alojamiento disponen de aire acondicionado y armario.

El desayuno diario ofrece opciones buffet, a la carta o americanas.

Consulado de España está a 1,7 km del alojamiento, y Neomundo Centro de Convenciones está a 3,9 km. El aeropuerto más cercano (Aeropuerto Internacional Palonegro) está a 17 km.","Desayuno, Terraza, Vestidor, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Adaptado para sillas de ruedas, Recepción 24 horas, Calefacción, Baño privado, Centro de negocios, Extintores, Aire acondicionado, Armario, Perchero, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Proporciona factura, Hervidor eléctrico, Tarjeta de acceso, Vistas a un patio interior, Llave de acceso, Servicio de planchado, Escritorio, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Tendedero, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495451116.jpg?k=010c5b123e37f0ea682683b2596139291875296e66f2e65f2331d3e61751c5b0&o=&hp=1,Bucaramanga,Colombia
Hotel Táchiras,https://www.booking.com/hotel/co/tachiras.es.html?aid=2410095,"Hotel Táchiras está en Bucaramanga, a 8,2 km de Parque Acualago, y dispone de alojamiento con wifi gratis y parking privado gratis. El alojamiento se encuentra a 10 km de Centro de Convenciones CENFER, a 8 min a pie de Consulado de España y a 5,6 km de Neomundo Centro de Convenciones. El alojamiento ofrece recepción 24 horas y servicio de organización de tours.

En el hotel, cada habitación cuenta con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Mesa de Los Santos está a 46 km del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional Palonegro) está a 20 km.","Prohibido fumar en todo el alojamiento, Caja fuerte, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Ropa de cama, Seguridad 24 horas, WiFi gratis, Llave de acceso, Guardaequipaje, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Español, Artículos de aseo gratis, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/53031032.jpg?k=21af4f8de7898fbbe17c0498f3cd5b09f24a7e33041f0b051b293351ae81fed3&o=&hp=1,Bucaramanga,Colombia
