hotel,hotel_url,description,popular_facilities,highres_url,city,country
Edificio Regata INN,https://www.booking.com/hotel/co/edificio-regata-aparta-estudios-amoblados-y-business-center.es.html?aid=2410095,"Edificio Regata INN está en Buenaventura y ofrece alojamiento con wifi gratis y TV de pantalla plana, además de salón de uso común y terraza.

Todas las unidades tienen baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

El desayuno está disponible cada mañana e incluye opciones a la carta, continentales o americanas.

El apartahotel ofrece un centro de negocios.

El aeropuerto más cercano (Aeropuerto Gerardo Tobar López) está a 15 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de entrega de comestibles, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Cafetería en el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Canales de pago, Noches de cine, Cambio de moneda, Recepción 24 horas, Inglés, Baño privado, Hipoalergénico, Apartamento privado en edificio, Centro de negocios, TV, Aire acondicionado, Extintores, Parking, Armario, Tour o clase sobre cultura local, Traslado aeropuerto, Perchero, Información turística, Vídeo, Cámaras de seguridad en las zonas comunitarias, Servicio de conserjería, Zona TV / salón de uso compartido, Muy buen desayuno, Ropa de cama, Menús para dietas especiales (bajo petición), Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Mobiliario exterior, Canales por cable, Tours a pie, Aseo adicional, Gimnasio, Servicio de despertador, Servicio de planchado, Escritorio, Servicio de lavandería, WC, Zona de comedor exterior, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529337590.jpg?k=5d1672a2fe6fb0285c4ffcdacb2010e899cca2e6625de5f20d3184fb485b6857&o=&hp=1,Buenaventura,Colombia
PlazaMar Pacifico Hotel,https://www.booking.com/hotel/co/plazamar-boutique.es.html?aid=2410095,"El Plazamar Pacifico Hotel ofrece habitaciones con conexión Wi-Fi gratuita y TV de plasma en Buenaventura. Hay aparcamiento gratuito. Las playas de Juanchaco están a 30 km.

Las habitaciones del Plazamar Pacifico Hotel están decoradas con pinturas contemporáneas y disponen de aire acondicionado y minibar. Todas tienen baño privado y algunas cuentan con bañera de hidromasaje.

El desayuno está incluido.

Hay caja fuerte.

El Plazamar Pacifico Hotel está a 18 km del aeropuerto Gerardo Tovar.","Servicio de entrega de comestibles, Secador de pelo, Terraza, Sombrillas, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Bañera o ducha, Habitaciones sin humo, Teléfono, Recepción 24 horas, Inglés, Baño privado, Centro de negocios, Extintores, Hipoalergénico, TV, Aire acondicionado, Armario, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Parking en un garaje, Servicio de traslado, Acceso a pisos superiores en ascensor, Galerías de arte temporales, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Enchufe cerca de la cama, Detectores de humo, Proporciona factura, Mobiliario exterior, Productos de limpieza, Radio, Canales por cable, Habitaciones insonorizadas, Llave de acceso, Servicio de planchado, Habitaciones hipoalergénicas, Escritorio, Guardaequipaje, Servicio de despertador, Servicio de lavandería, Salas de reuniones / banquetes, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Español, Ascensor, Nevera, Minibar, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/395466081.jpg?k=46e8c0e49bd3c137665d4a6a8c5c4469e66c5943b9e986ee97f23d3b458032c4&o=&hp=1,Buenaventura,Colombia
HOTEL DULCES SUEÑOS,https://www.booking.com/hotel/co/dulces-suenos-buenaventura1.es.html?aid=2410095,"HOTEL DULCES SUEÑOS se encuentra en Buenaventura y ofrece bar. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El cafetería es ideal para tomar algo.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hotel, cada habitación está equipada con baño privado y ducha, y algunas también ofrecen balcón. En HOTEL DULCES SUEÑOS, todas las habitaciones incluyen ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto Gerardo Tobar López) está a 16 km del alojamiento.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, WC, Cámaras de seguridad fuera del alojamiento, Bar, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521161747.jpg?k=ef302c7658bac2c5c9e557443233dbbee10b9ea587f4ff9ca13012ed68729aaf&o=&hp=1,Buenaventura,Colombia
HOTEL CORDILLERA,https://www.booking.com/hotel/co/cordillera-buenaventura1.es.html?aid=2410095,"HOTEL CORDILLERA dispone de centro de fitness, salón de uso común, restaurante y bar en Buenaventura. Este hotel de 3 estrellas ofrece casino y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y cambio de moneda.

En el hotel, todas las habitaciones disponen de escritorio y TV de pantalla plana. Todas las unidades disponen de armario.

HOTEL CORDILLERA ofrece desayuno continental o americano.

En el alojamiento, la clientela puede disfrutar de sauna.

El aeropuerto (Aeropuerto Gerardo Tobar López) está a 16 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Spa y centro de bienestar, Casino, Alarma de seguridad, Bañera o ducha, Teléfono, Senderismo, Baño privado, Centro de negocios, Extintores, Instalaciones de spa, Tour o clase sobre cultura local, Parking en un garaje, Parking en el alojamiento, Servicio de habitaciones, Masaje de pies, Proporciona factura, Alquiler de coches, Zona de juegos interior, Mobiliario exterior, Bañera, Masaje de cabeza, Restaurante, Balcón, Masaje de espalda, Clases de fitness, Sala de juegos, Servicio de entrega de comestibles, Cafetería en el alojamiento, Cambio de moneda, Cenas temáticas, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, WiFi gratis, Desayuno en la habitación, Escritorio, Salas de reuniones / banquetes, Baño de vapor, Clases de yoga, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Masaje de cuello, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Juegos de mesa / puzles, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Caja fuerte, Masaje de manos, Adaptado para sillas de ruedas, TV, Armario, Masajes, Servicio de traslado, Seguridad 24 horas, Sauna, Barbacoa, Tours a pie, Servicio de planchado, Guardaequipaje, WC, Bar, TV de pantalla plana, Toallas, Español, Prohibido fumar en todo el alojamiento, Baños públicos, Vistas, Recepción 24 horas, Inglés, Masaje en pareja, Traslado aeropuerto, Perchero, Información turística, Snack-bar, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Menús para dietas especiales (bajo petición), Peluquería / salón de belleza, Bidet, Gimnasio, Servicio de lavandería, Masaje corporal completo, Billar, Ascensor, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/434397212.jpg?k=e48039141b4fd5f19313ca8e1de1a2ff758af5dd4a1cfb7736379fab4cdc578c&o=&hp=1,Buenaventura,Colombia
Hostal El Rey,https://www.booking.com/hotel/co/hostal-el-rey-buenaventura.es.html?aid=2410095,"Hostal El Rey ofrece alojamiento en Buenaventura. Este alojamiento, que cuenta con servicio de habitaciones, también ofrece restaurante y terraza. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, salón de uso común y wifi gratis en todo el alojamiento.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también disponen de vistas a la ciudad. En el hostal o pensión, todas las habitaciones disponen de ropa de cama y toallas.

El aeropuerto (Aeropuerto Gerardo Tobar López) está a 16 km.","Terraza, Supermercado pequeño en el alojamiento, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Cambio de moneda, Vistas, Recepción 24 horas, Servicio de limpieza diario, Ventilador, Baño privado, Extintores, TV, Traslado aeropuerto, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, Acceso a pisos superiores en ascensor, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Barandillas protectoras para bebés, Zona de fumadores, Canales por cable, Llave de acceso, Servicio de lavandería, WC, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Ascensor, Artículos de aseo gratis, Papel higiénico, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/398847376.jpg?k=1948da87e2fb6f12db11ddaf730f20a83b2877b3e80c4849eb53439b29c9d879&o=&hp=1,Buenaventura,Colombia
Ayenda Yubarta,https://www.booking.com/hotel/co/yubarta.es.html?aid=2410095,"El Ayenda Yubarta está situado en Buenaventura. Dispone de terraza con vistas al mar, restaurante, bar y salón compartido.

Todas las habitaciones cuentan con TV de pantalla plana por cable, aire acondicionado, armario, escritorio, minibar y baño privado con artículos de aseo gratuitos. Algunas tienen vistas al mar, caja fuerte y zona de estar amplia. La ropa de cama y las toallas están incluidas.

El Yubarta Hotel ofrece recepción 24 horas y también hay conexión WiFi gratuita en algunas habitaciones.

El aeropuerto internacional Alfonso Bonilla Aragón, ubicado a 84 km, es el más cercano. Hay aparcamiento.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Almuerzos para llevar, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Cenas temáticas, Calefacción, Baño privado, Cochecitos de bebé, Centro de negocios, Extintores, TV, Aire acondicionado, Vino / champán, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, Ropa de cama, Menús para dietas especiales (bajo petición), Fruta, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Enchufe cerca de la cama, Detectores de humo, Bañera de hidromasaje / jacuzzi, Proporciona factura, Canales por cable, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de despertador, Escritorio, Servicio de lavandería, Salas de reuniones / banquetes, WC, Apoyo visual: braille, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Servicio de despertador / alarma, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/354826845.jpg?k=e3ed8e23e996b24baad6ddd64f9d4211ef4e0d48cb52b14b874791ca69e84d1d&o=&hp=1,Buenaventura,Colombia
Hotel Estación by Destino Pacifico,https://www.booking.com/hotel/co/estacion-by-destino-pacifico.es.html?aid=2410095,"Hotel Estación by Destino Pacifico tiene piscina al aire libre, jardín, terraza y restaurante en Buenaventura. Este hotel de 3 estrellas ofrece recepción 24 horas. El bar es ideal para tomar algo.

En el hotel, cada habitación cuenta con escritorio.

El aeropuerto (Aeropuerto Gerardo Tobar López) está a 16 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Horario de apertura, Habitaciones sin humo, Recepción 24 horas, Jardín, Aire acondicionado, Traslado aeropuerto, Ducha, Buen desayuno, Vistas a un lugar de interés, Adecuada para niños, Solo para adultos, Escritorio, Piscina infantil, Bar, Restaurante, Abierta todo el año, Balcón, Habitaciones familiares, Español, 2 piscinas, Zona poco profunda, Artículos de aseo gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/505890339.jpg?k=d6ad4fd8bddb505020e60a4e042c8d7a0b2ef60bf9e26fa64e3f779523ae7d9c&o=&hp=1,Buenaventura,Colombia
Cosmos Pacifico Hotel,https://www.booking.com/hotel/co/cosmos-pacifico.es.html?aid=2410095,"El Cosmos Pacífico Hotel está situado a 15 minutos a pie de la Zona Franca y a 100 metros del puerto de Buenaventura y ofrece piscina al aire libre, spa y centro de bienestar. Hay WiFi gratuita.

Las habitaciones del hotel Pacífico Cosmos disponen de aire acondicionado, minibar, caja fuerte y baño privado con ducha.

El Cosmos Pacífico Hotel cuenta con centro de fitness y servicio de lavandería.

El establecimiento se halla a 2 km del aeropuerto Gerardo Tovar López y a 86 km del aeropuerto internacional Alfonso Bonilla Aragón.","Secador de pelo, Terraza, Spa y centro de bienestar, Alarma de seguridad, Bañera o ducha, Teléfono, Habitaciones sin humo, Suelo de madera o parquet, Baño privado, Centro de negocios, Extintores, Hipoalergénico, Toda la unidad accesible en silla de ruedas, Ropa de cama, Buen desayuno, Servicio de habitaciones, Toallas de playa/piscina, Proporciona factura, Utensilios de planchado, Insonorización, Restaurante, Balcón, Piscina con vistas, Cajero automático en el hotel, Aire acondicionado, Menú para niños, Piscina en la azotea, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, WiFi gratis, Enchufe cerca de la cama, Habitaciones insonorizadas, Piscina al aire libre, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Adaptado personas de movilidad reducida, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Piscina climatizada, Almuerzos para llevar, Caja fuerte, Adaptado para sillas de ruedas, TV, Armario, Masajes, Acceso a pisos superiores en ascensor, Seguridad 24 horas, Artículos de aseo gratis, Detectores de humo, Vistas a un lugar de interés, Vistas al mar, Buffet para niños, Guardaequipaje, WC, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Tendedero, Español, Nevera, Zona de fumadores, Baños públicos, Vistas, Recepción 24 horas, Inglés, Información turística, Snack-bar, Servicio de conserjería, Menús para dietas especiales (bajo petición), Ducha, Plancha para ropa, Peluquería / salón de belleza, Gimnasio, Servicio de lavandería, Piscina infantil, Abierta todo el año, Tumbonas/sillas de playa, Vistas a la ciudad, Ascensor, Zona poco profunda, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/45111301.jpg?k=b3edd80168502af32ceac786e7e3e5dc79ac64b797a69e386d96d21e21d4eee3&o=&hp=1,Buenaventura,Colombia
Hotel Yubarta,https://www.booking.com/hotel/co/yubarta-buenaventura.es.html?aid=2410095,"Hotel Yubarta se encuentra en Buenaventura y dispone de restaurante y bar. Este hotel de 4 estrellas ofrece terraza y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

En el hotel, las habitaciones disponen de escritorio. Todas las habitaciones cuentan con caja fuerte, algunas ofrecen balcón y otras también disponen de vistas al mar. Todas las unidades del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

En Hotel Yubarta se puede disfrutar de un desayuno a la carta.

El aeropuerto más cercano (Aeropuerto Gerardo Tobar López) está a 16 km del alojamiento.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Caja fuerte, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Armario, Perchero, Parking gratis, WiFi gratis, Ducha, Servicio de habitaciones, Mesa de comedor, Escritorio, WC, Bar, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/546352217.jpg?k=0ddef03d6748a4219cc9af5902c251d137be6d6c1df14814218247be08566548&o=&hp=1,Buenaventura,Colombia
Villa Juliana,https://www.booking.com/hotel/co/villa-juliana-buenaventura1.es.html?aid=2410095,"Villa Juliana, que tiene piscina al aire libre, jardín y terraza, dispone de alojamiento en Buenaventura con wifi gratis y vistas a la ciudad. Esta habitación en casa particular ofrece parking privado gratis y cocina compartida.

La habitación en casa particular tiene TV de pantalla plana. Hay toallas y ropa de cama en la habitación en casa particular.

El personal está disponible en la recepción 24 horas.

En la habitación en casa particular, la clientela puede usar la barbacoa.

El aeropuerto más cercano (Aeropuerto Gerardo Tobar López) está a 11 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Juegos de mesa / puzles, Habitaciones sin humo, Vistas a la piscina, Senderismo, Vistas, Recepción 24 horas, Ventilador, Libros, DVD o música para niños, Baño privado, Jardín, Extintores, TV, Armario, Accesible para personas sordas, Tour o clase sobre cultura local, Traslado aeropuerto, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Patio, Ropa de cama, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Cocina compartida, Enchufe cerca de la cama, Cesta para mascotas, Zona de pícnic, Barbacoa, Mobiliario exterior, Piscina al aire libre, Hervidor eléctrico, Cafetera, Zona de estar, Llave de acceso, Vistas al jardín, Para todas las edades, WC, Terraza / solárium, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Abierta todo el año, TV de pantalla plana, Balcón, Toallas, Lavadora, Habitaciones familiares, Tendedero, Vistas a la ciudad, Español, Artículos de aseo gratis, Papel higiénico, Piscina privada, Zona de fumadores, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/399242678.jpg?k=50810bf8bb654ff4f44839571c6eaa3801faa45a66c87577f683bbfcb5f70738&o=&hp=1,Buenaventura,Colombia
