hotel,hotel_url,description,popular_facilities,highres_url,city,country
Casa amueblada en Buin,https://www.booking.com/hotel/cl/casa-amueblada-en-buin.es.html?aid=2410095,"Casa amueblada en Buin se encuentra en Buin, a 23 km de Centro de convenciones Monticello, a 36 km de Movistar Arena y a 37 km de Museo Interactivo Mirador. Este alojamiento con aire acondicionado está a 23 km de Casino Monticello y ofrece wifi gratis y parking privado en el propio alojamiento.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y cocina.

Museo de la Memoria y los Derechos Humanos está a 38 km del alojamiento, y Museo de Arte Precolombino está a 39 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 48 km del alojamiento.","Español, Parking gratis, Inglés, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Calefacción, Cocina, Aire acondicionado, WiFi gratis, Lavadora, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567768306.jpg?k=c84aeae3978d36d0f5d50a044a58c93869831f1af536c3d900f827bc75c25369&o=&hp=1,Buin,Chile
Cómoda y acogedora casa en Buin,https://www.booking.com/hotel/cl/comoda-casa-en-buin.es.html?aid=2410095,"Cómoda y acogedora casa en Buin es un alojamiento con jardín que se encuentra en Buin, a 20 km de Casino Monticello, a 20 km de Centro de convenciones Monticello y a 38 km de Movistar Arena. Esta casa o chalet está a 39 km de Museo Interactivo Mirador y a 39 km de Museo de la Memoria y los Derechos Humanos.

Esta casa o chalet cuenta con 4 dormitorios, cocina con nevera y horno, TV, zona de estar y 3 baños con bañera. Hay toallas y ropa de cama en la casa o chalet.

La casa o chalet ofrece zona de juegos infantil.

Museo de Arte Precolombino está a 41 km del alojamiento, y Cerro Santa Lucía está a 42 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 49 km del alojamiento.","Canguro / servicios para niños, Ropa de cama, Escritorio, Plancha para ropa, Perchero, Sofá, Zona de juegos para niños, Bañera, Zona de estar, Fogones, Barbacoa, Horno, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Microondas, Utensilios de cocina, Armario, Toallas, Artículos de aseo gratis, Senderismo, Cafetera, Jardín, Nevera, Tostadora, Secador de pelo, Cocina, Lavadora, Tendedero",https://cf.bstatic.com/xdata/images/hotel/max1024x768/555211188.jpg?k=999ec08a25822a9478deda3a82ab1c647961a7d4734ac20b71030d2eb4e8ced5&o=&hp=1,Buin,Chile
BUIN CENTRO Departamento,https://www.booking.com/hotel/cl/departamento-centro-buin.es.html?aid=2410095,"BUIN CENTRO Departamento se encuentra en Maipo y ofrece alojamiento con patio y wifi gratis. El alojamiento, que está a 23 km de Casino Monticello, dispone de jardín y parking privado gratis.

El apartamento dispone de 2 dormitorios, 2 baños, ropa de cama, toallas, TV de pantalla plana con canales por cable, cocina totalmente equipada y balcón con vistas al jardín.

Centro de convenciones Monticello está a 24 km del alojamiento, y Movistar Arena está a 35 km. El aeropuerto (Aeropuerto Arturo Merino Benítez) está a 46 km.","Albornoz, Tetera / cafetera, TV de pantalla plana, Extintores, Llave de acceso, Productos de limpieza, Ropa de cama, Escritorio, Vistas al jardín, Plancha para ropa, Balcón, Perchero, Sofá, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Patio, Bañera, Zona de estar, Entrada privada, Apartamento privado en edificio, Horno, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Microondas, Bañera o ducha, Utensilios de cocina, Ducha, Vistas a un patio interior, Mesa de comedor, Armario, Toallas, Vestidor, Suelo de baldosa / mármol, Jardín, Proporciona factura, Canales por cable, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Tostadora, Secador de pelo, Lavavajillas, Acceso a pisos superiores solo mediante escaleras, WC, Cocina, Lavadora, Tendedero, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512054422.jpg?k=f2196f8417ac79eccc59d98523fa93f84a301e2b47a59010ee452b3795f66dec&o=&hp=1,Buin,Chile
Hotel El Almendro,https://www.booking.com/hotel/cl/el-almendro.es.html?aid=2410095,"El Hotel El Almendro ofrece alojamiento en Paine. Tiene conexión WiFi gratuita y sirve un desayuno buffet diario.

Las habitaciones cuentan con TV por cable de pantalla plana y baño privado. También hay un balcón con vistas al jardín.

Además, el Hotel El Almendro dispone de jardín, terraza, instalaciones para reuniones y aparcamiento gratuito.

El Hotel El Almendro se encuentra a 3 km de varios restaurantes, entre ellos algunos que preparan comida chilena local. Asimismo, el Parque Zoológico Buin Zoo, los viñedos Santa Rita y el casino Monticello están a 15 minutos en coche. El centro comercial Plaza Sur se sitúa a 20 km.

El hotel se halla a 40 minutos en coche del centro de la ciudad de Santiago y a 50 minutos en coche del aeropuerto Arturo Merino Benítez. Se proporciona servicio de traslado por un suplemento.","Inglés, Servicio de lavandería, Extintores, Llave de acceso, Zona de fumadores, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Traslado aeropuerto, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Habitaciones insonorizadas, Español, Centro de negocios, Calefacción, Caja fuerte, Guardaequipaje, Servicio de planchado, Salas de reuniones / banquetes, Servicio de limpieza diario, Jardín, Proporciona factura, Seguridad 24 horas, Parking gratis, Recepción 24 horas, Detectores de humo, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/361977573.jpg?k=78fb599e5008e1181e2982639934ba81143dd47ca7a23dc925e5612f4ce60c0d&o=&hp=1,Buin,Chile
Hotel Casa Real - Viña Santa Rita,https://www.booking.com/hotel/cl/casa-real-vina-santa-rita.es.html?aid=2410095,"Ubicado a las afueras de Santiago, este monumento histórico se encuentra dentro del viñedo de Santa Rita, una de las bodegas más antiguas de Chile, y fue reformado totalmente en 2017 para convertirse en el Hotel Casa Real, un hotel boutique de lujo.

El hotel cuenta con 16 habitaciones de estilo neoclásico con vistas a los jardines y a la piscina. Alberga 2 restaurantes, el Casa Real en el interior o el restaurante Doña Paula en los jardines. Ambos ofrecen una amplia variedad de vinos.

Rodeado por un parque de 40 hectáreas, fue diseñado por el paisajista francés Guillermo Renner. Cuenta con laguna, cisnes de cuello negro y baños romanos. Los huéspedes podrán visitar el Museo Andino y participar en diferentes actividades relacionadas con el vino.

El establecimiento ofrece la posibilidad de participar en catas de vino, que se organizan bajo petición, o de disfrutar de un picnic gourmet en los jardines.

Todas las habitaciones incluyen botella de vino y otras comodidades.

El Aeropuerto Internacional Comodoro Arturo Merino Benítez se encuentra a 47 kilómetros del hotel, mientras que el centro de santiago está a 42 km.","Terraza, Extintores, Información turística, Zona de estar, Zapatillas, Piscina al aire libre, Teléfono, Fruta, Registro de entrada / salida privado, Servicio de conserjería, Alarma de seguridad, TV, Caja fuerte, Sauna, Chimenea exterior, Salas de reuniones / banquetes, Sala de juegos, Jardín, Tours a pie, Tour o clase sobre cultura local, Cafetería en el alojamiento, Zona de juegos interior, Recepción 24 horas, Zona de pícnic, Vistas, Tumbonas/sillas de playa, Restaurante, Escritorio, De temporada, Juegos de mesa / puzles, Camas extralargas (más de 2 metros), Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Prohibido fumar en todo el alojamiento, Calefacción, Ducha, Artículos de aseo gratis, Billar, Alquiler de bicicletas, Horario de apertura, TV de pantalla plana, Ropa de cama, Piscina pequeña, Perchero, Enchufe cerca de la cama, Traslado aeropuerto, Habitaciones sin humo, Español, Servicio de planchado, Armario, Toallas, Gimnasio, Canales por cable, Servicio de limpieza en seco, Masaje de espalda, Servicio de habitaciones, Capilla, Parking gratis, Baño privado, Detectores de humo, Toallas de playa/piscina, WC, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Inglés, Servicio de lavandería, Sombrillas, Masajes, Menús para dietas especiales (bajo petición), Plancha para pantalones, WiFi gratis, Suelo de madera o parquet, Mobiliario exterior, Desayuno fantástico, Terraza / solárium, Bañera o ducha, Guardaequipaje, Servicio de limpieza diario, Solo para adultos, Proporciona factura, Desayuno en la habitación, Seguridad 24 horas, Vino / champán, Secador de pelo, Ciclismo, Tours en bici, Galerías de arte temporales",https://cf.bstatic.com/xdata/images/hotel/max1024x768/105385477.jpg?k=2a1f7c30ea6240508f286f92eb5065f3f2e85e95da44ddb6d68da55a7ec79344&o=&hp=1,Buin,Chile
Viña LOF - Maipo Valley Bed & Breakfast in Winery,https://www.booking.com/hotel/cl/vina-lof-maipo-valley-bed-amp-breakfast-in-winery.es.html?aid=2410095,"Viña LOF - Maipo Valley Bed & Breakfast in Winery está a solo 25 km de Centro de convenciones Monticello y dispone de alojamiento en Paine con jardín y terraza, además de cocina compartida. Este alojamiento con aire acondicionado está a 25 km de Casino Monticello y ofrece wifi gratis y parking privado en el propio alojamiento.

La cocina dispone de nevera, lavavajillas y horno, y hay ducha, artículos de aseo gratuitos y secador de pelo.

El bed and breakfast ofrece barbacoa.

Museo Interactivo Mirador está a 37 km del alojamiento, y Movistar Arena está a 42 km. El aeropuerto (Aeropuerto Arturo Merino Benítez) está a 54 km.","Muebles de exterior, Terraza, Inglés, Tetera / cafetera, Ropa de cama, Productos de limpieza, Vistas al jardín, Zona de comedor, Escritorio, Vistas a un lugar de interés, Perchero, Desayuno, Cocina compartida, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Tendedero, Patio, Bañera, Zona de estar, Barbacoa, Fogones, Horno, Prohibido fumar en todo el alojamiento, Lavadora, Español, Terraza / solárium, Calefacción, Bañera o ducha, Microondas, Vistas a la ciudad, Utensilios de cocina, Francés, Ducha, Armario, Vistas, Toallas, Artículos de aseo gratis, Mesa de comedor, Cafetera, Vestidor, Jardín, Desayuno en la habitación, Hervidor eléctrico, Tour o clase sobre cultura local, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Vino / champán, Tostadora, Secador de pelo, Lavavajillas, WC, Aire acondicionado, Zona de comedor exterior, Cocina, Balcón, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/553486950.jpg?k=139b0cfadcca1fae4ac32fe63b289414d4de096f17411dfb2d135d39e48ac226&o=&hp=1,Buin,Chile
Casa de Huéspedes en Paine,https://www.booking.com/hotel/cl/casa-de-huespedes-en-paine.es.html?aid=2410095,"Casa de Huéspedes en Paine, que se encuentra en Paine, ofrece alojamiento con piscina privada. El alojamiento, que está a 16 km de Casino Monticello, dispone de terraza y parking privado gratis.

Esta casa o chalet cuenta con 3 dormitorios, TV de pantalla plana y cocina.

Centro de convenciones Monticello está a 16 km del alojamiento, y Museo Interactivo Mirador está a 41 km.","Parking gratis, Piscina, Piscina privada, Terraza, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Cocina, Español, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/511396791.jpg?k=4c5dd8453072cb9ba38eb9f11618e14ac87a11b1915c519e7f094fea09b36be0&o=&hp=1,Buin,Chile
Alojamiento Rural Casa Quinta Peumayen,https://www.booking.com/hotel/cl/alojamiento-rural-casa-quinta-peumayen.es.html?aid=2410095,"Alojamiento Rural Casa Quinta Peumayen se encuentra en Isla de Maipo, en la región de Región Metropolitana, a 34 km de Casino Monticello. Ofrece alojamiento con wifi gratis, zona de juegos infantil, piscina de temporada al aire libre y parking privado gratis.

Hay un baño privado con ducha y artículos de aseo gratuitos en cada unidad, además de secador de pelo.

La casa rural ofrece desayuno vegetariano o sin gluten.

Se ofrece jardín, barbacoa y terraza en Alojamiento Rural Casa Quinta Peumayen.

Centro de convenciones Monticello está a 34 km del alojamiento. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 56 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Tumbonas/sillas de playa, Terraza, Inglés, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, Vistas al jardín, Escritorio, Menús para dietas especiales (bajo petición), Ping pong, Información turística, Zona de fumadores, De temporada, Piscina pequeña, Desayuno, Zona de juegos para niños, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Zona poco profunda, Piscina climatizada, Mantas eléctricas, Patio, Zona de estar, Traslado aeropuerto, Piscina al aire libre, Barbacoa, Fruta, Registro de entrada / salida privado, Entrada privada, Mobiliario exterior, Menú para niños, Español, Terraza / solárium, Calefacción, Piscina con vistas, Bañera o ducha, Ducha, Vistas a un patio interior, Papel higiénico, Salas de reuniones / banquetes, Mesa de comedor, Valla alrededor de la piscina, Toallas, Artículos de aseo gratis, Senderismo, Para todas las edades, Jardín, Proporciona factura, Tours a pie, Desayuno en la habitación, Tour o clase sobre cultura local, Mosquitera, Baño al aire libre, Parking gratis, Baño privado, Alquiler de bicicletas, Vino / champán, Clases de cocina, Secador de pelo, Sombrillas, Equipamiento de juegos para exterior, Ciclismo, Toda la unidad en la planta baja, WC, Aire acondicionado, Accesible para personas sordas, Habitaciones familiares, Tours en bici, Zona de comedor exterior, Servicio de traslado, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/84795539.jpg?k=6184973bb775eb2d6cad4717807a1ba7d25bf70aac2f55add2f61f6801eacc39&o=&hp=1,Buin,Chile
Glamping Remanso del Espíritu,https://www.booking.com/hotel/cl/glamping.es.html?aid=2410095,"Glamping Remanso del Espíritu tiene piscina, jardín, terraza y vistas al jardín. Se encuentra en Isla de Maipo y ofrece alojamiento con ofrece.

Casino Monticello está a 28 km del alojamiento, y Centro de convenciones Monticello está a 29 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 52 km del alojamiento.","Terraza, Inglés, Abierta todo el año, Masaje de pies, Masajes, Vistas al jardín, Cocina compartida, Patio, Zona de estar, Ventilador, Barbacoa, Mobiliario exterior, Español, Calefacción, Piscina con vistas, Supermercado pequeño en el alojamiento, Mesa de comedor, Toallas, Para todas las edades, Bañera de hidromasaje / jacuzzi, Jardín, Masaje de espalda, Capilla, Parking gratis, Masaje de cuello, Horario de apertura, 2 piscinas, Habitaciones familiares, Baño compartido, Zona de pícnic, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/369592414.jpg?k=d8c85c09d11ea2aa9974e9d2fb7406ae44c0e2eb1b7e1871b5505d6890c08a0f&o=&hp=1,Buin,Chile
Cabaña Campestre de 1 Ambiente En Paine,https://www.booking.com/hotel/cl/habitacion-campestre-de-1-ambiente.es.html?aid=2410095,"Cabaña Campestre de 1 Ambiente En Paine, que cuenta con piscina al aire libre y servicio de habitaciones, ofrece alojamiento bien ubicado en Paine, a 9,3 km de Casino Monticello y a 10 km de Centro de convenciones Monticello. Este apartamento dispone de piscina privada, jardín y parking privado gratis.

El apartamento cuenta con 1 dormitorio, 2 baños, ropa de cama, toallas, TV de pantalla plana con canales vía satélite, zona de comedor, cocina totalmente equipada y terraza con vistas a la piscina.

En el apartamento se puede usar la barbacoa.

Movistar Arena está a 48 km del alojamiento, y Museo de la Memoria y los Derechos Humanos está a 50 km.","Muebles de exterior, Terraza, TV de pantalla plana, Servicio de lavandería, Productos de limpieza, Ropa de cama, Escritorio, Zona de comedor, De temporada, Plancha para ropa, Sofá cama, Sombrillas, Perchero, Vistas al jardín, Desayuno, Sofá, Vistas a la piscina, Enchufe cerca de la cama, Patio, Bañera, Zona de estar, Traslado aeropuerto, Piscina al aire libre, Fogones, Ventilador, Barbacoa, Entrada privada, Apartamento privado en edificio, Fax / fotocopiadora, TV, Español, Independiente, Calefacción, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Piscina privada, Ducha, Servicio de planchado, Mesa de comedor, Armario, Toallas, Artículos de aseo gratis, Vistas, Chimenea, Para todas las edades, Servicio de limpieza diario, Jardín, Canales por cable, Desayuno en la habitación, Servicio de habitaciones, Parking gratis, Baño privado, Secador de pelo, Aseo adicional, Radio, Baño adicional, Toda la unidad en la planta baja, WC, Zona de pícnic, Habitaciones familiares, Zona de comedor exterior, Cocina, Balcón, Servicio de traslado, Tendedero, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/188680936.jpg?k=43ff317f0a2fbdf5ce9f62688af79592c1ba7222986377a2a66fafc8a7369857&o=&hp=1,Buin,Chile
