hotel,hotel_url,description,popular_facilities,highres_url,city,country
La Casa de Adobe Natural y Más,https://www.booking.com/hotel/cl/la-casa-de-adobe-natural-y-ma-s.es.html?aid=2410095,"La Casa de Adobe Natural y Más ofrece alojamiento familiar ubicado en una hermosa casa colonial de 150 años de antigüedad, en Bulnes, a 1 km del centro de la ciudad y la zona comercial. El establecimiento dispone de piscina al aire libre, WiFi gratuita y desayuno diario.

Los huéspedes pueden elegir entre baños compartidos o baños privados con ducha y bañera. Los baños no están conectados entre habitaciones.

La Casa de Adobe Natural y Más alberga un precioso jardín y facilita aparcamiento gratuito.

Esta casa, declarada joya patrimonial de la zona, se encuentra en el km 1,8 de la Ruta 148 y en el km 426 de la Ruta 5. El establecimiento se encuentra a 1,5 km de la estación de autobuses de Eme, a 74 km del aeropuerto de Los Ángeles, a 78 km de Concepción y a 98 km de la estación de esquí.","Terraza, Abierta todo el año, Extintores, Información turística, Adaptado personas de movilidad reducida, Zona de estar, Registro de entrada / salida privado, Piscina al aire libre, Pedicura, Sauna, Microondas, Chimenea exterior, Salas de reuniones / banquetes, Mesa de comedor, Para todas las edades, Jardín, Spa y centro de bienestar, Tours a pie, Zona de juegos interior, Minigolf, Zona de pícnic, Habitaciones familiares, Tumbonas/sillas de playa, Servicios de belleza, Libros, DVD o música para niños, Vistas al jardín, Zona de comedor, Juegos de mesa / puzles, Patio, Barbacoa, Equipamiento de bádminton, Fax / fotocopiadora, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Masaje corporal completo, Calefacción, Paquetes de spa / bienestar, Ducha, Artículos de aseo gratis, Bañera de hidromasaje / jacuzzi, Tratamientos faciales, Alquiler de bicicletas, Horario de apertura, Ropa de cama, Zona de fumadores, Instalaciones de spa, Enchufe cerca de la cama, Baño de vapor, Traslado aeropuerto, Fogones, Habitaciones sin humo, Horno, Noches de cine, Español, Instalaciones para deportes acuáticos en el alojamiento, Toallas, Manicura, Hervidor eléctrico, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Zona TV / salón de uso compartido, WC, Esquí, Servicio de traslado, Papel higiénico, Inglés, Llave de acceso, Sombrillas, Masajes, WiFi gratis, Mobiliario exterior, Muy buen desayuno, Terraza / solárium, Bañera o ducha, Servicio de limpieza diario, Proporciona factura, Nevera, Secador de pelo, Karaoke, Equipamiento de juegos para exterior, Ciclismo, Toda la unidad en la planta baja, Zona de spa / relajación, Tours en bici, Zona de comedor exterior, Galerías de arte temporales",https://cf.bstatic.com/xdata/images/hotel/max1024x768/152228060.jpg?k=240ed15c4ad742f6f22df45706f65e3e5477c462413c4e3a9b68bc0b805e7736&o=&hp=1,Bulnes,Chile
Cabaña Casa Tetelhue,https://www.booking.com/hotel/cl/lodge-luna-nueva.es.html?aid=2410095,"Cabaña Casa Tetelhue se encuentra a 27 km de Estacion de Trenes de Chillan y ofrece alojamiento conjardín, zona de barbacoa y servicio de habitaciones. El alojamiento dispone de bañera de hidromasaje.

Las unidades están equipadas con terraza y ofrecen aire acondicionado, TV de pantalla plana y baño privado con ducha y secador de pelo. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.","Terraza, Inglés, TV de pantalla plana, Servicio de lavandería, Masaje de pies, Ropa de cama, Zona de fumadores, Vistas al jardín, Zona de comedor, Escritorio, Masaje de manos, Masajes, Perchero, Desayuno, Juegos de mesa / puzles, Bañera, Traslado aeropuerto, Barbacoa, Ventilador, Mobiliario exterior, Masaje de cabeza, Prohibido fumar en todo el alojamiento, Español, Masaje corporal completo, Calefacción, Servicio de planchado, Ducha, Clases de yoga, Armario, Vistas, Toallas, Mesa de comedor, Servicio de limpieza diario, Sala de juegos, Jardín, Proporciona factura, Bañera de hidromasaje / jacuzzi, Spa y centro de bienestar, Masaje de espalda, Hervidor eléctrico, Servicio de habitaciones, Parking gratis, Baño privado, Masaje de cuello, Secador de pelo, Toallas / sábanas (por un suplemento), Toda la unidad en la planta baja, WC, Aire acondicionado, Zona de spa / relajación, Habitaciones familiares, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552440466.jpg?k=cf49f5834a3a4f224795438281a008a973b96c6ca55bf75bd0efadefee248419&o=&hp=1,Bulnes,Chile
Hospedaje acceso a laguna y tinaja,https://www.booking.com/hotel/cl/hospedaje-acceso-a-laguna-y-tinaja.es.html?aid=2410095,"Hospedaje acceso a laguna y tinaja se encuentra en Quillón. El alojamiento, que está a 45 km de Estacion de Trenes de Chillan, dispone de terraza y parking privado gratis.

Esta casa o chalet cuenta con 3 dormitorios, TV de pantalla plana y cocina.","Parking gratis, Terraza, Inglés, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Barbacoa, Vistas al jardín, Cocina, Español, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547114272.jpg?k=18111c74d044c1e29762282b6004868a0683b4a3afd81a5f261c09eed3545840&o=&hp=1,Bulnes,Chile
Cabaña en Quinchamalí,https://www.booking.com/hotel/cl/cabana-en-quinchamali.es.html?aid=2410095,"Cabaña en Quinchamalí ofrece alojamiento en Quinchamali, a 35 km de Estacion de Trenes de Chillan. Este alojamiento ofrece parking privado gratis y acceso a un patio.

La casa o chalet tiene 2 dormitorios, 1 baño, ropa de cama, toallas, TV con canales por cable, zona de comedor, cocina totalmente equipada y terraza con vistas al jardín.","Terraza, Tetera / cafetera, Servicio de lavandería, Llave de acceso, Productos de limpieza, Ropa de cama, Vistas al jardín, Zona de comedor, Toda la unidad accesible en silla de ruedas, Sofá, Enchufe cerca de la cama, Tendedero, Patio, Zona de estar, Entrada privada, Suelo de madera o parquet, TV, Español, Terraza / solárium, Independiente, Calefacción, Microondas, Bañera o ducha, Utensilios de cocina, Ducha, Mesa de comedor, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Chimenea, Canales por cable, Parking gratis, Baño privado, Secador de pelo, Toda la unidad en la planta baja, Aire acondicionado, Accesible para personas sordas, Zona de pícnic, Habitaciones familiares, Cocina, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/409384802.jpg?k=6537ced054a760473a72af3fe9a32e33680a4406a5faf41d6e83d26bbfe7ced1&o=&hp=1,Bulnes,Chile
Casa Los Naranjos,https://www.booking.com/hotel/cl/casa-los-naranjos-qillon.es.html?aid=2410095,"Casa Los Naranjos se encuentra en Quillón, a solo 40 km de Estacion de Trenes de Chillan, y ofrece alojamiento con terraza y wifi gratis. Esta casa o chalet dispone de piscina privada, jardín y parking privado gratis.

Esta casa o chalet con aire acondicionado consta de 4 dormitorios independientes, una sala de estar, una cocina totalmente equipada y 3 baños. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto Internacional Carriel Sur) está a 72 km del alojamiento.","Español, Parking gratis, Piscina, Baño privado, Piscina privada, Terraza, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Calefacción, Cocina, Aire acondicionado, Jardín, WiFi gratis, Lavadora, Zona de cocina, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584941245.jpg?k=b1fa60d4b3bc6dd3a4e1da221648e115c935eca6c78f11cc87fec3683b0603e6&o=&hp=1,Bulnes,Chile
Cabaña Con Tinajas #2,https://www.booking.com/hotel/cl/cabana-con-tinajas-2.es.html?aid=2410095,"Cabaña Con Tinajas #2 está en Quillón y ofrece terraza. El alojamiento, que se encuentra a 45 km de Estacion de Trenes de Chillan, ofrece jardín y parking privado gratis.

El apartamento cuenta con 1 dormitorio, una cocina totalmente equipada con nevera y 1 baño con bañera de hidromasaje y secador de pelo. Se ofrece TV de pantalla plana.","Nevera, Parking gratis, Baño privado, Terraza, Jardín, Secador de pelo, TV de pantalla plana, Cocina, Ropa de cama, Chimenea, Habitaciones familiares, Bañera de hidromasaje, WiFi gratis, Español, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/279791115.jpg?k=5d10cc9bb0fb15cc9682fb44b8b82048cc901bf806a7b816f804e06bf351b5ff&o=&hp=1,Bulnes,Chile
Cabana Quillon,https://www.booking.com/hotel/cl/cabana-quillon.es.html?aid=2410095,"Cabana Quillon está en Quillón, en la región de Nuble, y tiene balcón. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

La casa o chalet tiene 3 dormitorios, 1 baño, ropa de cama, toallas, TV, cocina totalmente equipada y terraza con vistas al jardín. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Después de un día de senderismo, pesca o ciclismo, la clientela puede relajarse en el jardín o el salón de uso común.

Estacion de Trenes de Chillan está a 45 km del alojamiento.","Terraza, Tetera / cafetera, Reproductor de CD, Productos de limpieza, Ropa de cama, Vistas al jardín, Sofá cama, Vistas a un lugar de interés, Sofá, WiFi gratis, Enchufe cerca de la cama, Tendedero, Aseo compartido, Patio, Bañera, Entrada privada, TV, Español, Terraza / solárium, Calefacción, Independiente, Pesca, Bañera o ducha, Utensilios de cocina, Piscina privada, Ducha, Mesa de comedor, Vistas, Toallas, Artículos de aseo gratis, Chimenea, Senderismo, Vestidor, Suelo de baldosa / mármol, Jardín, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Secador de pelo, Piscina infantil, Radio, Toallas / sábanas (por un suplemento), Ciclismo, Toda la unidad en la planta baja, Zona TV / salón de uso compartido, Habitaciones familiares, Cocina, Balcón, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/165417893.jpg?k=d57776de11535e4a3010ce7a4571be1a9a286029dc6c0a1ebd61691d7a598947&o=&hp=1,Bulnes,Chile
Rukawe Quillon,https://www.booking.com/hotel/cl/rukawe-quillon-provincia-de-diguillin.es.html?aid=2410095,"Rukawe Quillon está a 41 km de Estacion de Trenes de Chillan y ofrece alojamiento con restaurante, piscina al aire libre, jardín y terraza.","Tumbonas/sillas de playa, Terraza, Bar, Abierta todo el año, Restaurante, Sombrillas, Happy hour, Piscina al aire libre, Barbacoa, Español, Piscina con vistas, Calefacción, Ducha, Papel higiénico, Valla alrededor de la piscina, Para todas las edades, Bañera de hidromasaje / jacuzzi, Jardín, Cafetería en el alojamiento, Parking gratis, Baño privado, Horario de apertura, Habitaciones familiares, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518701817.jpg?k=65054dd69423464fa2c47a38a09032336a1520d557c4e63b31168c4f89f840dc&o=&hp=1,Bulnes,Chile
Cabañas Sofi,https://www.booking.com/hotel/cl/cabanas-sofi.es.html?aid=2410095,"Cabañas Sofi está en Quillón y dispone de piscina privada, cocina y vistas al jardín. El alojamiento, que se encuentra a 40 km de Estacion de Trenes de Chillan, ofrece terraza y parking privado gratis.","Parking gratis, Piscina, Piscina privada, Terraza, Calefacción, Cocina, Vistas al jardín, WiFi gratis, Español, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522197227.jpg?k=a73cae9d743117333623b4feb9c01c55734704b6dafde3b5220e4e83f2cb8af8&o=&hp=1,Bulnes,Chile
Cabañas_pequen,https://www.booking.com/hotel/cl/cabanas-pequen-provincia-de-nuble.es.html?aid=2410095,"Cabañas_pequen se encuentra en Quillón, a solo 41 km de Estacion de Trenes de Chillan, y ofrece alojamiento con wifi gratis. Este apartamento dispone de piscina privada, jardín y parking privado gratis.

Este apartamento tiene acceso directo a una terraza y cuenta con 1 dormitorio independiente y cocina totalmente equipada. Se ofrece TV de pantalla plana.","Parking gratis, Piscina, Piscina privada, Terraza, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Cocina, Jardín, WiFi gratis, Español, Calefacción, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548822835.jpg?k=f44dd504705d0616ccdcdd770ae86b65a523f949e894da093ad19cecbf9bf9c8&o=&hp=1,Bulnes,Chile
