hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel El Gran Chaparral,https://www.booking.com/hotel/co/posada-el-gran-chaparral.es.html?aid=2410095,"Hotel El Gran Chaparral está en Calarcá, a 29 km de Parque Nacional del Café, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este alojamiento, que tiene habitaciones familiares, también ofrece zona de juegos infantil. Hay piscina cubierta y vistas a la montaña.

Todas las habitaciones están equipadas con TV de pantalla plana con canales vía satélite, hervidor, ducha, artículos de aseo gratuitos y armario. Algunas de las habitaciones incluyen cocina con nevera. En el hostal o pensión, cada habitación dispone de zona de estar.

En Hotel El Gran Chaparral se sirve cada mañana un desayuno americano.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 37 km del alojamiento. El aeropuerto (Aeropuerto internacional de El Edén) está a 18 km.","Desayuno, Juegos de mesa / puzles, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Jardín, Extintores, TV, Armario, Perchero, Información turística, Parking gratis, Zona TV / salón de uso compartido, Registro de entrada / salida privado, WiFi gratis, Ducha, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Zona de pícnic, Mobiliario exterior, Productos de limpieza, Canales por cable, Hervidor eléctrico, Vistas a la montaña, Zona de estar, Llave de acceso, Salas de reuniones / banquetes, WC, Zona de comedor exterior, Zona de comedor, Canales vía satélite, TV de pantalla plana, Abierta todo el año, Toallas, Habitaciones familiares, Español, 2 piscinas, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/488237212.jpg?k=ea31d687ecbbf14b6753ef0629c61a863860c9fa499fae75cea880dcbab1c7f7&o=&hp=1,Calarcá,Colombia
Hotel Plaza Paris,https://www.booking.com/hotel/co/plaza-paris-calarca.es.html?aid=2410095,"Hotel Plaza Paris, que está a 24 km de Parque Nacional del Café y a 34 km de Parque Nacional de la Cultura Agropecuaria (PANACA), ofrece habitaciones en Calarcá. Este hotel de 3 estrellas ofrece recepción 24 horas y wifi gratis. Jardín Botánico de Pereira está a 45 km del hotel y Universidad Tecnológica de Pereira, a 45 km.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, las habitaciones disponen de baño privado con ducha.

Museo de Arte de Pereira está a 46 km del alojamiento, y Monumento a los Fundadores está a 46 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 20 km.","Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Detectores de humo, Baño privado, Toallas / sábanas (por un suplemento), TV de pantalla plana, Toallas, Español, Recepción 24 horas, Inglés, Seguridad 24 horas, WiFi gratis, Ducha, Extintores, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/533530903.jpg?k=6c364470313311730bc1c74df0cc439c27954f201f19c04c6e299e9e90b28b8e&o=&hp=1,Calarcá,Colombia
Hotel Davinci Calarca,https://www.booking.com/hotel/co/del-parque-davinchi.es.html?aid=2410095,"Hotel Davinci Calarca se encuentra en Calarcá, a 24 km de Parque Nacional del Café y a 32 km de Parque Nacional de la Cultura Agropecuaria (PANACA). Este alojamiento, que cuenta con servicio de habitaciones, también ofrece terraza. Hay wifi gratis y se ofrece parking privado por un suplemento.

El personal de recepción puede dar consejos sobre la zona.

Jardín Botánico de Pereira está a 45 km del alojamiento, y Universidad Tecnológica de Pereira está a 45 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 20 km del alojamiento.","Servicio de entrega de comestibles, Terraza, Parking adaptado para personas de movilidad reducida, Caja fuerte, Habitaciones sin humo, Adaptado para sillas de ruedas, Recepción 24 horas, Extintores, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Parking en un garaje, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Proporciona factura, Zona de fumadores, Traslado aeropuerto (gratis), Llave de acceso, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Parking privado, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/557493083.jpg?k=0e83c930f259a64c427dd9c5b2fb8fc39213ee8cc74545e23e7e9d02539dbe3e&o=&hp=1,Calarcá,Colombia
Casa Ambrosía,https://www.booking.com/hotel/co/casa-ambrosia-calarca.es.html?aid=2410095,"Casa Ambrosía está a 24 km de Parque Nacional del Café y ofrece alojamiento consalón de uso común, terraza y cocina compartida. Hay wifi gratis en todo el alojamiento.

Algunas unidades tienen zona de estar y/o balcón.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 34 km del alojamiento, y Jardín Botánico de Pereira está a 45 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 20 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Senderismo, Inglés, Clases de cocina, Masajes, Tour o clase sobre cultura local, Traslado aeropuerto, Información turística, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Servicio de conserjería, WiFi gratis, Cocina compartida, Ruta de bares, Peluquería / salón de belleza, Tours a pie, Llave de acceso, Terraza / solárium, Clases de yoga, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547110686.jpg?k=fc25f195c7d7e38370953e6f13d2e62220b998490af1fdfbed3e4d4e25062b9d&o=&hp=1,Calarcá,Colombia
Hotel Plaza Calarcá,https://www.booking.com/hotel/co/plaza-calarca.es.html?aid=2410095,"El Hotel Plaza Calarcá se encuentra en Calarcá y ofrece salón compartido. Todas las habitaciones cuentan con TV de pantalla plana por cable y baño privado. Cuenta con recepción 24 horas, cocina compartida y servicio de organización de excursiones.

Las habitaciones incluyen armario.

El Hotel Plaza Calarcá se encuentra a 32 km de Pereira y a 46 km de Ibagué. El aeropuerto internacional El Edén, el más cercano, queda a 16 km. Se proporciona servicio de enlace con el aeropuerto por un suplemento.","Alarma de seguridad, Bañera o ducha, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ventilador, Baño privado, Extintores, TV, Armario, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Entrada privada, Seguridad 24 horas, Servicio de habitaciones, Canales por cable, Bidet, Servicio de lavandería, WC, TV de pantalla plana, Toallas, Lavadora, Habitaciones familiares, Tendedero, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/481187420.jpg?k=42378d7f7e167521f6dcd3eb6b8b47cdcec285772ec7b8a0d4c6e3b799b5f096&o=&hp=1,Calarcá,Colombia
finca santa clara,https://www.booking.com/hotel/co/finca-santa-clara-calarca.es.html?aid=2410095,"Finca santa clara está en Calarcá, a 24 km de Parque Nacional del Café, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo se encuentra a 34 km de Parque Nacional de la Cultura Agropecuaria (PANACA).

El desayuno está disponible todas las mañanas e incluye opciones americanas, vegetarianas o veganas.

Jardín Botánico de Pereira está a 43 km del alojamiento, y Universidad Tecnológica de Pereira está a 43 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 20 km.","Desayuno, Terraza, Traslado aeropuerto, Prohibido fumar en todo el alojamiento, Traslado aeropuerto (gratis), Parking gratis, Habitaciones sin humo, Sauna, Habitaciones familiares, Español, Piscina, Recepción 24 horas, WiFi gratis, Jardín, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585997148.jpg?k=2ce1c818efdab430cf59acb5ca199ac43ab2761500f59a6cbf0fb229599c20ac&o=&hp=1,Calarcá,Colombia
Hotel Karlaká Calarcá Quindio,https://www.booking.com/hotel/co/karlaka.es.html?aid=2410095,"Hotel Karlaká Calarcá Quindio está en Calarcá, a 28 km de Parque Nacional del Café, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. El alojamiento está a unos 38 km de Parque Nacional de la Cultura Agropecuaria (PANACA), a 50 km de Jardín Botánico de Pereira y a 50 km de Universidad Tecnológica de Pereira. El hotel ofrece vistas al jardín, piscina al aire libre, recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones están equipadas con armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades disponen de caja fuerte.

En Hotel Karlaká Calarcá Quindio se sirve todas las mañanas un desayuno americano.

Se puede jugar al billar, al mini golf y al tenis en este hotel de 3 estrellas, y la zona es ideal para practicar senderismo.

El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 16 km.","Desayuno, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Caja fuerte, Baños públicos, Habitaciones sin humo, Senderismo, Recepción 24 horas, Cenas temáticas, Baño privado, Jardín, Extintores, Armario, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Pista de tenis, Capilla, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Zona de pícnic, Zona de juegos interior, Mobiliario exterior, Piscina al aire libre, Minigolf, Llave de acceso, Vistas al jardín, Guardaequipaje, Cámaras de seguridad fuera del alojamiento, Billar, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535541852.jpg?k=59978d01d1fbaa12816726c78b6f8446dcc3fadace4aa1a79fd108dd540a26ca&o=&hp=1,Calarcá,Colombia
La Posada de Laura - Habitación,https://www.booking.com/hotel/co/posada-de-laura.es.html?aid=2410095,"La Posada de Laura - Habitación está a 24 km de Parque Nacional del Café y a 34 km de Parque Nacional de la Cultura Agropecuaria (PANACA), y dispone de wifi gratis y terraza. Esta habitación en casa particular está a 45 km de Jardín Botánico de Pereira y a 45 km de Universidad Tecnológica de Pereira.

La habitación en casa particular dispone de TV de pantalla plana.

Museo de Arte de Pereira está a 45 km del alojamiento, y Monumento a los Fundadores está a 46 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 20 km.","Armario, Terraza, WC, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Baño privado, TV de pantalla plana, Habitaciones familiares, Ropa de cama, Vistas, Español, Inglés, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/549854396.jpg?k=95b1440c3d6e1069cc44f078f776e0a5b83bb988410e611e1bd5dcfe59622c6b&o=&hp=1,Calarcá,Colombia
Ecohotel Alma,https://www.booking.com/hotel/co/ecohotel-alma.es.html?aid=2410095,"Ecohotel Alma está en Calarcá, a 29 km de Parque Nacional del Café, y dispone de alojamiento con jardín, parking privado gratis y restaurante. Este alojamiento, que tiene servicio de conserjería, también ofrece zona de juegos infantil. Algunas habitaciones del alojamiento tienen una terraza con vistas a la montaña.

En el hotel, las habitaciones cuentan con armario. Cada habitación dispone de cafetera y baño privado con ducha y artículos de aseo gratuitos. Algunas de las habitaciones incluyen cocina con nevera. En Ecohotel Alma, las habitaciones incluyen ropa de cama y toallas.

En el alojamiento se sirve cada mañana un desayuno americano.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 39 km del alojamiento. El aeropuerto (Aeropuerto internacional de El Edén) está a 18 km.","Juegos de mesa / puzles, Spa y centro de bienestar, Zona de juegos para niños, Bañera o ducha, Habitaciones sin humo, Noches de cine, Vistas, Libros, DVD o música para niños, Baño privado, Jardín, Desayuno fantástico, Extintores, Armario, Información turística, Tetera / cafetera, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Ropa de cama, Servicio de traslado, WiFi gratis, Ducha, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Alquiler de coches, Zona de pícnic, Productos de limpieza, Hervidor eléctrico, Cafetera, Llave de acceso, Vistas al jardín, Servicio de lavandería, WC, Tetera/cafetera en todas las habitaciones, Zona de comedor, Restaurante, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/558846529.jpg?k=eaba9e3a9608d18827cc905661e71d7c46130206258c09579d6b789ef71b0936&o=&hp=1,Calarcá,Colombia
Finca Hotel San Miguel,https://www.booking.com/hotel/co/finca-san-miguel-calarca.es.html?aid=2410095,"Finca Hotel San Migueldispone de piscina al aire libre, jardín y terraza. Está en Calarcá, a 30 km de Parque Nacional del Café y a 40 km de Parque Nacional de la Cultura Agropecuaria (PANACA).

Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

En el lodge se sirve cada mañana un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 20 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Terraza, Juegos de mesa / puzles, Horario de apertura, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Inglés, Baño privado, Jardín, Extintores, Traslado aeropuerto, Información turística, Parking gratis, Ropa de cama, Servicio de traslado, Ducha, Mobiliario exterior, Productos de limpieza, Piscina al aire libre, Para todas las edades, WC, Terraza / solárium, Abierta todo el año, Toallas, Habitaciones familiares, Español, Piscina con vistas, Toda la unidad en la planta baja, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583955289.jpg?k=6574e4c1887a658a8307e1c1670371f0750f86db29fa79397519989bb8f11582&o=&hp=1,Calarcá,Colombia
