hotel,hotel_url,description,popular_facilities,highres_url,city,country
Apartahotel acpr,https://www.booking.com/hotel/co/apartahotel-acpr.es.html?aid=2410095,"Apartahotel acpr dispone de vistas a la ciudad, wifi gratis y parking privado gratis. Está en Cali, a 15 min a pie de Parque Panamericano.

Cada unidad tiene baño privado, ducha, aire acondicionado, TV de pantalla plana y nevera.

Catedral de San Pedro está a 4,4 km del alojamiento, y Teatro Jorge Isaacs está a 4,4 km. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 24 km.","Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Bañera o ducha, Cocina, Mesa de comedor, Lavadora, Canales por cable, Accesible para personas sordas, Utensilios de cocina, Independiente, WiFi gratis, Inglés, Baño privado, Servicio de streaming (como Netflix), Apartamento privado en edificio, Zona de comedor, Vistas a la ciudad, TV de pantalla plana, Zona de cocina, Nevera, Papel higiénico, Ducha, Entrada privada, Aire acondicionado, Español, Detector de monóxido de carbono, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/571887263.jpg?k=89fa354f3dd2d0acc6bc45ac593ec43e495ff633b78cab7c2609f73f915df393&o=&hp=1,Cali,Colombia
HOTEL SAN ANTONIO PLAZA,https://www.booking.com/hotel/co/san-antonio-plaza-cali1.es.html?aid=2410095,"HOTEL SAN ANTONIO PLAZA, que está a 7 min a pie de Catedral de San Pedro y a 1 km de La Ermita, ofrece habitaciones en Cali. Este hotel de 4 estrellas ofrece terraza y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

En el hotel, las habitaciones cuentan con armario. En HOTEL SAN ANTONIO PLAZA, todas las habitaciones tienen TV de pantalla plana y algunas también ofrecen vistas a la ciudad. En el alojamiento, las habitaciones incluyen ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como Teatro Jorge Isaacs, Teatro Municipal de Cali y Plaza de Caycedo. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 20 km.","Servicio de habitaciones, Toallas, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, TV, WC, Perchero, Terraza, WiFi gratis, Baño privado, Habitaciones familiares, Servicio de despertador, TV de pantalla plana, Armario, Recepción 24 horas, Papel higiénico, Parking, Ducha, Teléfono, Aire acondicionado, Español, Artículos de aseo gratis, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/534337493.jpg?k=7d70d150675e1614e0a9436497ac30c4b255620f7515f0ec3bf37515658674de&o=&hp=1,Cali,Colombia
Hotel Ibis Cali Granada,https://www.booking.com/hotel/co/ibis-cali-granada.es.html?aid=2410095,"Hotel Ibis Cali Granada está en Cali, a 1,7 km de La Ermita, y dispone de alojamiento con restaurante, parking privado gratis y bar. Este hotel de 3 estrellas ofrece recepción 24 horas, centro de negocios y wifi gratis. Este alojamiento libre de humo se encuentra a 19 min a pie de Catedral de San Pedro.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. En Hotel Ibis Cali Granada, las habitaciones disponen de ropa de cama y toallas.

En el alojamiento se sirve cada mañana un desayuno buffet.

Cerca del alojamiento hay puntos de interés como Teatro Jorge Isaacs, Torre de Cali y Plaza de Caycedo. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 19 km.","Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Lavamanos más bajo, Enchufe cerca de la cama, Habitaciones sin humo, Bar, Cámaras de seguridad fuera del alojamiento, Guardaequipaje, Ascensor, TV, Parking en un garaje, Fax / fotocopiadora, WC, Vistas, Canales por cable, Zona de fumadores, Perchero, Vino / champán, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Tarjeta de acceso, Insonorización, Servicio de despertador / alarma, Caja fuerte para ordenador portátil, Registro de entrada y salida exprés, WC con barras de apoyo, Español, Inglés, Fruta, Información turística, Secador de pelo, Restaurante, Baño privado, Servicio de planchado, Escritorio, Registro de entrada / salida privado, Llave de acceso, Menú para niños, WC elevado, Vistas a la ciudad, Detectores de humo, Menús para dietas especiales (bajo petición), Servicio de limpieza en seco, Caja fuerte, Servicio de despertador, Muy buen desayuno, TV de pantalla plana, Armario, Adaptado para sillas de ruedas, Acceso a pisos superiores en ascensor, Parking adaptado para personas de movilidad reducida, Recepción 24 horas, Papel higiénico, Adaptado personas de movilidad reducida, Snack-bar, Extintores, Proporciona factura, Ducha, Teléfono, Centro de negocios, Alarma de seguridad, Seguridad 24 horas, Aire acondicionado, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/409295834.jpg?k=c4e2fac14df6a25a6434d6118dcb0a490a3bdc12e675f5bd2330bce2c4b9aa3d&o=&hp=1,Cali,Colombia
NH Boulevard del Río Cali,https://www.booking.com/hotel/co/nh-boulevard-del-rio-cali.es.html?aid=2410095,"El NH Boulevard del Río Cali se encuentra en Cali, a 2 km del teatro Jorge Isaacs, y ofrece WiFi gratuita. El establecimiento se encuentra a 2,2 km de la iglesia de La Ermita y a 2,3 km de la catedral de San Pedro. El establecimiento se encuentra a 3,6 km del parque Panamericano.

Todas las habitaciones incluyen escritorio y TV de pantalla plana. Las habitaciones disponen de baño privado con artículos de aseo gratuitos, mientras que algunas habitaciones tienen balcón. Todas las habitaciones incluyen un armario.

El personal de recepción habla inglés y español.

El NH Boulevard del Río Cali se encuentra a 7 km de la plaza de toros de Cañaveralejo y a 31 km del parque natural nacional Farallones de Cali. El aeropuerto internacional Alfonso Bonilla Aragón queda a 21 km.","Servicio de habitaciones, Minibar, Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Lavamanos más bajo, Enchufe cerca de la cama, Habitaciones sin humo, Bar, Bañera o ducha, Guardaequipaje, Cámaras de seguridad fuera del alojamiento, Ascensor, TV, Parking en un garaje, Fax / fotocopiadora, WC, Canales por cable, Reloj despertador, Vino / champán, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Tarjeta de acceso, Español, Servicio de aparcacoches, Servicio de despertador / alarma, WC con barras de apoyo, Inglés, Fruta, Gimnasio, Salas de reuniones / banquetes, Secador de pelo, Restaurante, Traslado aeropuerto, Baño privado, Escritorio, Utensilios de planchado, Registro de entrada / salida privado, Llave de acceso, Cambio de moneda, Menú para niños, Servicio de limpieza diario, Detectores de humo, Servicio de limpieza en seco, Caja fuerte, Servicio de despertador, Muy buen desayuno, TV de pantalla plana, Adaptado para sillas de ruedas, Acceso a pisos superiores en ascensor, Mobiliario exterior, Parking adaptado para personas de movilidad reducida, Recepción 24 horas, Papel higiénico, Adaptado personas de movilidad reducida, Servicio de conserjería, Extintores, Ducha, Teléfono, Alarma de seguridad, Aire acondicionado, Artículos de aseo gratis, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/525116541.jpg?k=906dc93ce567abf72646450b8e1fdc9e5d0338d838d1078ffaf0f7e8790e91eb&o=&hp=1,Cali,Colombia
Hotel Imbanaco,https://www.booking.com/hotel/co/imbanaco-cali.es.html?aid=2410095,"Imbanaco Cali es un moderno hotel en Tequendama, conocido por su turismo médico.  Ofrece exteriores blancos y habitaciones con conexión Wi-Fi gratuita a 23 km del aeropuerto Alfonso Aragón.

El Hotel Imbanaco goza de una buena ubicación, a solo 15 minutos en coche de la clínica Fundación Valle de Lili.  También está rodeado por varias clínicas estéticas y médicas.

Las habitaciones del Hotel Imbanaco presentan una decoración blanca típica de todo el hotel, con muebles de madera.  Todas disponen de aire acondicionado y TV por cable.

Todos los días se sirve un desayuno americano con huevos, frutas tropicales y pasteles. También hay servicio de habitaciones.  El hotel goza de una ubicación céntrica en Cali, cerca de varios restaurantes.

Los huéspedes del Imbanaco Cali pueden ponerse en contacto con el hotel para organizar el servicio de enlace con el aeropuerto.","Toallas, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Habitaciones sin humo, Bañera o ducha, Guardaequipaje, Cámaras de seguridad fuera del alojamiento, TV, WC, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Servicio de despertador / alarma, Información turística, Salas de reuniones / banquetes, Buen desayuno, Restaurante, Baño privado, Escritorio, Registro de entrada / salida privado, Llave de acceso, Servicio de limpieza diario, Menús para dietas especiales (bajo petición), Habitaciones familiares, Servicio de despertador, TV de pantalla plana, Recepción 24 horas, Papel higiénico, Servicio de conserjería, Ducha, Aire acondicionado, Español, Artículos de aseo gratis, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/275762904.jpg?k=9b01d27e6ea4f2482b191b0fd4cd10b33d889013431065f76c76b47d01255971&o=&hp=1,Cali,Colombia
Hotel Granada Suites - AV 9,https://www.booking.com/hotel/co/granada-suite-av-9.es.html?aid=2410095,"Hotel Granada Suites - AV 9 está en Cali, a 13 min a pie de Catedral de San Pedro y a 900 metros de La Ermita, y ofrece alojamiento con wifi gratis y zona de estar.

Cada unidad tiene baño privado, ducha, aire acondicionado, TV de pantalla plana y minibar. Algunas unidades también tienen una cocina equipada con nevera.

El apartamento ofrece desayuno a la carta o americano.

Cerca del alojamiento hay puntos de interés como Teatro Jorge Isaacs, Torre de Cali y Teatro Municipal de Cali. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 20 km.","Minibar, Toallas, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Habitaciones sin humo, Bañera o ducha, Ascensor, TV, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Independiente, WiFi gratis, Insonorización, Español, Inglés, Desayuno, Acceso a pisos superiores solo mediante escaleras, Baño privado, Registro de entrada / salida privado, Servicio de streaming (como Netflix), Canales de pago, Llave de acceso, Servicio de limpieza diario, Toallas / sábanas (por un suplemento), Habitaciones familiares, Zona de estar, Toda la unidad accesible en silla de ruedas, TV de pantalla plana, Acceso a pisos superiores en ascensor, Recepción 24 horas, Papel higiénico, Parking, Máquina expendedora (bebidas), Ducha, Entrada privada, Aire acondicionado, Habitaciones insonorizadas, Seguridad 24 horas, Toda la unidad en la planta baja",https://cf.bstatic.com/xdata/images/hotel/max1024x768/579798971.jpg?k=b0d5bb1f5e2d2ecfe7f056a3129b8012ee3ef0c2badf54ce78cbf428bba224bb&o=&hp=1,Cali,Colombia
AW Hotel Chipichape Urban,https://www.booking.com/hotel/co/aw-tower-cali.es.html?aid=2410095,"AW Hotel Chipichape Urban se encuentra en Cali, a 4,7 km de La Ermita, y ofrece vistas a la montaña. Este hotel de 4 estrellas ofrece salón de uso común, servicio de habitaciones y wifi gratis. El alojamiento ofrece servicio de conserjería, mostrador de información turística y cambio de moneda.

En el hotel, todas las habitaciones están equipadas con aire acondicionado, escritorio, TV de pantalla plana, baño privado, ropa de cama, toallas y terraza con vistas a la ciudad. Todas las habitaciones tienen caja fuerte, y algunas también ofrecen balcón. Las habitaciones incluyen armario.

Hay parking privado gratis y centro de negocios, así como recepción 24 horas.

Catedral de San Pedro está a 5,3 km del alojamiento, y Teatro Jorge Isaacs está a 6 km. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 19 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza / solárium, Fax / fotocopiadora, Perchero, Terraza, Habitaciones hipoalergénicas, Gimnasio, Traslado aeropuerto, Productos de limpieza, Servicio de limpieza diario, Caja fuerte, Bañera de hidromasaje / jacuzzi, TV de pantalla plana, Recepción 24 horas, Papel higiénico, Adaptado personas de movilidad reducida, Extintores, Teléfono, Habitaciones insonorizadas, Ropa de cama, Servicio de habitaciones, Habitaciones sin humo, Ascensor, Parking en un garaje, Zona de fumadores, Cámaras de seguridad en las zonas comunitarias, Suelo de baldosa / mármol, Información turística, Salas de reuniones / banquetes, Almuerzos para llevar, Desayuno, Ventilador, Escritorio, Llave de acceso, Cambio de moneda, Zona TV / salón de uso compartido, Camas extralargas (más de 2 metros), Solárium, Zona de estar, Toda la unidad accesible en silla de ruedas, Vistas a la montaña, Ducha, Entrada privada, Centro de negocios, Seguridad 24 horas, Artículos de aseo gratis, Minibar, Parking gratis, Prohibido fumar en todo el alojamiento, Bañera o ducha, Guardaequipaje, WC, Vistas, WiFi gratis, Registro de entrada y salida exprés, Baño privado, Registro de entrada / salida privado, Vistas a la ciudad, Instalaciones de spa, Habitaciones familiares, Plancha para pantalones, Vistas a un lugar de interés, Adaptado para sillas de ruedas, Baños públicos, Mobiliario exterior, Servicio de conserjería, Aire acondicionado, Servicio de traslado, Toallas, Enchufe cerca de la cama, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, TV, Canales por cable, Sofá, Vino / champán, WC con barras de apoyo, Inglés, Detectores de humo, Menús para dietas especiales (bajo petición), Servicio de despertador, Armario, Zona de pícnic, Acceso a pisos superiores en ascensor, Snack-bar, Alarma de seguridad, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/334867045.jpg?k=fc595fb6e7f8964637b74140c0bd5dc14af8f109e0b02795576423a03f6690b3&o=&hp=1,Cali,Colombia
Hotel Alameda Plaza,https://www.booking.com/hotel/co/alameda-plaza.es.html?aid=2410095,"Hotel Alameda Plaza se encuentra en Cali, a 15 min a pie de Parque Panamericano, y ofrece vistas a la montaña. Este hotel de 3 estrellas ofrece salón de uso común y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El hotel tiene terraza, vistas a la ciudad, restaurante y cafetería.

Las habitaciones de este alojamiento incluyen TV de pantalla plana con canales por cable, zona de cocina y zona de comedor. Todas las habitaciones cuentan con lavavajillas.

El personal de recepción puede dar consejos sobre qué hacer o cómo moverse por la zona.

Cerca del alojamiento hay puntos de interés como Biblioteca Departamental Jorge Garcés Borrero, Teatro Municipal de Cali y Parque del Perro. El aeropuerto (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 22 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de habitaciones, Terraza / solárium, Muebles de exterior, Servicio de entrega de comestibles, Habitaciones sin humo, Aseo adicional, Bañera o ducha, Mesa de comedor, Guardaequipaje, Cámaras de seguridad fuera del alojamiento, Barbacoa, TV, Zona de fumadores, WC, Canales por cable, Perchero, Terraza, Vino / champán, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, WiFi gratis, Español, Patio, Bañera, Zona de comedor exterior, Fruta, Restaurante, Traslado aeropuerto, Baño privado, Productos de limpieza, Servicio de planchado, Servicio de streaming (como Netflix), Zona de comedor, Vistas a la ciudad, Servicio de limpieza diario, Servicio de traslado, Cafetera, Horno, Zona TV / salón de uso compartido, Habitaciones familiares, Servicio de limpieza en seco, Desayuno excepcional, Zona de cocina, TV de pantalla plana, Microondas, Recepción 24 horas, Papel higiénico, Snack-bar, Vistas a la montaña, Servicio de conserjería, Extintores, Proporciona factura, Ducha, Lavavajillas, Desayuno en la habitación, Entrada privada, Alarma de seguridad, Seguridad 24 horas, Artículos de aseo gratis, Vestidor, Aire acondicionado, Servicio de lavandería",https://cf.bstatic.com/xdata/images/hotel/max1024x768/409248268.jpg?k=405ab9ee09603cbf2ea93ec4ae3f7747e39699a275e3785bd68995f7312390af&o=&hp=1,Cali,Colombia
Hotel Granada Loft,https://www.booking.com/hotel/co/loft-granada-inn.es.html?aid=2410095,"Hotel Granada Loft se encuentra en Cali, a 13 min a pie de Catedral de San Pedro y a 1,3 km de La Ermita. El alojamiento está a 13 min a pie de Teatro Jorge Isaacs, a 3,5 km de Parque Panamericano y a 35 km de Parque natural nacional de Farallones de Cali. El hotel libre de humo ofrece wifi gratis en todo el alojamiento.

En el hotel, cada habitación incluye armario. Todas las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también disponen de balcón. En Hotel Granada Loft, todas las habitaciones tienen ropa de cama y toallas.

En el alojamiento se sirve todas las mañanas un desayuno americano.

En la recepción, el personal habla inglés y español.

Cerca del alojamiento hay puntos de interés como Torre de Cali, Teatro Municipal de Cali y Plaza de Caycedo. El aeropuerto más cercano (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 20 km.","Minibar, Toallas, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento, Cocina, TV, WC, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Utensilios de cocina, WiFi gratis, Inglés, Información turística, Baño privado, Llave de acceso, Servicio de limpieza diario, Habitaciones familiares, Servicio de despertador, Plancha para ropa, Muy buen desayuno, TV de pantalla plana, Zona de cocina, Nevera, Armario, Baños públicos, Recepción 24 horas, Papel higiénico, Extintores, Ducha, Teléfono, Aire acondicionado, Español, Artículos de aseo gratis, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/503113608.jpg?k=68e4f725ff0a6238289c0c19c4a58f9ea472a4e0870ec03ce87dd4c456a30acb&o=&hp=1,Cali,Colombia
Boutique Portón De Granada,https://www.booking.com/hotel/co/boutique-porton-de-granada-cali.es.html?aid=2410095,"Boutique Portón De Granada se encuentra en Cali, a 12 min a pie de Catedral de San Pedro, y dispone de terraza, restaurante y bar. Este hotel de 2 estrellas ofrece salón de uso común y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece recepción 24 horas, servicio de conserjería y cambio de moneda.

En el hotel, todas las habitaciones disponen de armario y TV de pantalla plana.

Boutique Portón De Granada ofrece zona de juegos infantil.

Cerca del alojamiento hay puntos de interés como La Ermita, Teatro Jorge Isaacs y Teatro Municipal de Cali. El aeropuerto más cercano (Aeropuerto Internacional Alfonso Bonilla Aragón) está a 20 km.","Terraza / solárium, Tetera / cafetera, Toallas, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Tarjetas de transporte público, Habitaciones sin humo, Bar, Cámaras de seguridad fuera del alojamiento, Desayuno fabuloso, Guardaequipaje, Fax / fotocopiadora, WC, Perchero, Terraza, Vino / champán, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, WiFi gratis, Español, Registro de entrada y salida exprés, Habitaciones hipoalergénicas, Inglés, Zona de juegos para niños, Suelo de baldosa / mármol, Información turística, Salas de reuniones / banquetes, Restaurante, Baño privado, Personal de animación, Servicio de planchado, Registro de entrada / salida privado, Noches de cine, Llave de acceso, Cambio de moneda, Zona de comedor, Servicio de limpieza diario, Servicio de traslado, Zona TV / salón de uso compartido, Habitaciones familiares, Tours a pie, Plancha para pantalones, Tetera/cafetera en todas las habitaciones, Caja fuerte, TV de pantalla plana, Armario, Baños públicos, Mobiliario exterior, Recepción 24 horas, Papel higiénico, Snack-bar, Servicio de conserjería, Calefacción, Extintores, Proporciona factura, Zona de juegos interior, Ducha, Galerías de arte temporales, Entrada privada, Juegos de mesa / puzles, Alarma de seguridad, Seguridad 24 horas, Aire acondicionado, Servicio de lavandería",https://cf.bstatic.com/xdata/images/hotel/max1024x768/550033301.jpg?k=ab96609289d494b345c0045004d058f34ad5e415d3d9cf1f1c8194f7fa7d2051&o=&hp=1,Cali,Colombia
