hotel,hotel_url,description,popular_facilities,highres_url,city,country
Qaleta Azul,https://www.booking.com/hotel/pe/qaleta-azul.es.html?aid=2410095,"Qaleta Azul está en Camaná. El alojamiento dispone de recepción 24 horas, servicio de traslado, salón de uso común y wifi gratis.

Las unidades de este alojamiento están equipadas con zona de estar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo gratuitos y bidet. En el hostal o pensión, las habitaciones están equipadas con ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional Rodríguez Ballón) está a 177 km.","Prohibido fumar en todo el alojamiento, Desayuno, Llave de acceso, Servicio de limpieza diario, Perchero, Bañera o ducha, Zona de estar, Seguridad 24 horas, Armario, Papel higiénico, Toda la unidad en la planta baja, Servicio de aparcacoches, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), Canales por cable, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Toallas, Estación de carga de vehículos eléctricos, Información turística, Artículos de aseo gratis, Juegos de mesa / puzles, Productos de limpieza, Tours a pie, Adaptado personas de movilidad reducida, Taquillas, Bañera, Toda la unidad accesible en silla de ruedas, Baño privado, Patio, Español, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, TV de pantalla plana, Ropa de cama, Parking privado, Adaptado para sillas de ruedas, Ducha, Ventilador, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Habitaciones familiares, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/106912240.jpg?k=4d2c7bf087b9cb3dfe24159a70fc7e8f871a68c50679dfa3a334fe9b3023e4b0&o=&hp=1,Camana,Perú
Hospedaje Golden Inn,https://www.booking.com/hotel/pe/golden-inn.es.html?aid=2410095,"Hospedaje Golden Inn se encuentra en Camaná. El hostal o pensión también ofrece wifi gratis y parking privado gratis.

En el hostal o pensión, todas las habitaciones tienen armario. El baño privado está equipado con ducha y artículos de aseo gratuitos. En Hospedaje Golden Inn, cada habitación incluye TV de pantalla plana con canales por cable.

El aeropuerto más cercano (Aeropuerto internacional Rodríguez Ballón) está a 177 km.","Habitaciones sin humo, Papel higiénico, Artículos de aseo gratis, Armario, Enchufe cerca de la cama, Español, WiFi gratis, Inglés, Desayuno, TV de pantalla plana, Parking gratis, WC, Ducha, Canales por cable, Baño privado, Bañera o ducha, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/175287703.jpg?k=07f264f785b7a24d07ffc868b94f0e0cf05ac97a2559bfbc27713e97fc2caa94&o=&hp=1,Camana,Perú
La Posada de Valdez,https://www.booking.com/hotel/pe/posada-juan-valdez.es.html?aid=2410095,"La La Posada de Valdez se encuentra en Camaná y ofrece alojamiento con WiFi gratuita y TV de pantalla plana, así como un restaurante.

El hotel sirve un desayuno continental.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Servicio de planchado, Parking gratis, Cambio de moneda, Perchero, Servicio de despertador, Armario, Papel higiénico, Servicio de lavandería, WiFi gratis, TV, WC, Canales por cable, Proporciona factura, Servicio de habitaciones, Toallas, Estación de carga de vehículos eléctricos, Artículos de aseo gratis, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Desayuno excepcional, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/407931274.jpg?k=f462ef89cb2206c621b81d0920d39d82bbea9f680ee3599460008e527fb15655&o=&hp=1,Camana,Perú
Hotel Costa Sur,https://www.booking.com/hotel/pe/costa-sur.es.html?aid=2410095,"Hotel Costa Sur ofrece alojamiento en Camaná. Este hotel de 3 estrellas ofrece salón de uso común y servicio de habitaciones. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, las habitaciones incluyen armario. En Hotel Costa Sur, todas las habitaciones disponen de TV de pantalla plana, baño privado y un patio con vistas a la piscina.

En el alojamiento, la clientela puede disfrutar de piscina cubierta.

El personal, que habla inglés y español, ofrece información de forma ininterrumpida en la recepción.

El aeropuerto (Aeropuerto internacional Rodríguez Ballón) está a 170 km.","Prohibido fumar en todo el alojamiento, Zona de comedor exterior, Zona de juegos interior, Desayuno, Parking gratis, Sombrillas, Terraza, Bañera o ducha, Caja fuerte, Armario, Papel higiénico, Vistas a la piscina, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Para todas las edades, Alarma de seguridad, WC, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Juegos de mesa / puzles, Abierta todo el año, Español, Baño privado, Patio, Zona poco profunda, Habitaciones sin humo, Zona TV / salón de uso compartido, Extintores, Zona de juegos para niños, Piscina interior, Zona de pícnic, Recepción 24 horas, TV de pantalla plana, Ducha, Ventilador, Habitaciones familiares",Error al acceder a la página del hotel.,Camana,Perú
Hostal Marbella,https://www.booking.com/hotel/pe/hostal-marbella-camana1.es.html?aid=2410095,"Hostal Marbella es un alojamiento de 2 estrellas que está en Camaná.

El aeropuerto (Aeropuerto internacional Rodríguez Ballón) está a 177 km.","Inglés, Prohibido fumar en todo el alojamiento, Español, Parking gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538292254.jpg?k=432be6bf2ceec53c0621e54d12ab9b1f0060ca6da26bc05e3fb26a1d19c90d8a&o=&hp=1,Camana,Perú
Hotel El Dorado Inn,https://www.booking.com/hotel/pe/el-dorado-inn.es.html?aid=2410095,"Hotel El Dorado Inn se encuentra en Camaná y ofrece alojamiento de 3 estrellas con jardín, salón de uso común y terraza. Este alojamiento, que cuenta con guardaequipaje, también ofrece casino. El alojamiento ofrece recepción 24 horas, servicio de conserjería y cambio de moneda.

La clientela puede practicar actividades en Camaná y alrededores, como pesca y ciclismo.

El aeropuerto más cercano (Aeropuerto internacional Rodríguez Ballón) está a 177 km del alojamiento.","Sala de juegos, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Billar, Cambio de moneda, Llave de acceso, Terraza, Caja fuerte, Seguridad 24 horas, Detectores de humo, Servicio de conserjería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Pesca, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Registro de entrada / salida privado, Snack-bar, Jardín, Zona de fumadores, Fax / fotocopiadora, Español, Bingo, Habitaciones sin humo, Música / espectáculos en directo, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Casino, Guardaequipaje, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/144871030.jpg?k=ea56a35733371b1be987c3459ca703732f9769abc698ad11ee26c16a7cc1130b&o=&hp=1,Camana,Perú
Departamentos en Camaná,https://www.booking.com/hotel/pe/departamentos-en-camana.es.html?aid=2410095,"Departamentos en Camaná se encuentra en Camaná y tiene vistas a la ciudad, wifi gratis y parking privado gratis.

El alojamiento está equipado con TV de pantalla plana y baño privado con ducha, bañera y artículos de aseo gratuitos. La cocina dispone de nevera, horno y fogones.

El apartamento dispone de terraza, además de salón de uso común.

El aeropuerto más cercano (Aeropuerto internacional Rodríguez Ballón) está a 178 km.","Mesa de comedor, Vistas al jardín, Zona de comedor, Parking gratis, Terraza, Bañera o ducha, Papel higiénico, Utensilios de cocina, WiFi gratis, TV, Inglés, Nevera, WC, Canales por cable, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Zona de fumadores, Artículos de aseo gratis, Independiente, Horno, Bañera, Español, Baño privado, Vistas a la ciudad, Fogones, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Supermercado pequeño en el alojamiento, Recepción 24 horas, Cocina, Suelo de baldosa / mármol, TV de pantalla plana, Entrada privada, Tetera / cafetera, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/406950557.jpg?k=2481e2f4885c103debecca349f59f9f6b85d678f5b768b572280710cad97c8af&o=&hp=1,Camana,Perú
Goya'sHostel,https://www.booking.com/hotel/pe/goya-shostel.es.html?aid=2410095,"Goya'sHostel ofrece alojamiento en Camaná y cuenta con bar.

El bed and breakfast ofrece TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha.

El desayuno diario ofrece opciones a la carta, americanas o vegetarianas.

El aeropuerto (Aeropuerto internacional Rodríguez Ballón) está a 177 km.","Desayuno, Perchero, Bañera o ducha, Vistas a un patio interior, Papel higiénico, Bar, TV, Inglés, WC, Toallas, Artículos de aseo gratis, Secador de pelo, Español, Baño privado, Balcón, Vistas, TV de pantalla plana, Ropa de cama, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/542359524.jpg?k=44cb50cd83bfe5ab0ebbcb63bbd2a5cae9ead81dfe4f51a61d277e17746ca27b&o=&hp=1,Camana,Perú
Goya'sHostel,https://www.booking.com/hotel/pe/goya-shostel-camana.es.html?aid=2410095,"Goya'sHostel ofrece alojamiento en Camaná y cuenta con bar.

El desayuno diario ofrece opciones continentales, americanas o vegetarianas.

El aeropuerto más cercano (Aeropuerto internacional Rodríguez Ballón) está a 177 km del alojamiento.","Bar, Inglés, Desayuno, TV de pantalla plana, Español, Baño privado, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/542365744.jpg?k=32c4b7785facb427eb512ddbd9de37faedcf11219d7806b4c52a39862fac9688&o=&hp=1,Camana,Perú
Mini departamentos,https://www.booking.com/hotel/pe/mini-departamentos-camana.es.html?aid=2410095,"Mini departamentos está en Camaná. Hay wifi gratis en todo el alojamiento.

Este apartamento se compone de 1 dormitorio independiente, una zona de cocina totalmente equipada y 1 baño.

El aeropuerto (Aeropuerto internacional Rodríguez Ballón) está a 177 km.","Vistas, Portugués, WiFi gratis, Zona de cocina, Inglés, Español, Baño privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516798056.jpg?k=c17e0958d5822cb63b9e29996808e22df7f16b2207ac8f120170cb2ad72460a0&o=&hp=1,Camana,Perú
