hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Rutamar,https://www.booking.com/hotel/ec/rutamar.es.html?aid=2410095,"El Eco-Hostal Rutamar se encuentra en Canoa y dispone de bar, terraza con vistas al mar y habitaciones con conexión Wi-Fi gratuita y balcón privado. Hay aparcamiento gratuito y zona de comedor común al aire libre. La zona de playa está a 200 metros.

Las habitaciones del Eco-Hostal Rutamar están equipadas con ventilador. Todas tienen baño privado.

Los huéspedes pueden preparar sus propias comidas en la cocina compartida. Las bebidas del bar se pueden disfrutar en las hamacas del jardín. Por las mañanas se sirve café gratuito.

El Eco-Hostal Rutamar se encuentra a 700 metros de la plaza principal y a 5 horas en coche del aeropuerto de Guayaquil.","Parking en un garaje, Vistas al jardín, Instalaciones para deportes acuáticos en el alojamiento, Masajes, Parking gratis, Tours en bici, Terraza, Mobiliario exterior, WiFi gratis, Masaje de pies, Pesca, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Cafetería en el alojamiento, Taquillas, Español, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Ropa de cama, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Traslado aeropuerto, Vistas a un patio interior, Tour o clase sobre cultura local, Masaje de cabeza, Alarma de seguridad, Mosquitera, WC, Masaje de espalda, Habitaciones sin humo, Vistas, Música / espectáculos en directo, Guardaequipaje, Entrada privada, Ventilador, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Masaje de manos, Servicio de limpieza diario, Papel higiénico, Cocina compartida, Servicio de lavandería, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Menú para niños, Masaje corporal completo, Juegos de mesa / puzles, Tours a pie, Desayuno fantástico, Clases de cocina, Baño privado, Balcón, Adaptado para sillas de ruedas, Ducha, Ciclismo, Playa, Suelo de madera o parquet, Zona de juegos interior, Clases de yoga, Llave de acceso, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Servicio de traslado, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Danés, Restaurante, Zona de pícnic, Recepción 24 horas, Masaje en pareja, Masaje de cuello, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/369700046.jpg?k=bd76f72bb5bb3299c87270c0145db2e0010b4243041845d3c942af0b09f32599&o=&hp=1,Canoa,Ecuador
Margaritas Palace Hotel,https://www.booking.com/hotel/ec/margaritas-palace.es.html?aid=2410095,"Margaritas Palace Hotel está frente a la playa en Canoa, a pocos pasos de Playa de Canoa. Este hotel de 5 estrellas ofrece terraza y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El hotel dispone de piscina cubierta, sauna y recepción 24 horas.

En el hotel, las habitaciones incluyen TV de pantalla plana y algunas también ofrecen vistas a la ciudad.

Margaritas Palace Hotel ofrece bañera de hidromasaje.

El aeropuerto (Aeropuerto internacional Eloy Alfaro) está a 104 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Playa, Prohibido fumar en todo el alojamiento, Canales vía satélite, Desayuno, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Detectores de humo, WiFi gratis, TV, Inglés, Para todas las edades, Alarma de seguridad, Situado frente a la playa, WC, Canales por cable, Proporciona factura, Canales de pago, Tumbonas/sillas de playa, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Secador de pelo, Piscina infantil, Productos de limpieza, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Sauna, Parking en la calle, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Piscina interior, Recepción 24 horas, Suelo de baldosa / mármol, Calefacción, TV de pantalla plana, Ducha, Secadora de ropa, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/464480955.jpg?k=bfe06e29c8df4f20c21b2d95c8d2e270c4936fe4fa80ebc65d7ab484ae586cf6&o=&hp=1,Canoa,Ecuador
Hotel La Vista,https://www.booking.com/hotel/ec/la-vista.es.html?aid=2410095,"Hotel La Vista se encuentra en Canoa, a pocos pasos de Playa de Canoa, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. Este alojamiento ofrece restaurante, recepción 24 horas y guardaequipaje, además de wifi gratis en todo el alojamiento. El bar es ideal para tomar algo.

En el hotel, todas las habitaciones están equipadas con aire acondicionado, armario, balcón con vistas al mar, baño privado, TV de pantalla plana, ropa de cama y toallas. Algunas habitaciones también tienen zona de cocina con nevera y minibar.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 105 km del alojamiento.","Playa, Parking en un garaje, Canales vía satélite, Desayuno, Parking gratis, Servicio de limpieza diario, Happy hour, Terraza, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Vistas a la piscina, Bar, Mobiliario exterior, WiFi gratis, Detectores de humo, Inglés, Para todas las edades, Mosquitera, Situado frente a la playa, WC, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Bar en la piscina, Abierta todo el año, Horario de apertura, Baño privado, Vistas al mar, Aire acondicionado, Español, Máquina expendedora (bebidas), Balcón, Piscina al aire libre, Habitaciones sin humo, Restaurante, Vistas, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Insonorización, Guardaequipaje, TV de pantalla plana, Ropa de cama, Ducha, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/293072939.jpg?k=95e87a72219b6a1922d051e76fafe50b08fa4dc56b5bc125749d22539facbdf6&o=&hp=1,Canoa,Ecuador
Sundown Beach Hotel,https://www.booking.com/hotel/ec/sundown-beach.es.html?aid=2410095,"Sundown Beach Hotel está en Canoa, a 3 min a pie de Playa de Canoa, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y bar. El alojamiento tiene zona de playa privada y zona de barbacoa. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de conserjería y wifi gratis.

Las habitaciones cuentan con baño privado con ducha y artículos de aseo gratuitos, y algunas también ofrecen zona de cocina con nevera. En el hotel, todas las habitaciones incluyen ropa de cama y toallas.

En Sundown Beach Hotel se puede disfrutar de un desayuno americano o vegetariano.

Se puede jugar al ping-pong en el alojamiento, y la zona es ideal para practicar ciclismo.

El aeropuerto (Aeropuerto internacional Eloy Alfaro) está a 102 km.","Playa, Sala de juegos, Utensilios de planchado, Zona de juegos interior, Barbacoa, Instalaciones para deportes acuáticos en el alojamiento, Menús para dietas especiales (bajo petición), Parking gratis, Sombrillas, Traslado aeropuerto, Perchero, Papel higiénico, Bar, Mobiliario exterior, WiFi gratis, Servicio de conserjería, Inglés, Equitación, Pesca, Situado frente a la playa, WC, Tumbonas/sillas de playa, Zona de fumadores, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Juegos de mesa / puzles, Adaptado personas de movilidad reducida, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Windsurf, Zona TV / salón de uso compartido, Extintores, Zona de pícnic, Recepción 24 horas, Tendedero, Suelo de baldosa / mármol, Zona privada de playa, Ropa de cama, Traslado aeropuerto (gratis), Buen desayuno, Ducha, Piragüismo, Ventilador, Senderismo, Parking adaptado para personas de movilidad reducida, Ping pong, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/91977979.jpg?k=6cb5c4b6e1bca60343940b6b80ab5ab1df796f31a3362009a2ee8b321a5c0050&o=&hp=1,Canoa,Ecuador
Hotel Bambú,https://www.booking.com/hotel/ec/bambu-canoa.es.html?aid=2410095,"Hotel Bambú se encuentra en Canoa, a pocos pasos de Playa de Canoa, y ofrece alojamiento con piscina al aire libre, parking privado gratis, centro de fitness y jardín. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis. El alojamiento dispone de discoteca y servicio de conserjería.

En el hotel, todas las habitaciones cuentan con escritorio, ropa de cama y una terraza con vistas al lago. Cada habitación está equipada con baño privado con ducha, algunas ofrecen balcón y otras también ofrecen vistas al mar. Las habitaciones incluyen caja fuerte.

En el alojamiento se puede disfrutar de un desayuno buffet, continental o inglés/irlandés completo.

Se puede jugar al ping-pong en este hotel de 4 estrellas, y la zona es ideal para practicar ciclismo.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 105 km del alojamiento.","Sala de juegos, Parking en un garaje, Vistas al jardín, Eventos deportivos en directo (emisión), Billar, Masajes, Parking gratis, Sombrillas, Tours en bici, Happy hour, Terraza, Zona de spa / relajación, Servicio de entrega de comestibles, Mobiliario exterior, WiFi gratis, Para todas las edades, Masaje de pies, Baños públicos, Pesca, Alemán, Tarjetas de transporte público, Proporciona factura, Cenas temáticas, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Cafetería en el alojamiento, Taquillas en el gimnasio / spa, Discoteca / DJ, Almuerzos para llevar, Taquillas, Español, Equipamiento de juegos para exterior, Adecuada para niños, Enchufe cerca de la cama, Extintores, Ruta de bares, Cesta para mascotas, Ropa de cama, Horario de apertura, Ping pong, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Baño al aire libre, Entrenador personal, Comedia en vivo, Tour o clase sobre cultura local, Armario, Masaje de cabeza, Alarma de seguridad, Mosquitera, WC, 2 piscinas, Vino / champán, Masaje de espalda, Galerías de arte temporales, Servicios de belleza, Piscina infantil, Fax / fotocopiadora, Exfoliación corporal, Caja fuerte para ordenador portátil, Clases de fitness, Habitaciones sin humo, Vistas, Música / espectáculos en directo, Spa y centro de bienestar, Guardaequipaje, Buen desayuno, Instalaciones de spa, Valla alrededor de la piscina, Parking adaptado para personas de movilidad reducida, Barbacoa, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Zona de estar, Servicio de lavandería, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Menú para niños, Masaje corporal completo, Snack-bar, Juegos de mesa / puzles, Tours a pie, Abierta todo el año, Bañera, Clases de cocina, Baño privado, Patio, Club infantil, Aire acondicionado, Holandés, Zona poco profunda, Vistas al lago, Escritorio, Ducha, Piragüismo, Ciclismo, Playa, Utensilios de planchado, Piscina con vistas, Menús para dietas especiales (bajo petición), Clases de yoga, Cambio de moneda, Llave de acceso, Paquetes de spa / bienestar, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Equitación, Gimnasio, Situado frente a la playa, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Toallas de playa/piscina, Juguetes para la piscina, Restaurante, Zona de pícnic, Recepción 24 horas, Tendedero, Servicio de despertador / alarma, Masaje en pareja, Masaje de cuello, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/247970491.jpg?k=c01eb65ffca98e460e78f36a474b4596da869c77a8129db0bd1cf81361906df4&o=&hp=1,Canoa,Ecuador
Canoamar,https://www.booking.com/hotel/ec/canoamar-canoa1.es.html?aid=2410095,"Canoamar está en Canoa, a pocos pasos de Playa de Canoa, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Todas las opciones de alojamiento de este hotel de 3 estrellas tienen vistas a la piscina, terraza y bañera de hidromasaje. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones disponen de balcón. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas unidades también cuentan con vistas al mar.

El aeropuerto (Aeropuerto internacional Eloy Alfaro) está a 105 km.","Playa, Fruta, Barbacoa, Servicio de planchado, Zona de cocina, Zona de comedor, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Cocina compartida, Canguro / servicios para niños, Utensilios de cocina, Vistas a la piscina, Bar, Servicio de aparcacoches, WiFi gratis, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Servicio de entrega de comestibles, Inglés, Alemán, Toallas / sábanas (por un suplemento), Mosquitera, Situado frente a la playa, WC, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Información turística, Zona de fumadores, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Balcón, Piscina al aire libre, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Zona de pícnic, Recepción 24 horas, Francés, Entrada privada, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/526734396.jpg?k=d333c4bf6e3d4899c0dc1ef7fd2d80bdc36e939954855c54a5f4e319e328bfe9&o=&hp=1,Canoa,Ecuador
Hostal Olmito Canoa,https://www.booking.com/hotel/ec/hostal-olmito-canoa.es.html?aid=2410095,"Hostal Olmito Canoa se encuentra en Canoa, a pocos pasos de Playa de Canoa, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. El alojamiento cuenta con restaurante y también tiene bar. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

Algunas habitaciones tienen zona de cocina con nevera.

En el alojamiento se puede disfrutar de un desayuno a la carta, continental o americano.

El hostal o pensión ofrece zona de juegos infantil. La clientela puede practicar actividades en Canoa y alrededores, como ciclismo.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 104 km del alojamiento.","Playa, Prohibido fumar en todo el alojamiento, Zona de juegos interior, Desayuno, Parking gratis, Tours en bici, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Caja fuerte, Seguridad 24 horas, Cocina compartida, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Situado frente a la playa, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Snack-bar, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Información turística, Zona de fumadores, Juegos de mesa / puzles, Tours a pie, Español, Habitaciones sin humo, Extintores, Restaurante, Zona TV / salón de uso compartido, Zona de juegos para niños, Zona de pícnic, Recepción 24 horas, Desayuno en la habitación, Senderismo, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/486238132.jpg?k=cb42ec2c16ccfb7f5e18b5d706899c75427eb9e61a7646212ae6f1145700b14f&o=&hp=1,Canoa,Ecuador
Hostel Coco Loco,https://www.booking.com/hotel/ec/hostel-coco-loco.es.html?aid=2410095,"Hostel Coco Loco se encuentra en Canoa, a pocos pasos de Playa de Canoa, y ofrece jardín, habitaciones libres de humo, wifi gratis en todo el alojamiento y bar. Algunas habitaciones del alojamiento incluyen un balcón con vistas al jardín.

En el hostal o pensión, cada habitación incluye ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 105 km del alojamiento.","Playa, Prohibido fumar en todo el alojamiento, Tours en bici, Happy hour, Bañera o ducha, Tour o clase sobre cultura local, Papel higiénico, Cocina compartida, Bar, Alquiler de bicicletas, WiFi gratis, Inglés, Mosquitera, Situado frente a la playa, WC, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Toallas, Jardín, Cafetería en el alojamiento, Juegos de mesa / puzles, Tours a pie, Español, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Ropa de cama, Ducha, Ventilador, Senderismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528933712.jpg?k=329806c526d2c443c716d5690d7fe9101ac06d4534373ffe145ad67e758c0084&o=&hp=1,Canoa,Ecuador
Baja Beach Los Manglares,https://www.booking.com/hotel/ec/baja-beach-los-manglares.es.html?aid=2410095,"Baja Beach Los Manglares se encuentra en Canoa, a pocos pasos de Playa de Canoa, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. Ofrece zona de playa privada y zona de barbacoa. Este hotel acepta mascotas y ofrece wifi gratis.

En el hotel, cada habitación incluye baño privado y ducha, y algunas también ofrecen balcón.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 105 km del alojamiento.","Playa, Barbacoa, Parking gratis, Sombrillas, Perchero, Terraza, Seguridad 24 horas, Papel higiénico, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Para todas las edades, Situado frente a la playa, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Tumbonas/sillas de playa, Terraza / solárium, Registro de entrada / salida privado, Información turística, Jardín, Abierta todo el año, Español, Baño privado, Aire acondicionado, Zona poco profunda, Piscina al aire libre, Habitaciones sin humo, Vestidor, Extintores, Zona de pícnic, Zona privada de playa, Guardaequipaje, Ducha, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/460168484.jpg?k=f4df3450c02ae1889d67661d56d0aab63b43bd0e9e2f9d023151f09872b40624&o=&hp=1,Canoa,Ecuador
Hotel Canoa´s Wonderland,https://www.booking.com/hotel/ec/canoa-s-wonderland.es.html?aid=2410095,"El Hotel Canoa's Wonderland se encuentra en Canoa y ofrece habitaciones cómodas y restaurante. Además, proporciona WiFi gratuita.

Las habitaciones gozan de vistas al jardín e incluyen TV, aire acondicionado, balcón y baño privado con bañera o ducha y artículos de aseo gratuitos. Se proporciona la ropa de cama.

El Hotel Canoa's Wonderland cuenta con restaurante, recepción 24 horas y aparcamiento gratuito. También hay mostrador de información turística y parque infantil.

Este establecimiento está a 18 km del centro de San Vicente y a 90 minutos en coche del aeropuerto de Manta.","Playa, Vistas al jardín, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Masajes, Sombrillas, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Zona de spa / relajación, Mobiliario exterior, WiFi gratis, Inglés, Holandés, Para todas las edades, Menú para niños, Masaje corporal completo, Gimnasio, Situado frente a la playa, WC, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Terraza / solárium, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Información turística, Toallas de playa/piscina, Piscina infantil, Habitaciones sin humo, Fax / fotocopiadora, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Horario de apertura, Baño privado, Aire acondicionado, Sauna, Español, Equipamiento de juegos para exterior, Habitaciones familiares, Zona poco profunda, Balcón, Piscina al aire libre, Vistas, Enchufe cerca de la cama, Restaurante, Extintores, Zona de juegos para niños, Spa y centro de bienestar, Recepción 24 horas, Tendedero, Zona TV / salón de uso compartido, Suelo de baldosa / mármol, Guardaequipaje, Ropa de cama, Instalaciones de spa, Adaptado para sillas de ruedas, Desayuno en la habitación, Adaptado personas de movilidad reducida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/34335242.jpg?k=83746f1fc2229ca2c6e39280fbbd61c679684bf834ede47d224e0875c79e31a6&o=&hp=1,Canoa,Ecuador
