hotel,hotel_url,description,popular_facilities,highres_url,city,country
The Doll House Apartment,https://www.booking.com/hotel/pa/the-doll-house-apartment.es.html?aid=2410095,"The Doll House Apartment se encuentra en Villa Rosario, a solo 45 km de Puente de Las Americas, y ofrece alojamiento con vistas al jardín, wifi gratis y parking privado gratis. Este apartamento está a 50 km de Ancon Hill y a 46 km de Estadio Maracana.

El apartamento dispone de terraza, 1 dormitorio, sala de estar y cocina bien equipada.

Museo del Canal Interoceánico de Panamá está a 49 km del alojamiento, y Palacio Presidencial está a 49 km. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 48 km del alojamiento.","Prohibido fumar en todo el alojamiento, Cocina, Parking gratis, WiFi gratis, Zona de cocina, Vistas al jardín, Español, Inglés, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578650835.jpg?k=2f9f5a581e19564e3af0ad1a8242332c69e20122e8e3ed84c9f7634f07130214&o=&hp=1,Capira,Panamá
Mini casa con piscina infinita,https://www.booking.com/hotel/pa/mini-casa-con-piscina-infinita.es.html?aid=2410095,"Mini casa con piscina infinita, que tiene vistas al jardín, dispone de alojamiento con terraza y balcón a unos 49 km de Puente de Las Americas. Este chalet de montaña tiene piscina privada, jardín y parking privado gratis.

Este chalet de montaña tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera y fogones.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 52 km.","Tetera / cafetera, Cocina, Barbacoa, Parking gratis, Zona de cocina, Piscina, Jardín, Vistas al jardín, Vistas, Español, Nevera, Fogones, Aire acondicionado, Balcón, Terraza, TV de pantalla plana, Piscina privada",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567960274.jpg?k=227c389543c557a4a5de8fe42fc5650c8b185877e481bf99ccae033f6840a81d&o=&hp=1,Capira,Panamá
"Beautiful air conditioned villa for singles, couples, families and groups cozy stay",https://www.booking.com/hotel/pa/villa-amalina.es.html?aid=2410095,"Beautiful air conditioned villa for singles, couples, families and groups cozy stay es un alojamiento con jardín y terraza que se encuentra en La Chorrera, a 37 km de Puente de Las Americas, a 44 km de Ancon Hill y a 47 km de Estadio Nacional Rod Carew. Este apartamento ofrece parking privado gratis, recepción 24 horas y wifi gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Estadio Maracana está a 39 km del alojamiento, y Museo del Canal Interoceánico de Panamá está a 41 km. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 40 km.","Baño privado, Servicio de planchado, Cocina, Vistas, Calefacción, Tendedero, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Utensilios de cocina, Zona de fumadores, Productos de limpieza, Supermercado pequeño en el alojamiento, Toallas / sábanas (por un suplemento), Lavadora, Zona de juegos interior, Servicio de limpieza en seco, Parking en un garaje, Zona de comedor exterior, Vistas al jardín, Enchufe cerca de la cama, Caja fuerte para ordenador portátil, Servicio de despertador, Artículos de aseo gratis, Tetera / cafetera, Seguridad 24 horas, Fogones, Recepción 24 horas, Aire acondicionado, Patio, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Sofá, Entrada privada, Parking gratis, Terraza / solárium, Terraza, Español, Suelo de baldosa / mármol, Mesa de comedor, Registro de entrada y salida exprés, Plancha para pantalones, Servicio de lavandería, Boles para mascotas, Sofá cama, Inglés, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Armario, Toda la unidad en la planta baja, Zona de cocina, Jardín, Ropa de cama, Alarma de seguridad, Llave de acceso, Toallas, Guardaequipaje, Nevera, Zona de comedor, WC, Wifi buena gratis (46 Mbps)",https://cf.bstatic.com/xdata/images/hotel/max1024x768/507649995.jpg?k=bf04e4f3ed9f8c0f7818ead1672286754252ebc67eabaf796a1d709296157488&o=&hp=1,Capira,Panamá
alto de la pradera,https://www.booking.com/hotel/pa/alto-de-la-pradera.es.html?aid=2410095,"Alto de la pradera es un alojamiento con terraza que está en La Chorrera, a 42 km de Ancon Hill, a 46 km de Estadio Nacional Rod Carew y a 38 km de Estadio Maracana. El alojamiento, que se encuentra a 37 km de Puente de Las Americas, ofrece jardín y parking privado gratis.

Hay toallas y ropa de cama en la casa rural.

Museo del Canal Interoceánico de Panamá está a 41 km del alojamiento, y Palacio Presidencial está a 41 km. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 40 km del alojamiento.","Baño privado, Ducha, Bañera de hidromasaje, Prohibido fumar en todo el alojamiento, Nevera, Parking gratis, Vistas al jardín, Vistas, Jardín, Español, Toallas, Bañera de hidromasaje / jacuzzi, Ropa de cama, Terraza, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569488102.jpg?k=3ef2da2ba9885dabb6a143a5121983bff74298f4a38a634b6e6a0341088cb899&o=&hp=1,Capira,Panamá
Cabañas Finca Campestre,https://www.booking.com/hotel/pa/cabanas.es.html?aid=2410095,"Cabañas Finca Campestre está en Las Ollas Abajo, a 47 km de Puente de Las Americas y a 48 km de Estadio Maracana. Ofrece alojamiento con wifi gratis, aire acondicionado y acceso a unjardín con terraza.

El aeropuerto (Aeropuerto internacional de Panamá Pacífico) está a 50 km.","Habitaciones familiares, Prohibido fumar en todo el alojamiento, Parking gratis, WiFi gratis, Jardín, Español, Piscina al aire libre, Ropa de cama, Aire acondicionado, Terraza, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581378767.jpg?k=89cad2da0122ff1fe6fc3d7daf61072c6b439f931ac8e70e618806820fcfec9a&o=&hp=1,Capira,Panamá
Studio Unit in Beautiful Resort,https://www.booking.com/hotel/pa/studio-unit-in-beautiful-resort.es.html?aid=2410095,"Studio Unit in Beautiful Resort, en El Mangote, ofrece alojamiento solo para adultos con jardín, bar y instalaciones para deportes acuáticos. Este alojamiento ofrece servicio de conserjería y mostrador de información turística, además de wifi gratis en todo el alojamiento. El hotel dispone de piscina al aire libre, centro de fitness, karaoke y salón de uso común.

En el hotel, todas las habitaciones cuentan con aire acondicionado, armario, terraza con vistas a la montaña, baño privado, TV de pantalla plana, ropa de cama y toallas. Todas las unidades cuentan con nevera.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 72 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Zona de fumadores, Vistas a la montaña, Proporciona factura, Horno, Cafetera, Abierta todo el año, Registro de entrada / salida privado, Entrada privada, Instalaciones para deportes acuáticos en el alojamiento, Plancha para ropa, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Guardaequipaje, Nevera, Solo para adultos, Cenas temáticas, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Supermercado pequeño en el alojamiento, Zona de estar, Fogones, Alquiler de coches, Aire acondicionado, Ducha, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Mesa de comedor, Servicio de lavandería, Traslado aeropuerto, Utensilios de planchado, Jardín, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Vistas a la piscina, Servicio de streaming (como Netflix), Cocina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Productos de limpieza, Extintores, Karaoke, Enchufe cerca de la cama, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Ventilador, Piscina al aire libre, Tetera / cafetera, Seguridad 24 horas, Bar, Baños públicos, Discoteca / DJ, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Bañera o ducha, Sombrillas, Papel higiénico, Zona de cocina, Servicio de conserjería, Llave de acceso, Entretenimiento nocturno, Tostadora, Toallas, Información turística, Tumbonas/sillas de playa, Servicio de traslado, Barbacoa, Artículos de aseo gratis, Snack-bar, Perchero, Personal de animación, Armario, Toda la unidad en la planta baja, Microondas, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/123829284.jpg?k=28a3cca057aa42f17f3c78039b5c74d3ef9da637a1d12efe14c79265e28a4a85&o=&hp=1,Capira,Panamá
Hotel America - La Chorrera,https://www.booking.com/hotel/pa/america-la-chorrera.es.html?aid=2410095,"Hotel America - La Chorrera se encuentra en La Chorrera, a 30 km de Puente de Las Americas, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. El alojamiento está a unos 35 km de Ancon Hill, a 40 km de Estadio Nacional Rod Carew y a 32 km de Estadio Maracana. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, todas las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Museo del Canal Interoceánico de Panamá está a 34 km del alojamiento, y Palacio Presidencial está a 35 km. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 34 km del alojamiento.","Baño privado, Zona TV / salón de uso compartido, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Canales vía satélite, Zona de fumadores, Proporciona factura, Extintores, Parking en un garaje, Enchufe cerca de la cama, Artículos de aseo gratis, Teléfono, Perchero, Seguridad 24 horas, Ascensor, Recepción 24 horas, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, TV, Suelo de baldosa / mármol, Detectores de humo, Adaptado para sillas de ruedas, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Armario, Jardín, Servicio de conserjería, Alarma de seguridad, Toallas, Información turística, Ropa de cama, Acceso a pisos superiores en ascensor, Terraza, TV de pantalla plana, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495420147.jpg?k=28a757fc5b95bcc3e64894ba7e4c6a94ea07f1941faee44f9be38567b78dde81&o=&hp=1,Capira,Panamá
Punta Chame Club and Resort,https://www.booking.com/hotel/pa/punta-chame-club-and-resort.es.html?aid=2410095,"Punta Chame Club and Resort está en Pajonal y cuenta con vistas a la montaña, piscina al aire libre, centro de fitness, jardín, terraza y bar. En el camping resort, tanto el wifi como el parking privado son gratis.

Punta Chame Club and Resort ofrece patio, vistas a la piscina, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y horno, y baño privado con ducha y artículos de aseo gratuitos. También se ofrece microondas, fogones y tostadora, además de cafetera.

El alojamiento tiene barbacoa, además de una serie de instalaciones para practicar deportes acuáticos.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 71 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Insonorización, Zona de fumadores, Vistas a la montaña, Proporciona factura, Zona de comedor exterior, Horno, Cafetera, Abierta todo el año, Playa, Registro de entrada / salida privado, Entrada privada, Instalaciones para deportes acuáticos en el alojamiento, Plancha para ropa, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Habitaciones sin humo, Camas extralargas (más de 2 metros), Tarjeta de acceso, Nevera, Para todas las edades, Equipamiento de juegos para exterior, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Supermercado pequeño en el alojamiento, Fax / fotocopiadora, Zona de estar, Vistas al jardín, Secador de pelo, Fogones, Aire acondicionado, Ducha, Sofá, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Mesa de comedor, Servicio de lavandería, Traslado aeropuerto, Utensilios de planchado, Jardín, Alarma de seguridad, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Vistas a la piscina, Cocina, WiFi gratis, Mobiliario exterior, Utensilios de cocina, Canales por cable, Productos de limpieza, Extintores, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Piscina al aire libre, Tetera / cafetera, Seguridad 24 horas, Bar, Patio, Juguetes para la piscina, Habitaciones familiares, Pesca, Toallas de playa/piscina, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Bañera o ducha, Papel higiénico, Servicio de conserjería, Llave de acceso, Tostadora, Toallas, Tumbonas/sillas de playa, Vistas a un patio interior, Tetera/cafetera en todas las habitaciones, Canales vía satélite, Servicio de traslado, Windsurf, Equitación, Barbacoa, Artículos de aseo gratis, Perchero, Habitaciones hipoalergénicas, Armario, Toda la unidad en la planta baja, Microondas, Happy hour, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/92818385.jpg?k=e7390d6e717a49f87acba77f6ffca3082271c8e60a79d61a8fd331d3f6e0adf6&o=&hp=1,Capira,Panamá
Villa La Fortuna en Altos del Maria,https://www.booking.com/hotel/pa/villa-la-fortuna-sora.es.html?aid=2410095,"Villa La Fortuna en Altos del Maria ofrece alojamiento con piscina al aire libre abierta todo el año, wifi gratis y parking privado gratis en Sorá.

El apartahotel ofrece terraza, vistas a la montaña, zona de estar, TV de pantalla plana, zona de cocina totalmente equipada con nevera y microondas, y baño privado con ducha y secador de pelo. Cada unidad cuenta con un balcón con vistas a la piscina.

En Villa La Fortuna en Altos del Maria se sirve todos los días un desayuno americano.

En el alojamiento, la clientela puede practicar senderismo en los alrededores o disfrutar del jardín.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 83 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Servicio de planchado, Piscina de agua salada, Menú para niños, Vistas a la montaña, Zona de comedor exterior, Abierta todo el año, Registro de entrada / salida privado, Entrada privada, Plancha para ropa, TV, Registro de entrada y salida exprés, Inglés, Hervidor eléctrico, Chimenea, Habitaciones sin humo, Vino / champán, Guardaequipaje, Nevera, Vistas a un lugar de interés, Para todas las edades, Balcón, Prohibido fumar en todo el alojamiento, Tendedero, Fruta, Zona de estar, Vistas al jardín, Secador de pelo, Fogones, Aire acondicionado, Ducha, Sofá, Parking gratis, Trona, Terraza / solárium, Mesa de comedor, Servicio de lavandería, Senderismo, Traslado aeropuerto, Jardín, Terraza, TV de pantalla plana, Vistas a la piscina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Productos de limpieza, Zona poco profunda, Piscina con vistas, Desayuno, Piscina al aire libre, Tetera / cafetera, Patio, Juguetes para la piscina, Habitaciones familiares, Toallas de playa/piscina, Suelo de baldosa / mármol, Albornoz, Bañera o ducha, Papel higiénico, Zona de cocina, Tostadora, Desayuno en la habitación, Tumbonas/sillas de playa, Servicio de traslado, Barbacoa, Snack-bar, Perchero, Sofá cama, Chimenea exterior, Armario, Tobogán de agua, Toda la unidad en la planta baja, Microondas, Zona de comedor, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/489808483.jpg?k=5411b58962a6e25d90eb35a4205fe6fd8047f79fc0e33bd939a386165ba229d6&o=&hp=1,Capira,Panamá
Villa Tungara,https://www.booking.com/hotel/pa/villa-tungara-panama.es.html?aid=2410095,"Villa Tungara se encuentra en Bejuco y ofrece wifi gratis, piscina al aire libre, jardín y terraza.

Cada unidad está equipada con aire acondicionado, baño privado y cocina con nevera, lavavajillas, horno y microondas.

En la habitación en casa particular se puede disfrutar de un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional Scarlett Martínez) está a 44 km del alojamiento.","Baño privado, Cocina, WiFi gratis, Tumbonas/sillas de playa, Horario de apertura, Tetera/cafetera en todas las habitaciones, Utensilios de cocina, Lavavajillas, Zona de comedor exterior, Barbacoa, Horno, Zona poco profunda, Desayuno, Cafetera, Piscina al aire libre, Abierta todo el año, Tetera / cafetera, Bar, Aire acondicionado, Muebles de exterior, Habitaciones familiares, Ducha, Toallas de playa/piscina, Parking gratis, Español, Mesa de comedor, Sombrillas, Papel higiénico, Armario, Tobogán de agua, Nevera, Jardín, Zona de cocina, Microondas, Valla alrededor de la piscina, Toallas, Piscina pequeña, Ropa de cama, Zona de comedor, Para todas las edades, WC, Terraza, TV de pantalla plana, Piscina infinita",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585805681.jpg?k=5aac869fbcaf67101a2af735844b794ab3598a1b5262be1fa70f69e775b8d582&o=&hp=1,Capira,Panamá
