hotel,hotel_url,description,popular_facilities,highres_url,city,country
Dreams Lodge Orosi,https://www.booking.com/hotel/cr/dreams-lodge-orosi-cartago.es.html?aid=2410095,"Dreams Lodge Orosi se encuentra en Cartago, a 11 km de Jardín Botánico Lankester y a 13 km de Ruinas de Ujarras. Ofrece alojamiento con piscina de temporada al aire libre y wifi gratis, además de parking privado gratis. El alojamiento está a unos 40 km de Volcán Irazú, a 42 km de Parque Metropolitano La Sabana y a 44 km de Estadio Nacional de Costa Rica. Todas las habitaciones incluyen balcón.

Las habitaciones de este alojamiento incluyen TV de pantalla plana y zona de cocina. Las habitaciones del alojamiento tienen baño privado con bidet y artículos de aseo gratuitos, y también ofrecen vistas a la montaña. En el hostal o pensión, cada habitación incluye ropa de cama y toallas.

En Dreams Lodge Orosi se puede disfrutar de un desayuno continental.

Parque Diversiones está a 47 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional Tobías Bolaños) está a 47 km del alojamiento.","Vistas a la montaña, Papel higiénico, Ropa de cama, Baño privado, Parking gratis, TV de pantalla plana, Piscina en la azotea, Zona de cocina, Vistas, Toallas, Bañera o ducha, Nevera, Utensilios de cocina, Artículos de aseo gratis, Ducha, Zona de comedor, Mesa de comedor, Microondas, Piscina al aire libre, Solo para adultos, Muy buen desayuno, WiFi gratis, Bañera de hidromasaje / jacuzzi, Bidet, Perchero, TV, De temporada, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/502996877.jpg?k=d1550f820c4317c4fb4bf10b552d704fcc6f72c9f03bd83537cdcd7c52aeedcb&o=&hp=1,Cartago,Costa Rica
Casa Mora B&B,https://www.booking.com/hotel/cr/casa-mora-b-amp-b.es.html?aid=2410095,"La Casa Mora B&B está situada a 3,8 km del jardín botánico Lankester de Cartago y ofrece alojamiento con TV. Hay WiFi gratis.

Hay un baño privado con bañera en todas las unidades, además de artículos de aseo gratuitos y secador de pelo.

El establecimiento sirve un completo desayuno costarricense.

El bed and breakfast ofrece una terraza.

También hay zona de salón común.

La Casa Mora B&B se encuentra a 14 km del volcán Irazú y a 4 minutos a pie de la basílica de Nuestra Señora de los Ángeles. El aeropuerto más cercano es el aeropuerto internacional Tobías Bolaños, a 27 km del alojamiento.","Ropa de cama, Caja fuerte, Baño privado, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Teléfono, Seguridad 24 horas, Canales por cable, Español, Cámaras de seguridad en las zonas comunitarias, WC, Guardaequipaje, Senderismo, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Servicio de planchado, Servicio de limpieza en seco, Llave de acceso, Mobiliario exterior, Wifi rápida gratis (71 Mbps), Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Equitación, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Extintores, Ciclismo, Perchero, TV, Inglés, Proporciona factura, Desayuno fantástico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/441392594.jpg?k=5c847c05711f9a7d3fd0406d26cb6eb633af7abb092d4d2c2b3f759bfbd7d836&o=&hp=1,Cartago,Costa Rica
Grandpas Hotel & Restaurante,https://www.booking.com/hotel/cr/grandpas.es.html?aid=2410095,"El Grandpas Hotel & Restaurante está situado en Cartago y ofrece WiFi y aparcamiento privado gratuitos.

La mayoría de las cabañas, de estilo rústico, incluyen ropa de cama, TV de pantalla plana con canales vía satélite y baño con ducha. La habitación triple dispone de baño compartido con ducha.

El Grandpas Hotel & Restaurante cuenta con recepción abierta las 24 horas, jardín, servicio de lavandería y aparcamiento gratuito.

Los huéspedes podrán disfrutar de las vistas al volcán Irazu, ubicado a 30 minutos en coche, y al volcán Turrialba, a solo 45 minutos en coche. El aeropuerto internacional Juan Santamaría se encuentra a 50 km.","Cámaras de seguridad fuera del alojamiento, Parking gratis, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Bar, Restaurante, Servicio de lavandería, Parking adaptado para personas de movilidad reducida, Jardín, Prohibido fumar en todo el alojamiento, Calefacción, Servicio de limpieza diario, Extintores, Servicio de habitaciones, WiFi gratis, Habitaciones familiares, Desayuno excepcional, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/218662294.jpg?k=588c2f83a5df88d677813f2de6ae781c663ad2c4978854f0d82f14e644396580&o=&hp=1,Cartago,Costa Rica
La Casa de Mamá Coyita,https://www.booking.com/hotel/cr/la-casa-de-mama-coyita.es.html?aid=2410095,"La Casa de Mamá Coyita se encuentra en Cartago, a 5,9 km de Jardín Botánico Lankester, y ofrece alojamiento con jardín, parking privado y terraza. Este alojamiento ofrece cocina compartida y servicio de conserjería, además de wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

Todas las unidades incluyen nevera, microondas, cafetera, ducha, secador de pelo y escritorio. El hotel dispone de algunas unidades con vistas al jardín, y todas cuentan con patio. En La Casa de Mamá Coyita, todas las habitaciones tienen baño privado y ropa de cama.

Ruinas de Ujarras está a 15 km del alojamiento, y Parque Metropolitano La Sabana está a 25 km. El aeropuerto más cercano (Aeropuerto internacional Tobías Bolaños) está a 30 km.","Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Inglés, Baño privado, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Habitaciones sin humo, Zona de comedor exterior, Salas de reuniones / banquetes, Juegos de mesa / puzles, Patio, Secador de pelo, Seguridad 24 horas, Toda la unidad en la planta baja, Zona de cocina, Toallas, Plancha para ropa, Bañera o ducha, WC, Cocina compartida, Plancha para pantalones, Nevera, Servicio de conserjería, Equipamiento de juegos para exterior, Zona de fumadores, Enchufe cerca de la cama, Sofá, Terraza, Ducha, Utensilios de cocina, Suelo de madera o parquet, Parking adaptado para personas de movilidad reducida, Zona de comedor, Jardín, Escritorio, Mobiliario exterior, Cafetera, Llave de acceso, Mesa de comedor, Parking privado, Servicio de limpieza diario, Microondas, Información turística, Extintores, Parking en un garaje, WiFi gratis, Cocina, Tendedero, Ventilador, Perchero, Toallas / sábanas (por un suplemento), Terraza / solárium, Productos de limpieza, Zona de estar, Tetera / cafetera, Armario, Habitaciones familiares, Desayuno excepcional, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/309243522.jpg?k=e9792a6b187f530a34d4363210c0dab04b41521c9aa4dcd127b29c16cbd5145b&o=&hp=1,Cartago,Costa Rica
Hermosa Cabaña en Cartago! Cabaña Providencia!,https://www.booking.com/hotel/cr/hermosa-cabana-en-cartago-cartago.es.html?aid=2410095,"Hermosa Cabaña en Cartago! Cabaña Providencia!, que tiene vistas a la ciudad, ofrece alojamiento con terraza y balcón a unos 17 km de Ruinas de Ujarras. El alojamiento, que está a 7 km de Jardín Botánico Lankester, dispone de jardín y parking privado gratis.

Este apartamento dispone de 1 dormitorio, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

Volcán Irazú está a 23 km del alojamiento, y Parque Metropolitano La Sabana está a 27 km. El aeropuerto (Aeropuerto internacional Tobías Bolaños) está a 32 km.","Vistas a la montaña, Accesible para personas sordas, Ropa de cama, Papel higiénico, Vistas al jardín, Inglés, Gimnasio, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Vistas a un patio interior, Juegos de mesa / puzles, Patio, Secador de pelo, TV de pantalla plana, Lavavajillas, Toda la unidad en la planta baja, Zona de cocina, Vistas, Toallas, Hervidor eléctrico, Bañera o ducha, WC, Vistas a la ciudad, Guardaequipaje, Nevera, Enchufe cerca de la cama, Utensilios de cocina, Ducha, Terraza, Lavadora, Zona de comedor, Vestidor, Cafetera, Escritorio, Jardín, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Mesa de comedor, Acceso a pisos superiores solo mediante escaleras, Clases de yoga, Calefacción, Fruta, WiFi gratis, Cocina, Tendedero, Apartamento privado en edificio, Ventilador, Perchero, Productos de limpieza, Zona de estar, Tetera / cafetera, Armario, Habitaciones familiares, Servicio de streaming (como Netflix), TV, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/575715516.jpg?k=522eea1529ddde505159a77c7961bcf95837644414b93baf8103ca40fce2ffad&o=&hp=1,Cartago,Costa Rica
Casa Irazu,https://www.booking.com/hotel/cr/casa-irazu.es.html?aid=2410095,"Casa Irazu se encuentra en Cartago y ofrece wifi gratis, jardín, salón de uso común y terraza.

Las unidades incluyen una cocina totalmente equipada con nevera, microondas, cafetera y hervidor. Algunas unidades disponen de balcón y/o patio.

Jardín Botánico Lankester está a 6,8 km del alojamiento, y Ruinas de Ujarras está a 16 km. El aeropuerto más cercano (Aeropuerto internacional Tobías Bolaños) está a 30 km del alojamiento.","Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Vistas al jardín, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Secador de pelo, Zona de cocina, Toallas, Plancha para ropa, Baño compartido, Bañera o ducha, Hervidor eléctrico, Cocina compartida, Nevera, Servicio de lavandería, Terraza, Utensilios de cocina, Servicio de planchado, Parking adaptado para personas de movilidad reducida, Zona de comedor, Jardín, Escritorio, Mobiliario exterior, Cafetera, Servicio de limpieza en seco, Zona TV / salón de uso compartido, Tostadora, Mesa de comedor, Zona de pícnic, Microondas, Parking en un garaje, WiFi gratis, Trona, Cocina, Tendedero, Perchero, Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/279865622.jpg?k=b5558c7212d93682d3f03f2666a6cbab7c1de16b945393cd5202c333ff28a92e&o=&hp=1,Cartago,Costa Rica
Hotel Las Brumas,https://www.booking.com/hotel/cr/las-brumas-cartago1.es.html?aid=2410095,"El Hotel Las Brumas ofrece alojamiento en Cartago. El establecimiento alberga un restaurante.

Todas las habitaciones disponen de TV de pantalla plana vía satélite y algunos alojamientos incluyen zona de estar.

El establecimiento cuenta con cocina compartida.

El Hotel Las Brumas está a 20 km de San José, a 38 km de Alajuela y a 36 km del aeropuerto internacional Juan Santamaría.","Papel higiénico, Ropa de cama, Fax / fotocopiadora, Caja fuerte, Baño privado, Servicio de despertador, Inglés, Vino / champán, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Utensilios de planchado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Detectores de humo, Adaptado para sillas de ruedas, Teléfono, Secador de pelo, TV de pantalla plana, Canales por cable, Menús para dietas especiales (bajo petición), Seguridad 24 horas, Español, Cámaras de seguridad en las zonas comunitarias, Lavamanos más bajo, Toallas, Plancha para ropa, Bañera o ducha, WC, Cocina compartida, Servicio de traslado, Bar, Guardaequipaje, Restaurante, Buen desayuno, Recepción 24 horas, Habitaciones insonorizadas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Artículos de aseo gratis, Ducha, Servicio de planchado, Parking adaptado para personas de movilidad reducida, Almuerzos para llevar, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Servicio de limpieza diario, Información turística, Extintores, Alquiler de coches, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Música / espectáculos en directo, Canales vía satélite, Perchero, Billar, Toallas / sábanas (por un suplemento), Productos de limpieza, Zona de estar, Armario, Habitaciones familiares, Servicio de streaming (como Netflix), TV, Menú para niños, Barandillas protectoras para bebés, Proporciona factura, WC elevado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/285593060.jpg?k=41ad947430b5100766ac3d9c1728799c862cb547a03c9021a4a3acf0227d0c04&o=&hp=1,Cartago,Costa Rica
Hotel Vistas del Cielo,https://www.booking.com/hotel/cr/vistas-del-cielo-cartago.es.html?aid=2410095,"Hotel Vistas del Cielo está en Cartago, a 17 km de Jardín Botánico Lankester, y dispone de alojamiento con jardín, parking privado gratis y restaurante. Este hotel de 3 estrellas ofrece wifi gratis. Parque Metropolitano La Sabana está a 25 km del hotel y Ruinas de Ujarras, a 26 km.

Estadio Nacional de Costa Rica está a 27 km del alojamiento, y Parque Diversiones está a 29 km. El aeropuerto más cercano (Aeropuerto internacional Tobías Bolaños) está a 29 km.","Jardín, Cafetería en el alojamiento, Alarma de seguridad, Zona de pícnic, Parking gratis, Restaurante, Extintores, Habitaciones familiares, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/268043034.jpg?k=88e24a5bee9e1195056f1a6a446931afce0d12d3f2d91ea9903b7b0be18d983f&o=&hp=1,Cartago,Costa Rica
Hotel y Restaurante El Guarco,https://www.booking.com/hotel/cr/y-restaurante-el-guarco.es.html?aid=2410095,"El Hotel y Restaurante El Guarco se encuentra a 10 minutos en coche de la Plaza Mayor de Cartago y a 500 metros del parque industrial de Cartago. Dispone de conexión Wi-Fi gratuita en todas las instalaciones y ofrece un desayuno continental.

Las habitaciones presentan una decoración de estilo contemporánea con suelo de baldosa y cuentan con TV por cable, armario, mesa de comedor, cafetera y baño privado con artículos de aseo gratuitos.

El restaurante del hotel ofrece platos de cocina local e internacional y está especializado en carnes. El establecimiento también está a sólo 400 metros de varios locales de restauración y a 500 metros de un supermercado.

Hotel y Restaurante El Guarco está a 6 km de la iglesia de Los Ángeles y de las ruinas del Apóstol Santiago, a 35 km del parque nacional del volcán Irazú y a 50 minutos en coche del aeropuerto internacional Juan Santamaría.","Buffet para niños, Papel higiénico, Caja fuerte, Fax / fotocopiadora, Servicio de despertador, Baño privado, Inglés, Vino / champán, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Traslado aeropuerto, Juegos de mesa / puzles, Suelo de baldosa / mármol, Desayuno en la habitación, Teléfono, Secador de pelo, TV de pantalla plana, Canales por cable, Menús para dietas especiales (bajo petición), Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Plancha para ropa, WC, Servicio de traslado, Bar, Guardaequipaje, Centro de negocios, Plancha para pantalones, Restaurante, Servicio de conserjería, Servicio de lavandería, Almuerzos para llevar, Terraza, Artículos de aseo gratis, Ducha, Servicio de planchado, Parking adaptado para personas de movilidad reducida, Cambio de moneda, Escritorio, Mobiliario exterior, Cafetera, Happy hour, Llave de acceso, Prohibido fumar en todo el alojamiento, Mesa de comedor, Menú para niños, Servicio de entrega de comestibles, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Información turística, Fruta, Extintores, Alquiler de coches, Muy buen desayuno, Adaptado personas de movilidad reducida, Servicio de habitaciones, Parking en un garaje, WiFi gratis, Galerías de arte temporales, Secadora de ropa, Servicio de aparcacoches, Perchero, Terraza / solárium, Armario, Habitaciones familiares, TV, Balcón, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490500995.jpg?k=0e2b059d1167b8b10235663705cfee9d691521f1d2d059572acd337c01333946&o=&hp=1,Cartago,Costa Rica
El mochilero,https://www.booking.com/hotel/cr/white-house-cartago.es.html?aid=2410095,"El El mochilero es un establecimiento con jardín y terraza situado en Cartago, a 4,4 km del jardín botánico de Lankester, a 16 km del volcán Irazú y a 1,8 km de la basílica de Nuestra Señora de los Ángeles. Este alojamiento familiar ofrece cocina compartida y WiFi gratuita.

La cocina está bien equipada con microondas, nevera, horno y artículos de aseo gratuitos.

El bosque de Prusia está a 12 km. El aeropuerto más cercano es el aeropuerto internacional Tobías Bolaños, ubicado a 26 km del El mochilero.","Papel higiénico, Ropa de cama, Habitaciones sin humo, Zona de comedor exterior, Juegos de mesa / puzles, Patio, TV de pantalla plana, Libros, DVD o música para niños, Toallas, Bañera o ducha, Cocina compartida, Zona de fumadores, Enchufe cerca de la cama, Terraza, Ducha, Jardín, Prohibido fumar en todo el alojamiento, Mesa de comedor, Wifi buena gratis (31 Mbps), Toallas / sábanas (por un suplemento), TV, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/457308369.jpg?k=70d0f202681a5432291b908f4c8b3a8f6602ca2704f272a6b97f46e481c71745&o=&hp=1,Cartago,Costa Rica
