hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel El Cubo,https://www.booking.com/hotel/mx/el-cubo.es.html?aid=2410095,"Hotel El Cubo se encuentra en Cardonal, a 45 km de Bidho y a 17 km de Grutas Tolantongo. Ofrece alojamiento con jardín y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

El baño privado está equipado con ducha y artículos de aseo gratuitos.

Parque EcoAlberto está a 39 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional Felipe Ángeles) está a 137 km.","Servicio de habitaciones, Habitaciones familiares, Baño privado, Ducha, Prohibido fumar en todo el alojamiento, Parking gratis, WiFi gratis, Jardín, Español, Artículos de aseo gratis, Inglés, Toallas, Recepción 24 horas, WC, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/540581647.jpg?k=42e150138ca65b69999e7ed7357c240205170e4ccb37af1b08fb6118741204c1&o=&hp=1,Casigua El Cubo,Venezuela
Hotel Avenida Ixmiquilpan,https://www.booking.com/hotel/mx/avenida-ixmiquilpan.es.html?aid=2410095,"El Hotel Avenida Ixmiquilpan se encuentra en la autopista de Actopan-Ixmiquilpan, a 1 km de la plaza Juárez. Ofrece jardín amplio, terraza amueblada, parque infantil y WiFi gratuita en todas las instalaciones.

Las habitaciones presentan una decoración sencilla y disponen de ventilador de techo, sofá, TV por cable y baño con ducha.

Este hotel se encuentra a 1 km del edificio histórico Ex Convento de San Miguel Arcángel y a 2 km de un parque acuático. Las cuevas de Tolantongo están a 90 minutos en coche y el aeropuerto internacional de Ciudad de México se sitúa a 2 horas en coche.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Proporciona factura, Extintores, Parking en un garaje, Ventilador, Artículos de aseo gratis, Seguridad 24 horas, Baños públicos, Recepción 24 horas, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Parking gratis, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Zona de juegos para niños, Máquina expendedora (aperitivos), Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Servicio de limpieza diario, Papel higiénico, Máquina expendedora (bebidas), Armario, Jardín, Alarma de seguridad, Llave de acceso, Toallas, WC, Mosquitera, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/571990639.jpg?k=3754b533ae114b1f2dd149e9d574ca530339b4fa9dc5cc10bf8ae3547d38714a&o=&hp=1,Casigua El Cubo,Venezuela
Ecoturismo Cabañas La Florida,https://www.booking.com/hotel/mx/ecoturismo-cabanas-la-florida.es.html?aid=2410095,"Ecoturismo Cabañas La Florida está en Cardonal y dispone de wifi gratis, jardín, terraza y bar.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

Grutas Tolantongo está a 20 km del alojamiento, y Parque EcoAlberto está a 45 km. El aeropuerto (Aeropuerto internacional Felipe Ángeles) está a 116 km.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Supermercado pequeño en el alojamiento, Toallas / sábanas (por un suplemento), Proporciona factura, Vistas al jardín, Desayuno, Artículos de aseo gratis, Bar, Patio, Habitaciones familiares, Ducha, Parking gratis, Español, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Armario, Jardín, Toallas, Guardaequipaje, Información turística, Vistas a un lugar de interés, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/438751884.jpg?k=8ba07c0cebf5957f0c2b1c770586037568d49b314bf89515fd94e640c9928c36&o=&hp=1,Casigua El Cubo,Venezuela
HOTEL DEL VALLE INN IXMIQUILPAN,https://www.booking.com/hotel/mx/del-valle-inn-ixmiquilpan-el-carmen.es.html?aid=2410095,"HOTEL DEL VALLE INN IXMIQUILPAN está en Ixmiquilpan, a 20 km de Bidho, y dispone de alojamiento con piscina de temporada al aire libre, parking privado gratis, jardín y terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Hay bar.

En el hotel, las habitaciones tienen armario. HOTEL DEL VALLE INN IXMIQUILPAN ofrece algunas unidades con balcón, y todas tienen baño privado con ducha y artículos de aseo gratuitos. En el alojamiento, las habitaciones cuentan con escritorio y TV de pantalla plana.

HOTEL DEL VALLE INN IXMIQUILPAN ofrece desayuno buffet o americano.

El hotel ofrece zona de juegos infantil. Se puede jugar al billar y al ping-pong en este hotel de 3 estrellas.

Parque EcoAlberto está a 12 km del alojamiento, y Grutas Tolantongo está a 44 km. El aeropuerto (Aeropuerto internacional Felipe Ángeles) está a 111 km.","Baño privado, Restaurante, Prohibido fumar en todo el alojamiento, WiFi gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Salas de reuniones / banquetes, Productos de limpieza, Menú para niños, Fax / fotocopiadora, Escritorio, Proporciona factura, Extintores, Sala de juegos, Barbacoa, Zona poco profunda, Desayuno fabuloso, Enchufe cerca de la cama, Parking adaptado para personas de movilidad reducida, Piscina al aire libre, Artículos de aseo gratis, Equipamiento de tenis, Estación de carga de vehículos eléctricos, Perchero, Bar, Recepción 24 horas, Aire acondicionado, De temporada, Masajes, Habitaciones familiares, Ducha, Toallas de playa/piscina, Parking gratis, Español, TV, Buffet para niños, Zona de juegos para niños, Boles para mascotas, Billar, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Ping pong, TV de pantalla plana, Servicio de limpieza diario, Armario, Sombrillas, Masaje corporal completo, Bañera de hidromasaje / jacuzzi, Jardín, Llave de acceso, Almuerzos para llevar, 2 restaurantes, Cafetería en el alojamiento, Toallas, Guardaequipaje, Piscina pequeña, Para todas las edades, WC, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/506071784.jpg?k=4741189daaa37c6d7a15a4d61d086354c0e7b89eb1e4ad2347193bc294d34e74&o=&hp=1,Casigua El Cubo,Venezuela
Hotel Posada Centenario,https://www.booking.com/hotel/mx/posada-centenario.es.html?aid=2410095,"Hotel Posada Centenario está en Ixmiquilpan, a 20 km de Bidho y a 14 km de Parque EcoAlberto. Ofrece alojamiento con salón de uso común y wifi gratis en todo el alojamiento, además de parking privado gratis. Este hotel de 3 estrellas ofrece mostrador de información turística. Grutas Tolantongo está a 43 km del hotel y Huemac, a 47 km.

En el hotel, todas las habitaciones disponen de escritorio y TV. Todas las habitaciones incluyen baño privado con ducha y artículos de aseo gratuitos.

En la recepción 24 horas se habla inglés y español, y el personal estará encantado de dar consejos sobre la zona.

El aeropuerto más cercano (Aeropuerto internacional Felipe Ángeles) está a 112 km.","Baño privado, Ducha, Zona TV / salón de uso compartido, Centro de negocios, Parking gratis, WiFi gratis, Español, TV, Servicio de despertador, Artículos de aseo gratis, Canales por cable, Inglés, Toallas, Teléfono, Información turística, Recepción 24 horas, Escritorio, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/277439888.jpg?k=c6e00c7eaaaba0c5bd65cfa5ea9c7352ad73edc6c7ce4f160bf13dbb8c399822&o=&hp=1,Casigua El Cubo,Venezuela
REBOLLEDO IMPERIAL,https://www.booking.com/hotel/mx/rebolledo-imperial-grutas-tolantongo.es.html?aid=2410095,"REBOLLEDO IMPERIAL se encuentra en San Cristóbal, a 6 km de Grutas Tolantongo, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. El hotel dispone de habitaciones familiares.

En el hotel, cada habitación tiene balcón.

El aeropuerto más cercano (Aeropuerto internacional Felipe Ángeles) está a 130 km del alojamiento.","Habitaciones familiares, Restaurante, TV de pantalla plana, Parking gratis, Vistas, Jardín, Español, Desayuno, Parque acuático, Balcón, Terraza, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/448749472.jpg?k=752184581d2f6e7a8f027bc2d0c40a60e5dbf8c0acb8f10b02579b2c858e18f8&o=&hp=1,Casigua El Cubo,Venezuela
Hotel Cipreses,https://www.booking.com/hotel/mx/cipreses.es.html?aid=2410095,"El Hotel Cipreses está situado a 1 km del centro de Ixmiquilpan y dispone de piscina cubierta, piscina al aire libre, pista de tenis, pista de squash y jardines amplios. En la sala de juegos hay mesa de ping pong y mesa de billar.

Las habitaciones del Hotel Cipreses presentan una decoración vistosa y funcional y están equipadas con baño privado con ducha.

Hay un restaurante a menos de 500 metros y el mercado de Ixmiquilpan se encuentra a solo 1 km.

El Hotel Cipreses ofrece aparcamiento privado gratuito y está a menos de 3 km de balnearios de aguas termales y a 20 km de las grutas Tolantongo.","Baño privado, Vistas a un patio interior, Proporciona factura, Extintores, Parking en un garaje, Zona poco profunda, Piscina al aire libre, Pista de tenis, Seguridad 24 horas, De temporada, Squash, Habitaciones familiares, Ducha, Parking gratis, Español, TV, Bañera o ducha, Ping pong, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Armario, Jardín, Llave de acceso, Toallas, Ropa de cama, Para todas las edades, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/105262948.jpg?k=e7e21f66cc590110aa696ccfab612697961f35ee748347443bc021d14ae4fbdb&o=&hp=1,Casigua El Cubo,Venezuela
Hotel Antonio,https://www.booking.com/hotel/mx/antonio.es.html?aid=2410095,"Hotel Antonio se encuentra en Ixmiquilpan, a 27 km de Bidho y a 9 km de Parque EcoAlberto. Ofrece alojamiento con jardín y wifi gratis, además de parking privado gratis. El hotel ofrece baño termal y recepción 24 horas.

En el hotel, cada habitación incluye patio. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas al jardín.

Huemac está a 40 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional Felipe Ángeles) está a 105 km.","Baño privado, WiFi gratis, Vistas, Vistas a un patio interior, Zona de fumadores, Supermercado pequeño en el alojamiento, Servicio de limpieza en seco, Proporciona factura, Extintores, Vistas al jardín, Enchufe cerca de la cama, Artículos de aseo gratis, Seguridad 24 horas, Recepción 24 horas, Patio, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Parking gratis, Español, Adaptado personas de movilidad reducida, TV, Registro de entrada y salida exprés, TV de pantalla plana, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Jardín, Toallas, Información turística, WC, Zona de pícnic, Baños termales",https://cf.bstatic.com/xdata/images/hotel/max1024x768/525913127.jpg?k=35afcb7f426a4cd784a41808434955979d4d94cc09d97807f9f16fdee085a839&o=&hp=1,Casigua El Cubo,Venezuela
Cabañas Los Olivos,https://www.booking.com/hotel/mx/cabanas-los-olivos.es.html?aid=2410095,"Cabañas Los Olivos tiene vistas a la montaña, wifi gratis y parking privado gratis. Está en Ixmiquilpan, a 25 km de Bidho.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

Se puede practicar senderismo o ciclismo, o disfrutar de un momento de relax en el jardín.

Parque EcoAlberto está a 8,7 km del alojamiento, y Huemac está a 40 km. El aeropuerto (Aeropuerto internacional Felipe Ángeles) está a 106 km.","Baño privado, WiFi gratis, Vistas, Zona de fumadores, Ciclismo, Vistas a la montaña, Extintores, Parking adaptado para personas de movilidad reducida, Artículos de aseo gratis, Seguridad 24 horas, Patio, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Parking gratis, Español, Senderismo, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Papel higiénico, Servicio de limpieza diario, Jardín, Toda la unidad en la planta baja, Cafetería en el alojamiento, Toallas, Información turística, WC, Mosquitera, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/348130495.jpg?k=6a2ff77974f55c688b3c12aec99a6e2cae076df66fd1e36c255ed4c17a59455f&o=&hp=1,Casigua El Cubo,Venezuela
Villa Del Sol,https://www.booking.com/hotel/mx/villa-del-sol-ixmiquilpan.es.html?aid=2410095,"Villa Del Sol se encuentra en Ixmiquilpan, en la región de Hidalgo, a 20 km de Bidho. Ofrece alojamiento con wifi gratis, zona de barbacoa, terraza y parking privado gratis.

El apartahotel ofrece patio, zona de estar, TV de pantalla plana por cable, cocina totalmente equipada con nevera y horno, y baño privado con ducha y artículos de aseo gratuitos. También se ofrece microondas, fogones y tostadora, además de cafetera y hervidor.

Villa Del Sol ofrece servicio de alquiler de bicicletas.

Parque EcoAlberto está a 14 km del alojamiento, y Grutas Tolantongo está a 43 km. El aeropuerto más cercano (Aeropuerto internacional Felipe Ángeles) está a 112 km del alojamiento.","Baño privado, Habitaciones comunicadas disponibles, Insonorización, Servicio de entrega de comestibles, Detector de monóxido de carbono, Toallas / sábanas (por un suplemento), Proporciona factura, Zona de comedor exterior, Horno, Cafetera, Registro de entrada / salida privado, Hipoalergénico, Entrada privada, Plancha para ropa, TV, Detectores de humo, Registro de entrada y salida exprés, Inglés, Hervidor eléctrico, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Servicio de habitaciones, Tarjeta de acceso, Guardaequipaje, Nevera, Prohibido fumar en todo el alojamiento, Tendedero, Fruta, Zona de estar, Caja fuerte para ordenador portátil, Soporte para iPod, Secador de pelo, Fogones, Aire acondicionado, Ducha, Sofá, Parking gratis, Terraza / solárium, Español, Mesa de comedor, Servicio de lavandería, Utensilios de planchado, Servicio de limpieza diario, Alarma de seguridad, Habitaciones insonorizadas, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), Independiente, Cocina, WiFi gratis, Calefacción, Mobiliario exterior, Utensilios de cocina, Canales por cable, Productos de limpieza, Corte de pelo, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Juegos de mesa / puzles, Tetera / cafetera, Peluquería / salón de belleza, Recepción 24 horas, Seguridad 24 horas, Patio, Habitaciones familiares, Vestidor, Radio, Suelo de baldosa / mármol, Alquiler de bicicletas, Caja fuerte, Albornoz, Apartamento privado en edificio, Sombrillas, Papel higiénico, Reloj despertador, Zona de cocina, Servicio de conserjería, Llave de acceso, Tratamientos capilares, Entretenimiento nocturno, Tostadora, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Adosado, Información turística, Mosquitera, Noches de cine, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Barbacoa, Artículos de aseo gratis, Perchero, Tinte, Peinado, Habitaciones hipoalergénicas, Servicio de despertador / alarma, Chimenea exterior, Servicios de belleza, Armario, Vídeo, Microondas, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/443445762.jpg?k=87c746f812748af4bb3c47295e84ca877fbc8cfe55b80d5ace78c3bf1f8a653d&o=&hp=1,Casigua El Cubo,Venezuela
