hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Caucasia,https://www.booking.com/hotel/co/caucasia.es.html?aid=2410095,"Hotel Caucasia dispone de jardín, salón de uso común, restaurante y bar en Caucasia. Este alojamiento ofrece servicio de traslado gratuito y servicio de habitaciones, además de wifi gratis en todo el alojamiento. El cafetería es ideal para tomar algo.

En el hotel, todas las habitaciones tienen aire acondicionado, escritorio, terraza con vistas a la ciudad, baño privado, TV de pantalla plana, ropa de cama y toallas. Todas las unidades cuentan con armario y cafetera.

El desayuno diario ofrece opciones continentales, americanas o vegetarianas.

Hay parking privado gratis y centro de negocios, así como recepción 24 horas.

El aeropuerto más cercano (Aeropuerto de Los Garzones) está a 131 km.","Terraza, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Canales de pago, Baño privado, Jardín, Centro de negocios, Extintores, Hipoalergénico, Toda la unidad accesible en silla de ruedas, Ropa de cama, Servicio de habitaciones, Mobiliario exterior, Utensilios de planchado, Restaurante, Servicio de entrega de comestibles, Cafetería en el alojamiento, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Muy buen desayuno, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Cuerda de emergencia en el baño, Canales por cable, Habitaciones insonorizadas, Cafetera, Desayuno en la habitación, Zona de estar, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Adaptado personas de movilidad reducida, Habitaciones familiares, Servicio de despertador / alarma, Papel higiénico, Fax / fotocopiadora, Suelo de baldosa / mármol, Almuerzos para llevar, Caja fuerte, Adaptado para sillas de ruedas, TV, Armario, Tetera / cafetera, Servicio de traslado, Acceso a pisos superiores en ascensor, Artículos de aseo gratis, Productos de limpieza, Hervidor eléctrico, Servicio de planchado, Guardaequipaje, WC, Tetera/cafetera en todas las habitaciones, Bar, TV de pantalla plana, Toallas, Tendedero, Español, Nevera, Zona de fumadores, Prohibido fumar en todo el alojamiento, Vistas, Recepción 24 horas, Ventilador, Inglés, Vino / champán, Perchero, Información turística, Traslado aeropuerto, Snack-bar, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Entrada privada, Menús para dietas especiales (bajo petición), Fruta, Ducha, Plancha para ropa, Traslado aeropuerto (gratis), Servicio de despertador, Servicio de lavandería, Vistas al río, Vistas a la ciudad, Ascensor, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/372853259.jpg?k=fd2728b3a072b856830f12068f220fd25e68ae05b316c9695a579fd769e60f77&o=&hp=1,Caucasia,Colombia
Hotel y Restaurante Mesón del Gitano,https://www.booking.com/hotel/co/y-restaurante-meson-del-gitano.es.html?aid=2410095,"Hotel y Restaurante Mesón del Gitano dispone de piscina al aire libre, jardín, salón de uso común y restaurante en Caucasia. Este alojamiento, que cuenta con habitaciones familiares, también ofrece zona de juegos infantil. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

Todas las unidades de este alojamiento incluyen zona de estar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo gratuitos y ducha. El hotel dispone de algunas unidades con vistas a la piscina, y todas cuentan con balcón. En Hotel y Restaurante Mesón del Gitano, todas las habitaciones cuentan con ropa de cama y toallas.

Puedes jugar al billar en el alojamiento.

El aeropuerto más cercano (Aeropuerto de Los Garzones) está a 124 km del alojamiento.","Juegos de mesa / puzles, Sombrillas, Horario de apertura, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Baños públicos, Cafetería en el alojamiento, Habitaciones sin humo, Vistas, Recepción 24 horas, Baño privado, Jardín, Extintores, Aire acondicionado, TV, Armario, Traslado aeropuerto, Vino / champán, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Fruta, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Enchufe cerca de la cama, Toallas de playa/piscina, Proporciona factura, Mobiliario exterior, Canales por cable, Piscina al aire libre, Desayuno en la habitación, Zona de estar, Llave de acceso, Eventos deportivos en directo (emisión), Servicio de planchado, Servicio de despertador, Para todas las edades, Servicio de lavandería, Salas de reuniones / banquetes, WC, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Billar, Balcón, Zona de comedor, Toallas, TV de pantalla plana, Habitaciones familiares, Abierta todo el año, Español, Zona poco profunda, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/361916666.jpg?k=f5d149d635884ca5759e27caec915ffd64cb0f61e1933e60f3711b6018313838&o=&hp=1,Caucasia,Colombia
Hotel Canoa Inn,https://www.booking.com/hotel/co/canoa-inn.es.html?aid=2410095,"Hotel Canoa Inn ofrece alojamiento en Caucasia. Este hotel de 3 estrellas ofrece terraza y habitaciones con aire acondicionado y wifi gratis. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, todas las habitaciones incluyen armario. En Hotel Canoa Inn, cada habitación está equipada con escritorio y TV de pantalla plana, y algunas también ofrecen balcón. En el alojamiento, las habitaciones incluyen ropa de cama y toallas.

El aeropuerto (Aeropuerto de Los Garzones) está a 131 km.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ventilador, Aire acondicionado, Extintores, TV, Armario, Información turística, Snack-bar, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Plancha para ropa, Mobiliario exterior, Productos de limpieza, Canales por cable, Llave de acceso, Servicio de despertador, Escritorio, WC, Máquina expendedora (bebidas), Terraza / solárium, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/230899464.jpg?k=5b4fa04073f060fdedd8be3a0cf6a25874af967a61090d5ed9c6aaa568c1b2fe&o=&hp=1,Caucasia,Colombia
HOTEL TANIA,https://www.booking.com/hotel/co/tania.es.html?aid=2410095,"HOTEL TANIA dispone de alojamiento en Caucasia. Hay terraza, wifi gratis y parking privado gratis.

Las unidades de este alojamiento están equipadas con cafetera. En el hotel, las habitaciones disponen de aire acondicionado y baño privado.

El personal de la recepción 24 horas puede echar una mano y dar consejos sobre la zona.

El aeropuerto (Aeropuerto de Los Garzones) está a 130 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Prohibido fumar en todo el alojamiento, Caja fuerte, Habitaciones sin humo, Recepción 24 horas, Ventilador, Baño privado, Aire acondicionado, Extintores, TV, Armario, Traslado aeropuerto, Perchero, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Seguridad 24 horas, WiFi gratis, Detectores de humo, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Cafetera, Zona de estar, Guardaequipaje, Microondas, Tetera/cafetera en todas las habitaciones, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Habitaciones familiares, Español, Nevera, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/363783220.jpg?k=cf7a3f9d0cda6d794e4181a72602801759d379453f459324d7e8199817f0ca41&o=&hp=1,Caucasia,Colombia
Hotel Acapulco Caucasia,https://www.booking.com/hotel/co/acapulco-caucasia-caucasia1.es.html?aid=2410095,"Hotel Acapulco Caucasia está en Caucasia y dispone de centro de fitness, salón de uso común y terraza. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

Las unidades de este alojamiento están equipadas con TV con canales por cable. En el hotel, las habitaciones están equipadas con aire acondicionado y baño privado.

El aeropuerto más cercano (Aeropuerto de Los Garzones) está a 131 km.","Desayuno, Terraza, Baños públicos, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Zona TV / salón de uso compartido, Acceso a pisos superiores solo mediante escaleras, Ducha, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de fumadores, Canales por cable, Gimnasio, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Habitaciones familiares, Español, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/447166926.jpg?k=f6759ede30277c6990206044531f1d77910bc474dbad6b39fe4a16d8b775df99&o=&hp=1,Caucasia,Colombia
Botanico Hotel y Spa,https://www.booking.com/hotel/co/botanico-caucasia.es.html?aid=2410095,"Botanico Hotel y Spa está en Caucasia y cuenta con jardín. Este hotel de 4 estrellas ofrece recepción 24 horas y servicio de conserjería. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, cada habitación cuenta con aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. Botanico Hotel y Spa dispone de algunas unidades con balcón, y todas tienencafetera. En el alojamiento, cada habitación incluye ropa de cama y toallas.

El aeropuerto (Aeropuerto de Los Garzones) está a 131 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Secador de pelo, Terraza, Sombrillas, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Teléfono, Minibar, Suelo de madera o parquet, Vistas, Adaptado para sillas de ruedas, Recepción 24 horas, Inglés, Baño privado, Jardín, Centro de negocios, Extintores, TV, Aire acondicionado, WC con barras de apoyo, Solárium, Armario, Tour o clase sobre cultura local, Traslado aeropuerto, Perchero, Vino / champán, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Servicio de conserjería, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Boles para mascotas, Enchufe cerca de la cama, Proporciona factura, Cesta para mascotas, Zona de fumadores, Plancha para ropa, Canales por cable, Tarjeta de acceso, Cafetera, Zona de estar, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, TV de pantalla plana, Tumbonas/sillas de playa, Adaptado personas de movilidad reducida, Toallas, Español, Vistas a la ciudad, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573994047.jpg?k=5e576af656fa9215e41b45a62cf987bcbb1ddaa791f7d0b22e10d0e6d1bff265&o=&hp=1,Caucasia,Colombia
Cabañas La Palma,https://www.booking.com/hotel/co/cabanas-la-palma-caucasia.es.html?aid=2410095,"Cabañas La Palma se encuentra en Caucasia y dispone de centro de fitness, jardín y wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

En el hotel, todas las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades de este alojamiento disponen de aire acondicionado y armario.

En Cabañas La Palma se sirve todas las mañanas un desayuno americano.

El aeropuerto más cercano (Aeropuerto de Los Garzones) está a 132 km.","Desayuno, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Recepción 24 horas, Ventilador, Baño privado, Jardín, Extintores, Aire acondicionado, Armario, Perchero, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Proporciona factura, Gimnasio, Servicio de planchado, Escritorio, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574862442.jpg?k=e9e920cd9bac98d05e3afaa3c2864cd5334637d13058a601693076cd1bf36196&o=&hp=1,Caucasia,Colombia
HOTEL DORADO VILLA REAL HDVR,https://www.booking.com/hotel/co/dorado-villa-real-hdvr.es.html?aid=2410095,"HOTEL DORADO VILLA REAL HDVR ofrece alojamiento en Caucasia. El alojamiento dispone de recepción 24 horas.

En el hotel, cada habitación cuenta con armario. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha y artículos de aseo gratuitos. En HOTEL DORADO VILLA REAL HDVR, cada habitación dispone de aire acondicionado y TV de pantalla plana.

El aeropuerto (Aeropuerto de Los Garzones) está a 131 km.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Ventilador, Baño privado, Aire acondicionado, TV, Parking, Armario, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Parking en un garaje, WiFi gratis, Ducha, Enchufe cerca de la cama, Canales por cable, Servicio de planchado, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520144572.jpg?k=01e4268e53aa8ed4db11864f10d6e6c1db2f1f11ad4ac2fe07ca931e077133b2&o=&hp=1,Caucasia,Colombia
Casa Calina Hotel,https://www.booking.com/hotel/co/casa-calina.es.html?aid=2410095,"Casa Calina Hotel ofrece alojamiento en Caucasia. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones están equipadas con armario y TV de pantalla plana. En Casa Calina Hotel, las habitaciones cuentan con aire acondicionado y baño privado.

El aeropuerto (Aeropuerto de Los Garzones) está a 131 km.","Plancha para ropa, Armario, Perchero, Prohibido fumar en todo el alojamiento, Bañera o ducha, Baño privado, TV de pantalla plana, Papel higiénico, Español, Recepción 24 horas, Ventilador, WiFi gratis, Aire acondicionado, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578813622.jpg?k=d10e5a56ae9f4fcdc8998c486abc997f821d766b6060798658f1308212d0bd88&o=&hp=1,Caucasia,Colombia
Hotel Beijing Caucasia,https://www.booking.com/hotel/co/beijing-caucasia-caucasia.es.html?aid=2410095,"Hotel Beijing Caucasia está en Caucasia y tiene centro de fitness, salón de uso común, terraza y wifi gratis en todo el alojamiento. El alojamiento dispone de recepción 24 horas, servicio de conserjería y servicio de organización de tours.

El aeropuerto (Aeropuerto de Los Garzones) está a 131 km.","Desayuno, Terraza, Baños públicos, Habitaciones sin humo, Recepción 24 horas, Aire acondicionado, Extintores, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Parking en un garaje, WiFi gratis, Bañera de hidromasaje / jacuzzi, Proporciona factura, Llave de acceso, Gimnasio, Servicio de planchado, Servicio de lavandería, Salas de reuniones / banquetes, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Habitaciones familiares, Español, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/484126863.jpg?k=aa337279af6dc88f8d6f08fc7f12fb0eccbf443cafe7948f28ee3fd4aa337083&o=&hp=1,Caucasia,Colombia
