hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Mitad del Mundo,https://www.booking.com/hotel/ec/hosteria-mitad-del-mundo.es.html?aid=2410095,"La Hostal Mitad del Mundo admite mascotas y ofrece alojamiento en Cayambe. El establecimiento dispone de restaurante y proporciona aparcamiento privado gratuito.

Todas las habitaciones cuentan con TV de pantalla plana y baño privado con ducha. La Hostal Mitad del Mundo dispone de WiFi gratuita en todas las instalaciones.

La recepción está abierta 24 horas.

La Hostal Mitad del Mundo se encuentra a 50 km de Quito, a 46 km de Papallacta y a 30 km del aeropuerto internacional Mariscal Sucre.","Parking gratis, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Armario, Papel higiénico, WiFi gratis, TV, Inglés, WC, Canales por cable, Servicio de habitaciones, Zona de fumadores, Toallas, Snack-bar, Jardín, Bañera, Español, Baño privado, Habitaciones sin humo, Restaurante, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, TV de pantalla plana, Ropa de cama, Entrada privada, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/217125305.jpg?k=f2aa51723d907cabc5dede9161053d6419c3677896732e35746d9c9a94bab532&o=&hp=1,Cayambe,Ecuador
Palumbo Glamping & Villas,https://www.booking.com/hotel/ec/palumbo-glamping.es.html?aid=2410095,"Palumbo Glamping & Villas se encuentra en Cayambe y dispone dejardín, instalaciones para deportes acuáticos y zona de barbacoa. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, todas las habitaciones están equipadas con armario, TV, baño privado, ropa de cama y toallas. Algunas habitaciones tienen cocina con nevera, horno y minibar. Todas las unidades cuentan con microondas.

Palumbo Glamping & Villas ofrece desayuno continental o americano.

La zona es idea para practicar senderismo y ciclismo, y en el alojamiento hay alquiler de bicicletas.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 56 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Fruta, Mesa de comedor, Zona de comedor exterior, Barbacoa, Instalaciones para deportes acuáticos en el alojamiento, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Desayuno, Masajes, Parking gratis, Tours en bici, Traslado aeropuerto, Paquetes de spa / bienestar, Perchero, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Masaje de cabeza, Zona de spa / relajación, Alquiler de bicicletas, Servicio de conserjería, WiFi gratis, TV, Inglés, Masaje de pies, Equitación, Menú para niños, Masaje corporal completo, WC, Servicio de traslado, Proporciona factura, Servicio de habitaciones, Toallas, Vino / champán, Jardín, Registro de entrada / salida privado, Microondas, Masaje de espalda, Tours a pie, Español, Baño privado, Equipamiento de juegos para exterior, Chimenea, Habitaciones sin humo, Vistas, Supermercado pequeño en el alojamiento, Ropa de cama, Masaje de cuello, Ducha, Piragüismo, Desayuno en la habitación, Senderismo, Calefacción, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/286318138.jpg?k=d82782a1382c13396f4036c29fe471d6535a1561e293ddd33927e235fb9e1897&o=&hp=1,Cayambe,Ecuador
Apart Cayambe,https://www.booking.com/hotel/ec/apart-cayambe.es.html?aid=2410095,"Apart Cayambe está en Cayambe y ofrece alojamiento con wifi gratis y zona de estar.

Cada unidad tiene cocina equipada, sala de estar con sofá cama y TV de pantalla plana, y baño privado con artículos de aseo gratuitos y ducha.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 56 km.","Prohibido fumar en todo el alojamiento, Zona de cocina, Bañera o ducha, Zona de estar, Armario, Papel higiénico, Utensilios de cocina, Mobiliario exterior, WiFi gratis, Lavavajillas, TV, Cámaras de seguridad fuera del alojamiento, Nevera, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores en ascensor, Toallas, Artículos de aseo gratis, Microondas, Independiente, Productos de limpieza, Ascensor, Bañera, Toda la unidad accesible en silla de ruedas, Baño privado, Español, Fogones, Habitaciones sin humo, Enchufe cerca de la cama, Sofá cama, Cocina, Suelo de baldosa / mármol, Escritorio, TV de pantalla plana, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/345265546.jpg?k=42b88bbaa873c2f374ab62c204eceef63fa7b1e37600cb2e015e95e14a5ffc1a&o=&hp=1,Cayambe,Ecuador
Hostal El Sol de Cayambe,https://www.booking.com/hotel/ec/hostal-el-sol.es.html?aid=2410095,"Hostal El Sol de Cayambe se encuentra en Cayambe. Hay terraza, wifi gratis y parking privado gratis.

Cada habitación está equipada con baño privado, algunas ofrecen balcón y otras también ofrecen vistas a la ciudad.

El personal de la recepción habla tanto inglés como español y estará encantado de ayudar en cualquier momento.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 55 km del alojamiento.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Parking gratis, Servicio de limpieza diario, Terraza, Servicio de lavandería, Mobiliario exterior, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Baños públicos, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Registro de entrada / salida privado, Snack-bar, Español, Baño privado, Habitaciones sin humo, Extintores, Habitaciones familiares, Recepción 24 horas, Parking adaptado para personas de movilidad reducida, Adaptado personas de movilidad reducida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/150455491.jpg?k=9e27bb9a05811ea52a4ae1eb1285ab462a52cf96e9d364d3a8462396b19f3f11&o=&hp=1,Cayambe,Ecuador
Hospedaje San Fernando,https://www.booking.com/hotel/ec/hostal-san-fernando.es.html?aid=2410095,"Hospedaje San Fernando está en Cayambe y tiene jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

En el hostal o pensión, todas las habitaciones cuentan con armario. Las habitaciones disponen de baño privado con artículos de aseo gratuitos, algunas ofrecen patio y otras también cuentan con vistas a la ciudad. En Hospedaje San Fernando, cada habitación dispone de TV de pantalla plana con canales por cable.

En la recepción 24 horas se hablan varios idiomas, como inglés y español.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 53 km.","Sala de juegos, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Habitaciones hipoalergénicas, Servicio de entrega de comestibles, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Alarma de seguridad, Canales por cable, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Información turística, Zona de fumadores, Productos de limpieza, Español, Baño privado, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, TV de pantalla plana, Entrada privada, Ping pong, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/229428637.jpg?k=05e54a939f22442b72dd59bc0675d77723f605a1838d8ef2091956112ba88c8e&o=&hp=1,Cayambe,Ecuador
Casa JEANETH,https://www.booking.com/hotel/ec/casa-jeaneth.es.html?aid=2410095,"Casa JEANETH se encuentra en Cayambe. Este alojamiento, que cuenta con servicio de habitaciones, también ofrece terraza. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En el hostal o pensión, cada habitación está equipada con baño privado con ducha.

En Casa JEANETH se sirve todos los días un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 57 km del alojamiento.","Fruta, Prohibido fumar en todo el alojamiento, Desayuno, Plancha para ropa, Parking gratis, Aseo adicional, Tours en bici, Traslado aeropuerto, Cambio de moneda, Servicio de limpieza diario, Perchero, Terraza, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Cocina compartida, Servicio de lavandería, Servicio de entrega de comestibles, Toda la unidad en la planta baja, Detectores de humo, Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Registro de entrada / salida privado, Información turística, Cafetería en el alojamiento, Tours a pie, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, TV de pantalla plana, Ducha, Desayuno en la habitación, Habitaciones familiares, Wifi básica gratis (10 Mbps)",https://cf.bstatic.com/xdata/images/hotel/max1024x768/562926807.jpg?k=b150cfc98ff5c17de5534fee45a6e3e03740a6128bc4de2636c5d6231a091154&o=&hp=1,Cayambe,Ecuador
SUKIS Department,https://www.booking.com/hotel/ec/sukis-department.es.html?aid=2410095,"SUKIS Department se encuentra en Cayambe. El apartamento, que se encuentra en un edificio de 2023, ofrece wifi gratis.

El apartamento incluye 2 dormitorios y una cocina con nevera y horno, además de cafetera. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 56 km.","Cafetera, Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de cocina, Zona de comedor, Perchero, Bañera o ducha, Armario, Papel higiénico, Cama plegable, Utensilios de cocina, WiFi gratis, TV, Nevera, Toallas / sábanas (por un suplemento), Hervidor eléctrico, WC, Libros, DVD o música para niños, Canales de pago, Acceso a pisos superiores solo mediante escaleras, Toallas, Adosado, Artículos de aseo gratis, Independiente, Productos de limpieza, Horno, Bañera, Español, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Cocina, Suelo de baldosa / mármol, Escritorio, Ropa de cama, TV de pantalla plana, Tetera / cafetera, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552140058.jpg?k=29037dfca9374bd2347e1cfdea08c73e9d950815ce2eb908b492a1b928a282b5&o=&hp=1,Cayambe,Ecuador
Hosteria Loma Larga Cayambe,https://www.booking.com/hotel/ec/hosteria-papagayo-norte.es.html?aid=2410095,"La Hosteria Loma Larga Cayambe se encuentra en Cayambe y ofrece vistas a las montañas y conexión WiFi gratuita. Hay bañera de hidromasaje.

Todos los alojamientos incluyen un balcón con vistas al jardín.

Todas las mañanas, el lodge sirve un desayuno americano y un desayuno inglés/irlandés completo.

La Hosteria Loma Larga Cayambe ofrece una amplia gama de instalaciones de bienestar, incluida una bañera de hidromasaje. Hay un centro de negocios.

El alojamiento está cerca de rutas de senderismo y cuenta con una terraza y zona de barbacoa.

Papallacta se encuentra a 45 km de la Hosteria Loma Larga Cayambe.","Sala de juegos, Parking en un garaje, Fruta, Registro de entrada y salida exprés, Zona de juegos interior, Barbacoa, Servicio de planchado, Prohibido fumar en todo el alojamiento, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Caja fuerte, Seguridad 24 horas, Papel higiénico, Cocina compartida, Servicio de lavandería, Mobiliario exterior, WiFi gratis, Inglés, Menú para niños, WC, Servicio de traslado, Servicio de habitaciones, Terraza / solárium, Vino / champán, Snack-bar, Jardín, Cafetería en el alojamiento, Registro de entrada / salida privado, Información turística, Juegos de mesa / puzles, Centro de negocios, Zona de fumadores, Fax / fotocopiadora, Almuerzos para llevar, Tours a pie, Español, Baño privado, Habitaciones sin humo, Extintores, Restaurante, Zona TV / salón de uso compartido, Zona de pícnic, Calefacción, Guardaequipaje, Ducha, Senderismo, Parking adaptado para personas de movilidad reducida, Ping pong, Habitaciones familiares, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/133149041.jpg?k=173cdd8a951f922b01e745498f0dc52550d7329f4fc0bb56210142c47a8f7af2&o=&hp=1,Cayambe,Ecuador
Casa de Campo,https://www.booking.com/hotel/ec/casa-de-campo.es.html?aid=2410095,"Casa de Campo tiene jardín, salón de uso común, terraza y bar en Cayambe. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

Las habitaciones están equipadas con baño privado con ducha, y algunas también ofrecen vistas a la montaña. En el hostal o pensión, cada habitación está equipada con ropa de cama y toallas.

La clientela puede practicar actividades en Cayambe y alrededores, como senderismo y ciclismo.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 60 km.","Entretenimiento nocturno, Prohibido fumar en todo el alojamiento, Vistas al jardín, Barbacoa, Plancha para pantalones, Menús para dietas especiales (bajo petición), Parking gratis, Traslado aeropuerto, Chimenea exterior, Perchero, Salas de reuniones / banquetes, Terraza, Servicio de despertador, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Bar, Detectores de humo, WiFi gratis, Inglés, Equitación, WC, Servicio de traslado, Toallas, Jardín, Juegos de mesa / puzles, Tours a pie, Español, Baño privado, Habitaciones sin humo, Vistas, Zona TV / salón de uso compartido, Extintores, Ropa de cama, Ducha, Senderismo, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/127845968.jpg?k=ff8c0fa007c07ebf2b3629857b9719e8b093c61dae73a2604d47de3dc9c64e02&o=&hp=1,Cayambe,Ecuador
Glamping Nashira,https://www.booking.com/hotel/ec/glamping-nashira.es.html?aid=2410095,"Glamping Nashira se encuentra en Cayambe y ofrece alojamiento con wifi gratis y jardín.

Todas las unidades tienen baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 59 km del alojamiento.","Prohibido fumar en todo el alojamiento, Zona de comedor exterior, Barbacoa, Zona de comedor, Zona de estar, Papel higiénico, WiFi gratis, Inglés, Nevera, WC, Toallas, Jardín, Artículos de aseo gratis, Muebles de exterior, Español, Baño privado, Habitaciones sin humo, Vistas, Francés, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/579261621.jpg?k=d0b6c269736245c98fd07e57cddc126cb8e7ebd07c765448db87ce52b4091a9a&o=&hp=1,Cayambe,Ecuador
