hotel,hotel_url,description,popular_facilities,highres_url,city,country
El Nido Cerro Azul,https://www.booking.com/hotel/pa/el-nido-cerro-azul.es.html?aid=2410095,"El Nido Cerro Azul se encuentra en Cerro Azul, a 35 km de Estadio Rommel Fernández, y ofrece alojamiento con jardín, parking privado gratis, terraza y instalaciones para deportes acuáticos. La posada u hostería tiene wifi gratis y está a unos 45 km de Estadio Nacional Rod Carew y a 49 km de Parque Natural Metropolitano de Panamá. El alojamiento dispone de ocio nocturno y cocina compartida.

Algunas de las habitaciones también están equipadas con cocina con nevera, horno y microondas.

La posada u hostería ofrece barbacoa. La clientela puede practicar actividades en Cerro Azul y alrededores, como senderismo, pesca y piragüismo.

El personal habla inglés y español, y estará encantado de dar información sobre la zona en la recepción 24 horas.

Museo del Canal Interoceánico de Panamá está a 50 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de Tocumen) está a 23 km del alojamiento.","Noches de cine, Prohibido fumar en todo el alojamiento, WiFi gratis, Parking en la calle, Mobiliario exterior, Ciclismo, Baño al aire libre, Extintores, Barbacoa, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Barandillas protectoras para bebés, Parque acuático, Seguridad 24 horas, Recepción 24 horas, Tours a pie, Registro de entrada / salida privado, Habitaciones familiares, Pesca, Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Terraza / solárium, Español, Piragüismo, Registro de entrada y salida exprés, Inglés, Senderismo, Chimenea exterior, Habitaciones sin humo, Jardín, Llave de acceso, Tour o clase sobre cultura local, Entretenimiento nocturno, Información turística, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/402561327.jpg?k=8fb81bd73d5f37404e3baf79d13bfbc8ebdce84278e646ac2e686c993b9d0555&o=&hp=1,Cerro Azul,Panamá
Mandalas Ecolodge,https://www.booking.com/hotel/pa/mandalas-lodge-panama.es.html?aid=2410095,"El Mandalas Ecolodge está situado en Cerro Azul y alberga un jardín. El alojamiento tiene terraza y vistas al lago.

Lodge de 1 dormitorio con zona de cocina, zona de estar, TV de pantalla plana y reproductor de DVD.

El aeropuerto internacional de Tocumen es el más cercano y queda a 30 km.","WiFi gratis, Masaje de cabeza, Mobiliario exterior, Masaje de pies, Desayuno, Masaje de manos, Paquetes de spa / bienestar, Tours a pie, Masajes, Registro de entrada / salida privado, Habitaciones familiares, Masaje de espalda, Parking gratis, Terraza / solárium, Español, Inglés, Senderismo, Traslado aeropuerto, Masaje de cuello, Habitaciones sin humo, Bañera de hidromasaje / jacuzzi, Masaje corporal completo, Jardín, Almuerzos para llevar, Masaje en pareja, Terraza, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/410552181.jpg?k=f29ec890d6f8fca09aa3747f61a9ebf48cdc6cb8f5f6328a10c7f93996ae57e5&o=&hp=1,Cerro Azul,Panamá
Cabañas Lago Cerro Azul - Lake of Panama,https://www.booking.com/hotel/pa/cabanas-cerro-azul-panama-panama1.es.html?aid=2410095,"Cabañas Lago Cerro Azul - Lake of Panama está en Cerro Azul y dispone de wifi gratis, piscina al aire libre, jardín y terraza.

Algunos alojamientos incluyen un balcón con vistas a la montaña, cocina totalmente equipada y baño compartido con ducha.

Estadio Rommel Fernández está a 26 km del alojamiento, y Estadio Nacional Rod Carew está a 36 km. El aeropuerto (Aeropuerto internacional de Tocumen) está a 14 km.","Baño privado, Prohibido fumar en todo el alojamiento, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Wifi básica gratis (11 Mbps), Zona poco profunda, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Piscina al aire libre, Sauna, Abierta todo el año, Recepción 24 horas, Registro de entrada / salida privado, Parking gratis, Terraza / solárium, Español, Inglés, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Jardín, Ruso, Toallas, Para todas las edades, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/446876362.jpg?k=7bd7b43fcaaa15801e60ed7272e04218a0d36d1e654e9f02a6ab2aa37d5bb067&o=&hp=1,Cerro Azul,Panamá
"Tu casa de campo, Menus de la Montaña, te espera",https://www.booking.com/hotel/pa/tu-casa-de-campo-menus-de-la-montana-te-espera.es.html?aid=2410095,"Tu casa de campo, Menus de la Montaña, te espera, que cuenta con vistas a la piscina, ofrece alojamiento con balcón a unos 34 km de Estadio Rommel Fernández. Esta casa o chalet tiene piscina privada, jardín y parking privado gratis.

La casa o chalet cuenta con terraza y vistas a la montaña, y dispone de 3 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 3 baños con ducha.

Hay piscina al aire libre en el propio alojamiento, y cerca se puede practicar senderismo.

Estadio Nacional Rod Carew está a 43 km del alojamiento, y Parque Natural Metropolitano de Panamá está a 48 km. El aeropuerto más cercano (Aeropuerto internacional de Tocumen) está a 22 km.","Vistas a la piscina, Baño privado, Habitaciones comunicadas disponibles, Prohibido fumar en todo el alojamiento, Cocina, Cama plegable, Vistas, Tendedero, Vistas a un patio interior, Balcón, Mobiliario exterior, Utensilios de cocina, Canales por cable, Productos de limpieza, Baño al aire libre, Vistas a la montaña, Zona de estar, Piscina privada, Parking en un garaje, Zona de comedor exterior, Barbacoa, Horno, Zona poco profunda, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Reproductor de DVD, Enchufe cerca de la cama, Ventilador, Vistas al jardín, Piscina al aire libre, Artículos de aseo gratis, Perchero, Abierta todo el año, Baños públicos, Fogones, Tetera / cafetera, Patio, Alquiler de coches, Seguridad 24 horas, Habitaciones familiares, Vestidor, Ducha, Sofá, Entrada privada, Parking gratis, Terraza / solárium, Terraza, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Mesa de comedor, Plancha para pantalones, Sofá cama, Senderismo, Bañera o ducha, Habitaciones sin humo, Armario, Zona de pícnic, Jardín, Vídeo, Piscina infinita, Nevera, Zona de comedor, Para todas las edades, WC, Mosquitera, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/357316938.jpg?k=d153a57bb408e193d1c448758886062dbe3217605049dafde41da0eb4d72d6fe&o=&hp=1,Cerro Azul,Panamá
La Semilla Ecolodge,https://www.booking.com/hotel/pa/la-semilla-ecolodge.es.html?aid=2410095,"La Semilla Ecolodge está situado en Cerro Azul y cuenta con parque infantil y solárium. Además, hay WiFi y aparcamiento privado, ambos gratuitos.

Las habitaciones están equipadas con TV de pantalla plana vía satélite. Algunas de ellas incluyen zona de estar. Todas las habitaciones constan de baño privado con artículos de aseo gratuitos y secador de pelo. Las habitaciones superiores cuentan con bañera de hidromasaje.

El establecimiento alberga una recepción abierta las 24 horas.

Además, este bed and breakfast dispone de mesa de billar. La Semilla Ecolodge se halla a 40 minutos de Ciudad de Panamá y a 20 minutos del aeropuerto internacional de Tocumen.","Baño privado, Zona TV / salón de uso compartido, Zona de fumadores, Menú para niños, Vistas a la montaña, Sala de juegos, Servicio de despertador, Abierta todo el año, Registro de entrada / salida privado, Hipoalergénico, Entrada privada, Plancha para ropa, TV, Zona de juegos para niños, Inglés, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Guardaequipaje, Para todas las edades, Restaurante, Servicio de aparcacoches, Fruta, Fax / fotocopiadora, Zona de estar, Vistas al jardín, Caja fuerte para ordenador portátil, Secador de pelo, Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Sofá, Parking gratis, Terraza / solárium, Español, Servicio de lavandería, Senderismo, Utensilios de planchado, Servicio de limpieza diario, Jardín, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), Campo de golf (a menos de 3 km), Cama plegable, WiFi gratis, Vistas, Mobiliario exterior, Escritorio, Piscina con vistas, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Ventilador, Piscina al aire libre, Bar, Recepción 24 horas, Patio, Juguetes para la piscina, Habitaciones familiares, Radio, Toallas de playa/piscina, Baño de vapor, Suelo de baldosa / mármol, Caja fuerte, Piragüismo, Boles para mascotas, Billar, Bañera o ducha, Papel higiénico, Bañera de hidromasaje / jacuzzi, Servicio de conserjería, Toallas, Desayuno en la habitación, Mosquitera, Acceso a pisos superiores solo mediante escaleras, Bañera de hidromasaje, Tumbonas/sillas de playa, Parking en la calle, Canales vía satélite, Equitación, Artículos de aseo gratis, Hammam, Sofá cama, Chimenea exterior, Armario, Vídeo, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/466377780.jpg?k=6a2d886f823ff301effc9d657aed6dd12641f8f6b8866e1796bda4249fb865f8&o=&hp=1,Cerro Azul,Panamá
Hacienda Mi Montañita,https://www.booking.com/hotel/pa/hacienda-mi-montanita.es.html?aid=2410095,"Hacienda Mi Montañita tiene vistas a la montaña y está en Cerro Azul. Cuenta con restaurante, salón de uso común, bar, jardín, piscina al aire libre abierta todo el año y terraza. En la casa o chalet, tanto el wifi como el parking privado son gratis.

El alojamiento dispone de cocina totalmente equipada con nevera y cafetera, TV de pantalla plana y baño privado con ducha. Las unidades cuentan con balcón con vistas al jardín.

En Hacienda Mi Montañita se puede disfrutar de un desayuno a la carta.

El alojamiento ofrece zona de juegos infantil.

En Hacienda Mi Montañita, la clientela puede jugar al billar en el propio alojamiento o practicar senderismo en los alrededores.

Estadio Rommel Fernández está a 37 km del alojamiento, y Estadio Nacional Rod Carew está a 46 km. El aeropuerto (Aeropuerto internacional de Tocumen) está a 25 km.","Minigolf, Restaurante, Baño privado, Zona TV / salón de uso compartido, Noches de cine, Cocina, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Utensilios de cocina, Canales por cable, Supermercado pequeño en el alojamiento, Vistas a la montaña, Piscina privada, Proporciona factura, Extintores, Zona de comedor exterior, Sala de juegos, Barbacoa, Vistas al jardín, Piscina con vistas, Bingo, Desayuno, Enchufe cerca de la cama, Ventilador, Cafetera, Piscina al aire libre, Juegos de mesa / puzles, Karaoke, Perchero, Abierta todo el año, Tetera / cafetera, Bar, Tours a pie, Muebles de exterior, Habitaciones familiares, Ducha, Parking gratis, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Zona de juegos para niños, Billar, Senderismo, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Papel higiénico, Bañera de hidromasaje / jacuzzi, Armario, Nevera, Jardín, Zona de cocina, Microondas, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Ropa de cama, Vistas a un lugar de interés, Zona de comedor, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/339523014.jpg?k=61da1e0491bbee559bf3b7fcfad393e5764dcff0cc291d896fa99364dfae63c9&o=&hp=1,Cerro Azul,Panamá
Casa Grande Retiro para grupos,https://www.booking.com/hotel/pa/los-altos-de-cerro-azul.es.html?aid=2410095,"Casa Grande Retiro para grupos, que cuenta con jardín, salón de uso común y terraza, ofrece alojamiento en Cerro Azul con wifi gratis y vistas a la ciudad. El chalet de montaña, que tiene balcón, está en una zona en la que se pueden practicar actividades como senderismo y pesca.

Este chalet de montaña se compone de 5 dormitorios independientes, una sala de estar, una cocina totalmente equipada con nevera y fogones, y 2 baños.

El chalet de montaña dispone de barbacoa.

Estadio Rommel Fernández está a 32 km del alojamiento, y Estadio Nacional Rod Carew está a 42 km. El aeropuerto más cercano (Aeropuerto internacional de Tocumen) está a 19 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Noches de cine, Habitaciones comunicadas disponibles, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Vistas, Vistas a la ciudad, Mobiliario exterior, Utensilios de cocina, Zona de fumadores, Baño compartido, Afrikáans, Servicio de traslado, Supermercado pequeño en el alojamiento, Vistas a la montaña, Zona de estar, Extintores, Zona de comedor exterior, Barbacoa, Vistas al jardín, Desayuno, Enchufe cerca de la cama, Snack-bar, Pista de tenis, Perchero, Seguridad 24 horas, Fogones, Patio, Tours a pie, Habitaciones familiares, Pesca, Centro de negocios, Sofá, Terraza / solárium, Español, Mesa de comedor, Registro de entrada y salida exprés, Vistas al mar, Servicio de lavandería, Inglés, Senderismo, Traslado aeropuerto, Chimenea exterior, Hervidor eléctrico, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Jardín, Almuerzos para llevar, Tostadora, Información turística, Nevera, Zona de comedor, Balcón, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/56798398.jpg?k=4aa74a89cc57eb6b946d522a71c1515fe5fb09fc72b8aa8d20078c429a254db3&o=&hp=1,Cerro Azul,Panamá
La Perezosa en Cerro Azul - Somos Pet friendly,https://www.booking.com/hotel/pa/la-perezosa.es.html?aid=2410095,"La Perezosa en Cerro Azul - Somos Pet friendly, que cuenta con jardín, terraza y bar, ofrece alojamiento en Cerro Azul con wifi gratis y vistas a la montaña. Esta casa o chalet dispone de parking privado gratis y servicio de habitaciones.

Esta casa o chalet tiene 4 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 5 baños con bidet. Hay toallas y ropa de cama en la casa o chalet.

En la casa o chalet se puede disfrutar de un desayuno continental.

Estadio Rommel Fernández está a 29 km del alojamiento, y Estadio Nacional Rod Carew está a 36 km. El aeropuerto más cercano (Aeropuerto internacional de Tocumen) está a 14 km.","Servicio de planchado, Cocina, WiFi gratis, Vistas, Vistas a un patio interior, Balcón, Cámaras de seguridad fuera del alojamiento, Productos de limpieza, Vistas a la montaña, Escritorio, Lavadora, Toallas / sábanas (por un suplemento), Zona de estar, Servicio de limpieza en seco, Zona de comedor exterior, Barbacoa, Horno, Vistas al jardín, Desayuno, Aseo adicional, Juegos de mesa / puzles, Cafetera, Fogones, Bar, Patio, Aire acondicionado, Muebles de exterior, Habitaciones familiares, Ducha, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Inglés, Secadora de ropa, Servicio de lavandería, Bañera o ducha, Vistas al lago, Chimenea, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Armario, Canales de pago, Toda la unidad en la planta baja, Zona de cocina, Microondas, Ropa de cama, Jardín, Suelo de madera o parquet, Toallas, Minibar, Guardaequipaje, Nevera, Zona de comedor, WC, Terraza, TV de pantalla plana, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528567333.jpg?k=5b84aaa92e72cc3572f08c9d9b33980cca694d55ad0c63640ae4e84a56a7d3c9&o=&hp=1,Cerro Azul,Panamá
Mount Forestville,https://www.booking.com/hotel/pa/mount-forestville.es.html?aid=2410095,"Mount Forestville se encuentra en Los Altos de Cerro Azul, a 35 km de Estadio Rommel Fernández y a 42 km de Estadio Nacional Rod Carew, en una zona donde se puede practicar senderismo. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

El chalet de montaña de 3 dormitorios cuenta con sala de estar con TV de pantalla plana, cocina totalmente equipada con nevera y microondas, y 3 baños con ducha. Hay toallas y ropa de cama en el chalet de montaña.

Ancon Hill está a 49 km del alojamiento, y Museo del Canal Interoceánico de Panamá está a 47 km. El aeropuerto más cercano (Aeropuerto internacional de Tocumen) está a 21 km del alojamiento.","Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Balcón, Cámaras de seguridad fuera del alojamiento, Utensilios de cocina, Productos de limpieza, Toallas / sábanas (por un suplemento), Lavadora, Zona de estar, Proporciona factura, Barbacoa, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Perchero, Tetera / cafetera, Seguridad 24 horas, Fogones, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Parking gratis, Español, Suelo de baldosa / mármol, Detectores de humo, Mesa de comedor, Inglés, Secadora de ropa, Senderismo, Papel higiénico, Armario, Zona de pícnic, Nevera, Microondas, Toallas, Ropa de cama, Zona de comedor, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577337589.jpg?k=e0fa9a752a288d69fa5681323cc4db273c8ad6e819fd256ae1ffac3327280135&o=&hp=1,Cerro Azul,Panamá
Chelox Panama Airport,https://www.booking.com/hotel/pa/apartamento-cerca-del-aeropuerto.es.html?aid=2410095,"Chelox Panama Airport se encuentra en Cabuya, a 25 km de Estadio Nacional Rod Carew, y ofrece alojamiento con terraza, wifi gratis, servicio de conserjería y mostrador de información turística. El alojamiento, que está a 16 km de Estadio Rommel Fernández, dispone de jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Puente de Las Americas está a 34 km del alojamiento, y Ancon Hill está a 34 km. El aeropuerto (Aeropuerto internacional de Tocumen) está a 3 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Accesible para personas sordas, Tendedero, Vistas a un patio interior, Mobiliario exterior, Utensilios de cocina, Zona de fumadores, Productos de limpieza, Servicio de traslado, Masaje de pies, Lavadora, Servicio de limpieza en seco, Proporciona factura, Tarjetas de transporte público, Horno, Vistas al jardín, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Artículos de aseo gratis, Perchero, Masaje de manos, Tetera / cafetera, Seguridad 24 horas, Patio, Masajes, Aire acondicionado, Registro de entrada / salida privado, Ducha, Entrada privada, Plancha para ropa, Parking gratis, Terraza / solárium, Masaje de espalda, Español, Adaptado personas de movilidad reducida, TV, Suelo de baldosa / mármol, Habitaciones hipoalergénicas, Mesa de comedor, Apartamento privado en edificio, Secadora de ropa, Plancha para pantalones, Servicio de lavandería, Inglés, Traslado aeropuerto, Masaje de cuello, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Bañera, Masaje corporal completo, Servicio de limpieza diario, Armario, Toda la unidad en la planta baja, Zona de cocina, Microondas, Ropa de cama, Jardín, Servicio de conserjería, Llave de acceso, Tostadora, Camas extralargas (más de 2 metros), Toallas, Minibar, Guardaequipaje, Nevera, Información turística, Zona de comedor, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/497464287.jpg?k=0136db8dd8350c9630f411baaf4b7d5291a87751a054712042cd658b10528787&o=&hp=1,Cerro Azul,Panamá
