hotel,hotel_url,description,popular_facilities,highres_url,city,country
Playa Caracol Residences,https://www.booking.com/hotel/pa/playa-caracol-residences-amp-beach-club.es.html?aid=2410095,"Playa Caracol Residences se encuentra en Chame, a pocos pasos de Playa Caracol, y ofrece alojamiento con piscina al aire libre, parking privado gratis y jardín. Este alojamiento, que cuenta con habitaciones familiares, también ofrece zona de juegos infantil. El alojamiento dispone de servicio de conserjería y wifi gratis.

Todas las unidades incluyen aire acondicionado, nevera, lavavajillas, cafetera, ducha, artículos de aseo gratuitos y armario. En el hotel, todas las habitaciones tienen balcón, baño privado y TV de pantalla plana.

El desayuno está disponible todas las mañanas e incluye opciones a la carta, continentales o americanas.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 85 km.","Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Tumbonas/sillas de playa, Tendedero, WC, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Lavavajillas, Lavadora, Zona de estar, Proporciona factura, Zona de comedor exterior, Horno, Desayuno, Ventilador, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Estación de carga de vehículos eléctricos, Perchero, Tetera / cafetera, Seguridad 24 horas, Fogones, Playa, Aire acondicionado, Ascensor, Abierta todo el año, Habitaciones familiares, Ducha, Sofá, Plancha para ropa, Parking gratis, Español, Situado frente a la playa, TV, Mesa de comedor, Zona de juegos para niños, Inglés, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Sombrillas, Armario, Nevera, Jardín, Servicio de conserjería, Microondas, Llave de acceso, Tostadora, Toallas, Guardaequipaje, Piscina infantil, Ropa de cama, Zona de comedor, Para todas las edades, Balcón, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/209144443.jpg?k=99a5856867e50664db04a2e353a781b6245286c6f0040aeb1d709c49a1910fc2&o=&hp=1,Chame,Panamá
Cacao Luxury Suite in Coronado,https://www.booking.com/hotel/pa/cacao-luxury-suite-in-coronado.es.html?aid=2410095,"Cacao Luxury Suite in Coronado se encuentra en Chame, a 11 min a pie de Playa de Coronado, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este alojamiento, que cuenta con club infantil, también cuenta con restaurante, parque acuático y terraza. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

Las habitaciones en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, cocina, zona de comedor, caja fuerte, y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En Cacao Luxury Suite in Coronado, cada habitación incluye ropa de cama y toallas.

El desayuno está disponible todos los días e incluye opciones a la carta, continentales o vegetarianas.

En el alojamiento, la clientela puede disfrutar de centro de spa. Se puede jugar al billar, al ping-pong y al tenis en este hotel de 5 estrellas, y la zona es ideal para practicar golf.

Hay una sauna, una peluquería y un centro de negocios en el propio alojamiento.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 83 km del alojamiento.","Minigolf, Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Detector de monóxido de carbono, Zona TV / salón de uso compartido, Insonorización, Menú para niños, Proporciona factura, Sala de juegos, Horno, Cafetera, Parque acuático, Sauna, Pista de tenis, Abierta todo el año, Playa, Entrada privada, Instalaciones para deportes acuáticos en el alojamiento, Plancha para ropa, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Inglés, Hervidor eléctrico, Vino / champán, Bañera, Servicio de habitaciones, Habitaciones sin humo, Instalaciones de spa, Almuerzos para llevar, Para todas las edades, Club infantil, Restaurante, Equipamiento de juegos para exterior, Cenas temáticas, Prohibido fumar en todo el alojamiento, Horario de apertura, Taquillas en el gimnasio / spa, Spa y centro de bienestar, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fax / fotocopiadora, Acceso al salón executive, Zona de estar, Vistas al jardín, Secador de pelo, Fogones, Aire acondicionado, Entrenador personal, Masajes, Ducha, Sofá, Parking gratis, Español, Buffet para niños, Mesa de comedor, Plancha para pantalones, Servicio de lavandería, Traslado aeropuerto, Utensilios de planchado, Ping pong, Servicio de limpieza diario, Jardín, Clases de yoga, Habitaciones insonorizadas, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Vistas a la piscina, Campo de golf (a menos de 3 km), Cocina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Canales por cable, Zona de juegos interior, Servicio de limpieza en seco, Extintores, Zona poco profunda, Clases de fitness, Karaoke, Desayuno, Enchufe cerca de la cama, Equipamiento de tenis, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Patio, Capilla, Paquetes de spa / bienestar, Zona de spa / relajación, Baños públicos, Habitaciones familiares, Toallas de playa/piscina, Baño de vapor, Suelo de baldosa / mármol, Caja fuerte, Secadora de ropa, Billar, Bañera o ducha, Sombrillas, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Servicio de conserjería, Llave de acceso, Tostadora, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Silla de masajes, Vistas a un patio interior, Canales vía satélite, Servicio de traslado, Artículos de aseo gratis, Snack-bar, Centro de negocios, Habitaciones hipoalergénicas, Sofá cama, Servicios de belleza, Armario, Bar en la piscina, Microondas, Zona de comedor, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/442754004.jpg?k=94f581d92a7f3e6bebcc296cb8b5816177852329ce4943e67cfd3f089243b0e5&o=&hp=1,Chame,Panamá
The Blue House Panama,https://www.booking.com/hotel/pa/the-blue-house-panama.es.html?aid=2410095,"The Blue House Panama está en Chame y cuenta con vistas a la montaña, piscina al aire libre, jardín y terraza. En la casa rural, tanto el wifi como el parking privado son gratis.

The Blue House Panama ofrece servicio de alquiler de bicicletas, y en los alrededores se puede practicar ciclismo.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 84 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Noches de cine, Baños termales, Vistas, Wifi rápida gratis (113 Mbps), Masaje de cabeza, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Zona de fumadores, Ciclismo, Servicio de traslado, Baño al aire libre, Vistas a la montaña, Masaje de pies, Piscina privada, Extintores, Parking en un garaje, Zona poco profunda, Piscina al aire libre, Snorkel, Abierta todo el año, Masaje de manos, Baños públicos, Aire acondicionado, Tours a pie, Masajes, Habitaciones familiares, Ducha, Pesca, Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Terraza / solárium, Masaje de espalda, Español, Alquiler de bicicletas, Inglés, Ruta de bares, Bañera o ducha, Traslado aeropuerto, Senderismo, Cámaras de seguridad en las zonas comunitarias, Masaje de cuello, Habitaciones sin humo, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Jardín, Toda la unidad en la planta baja, Clases de yoga, Tour o clase sobre cultura local, Tours en bici, Masaje en pareja, Información turística, Para todas las edades, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/526456068.jpg?k=7165d98b6ebde72bae3494c9611a1cb2686a7c4f005311f6509d3c432208e300&o=&hp=1,Chame,Panamá
"Playa Caracol, beach happy",https://www.booking.com/hotel/pa/playa-caracol-beach-happy.es.html?aid=2410095,"Playa Caracol, beach happy está en Chame, a solo pocos pasos de Playa Caracol, y dispone de alojamiento frente a la playa con piscina al aire libre, jardín, terraza y wifi gratis. Este alojamiento ofrece piscina privada y parking privado gratis.

El apartamento de 2 dormitorios dispone de sala de estar con TV de pantalla plana con canales por cable, cocina totalmente equipada con nevera y lavavajillas, y 2 baños con secador de pelo. Hay toallas y ropa de cama en el apartamento.

Hay zona de playa privada en el propio alojamiento.

El aeropuerto (Aeropuerto internacional de Panamá Pacífico) está a 85 km.","Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Tumbonas/sillas de playa, Mobiliario exterior, Canales por cable, Lavavajillas, Lavadora, Piscina privada, Extintores, Horno, Zona poco profunda, Juegos de mesa / puzles, Piscina al aire libre, Abierta todo el año, Secador de pelo, Baños públicos, Fogones, Bar, Tetera / cafetera, Playa, Aire acondicionado, Ascensor, Seguridad 24 horas, Parking gratis, Español, Situado frente a la playa, Detectores de humo, Zona privada de playa, Inglés, Secadora de ropa, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Sombrillas, Jardín, Alarma de seguridad, Microondas, Ropa de cama, Toallas, Nevera, Para todas las edades, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/422777956.jpg?k=d56a93d6fc8551cd6bcae9fba22798a331294578120f5e01269b393b25251a1c&o=&hp=1,Chame,Panamá
Aurora Luxury Suite con acceso a la playa,https://www.booking.com/hotel/pa/comoda-suite-con-acceso-a-playa.es.html?aid=2410095,"Aurora Luxury Suite con acceso a la playa, que cuenta con piscina al aire libre, jardín y terraza, ofrece alojamiento en Chame con wifi gratis y vistas a la piscina. Este apartamento dispone de parking privado gratis y servicio de habitaciones.

Este apartamento con aire acondicionado consta de 1 dormitorio independiente, 1 baño con artículos de aseo gratuitos y secador de pelo, y una sala de estar. Hay toallas y ropa de cama en el apartamento.

El desayuno está disponible todas las mañanas e incluye opciones buffet, a la carta o continentales.

Hay zona de playa privada en el propio alojamiento.

Playa de Coronado está a 10 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 83 km.","Vistas a la piscina, Restaurante, Baño privado, Cenas temáticas, Noches de cine, Prohibido fumar en todo el alojamiento, Detector de monóxido de carbono, WiFi gratis, Tumbonas/sillas de playa, Vistas, Horario de apertura, Canales por cable, Barandillas de seguridad para bebés, Fruta, Menú para niños, Escritorio, Zona de estar, Piscina privada, Proporciona factura, Zona poco profunda, Vistas al jardín, Desayuno, Caja fuerte para ordenador portátil, Enchufe cerca de la cama, Servicio de despertador, Piscina al aire libre, Artículos de aseo gratis, Sauna, Equipamiento de tenis, Pista de tenis, Teléfono, Perchero, Secador de pelo, Abierta todo el año, Bar, Zona de spa / relajación, Patio, Playa, Aire acondicionado, Habitaciones familiares, Ducha, Sofá, Toallas de playa/piscina, Parking gratis, Español, TV, Gimnasio, Buffet para niños, Caja fuerte, Zona privada de playa, Mesa de comedor, Apartamento privado en edificio, Inglés, Sofá cama, Ruta de bares, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Sombrillas, Instalaciones de spa, Vino / champán, Armario, Bar en la piscina, Música / espectáculos en directo, Nevera, Jardín, Camas extralargas (más de 2 metros), Happy hour, Cafetería en el alojamiento, Toallas, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/456095639.jpg?k=12ada3d8d8827e6fd4aa729c0e418f6b64b91cb6c672f0ad0a7b866825f269fe&o=&hp=1,Chame,Panamá
Suite Privada en Coronado Luxury Club & Suites,https://www.booking.com/hotel/pa/suite-privada-en-coronado-luxury-club-amp-suites.es.html?aid=2410095,"Suite Privada en Coronado Luxury Club & Suites tiene vistas a la piscina y está en Chame. Cuenta con restaurante, club infantil, bar, jardín, piscina al aire libre abierta todo el año y terraza. El apartahotel ofrece wifi y parking privado, ambos gratis.

Suite Privada en Coronado Luxury Club & Suites ofrece balcón, zona de estar, TV de pantalla plana por cable, cocina totalmente equipada con nevera y horno, y baño privado con ducha y secador de pelo. También hay microondas, fogones y tostadora, además de cafetera.

El alojamiento ofrece centro de fitness.

Se puede practicar golf en la zona, y Suite Privada en Coronado Luxury Club & Suites ofrece zona de playa privada.

Playa de Coronado está a 12 min a pie del alojamiento. El aeropuerto (Aeropuerto internacional Scarlett Martínez) está a 38 km.","Baño privado, Menú para niños, Lavadora, Sala de juegos, Horno, Cafetera, Abierta todo el año, Playa, TV, Gimnasio, Inglés, Habitaciones sin humo, Vino / champán, Instalaciones de spa, Nevera, Para todas las edades, Balcón, Club infantil, Restaurante, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Zona de estar, Secador de pelo, Fogones, Aire acondicionado, Ducha, Sofá, Parking gratis, Español, Zona privada de playa, Mesa de comedor, Servicio de lavandería, Jardín, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), Vistas a la piscina, Campo de golf (a menos de 3 km), Cocina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Canales por cable, Zona poco profunda, Piscina con vistas, Enchufe cerca de la cama, Seguridad 24 horas, Baños públicos, Bar, Zona de spa / relajación, Patio, Paquetes de spa / bienestar, Recepción 24 horas, Habitaciones familiares, Toallas de playa/piscina, Situado frente a la playa, 3 restaurantes, Suelo de baldosa / mármol, Caja fuerte, Apartamento privado en edificio, Secadora de ropa, Sombrillas, Zona de cocina, Tostadora, Toallas, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Vistas a un patio interior, Piscina climatizada, Sofá cama, 3 piscinas, Armario, Bar en la piscina, Microondas, Zona de comedor, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583125407.jpg?k=426211f4fa94fce2a99646b6e049eb44f470b475f32c6e8da1d920ddaa56c804&o=&hp=1,Chame,Panamá
Tu Apartamento en Coronado,https://www.booking.com/hotel/pa/apartamento-en-coronado-chame.es.html?aid=2410095,"Tu Apartamento en Coronado se encuentra en Chame y ofrece piscina privada. Este apartamento con vistas a la montaña y a la piscina también tiene wifi gratis.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana por cable, zona de comedor, cocina con nevera y sala de estar. Hay toallas y ropa de cama en el apartamento.

Hay zona de playa privada en el propio alojamiento.

Playa de Coronado está a 3 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 83 km.","Vistas a la piscina, Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Vistas, Utensilios de cocina, Canales por cable, Productos de limpieza, Vistas a la montaña, Toallas / sábanas (por un suplemento), Piscina privada, Zona de comedor exterior, Barbacoa, Enchufe cerca de la cama, Cafetera, Artículos de aseo gratis, Secador de pelo, Tetera / cafetera, Fogones, Playa, Aire acondicionado, Ascensor, Muebles de exterior, Ducha, Sofá, Plancha para ropa, Parking gratis, Español, Piscina, TV, Zona privada de playa, Mesa de comedor, Apartamento privado en edificio, Inglés, Sofá cama, Bañera o ducha, Hervidor eléctrico, Habitaciones sin humo, Papel higiénico, Armario, Canales de pago, Nevera, Microondas, Toallas, Ropa de cama, Vistas a un lugar de interés, Zona de comedor, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573372790.jpg?k=25fe6c540a9aae25998b56a28a25df49eb3c324709666119e8fa76924023091e&o=&hp=1,Chame,Panamá
Playa Caracol Chame,https://www.booking.com/hotel/pa/playa-caracol-chame.es.html?aid=2410095,"Playa Caracol Chame está en Chame y cuenta con vistas al mar, piscina al aire libre, jardín, terraza, restaurante y instalaciones para deportes acuáticos. El apartahotel ofrece wifi y parking privado, ambos gratis.

Playa Caracol Chame ofrece balcón, vistas a la montaña, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y horno, y baño privado con ducha y secador de pelo. También se ofrece microondas, fogones y tostadora, además de cafetera.

El alojamiento dispone de zona de juegos infantil y zona de playa privada, además de barbacoa.

Playa Caracol está a pocos pasos del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 85 km.","Baño privado, Insonorización, Vistas a la montaña, Lavadora, Piscina privada, Zona de comedor exterior, Horno, Cafetera, Abierta todo el año, Playa, Entrada privada, Plancha para ropa, Instalaciones para deportes acuáticos en el alojamiento, TV, Detectores de humo, Zona de juegos para niños, Inglés, Habitaciones sin humo, Nevera, Acceso a pisos superiores en ascensor, Balcón, Restaurante, Prohibido fumar en todo el alojamiento, Zona de estar, Secador de pelo, Fogones, Aire acondicionado, Ducha, Sofá, Parking gratis, Español, Adaptado personas de movilidad reducida, Zona privada de playa, Mesa de comedor, Jardín, Ropa de cama, Terraza, TV de pantalla plana, Vistas a la piscina, Cocina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Canales por cable, Baño adicional, Zona poco profunda, Piscina con vistas, Enchufe cerca de la cama, Aseo adicional, Ventilador, Piscina al aire libre, Teléfono, Seguridad 24 horas, Habitaciones familiares, Toallas de playa/piscina, Situado frente a la playa, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Albornoz, Apartamento privado en edificio, Caja fuerte, Secadora de ropa, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Papel higiénico, Tostadora, Toallas, Tumbonas/sillas de playa, Canales vía satélite, Barbacoa, Ascensor, Vistas al mar, Sofá cama, Armario, Microondas, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/451750691.jpg?k=38902198ba44c945c46a380a4ebd0980c1dd4ea3cbbf25057c45d4c3abb3afa9&o=&hp=1,Chame,Panamá
La casa de la montaña,https://www.booking.com/hotel/pa/la-casa-de-la-montana-chame.es.html?aid=2410095,"La casa de la montaña está en Chame, en la región de Panama Oeste, y tiene balcón. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Esta casa o chalet tiene acceso a una terraza y cuenta con 1 dormitorio independiente y cocina totalmente equipada. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto internacional Scarlett Martínez) está a 62 km.","Prohibido fumar en todo el alojamiento, Cocina, TV de pantalla plana, Parking gratis, WiFi gratis, Piscina, Zona de cocina, Español, Inglés, Minibar, Balcón, Terraza, Lavadora, Piscina privada",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574103707.jpg?k=425e47867be24a39e11b2fc689fbc902d338f977c77e29bc7ee22bbea6fbf276&o=&hp=1,Chame,Panamá
Punta Chame Club and Resort,https://www.booking.com/hotel/pa/punta-chame.es.html?aid=2410095,"Punta Chame Club and Resort se encuentra en Chame y ofrece centro de fitness, salón de uso común y bar. Este apartamento dispone de piscina privada, jardín, zona de barbacoa, wifi gratis y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y bañera de hidromasaje. Hay toallas y ropa de cama en el apartamento.

Hay piscina al aire libre y terraza en este alojamiento, y en la zona se puede practicar senderismo.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 71 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Insonorización, Servicio de entrega de comestibles, Detector de monóxido de carbono, Zona de fumadores, Vistas a la montaña, Lavadora, Piscina privada, Proporciona factura, Zona de comedor exterior, Sala de juegos, Horno, Cafetera, Abierta todo el año, Playa, Registro de entrada / salida privado, Entrada privada, Plancha para ropa, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Guardaequipaje, Nevera, Balcón, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Supermercado pequeño en el alojamiento, Fax / fotocopiadora, Zona de estar, Vistas al jardín, Fogones, Alquiler de coches, Aire acondicionado, Ducha, Sofá, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Mesa de comedor, Servicio de lavandería, Senderismo, Traslado aeropuerto, Utensilios de planchado, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), Vistas a la piscina, Campo de golf (a menos de 3 km), Cocina, Cama plegable, WiFi gratis, Vistas, Calefacción, Mobiliario exterior, Utensilios de cocina, Canales por cable, Productos de limpieza, Extintores, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Juegos de mesa / puzles, Karaoke, Piscina al aire libre, Tetera / cafetera, Seguridad 24 horas, Bar, Patio, Habitaciones familiares, Pesca, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Secadora de ropa, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Música / espectáculos en directo, Reloj despertador, Servicio de conserjería, Llave de acceso, Tostadora, Toallas, Adosado, Bañera de hidromasaje, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Equitación, Barbacoa, Artículos de aseo gratis, Perchero, Libros, DVD o música para niños, Centro de negocios, Habitaciones hipoalergénicas, Sofá cama, Armario, Toda la unidad en la planta baja, Microondas, Happy hour, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/290126148.jpg?k=a4da1e22f59971592fc02c9bc050812b2ebb4f6cb953afb36a8069ac6de4d0df&o=&hp=1,Chame,Panamá
