hotel,hotel_url,description,popular_facilities,highres_url,city,country
EMMANUEL GRAND HOTEL,https://www.booking.com/hotel/pe/emmanuel-grand-chepen1.es.html?aid=2410095,"EMMANUEL GRAND HOTEL se encuentra en Chepén y dispone de restaurante y bar. Este hotel de 4 estrellas ofrece piscina al aire libre y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

En el hotel, las habitaciones están equipadas con armario. En EMMANUEL GRAND HOTEL, todas las habitaciones cuentan con escritorio y TV de pantalla plana, y algunas también ofrecen patio.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 70 km del alojamiento.","Prohibido fumar en todo el alojamiento, Desayuno, Parking gratis, Sombrillas, Traslado aeropuerto, Bañera o ducha, Armario, Papel higiénico, Toda la unidad en la planta baja, Bar, WiFi gratis, TV, Para todas las edades, Canales por cable, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Toallas, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Piscina al aire libre, Habitaciones sin humo, Restaurante, Vistas, Recepción 24 horas, Escritorio, TV de pantalla plana, Traslado aeropuerto (gratis), Ducha, Desayuno en la habitación, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/509871553.jpg?k=ba151fa3f9698172de7002f2d168d3e6554ae5b377833a1a52ddc8a8d40f2b02&o=&hp=1,Chepén,Perú
Hotel Jose Ignacio Chepen,https://www.booking.com/hotel/pe/hostal-jose-ignacio-chepen.es.html?aid=2410095,"Hotel Jose Ignacio Chepen se encuentra en Chepén y dispone de restaurante. Este hotel de 3 estrellas ofrece servicio de habitaciones y servicio de conserjería. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, salón de uso común y wifi gratis en todo el alojamiento.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones incluyen baño privado.

El desayuno está disponible todas las mañanas e incluye opciones buffet, continentales o inglesas/irlandesas.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 70 km.","Parking en un garaje, Servicio de planchado, Plancha para pantalones, Muy buen desayuno, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Detectores de humo, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Menú para niños, Alarma de seguridad, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Cenas temáticas, Servicio de habitaciones, Zona de fumadores, Información turística, Almuerzos para llevar, Tours a pie, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Extintores, Restaurante, Zona TV / salón de uso compartido, Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/545099242.jpg?k=d5e0134a053836dcc4fb99614477974bcd3823c5becaf2d4ee7bd9eea3d2bf62&o=&hp=1,Chepén,Perú
HOSTAL HOGAR 3 Estrellas - CHEPÉN,https://www.booking.com/hotel/pe/hostal-hogar-3-estrellas.es.html?aid=2410095,"HOSTAL HOGAR 3 Estrellas - CHEPÉN ofrece alojamiento en Chepén. El alojamiento dispone de recepción 24 horas, servicio de traslado, servicio de habitaciones y wifi gratis.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable y caja fuerte. Cada habitación dispone de baño privado con ducha, algunas ofrecen terraza y otras también incluyen vistas a la ciudad. Todas las unidades tienen escritorio.

En el hostal o pensión se puede disfrutar de un desayuno americano.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 70 km.","Fruta, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Parking, Desayuno, Servicio de limpieza diario, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Vino / champán, Registro de entrada / salida privado, Información turística, Productos de limpieza, Tours a pie, Español, Baño privado, Parking en la calle, Habitaciones sin humo, Vistas, Vestidor, Extintores, Recepción 24 horas, Tendedero, Guardaequipaje, Escritorio, TV de pantalla plana, Entrada privada, Lavadora, Ducha, Ventilador, Desayuno en la habitación, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/378015522.jpg?k=d1ac231e1386bec675b37f9538fd63ee54e557a7596dbddc1b53ba34cfda673b&o=&hp=1,Chepén,Perú
Las Terrazas Hotel & Restaurante,https://www.booking.com/hotel/pe/las-terrazas-amp-restaurante.es.html?aid=2410095,"Las Terrazas Hotel & Restaurante dispone de jardín, terraza, restaurante y bar en Guadalupe. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El hotel tiene habitaciones familiares.

En el hotel, todas las habitaciones incluyen escritorio. En Las Terrazas Hotel & Restaurante, cada habitación está equipada con TV de pantalla plana, baño privado y un balcón con vistas a la piscina.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 78 km del alojamiento.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Piscina, Desayuno, Zona de comedor, Parking gratis, Traslado aeropuerto, Perchero, Terraza, Armario, Papel higiénico, Vistas a la piscina, Bar, WiFi gratis, Inglés, Tetera/cafetera en todas las habitaciones, Toallas / sábanas (por un suplemento), Servicio de habitaciones, Toallas, Jardín, Español, Baño privado, Balcón, Habitaciones sin humo, Vistas, Recepción 24 horas, Escritorio, TV de pantalla plana, Traslado aeropuerto (gratis), Tetera / cafetera, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/499616511.jpg?k=30f417139b616a0c9cd904ff3b22f3d0f074cbf5255561e77b56e53c6cfcabb0&o=&hp=1,Chepén,Perú
Monteverde Boutique Hotel,https://www.booking.com/hotel/pe/monteverde-boutique.es.html?aid=2410095,"Monteverde Boutique Hotel tiene piscina al aire libre, jardín, salón de uso común y terraza en Pacasmayo. El alojamiento ofrece restaurante y también tiene bar. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones disponen de escritorio. Las habitaciones del alojamiento tienen baño privado con ducha y secador de pelo, y también cuentan con vistas al jardín. En Monteverde Boutique Hotel, cada habitación cuenta con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno continental.

Monteverde Boutique Hotel ofrece zona de juegos infantil. Se puede jugar al ping-pong y al tenis en el hotel, y la zona es ideal para practicar windsurf y ciclismo.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 92 km.","Sala de juegos, Parking en un garaje, Prohibido fumar en todo el alojamiento, Vistas al jardín, Plancha para pantalones, Masajes, Parking gratis, Sombrillas, Tours en bici, Terraza, Bañera o ducha, Toda la unidad en la planta baja, Mobiliario exterior, Detectores de humo, WiFi gratis, Para todas las edades, Masaje de pies, Baños públicos, Cenas temáticas, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Cafetería en el alojamiento, Español, Equipamiento de juegos para exterior, Zona TV / salón de uso compartido, Enchufe cerca de la cama, Extintores, Cesta para mascotas, Ropa de cama, Ping pong, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Desayuno, Baño al aire libre, Traslado aeropuerto, Buffet para niños, Pista de tenis, Tour o clase sobre cultura local, Armario, Masaje de cabeza, Equipamiento de tenis, Hervidor eléctrico, Alarma de seguridad, Vino / champán, Masaje de espalda, Habitaciones sin humo, Vistas, Windsurf, Ventilador, Parking adaptado para personas de movilidad reducida, Barbacoa, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Habitaciones hipoalergénicas, Papel higiénico, Servicio de lavandería, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Menú para niños, Masaje corporal completo, Libros, DVD o música para niños, Secador de pelo, Juegos de mesa / puzles, Productos de limpieza, Tours a pie, Abierta todo el año, Clases de cocina, Baño privado, Piscina al aire libre, Escritorio, Tetera / cafetera, Ducha, Ciclismo, Zona de juegos interior, Clases de yoga, Menús para dietas especiales (bajo petición), Llave de acceso, Boles para mascotas, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Inglés, Tetera/cafetera en todas las habitaciones, Toallas / sábanas (por un suplemento), Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Zona de juegos para niños, Zona de pícnic, Recepción 24 horas, Masaje en pareja, Masaje de cuello, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/175877604.jpg?k=3a781e25c4b03409b983f3953e3507ade1b5c62c658c10547e377eace1cf0016&o=&hp=1,Chepén,Perú
La Arteza Pacasmayo,https://www.booking.com/hotel/pe/la-arteza-pacasmayo.es.html?aid=2410095,"La Arteza Pacasmayo dispone de bicicletas gratis, jardín, salón de uso común y terraza en Pacasmayo. Este alojamiento, que cuenta con habitaciones familiares, también ofrece zona de juegos infantil. Hostal o pensión ofrece parking privado gratis y wifi gratis.

En el hostal o pensión, todas las habitaciones tienen armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

La clientela puede practicar actividades en Pacasmayo y alrededores, como pesca y ciclismo.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 94 km.","Playa, Sala de juegos, Prohibido fumar en todo el alojamiento, Zona de juegos interior, Parking gratis, Terraza, Armario, Papel higiénico, Alquiler de bicicletas, WiFi gratis, TV, Toallas / sábanas (por un suplemento), Equitación, Pesca, Toallas, Jardín, Artículos de aseo gratis, Juegos de mesa / puzles, Español, Baño privado, Equipamiento de juegos para exterior, Habitaciones sin humo, Vistas, Windsurf, Zona TV / salón de uso compartido, Zona de juegos para niños, Zona de pícnic, TV de pantalla plana, Ropa de cama, Ducha, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564587648.jpg?k=1642dce76450a54faa35de665aa8ab4d55fcbf3c8839674be5eea85883d24940&o=&hp=1,Chepén,Perú
Hostal Pacasmayo Beach,https://www.booking.com/hotel/pe/hostal-pacasmayo-beach.es.html?aid=2410095,"Hostal Pacasmayo Beach está en Pacasmayo y ofrece wifi gratis en todo el alojamiento. El alojamiento dispone de recepción 24 horas, mostrador de información turística y cambio de moneda.

En el hostal o pensión, las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones cuentan con nevera.

En Hostal Pacasmayo Beach se puede disfrutar de un desayuno a la carta.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 94 km.","Zona de comedor exterior, Desayuno, Zona de comedor, Cambio de moneda, Servicio de limpieza diario, Perchero, Armario, Papel higiénico, Servicio de lavandería, Utensilios de cocina, WiFi gratis, TV, Toallas / sábanas (por un suplemento), Nevera, WC, Proporciona factura, Toallas, Registro de entrada / salida privado, Información turística, Español, Baño privado, Habitaciones sin humo, Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/510840166.jpg?k=5947dacdaee4ff0052d4b384349c66e028e7fac7a405bc6f14b68db6c49a9e0c&o=&hp=1,Chepén,Perú
Hotel Irmantalo Inn,https://www.booking.com/hotel/pe/irmantalo-inn-pacasmayo1.es.html?aid=2410095,"Hotel Irmantalo Inn ofrece alojamiento en Pacasmayo. Este hotel de 2 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Hay parking privado en el propio alojamiento.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. El hotel dispone de algunas unidades con balcón, y todas tienen baño privado con ducha y secador de pelo. En Hotel Irmantalo Inn, las habitaciones disponen de ropa de cama y toallas.

El desayuno está disponible cada mañana e incluye opciones a la carta, continentales o americanas.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 102 km.","Prohibido fumar en todo el alojamiento, Desayuno, Papel higiénico, WiFi gratis, Inglés, Toallas / sábanas (por un suplemento), WC, Servicio de habitaciones, Toallas, Secador de pelo, Español, Baño privado, Habitaciones sin humo, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Parking privado, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/566717644.jpg?k=a1e1a9149f86eacef00506d10c3dfbcdc463d5cd68378617f94ff0a962a01140&o=&hp=1,Chepén,Perú
El Puerto Hotel,https://www.booking.com/hotel/pe/el-puerto.es.html?aid=2410095,"El Puerto Hotel está en Pacasmayo y cuenta con bar. Este hotel de 3 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de conserjería, mostrador de información turística y guardaequipaje.

Las unidades de este alojamiento están equipadas con zona de estar y TV de pantalla plana con canales por cable. En el hotel, cada habitación cuenta con ropa de cama y toallas.

La recepción ofrece ayuda de forma ininterrumpida, y el personal habla inglés y español.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 94 km.","Parking en un garaje, Minibar, Prohibido fumar en todo el alojamiento, Servicio de planchado, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Llave de acceso, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Servicio de despertador, Bañera o ducha, Zona de estar, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Caja fuerte, Servicio de entrega de comestibles, Servicio de aparcacoches, Bar, Mobiliario exterior, WiFi gratis, TV, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Suelo de moqueta, Inglés, Alarma de seguridad, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Cafetería en el alojamiento, Centro de negocios, Acceso a pisos superiores en ascensor, Productos de limpieza, Fax / fotocopiadora, Almuerzos para llevar, Ascensor, Toda la unidad accesible en silla de ruedas, Baño privado, Aire acondicionado, Español, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Supermercado pequeño en el alojamiento, Habitaciones hipoalergénicas, Recepción 24 horas, Guardaequipaje, Hipoalergénico, Escritorio, Ropa de cama, TV de pantalla plana, Entrada privada, Ducha, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/163046154.jpg?k=c8a033f0d92a730e3b32f9f1a92c7aea0ee51a6cd31a0dacbfff07bc5c3a0ab5&o=&hp=1,Chepén,Perú
"Hotel El Mirador KITE-SURF, WIND-SURF AND SURF",https://www.booking.com/hotel/pe/el-mirador-trujillo.es.html?aid=2410095,"El Hotel El Mirador se encuentra en Pacasmayo. Ofrece restaurante a la carta, conexión WiFi gratuita, zona de juegos y desayuno opcional por un suplemento.

Las habitaciones incluyen TV de pantalla plana vía satélite, baño privado con ducha, ropa de cama, toallas y ventilador. Algunas tienen vistas al mar.

El Hotel El Mirador cuenta con recepción 24 horas, jardín, terraza, salón compartido, consigna de equipaje y aparcamiento gratuito. Se puede jugar a los dardos, al billar y al ping pong.

El Hotel El Mirador se encuentra a 3 minutos a pie de la playa del Malecón Grau y a 5 minutos a pie de la plaza principal de Pacasmayo y de la estación de autobuses.","Playa, Sala de juegos, Zona de juegos interior, Barbacoa, Masaje de manos, Desayuno, Billar, Menús para dietas especiales (bajo petición), Parking gratis, Baño al aire libre, Masajes, Cambio de moneda, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Masaje de cabeza, Bar, Mobiliario exterior, WiFi gratis, TV, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Inglés, Masaje de pies, Baños públicos, Menú para niños, Masaje corporal completo, WC, Servicio de traslado, Dardos, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Portugués, Terraza / solárium, Vino / champán, Snack-bar, Jardín, Cafetería en el alojamiento, Registro de entrada / salida privado, Información turística, Juegos de mesa / puzles, Zona de fumadores, Masaje de espalda, Fax / fotocopiadora, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Habitaciones sin humo, Extintores, Restaurante, Zona TV / salón de uso compartido, Zona de pícnic, Recepción 24 horas, Guardaequipaje, Masaje en pareja, Masaje de cuello, Ducha, Ventilador, Desayuno en la habitación, Ping pong, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/299097292.jpg?k=ac7182102bd7a6e3cf1060f6c642efa13615d6dcaa5edeb6aa00aa81d710b968&o=&hp=1,Chepén,Perú
