hotel,hotel_url,description,popular_facilities,highres_url,city,country
Fundo Chincheros Lodge,https://www.booking.com/hotel/pe/fundo-chincheros-lodge.es.html?aid=2410095,"Fundo Chincheros Lodge se encuentra en Juliaca y ofrece wifi gratis, jardín, salón de uso común y terraza.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

En el alojamiento se puede disfrutar de un desayuno buffet, a la carta o americano.

En el lodge, la clientela puede jugar a los dardos en el propio alojamiento o practicar senderismo en los alrededores.

Estadio Yanamayo está a 5,4 km del alojamiento, y Mirador de Punta Uta está a 5,8 km. El aeropuerto más cercano (Aeropuerto Internacional Inca Manco Cápac) está a 41 km del alojamiento.","Suelo de madera o parquet, Zona de comedor exterior, Barbacoa, Desayuno, Clases de yoga, Menús para dietas especiales (bajo petición), Parking gratis, Servicio de limpieza diario, Chimenea exterior, Traslado aeropuerto, Salas de reuniones / banquetes, Terraza, Vistas a un patio interior, Tour o clase sobre cultura local, Papel higiénico, Toda la unidad en la planta baja, Servicio de entrega de comestibles, Servicio de aparcacoches, Mobiliario exterior, Detectores de humo, WiFi gratis, Inglés, Equitación, Menú para niños, Tarjetas de transporte público, WC, Servicio de traslado, Dardos, Proporciona factura, Servicio de habitaciones, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Snack-bar, Galerías de arte temporales, Registro de entrada / salida privado, Juegos de mesa / puzles, Almuerzos para llevar, Tours a pie, Clases de cocina, Baño privado, Patio, Español, Holandés, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Zona de pícnic, Tiro con arco, Calefacción, Guardaequipaje, Ropa de cama, Traslado aeropuerto (gratis), Ducha, Capilla, Desayuno en la habitación, Senderismo, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/459096072.jpg?k=c8d70d15e6bce18eb9d60af7655eed0d8edb29c3959525a7096fc464777f015e&o=&hp=1,Chincheros,Perú
Hotel Hacienda Puno Centro Histórico,https://www.booking.com/hotel/pe/la-hacienda-puno.es.html?aid=2410095,"El Hotel Hacienda Puno está situado a 1 calle de la plaza principal y la catedral y ofrece conexión Wi-Fi y aparcamiento privado gratuitos. Alberga un restaurante sky con vistas panorámicas al lago Titicaca, que está a 5 minutos en coche.

Las habitaciones del Hacienda Puno disponen de TV de plasma de 32 pulgadas vía satélite, escritorio y baño con elementos de mármol y artículos de aseo.

El Hotel Hacienda Puno sirve un extenso desayuno bufé elaborado con ingredientes locales frescos. Para el almuerzo y la cena ofrece una fusión de platos regionales e internacionales.

El Hotel Hacienda Puno ofrece recepción 24 horas. El mostrador de información turística organiza visitas a las islas flotantes sobre juncos de Uros y servicio de enlace con el aeropuerto internacional Inca Manco Capac, situado a 45 minutos en coche. También hay una tienda de regalos.","Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Canales vía satélite, Servicio de planchado, Muy buen desayuno, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Buffet para niños, Perchero, Salas de reuniones / banquetes, Servicio de despertador, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, Bar, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Suelo de moqueta, Inglés, Alarma de seguridad, WC, Canales por cable, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Zona de fumadores, Toallas, Snack-bar, Información turística, Artículos de aseo gratis, Secador de pelo, Centro de negocios, Productos de limpieza, Fax / fotocopiadora, Almuerzos para llevar, Ascensor, Bañera, Español, Baño privado, Habitaciones sin humo, Habitaciones familiares, Restaurante, Enchufe cerca de la cama, Extintores, Insonorización, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Ducha, Calefacción, Teléfono, Adaptado personas de movilidad reducida, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/323736070.jpg?k=837ab30072e83a1b5fdc967619e0c64119a8a3c9d93b89d92da7808a4679bf88&o=&hp=1,Chincheros,Perú
Urosfood & Titiqaqa Lodge,https://www.booking.com/hotel/pe/uros-lodge-lover-quechua-puno.es.html?aid=2410095,"Urosfood & Titiqaqa Lodge se encuentra en Uros, a 4,6 km de Estadio Enrique Torres Belón, y ofrece alojamiento con piscina de temporada al aire libre, parking privado, jardín y terraza. Este alojamiento, que cuenta con servicio de habitaciones, también ofrece restaurante. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones cuentan con un balcón con vistas a la montaña. Las habitaciones del alojamiento tienen baño compartido y vistas a la ciudad. En Urosfood & Titiqaqa Lodge, cada habitación dispone de zona de estar.

En el alojamiento se puede disfrutar de un desayuno a la carta, continental o americano.

Puerto de Puno está a 4,7 km del alojamiento, y Malecón Ecoturístico Bahía de los Incas está a 4,7 km. El aeropuerto más cercano (Aeropuerto Internacional Inca Manco Cápac) está a 48 km del alojamiento.","Parking en un garaje, Suelo de madera o parquet, Fruta, Vistas al jardín, Zona de comedor exterior, Mesa de comedor, Zona de cocina, Desayuno, Piscina con vistas, Zona de comedor, Menús para dietas especiales (bajo petición), Cambio de moneda, Llave de acceso, Traslado aeropuerto, Terraza, Servicio de despertador, Bañera o ducha, Zona de estar, Tour o clase sobre cultura local, Seguridad 24 horas, Papel higiénico, Cocina compartida, Toda la unidad en la planta baja, Utensilios de cocina, Servicio de aparcacoches, Bar, Mobiliario exterior, WiFi gratis, Piscina infinita, Toallas / sábanas (por un suplemento), Pesca, Menú para niños, Vistas a un lugar de interés, Baños públicos, Servicio de traslado, Servicio de habitaciones, Terraza / solárium, Toallas, Vino / champán, Jardín, Cafetería en el alojamiento, Snack-bar, Información turística, Zona de fumadores, Solo para adultos, Vistas a la montaña, Almuerzos para llevar, Horario de apertura, Español, Patio, Aseo compartido, Vistas a la ciudad, Balcón, Piscina al aire libre, Habitaciones sin humo, Restaurante, Vistas, Supermercado pequeño en el alojamiento, Vistas al lago, Zona de pícnic, Ruta de bares, Baño compartido, Recepción 24 horas, Guardaequipaje, De temporada, Parking privado, Ducha, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515391882.jpg?k=c5c3cc6ebc4d325fbfb35739aeb3dab7241c6b9dfcc6078c7375abb3e01a65e9&o=&hp=1,Chincheros,Perú
titicaca lodge - LUQUINA,https://www.booking.com/hotel/pe/balsero-del-titicaca-lodge.es.html?aid=2410095,"Titicaca lodge - LUQUINA tiene vistas a la ciudad y está en Luquina. Cuenta con restaurante, salón de uso común, bar, jardín, terraza y zona de juegos infantil. En el lodge, tanto el wifi como el parking privado son gratis.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

El desayuno está disponible cada mañana e incluye opciones continentales, americanas o vegetarianas.

Se puede practicar senderismo en la zona, y titicaca lodge - LUQUINA ofrece zona de playa privada.

El aeropuerto más cercano (Aeropuerto Internacional Inca Manco Cápac) está a 99 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Sala de juegos, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de comedor exterior, Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Sombrillas, Terraza, Bañera o ducha, Mobiliario exterior, WiFi gratis, Pesca, Vistas al río, Proporciona factura, Terraza / solárium, Zona de fumadores, Jardín, Vistas a la montaña, Español, Zona TV / salón de uso compartido, Extintores, Habitaciones familiares, Fruta, Mesa de comedor, Desayuno, Traslado aeropuerto, Chimenea exterior, Vistas a un patio interior, Tour o clase sobre cultura local, Vistas a un lugar de interés, Vino / champán, Artículos de aseo gratis, Fax / fotocopiadora, Habitaciones sin humo, Música / espectáculos en directo, Zona privada de playa, Guardaequipaje, Entrada privada, Reloj despertador, Zona de comedor, Servicio de limpieza diario, Papel higiénico, Servicio de lavandería, Menú para niños, Juegos de mesa / puzles, Productos de limpieza, Tours a pie, Clases de cocina, Baño privado, Patio, Vistas al lago, Escritorio, Ducha, Calefacción, Playa, Zona de juegos interior, Menús para dietas especiales (bajo petición), Cambio de moneda, Llave de acceso, Servicio de despertador, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Situado frente a la playa, Servicio de traslado, Servicio de habitaciones, Toallas, Información turística, Vistas a la ciudad, Restaurante, Zona de juegos para niños, Zona de pícnic, Recepción 24 horas, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/370209419.jpg?k=6f13bb5a8098ea9f1611ee0a6b82d6bbbc0aa8029407164c34cd129cab8e3233&o=&hp=1,Chincheros,Perú
Inka's Rest Hostel,https://www.booking.com/hotel/pe/inkas-rest.es.html?aid=2410095,"Este colorido B&B se encuentra a solo 10 minutos a pie del lago Titicaca y ofrece conexión Wi-Fi gratuita y habitaciones con baño privado o compartido. El Inka’s Rest está situado en la zona comercial de Puno, cerca del mercado central y de la estación de tren.

Las habitaciones presentan una decoración sencilla y colorida y están equipadas con calefacción y caja fuerte.

Se ofrece un desayuno continental. Además, los huéspedes pueden utilizar la cocina compartida.

El mostrador de información turística puede organizar excursiones al lago Titicaca y ofrecer consejos para moverse por la zona. También se ofrece servicio de enlace con el aeropuerto por un suplemento.","Sala de juegos, Prohibido fumar en todo el alojamiento, Wifi rápida gratis (242 Mbps), Billar, Traslado aeropuerto, Terraza, Caja fuerte, Seguridad 24 horas, Papel higiénico, Cocina compartida, Servicio de lavandería, Mobiliario exterior, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Inglés, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Registro de entrada / salida privado, Información turística, Juegos de mesa / puzles, Fax / fotocopiadora, Tours a pie, Clases de cocina, Español, Habitaciones sin humo, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Guardaequipaje, Ropa de cama, Buen desayuno, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/297746265.jpg?k=04fe53f4d967061e417a249db1c4f83cbf4e7865f0c3a3e9e4ce009cb62f820a&o=&hp=1,Chincheros,Perú
Hotel Hacienda Plaza de Armas,https://www.booking.com/hotel/pe/puno-plaza.es.html?aid=2410095,"El Hotel Hacienda Plaza de Armas está situado en la plaza principal e histórica de Puno, a 5 minutos en coche del lago Titicaca, ofrece habitaciones con baño privado y conexión Wi-Fi gratuita y cuenta con aparcamiento público gratuito en las inmediaciones.

Las habitaciones del Hacienda Plaza de Armas tienen suelo de moqueta y muebles de madera elegantes y disponen de TV de pantalla plana y baño privado equipado con artículos de aseo gratuitos, accesorios de mármol y bañera.

El restaurante sirve todos los días un desayuno bufé completo con frutas tropicales.

El establecimiento se encuentra a 40 km de la reserva natural del lago Titicaca y dispone de mostrador de información turística sobre la zona y consigna de equipaje.

El aeropuerto de Juliaca se encuentra a 30 minutos en coche.","Parking en un garaje, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Canales vía satélite, Servicio de planchado, Muy buen desayuno, Parking gratis, Llave de acceso, Traslado aeropuerto, Perchero, Salas de reuniones / banquetes, Servicio de despertador, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, Bar, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Suelo de moqueta, Inglés, Alarma de seguridad, WC, Canales por cable, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Toallas, Snack-bar, Información turística, Artículos de aseo gratis, Secador de pelo, Fax / fotocopiadora, Almuerzos para llevar, Ascensor, Bañera, Español, Baño privado, Habitaciones sin humo, Habitaciones familiares, Restaurante, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Entrada privada, Ducha, Desayuno en la habitación, Calefacción, Teléfono, Adaptado personas de movilidad reducida, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/324488211.jpg?k=57f202dafa045db91a5f1a1f7b987c36cdc5e2d4ab33fa9648ecb93eb9778da0&o=&hp=1,Chincheros,Perú
Olimpo Inn,https://www.booking.com/hotel/pe/olimpo-inn.es.html?aid=2410095,"Olimpo Inn está en Puno, cerca de Estacion Terrestre, Iglesia de San Antonio, y Estadio Enrique Torres Belón. Dispone de wifi gratis y terraza.

Cada unidad tiene TV de pantalla plana por cable, zona de cocina totalmente equipada con microondas y baño privado con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Cerca del alojamiento hay puntos de interés como Mirador Kuntur Wasi, Plaza de Armas de Puno y Casa del Corregidor. El aeropuerto (Aeropuerto Internacional Inca Manco Cápac) está a 46 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Registro de entrada y salida exprés, Servicio de planchado, Zona de cocina, Plancha para pantalones, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Servicio de despertador, Bañera o ducha, Armario, Papel higiénico, Servicio de lavandería, Utensilios de cocina, Mobiliario exterior, Servicio de conserjería, WiFi gratis, TV, Inglés, Toallas / sábanas (por un suplemento), WC, Canales por cable, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Microondas, Juegos de mesa / puzles, Productos de limpieza, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Guardaequipaje, Escritorio, TV de pantalla plana, Ducha, Desayuno fabuloso, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/77561892.jpg?k=853b4bae5e4a21f6e447aa3f91639691761a920df73aab691c5b7621f4f7a357&o=&hp=1,Chincheros,Perú
Uros Amaru Marka Lodge,https://www.booking.com/hotel/pe/uros-inti-pajxi-lodge.es.html?aid=2410095,"El Uros Amaru Marka Lodge se encuentra en Uros y ofrece vistas al mar, restaurante y recepción 24 horas.

Todas las mañanas se sirve un desayuno continental.

Los huéspedes del lodge pueden pescar en las inmediaciones o disfrutar del jardín.

Puno se encuentra a 5 km del Uros Amaru Marka Lodge. El aeropuerto internacional Inca Manco Cápac, el más cercano, está a 52 km.","Entretenimiento nocturno, Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de comedor exterior, Mesa de comedor, Desayuno, Zona de comedor, Italiano, Traslado aeropuerto, Perchero, Salas de reuniones / banquetes, Terraza, Servicio de despertador, Bañera o ducha, Vistas a un patio interior, Zona de estar, Papel higiénico, Toda la unidad en la planta baja, Utensilios de cocina, Bar, Inglés, Tetera/cafetera en todas las habitaciones, Pesca, Vistas a un lugar de interés, WC, Vistas al río, Portugués, Servicio de habitaciones, Jardín, Juegos de mesa / puzles, Vistas a la montaña, Productos de limpieza, Muebles de exterior, Español, Baño privado, Vistas al mar, Patio, Vistas a la ciudad, Balcón, Habitaciones sin humo, Vistas, Restaurante, Vistas al lago, Recepción 24 horas, Francés, Guardaequipaje, Tetera / cafetera, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/513970889.jpg?k=4b893e7faaba2c1c9a4922fcccfb7df4a160f71640d2fe831e1af015ca0458ea&o=&hp=1,Chincheros,Perú
GHL Hotel Lago Titicaca,https://www.booking.com/hotel/pe/libertador-lago-titicaca.es.html?aid=2410095,"Este hotel de 5 estrellas está ubicado en la isla Esteves y ofrece vistas panorámicas al lago Titicaca, desde los Andes hasta Bolivia. Hay WiFi gratuita. Alberga un spa con bañera de hidromasaje y sauna.
""Una experiencia al atardecer en la orilla del lago Titicaca"".

Las habitaciones del Libertador Lake Titicaca, elegantes y amplias, tienen vistas al lago. Disponen de baño privado, TV y minibar.

El restaurante Los Uros sirve cocina fusión de los Andes y platos internacionales. El Libertador Lake Titicaca alberga varias tiendas y un gimnasio con varias actividades de fitness cardiovasculares.

El centro de Puno, conectado por un puente con tierra firme, está a solo 5 minutos en coche del hotel. El aeropuerto internacional Manco Cápac de Juliaca queda a 45 minutos. Hay aparcamiento público gratuito.","Sala de juegos, Prohibido fumar en todo el alojamiento, Plancha para ropa, Muy buen desayuno, Billar, Parking gratis, Masajes, Terraza, Zona de spa / relajación, Servicio de entrega de comestibles, Detectores de humo, WiFi gratis, Proporciona factura, Cenas temáticas, Zona de fumadores, Terraza / solárium, Jardín, Centro de negocios, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Habitaciones familiares, Tarjeta de acceso, Fruta, Mesa de comedor, Traslado aeropuerto, Armario, Vistas a un lugar de interés, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Fax / fotocopiadora, Bañera de hidromasaje / jacuzzi, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Vistas, Insonorización, Spa y centro de bienestar, Guardaequipaje, Entrada privada, Instalaciones de spa, Reloj despertador, Parking adaptado para personas de movilidad reducida, Minibar, Registro de entrada y salida exprés, Barbacoa, Servicio de planchado, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, TV, Cámaras de seguridad fuera del alojamiento, Menú para niños, Snack-bar, Secador de pelo, Juegos de mesa / puzles, Baño privado, Aire acondicionado, Vistas al lago, Escritorio, Ducha, Calefacción, Teléfono, Utensilios de planchado, Menús para dietas especiales (bajo petición), Cambio de moneda, Llave de acceso, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Gimnasio, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Baño de vapor, Acceso a pisos superiores en ascensor, Toallas, Información turística, Ascensor, Sauna, Vistas a la ciudad, Restaurante, Zona de pícnic, Recepción 24 horas, Servicio de despertador / alarma, Hipoalergénico, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/154138730.jpg?k=a8aa8187fc2981298c1b24bfd5c2651b3e571b379ef74a0f76b8c125d2ac7059&o=&hp=1,Chincheros,Perú
"Habitacion vista Amanecer, los Uros",https://www.booking.com/hotel/pe/habitacion-vista-ala-lago.es.html?aid=2410095,"Habitacion vista Amanecer, los Uros se encuentra a 4,6 km de Estadio Enrique Torres Belón y ofrece alojamiento conjardín, restaurante y servicio de habitaciones.

Algunas unidades incluyen zona de comedor y/o patio.

Puerto de Puno está a 4,6 km del alojamiento, y Malecón Ecoturístico Bahía de los Incas está a 4,7 km. El aeropuerto (Aeropuerto Internacional Inca Manco Cápac) está a 48 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Habitaciones sin humo, Jardín, Restaurante, Recepción 24 horas, Desayuno, Traslado aeropuerto, Español, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/305866823.jpg?k=b8d07c5fd901326369212da424099254a91a33b6399c1fb9eceddb73a86cd6ef&o=&hp=1,Chincheros,Perú
