hotel,hotel_url,description,popular_facilities,highres_url,city,country
Mi Casa es tu Casa Inn,https://www.booking.com/hotel/co/mi-casa-es-tu-casa-chiquinquira.es.html?aid=2410095,"Mi Casa es tu Casa Inn se encuentra en Chiquinquirá, a 45 km de Plaza de Armas Villa de Leyva, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y servicio de conserjería, además de wifi gratis en todo el alojamiento. Hay bar.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales vía satélite. El baño privado está equipado con ducha, artículos de aseo gratuitos y secador de pelo. En el hotel, cada habitación incluye ropa de cama y toallas.

La clientela puede practicar actividades en Chiquinquirá y alrededores, como senderismo y ciclismo.

Museo del Carmen está a 45 km del alojamiento, y Parque temático Gondava está a 39 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 139 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Secador de pelo, Terraza, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Senderismo, Canales de pago, Baño privado, Jardín, Extintores, Equipamiento de juegos para exterior, Parking gratis, Ropa de cama, Servicio de habitaciones, Proporciona factura, Zona de juegos interior, Mobiliario exterior, Zona de comedor exterior, Zona de comedor, Restaurante, Happy hour, Sala de juegos, Cenas temáticas, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, WiFi gratis, Enchufe cerca de la cama, Canales por cable, Vistas a un patio interior, Llave de acceso, Chimenea exterior, Salas de reuniones / banquetes, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Plancha para pantalones, Servicio de despertador / alarma, Toda la unidad en la planta baja, Papel higiénico, Fax / fotocopiadora, Suelo de baldosa / mármol, Juegos de mesa / puzles, Parking adaptado para personas de movilidad reducida, TV, Ciclismo, Equipamiento de bádminton, Seguridad 24 horas, Artículos de aseo gratis, Zona de pícnic, Productos de limpieza, Tours a pie, Guardaequipaje, WC, Terraza / solárium, Francés, Bar, TV de pantalla plana, Toallas, Español, Zona de fumadores, Prohibido fumar en todo el alojamiento, Vistas, Inglés, Libros, DVD o música para niños, Calefacción, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Snack-bar, Registro de entrada / salida privado, Servicio de conserjería, Entrada privada, Menús para dietas especiales (bajo petición), Boles para mascotas, Ducha, Aseo adicional, Servicio de despertador, Servicio de lavandería, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/246742171.jpg?k=ebe64516102f15afe0d8dbe4c27ad1cb8edd31e341431ad5cbf98e3a1b429323&o=&hp=1,Chiquinquirá,Colombia
Apartaestudio Chiquiencanto,https://www.booking.com/hotel/co/apartaestudio-chiquiencanto.es.html?aid=2410095,"Apartaestudio Chiquiencanto está en Chiquinquirá y dispone de alojamiento con wifi gratis a 46 km de Plaza de Armas Villa de Leyva, a 46 km de Museo del Carmen y a 40 km de Parque temático Gondava.

Este apartamento tiene 1 dormitorio, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 120 km.","Prohibido fumar en todo el alojamiento, Bañera o ducha, Apartamento privado en edificio, Cocina, TV, Parking, Armario, Perchero, Toda la unidad accesible en silla de ruedas, Fogones, Entrada privada, Ropa de cama, WiFi gratis, Ducha, Mesa de comedor, Zona de cocina, Productos de limpieza, Bañera, Lavavajillas, Zona de estar, Escritorio, Guardaequipaje, WC, Sofá cama, Zona de comedor, TV de pantalla plana, Toallas, Lavadora, Tendedero, Español, Nevera, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/486768421.jpg?k=6d06055301df4d89533446101df1d093864d6035d3f4be7e44817f51853d1fcc&o=&hp=1,Chiquinquirá,Colombia
Amuya Hostel,https://www.booking.com/hotel/co/amuya-hostel.es.html?aid=2410095,"Amuya Hostel se encuentra en Chiquinquirá y dispone de salón de uso común, terraza, bar y wifi gratis en todo el alojamiento. El alojamiento está a 45 km de Plaza de Armas Villa de Leyva, a 45 km de Museo del Carmen y a 39 km de Parque temático Gondava. El alojamiento ofrece cocina compartida, servicio de habitaciones y cambio de moneda.

Se puede jugar a los dardos en el hotel, y la zona es ideal para practicar senderismo y ciclismo.

En recepción se habla inglés, español y portugués, y el personal siempre está dispuesto a echar una mano.

El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 119 km del alojamiento.","Terraza, Dardos, Juegos de mesa / puzles, Baños públicos, Cafetería en el alojamiento, Habitaciones sin humo, Senderismo, Noches de cine, Cambio de moneda, Recepción 24 horas, Servicio de limpieza diario, Inglés, Centro de negocios, Extintores, Ciclismo, Parking, Vino / champán, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Servicio de traslado, Fruta, Boles para mascotas, WiFi gratis, Cocina compartida, Servicio de habitaciones, Proporciona factura, Música / espectáculos en directo, Zona de fumadores, Barbacoa, Mobiliario exterior, Alquiler de bicicletas, Desayuno en la habitación, Llave de acceso, Gimnasio, Eventos deportivos en directo (emisión), Chimenea exterior, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Portugués, Terraza / solárium, Bar, Plancha para pantalones, Habitaciones familiares, Español, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/398602658.jpg?k=e642ffa31303829458bee65b42e79466be97575cbddb03585e46cc20e1dc1ab2&o=&hp=1,Chiquinquirá,Colombia
Hotel Boutique San Marcos Chiquinquirá,https://www.booking.com/hotel/co/boutique-san-marcos-chiquinquira.es.html?aid=2410095,"Hotel Boutique San Marcos Chiquinquirá está en Chiquinquirá, a 45 km de Plaza de Armas Villa de Leyva, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Algunas habitaciones del alojamiento tienen un balcón con vistas a la ciudad.

Hay un centro de negocios en el hotel.

Museo del Carmen está a 45 km del alojamiento, y Parque temático Gondava está a 39 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 139 km.","Terraza, Supermercado pequeño en el alojamiento, Alarma de seguridad, Caja fuerte, Habitaciones sin humo, Recepción 24 horas, Centro de negocios, Jardín, Extintores, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Zona TV / salón de uso compartido, Muy buen desayuno, Capilla, Seguridad 24 horas, WiFi gratis, Detectores de humo, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de pícnic, Mobiliario exterior, Servicio de lavandería, Salas de reuniones / banquetes, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Restaurante, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/292651281.jpg?k=f2f4e567d16b727b2241b04d6632b30f505fb4a6c4ccb63ef80f78a6326bf471&o=&hp=1,Chiquinquirá,Colombia
"Acogedor y moderno Glamping en container, 10 min del centro",https://www.booking.com/hotel/co/fabuloso-glamping-en-container-10-min-del-centro.es.html?aid=2410095,"Acogedor y moderno Glamping en container, 10 min del centro, que cuenta con vistas a la ciudad, ofrece alojamiento con terraza y balcón a unos 49 km de Plaza de Armas Villa de Leyva. Este apartamento dispone de jardín, zona de barbacoa, wifi gratis y parking privado gratis.

El apartamento cuenta con 1 dormitorio, una cocina totalmente equipada con nevera y 1 baño con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

En la recepción se habla inglés y español, y el personal está dispuesto a ayudar en cualquier momento.

El apartamento ofrece servicio de alquiler de bicicletas, y en los alrededores se puede practicar senderismo.

Museo del Carmen está a 49 km del alojamiento, y Parque temático Gondava está a 43 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 138 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Terraza, Juegos de mesa / puzles, Almuerzos para llevar, Chimenea, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Cambio de moneda, Vistas, Recepción 24 horas, Inglés, Libros, DVD o música para niños, Baño privado, Jardín, Extintores, Cocina, TV, Armario, Accesible para personas sordas, Traslado aeropuerto, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Patio, Entrada privada, Vistas al lago, Servicio de traslado, Artículos de aseo gratis, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Seguridad 24 horas, Zona de cocina, Plancha para ropa, Zona de pícnic, Barbacoa, Mobiliario exterior, Productos de limpieza, Habitaciones insonorizadas, Vistas a la montaña, Desayuno en la habitación, Alquiler de bicicletas, Solo para adultos, Vistas al jardín, Chimenea exterior, Servicio de despertador, Servicio de planchado, Servicio de lavandería, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Toda la unidad en la planta baja, TV de pantalla plana, Balcón, Toallas, Lavadora, Plancha para pantalones, Español, Vistas a la ciudad, Nevera, Utensilios de cocina, Papel higiénico, Detector de monóxido de carbono, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/363689946.jpg?k=d5776a1d211f36205c2226d775e8eba1760fb89232b2a9570dabed5714d7580c&o=&hp=1,Chiquinquirá,Colombia
Apartaestudio Chiqui-house,https://www.booking.com/hotel/co/apartaestudio-chiqui-house.es.html?aid=2410095,"Apartaestudio Chiqui-house está en Chiquinquirá, a 46 km de Plaza de Armas Villa de Leyva y a 47 km de Museo del Carmen, y ofrece alojamiento con equipamiento como wifi gratis y TV de pantalla plana. El apartamento está a 40 km de Parque temático Gondava.

Este apartamento consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y 1 baño con ducha y artículos de aseo gratuitos.

El aeropuerto (Aeropuerto Juan José Rondón) está a 120 km.","Prohibido fumar en todo el alojamiento, Bañera o ducha, Inglés, Baño privado, Apartamento privado en edificio, TV, Cocina, Parking, Perchero, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Enchufe cerca de la cama, Zona de cocina, Productos de limpieza, WC, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Tendedero, Español, Nevera, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/557598396.jpg?k=b5ef2886d0d383d25b841b1fddc480ac60b58c9fe24c8f22dbbf783c0df06d38&o=&hp=1,Chiquinquirá,Colombia
"Mágica y Romantica Cabaña, 10 min Centro",https://www.booking.com/hotel/co/casa-santo-domingo-chiquinquira.es.html?aid=2410095,"Mágica y Romantica Cabaña, 10 min Centro se encuentra a solo 49 km de Plaza de Armas Villa de Leyva y ofrece alojamiento en Chiquinquirá con jardín y bar, además de recepción 24 horas. El agroturismo, que cuenta con parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo y ciclismo.

El agroturismo cuenta con terraza y vistas a la ciudad, y dispone de 1 dormitorio, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y minibar, y 2 baños con ducha. Hay toallas y ropa de cama en el agroturismo.

El agroturismo ofrece barbacoa. Mágica y Romantica Cabaña, 10 min Centro ofrece servicio de alquiler de bicicletas.

Museo del Carmen está a 49 km del alojamiento, y Parque temático Gondava está a 43 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 138 km del alojamiento.","Terraza, Chimenea, Alarma de seguridad, Senderismo, Suelo de madera o parquet, Baño privado, Jardín, Extintores, Parking gratis, Fogones, Tours en bici, Ropa de cama, Mesa de comedor, Proporciona factura, Mobiliario exterior, Alquiler de bicicletas, Zona de comedor exterior, Sofá cama, Zona de comedor, Balcón, Cocina, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Enchufe cerca de la cama, Zona de estar, Llave de acceso, Chimenea exterior, Escritorio, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Lavadora, Plancha para pantalones, Utensilios de cocina, Papel higiénico, Suelo de baldosa / mármol, Juegos de mesa / puzles, Wifi rápida gratis (57 Mbps), Parking adaptado para personas de movilidad reducida, TV, Ciclismo, Armario, Baño adicional, Servicio de traslado, Seguridad 24 horas, Artículos de aseo gratis, Detectores de humo, Zona de pícnic, Barbacoa, Productos de limpieza, Tours a pie, Sofá, Vistas a la montaña, Vistas al jardín, Servicio de planchado, Guardaequipaje, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Tendedero, Español, Nevera, Zona de fumadores, Prohibido fumar en todo el alojamiento, Vistas, Recepción 24 horas, Inglés, Calefacción, Vino / champán, Perchero, Información turística, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Entrada privada, Ducha, Aseo adicional, Servicio de lavandería, Vistas a la ciudad, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/281673718.jpg?k=6b8daa4c7ee37d86dae8f74504d4fd5f1f3c8e28d3de93e5a0a8b6bca4dd3cc5&o=&hp=1,Chiquinquirá,Colombia
Cabaña de ensueño: 9 min centro,https://www.booking.com/hotel/co/cabana-de-ensueno-9-min-centro.es.html?aid=2410095,"Cabaña de ensueño: 9 min centro está en Chiquinquirá, en la región de Boyacá, a 49 km de Plaza de Armas Villa de Leyva. Ofrece alojamiento con wifi gratis, zona de barbacoa, jardín y parking privado gratis.

Todas las unidades cuentan con un patio con vistas a la montaña.

En el camping se sirve cada mañana un desayuno americano.

Hay terraza en este alojamiento y en la zona se puede practicar ciclismo.

Museo del Carmen está a 49 km del alojamiento, y Parque temático Gondava está a 43 km. El aeropuerto (Aeropuerto Juan José Rondón) está a 123 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Terraza, Sombrillas, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Senderismo, Vistas, Recepción 24 horas, Inglés, Jardín, Extintores, Ciclismo, Tour o clase sobre cultura local, Traslado aeropuerto, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Patio, Tours en bici, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Zona de pícnic, Barbacoa, Mobiliario exterior, Tours a pie, Vistas a la montaña, Alquiler de bicicletas, Desayuno en la habitación, Llave de acceso, Vistas al jardín, Chimenea exterior, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Zona de comedor exterior, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Toallas, Habitaciones familiares, Español, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530126450.jpg?k=5d6a6e8cf62708ec39837d742370e408ad5b28284d2fade92b16d83861e79644&o=&hp=1,Chiquinquirá,Colombia
CASITA CEREZO,https://www.booking.com/hotel/co/casita-cerezo.es.html?aid=2410095,"CASITA CEREZO se encuentra en Chiquinquirá, a solo 44 km de Plaza de Armas Villa de Leyva, y ofrece alojamiento con vistas al jardín, wifi gratis y parking privado gratis. Esta casa o chalet tiene acceso a una cocina totalmente equipada.

Museo del Carmen está a 45 km del alojamiento, y Parque temático Gondava está a 38 km. El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 118 km.","Prohibido fumar en todo el alojamiento, Parking gratis, Español, WiFi gratis, Vistas al jardín, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547055971.jpg?k=7790ccc53cb1f45c7c2583fa2cfcb0594f483e99478504bb0b821feebc00bea5&o=&hp=1,Chiquinquirá,Colombia
"Romántica Cabaña con vista a la ciudad, 10 min del Centro",https://www.booking.com/hotel/co/suite-campestre-con-vista-a-la-ciudad.es.html?aid=2410095,"Romántica Cabaña con vista a la ciudad, 10 min del Centro se encuentra en Chiquinquirá, a 49 km de Museo del Carmen y a 43 km de Parque temático Gondava, en una zona donde se puede practicar senderismo. El alojamiento, que está a 49 km de Plaza de Armas Villa de Leyva, dispone de jardín y parking privado gratis.

Este apartamento dispone de una terraza con vistas a la ciudad y también cuenta con TV de pantalla plana, una cocina y 2 baños con bañera o ducha y artículos de aseo gratuitos.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 138 km.","Terraza, Independiente, Wifi rápida gratis (81 Mbps), Prohibido fumar en todo el alojamiento, Alarma de seguridad, Bañera o ducha, Senderismo, Baño privado, Jardín, Extintores, TV, Cocina, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Parking en un garaje, Entrada privada, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, Enchufe cerca de la cama, Mesa de comedor, Barbacoa, Productos de limpieza, Vistas a la montaña, Zona de estar, Vistas al jardín, Escritorio, Utensilios de cocina, WC, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/282584329.jpg?k=d3d12b0a50ebd17c7f31258478df0b0227e3dbb8ff1454d23afd9f47768bf966&o=&hp=1,Chiquinquirá,Colombia
