hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Departamento monoambiente céntrico,US$54,"8,7",Fabuloso,85,https://cf.bstatic.com/xdata/images/hotel/max1024x768/493653318.webp?k=0f40ca882b3ee965e98b3768fa5c35febdabd96486b6ddd1479d69bb60335a54&o=,https://www.booking.com/hotel/ar/departamento-en-zona-centro-comodoro-rivadavia.es.html?aid=2410095,"Armario, Ducha, Vista al mar, Enchufe cerca de la cama, Toallas/sábanas (cargos extra), TV, Calefacción, Zona de estar, Ropa de cama, Vista a la ciudad, Sofá, Toallas, Vista a la montaña, Escritorio, Acceso con llave, Wifi gratis, Bidé, Ascensor, Papel higiénico, Microondas, Perchero de barral, Prohibido fumar en todo el establecimiento, Adaptado para personas con movilidad reducida, Mesa de comedor, Toda la unidad es accesible mediante silla de ruedas, Vista a un punto turístico, Acceso a pisos superiores mediante ascensor, Cámaras de seguridad en áreas comunes, Bañera o ducha, Productos de limpieza, Vista, Adaptado para sillas de ruedas, Tostadora, Utensilios de cocina, Pava eléctrica, Inglés, Servicio de streaming (ej.: Netflix), TV de pantalla plana, Cámaras de seguridad en exterior del alojamiento, Español, Extintores, Alfombra, Baño privado",Comodoro Rivadavia,Argentina,"El Departamento en zona centro se encuentra en Comodoro Rivadavia, a solo 1,3 km de la playa Costanera, y ofrece wifi gratis y estacionamiento privado gratuito. El alojamiento se encuentra a 800 metros de la plaza Ferrocaril y a 1,2 km del parque Soberanía.

Este departamento cuenta con 1 dormitorio, TV de pantalla plana y zona de cocina.

Cerca del departamento hay varios lugares de interés, como España, la plaza Alsina y el estadio Centenario. El aeropuerto más cercano es el aeropuerto internacional General Enrique Mosconi, ubicado a 12 km del Departamento en zona centro."
Austral Express,US$48,"8,3",Muy bien,724,https://cf.bstatic.com/xdata/images/hotel/max1024x768/178500490.webp?k=03e5da7d684ecf659c49a9ee5300c02337cfd58fe52e2491febd47df5e554651&o=,https://www.booking.com/hotel/ar/austral-express.es.html?aid=2410095,"Cafetería en la propiedad, Video, Servicio de lavandería, Ducha, Habitaciones familiares, Restaurante, TV, Parrilla, Canales por cable, Menú light (a pedido), Zona de estar, Teléfono, Servicio de conserjería, Ropa de cama, Calefacción, Ventilador, Servicio de delivery de alimentos, Toallas, Detector de humo, Servicio de transfer, Secador de pelo, Alquiler de autos, Wifi gratis, Bidé, Estacionamiento adaptado para personas con movilidad reducida, Papel higiénico, Servicio de planchado, Ascensor, Bañera, Vino/Champán, Prohibido fumar en todo el establecimiento, Adaptado para personas con movilidad reducida, Menú para menores, Estacionamiento en un garaje, Guardaequipaje, Cámaras de seguridad en áreas comunes, Bañera o ducha, Desayuno en la habitación, Alarma de seguridad, Caja fuerte, Servicio de tintorería, Servicio diario de limpieza, Estacionamiento, Bar, Fax/fotocopiadora, Inglés, Servicio a la habitación, TV de pantalla plana, Check-in/check-out privado, Cámaras de seguridad en exterior del alojamiento, Español, Extintores, Información turística, Recepción 24 horas, Centro de negocios, Desayuno fabuloso, Acceso con tarjeta, Baño privado, Salas de reuniones/banquetes, Almuerzos para llevar",Comodoro Rivadavia,Argentina,"El Austral Express está situado en el centro de la ciudad, a solo 1 calle del mar, y ofrece un alojamiento moderno. Además, hay wifi gratis.

Las habitaciones del Austral Express son modernas y tienen el suelo de moqueta. Cuentan con TV de pantalla plana, ventilador de techo, caja fuerte y baño privado con bañera.

Los huéspedes pueden disfrutar de platos regionales e internacionales en el restaurante del hotel y bebidas en el bar. El alojamiento se halla en una zona céntrica, cerca de la zona de ocio nocturno. La recepción está abierta las 24 horas.

El hotel está a 300 metros de la plaza Soberanía."
Patagonia Relax,US$37,"9,6",Excepcional,32,https://cf.bstatic.com/xdata/images/hotel/max1024x768/500622745.webp?k=5d08b3e53c04abbedc64f6ec2086c3c922ac339e8f02e599d27e52f0aa5efa0c&o=,https://www.booking.com/hotel/ar/rincon-del-sur-comodoro-rivadavia.es.html?aid=2410095,"Horno, Armario, Ducha, Habitaciones familiares, Enchufe cerca de la cama, Piso de baldosa/mármol, Hornalla, Canales por cable, TV, Piso de madera o parquet, Ventilador, Calefacción, Ropa de cama, Toallas, Vista al jardín, Baño, Secador de pelo, Escritorio, Vista a un patio interno, Wifi gratis, Bidé, Toda la unidad está situada en planta baja, Entrada privada, Papel higiénico, Cafetera, Microondas, Bañera, Independiente, Prohibido fumar en todo el establecimiento, Mesa de comedor, Artículos de tocador gratuitos, Kitchenette, Bañera o ducha, Plancha para ropa, Habitaciones para no fumadores, Tetera/Cafetera, Heladera, Zona de comedor, Utensilios de cocina, TV de pantalla plana, Plancha prensa, Español, Información turística, Recepción 24 horas, Cocina, Baño privado, Check-in/check-out exprés",Comodoro Rivadavia,Argentina,"El Rincón del Sur se encuentra en Comodoro Rivadavia. Se encuentra a 2 km de la playa Costanera y cuenta con recepción 24 horas.

Departamento de 1 dormitorio con conexión wifi gratis, TV de pantalla plana por cable y cocina con horno y microondas. Se proporcionan toallas y ropa de cama.

El aeropuerto más cercano es el aeropuerto internacional General Enrique Mosconi, a 11 km del departamento."
Hotel Playa,US$47,"8,4",Muy bien,174,https://cf.bstatic.com/xdata/images/hotel/max1024x768/146659163.webp?k=722dc3bba343a9eeac22a683494e838e03a38e09b08bde39a4f1dac0336bd53f&o=,https://www.booking.com/hotel/ar/playa-comodoro-rivadavia.es.html?aid=2410095,"Armario, Ducha, Habitaciones familiares, Vista al mar, Enchufe cerca de la cama, Restaurante, Toallas/sábanas (cargos extra), Canales por cable, TV, Servicio de conserjería, Calefacción, Toallas, Baño, Secador de pelo, Vista a un patio interno, Escritorio, Inodoro elevado, Wifi gratis, Bidé, Papel higiénico, Máquina expendedora (bebidas), Inodoro con barras de apoyo, Perchero de barral, Buen desayuno, Jardín, Estacionamiento gratuito, Prohibido fumar en todo el establecimiento, Adaptado para personas con movilidad reducida, Menú para menores, Guardaequipaje, Cámaras de seguridad en áreas comunes, Bañera o ducha, Caja fuerte, Productos de limpieza, Vista, Habitaciones para no fumadores, Adaptado para sillas de ruedas, Zona de fumadores, TV de pantalla plana, Cámaras de seguridad en exterior del alojamiento, Español, Extintores, Recepción 24 horas, Alfombra, Acceso con tarjeta, Baño privado, Almuerzos para llevar, Zona TV/salón compartidos",Comodoro Rivadavia,Argentina,"El Hotel Playa tiene un bar, un restaurante y habitaciones con conexión de wifi gratis y TV de plasma. Se encuentra en Comodoro Rivadavia. Cuenta con estacionamiento gratuito. La playa General Mosconi queda a 50 metros.

Las habitaciones del Hotel Playa son luminosas y tienen ventanas grandes con vistas al mar y la ciudad. Todas disponen de baño privado.

El restaurante del alojamiento sirve especialidades de marisco.
El Hotel Playa está situado a 3 km de la zona comercial y a 5 km del aeropuerto."
Hotel Victoria,US$47,"7,0",Bien,29,https://cf.bstatic.com/xdata/images/hotel/max1024x768/488716077.webp?k=6a97c39504a7976181345271b6cbfe3665487935f5469d1021e083ed3f9018f7&o=,https://www.booking.com/hotel/ar/victoria-comodoro-rivadavia1.es.html?aid=2410095,"Armario, Desayuno, Ducha, Habitaciones familiares, Calefacción, Ropa de cama, Toallas, Baño, Escritorio, Wifi gratis, Papel higiénico, Terraza, Prohibido fumar en todo el establecimiento, Servicio de despertador, Habitaciones para no fumadores, Servicio a la habitación, TV de pantalla plana, Español, Recepción 24 horas, Baño privado",Comodoro Rivadavia,Argentina,"El Hotel Victoria ofrece alojamiento de 3 estrellas en Comodoro Rivadavia, a 1,3 km de la playa Costanera, y cuenta con terraza. Este hotel de 3 estrellas ofrece room service, recepción 24 horas y wifi gratis. Hay estacionamiento privado.

Las habitaciones incluyen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones incluyen armario.

El Hotel Victoria sirve un desayuno continental.

El aeropuerto internacional General Enrique Mosconi es el más cercano y queda a 11 km."
Hotel Urbano Ventia,US$47,"7,1",Bien,300,https://cf.bstatic.com/xdata/images/hotel/max1024x768/402190929.webp?k=7cb8a9e188aef8f76006b3fc899d87379069dece090fa057122accc2ae7c2c0f&o=,https://www.booking.com/hotel/ar/ventia-comodoro.es.html?aid=2410095,"Cafetería en la propiedad, Habitaciones familiares, Servicio de conserjería, Cambio de moneda, Calefacción, Detector de humo, Alquiler de autos, Acceso con llave, Wifi gratis, Buen desayuno, Proporciona factura, Prohibido fumar en todo el establecimiento, Guardaequipaje, Cámaras de seguridad en áreas comunes, Habitaciones para no fumadores, Servicio diario de limpieza, Estacionamiento, Seguridad las 24 horas, Traslados (aeropuerto), Check-in/check-out privado, Español, Extintores, Información turística, Recepción 24 horas, Check-in/check-out exprés, Zona TV/salón compartidos",Comodoro Rivadavia,Argentina,"El Ventia Hotel Comodoro se encuentra en Comodoro Rivadavia, a menos de 1 km de la playa de Costanera, y ofrece wifi gratis, registros de entrada y salida exprés y mostrador de información turística. Este hotel de 2 estrellas ofrece consigna de equipaje. El alojamiento dispone de salón compartido, servicio de conserjería y cambio de divisa.

Las habitaciones están equipadas con armario. Las habitaciones del Ventia Hotel Comodoro cuentan con escritorio, TV de pantalla plana y baño privado.

El aeropuerto internacional General Enrique Mosconi, el más cercano, está a 9 km."
Rukan,US$24,"9,3",Fantástico,3,https://cf.bstatic.com/xdata/images/hotel/max1024x768/491659267.webp?k=31512ec9bca6851f1368dda2778a8eda37c542f72f355aa35d7509ea15904773&o=,https://www.booking.com/hotel/ar/rukan.es.html?aid=2410095,"Horno, Armario, Patio, Enchufe cerca de la cama, Piso de baldosa/mármol, Hornalla, Canales por cable, TV, Calefacción, Ropa de cama, Sofá, Toallas, Baño, Departamento privado en edificio, Wifi gratis, Balcón, Bidé, Toda la unidad está situada en planta baja, Papel higiénico, Microondas, Perchero de barral, Prohibido fumar en todo el establecimiento, Mesa de comedor, Acceso a pisos superiores solo por escalera, Artículos de tocador gratuitos, Kitchenette, Bañera o ducha, Productos de limpieza, Habitaciones para no fumadores, Heladera, Utensilios de cocina, TV de pantalla plana, Español, Cocina, Baño privado",Comodoro Rivadavia,Argentina,"El Rukan se encuentra en Comodoro Rivadavia, en la región de Chubut, y ofrece balcón. Hay conexión de wifi gratis en todo el alojamiento.

Este departamento dispone de 2 dormitorios, TV de pantalla plana y cocina.

El aeropuerto más cercano es el aeropuerto internacional General Enrique Mosconi, a 14 km del departamento."
Austral Plaza Hotel,US$118,"8,9",Fabuloso,67,https://cf.bstatic.com/xdata/images/hotel/max1024x768/3139048.webp?k=cd4cb563367112c6fc10a0247262fa15784f2dcbd575f05eebd1dec81ab7deb1&o=,https://www.booking.com/hotel/ar/austral-plaza.es.html?aid=2410095,"Cafetería en la propiedad, Video, Snack-bar, Armario, Servicio de lavandería, Ducha, Habitaciones familiares, Restaurante, TV, Parrilla, Canales por cable, Menú light (a pedido), Servicio de conserjería, Teléfono, Calefacción, Ropa de cama, Bata de baño, Vista a la ciudad, Insonorización, Toallas, Aire acondicionado, Baño, Secador de pelo, Escritorio, Alquiler de autos, Bidé, Casino, Papel higiénico, Minibar, Estacionamiento adaptado para personas con movilidad reducida, Servicio de planchado, Ascensor, Perchero de barral, Bañera, Vino/Champán, Muy buen desayuno, Proporciona factura, Prohibido fumar en todo el establecimiento, Adaptado para personas con movilidad reducida, Vista a un punto turístico, Menú para menores, Artículos de tocador gratuitos, Estacionamiento en un garaje, Acceso a pisos superiores solo por escalera, Guardaequipaje, Acceso a pisos superiores mediante ascensor, Estacionamiento en la propiedad, Bañera o ducha, Desayuno en la habitación, Caja fuerte, Vista, Habitaciones para no fumadores, Servicio diario de limpieza, Servicio de tintorería, Servicio de despertador, Heladera, Servicio de despertador/Reloj despertador, Bar, Fax/fotocopiadora, Inglés, Servicio a la habitación, TV de pantalla plana, Check-in/check-out privado, Español, Fruta, Extintores, Información turística, Recepción 24 horas, Centro de negocios, Gimnasio, Acceso con tarjeta, Baño privado, Salas de reuniones/banquetes, Almuerzos para llevar",Comodoro Rivadavia,Argentina,"El Hotel Austral Plaza, situado en el corazón de Comodoro Rivadavia, es ideal para viajeros de negocios y de placer. Ofrece un alojamiento moderno y bien equipado con conexión inalámbrica a internet gratuita.

Las amplias habitaciones y suites del Austral Plaza Hotel están lujosamente decoradas y cuentan con suelos alfombrados. Todas disponen de escritorio. Las suites tienen zonas de estar y de comedor.

El Tunet Restaurant sirve cocina regional e internacional y está especializado en mariscos. Los huéspedes pueden comenzar el día con un abundante desayuno buffet en el Austral Bar and Lounge.

Gracias a su céntrica situación, los huéspedes podrán escoger entre alguno de los numerosos restaurantes y bares de los alrededores, donde también se organizan espectáculos en vivo. La recepción abrí las 24 horas.

El hotel está situado a 1 km de la estación de colectivo Tte. Gral. Ángel Solari."
Lucania Palazzo Hotel,US$128,"8,8",Fabuloso,292,https://cf.bstatic.com/xdata/images/hotel/max1024x768/236289877.webp?k=26d8343c670bb9db61ca92e5b847aa6cdba0437e02de55f0f7135b1c0563fa84&o=,https://www.booking.com/hotel/ar/lucania-palazzo.es.html?aid=2410095,"Cafetería en la propiedad, Servicio de lavandería, Ducha, Habitaciones familiares, Vista al mar, Enchufe cerca de la cama, Ambiente hipoalergénico, Restaurante, TV, Canales por cable, Menú light (a pedido), Servicio de conserjería, Piso de madera o parquet, Teléfono, Calefacción, Ropa de cama, Vista a la ciudad, Toallas, Detector de humo, Estacionamiento privado, Baño, Escritorio, Wifi gratis, Bidé, Vestidor, Estacionamiento adaptado para personas con movilidad reducida, Papel higiénico, Servicio de planchado, Ascensor, Inodoro con barras de apoyo, Perchero de barral, Buen desayuno, Bañera, Proporciona factura, Prohibido fumar en todo el establecimiento, Adaptado para personas con movilidad reducida, Artículos de tocador gratuitos, Estacionamiento en un garaje, Acceso a pisos superiores mediante ascensor, Guardaequipaje, Bañera o ducha, Desayuno en la habitación, Caja fuerte, Habitaciones para no fumadores, Servicio diario de limpieza, Servicio de tintorería, Valet parking, Adaptado para sillas de ruedas, Bar, Fax/fotocopiadora, Inglés, Servicio a la habitación, Sauna, TV de pantalla plana, Check-in/check-out privado, Español, Extintores, Información turística, Recepción 24 horas, Centro de negocios, Gimnasio, Acceso con tarjeta, Baño privado, Salas de reuniones/banquetes",Comodoro Rivadavia,Argentina,"El Lucania Palazzo Hotel se encuentra en el centro de Comodoro Rivadavia, a 3,5 km del Museo del Petróleo. Sus habitaciones están equipadas con TV de plasma y conexión de wifi gratis. El hotel alberga un restaurante y un piano bar, además de un gimnasio y sauna.

Las habitaciones del Lucania Palazzo Hotel son amplias, luminosas y elegantes. Todas tienen calefacción, minibar y baño privado.

Por las mañanas se sirve un desayuno buffet. En el restaurante Patagonia se preparan platos típicos de la cocina internacional y en el piano bar se sirven bebidas y aperitivos.

El Lucania Palazzo Hotel se encuentra a 13,3 km de Rada Tilly y a 11,3 km del aeropuerto General Enrique Mosconi."
679 aparthotel,US$44,10,Excepcional,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/516392022.webp?k=bf0d8dca5c50d672e3cc25821696f363e511a634eff1343502ec89016ac8b273&o=,https://www.booking.com/hotel/ar/679-aparthotel.es.html?aid=2410095,"Tours a pie, Recorrida de bares, Servicio de lavandería, Ducha, Habitaciones familiares, Habitaciones insonorizadas, Enchufe cerca de la cama, Ténder para la ropa, Cambio de moneda, Ventilador, Calefacción, Ropa de cama, Mobiliario exterior, Toallas, Detector de humo, Portugués, Estacionamiento privado, Baño, Secador de pelo, Acceso con llave, Wifi gratis, Bidé, Entrada privada, Ascensor, Papel higiénico, Microondas, Perchero de barral, Tours en bici, Independiente, Proporciona factura, Prohibido fumar en todo el establecimiento, Detector de monóxido de carbono, Guardaequipaje, Noches de películas, Kitchenette, Cámaras de seguridad en áreas comunes, Caja fuerte, Alarma de seguridad, Vista, Habitaciones para no fumadores, Heladera, Utensilios de cocina, Pava eléctrica, Zona de fumadores, TV de pantalla plana, Check-in/check-out privado, Cámaras de seguridad en exterior del alojamiento, Sofá cama, Extintores, Información turística, Recepción 24 horas, Cocina, Español, Acceso con tarjeta, Baño privado",Comodoro Rivadavia,Argentina,"El 679 aparthotel está situado en Comodoro Rivadavia, en la región de Chubut, a 1,1 km de la playa Costanera. Hay estacionamiento privado disponible por un adicional.

Los alojamientos del complejo de departamentos están equipados con TV de pantalla plana y cocina. Los alojamientos del complejo de departamentos disponen de baño privado y wifi gratis.

El aeropuerto más cercano es el aeropuerto internacional General Enrique Mosconi, a 10 km del departamento."
