hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Casona del Cerro,https://www.booking.com/hotel/cl/casona-del-cerro.es.html?aid=2410095,"Hostal Casona del Cerro se encuentra en Constitución, a 2,1 km de Playa de los Gringos, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece servicio de habitaciones y servicio de conserjería, además de wifi gratis en todo el alojamiento. Algunas habitaciones del alojamiento incluyen un patio con vistas a la ciudad.

En el hotel, cada habitación está equipada con armario, TV de pantalla plana, baño compartido, ropa de cama y toallas. En Hostal Casona del Cerro, cada habitación tiene zona de estar.

Playa Calabocillos está a 2,3 km del alojamiento.","Terraza, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Información turística, Zona de comedor, Menús para dietas especiales (bajo petición), Perchero, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Tendedero, Zona de estar, Barbacoa, Fruta, Servicio de conserjería, Suelo de madera o parquet, Mobiliario exterior, Muy buen desayuno, Servicio de entrega de comestibles, Tours en bici, TV, Prohibido fumar en todo el alojamiento, Español, Terraza / solárium, Calefacción, Suelo de moqueta, Guardaequipaje, Armario, Vistas, Toallas, Servicio de limpieza diario, Vestidor, Jardín, Proporciona factura, Almuerzos para llevar, Tours a pie, Canales por cable, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Zona de juegos interior, Toallas / sábanas (por un suplemento), Zona TV / salón de uso compartido, WC, Baño compartido, Habitaciones familiares, Zona de pícnic, Lavadora, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/245982186.jpg?k=dd4cb462e2e833ace234854b6436b53b826456dd347da8e40759d1bbe5158dee&o=&hp=1,Constitución,Chile
Casa Hotel Trocha Angosta,https://www.booking.com/hotel/cl/casa-trocha-angosta.es.html?aid=2410095,"Casa Hotel Trocha Angosta se encuentra en Constitución, a 2,4 km de Playa de los Gringos, y ofrece alojamiento con salón de uso común, parking privado gratis, terraza y zona de barbacoa. Este alojamiento ofrece servicio de conserjería y mostrador de información turística, además de wifi gratis en todo el alojamiento. Algunas unidades del alojamiento incluyen un balcón con vistas al río.

En el hotel, todas las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Algunas habitaciones tienen zona de cocina con nevera y horno.","Terraza, TV de pantalla plana, Extintores, Ropa de cama, Productos de limpieza, Escritorio, Información turística, Zona de fumadores, Perchero, WiFi gratis, Enchufe cerca de la cama, Barbacoa, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Suelo de madera o parquet, Mobiliario exterior, Desayuno fantástico, Servicio de entrega de comestibles, TV, Español, Terraza / solárium, Calefacción, Bañera o ducha, Guardaequipaje, Ducha, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Proporciona factura, Canales por cable, Desayuno en la habitación, Seguridad 24 horas, Cafetería en el alojamiento, Parking gratis, Baño privado, Secador de pelo, Toallas / sábanas (por un suplemento), Máquina expendedora (bebidas), Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/489356971.jpg?k=21b1a17be89481389be5b81b161bd7ed120bcb704833b800f76e78771d26d6a4&o=&hp=1,Constitución,Chile
Hostal kenita,https://www.booking.com/hotel/cl/hostal-kenita.es.html?aid=2410095,"Hostal kenita se encuentra en Constitución, a 1,6 km de Playa de los Gringos, y ofrece alojamiento con wifi gratis y parking privado gratis. Este alojamiento libre de humo está a 2,8 km de Playa Calabocillos.

En el hostal o pensión, todas las habitaciones tienen terraza. Todas las unidades del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.","Terraza, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, TV de pantalla plana, Ropa de cama, Zona de comedor, Desayuno, WiFi gratis, Prohibido fumar en todo el alojamiento, Español, Utensilios de cocina, Ducha, Armario, Mesa de comedor, Artículos de aseo gratis, Hervidor eléctrico, Nevera, Parking gratis, WC, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/500593067.jpg?k=0db7d16bec7da10d961041065ba398385cb425f2fc8579a732edbcbb85ee12c6&o=&hp=1,Constitución,Chile
Hotel Nogal,https://www.booking.com/hotel/cl/nogal-constitucion.es.html?aid=2410095,"El Hotel Nogal se encuentra en Constitución y ofrece jardín, terraza y WiFi gratuita en todas las instalaciones. Hay un restaurante que sirve cocina local y aparcamiento privado gratuito.","Playa, TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, Zona de fumadores, WiFi gratis, Registro de entrada y salida exprés, Parking adaptado para personas de movilidad reducida, TV, Español, Calefacción, Bañera o ducha, Ducha, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Proporciona factura, Canales por cable, Hervidor eléctrico, Servicio de habitaciones, Parking gratis, Baño privado, WC, Aire acondicionado, Habitaciones familiares, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/174594789.jpg?k=555624181e54992ea951226240005d90f525e60799b6b3ceb86eff94bc6729a6&o=&hp=1,Constitución,Chile
Reserva los Bollenes,https://www.booking.com/hotel/cl/reserva-los-bollenes.es.html?aid=2410095,"Reserva los Bollenes se encuentra en Constitución y ofrece alojamiento con piscina de temporada al aire libre, jardín y zona de barbacoa.

Todas las unidades están equipadas con terraza con vistas al jardín, cocina con nevera y horno, y baño privado con ducha.","Muebles de exterior, Tumbonas/sillas de playa, Terraza, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, TV de pantalla plana, Ropa de cama, Zona de fumadores, Vistas al jardín, Zona de comedor, Información turística, De temporada, Sombrillas, Vistas a un lugar de interés, Zona poco profunda, Enchufe cerca de la cama, Patio, Bañera, Piscina al aire libre, Barbacoa, Fogones, Entrada privada, Horno, TV, Español, Calefacción, Piscina con vistas, Bañera o ducha, Utensilios de cocina, Ducha, Vistas a un patio interior, Papel higiénico, Armario, Mesa de comedor, Senderismo, Bañera de hidromasaje / jacuzzi, Jardín, Campo de golf (a menos de 3 km), Nevera, Parking gratis, Baño privado, Tostadora, Zona de pícnic, Habitaciones familiares, Cocina, Balcón, Habitaciones sin humo, Zona de cocina, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/84148871.jpg?k=464f8f112cc2bb89c68712a2deea8cc4b8ef8191a2b46483f2115ebe8cbbabce&o=&hp=1,Constitución,Chile
Departamento cercano a Alameda y locales comerciales,https://www.booking.com/hotel/cl/departamento-amoblado-cercano-al-centro-playa-y-rio.es.html?aid=2410095,"Departamento cercano a Alameda y locales comerciales está en Constitución, a 1,8 km de Playa de los Gringos y a 2,3 km de Playa Calabocillos, en una zona donde se puede practicar ciclismo. Este apartamento con vistas al jardín también cuenta con wifi gratis.

El apartamento cuenta con patio y vistas a la montaña, y tiene 2 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y microondas, y 1 baño con ducha.

La clientela del alojamiento puede practicar senderismo y pesca en los alrededores o disfrutar del jardín.

Playa de Potrerillos está a 2,3 km del alojamiento.","Pista de tenis, Playa, TV de pantalla plana, Entretenimiento nocturno, Llave de acceso, Productos de limpieza, Ropa de cama, Vistas al jardín, Zona de comedor, Información turística, Sofá cama, Perchero, Sofá, Juegos de mesa / puzles, Parking en la calle, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Registro de entrada y salida exprés, Patio, Registro de entrada / salida privado, Vídeo, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Español, Pesca, Microondas, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Ducha, Wifi rápida gratis (200 Mbps), Mesa de comedor, Armario, Vistas, Senderismo, Sala de juegos, Suelo de baldosa / mármol, Jardín, Proporciona factura, Tours a pie, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Música / espectáculos en directo, Vistas a la montaña, Tostadora, Ciclismo, WC, Habitaciones familiares, Tours en bici, Cocina, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/281869573.jpg?k=e368c3e13136446b5197b162ff29e2e7f73135d8701aebe5eeef927ac51951c0&o=&hp=1,Constitución,Chile
Departamento vista al mar 3 habitaciones 2 baños,https://www.booking.com/hotel/cl/departamento-vista-al-mar-constitucion.es.html?aid=2410095,"Departamento vista al mar 3 habitaciones 2 baños se encuentra en Constitución, a 7 min a pie de Playa Calabocillos, y ofrece alojamiento con jardín, wifi gratis, recepción 24 horas y servicio de conserjería. El apartamento, que cuenta con parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo, pesca y ciclismo.

El apartamento cuenta con 3 dormitorios, 2 baños, ropa de cama, toallas, TV de pantalla plana, zona de comedor, cocina totalmente equipada y terraza con vistas al mar.

El apartamento ofrece zona de juegos infantil.

Playa de Potrerillos está a 12 min a pie del alojamiento, y Playa de los Gringos está a 2,9 km.","Pista de tenis, Terraza, Extintores, Información turística, Registro de entrada / salida privado, Servicio de conserjería, TV, Habitaciones insonorizadas, Microondas, Salas de reuniones / banquetes, Mesa de comedor, Eventos deportivos en directo (emisión), Sala de juegos, Jardín, Tours a pie, Tour o clase sobre cultura local, Música / espectáculos en directo, Minigolf, Recepción 24 horas, Zona de pícnic, Habitaciones familiares, Zona de cocina, Vistas, Wifi rápida gratis (218 Mbps), Situado frente a la playa, Vistas al jardín, Zona de comedor, Vistas a un lugar de interés, Tarjetas de transporte público, Juegos de mesa / puzles, Happy hour, Servicio de streaming (como Netflix), Patio, Bañera, Cámaras de seguridad en las zonas comunitarias, Apartamento privado en edificio, Vistas al mar, Prohibido fumar en todo el alojamiento, Calefacción, Ducha, Tostadora, Playa, TV de pantalla plana, Ropa de cama, Zona de juegos para niños, Habitaciones sin humo, Horno, Noches de cine, Español, Pesca, Utensilios de cocina, Discoteca / DJ, Toallas, Hervidor eléctrico, Ruta de bares, Comedia en vivo, Parking gratis, Baño privado, Detectores de humo, WC, Cocina, Cámaras de seguridad fuera del alojamiento, Papel higiénico, Llave de acceso, Entretenimiento nocturno, Detector de monóxido de carbono, Registro de entrada y salida exprés, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Habitaciones hipoalergénicas, Terraza / solárium, Centro de negocios, Supermercado pequeño en el alojamiento, Senderismo, Proporciona factura, Nevera, Vistas a la montaña, Secador de pelo, Equipamiento de juegos para exterior, Ciclismo, Tours en bici, Zona de comedor exterior, Galerías de arte temporales, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/439265395.jpg?k=fbfecbe062d3aeb5c447f26e8e4b45bfcf4722f3f81f722511cfee26a931fdce&o=&hp=1,Constitución,Chile
ACOGEDOR DEPARTAMENTO Constitución,https://www.booking.com/hotel/cl/arriendo-departamento-diario-brisas-del-maule-constitucion.es.html?aid=2410095,"ACOGEDOR DEPARTAMENTO Constitución es un alojamiento con vistas al río que está en Constitución, a 2,6 km de Playa de Potrerillos y a 2,6 km de Playa Calabocillos. Este alojamiento con aire acondicionado está a 16 min a pie de Playa de los Gringos y ofrece wifi gratis y parking privado en el propio alojamiento.

El apartamento tiene 3 dormitorios, 1 baño, ropa de cama, toallas, TV de pantalla plana, cocina totalmente equipada y balcón con vistas a la ciudad. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.","TV de pantalla plana, Ropa de cama, Escritorio, Vistas al jardín, Plancha para ropa, Balcón, Plancha para pantalones, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Apartamento privado en edificio, Suelo de madera o parquet, Horno, TV, Prohibido fumar en todo el alojamiento, Español, Vistas al río, Bañera o ducha, Vistas al lago, Vistas a la ciudad, Secadora de ropa, Armario, Toallas, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Tostadora, Secador de pelo, Toallas / sábanas (por un suplemento), Aire acondicionado, Cocina, Lavadora, Tendedero, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/419385812.jpg?k=3c12e1a61b411a81b3fffd5d83ab290c3f1b78e19dc38e356cd87e6ef0d40d22&o=&hp=1,Constitución,Chile
Casa en la Perla del Maule,https://www.booking.com/hotel/cl/casa-en-la-perla-del-maule.es.html?aid=2410095,"Casa en la Perla del Maule se encuentra en Constitución, a solo 15 min a pie de Playa de Potrerillos, y ofrece alojamiento con jardín, terraza y wifi gratis. Esta casa o chalet está a 15 min a pie de Playa Calabocillos y a 2,6 km de Playa de los Gringos.

La casa o chalet de 2 dormitorios cuenta con sala de estar con TV de pantalla plana con canales por cable, cocina totalmente equipada y 1 baño con ducha.

Se puede practicar senderismo en los alrededores.","Terraza, Playa, TV de pantalla plana, Llave de acceso, Zona de fumadores, Información turística, Zona de comedor, Cama plegable, WiFi gratis, Juegos de mesa / puzles, Zona de estar, Mobiliario exterior, TV, Español, Terraza / solárium, Calefacción, Microondas, Bañera o ducha, Ducha, Mesa de comedor, Armario, Vistas, Senderismo, Jardín, Canales por cable, Hervidor eléctrico, Baño privado, Habitaciones familiares, Cocina, Lavadora, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/532730867.jpg?k=e7662e0a1742942efc30385fb38bbf44b0d5a9c8d1a25905c3e6e5e2a0fbb821&o=&hp=1,Constitución,Chile
Hostel Costa Morena,https://www.booking.com/hotel/cl/costa-morena-hostel.es.html?aid=2410095,"Hostel Costa Morena está en Constitución, a 2,1 km de Playa de los Gringos, y dispone de alojamiento con jardín, parking privado gratis y terraza. El hostal o pensión libre de humo ofrece wifi gratis en todo el alojamiento.

Las unidades de este alojamiento están equipadas con TV de pantalla plana y cocina. En el hostal o pensión, todas las habitaciones incluyen ropa de cama y toallas.

Playa Calabocillos está a 2,3 km del alojamiento.","Terraza, Inglés, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, TV de pantalla plana, Ropa de cama, Vistas al jardín, Zona de comedor, Toda la unidad accesible en silla de ruedas, WiFi gratis, Enchufe cerca de la cama, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Utensilios de cocina, Ducha, Mesa de comedor, Toallas, Artículos de aseo gratis, Jardín, Hervidor eléctrico, Nevera, Parking gratis, Italiano, Portugués, WC, Habitaciones familiares, Cocina, Lavadora, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/465366457.jpg?k=6e6ff5ae946a7b2ba296e4db854aa8ab849812b507f108d15490c2dd40e59114&o=&hp=1,Constitución,Chile
