hotel,hotel_url,description,popular_facilities,highres_url,city,country
Berakah B&B- Central Park,https://www.booking.com/hotel/hn/margarita.es.html?aid=2410095,"El establecimiento Berakah B&B- Central Park cuenta con WiFi gratis y restaurante y ofrece alojamiento en Copán Ruinas.

Todas las habitaciones incluyen TV y algunas cuentan con zona de estar. Además, disponen de baño privado con bañera o ducha, artículos de aseo gratuitos y secador de pelo.

El establecimiento dispone de recepción 24 horas.","Masaje de pies, Masaje de cuello, Papel higiénico, Ropa de cama, Servicio de despertador, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Habitaciones sin humo, Cenas temáticas, Traslado aeropuerto, Adaptado para sillas de ruedas, Seguridad 24 horas, Menús para dietas especiales (bajo petición), Cámaras de seguridad en las zonas comunitarias, Toallas, WC, Tours en bici, Servicio de traslado, Masajes, Guardaequipaje, Masaje de espalda, Senderismo, Plancha para pantalones, Servicio de conserjería, Buen desayuno, Ruta de bares, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Artículos de aseo gratis, Ducha, Tours a pie, Cambio de moneda, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Masaje en pareja, Mosquitera, Clases de cocina, Servicio de limpieza diario, Tour o clase sobre cultura local, Información turística, Registro de entrada y salida exprés, Extintores, Masaje de cabeza, Adaptado personas de movilidad reducida, WiFi gratis, Taquillas, Perchero, Billar, Toallas / sábanas (por un suplemento), Terraza / solárium, Productos de limpieza, TV, Habitaciones familiares, Inglés, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/167785573.jpg?k=61501aae07ed2c08ebcab63f35372bbe7503083ae66e22819cfd5b051e58b5b7&o=&hp=1,Copán,Honduras
Hotel Brisas de Copan,https://www.booking.com/hotel/hn/brisas-de-copan.es.html?aid=2410095,"Hotel Brisas de Copan se encuentra en Copán Ruinas y cuenta con jardín. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, cada habitación tiene armario, TV, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Puerto Barrios) está a 184 km del alojamiento.","Papel higiénico, Ropa de cama, Baño privado, Parking gratis, Habitaciones sin humo, Patio, Toallas, Bañera o ducha, Servicio de traslado, Entrada privada, Zona de fumadores, Enchufe cerca de la cama, Terraza, Artículos de aseo gratis, Jardín, Prohibido fumar en todo el alojamiento, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Información turística, WiFi gratis, Canales vía satélite, Ventilador, Productos de limpieza, Armario, TV, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/61795970.jpg?k=6f7fa2ba0878a6b239c41639b75d1c9b73c6616fa8000d23ff4af7e1175007a4&o=&hp=1,Copán,Honduras
Garden Hotel,https://www.booking.com/hotel/hn/garden.es.html?aid=2410095,"Garden Hotel está en Copán Ruinas y cuenta con terraza. Este hotel de 4 estrellas ofrece jardín y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, las habitaciones incluyen un patio con vistas a la ciudad. Todas las habitaciones tienen escritorio.

En Garden Hotel se puede disfrutar de un desayuno continental o americano.

El personal de la recepción 24 horas puede dar consejos sobre qué hacer en la zona.

El aeropuerto (Aeropuerto de Puerto Barrios) está a 184 km.","Masaje de pies, Masaje de cuello, Vistas a la montaña, Accesible para personas sordas, Servicio de despertador / alarma, Papel higiénico, Vistas al jardín, Fax / fotocopiadora, Baño privado, Vino / champán, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Vistas a un patio interior, Suelo de baldosa / mármol, Patio, Desayuno en la habitación, Secador de pelo, Seguridad 24 horas, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Masaje de manos, WC, Servicio de traslado, Masajes, Vistas a la ciudad, Masaje de espalda, Plancha para pantalones, Zona de fumadores, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Tours a pie, Servicio de planchado, Jardín, Escritorio, Vistas a un lugar de interés, Mobiliario exterior, Cambio de moneda, Llave de acceso, Zona de pícnic, Servicio de limpieza diario, Masaje corporal completo, Información turística, Extintores, Desayuno fabuloso, Registro de entrada y salida exprés, Masaje de cabeza, Servicio de habitaciones, WiFi gratis, Perchero, Productos de limpieza, Terraza / solárium, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521817709.jpg?k=550c30a943f479b90bb4c29d1609ac43db311d4434298763b955d302562cc483&o=&hp=1,Copán,Honduras
Hotel Rosalila,https://www.booking.com/hotel/hn/rosalila.es.html?aid=2410095,"Hotel Rosalila está en Copán Ruinas y ofrece alojamiento con wifi gratis, jardín con terraza y vistas a la ciudad.

Las unidades están equipadas con patio y disponen de TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

En el bed and breakfast se puede disfrutar de un desayuno continental.

El aeropuerto (Aeropuerto de Puerto Barrios) está a 184 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baños termales, Papel higiénico, Vistas al jardín, Servicio de despertador, Baño privado, Aire acondicionado, Registro de entrada / salida privado, Habitaciones sin humo, Zona de comedor exterior, Protector de enchufes para niños, Traslado aeropuerto, Vistas a un patio interior, Patio, Seguridad 24 horas, TV de pantalla plana, Vistas, Toallas, Bañera o ducha, WC, Servicio de traslado, Masajes, Proporciona factura, Bañera, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Servicio de planchado, Jardín, Escritorio, Cambio de moneda, Capilla, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Masaje corporal completo, Información turística, WiFi gratis, Ventilador, Toallas / sábanas (por un suplemento), Terraza / solárium, Productos de limpieza, TV, Habitaciones familiares, Inglés, Muebles de exterior, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/350490079.jpg?k=6d9a3f99124e310f9c9140de83c058d53891f94e3030eccbe4d3e3a5c68f7f82&o=&hp=1,Copán,Honduras
Stella Hostel Copán,https://www.booking.com/hotel/hn/berakah.es.html?aid=2410095,"El Hotel & Hostal Berakah goza de una ubicación céntrica en Copán Ruinas, a 100 metros del parque Central. La conexión WiFi es gratuita.

El establecimiento tiene una terraza con hamacas que ofrece vistas al valle de Copán. Todas las mañanas se sirve el desayuno por un suplemento. A diario, se ofrece café gratuito y hay una cocina compartida que incluye nevera, microondas y tostadora.

El hotel ofrece habitaciones privadas con baño privado y TV de pantalla plana o habitaciones compartidas con baño compartido y caja fuerte. Todas incluyen ventilador.

Hay recepción 24 horas y servicio de lavandería, de limpieza en seco y de planchado. También se ofrece servicio de masajes por un suplemento. El establecimiento ofrece consigna de equipaje, mostrador de información turística y servicio de excursiones y traslados en Honduras y Guatemala.","Masaje de pies, Masaje de cuello, Accesible para personas sordas, Papel higiénico, Ropa de cama, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Suelo de moqueta, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Seguridad 24 horas, Toda la unidad en la planta baja, Zona de cocina, Pediluvio, Cámaras de seguridad en las zonas comunitarias, Plancha para ropa, Baño compartido, WC, Cocina compartida, Tours en bici, Masajes, Entrada privada, Guardaequipaje, Masaje de espalda, Senderismo, Nevera, Servicio de conserjería, Plancha para pantalones, Recepción 24 horas, Zona de fumadores, Enchufe cerca de la cama, Servicio de lavandería, Utensilios de cocina, Ducha, Alquiler de bicicletas, Wifi básica gratis (15 Mbps), Jardín, Cambio de moneda, Masaje en pareja, Zona TV / salón de uso compartido, Equitación, Servicio de limpieza diario, Masaje corporal completo, Microondas, Información turística, Registro de entrada y salida exprés, Extintores, Masaje de cabeza, Parking en un garaje, Cocina, Taquillas, Ventilador, Billar, Baños públicos, Zona de estar, Inglés, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504711070.jpg?k=24068f736f49e22f003c46ae52b52f8e1e56d965fb710c7eeda6abc254af8b05&o=&hp=1,Copán,Honduras
Hostel Iguana Azul,https://www.booking.com/hotel/hn/iguana-azul.es.html?aid=2410095,"El Hostel Iguana Azul está situado en Copan Ruinas y ofrece WiFi gratuita y restaurante. También proporciona aparcamiento privado gratuito.

Las habitaciones disponen de baño compartido. Algunas de ellas cuentan con zona de estar. Además, el establecimiento alberga un pabellón spa.

Este establecimiento alberga un salón común y una nevera compartida. También ofrece consigna de equipaje y servicio de venta de entradas para transporte.

La zona de los alrededores es ideal para practicar equitación y senderismo.","Servicio de despertador / alarma, Papel higiénico, Ropa de cama, Caja fuerte, Servicio de despertador, Inglés, Vino / champán, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Suelo de baldosa / mármol, Patio, Tarjetas de transporte público, Toda la unidad en la planta baja, Cama plegable, Menús para dietas especiales (bajo petición), Toallas, Baño compartido, Servicio de traslado, Masajes, Guardaequipaje, Senderismo, Nevera, Restaurante, Servicio de conserjería, Zona de fumadores, Servicio de lavandería, Almuerzos para llevar, Terraza, Parking adaptado para personas de movilidad reducida, Jardín, Escritorio, Mobiliario exterior, Cambio de moneda, Llave de acceso, Zona TV / salón de uso compartido, Equitación, Zona de pícnic, Parking en la calle, Servicio de limpieza diario, Información turística, Extintores, WiFi gratis, Taquillas, Ventilador, Terraza / solárium, Zona de estar, Desayuno excepcional, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/84565990.jpg?k=c5d21375af71492a23407cfbb4ce51061f3b7d72f31f33ed9ec73af2ec64c07d&o=&hp=1,Copán,Honduras
Hotel Camino Maya,https://www.booking.com/hotel/hn/camino-maya.es.html?aid=2410095,"El Hotel Camino Maya se encuentra a 5 minutos en coche de las ruinas mayas de Copán y ofrece jardín tropical y sala de lectura con hamacas. Las habitaciones disponen de aire acondicionado, WiFi gratuita y aparcamiento gratuito.

Las habitaciones presentan un diseño atractivo y cuentan con utensilios de planchado, aire acondicionado, TV de pantalla plana por cable, agua potable gratuita y baño privado con secador de pelo y agua caliente.

El hotel sirve un desayuno gratuito hondureño, americano o continental en el restaurante, abierto todos los días de 06:30 a 22:00. El establecimiento también alberga un bar cafetería y se sitúa a 5 minutos a pie de los restaurantes de la zona.

El Hotel Camino Maya proporciona parking seguro gratuito y queda a 10 minutos a pie de la plaza principal de la localidad y a 15 minutos en coche del refugio de aves Macaw Mountain. La piscina está a 200 metros, en otro establecimiento.","Masaje de pies, Caja fuerte, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Cenas temáticas, Traslado aeropuerto, Salas de reuniones / banquetes, Desayuno en la habitación, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Supermercado pequeño en el alojamiento, Servicio de traslado, Masajes, Baños públicos, Guardaequipaje, Proporciona factura, Centro de negocios, Masaje de espalda, Restaurante, Recepción 24 horas, Servicio de lavandería, Almuerzos para llevar, Terraza, Tours a pie, Abierta todo el año, Servicio de planchado, Parking adaptado para personas de movilidad reducida, Jardín, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Piscina climatizada, Masaje en pareja, Servicio de entrega de comestibles, Piscina pequeña, Servicio de limpieza diario, Masaje corporal completo, Información turística, Extintores, Estación de carga de vehículos eléctricos, Para todas las edades, Servicio de habitaciones, WiFi gratis, Piscina interior, Habitaciones familiares, Inglés, Menú para niños, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/421219654.jpg?k=9aa487bd26640c1943103514685f4fb551ce605db54ab820b142efe92a18d538&o=&hp=1,Copán,Honduras
El Bosque Hotel,https://www.booking.com/hotel/hn/el-bosque.es.html?aid=2410095,"El Bosque Hotel se encuentra a 1 km del museo de Copán y del parque arqueológico, está rodeado de vegetación tropical y alberga un restaurante. Cuenta con jardín y recepción 24 horas.

Las habitaciones disponen de TV por cable de pantalla plana, aire acondicionado, y baño privado con ducha y artículos de aseo gratuitos. Todas las habitaciones ofrecen vistas al jardín y escritorio.

El Bosque Hotel cuenta con restaurantes que sirven platos de cocina peruana y regional.

El establecimiento se encuentra a 1 km del mercado de artesanía y a 2,5 km de la montaña Guacamaya. El centro de la ciudad de Copán está a 1,5 km y el aeropuerto internacional Ramón Villeda Morales, a 184 km.","Papel higiénico, Vistas al jardín, Fax / fotocopiadora, Caja fuerte, Inglés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Canales por cable, Toda la unidad en la planta baja, Español, Chimenea exterior, Cámaras de seguridad en las zonas comunitarias, Toallas, WC, Centro de negocios, Restaurante, Bañera, Recepción 24 horas, Equipamiento de juegos para exterior, Artículos de aseo gratis, Ducha, Jardín, Mobiliario exterior, Máquina expendedora (bebidas), Zona de pícnic, Información turística, Extintores, Registro de entrada y salida exprés, Adaptado personas de movilidad reducida, WiFi gratis, Armario, Habitaciones familiares, TV, Proporciona factura, Desayuno fantástico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/462887086.jpg?k=e2572778344ee824888452aab5631510f43d3b3f23dec7e6bab410328293a6ff&o=&hp=1,Copán,Honduras
Hotel & Hostal Yaxkin Copan,https://www.booking.com/hotel/hn/amp-hostal-yaxkin-copan.es.html?aid=2410095,"El Hotel & Hostal Yaxkin Copan se encuentra a 400 metros del parque central de Copán y a 10 minutos a pie del Museo Arqueológico. Dispone de jardín, terraza amueblada y conexión WiFi gratuita en todas las instalaciones.

Las habitaciones presentan una decoración sencilla y cuentan con ventilador, TV por cable, vistas al jardín y baño privado con artículos de aseo gratuitos.

Además, el Hotel & Hostal Yaxkin Copan proporciona servicio de reserva de billetes de autobús para visitar Ciudad de Guatemala, Antigua Guatemala y San Salvador. El restaurante del establecimiento sirve platos de cocina internacional. Asimismo, a menos de 150 metros hay otros locales de restauración.

El Hotel & Hostal Yaxkin Copan está a 300 metros de una estación de autobuses y a 2 horas y media en coche del aeropuerto internacional Ramón Villeda.","Masaje de pies, Masaje de cuello, Baños termales, Papel higiénico, Ropa de cama, Vistas al jardín, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Vistas a un patio interior, Suelo de baldosa / mármol, Patio, Desayuno en la habitación, Canales por cable, Vistas, Toallas, Masaje de manos, Cocina compartida, Servicio de traslado, Barbacoa, Zona de spa / relajación, Masajes, Guardaequipaje, Proporciona factura, Senderismo, Zona de fumadores, Masaje de espalda, Almuerzos para llevar, Servicio de lavandería, Terraza, Artículos de aseo gratis, Tours a pie, Servicio de planchado, Jardín, Mobiliario exterior, Masaje en pareja, Zona TV / salón de uso compartido, Equitación, Zona de pícnic, Parking en la calle, Masaje corporal completo, Tour o clase sobre cultura local, Información turística, Extintores, Masaje de cabeza, Paquetes de spa / bienestar, WiFi gratis, Ventilador, Terraza / solárium, Habitaciones familiares, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/112468584.jpg?k=5611ce82dae0064d5332a7b6e2743cc55039d13eb9d9846cce184aa3879b82f4&o=&hp=1,Copán,Honduras
Hotel La Escalinata,https://www.booking.com/hotel/hn/la-escalinata.es.html?aid=2410095,"El Hotel La Escalinata se encuentra en Copán Ruinas, a solo 15 minutos a pie del parque arqueológico. También cuenta con un jardín. Ofrece conexión Wi-Fi gratuita y habitaciones con balcón y vistas a la montaña.

Las habitaciones de La Escalinata disponen de aire acondicionado y TV de pantalla plana con canales por cable. El baño privado incluye ducha, artículos de aseo gratuitos y toallas.

La Escalinata sirve todos los días un desayuno continental gratuito. A 5 minutos a pie hay un mercado local y varias cafeterías y restaurantes. El restaurante y cervecería Sol de Copan está a solo 200 metros.

El Hotel La Escalinata cuenta con recepción 24 horas y aparcamiento gratuito. La frontera con Guatemala está a solo 10 km y la ciudad de San Pedro Sula, a 180 km.","Vistas a la montaña, Papel higiénico, Ropa de cama, Vistas al jardín, Baño privado, Aire acondicionado, Wifi buena gratis (23 Mbps), Aseo adicional, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Registro de entrada / salida privado, Suelo de baldosa / mármol, Patio, Tarjetas de transporte público, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Español, Vistas, Toallas, Bañera o ducha, WC, Servicio de traslado, Hipoalergénico, Entrada privada, Zona de fumadores, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Parking adaptado para personas de movilidad reducida, Zona de comedor, Jardín, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Mesa de comedor, Equitación, Zona de pícnic, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Extintores, Habitaciones hipoalergénicas, Ventilador, Toallas / sábanas (por un suplemento), Terraza / solárium, Productos de limpieza, Zona de estar, TV, Habitaciones familiares, Inglés, Balcón, Proporciona factura, Desayuno fantástico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/494608889.jpg?k=1e075cde97fe2957855051eb188f1f5ed51b76580de7d4c411d708647a3271d2&o=&hp=1,Copán,Honduras
