hotel,hotel_url,description,popular_facilities,highres_url,city,country
ibis Cuiaba Shopping,https://www.booking.com/hotel/br/ibis-cuiaba.es.html?aid=2410095,"El Ibis Cuiaba se encuentra en Cuiabá, a 2,3 km del centro y a 8 km del parque Zé Bolo Flô. El estadio Eurico Gaspar Dutra se encuentra a 2,2 km del hotel.

Entre los lugares de interés cercanos al hotel se incluyen el estadio Arena Pantanal, el Museo de Muñecas y Juguetes y el parque Madre Bonifacia. El aeropuerto más cercano es el aeropuerto internacional Marechal Rondon, situado a 7 km del ibis Cuiaba.","Acceso a pisos superiores en ascensor, Inglés, Bar, Extintores, Detector de monóxido de carbono, Restaurante, Menús para dietas especiales (bajo petición), Adaptado personas de movilidad reducida, WiFi gratis, Registro de entrada y salida exprés, Cuerda de emergencia en el baño, Parking privado, Registro de entrada / salida privado, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Servicio de entrega de comestibles, WC elevado, Prohibido fumar en todo el alojamiento, Minibar, Apoyo visual: braille, Guardaequipaje, Supermercado pequeño en el alojamiento, Ducha, Buen desayuno, Proporciona factura, Almuerzos para llevar, Apoyo visual: carteles táctiles, WC con barras de apoyo, Seguridad 24 horas, Baño privado, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Guiado auditivo, Lavamanos más bajo, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/273743930.jpg?k=e9b68cb9e8f946eeb9abfd29068f6b0e2be60b2c60d8bc239c17a7a36731dcca&o=&hp=1,Cuiabá,Brasil
Getúllio Hotel,https://www.booking.com/hotel/br/getaollio-by-nobile.es.html?aid=2410095,"El Getúlio Hotel, moderno y práctico, se encuentra en el centro de la ciudad. Ofrece alojamientos con WiFi gratuita y un bar.

Las habitaciones del Getúlio Hotel disponen de suelo de baldosa, aire acondicionado, TV, armario, minibar y baño privado con ducha de agua caliente.

Todas las mañanas se sirve un desayuno buffet que incluye fruta fresca variada, pan, embutidos y una selección de bebidas.

El hotel se encuentra a 8 km del aeropuerto Marechal Deodoro, a 3 km de la estación de autobuses de Cuiabá, a 5 km del centro de convenciones de Pantanal y a 3 km del estadio Arena Pantanal. Asimismo, hay recepción 24 horas y servicio de aparcacoches.","Acceso a pisos superiores en ascensor, Bar, Tarjeta de acceso, Snack-bar, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Adaptado personas de movilidad reducida, WiFi gratis, Parking privado, Fax / fotocopiadora, Servicio de despertador, Prohibido fumar en todo el alojamiento, Guardaequipaje, Ducha, Salas de reuniones / banquetes, Toallas, Buen desayuno, Servicio de aparcacoches, Servicio de limpieza diario, Suelo de baldosa / mármol, Baño privado, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/454666648.jpg?k=f7faaa086f5155aac508527a468ea04771745d9870e5ab445de8956cd4955928&o=&hp=1,Cuiabá,Brasil
Amazon Plaza Hotel,https://www.booking.com/hotel/br/amazon-plaza.es.html?aid=2410095,"Conveniently located in downtown Cuiabá, near shops and restaurants, Amazon Plaza features Indian-theme décor. It offers a nice garden pool with cascade and hammocks, plus free Wi-Fi

The 4-star hotel provides bright rooms with a touch of colour and modern amenities. Air-conditioned and spacious, they include a king bed, cable TV, telephone and minibar. Room service is available 24 hours.

With views of the lush palm trees in the garden, guests enjoy a buffet breakfast in an ample eating area. Freshly prepared regional delicacies, fruits, juices and a variety of breads and cakes are among the items served.

Following the Indian theme found in lively wall and ceiling paintings, the American bar at Amazon Plaza supplies refreshments and regional exotic cocktails.

Amazon Plaza Hotel is situated 4 km from the bus station and 8,5 km from Cuiabá Airport.","Inglés, Bar, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Boles para mascotas, Restaurante, Zona de fumadores, Escritorio, Menús para dietas especiales (bajo petición), Alquiler de coches, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Parking privado, Zona de estar, Camas extralargas (más de 2 metros), Piscina al aire libre, Teléfono, TV, Minibar, Centro de negocios, Caja fuerte, Guardaequipaje, Canales vía satélite, Ducha, Secadora de ropa, Armario, Servicio de aparcacoches, Gimnasio, Artículos de aseo gratis, Cesta para mascotas, Jardín, Suelo de baldosa / mármol, Canales por cable, Desayuno en la habitación, Servicio de habitaciones, Parking en un garaje, Baño privado, Caja fuerte para ordenador portátil, Secador de pelo, Recepción 24 horas, Ascensor, Toallas de playa/piscina, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/348043445.jpg?k=af7079f2f3ea8be289a378f3fea06a0e77de7093cdbcda2c22d7ee5d06051056&o=&hp=1,Cuiabá,Brasil
Hotel Veneza,https://www.booking.com/hotel/br/veneza-cuiaba.es.html?aid=2410095,"El moderno Veneza Hotel se encuentra en el centro de la ciudad de Cuiabá. Ofrece una piscina en la azotea, un gimnasio y un desayuno bufé. El alojamiento incluye tanto conexión Wi-Fi y aparcamiento gratuitos como aire acondicionado.

Las habitaciones tienen TV LCD, minibar, teléfono y baño con encimera de granito y ducha acristalada.

El Hotel Veneza está a 1,5 km del centro comercial Shopping 3 Américas y a menos de 5 km del estadio Arena Pantanal. El aeropuerto internacional Marechal Rondon se sitúa a 8,5 km del hotel.","Terraza, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Alquiler de coches, WiFi gratis, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Centro de negocios, Ducha, Salas de reuniones / banquetes, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Canales por cable, Parking gratis, Parking en un garaje, Secador de pelo, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/251348399.jpg?k=eea5601bc23c37cf041a04c93d28ff1073375a0014f87e3b71937887137aab74&o=&hp=1,Cuiabá,Brasil
Skala Traveling Hotel,https://www.booking.com/hotel/br/skala-traveling.es.html?aid=2410095,"El Skala ofrece habitaciones con aire acondicionado, conexión Wi-Fi gratuita y aparcamiento gratuito. Se encuentra a 100 metros del viaducto Miguel Sutil.Este hotel también ofrece un desayuno bufé y una recepción abierta las 24 horas.

Las habitaciones disponen de aire acondicionado, baño privado y TV LCD. También incluyen minibar, teléfono y caja fuerte.

El centro comercial Pantanal está a 1,5 km del Skala Traveling Hotel. El parque Maria Bonifácia y el centro de eventos Pantanal están a 3,5 km.  El aeropuerto internacional Marechal Rondon está a 10 km.","Inglés, TV de pantalla plana, Escritorio, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Parking adaptado para personas de movilidad reducida, TV, Minibar, Español, Caja fuerte, Bañera o ducha, Ducha, Salas de reuniones / banquetes, Armario, Servicio de aparcacoches, Buen desayuno, Artículos de aseo gratis, Suelo de baldosa / mármol, Parking gratis, Baño privado, Alemán, Secador de pelo, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/7864284.jpg?k=eb11ca85242b1a4fdd4f4e7ec3c11215f7ea89bb94babdecb3c91a963e26ccdd&o=&hp=1,Cuiabá,Brasil
Hotel Nacional Inn Cuiabá,https://www.booking.com/hotel/br/golden-tulip-pantanal.es.html?aid=2410095,"El Hotel Hotel Nacional Inn Cuiabá goza de una ubicación estratégica en el centro de Cuiabá, a solo 1 km de varios edificios históricos. Este alojamiento de 4 estrellas también cuenta con WiFi gratuita, piscina al aire libre y gimnasio.

Las habitaciones del Hotel Hotel Nacional Inn Cuiabá incluyen aire acondicionado, TV por cable, minibar y teléfono. Algunas suites están equipadas con sala de estar independiente.

Asimismo, el establecimiento cuenta con centro de negocios y servicio de lavandería. La recepción está abierta todos los días, las 24 horas.

El restaurante presenta una decoración elegante en estilo minimalista y está especializado en cocina moderna internacional. También hay un bar que sirve bebidas brasileñas, como caipiriñas elaboradas con frutas de la zona.

El hotel se halla a 8 km del aeropuerto internacional Marechal Rondon, a 65 km de Chapada dos Guimarães y a 250 km de la llanura del Pantanal.","Acceso a pisos superiores en ascensor, Inglés, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Adaptado personas de movilidad reducida, WiFi gratis, Piscina al aire libre, Teléfono, Fruta, Alarma de seguridad, Servicio de despertador, TV, Prohibido fumar en todo el alojamiento, Español, Centro de negocios, Caja fuerte, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Toallas, Gimnasio, Buen desayuno, Artículos de aseo gratis, Billar, Servicio de limpieza diario, Jardín, Proporciona factura, Canales por cable, Cafetería en el alojamiento, Parking gratis, Baño privado, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/517473021.jpg?k=ea490ec843e0207891f968bd8aec30eb604ef715914f4311b4d499e6d951c204&o=&hp=1,Cuiabá,Brasil
Amazon Aeroporto Hotel,https://www.booking.com/hotel/br/amazon-aeroporto.es.html?aid=2410095,"Amazon Aeroporto Hotel está en Cuiabá, a 7 km de Arena Pantanal, y dispone de alojamiento con piscina al aire libre, parking privado, jardín y terraza. Este alojamiento ofrece restaurante, servicio de traslado gratuito y servicio de habitaciones, además de wifi gratis en todo el alojamiento. Hay bar.

Hay opciones buffet o continentales de desayuno disponibles cada mañana en el hotel.

En recepción se hablan varios idiomas, como inglés, español y portugués.

Museo de Muñecas y Juguetes está a 8 km del alojamiento, y Parque Madre Bonifácia está a 9 km. El aeropuerto (Aeropuerto internacional Marechal Rondon) está a 3 km.","Tumbonas/sillas de playa, Terraza, Inglés, Bar, Abierta todo el año, Extintores, Desayuno fabuloso, Restaurante, Adaptado personas de movilidad reducida, WiFi gratis, Estación de carga de vehículos eléctricos, Parking privado, Traslado aeropuerto, Piscina al aire libre, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Español, Caja fuerte, Guardaequipaje, Servicio de aparcacoches, Para todas las edades, Cesta para mascotas, Traslado aeropuerto (gratis), Jardín, WC con barras de apoyo, Servicio de habitaciones, Parking en un garaje, Horario de apertura, Recepción 24 horas, Detectores de humo, Ascensor, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/434030575.jpg?k=e1a332f3d17adf1a88269ce371a564eef8aa9b1e8f57e47a23fc6fb79e3ecf8e&o=&hp=1,Cuiabá,Brasil
Hotel D'Luca,https://www.booking.com/hotel/br/de-luca.es.html?aid=2410095,"El D’Luca está situado en el centro de Cuiabá, a solo 10 minutos en coche del centro comercial Pantanal, y alberga un salón con TV de pantalla grande. También ofrece desayunos buffet, WiFi gratuita y ordenadores en el vestíbulo.

Las habitaciones disponen de aire acondicionado, TV LCD de 32 pulgadas con canales por cable, minibar, baño privado, suelo de baldosa y escritorio. Además, incluyen detectores de humo, taquilla electrónica y rociadores automáticos. Todas presentan una decoración moderna con muebles de madera oscura.

El Hotel D'Luca se encuentra a 10 minutos en coche de la estación de autobuses de Cuiabá y a 20 minutos en coche del aeropuerto Marechal Rondon. También hay aparcamiento privado gratuito y cubierto.","Acceso a pisos superiores en ascensor, Inglés, TV de pantalla plana, Servicio de lavandería, Extintores, Insonorización, Restaurante, Ropa de cama, Escritorio, Menús para dietas especiales (bajo petición), Toda la unidad accesible en silla de ruedas, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Estación de carga de vehículos eléctricos, Hipoalergénico, Teléfono, Fruta, Fax / fotocopiadora, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Desayuno fantástico, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Minibar, Habitaciones hipoalergénicas, Centro de negocios, Habitaciones insonorizadas, Caja fuerte, Español, Bañera o ducha, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de despertador / alarma, Armario, Vistas, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Suelo de baldosa / mármol, Canales por cable, Servicio de limpieza en seco, WC con barras de apoyo, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/208566409.jpg?k=71de135429d4447fab8b78a90f8895e53df3b2ab862f3949e0064520730eefbb&o=&hp=1,Cuiabá,Brasil
Hotel Tapajós,https://www.booking.com/hotel/br/ronaldo-gomes-de-castro.es.html?aid=2410095,"Hotel Tapajós, que se encuentra a 2,7 km de Parque Madre Bonifácia y a 5,8 km de Museo de Muñecas y Juguetes, ofrece habitaciones en Cuiabá. Este hotel de 2 estrellas tiene habitaciones con aire acondicionado, baño privado y wifi gratis. Este alojamiento libre de humo está a 5,8 km de Arena Pantanal.

Todas las habitaciones de este alojamiento están equipadas con hervidor. En el hotel, las habitaciones tienen armario y TV de pantalla plana.

En la recepción, el personal habla inglés y portugués.

Parque Zé Bolo Flô está a 7,2 km del alojamiento, y Estadio Eurico Gaspar Dutra está a 3 km. El aeropuerto (Aeropuerto internacional Marechal Rondon) está a 8 km.","Parking gratis, Baño privado, Parking en un garaje, Inglés, Portugués, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Armario, Desayuno fabuloso, Servicio de limpieza diario, Servicio de lavandería, Recepción 24 horas, Aire acondicionado, WiFi gratis, Hervidor eléctrico, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/372596363.jpg?k=7e439b2af08400c4412bb91c9ef42e7a7e71396e0c1643c485796f366562fade&o=&hp=1,Cuiabá,Brasil
Delmond Hotel,https://www.booking.com/hotel/br/delmond.es.html?aid=2410095,"El Delmond Hotel está situado a 500 metros del centro comercial Pantanal y a 4 km del centro de Cuiabá y ofrece conexión Wi-Fi gratuita, alojamientos funcionales y aparcamiento privado por un suplemento.

Las habitaciones disponen de TV de pantalla plana con canales por cable, minibar, ropa de cama, toallas y baño privado con ducha de agua caliente y secador de pelo.

El desayuno buffet se sirve todos los días e incluye gran variedad de fruta fresca, pan y embutidos. Además, en el restaurante del hotel se ofrecen especialidades regionales e internacionales y una selección de bebidas.

El establecimiento también cuenta con gimnasio, spa, bar y salas de reuniones. El alojamiento se encuentra a 10 km del aeropuerto Marechal Rondon y a 9 km del estadio Arena Pantanal.","Peluquería / salón de belleza, Tarjeta de acceso, Abierta todo el año, Extintores, Adaptado personas de movilidad reducida, Estación de carga de vehículos eléctricos, Piscina al aire libre, Fruta, Alarma de seguridad, Corte de pelo, Habitaciones insonorizadas, Caja fuerte, Salas de reuniones / banquetes, Servicio de aparcacoches, Para todas las edades, Jardín, Taquillas en el gimnasio / spa, Spa y centro de bienestar, Cafetería en el alojamiento, Exfoliación corporal, Masaje de cuello, Piscina infantil, Recepción 24 horas, Habitaciones familiares, Portugués, Tumbonas/sillas de playa, Servicios de belleza, Restaurante, Galerías de arte temporales, Peinado, Servicios de depilación, Happy hour, Fax / fotocopiadora, Prohibido fumar en todo el alojamiento, Minibar, Masaje corporal completo, Paquetes de spa / bienestar, Tratamientos faciales, Envoltura corporal, Horario de apertura, Tinte, Instalaciones de spa, Masaje de cabeza, Menú para niños, Servicio de planchado, Gimnasio, Servicio de limpieza en seco, Masaje de espalda, Servicio de habitaciones, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, Toallas de playa/piscina, Servicios de maquillaje, Taquillas, Inglés, Bar, Snack-bar, Servicio de lavandería, Masaje de pies, Masajes, Masaje de manos, Menús para dietas especiales (bajo petición), WiFi gratis, Parking privado, Tratamientos capilares, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, Habitaciones hipoalergénicas, Guardaequipaje, Servicio de limpieza diario, Masaje en pareja, Seguridad 24 horas, Parking en un garaje, Tratamientos corporales, Vino / champán, Aire acondicionado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/348968739.jpg?k=e2ac40a9a7a42855e525f8a46cde6f2df53816b6ad328d70b031825ca8668b7f&o=&hp=1,Cuiabá,Brasil
