hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hospedaje Isla Talcan,https://www.booking.com/hotel/cl/hospedaje-isla-talcan.es.html?aid=2410095,"Hospedaje Isla Talcan se encuentra en Dalcahue, en la región de Chiloé, cerca de Iglesia de Nuestra Señora de los Dolores. Ofrece alojamiento con wifi gratis y parking privado gratis.

También hay un salón de uso común ideal para relajarse.

Iglesia de San Juan está a 36 km del alojamiento, y Iglesia de Nuestra Señora del Rosario de Chonchi está a 40 km. El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 10 km del alojamiento.","Registro de entrada y salida exprés, Parking en un garaje, Parking gratis, Prohibido fumar en todo el alojamiento, Extintores, Llave de acceso, Zona TV / salón de uso compartido, Baño compartido, Habitaciones familiares, Proporciona factura, WiFi gratis, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/239554887.jpg?k=6fbbcee2349aff128102ef1c279c60d81bb7661ab90d9605e965f71eaacd85dc&o=&hp=1,Dalcahue,Chile
Hotel Aliwen,https://www.booking.com/hotel/cl/aliwen.es.html?aid=2410095,"Hotel Aliwen está en Dalcahue, a 16 min a pie de Iglesia de Nuestra Señora de los Dolores, y dispone de alojamiento con jardín, parking privado gratis, terraza y bar. Este hotel de 3 estrellas ofrece servicio de habitaciones y wifi gratis. Algunas unidades del alojamiento disponen de un balcón con vistas al mar.

En el hotel, cada habitación cuenta con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades tienen armario.

En Hotel Aliwen se sirve todas las mañanas un desayuno buffet.

Iglesia de San Juan está a 37 km del alojamiento, y Iglesia de Nuestra Señora del Rosario de Chonchi está a 39 km. El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 10 km.","Terraza, Bar, TV de pantalla plana, Desayuno fabuloso, Ropa de cama, Escritorio, Perchero, WiFi gratis, Enchufe cerca de la cama, Ventilador, Teléfono, Suelo de madera o parquet, TV, Español, Calefacción, Bañera o ducha, Ducha, Armario, Toallas, Artículos de aseo gratis, Jardín, Canales por cable, Servicio de habitaciones, Parking gratis, Baño privado, Secador de pelo, Habitaciones familiares, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/173066672.jpg?k=8cf1153b7bc5b0867d6b156c4a12eee9844c6f6467aa8c0c80103b92851dac4a&o=&hp=1,Dalcahue,Chile
La chilotita,https://www.booking.com/hotel/cl/la-chilotita.es.html?aid=2410095,"La chilotita se encuentra en Dalcahue y ofrece alojamiento a 43 km de Iglesia de Nuestra Señora del Rosario de Chonchi, a 23 km de Iglesia San Francisco de Castro y a 26 km de Iglesia Nuestra Señora de Gracia de Nercón. El alojamiento tiene parking privado gratis y está a 4 km de Iglesia de Nuestra Señora de los Dolores y a 36 km de Iglesia de San Juan.

El apartamento de 2 dormitorios tiene sala de estar con TV de pantalla plana y cocina totalmente equipada.

Iglesia Santa María de Rilán está a 28 km del alojamiento. El aeropuerto (Aeropuerto de Mocopulli) está a 7 km.","Español, Parking gratis, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Calefacción, Cocina, Lavadora, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/571365284.jpg?k=a258d75897c617ac9b13ff9c23afdbc1fd1eeb6ff4c37189cada377a958e5b1f&o=&hp=1,Dalcahue,Chile
Domo del bosque,https://www.booking.com/hotel/cl/domo-del-bosque.es.html?aid=2410095,"Domo del bosque se encuentra en Dalcahue, a 4,1 km de Iglesia de Nuestra Señora de los Dolores, y ofrece alojamiento con jardín, wifi gratis, servicio de traslado gratuito y servicio de habitaciones. El alojamiento, que está a 38 km de Iglesia de Nuestra Señora del Rosario de Chonchi, dispone de terraza y parking privado gratis.

Esta casa rural ofrece TV de pantalla plana, balcón, zona de estar y reproductor de CD. La cocina cuenta con horno, microondas y minibar, y hay bidet, artículos de aseo gratuitos y secador de pelo.

El personal de recepción puede ofrecer consejos sobre cómo y por dónde moverse en la zona.

Iglesia de San Juan está a 39 km del alojamiento, y Iglesia San Francisco de Castro está a 17 km. El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 13 km del alojamiento.","Terraza, Tetera / cafetera, TV de pantalla plana, Reproductor de CD, Insonorización, Ropa de cama, Productos de limpieza, Vistas al jardín, Zona de comedor, Escritorio, Reproductor de DVD, Información turística, Perchero, Sofá, WiFi gratis, Patio, Bañera, Zona de estar, Camas extralargas (más de 2 metros), Barbacoa, Traslado aeropuerto, Ventilador, Entrada privada, Vistas al mar, Vídeo, Horno, Servicio de entrega de comestibles, TV, Habitaciones insonorizadas, Minibar, Vistas al río, Español, Calefacción, Suelo de moqueta, Bañera o ducha, Microondas, Utensilios de cocina, Guardaequipaje, Ducha, Bidet, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Senderismo, Cafetera, Vestidor, Traslado aeropuerto (gratis), Bañera de hidromasaje / jacuzzi, Jardín, Servicio de limpieza en seco, Desayuno en la habitación, Hervidor eléctrico, Equitación, Servicio de habitaciones, Parking gratis, Baño privado, Tostadora, Secador de pelo, Aseo adicional, Radio, Toallas / sábanas (por un suplemento), Recepción 24 horas, Habitaciones familiares, Cocina, Balcón, Servicio de traslado, Zona de cocina, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/41108860.jpg?k=ab0ba2059b9dc5a2c81b1b76bec1089948e9925f9e9df0aefb8df73515b1c013&o=&hp=1,Dalcahue,Chile
Casa Pascual,https://www.booking.com/hotel/cl/casa-pascual.es.html?aid=2410095,"Casa Pascual, que tiene vistas al mar, ofrece alojamiento con balcón y hervidor a unos 39 km de Iglesia de Nuestra Señora del Rosario de Chonchi. El alojamiento, que está a 5,3 km de Iglesia de Nuestra Señora de los Dolores, dispone de jardín y parking privado gratis.

La casa o chalet tiene 2 dormitorios, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales vía satélite, cocina totalmente equipada y terraza con vistas a la ciudad.

En la casa o chalet, la clientela puede usar la zona de juegos infantil.

Iglesia de San Juan está a 41 km del alojamiento, y Iglesia San Francisco de Castro está a 18 km. El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 15 km.","Muebles de exterior, Terraza, Inglés, TV de pantalla plana, Ropa de cama, Zona de fumadores, Escritorio, Vistas al jardín, Toda la unidad accesible en silla de ruedas, Plancha para ropa, Vistas a un lugar de interés, Sofá, Zona de juegos para niños, Servicio de streaming (como Netflix), Patio, Bañera, Zona de estar, Barbacoa, Entrada privada, Vistas al mar, Horno, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Independiente, Bañera o ducha, Vistas al lago, Utensilios de cocina, Canales vía satélite, Vistas a la ciudad, Guardaequipaje, Vistas, Toallas, Wifi rápida gratis (95 Mbps), Chimenea, Jardín, Proporciona factura, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Secador de pelo, Habitaciones familiares, Cocina, Balcón, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/301045942.jpg?k=c132d2c41468e2fba1ee0278574c10e056ce5c4678f8874419539d64649fe596&o=&hp=1,Dalcahue,Chile
Hostal Casa Bosque,https://www.booking.com/hotel/cl/hostal-casa-bosque.es.html?aid=2410095,"Hostal Casa Bosque se encuentra en Dalcahue, a 2,6 km de Iglesia de Nuestra Señora de los Dolores, y ofrece alojamiento con jardín, parking privado gratis y terraza. Este alojamiento ofrece cocina compartida y servicio de traslado gratuito, además de wifi gratis en todo el alojamiento. El alojamiento dispone de servicio de habitaciones y mostrador de información turística.

Todas las unidades de este alojamiento incluyen zona de estar, TV de pantalla plana con canales vía satélite y baño privado con secador de pelo y bañera o ducha. En el hostal o pensión, todas las habitaciones cuentan con ropa de cama y toallas.

La clientela puede practicar actividades en Dalcahue y alrededores, como senderismo.

Iglesia de San Juan está a 35 km del alojamiento, y Iglesia de Nuestra Señora del Rosario de Chonchi está a 42 km. El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 8 km del alojamiento.","Terraza, Snack-bar, TV de pantalla plana, Servicio de lavandería, Ropa de cama, Vistas al jardín, Información turística, Perchero, Cocina compartida, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Zona de estar, Traslado aeropuerto, Equipamiento de bádminton, Suelo de madera o parquet, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Bañera o ducha, Canales vía satélite, Servicio de planchado, Armario, Vistas, Toallas, Servicio de limpieza diario, Senderismo, Traslado aeropuerto (gratis), Jardín, Proporciona factura, Tours a pie, Desayuno en la habitación, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Secador de pelo, Desayuno excepcional, Toallas / sábanas (por un suplemento), WC, Habitaciones familiares, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/111984676.jpg?k=bb039febe04ca0c1b396e139d777306896ddf10671192ad094bc3bc772ec8a73&o=&hp=1,Dalcahue,Chile
Hotel boutique Refugio de Navegantes,https://www.booking.com/hotel/cl/boutique-refugio-de-navegantes.es.html?aid=2410095,"Hotel boutique Refugio de Navegantes se encuentra en Dalcahue, a pocos pasos de Iglesia de Nuestra Señora de los Dolores, y ofrece alojamiento con wifi gratis y parking privado gratis. El alojamiento está a 36 km de Iglesia de San Juan, a 40 km de Iglesia de Nuestra Señora del Rosario de Chonchi y a 20 km de Iglesia San Francisco de Castro. El alojamiento dispone de servicio de habitaciones, mostrador de información turística y guardaequipaje.

Las habitaciones incluyen aire acondicionado, TV de pantalla plana con canales por cable, cafetera, ducha, secador de pelo y escritorio. En el hotel, todas las habitaciones están equipadas con ropa de cama y toallas.

Iglesia Nuestra Señora de Gracia de Nercón está a 23 km del alojamiento, y Iglesia Santa María de Rilán está a 25 km. El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 10 km del alojamiento.","Snack-bar, TV de pantalla plana, Ropa de cama, Zona de fumadores, Escritorio, Información turística, Alquiler de coches, Reloj despertador, Desayuno, WiFi gratis, Registro de entrada y salida exprés, Teléfono, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Caja fuerte, Guardaequipaje, Ducha, Toallas, Cafetera, Canales por cable, Servicio de habitaciones, Parking gratis, Secador de pelo, WC, Aire acondicionado, Servicio de traslado, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/85024245.jpg?k=1ccd8eee714658b6a71e7f64122035ad04a9d749093c7799e988ced305b24f62&o=&hp=1,Dalcahue,Chile
Cabaña el Avellano,https://www.booking.com/hotel/cl/cabana-el-avellano-dalcahue.es.html?aid=2410095,"Cabaña el Avellano se encuentra en Dalcahue y ofrece alojamiento a 30 km de Iglesia de San Juan, a 49 km de Iglesia de Nuestra Señora del Rosario de Chonchi y a 28 km de Iglesia San Francisco de Castro. El alojamiento está a 10 km de Iglesia de Nuestra Señora de los Dolores y ofrece parking privado en el propio alojamiento y wifi gratis.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y cocina.

Iglesia Nuestra Señora de Gracia de Nercón está a 31 km del alojamiento, y Iglesia Santa María de Rilán está a 33 km. El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 14 km.","Parking gratis, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Cocina, WiFi gratis, Español, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/513547702.jpg?k=8da7ea721726c27ed9e37a1c58d3ed50f9dd9820e155df1e250e1fb9a72f0dd8&o=&hp=1,Dalcahue,Chile
Cabañas El Roble,https://www.booking.com/hotel/cl/cabanas-el-roble.es.html?aid=2410095,"Cabañas El Roble se encuentra en Dalcahue, a 37 km de Iglesia de Nuestra Señora del Rosario de Chonchi, a 46 km de Iglesia de San Juan y a 16 km de Iglesia San Francisco de Castro, y ofrece balcón. El alojamiento, que está a 14 km de Iglesia de Nuestra Señora de los Dolores, dispone de jardín y parking privado gratis.

La casa o chalet ofrece una terraza y vistas al jardín e incluye 2 dormitorios, sala de estar, TV de pantalla plana por cable, cocina equipada y 1 baño con ducha.

Iglesia Nuestra Señora de Gracia de Nercón está a 19 km del alojamiento, y Iglesia Santa María de Rilán está a 29 km. El aeropuerto (Aeropuerto de Mocopulli) está a 5 km, y el alojamiento ofrece servicio de traslado gratis para ir o volver del aeropuerto.","Terraza, TV de pantalla plana, Vistas al jardín, Sofá cama, Perchero, Juegos de mesa / puzles, Patio, Traslado aeropuerto, Habitaciones sin humo, Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Español, Calefacción, Independiente, Utensilios de cocina, Ducha, Vistas, Toallas, Traslado aeropuerto (gratis), Jardín, Canales por cable, Parking gratis, Baño privado, Secador de pelo, Habitaciones familiares, Cocina, Lavadora, Tendedero, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/387004620.jpg?k=0ddeeef6e7c7e1c1f48c4d02caea5b1b36df72729de751c33e1cf3d183e71849&o=&hp=1,Dalcahue,Chile
Cabaña piedra azul,https://www.booking.com/hotel/cl/cabana-piedra-azul.es.html?aid=2410095,"Cabaña piedra azul, que se encuentra en Dalcahue, tiene aire acondicionado y ofrece alojamiento con balcón. El alojamiento ofrece vistas al mar y está a 6 min a pie de Iglesia de Nuestra Señora de los Dolores y a 36 km de Iglesia de San Juan.

La casa o chalet cuenta con 4 dormitorios, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales vía satélite, zona de comedor, cocina totalmente equipada y terraza con vistas a la ciudad.

Iglesia de Nuestra Señora del Rosario de Chonchi está a 40 km del alojamiento, y Iglesia San Francisco de Castro está a 20 km. El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 10 km del alojamiento.","Terraza, TV de pantalla plana, Productos de limpieza, Ropa de cama, Zona de comedor, Sofá cama, Balcón, Perchero, Vistas a un lugar de interés, Sofá, Enchufe cerca de la cama, Aseo compartido, Bañera, Zona de estar, Ventilador, Suelo de madera o parquet, Vistas al mar, Horno, TV, Español, Calefacción, Suelo de moqueta, Microondas, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Vistas a la ciudad, Ducha, Mesa de comedor, Vistas, Toallas, Artículos de aseo gratis, Canales de pago, Suelo de baldosa / mármol, Canales por cable, Nevera, Secador de pelo, Lavavajillas, Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, Baño compartido, Habitaciones familiares, Habitaciones comunicadas disponibles, Cocina, Lavadora, Tendedero, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/340570474.jpg?k=4035f30603c66d1673dfd9725e00e01dfac50c177b7bc2a6208b447ed9f13963&o=&hp=1,Dalcahue,Chile
