hotel,hotel_url,description,popular_facilities,highres_url,city,country
Pousada Vila do Imperador,https://www.booking.com/hotel/br/pousada-vila-do-imperador.es.html?aid=2410095,"La Pousada Vila do Imperador es un establecimiento encantador situado en el centro de Diamantina. Ofrece alojamiento práctico con conexión Wi-Fi gratuita y recepción 24 horas.

Las habitaciones de la Vila do Imperador disponen de ventilador, calefacción, minibar, TV de pantalla plana y baño privado con ducha de agua caliente.

La pensión se encuentra a 7 km del aeropuerto de Diamantina y 4 km de la terminal de autobuses de Diamantina. Lugares de interés como el Mercado Viejo, el Museo del Diamante y la casa de Chica da Silva están a menos de 200 metros.

Por las mañanas se sirve un desayuno buffet que incluye fruta fresca variada, pan, embutidos y una selección de bebidas.","Muebles de exterior, Tarjeta de acceso, TV de pantalla plana, Extintores, Desayuno fabuloso, Llave de acceso, Ropa de cama, Plancha para ropa, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Registro de entrada / salida privado, Ventilador, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Bañera o ducha, Canales vía satélite, Ducha, Bidet, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Suelo de baldosa / mármol, Baño privado, Vino / champán, Secador de pelo, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Acceso a pisos superiores solo mediante escaleras, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/16463965.jpg?k=8836dfdd047648fb8b5ee1d585aa41f3ebf8279c29c7c7ab3cc0adf91f911ce5&o=&hp=1,Diamantina,Brasil
POUSADA FLOR DE LIS,https://www.booking.com/hotel/br/pousada-flor-de-lis-diamantina.es.html?aid=2410095,"POUSADA FLOR DE LIS se encuentra en Diamantina y ofrece jardín. Este hotel de 2 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay terraza, wifi gratis y parking privado gratis.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales vía satélite. Todas las habitaciones tienen baño privado con ducha, y algunas también ofrecen vistas a la montaña. En el hotel, las habitaciones disponen de ropa de cama y toallas.","Terraza, TV de pantalla plana, Ropa de cama, Plancha para ropa, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Registro de entrada / salida privado, Ventilador, Parking adaptado para personas de movilidad reducida, Desayuno fantástico, TV, Canales vía satélite, Ducha, Toallas, Jardín, Servicio de habitaciones, Parking gratis, Baño privado, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, WC, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/347709382.jpg?k=b998fcce66557eba90a60510477057050093361ea4ab1426a8aafcf127c14103&o=&hp=1,Diamantina,Brasil
Hotel Montanhas de Minas,https://www.booking.com/hotel/br/montanhas-de-minas.es.html?aid=2410095,"Este hotel goza de una ubicación céntrica y ofrece un solárium con piscina y vistas a las montañas. Se encuentra a 800 metros del distrito histórico de Diamantina.  La conexión Wi-Fi es gratuita.

El hotel Montanhas de Minas se encuentra justo detrás del popular museo Casa Xica da Silva y a menos de 10 minutos a pie de la catedral de Minas y el castillo de Minas. Se encuentra a 5 minutos a pie de la catedral de Diamantina y la Igreja das Mercês.  La estación de autobuses de la ciudad se encuentra a 10 minutos a pie.

Las habitaciones del Hotel Montanhas de Minas presentan una decoración sencilla y cuentan con baño privado, TV, ventilador y minibar. Algunas también tienen balcón y bañera de hidromasaje. El establecimiento no dispone de ascensor. Se accede a los apartamentos por las escaleras.","Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Detector de monóxido de carbono, Ropa de cama, Zona de fumadores, Escritorio, Zona de comedor, Insonorización, Plancha para ropa, Perchero, Zona poco profunda, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Hipoalergénico, Parking privado, Ventilador, Piscina al aire libre, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Piscina con vistas, Caja fuerte, Bañera o ducha, Canales vía satélite, Piscina privada, Servicio de planchado, Ducha, Armario, Toallas, Buen desayuno, Servicio de limpieza diario, Solo para adultos, Cubierta para piscina, Trona, Seguridad 24 horas, Servicio de habitaciones, Nevera, Parking en un garaje, Baño privado, Horario de apertura, Recepción 24 horas, Detectores de humo, Zona TV / salón de uso compartido, WC, Habitaciones familiares, Zona de comedor exterior, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/288220082.jpg?k=adf2eac37a5875c8e64d029a2aa903e8c7da9762eda69a273b42ccd4a2aae028&o=&hp=1,Diamantina,Brasil
Pousada Acayaca,https://www.booking.com/hotel/br/pousada-acayaca.es.html?aid=2410095,"Pousada Acayaca se encuentra en Diamantina y ofrece alojamiento con piscina al aire libre abierta todo el año, wifi gratis, jardín y terraza.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.","Terraza, Abierta todo el año, TV de pantalla plana, Libros, DVD o música para niños, Extintores, Ropa de cama, Zona de fumadores, Información turística, Menús para dietas especiales (bajo petición), Plancha para ropa, Utensilios de planchado, Reloj despertador, Cocina compartida, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Hipoalergénico, Registro de entrada y salida exprés, Registro de entrada / salida privado, Piscina al aire libre, Barbacoa, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Ventilador, Cenas temáticas, Mobiliario exterior, Muy buen desayuno, TV, Noches de cine, Minibar, Habitaciones hipoalergénicas, Terraza / solárium, Español, Bañera o ducha, Ducha, Servicio de despertador / alarma, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Para todas las edades, Jardín, Proporciona factura, Suelo de baldosa / mármol, Desayuno en la habitación, Tour o clase sobre cultura local, Seguridad 24 horas, Servicio de habitaciones, Nevera, Ruta de bares, Parking gratis, Baño privado, Equipamiento de juegos para exterior, Recepción 24 horas, Detectores de humo, WC, Zona de pícnic, Habitaciones familiares, Zona de comedor exterior, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/315727450.jpg?k=8b225a5cbe4f28b1545663fde2f118af61afab4afb9f784feb33ec2343b8400c&o=&hp=1,Diamantina,Brasil
Pousada Presidente,https://www.booking.com/hotel/br/pousada-presidente.es.html?aid=2410095,"La Pousada Presidente, situada a solo 800 metros del centro histórico de la ciudad de Diamantina, ofrece desayuno buffet gratuito y conexión WiFi gratuita.

Las habitaciones son prácticas y cuentan con suelo de mármol, TV, minibar y ventilador. Algunas están equipadas con balcón y baño privado, mientras que otras disponen de baño compartido.

El establecimiento se encuentra a 950 metros de la Universidad Federal de Vales do Jequitinhonha e Mucuri.","Muebles de exterior, Servicio de lavandería, Extintores, Ropa de cama, Zona de fumadores, Utensilios de planchado, Desayuno, WiFi gratis, Enchufe cerca de la cama, Tendedero, Zona de estar, Traslado aeropuerto, Barbacoa, Ventilador, Servicio de despertador, TV, Terraza / solárium, Bañera o ducha, Ducha, Armario, Toallas, Servicio de limpieza diario, Suelo de baldosa / mármol, Spa y centro de bienestar, Servicio de habitaciones, Aseo adicional, Zona TV / salón de uso compartido, WC, Habitaciones familiares, Zona de comedor exterior, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/60607694.jpg?k=ceb6dca9155f7f4ccd02b3414a8cbeaeac0ca476455729a876906371bf88c81b&o=&hp=1,Diamantina,Brasil
Solar Da Quiitanda,https://www.booking.com/hotel/br/solar-da-quiitanda.es.html?aid=2410095,"Solar Da Quiitanda está en Diamantina, en la región de Minas Gerais, y ofrece alojamiento con wifi gratis.","Ruta de bares, Baño privado, Portugués, WiFi gratis, Habitaciones familiares, Prohibido fumar en todo el alojamiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/360864014.jpg?k=4d57a210d9420366b2853034886ea9e0615d77866bc6e8f2f29a6102262965b5&o=&hp=1,Diamantina,Brasil
Pousada Caminho Dos Escravos,https://www.booking.com/hotel/br/pousada-caminho-dos-escravos.es.html?aid=2410095,"Pousada Caminho Dos Escravos está en Diamantina y dispone de wifi gratis en todo el alojamiento. La posada u hostería tiene habitaciones familiares.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. En la posada u hostería, las habitaciones cuentan con baño privado y ropa de cama.

En Pousada Caminho Dos Escravos se puede disfrutar de un desayuno buffet o continental.

La recepción ofrece ayuda las 24 horas, y el personal habla inglés, español y portugués.","Inglés, TV de pantalla plana, Extintores, Ropa de cama, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada / salida privado, Teléfono, Servicio de despertador, WC elevado, TV, Español, Buffet para niños, Toallas, Buen desayuno, Servicio de limpieza diario, Suelo de baldosa / mármol, WC con barras de apoyo, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Lavamanos más bajo, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/156562696.jpg?k=49166d85312fedbe815309668d52d63575f00b9b41d37f1e96c870b97c095e48&o=&hp=1,Diamantina,Brasil
APARTAMENTOS ALTOS DA GRUPIARA - DIAMANTINA/MG,https://www.booking.com/hotel/br/apartamento-mobiliado-no-centro-de-diamantina-47-mg.es.html?aid=2410095,"APARTAMENTOS ALTOS DA GRUPIARA - DIAMANTINA/MG se encuentra en Diamantina y ofrece alojamiento con wifi gratis, jardín con terraza y vistas a la ciudad.

Las unidades están equipadas con balcón y disponen de TV de pantalla plana y baño privado con artículos de aseo gratuitos. Algunas unidades también tienen una cocina equipada con nevera, horno y microondas.","Terraza, Tetera / cafetera, TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Vistas al jardín, Zona de comedor, Plancha para ropa, Perchero, Vistas a un lugar de interés, WiFi gratis, Parking en la calle, Enchufe cerca de la cama, Barandillas de seguridad para bebés, Patio, Zona de estar, Ventilador, Entrada privada, Apartamento privado en edificio, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Terraza / solárium, Independiente, Bañera o ducha, Canales vía satélite, Vistas a la ciudad, Vistas a un patio interior, Vistas, Toallas, Artículos de aseo gratis, Cafetera, Suelo de baldosa / mármol, Jardín, Proporciona factura, Canales por cable, Baño privado, Vistas a la montaña, Tostadora, Parking, WC, Habitaciones familiares, Portugués, Balcón, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/134236218.jpg?k=e9e12ed689a0857bd0eeaea9d7571e4fcd52a6df16dbce61dbed564a7bac3c54&o=&hp=1,Diamantina,Brasil
Pousada Gama,https://www.booking.com/hotel/br/pousada-gama-diamantina.es.html?aid=2410095,"Pousada Gama ofrece alojamiento con jardín y wifi gratis, y se encuentra en Diamantina.

El alojamiento dispone de cocina totalmente equipada con nevera, TV de pantalla plana y baño compartido con bidet y ducha. Hay una zona de estar y de comedor en todas las unidades.","Tetera / cafetera, TV de pantalla plana, Ropa de cama, Cambio de moneda, Escritorio, Zona de comedor, Toda la unidad accesible en silla de ruedas, Perchero, Enchufe cerca de la cama, Registro de entrada y salida exprés, Zona de estar, Camas extralargas (más de 2 metros), Barbacoa, Registro de entrada / salida privado, Alarma de seguridad, Ventilador, Entrada privada, Suelo de madera o parquet, Bañera o ducha, Microondas, Utensilios de cocina, Ducha, Bidet, Armario, Mesa de comedor, Toallas, Jardín, Proporciona factura, Seguridad 24 horas, Nevera, Baño privado, Portugués, Wifi buena gratis (45 Mbps), Recepción 24 horas, Toda la unidad en la planta baja, WC, Accesible para personas sordas, Baño compartido, Habitaciones familiares, Zona de comedor exterior, Cocina, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/501138286.jpg?k=9ea60b868249ada0877fcfd7d72041431a17c96d3795ba3a87a1d4e96f356388&o=&hp=1,Diamantina,Brasil
Hospedaria Bica's de Minas,https://www.booking.com/hotel/br/hospedaria-bica-39-s-de-minas.es.html?aid=2410095,"Hospedaria Bica's de Minas se encuentra en Diamantina y ofrece wifi gratis, jardín, salón de uso común y terraza.

En la habitación en casa particular se puede disfrutar de un desayuno buffet.","Terraza, Ropa de cama, Zona de fumadores, Perchero, Desayuno, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Ventilador, Fax / fotocopiadora, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Jardín, Seguridad 24 horas, Zona TV / salón de uso compartido, Habitaciones familiares, Portugués, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/543274475.jpg?k=74020fddaee8adfdecc898704cd7bd34def44bc82bf6c12eab2abea5dfd00f46&o=&hp=1,Diamantina,Brasil
