hotel,hotel_url,description,popular_facilities,highres_url,city,country
"Casa con piscina, 1 cuarto barato",https://www.booking.com/hotel/pa/casa-con-piscina-1-cuarto-barato.es.html?aid=2410095,"Casa con piscina, 1 cuarto barato, que está en Arraiján, ofrece alojamiento con piscina privada. El alojamiento, que se encuentra a 24 km de Puente de Las Americas, ofrece terraza y parking privado gratis.

Este apartamento tiene vistas al jardín y consta de 1 dormitorio y 1 baño con secador de pelo. El alojamiento ofrece cocina.

Ancon Hill está a 29 km del alojamiento, y Estadio Nacional Rod Carew está a 33 km. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 28 km.","Baño privado, Armario, Prohibido fumar en todo el alojamiento, Cocina, Parking gratis, Zona de cocina, Piscina, Vistas al jardín, Tendedero, Suelo de baldosa / mármol, Ventilador, Español, Productos de limpieza, Secador de pelo, Piscina privada, Terraza, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/554661731.jpg?k=50ade1f28db4de36cd14471e14cd277ed2498cee5c24864c9274f9280893d53c&o=&hp=1,El Arado,Panamá
Elegante Habitación 2,https://www.booking.com/hotel/pa/elegante-habitacion-2.es.html?aid=2410095,"Elegante Habitación 2 es un alojamiento con jardín y terraza que está en Arraiján, a 17 km de Puente de Las Americas, a 22 km de Ancon Hill y a 27 km de Estadio Nacional Rod Carew. Esta habitación en casa particular dispone de parking privado gratis, servicio de habitaciones y wifi gratis.

Hay servicio de alquiler de bicicletas y servicio de alquiler de coches en la habitación en casa particular.

Estadio Rommel Fernández está a 38 km del alojamiento, y Estadio Maracana está a 19 km. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 21 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Equipamiento de juegos para exterior, Servicio de planchado, Cenas temáticas, Campo de golf (a menos de 3 km), Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Eventos deportivos en directo (emisión), Fruta, Menú para niños, Fax / fotocopiadora, Servicio de traslado, Supermercado pequeño en el alojamiento, Tarjetas de transporte público, Barbacoa, Parque acuático, Seguridad 24 horas, Alquiler de coches, Tours a pie, Habitaciones familiares, Parking gratis, Clases de cocina, Español, Adaptado personas de movilidad reducida, Alquiler de bicicletas, Detectores de humo, Adaptado para sillas de ruedas, Plancha para pantalones, Servicio de lavandería, Senderismo, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Servicio de limpieza diario, Jardín, Llave de acceso, Tour o clase sobre cultura local, Happy hour, Tours en bici, Guardaequipaje, Información turística, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548567675.jpg?k=7a45bdb924895c217e48f2985ba7436946ba5db247351928713c3af9f4f5ff1f&o=&hp=1,El Arado,Panamá
Hotel America - La Chorrera,https://www.booking.com/hotel/pa/america-la-chorrera.es.html?aid=2410095,"Hotel America - La Chorrera se encuentra en La Chorrera, a 30 km de Puente de Las Americas, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. El alojamiento está a unos 35 km de Ancon Hill, a 40 km de Estadio Nacional Rod Carew y a 32 km de Estadio Maracana. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, todas las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Museo del Canal Interoceánico de Panamá está a 34 km del alojamiento, y Palacio Presidencial está a 35 km. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 34 km del alojamiento.","Baño privado, Zona TV / salón de uso compartido, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Canales vía satélite, Zona de fumadores, Proporciona factura, Extintores, Parking en un garaje, Enchufe cerca de la cama, Artículos de aseo gratis, Teléfono, Perchero, Seguridad 24 horas, Ascensor, Recepción 24 horas, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, TV, Suelo de baldosa / mármol, Detectores de humo, Adaptado para sillas de ruedas, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Armario, Jardín, Servicio de conserjería, Alarma de seguridad, Toallas, Información turística, Ropa de cama, Acceso a pisos superiores en ascensor, Terraza, TV de pantalla plana, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495420147.jpg?k=28a757fc5b95bcc3e64894ba7e4c6a94ea07f1941faee44f9be38567b78dde81&o=&hp=1,El Arado,Panamá
Cozy & comfy house,https://www.booking.com/hotel/pa/cozy-amp-comfy-house.es.html?aid=2410095,"Cozy & comfy house está en La Chorrera, a 37 km de Ancon Hill, a 39 km de Estadio Nacional Rod Carew y a 32 km de Estadio Maracana. Este alojamiento con aire acondicionado está a 30 km de Puente de Las Americas y ofrece wifi gratis y parking privado en el propio alojamiento.

Esta casa o chalet ofrece acceso directo a una terraza y cuenta con 3 dormitorios y cocina totalmente equipada. Hay TV de pantalla plana.

Museo del Canal Interoceánico de Panamá está a 34 km del alojamiento, y Palacio Presidencial está a 34 km. El aeropuerto (Aeropuerto internacional de Panamá Pacífico) está a 33 km.","Prohibido fumar en todo el alojamiento, Cocina, TV de pantalla plana, Parking gratis, WiFi gratis, Plancha para ropa, Español, Francés, Inglés, Secador de pelo, Habitaciones sin humo, Aire acondicionado, Terraza, Lavadora, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522827741.jpg?k=7390b51e27903b0d0bd0401764c2dd79191e8e9bc0b7d1dfa104a4bff1ef5b88&o=&hp=1,El Arado,Panamá
Gatun Lake Lodge Hotel,https://www.booking.com/hotel/pa/gatun-lake-lodge.es.html?aid=2410095,"Gatun Lake Lodge Hotel tiene vistas a la montaña y se encuentra en Pueblo Nuevo. Cuenta con restaurante, salón de uso común, bar, jardín, piscina al aire libre abierta todo el año y terraza. En el bed and breakfast, tanto el wifi como el parking privado son gratis.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

En el alojamiento se puede disfrutar de un desayuno a la carta, americano o vegetariano.

Se puede descubrir la zona practicando senderismo o pesca en los alrededores.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 56 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Vistas a la piscina, Restaurante, Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Balcón, Mobiliario exterior, Servicio de traslado, Menú para niños, Vistas a la montaña, Toallas / sábanas (por un suplemento), Extintores, Vistas al jardín, Piscina con vistas, Desayuno, Artículos de aseo gratis, Abierta todo el año, Bar, Capilla, Patio, Tours a pie, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Piscina climatizada, Vistas al río, Parking gratis, Terraza / solárium, Toallas de playa/piscina, Español, Inglés, Ruta de bares, Traslado aeropuerto, Vistas al lago, Chimenea exterior, Senderismo, Habitaciones sin humo, Papel higiénico, Jardín, Toallas, Información turística, 2 piscinas, Zona de comedor, Para todas las edades, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/410000413.jpg?k=4f7e556543efcb9f0ab3795fbf617c6620e235f02a1c381bddd17bd3bfb3b8b6&o=&hp=1,El Arado,Panamá
Summit Rainforest Golf Resort & All Inclusive,https://www.booking.com/hotel/pa/radisson-summit.es.html?aid=2410095,"El Summit Rainforest & Golf Resort está ubicado en plena selva tropical, dentro del parque nacional Camino de Cruces y a solo 2 km del canal de Panamá. Ofrece 2 piscinas al aire libre, 4 senderos naturales, una granja de mariposas y una granja de ranas, un campo de golf de 18 hoyos y un centro de rescate y rehabilitación.

Las habitaciones del Summit Hotel & Golf son elegantes y están equipadas con aire acondicionado, balcón privado, TV por cable de pantalla plana, soporte para iPod y artículos de aseo.

El Summit Hotel alberga 2 restaurantes y un bar, en los que se puede disfrutar de platos de cocina internacional y vistas espectaculares. Todos los días se sirve un desayuno continental gratuito.

Hay mostrador de información turística y recepción 24 horas con servicio de alquiler de coches. Además, proporciona un servicio de traslado gratuito en un horario programado a las esclusas de Miraflores y al centro comercial Albrook, ambos situados a poca distancia. El establecimiento se halla a 25 minutos en coche del centro de Panamá y a 30 minutos en coche del aeropuerto. Los huéspedes disponen de servicio de enlace con el aeropuerto, por un suplemento.","Zapatillas, Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Zona de fumadores, Menú para niños, Servicio de despertador, Cafetera, Abierta todo el año, Cesta para mascotas, Registro de entrada / salida privado, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Registro de entrada y salida exprés, Inglés, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Almuerzos para llevar, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Para todas las edades, Balcón, Equipamiento de juegos para exterior, Restaurante, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Horario de apertura, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Supermercado pequeño en el alojamiento, Vistas al jardín, Secador de pelo, Aire acondicionado, Tours a pie, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Buffet para niños, Servicio de lavandería, Senderismo, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Alarma de seguridad, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Campo de golf (a menos de 3 km), WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Servicio de limpieza en seco, Extintores, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Piscina al aire libre, Teléfono, Seguridad 24 horas, Bar, Recepción 24 horas, Habitaciones familiares, Radio, Toallas de playa/piscina, Albornoz, Boles para mascotas, Billar, Bañera o ducha, Sombrillas, Papel higiénico, Bañera de hidromasaje / jacuzzi, Reloj despertador, Servicio de conserjería, Llave de acceso, Toallas, Desayuno en la habitación, Información turística, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Canales vía satélite, Servicio de traslado, Apoyo visual: braille, Barbacoa, Artículos de aseo gratis, Ascensor, Dardos, Centro de negocios, Servicio de despertador / alarma, Taquillas, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/266533896.jpg?k=1ae06bb30651714d77addd0b55089919655aecc0c894c960a959a7de32cb1da8&o=&hp=1,El Arado,Panamá
Gamboa Rainforest Reserve,https://www.booking.com/hotel/pa/gamboa-rainforest-resort.es.html?aid=2410095,"El Gamboa Rainforest Reserve está situado en el parque nacional Soberanía y ofrece una piscina al aire libre, un spa sensorial y vistas impresionantes al río Chagres. Se encuentra a solo 30 minutos en coche de Panamá. El establecimiento proporciona conexión WiFi gratuita en todas las habitaciones.

Las habitaciones y suites del Gamboa Rainforest Reserve incluyen aire acondicionado, balcón con vistas al jardín o al río, TV de pantalla plana por cable y baño de mármol con artículos de aseo gratuitos.

El restaurante del Gamboa sirve cocina internacional y proporciona servicio de habitaciones. El complejo también cuenta con una tienda de regalos y un mostrador de información turística, donde podrá reservar el servicio de enlace con el aeropuerto y organizar excursiones por la selva.

El Gamboa Rainforest Reserve se halla a 2 minutos en coche del canal de Panamá y a unos 35 minutos, también en coche, del centro comercial Albrook Mall y del aeropuerto de Panamá. El establecimiento dispone de aparcamiento privado gratuito.","Baño privado, Servicio de planchado, Zona de fumadores, Proporciona factura, Servicio de despertador, Pista de tenis, Abierta todo el año, Registro de entrada / salida privado, Plancha para ropa, TV, Detectores de humo, Zona de juegos para niños, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Para todas las edades, Equipamiento de juegos para exterior, Restaurante, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Zona de estar, Vistas al jardín, Secador de pelo, Aire acondicionado, Tours a pie, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Servicio de lavandería, Senderismo, Ping pong, Servicio de limpieza diario, Jardín, Alarma de seguridad, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Campo de golf (a menos de 3 km), WiFi gratis, Mobiliario exterior, Canales por cable, Escritorio, Servicio de limpieza en seco, Extintores, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Juegos de mesa / puzles, Buen desayuno, Piscina al aire libre, Equipamiento de tenis, Teléfono, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Peluquería / salón de belleza, Habitaciones familiares, Pesca, Radio, 3 restaurantes, Alquiler de bicicletas, Suelo de baldosa / mármol, Caja fuerte, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Reloj despertador, Tour o clase sobre cultura local, Toallas, Desayuno en la habitación, Información turística, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Ciclismo, Artículos de aseo gratis, Snack-bar, Perchero, Ascensor, Centro de negocios, Servicio de despertador / alarma, Armario, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/84370901.jpg?k=777396be3e949147cd71fff1e5f2f9887d84d0e7042255f95f2f9c000695f2ec&o=&hp=1,El Arado,Panamá
Pacific Coast Hotel,https://www.booking.com/hotel/pa/pacific-coast-playa-veracruz.es.html?aid=2410095,"Pacific Coast Hotel tiene piscina al aire libre, centro de fitness, jardín y restaurante en Playa Bonita Village. Este hotel de 3 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. Playa de Veracruz está a 9 min a pie del hotel y Playa Venao, a 2 km.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales vía satélite. En el hotel, las habitaciones tienen ropa de cama y toallas.

El personal de recepción habla tanto inglés como español y está dispuesto a ayudar en cualquier momento.

Puente de Las Americas está a 13 km del alojamiento, y Ancon Hill está a 20 km. El aeropuerto (Aeropuerto internacional de Panamá Pacífico) está a 3 km.","Restaurante, Baño privado, WiFi gratis, Tumbonas/sillas de playa, Horario de apertura, Canales vía satélite, Zona poco profunda, Desayuno, Piscina al aire libre, Abierta todo el año, Recepción 24 horas, Bar, Aire acondicionado, Habitaciones familiares, Ducha, Español, Gimnasio, Inglés, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Sombrillas, Jardín, Toallas, Ropa de cama, Para todas las edades, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/437362653.jpg?k=b805e631b0954817e6e82a8b01250cec3e5e04cb5968314edea1d4c84e9fc8c3&o=&hp=1,El Arado,Panamá
"Holiday Inn Panama Canal, an IHG Hotel",https://www.booking.com/hotel/pa/holiday-inn-panama.es.html?aid=2410095,"El hotel Holiday Inn Panama Canal ofrece un patio ajardinado con una piscina al aire libre, conexión a internet por cable gratuita y un centro de fitness equipado.

Las habitaciones y suites presentan una decoración original y disponen de aire acondicionado, utensilios de planchado, un escritorio, cafetera, TV por cable, minibar y secador de pelo. El baño privado incluye bañera o ducha y algunas habitaciones están adaptadas para personas de movilidad reducida.

El restaurante del establecimiento tiene vistas al canal de Panamá y prepara desayunos, comidas y cenas. El Brookends, el bar del vestíbulo, sirve una gran selección de bebidas.

El Holiday Inn Panama Canal, situado a 20 minutos en coche del centro histórico de Panamá, está cerca de numerosos lugares de interés turístico, como la zona turística de la calzada de Amador, a 2 km, y el mercado de artesanía, a 1 km. El establecimiento se encuentra a 10 minutos en coche del aeropuerto internacional Marcos A. Gelabert.","Baño privado, Servicio de planchado, Zona de fumadores, Menú para niños, Proporciona factura, Servicio de despertador, Cafetera, Abierta todo el año, Plancha para ropa, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Máquina expendedora (bebidas), Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Para todas las edades, Restaurante, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Salas de reuniones / banquetes, Fax / fotocopiadora, Caja fuerte para ordenador portátil, Secador de pelo, Aire acondicionado, Ducha, Sofá, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Plancha para pantalones, Servicio de lavandería, Máquina expendedora (aperitivos), Servicio de limpieza diario, Jardín, Alarma de seguridad, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Mobiliario exterior, Canales por cable, Escritorio, Servicio de limpieza en seco, Extintores, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Bar, Recepción 24 horas, Radio, Suelo de baldosa / mármol, Caja fuerte, Adaptado para sillas de ruedas, Sombrillas, Papel higiénico, Reloj despertador, Servicio de conserjería, Toallas, Tumbonas/sillas de playa, Canales vía satélite, Artículos de aseo gratis, Snack-bar, Perchero, Ascensor, Centro de negocios, Servicio de despertador / alarma, Armario, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/273742992.jpg?k=fc0a707533916afaed08303d17964330e1c4b5ba554e6506853f0c217d4de20d&o=&hp=1,El Arado,Panamá
"Beautiful air conditioned villa for singles, couples, families and groups cozy stay",https://www.booking.com/hotel/pa/villa-amalina.es.html?aid=2410095,"Beautiful air conditioned villa for singles, couples, families and groups cozy stay es un alojamiento con jardín y terraza que se encuentra en La Chorrera, a 37 km de Puente de Las Americas, a 44 km de Ancon Hill y a 47 km de Estadio Nacional Rod Carew. Este apartamento ofrece parking privado gratis, recepción 24 horas y wifi gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Estadio Maracana está a 39 km del alojamiento, y Museo del Canal Interoceánico de Panamá está a 41 km. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 40 km.","Baño privado, Servicio de planchado, Cocina, Vistas, Calefacción, Tendedero, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Utensilios de cocina, Zona de fumadores, Productos de limpieza, Supermercado pequeño en el alojamiento, Toallas / sábanas (por un suplemento), Lavadora, Zona de juegos interior, Servicio de limpieza en seco, Parking en un garaje, Zona de comedor exterior, Vistas al jardín, Enchufe cerca de la cama, Caja fuerte para ordenador portátil, Servicio de despertador, Artículos de aseo gratis, Tetera / cafetera, Seguridad 24 horas, Fogones, Recepción 24 horas, Aire acondicionado, Patio, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Sofá, Entrada privada, Parking gratis, Terraza / solárium, Terraza, Español, Suelo de baldosa / mármol, Mesa de comedor, Registro de entrada y salida exprés, Plancha para pantalones, Servicio de lavandería, Boles para mascotas, Sofá cama, Inglés, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Armario, Toda la unidad en la planta baja, Zona de cocina, Jardín, Ropa de cama, Alarma de seguridad, Llave de acceso, Toallas, Guardaequipaje, Nevera, Zona de comedor, WC, Wifi buena gratis (46 Mbps)",https://cf.bstatic.com/xdata/images/hotel/max1024x768/507649995.jpg?k=bf04e4f3ed9f8c0f7818ead1672286754252ebc67eabaf796a1d709296157488&o=&hp=1,El Arado,Panamá
