hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hostel Cosmo,US$23,"9,9",Excepcional,17,https://cf.bstatic.com/xdata/images/hotel/max1024x768/511979264.webp?k=bd1d986c2c792df6e4ffa817d44b941548eee8ed94bbfd0520c29c8fbc2e8a3a&o=,https://www.booking.com/hotel/ar/hostel-cosmo.es.html?aid=2410095,"Inglés, Acceso a pisos superiores solo por escalera, Calefacción, Jardín, Wifi gratis, Español, Juegos de mesa/rompecabezas, Prohibido fumar en todo el establecimiento, Ropa de cama, Desayuno, Portugués, Estacionamiento privado, Enchufe cerca de la cama, Terraza, Bar",El Bolsón,Argentina,"El Hostel Cosmo es un alojamiento sostenible con jardín y vistas a la montaña situado en El Bolsón, a 21 km del lago Puelo. Hay estacionamiento privado y wifi gratis en todas las instalaciones. El cerro Perito Moreno - El Bolsón está a 25 km y el lago Epuyen, a 42 km.

Se proporciona ropa de cama.

El alojamiento alberga un bar. En las inmediaciones hay varios sitios para comer.

El aeropuerto más cercano es el de El Bolsón, ubicado a 1 km del Hostel Cosmo."
"Hostel ""La Casita Naranja""",US$18,"9,2",Fantástico,308,https://cf.bstatic.com/xdata/images/hotel/max1024x768/407714234.webp?k=87b4943d57774111d64f7514eb5c883c495be84f0a23a2fad810fdd88cd893a5&o=,https://www.booking.com/hotel/ar/hostel-quot-la-casita-naranja-quot-el-bolson123.es.html?aid=2410095,"Información turística, Campo de golf (a menos de 3 km), Español, Prohibido fumar en todo el establecimiento, Máquina expendedora (bebidas), Equitación, Jardín, Guardaequipaje, Servicio de transfer, Enchufe cerca de la cama, Servicio de conserjería, Zona de fumadores, Calefacción, Servicio diario de limpieza, Solo para adultos, Servicio de lavandería, Baño compartido, Pesca, Habitaciones para no fumadores, Zona TV/salón compartidos, Wifi gratis, Cocina compartida, Cenas temáticas, Mobiliario exterior, Juegos de mesa/puzzles, Zona de pícnic, Extintores",El Bolsón,Argentina,"El Hostel ""La Casita Naranja"" se encuentra en El Bolsón y ofrece alojamiento solo para adultos con bar, salón compartido y jardín. Cuenta con cocina compartida, servicio de conserjería y wifi gratis en todas las instalaciones. El alojamiento cuenta con mostrador de información turística y consigna de equipaje.

Las habitaciones incluyen hervidor de agua. Las habitaciones incluyen ropa de cama.

En el Hostel ""La Casita Naranja"" se puede jugar a los dardos.

La plaza Pagano se encuentra a 1,1 km del alojamiento, mientras que el parque nacional Lago Puelo está a 19 km."
"Hostel,Dormis y Camping Costa Bolsón",US$15,"8,2",Muy bien,6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/515358366.webp?k=36b7f4193bbd42e1a668750fba2b42146eaef7a7eb5742d21b161ddec536f6d5&o=,https://www.booking.com/hotel/ar/hostel-dormis-y-camping-costa-bolson.es.html?aid=2410095,"Estacionamiento gratuito, Información turística, Vista, Sillas y reposeras, Acceso a pisos superiores solo por escalera, Extintores, Parrilla, Traslados (aeropuerto), Español, Buffet para menores, Tour o clase sobre la cultura local, Entrada privada, Prohibido fumar en todo el establecimiento, Vista al río, Ropa de cama, Snack-bar, Habitaciones aptas para alérgicos, Inglés, Minimercado en la propiedad, Proporciona factura, Mesa de comedor, Jardín, Guardaequipaje, Servicio de transfer, Baño, Papel higiénico, Enchufe cerca de la cama, Portugués, Servicio de conserjería, Zona de fumadores, Acceso con llave, Zona de comedor, Servicio diario de limpieza, Ducha, Seguridad las 24 horas, Vista al jardín, Baño compartido, Zona de comedor exterior, Zona TV/salón compartidos, Hornalla, Wifi gratis, Cocina compartida, Vista a la montaña, Mobiliario exterior, Cambio de moneda, Patio, Lockers, Balcón, Zona de pícnic, Menú para menores, Bar",El Bolsón,Argentina,"El alojamiento se encuentra en El Bolsón, a 22 km del lago Puelo. El Hostel, Dormis y Camping Costa Bolsón ofrece alojamiento con jardín, estacionamiento privado gratuito, salón compartido y bar. También cuenta con mostrador de información turística, consigna de equipaje y wifi gratis en todas las instalaciones. El alojamiento ofrece cocina compartida, servicio de conserjería y cambio de divisa.

Las habitaciones del hostel tienen balcón con vistas a la montaña. Todas las habitaciones del Hostel, Dormis y Camping Costa Bolsón están equipadas con baño compartido y ropa de cama.

El cerro Perito Moreno - El Bolsón se encuentra a 26 km del alojamiento, mientras que el lago Epuyen está a 43 km. Por un adicional, el Hostel, Dormis y Camping Costa Bolsón ofrece un servicio de link con el aeropuerto de El Bolsón, el más cercano, ubicado a 2 km."
La Casa De La Abuela Departamentos,US$42,"9,2",Fantástico,64,https://cf.bstatic.com/xdata/images/hotel/max1024x768/116072011.webp?k=fa0a8999405730257106cb0c1e9839196b71b0cf40088c7b4e2e3c8fbea7f625&o=,https://www.booking.com/hotel/ar/la-casa-de-la-abuela.es.html?aid=2410095,"Información turística, Español, Juegos de mesa/rompecabezas, Entrada privada, Prohibido fumar en todo el establecimiento, Ropa de cama, Cama plegable, Inglés, Cocina, Mesa de comedor, Toallas/sábanas (cargos extra), Utensilios de cocina, Papel higiénico, Tetera/Cafetera, Enchufe cerca de la cama, Secador de pelo, Habitaciones familiares, Piso de baldosa/mármol, Kitchenette, Calefacción, Horno, Zona de comedor, Productos de limpieza, Toallas, Heladera, Ducha, Ventilador, Wifi gratis, Baño privado, Perchero de barral",El Bolsón,Argentina,"La Casa De La Abuela está situada en El Bolsón, a solo 150 metros de la plaza Pagano. Ofrece wifi gratis en todas las instalaciones.

El alojamiento cuenta con TV con canales por cable, una zona de comedor y una zona de cocina equipada con horno, tostadora y heladera. El baño privado incluye una bañera o ducha. Se proporcionan las toallas.

El Parque Nacional de Lago Puelo se encuentra a 17 km del alojamiento La Casa De La Abuela."
Pura Vida Hostel,US$18,"8,0",Muy bien,149,https://cf.bstatic.com/xdata/images/hotel/max1024x768/231803139.webp?k=78b2eff7cf0b8278d667a1a3309096bb04623d048accf36749b1000b9d5d50fa&o=,https://www.booking.com/hotel/ar/pura-vida-hostel.es.html?aid=2410095,"Información turística, TV de pantalla plana, Español, Prohibido fumar en todo el establecimiento, Check-in/check-out privado, Jardín, Papel higiénico, Enchufe cerca de la cama, Acceso con llave, Habitaciones familiares, Kitchenette, Calefacción, Toallas, Ducha, Habitaciones para no fumadores, Zona TV/salón compartidos, Buen desayuno, Wifi gratis, Juegos de mesa/puzzles, Piso de madera o parquet",El Bolsón,Argentina,"El Pura Vida Hostel se encuentra en El Bolsón y ofrece conexión wifi gratis, restaurante, bar y jardín.

Este bed and breakfast sirve un desayuno buffet.

El Pura Vida Hostel se encuentra a 700 metros de la plaza Pagano y a 18 km del parque nacional Lago Puelo."
Suite El Sauco,US$42,"9,3",Fantástico,10,https://cf.bstatic.com/xdata/images/hotel/max1024x768/331256533.webp?k=ceec4a91268223f901c219121c5960469897213d491fc5b54608eb56a232023d&o=,https://www.booking.com/hotel/ar/suite-el-sauco.es.html?aid=2410095,"Inglés, Habitaciones familiares, Habitaciones para no fumadores, Vista, TV de pantalla plana, Jardín, Wifi gratis, Español, Balcón, Portugués",El Bolsón,Argentina,"La Suite El Sauco ofrece vistas al jardín y alojamiento con balcón a menos de 1 km de la plaza Pagano. El parque nacional Lago Puelo está a 17 km.

El departamento tiene TV de pantalla plana y 1 dormitorio."
Ankatu Hostel,US$22,"8,6",Fabuloso,118,https://cf.bstatic.com/xdata/images/hotel/max1024x768/319166722.webp?k=df6370d9290e0ea1d2b4108f34b839054e516e8a992a58f68d3b5255163dde53&o=,https://www.booking.com/hotel/ar/hostel-ankatu.es.html?aid=2410095,"Estacionamiento gratuito, Información turística, Español, Prohibido fumar en todo el establecimiento, Inglés, Check-in/check-out privado, Jardín, Guardaequipaje, Papel higiénico, Enchufe cerca de la cama, Zona de fumadores, Habitaciones familiares, Calefacción, Terraza, Habitaciones para no fumadores, Zona TV/salón compartidos, Wifi gratis, Cocina compartida, Cambio de moneda",El Bolsón,Argentina,"El Hostel Ankatu está situado en El Bolsón, acepta mascotas y ofrece conexión WiFi gratuita y zona de parrilla. También hay estacionamiento privado gratuito.

Las habitaciones tienen baño compartido.

El establecimiento cuenta con mostrador de información turística.

La zona es ideal para practicar esquí, ciclismo y otras actividades. El Hostel Ankatu se encuentra a 1,8 km de la plaza Pagano y a 18 km del parque nacional Lago Puelo."
Hostel El Mirador,US$20,"9,3",Fantástico,85,https://cf.bstatic.com/xdata/images/hotel/max1024x768/495666524.webp?k=8d93255e0026b4777d77066091bc1640016c894d2c1cacf430ebfccbaa673431&o=,https://www.booking.com/hotel/ar/hostel-el-mirador-el-bolson2.es.html?aid=2410095,"Cámaras de seguridad en áreas comunes, Microondas, Tours en bici, Tours a pie, Parrilla, Lavarropas, Tour o clase sobre la cultura local, Senderismo, Check-in/check-out privado, Guardaequipaje, Chimenea exterior, Papel higiénico, Secador de pelo, Zona de comedor, Servicio diario de limpieza, Terraza, Ciclismo, Pesca, Wifi gratis, Cocina compartida, Mobiliario exterior, Masajes, Sala de juegos, Zona de estar, Estacionamiento gratuito, Vista, Bidé, Máquina expendedora (bebidas), Mesa de comedor, Servicio de transfer, Vino/Champán, Enchufe cerca de la cama, Calefacción, Ducha, Heladera, Seguridad las 24 horas, Desayuno, Terraza/solárium, Alquiler de autos, Chimenea, Francés, Habitaciones para no fumadores, Vista a la montaña, Noches de películas, Italiano, Servicio de streaming (ej.: Netflix), Zona de juegos interior, TV de pantalla plana, Prohibido fumar en todo el establecimiento, Guardaesquíes, Utensilios de cocina, Baño, Habitaciones insonorizadas, Habitaciones familiares, Alquiler de bicicletas, Horno, Plancha para ropa, Plancha para pantalones, Tostadora, Patio, Juegos de mesa/puzzles, Balcón, Zona de pícnic, Extintores, Bar, Información turística, Sillas y reposeras, Kayaking, Español, Ropa de cama, Snack-bar, Inglés, Minimercado en la propiedad, Pava eléctrica, Jardín, Recorrida de bares, Máquina expendedora (aperitivos), Zona de fumadores, Kitchenette, Esquí, Cámaras de seguridad en exterior del alojamiento, Servicio de lavandería, Vista al jardín, Reproductor de CD, Zona de comedor exterior, Peluquería/salón de belleza, Zona TV/salón compartidos, Esnórquel, Cambio de moneda, TV",El Bolsón,Argentina,"El Hostel El Mirador está situado en El Bolsón, en la región de Río Negro, a 3,7 km de la plaza Pagano, y cuenta con parrilla y terraza. El alojamiento alberga una cafetería. Hay estacionamiento privado gratuito.

Algunas habitaciones tienen vistas a las montañas, al jardín o a la ciudad. El Hostel El Mirador proporciona wifi gratis.

Hay una cocina compartida con cestas para cada habitación. Este hostel sirve un desayuno casero.

Este hostel cuenta con guardaesquíes y servicio de alquiler de autos y bicicletas. En la zona se pueden practicar diversas actividades, como snorkel y ciclismo."
Cabañas Los Lúpulos,US$45,"9,7",Excepcional,149,https://cf.bstatic.com/xdata/images/hotel/max1024x768/363747717.webp?k=39f3f8e07f7ef83b3074e28f54fd51b6db7d581a204b1c00a2fbb1569a11359f&o=,https://www.booking.com/hotel/ar/cabanas-los-lupulos.es.html?aid=2410095,"Estacionamiento gratuito, Información turística, Estacionamiento adaptado para personas con movilidad reducida, TV de pantalla plana, Parrilla, Extintores, Español, Juegos de mesa/rompecabezas, Aire acondicionado, Ropa de cama, Bidé, Inglés, Cocina, Toda la unidad está situada en planta baja, Mesa de comedor, Jardín, Pava eléctrica, Ténder para la ropa, Guardaequipaje, Toda la unidad es accesible mediante silla de ruedas, Utensilios de cocina, Baño, Papel higiénico, Tetera/Cafetera, Enchufe cerca de la cama, Portugués, Zona de fumadores, Bañera o ducha, Kitchenette, Calefacción, Horno, Artículos de tocador gratuitos, Cámaras de seguridad en exterior del alojamiento, Toallas, Productos de limpieza, Servicio de lavandería, Ducha, Vista al jardín, TV, Armario, Ventilador, Habitaciones para no fumadores, Hornalla, Tetera/cafetera en todas las habitaciones, Wifi gratis, Vista a la montaña, Mobiliario exterior, Baño privado, Tostadora, Patio, Juegos de mesa/puzzles, Zona de pícnic, Perchero de barral, Canales vía satélite, Servicio de streaming (ej.: Netflix), Zona de estar",El Bolsón,Argentina,"El Cabañas Los Lúpulos ofrece conexión WiFi gratuira y alojamiento que acepta mascotas en El Bolsón. La plaza Pagano se encuentra a 2,7 km. Hay estacionamiento privado gratuito.

Algunos alojamientos disponen de cocina equipada con horno.

El Parque Nacional Lago Puelo está situado a 15 km del Cabañas Los Lúpulos."
Travesia Sur Hostel,US$19,ver...,ver...,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/520835822.webp?k=50b84e28ad77c304382f0d36a2d4996a9ca3ffd6b8a965a1767dfd8fcb8af560&o=,https://www.booking.com/hotel/ar/travesia-sur.es.html?aid=2410095,"Información turística, Zona de juegos interior, Vista, Parrilla, Español, Prohibido fumar en todo el establecimiento, Estacionamiento privado, Ropa de cama, Habitaciones aptas para alérgicos, Bidé, Inglés, Ping pong, Guardaesquíes, Alarma de seguridad, Senderismo, Check-in/check-out privado, Toallas/sábanas (cargos extra), Jardín, Guardaequipaje, Venta de pase de esquí, Entretenimiento nocturno, Chimenea exterior, Servicio de transfer, Baño, Papel higiénico, Enchufe cerca de la cama, Escuela de esquí, Zona de fumadores, Portugués, Juegos de mesa/puzzles, Habitaciones familiares, Calefacción, Servicio diario de limpieza, Esquí, Cámaras de seguridad en exterior del alojamiento, Servicio de lavandería, Piso de madera o parquet, Ducha, Seguridad las 24 horas, Vista al jardín, Desayuno, Baño compartido, Menú light (a pedido), Armario, Recepción 24 horas, Habitaciones para no fumadores, Francés, Zona TV/salón compartidos, Wifi gratis, Cocina compartida, Vista a la montaña, Mobiliario exterior, Cambio de moneda, Check-in/check-out exprés, Vista a la ciudad, Noches de películas, Balcón, Zona de pícnic, Lockers, Perchero de barral, Extintores, Alquiler de equipos de esquí en la propiedad, Bar",El Bolsón,Argentina,"Travesia Sur Hostel se encuentra en El Bolsón, a 21 km de Lago Puelo, y ofrece alojamiento con jardín, estacionamiento privado, salón de uso común y bar. El hostel tiene wifi gratis y está a unos 25 km de Cerro Perito Moreno – El Bolsón (Laderas) y a 41 km de Lago Epuyén. El alojamiento dispone de cocina compartida, recepción 24 horas y cambio de moneda.

En el hostel, todas las habitaciones cuentan con armario, ropa de cama y un balcón con vistas a la ciudad. En Travesia Sur Hostel, cada habitación incluye baño compartido con bidet.

Se puede jugar al ping-pong en el alojamiento, y la zona es ideal para practicar esquí.

El aeropuerto más cercano (Aeropuerto de El Bolsón) está a 1 km del alojamiento."
Hostel Piltri,US$20,"7,0",Bien,9,https://cf.bstatic.com/xdata/images/hotel/max1024x768/427921720.webp?k=8337458e402dfb7029f2a00d6529e7c24b1ed34feeb607a7ad269a8d519b69b6&o=,https://www.booking.com/hotel/ar/hostel-piltri.es.html?aid=2410095,"Información turística, Zona de juegos interior, Cámaras de seguridad en áreas comunes, Español, Ropa de cama, Inglés, Minimercado en la propiedad, Proporciona factura, Jardín, Guardaequipaje, Chimenea exterior, Papel higiénico, Baño, Enchufe cerca de la cama, Portugués, Servicio de conserjería, Zona de fumadores, Adaptada para personas con discapacidad auditiva, Juegos de mesa/puzzles, Acceso con llave, Habitaciones familiares, Calefacción, Servicio diario de limpieza, Cámaras de seguridad en exterior del alojamiento, Acceso con tarjeta, Ducha, Desayuno, Baño compartido, Zona TV/salón compartidos, Wifi gratis, Cocina compartida, Mobiliario exterior, Cambio de moneda, Check-in/check-out exprés, Sala de juegos, Zona de pícnic, Extintores, Turco",El Bolsón,Argentina,"El HOSTEL PILTRI se encuentra en El Bolsón, en la región de Río Negro, a 400 metros de la plaza Pagano y a 17 km del parque nacional Lago Puelo, y ofrece un bar. El alojamiento cuenta con cocina compartida y wifi gratis en todas las instalaciones.

Todas las habitaciones del hostel disponen de baño compartido con ducha.

El HOSTEL PILTRI sirve un desayuno buffet."
