hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Casa Blanca,https://www.booking.com/hotel/ec/hostal-casa-blanca.es.html?aid=2410095,"Hostal Casa Blanca, que cuenta con jardín, se encuentra en El Coca. Hay terraza, wifi gratis y parking privado gratis.

Las habitaciones del alojamiento disponen de baño privado con ducha, TV de pantalla plana y aire acondicionado. Algunas de las habitaciones están equipadas con balcón.

El personal de recepción puede dar consejos sobre qué hacer o cómo moverse por la zona.

El aeropuerto (Aeropuerto Francisco de Orellana) está a pocos pasos, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Prohibido fumar en todo el alojamiento, Parking gratis, Cambio de moneda, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Tour o clase sobre cultura local, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Detectores de humo, TV, Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, Tarjetas de transporte público, Canales por cable, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Snack-bar, Registro de entrada / salida privado, Jardín, Información turística, Español, Baño privado, Aire acondicionado, Wifi rápida gratis (100 Mbps), Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Servicio de streaming (como Netflix), Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Ducha, Senderismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/316821575.jpg?k=bbd4638a9a9a8a135a4f0df6470e90e7cf5a3090504e1c6a1ada33d807918012&o=&hp=1,El Coca,Ecuador
Hostal Nuevo Amanecer,https://www.booking.com/hotel/ec/hostal-nuevo-amanecer-el-coca.es.html?aid=2410095,"Hostal Nuevo Amanecer está en El Coca y cuenta con bar. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Las habitaciones incluyen patio.

Todas las habitaciones están equipadas con TV de pantalla plana con canales por cable, nevera, cafetera, ducha, artículos de aseo gratuitos y escritorio. Algunas habitaciones de este alojamiento tienen baño privado con bañera y secador de pelo, y también incluyen vistas a la ciudad. Todas las unidades cuentan con armario y hervidor.

El aeropuerto (Aeropuerto Francisco de Orellana) está a pocos pasos.","Cafetera, Minibar, Protector de enchufes para niños, Mesa de comedor, Utensilios de planchado, Baño adicional, Plancha para pantalones, Plancha para ropa, Parking gratis, Aseo adicional, Perchero, Servicio de despertador, Bañera o ducha, Vistas a un patio interior, Zona de estar, Armario, Papel higiénico, Acceso al salón executive, Bar, WiFi gratis, TV, Inglés, Tetera/cafetera en todas las habitaciones, Toallas / sábanas (por un suplemento), Hervidor eléctrico, Vistas a un lugar de interés, Nevera, WC, Canales por cable, Barandillas de seguridad para bebés, Libros, DVD o música para niños, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Artículos de aseo gratis, Secador de pelo, Sofá, Productos de limpieza, Muebles de exterior, Bañera, Toda la unidad accesible en silla de ruedas, Baño privado, Patio, Aire acondicionado, Español, Habitaciones sin humo, Vistas, Vestidor, Enchufe cerca de la cama, Sofá cama, Servicio de despertador / alarma, Recepción 24 horas, Suelo de baldosa / mármol, Escritorio, TV de pantalla plana, Entrada privada, Vídeo, Lavadora, Tetera / cafetera, Ducha, Teléfono",https://cf.bstatic.com/xdata/images/hotel/max1024x768/210876254.jpg?k=3980d64663fce13291fe5ed6ed84951434ca8146815ead7a328da6dfd6debdd3&o=&hp=1,El Coca,Ecuador
Hotel Coca Imperial,https://www.booking.com/hotel/ec/coca-imperial.es.html?aid=2410095,"Hotel Coca Imperial se encuentra en Puerto Francisco de Orellana y cuenta con bar. Este hotel de 3 estrellas ofrece salón de uso común y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, todas las habitaciones disponen de escritorio. Todas las unidades del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

La clientela puede practicar actividades en Puerto Francisco de Orellana y alrededores, como ciclismo.

El aeropuerto más cercano (Aeropuerto Francisco de Orellana) está a 1 km.","Parking en un garaje, Fruta, Registro de entrada y salida exprés, Canales vía satélite, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Plancha para ropa, Menús para dietas especiales (bajo petición), Parking gratis, Sombrillas, Aseo adicional, Llave de acceso, Servicio de limpieza diario, Perchero, Servicio de despertador, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Servicio de aparcacoches, Bar, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Toallas / sábanas (por un suplemento), Pesca, Baños públicos, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Vino / champán, Snack-bar, Artículos de aseo gratis, Cafetería en el alojamiento, Registro de entrada / salida privado, Información turística, Fax / fotocopiadora, Almuerzos para llevar, Tours a pie, Muebles de exterior, Español, Baño privado, Aire acondicionado, Vistas a la ciudad, Habitaciones sin humo, Enchufe cerca de la cama, Vestidor, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Ruta de bares, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, TV de pantalla plana, Vídeo, Ducha, Desayuno en la habitación, Senderismo, Teléfono, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/230038493.jpg?k=55eb76c53c4498d9005692396b0e1544eb2da4bdd334c135521d51b756d5945b&o=&hp=1,El Coca,Ecuador
Hostal R. Williams,https://www.booking.com/hotel/ec/hostal-r-williams-puerto-francisco-de-orellana.es.html?aid=2410095,"Hostal R. Williams está en Puerto Francisco de Orellana. Este alojamiento, que tiene habitaciones familiares, también ofrece terraza solárium. El alojamiento dispone de cocina compartida, servicio de conserjería y servicio de organización de tours.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de wifi gratis. Algunas de las habitaciones también ofrecen vistas a la ciudad. Las unidades de este alojamiento disponen de aire acondicionado y escritorio.

En el hostal o pensión se puede disfrutar de un desayuno continental.

En la recepción 24 horas, el personal habla inglés, español y francés.

El aeropuerto más cercano (Aeropuerto Francisco de Orellana) está a 1 km.","Parking en un garaje, Minibar, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Parking gratis, Servicio de limpieza diario, Bañera o ducha, Tour o clase sobre cultura local, Seguridad 24 horas, Papel higiénico, Cocina compartida, Servicio de lavandería, Detectores de humo, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, WC, Canales por cable, Proporciona factura, Canales de pago, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Información turística, Artículos de aseo gratis, Productos de limpieza, Español, Baño privado, Aire acondicionado, Enchufe cerca de la cama, Extintores, Servicio de despertador / alarma, Recepción 24 horas, Suelo de baldosa / mármol, Francés, Escritorio, TV de pantalla plana, Desayuno excepcional, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/412090150.jpg?k=071221f5ae5a79a5456dd6d101999e83aa507353acac4a24914a4ceebd11c3f7&o=&hp=1,El Coca,Ecuador
Hotel El Auca,https://www.booking.com/hotel/ec/el-auca.es.html?aid=2410095,"El Hotel El Auca, en servicio durante más de 45 años, ofrece alojamiento en el centro de El Coca, en Puerto Francisco de Orellana. Dispone de spa, centro de fitness, sauna y bañera de hidromasaje. También hay bar y restaurante.

Las habitaciones de este hotel tienen aire acondicionado, TV y baño privado con ducha.

El establecimiento ofrece recepción 24 horas.

El aeropuerto más cercano es el aeropuerto Francisco de Orellana, situado a 1 km.","Parking en un garaje, Fruta, Registro de entrada y salida exprés, Servicio de planchado, Masajes, Parking gratis, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Caja fuerte, Seguridad 24 horas, Servicio de lavandería, Bar, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Menú para niños, Gimnasio, Alarma de seguridad, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Zona de fumadores, Registro de entrada / salida privado, Snack-bar, Jardín, Información turística, Centro de negocios, Almuerzos para llevar, Bañera de hidromasaje / jacuzzi, Español, Aire acondicionado, Sauna, Habitaciones sin humo, Extintores, Restaurante, Spa y centro de bienestar, Recepción 24 horas, Guardaequipaje, Buen desayuno, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/278709942.jpg?k=7f4f7230b394665171a9dadfad6cf33be1528b80f1c3179e2a0dcbef34f2da58&o=&hp=1,El Coca,Ecuador
Hotel Torre Orquídea,https://www.booking.com/hotel/ec/torre-orquidea.es.html?aid=2410095,"Hotel Torre Orquídea se encuentra en Puerto Francisco de Orellana. Este hotel de 2 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece recepción 24 horas, servicio de conserjería y servicio de organización de tours.

En el hotel, cada habitación incluye escritorio. Las habitaciones del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto Francisco de Orellana) está a 1 km.","Servicio de planchado, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Servicio de limpieza diario, Salas de reuniones / banquetes, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Detectores de humo, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Toallas / sábanas (por un suplemento), Baños públicos, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Snack-bar, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Cafetería en el alojamiento, Centro de negocios, Productos de limpieza, Fax / fotocopiadora, Almuerzos para llevar, Ascensor, Bañera, Español, Baño privado, Aire acondicionado, Extintores, Restaurante, Sofá cama, Recepción 24 horas, Escritorio, TV de pantalla plana, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/379041990.jpg?k=d34893a1883cd427ceb8177c899fc8bc002a1892edfa93d1407c7dcfdb25a10f&o=&hp=1,El Coca,Ecuador
Residencial RM,https://www.booking.com/hotel/ec/residencial-rm.es.html?aid=2410095,"Residencial RM se encuentra en Puerto Francisco de Orellana. Cada habitación cuenta con TV con canales por cable.

Las habitaciones del alojamiento tienen wifi gratis y baño privado con ducha y artículos de aseo gratuitos. Algunas de las habitaciones también están equipadas con balcón. En el hostal o pensión, cada habitación tiene ropa de cama y toallas.

El personal habla inglés y español, y estará encantado de dar información sobre la zona en la recepción 24 horas.

El aeropuerto más cercano (Aeropuerto Francisco de Orellana) está a 1 km del alojamiento.","Parking gratis, Perchero, Bañera o ducha, Papel higiénico, WiFi gratis, TV, Inglés, WC, Canales por cable, Toallas, Artículos de aseo gratis, Bañera, Español, Aire acondicionado, Baño privado, Habitaciones sin humo, Recepción 24 horas, Tendedero, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/466189172.jpg?k=a3e8650337008dc86c8ec6b7e65f4f5d3221b27fdd7675389f6825adced348fd&o=&hp=1,El Coca,Ecuador
Confortable Apartamento,https://www.booking.com/hotel/ec/confortable-apartamento.es.html?aid=2410095,"Confortable Apartamento, que tiene terraza, dispone de alojamiento en Puerto Francisco de Orellana con wifi gratis y vistas al jardín. Este apartamento tiene jardín y parking privado gratis.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera y lavavajillas.

El aeropuerto (Aeropuerto Francisco de Orellana) está a 1 km.","Cafetera, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de cocina, Parking gratis, Terraza, Papel higiénico, Utensilios de cocina, TV, Lavavajillas, Nevera, Toallas, Wifi buena gratis (37 Mbps), Jardín, Español, Aire acondicionado, Balcón, Habitaciones sin humo, Enchufe cerca de la cama, Cocina, TV de pantalla plana, Ducha, Tostadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/499333356.jpg?k=63915be2aa294309f285861f0913ca09e5a3e1614a62f961fba816c32c69fc10&o=&hp=1,El Coca,Ecuador
Hostería Chambira,https://www.booking.com/hotel/ec/hosteria-chambira.es.html?aid=2410095,"Hostería Chambira, que tiene restaurante y bar, está en Puerto Francisco de Orellana. Este hotel de 3 estrellas ofrece jardín y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

En el hotel, las habitaciones cuentan con armario. Todas las habitaciones del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

Hostería Chambira ofrece desayuno continental o americano.

El aeropuerto (Aeropuerto Francisco de Orellana) está a 11 km.","Prohibido fumar en todo el alojamiento, Piscina, Desayuno, Parking gratis, Perchero, Armario, Papel higiénico, Bar, WiFi gratis, Servicio de habitaciones, Toallas, Jardín, Artículos de aseo gratis, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Vistas, Recepción 24 horas, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529552944.jpg?k=85e4c4ec5e94219467d9ef652e2f8974d08c7b3567ee892c5ff86865ac4d776c&o=&hp=1,El Coca,Ecuador
Hotel Mirador Sacha,https://www.booking.com/hotel/ec/mirador-sacha.es.html?aid=2410095,"Hotel Mirador Sacha dispone de habitaciones con aire acondicionado en La Joya de los Sachas. El hotel también ofrece wifi gratis y parking privado gratis.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Todas las unidades disponen de baño privado, artículos de aseo gratuitos y ropa de cama.

El personal, que habla inglés y español, ofrece información en la recepción.

El aeropuerto más cercano (Aeropuerto Francisco de Orellana) está a 32 km.","Prohibido fumar en todo el alojamiento, Parking gratis, Servicio de limpieza diario, Papel higiénico, Servicio de lavandería, WiFi gratis, TV, Inglés, WC, Servicio de habitaciones, Toallas, Jardín, Artículos de aseo gratis, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520601808.jpg?k=74a84f2e211ce9e6c06a6f3b74fe0e731cddc76f5e4a177b9b4faed17567b84d&o=&hp=1,El Coca,Ecuador
