hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hospedaje Las Uvas,https://www.booking.com/hotel/pa/hospedaje-las-uvas.es.html?aid=2410095,"Hospedaje Las Uvas se encuentra en Las Uvas, a 2 km de Playa Grande Escondida y a 2,1 km de Playa Los Panamá. Ofrece alojamiento con wifi gratis, aire acondicionado y acceso a unjardín con piscina al aire libre.

El lodge ofrece zona de estar con TV de pantalla plana y baño privado con artículos de aseo gratuitos y ducha.

Playa de Río Mar está a 2,5 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 94 km del alojamiento.","Papel higiénico, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Sombrillas, TV de pantalla plana, Horario de apertura, WC, Hipoalergénico, Enchufe cerca de la cama, Abierta todo el año, Ducha, Artículos de aseo gratis, Jardín, Para todas las edades, Piscina al aire libre, WiFi gratis, Perchero, Zona de estar, Tumbonas/sillas de playa, Habitaciones familiares, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/416789090.jpg?k=fcbe01ff3ca99a90a67998f3a64752a458ce467100872dbf5a4ba0d34895ae7e&o=&hp=1,El Espino,Panamá
Istmo Beach and Jungle Bungalows,https://www.booking.com/hotel/pa/istmo-yoga-and-adventure-retreat.es.html?aid=2410095,"Este establecimiento vacacional exclusivo se encuentra a 5 minutos a pie de una playa apartada. Cuenta con 5 alojamientos diferentes. El Istmo Beach and Jungle Bungalows ofrece laberinto de meditación a pie, un sendero natural y áreas dedicadas para la relajación y la meditación en Playa Grande, San Carlos, en la región de Panamá. Los huéspedes pueden disfrutar de vistas a la selva que rodea el establecimiento.

Todos los bungalows disponen de aire acondicionado, baño privado con agua caliente, nevera y patio con hamacas y vistas panorámicas al establecimiento. La mayoría de los alojamientos disponen de cocina totalmente equipada con zona de comedor. Se proporciona conexión WiFi gratuita y toallas de playa.

El Istmo Beach and Jungle Bungalows se encuentra en 1,6 hectáreas de selva tropical, a 14 km de Playa Coronado, no virgen, y a 19 km de Playa Blanca.","Ropa de cama, Papel higiénico, Vistas al jardín, Caja fuerte, Baño privado, Vino / champán, Aire acondicionado, Gimnasio, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Detectores de humo, Patio, Playa, Vistas, Detector de monóxido de carbono, Toallas, Bañera o ducha, WC, Barbacoa, Masajes, Entrada privada, Guardaequipaje, Nevera, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Jardín, Llave de acceso, Cafetera, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona de pícnic, Servicio de limpieza diario, Extintores, WiFi gratis, Ventilador, Productos de limpieza, Zona de estar, Tumbonas/sillas de playa, Tetera / cafetera, Habitaciones familiares, Inglés, Balcón, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/112566335.jpg?k=495d0195b630fefe07193ada0de314d556ec32d29b87def5432961fb6467655d&o=&hp=1,El Espino,Panamá
PRANA hOMe,https://www.booking.com/hotel/pa/3.es.html?aid=2410095,"PRANA hOMe está en San Carlos y ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín con terraza.

Las unidades tienen cocina totalmente equipada con nevera, cafetera y tostadora. Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

El tented camp ofrece bañera de hidromasaje.

Se puede descubrir la zona practicando senderismo en los alrededores.

El aeropuerto (Aeropuerto internacional de Panamá Pacífico) está a 100 km.","Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Vistas al jardín, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Juegos de mesa / puzles, Detectores de humo, Zona de cocina, Vistas, Francés, Toallas, Bañera o ducha, WC, Barbacoa, Entrada privada, Senderismo, Nevera, Enchufe cerca de la cama, Terraza, Ducha, Artículos de aseo gratis, Utensilios de cocina, Tours a pie, Jardín, Cafetera, Prohibido fumar en todo el alojamiento, Tostadora, Mesa de comedor, Clases de yoga, Extintores, WiFi gratis, Cocina, Bañera de hidromasaje / jacuzzi, Perchero, Tetera / cafetera, Habitaciones familiares, Inglés, Muebles de exterior, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/478694308.jpg?k=6dad03fbd7b6008a89a0b24f9c7b0be2f6b711f2a11b7ed16379f52f60b2dcc3&o=&hp=1,El Espino,Panamá
"Casa Eden Garden, Panama",https://www.booking.com/hotel/pa/casa-eden-garden-panama.es.html?aid=2410095,"Casa Eden Garden, Panama ofrece alojamiento con piscina al aire libre abierta todo el año, wifi gratis y parking privado gratis en San Carlos.

Las unidades están equipadas con terraza y ofrecen aire acondicionado, TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. También se ofrece nevera, horno y microondas en la zona de cocina, además de cafetera.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

El aeropuerto más cercano (Aeropuerto internacional Scarlett Martínez) está a 27 km del alojamiento.","Papel higiénico, Ropa de cama, Caja fuerte, Inglés, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Suelo de baldosa / mármol, Juegos de mesa / puzles, TV de pantalla plana, Zona de juegos interior, Zona de cocina, Cámaras de seguridad en las zonas comunitarias, Toallas, WC, Cocina compartida, Barbacoa, Nevera, Terraza, Ducha, Artículos de aseo gratis, Utensilios de cocina, Abierta todo el año, Zona de comedor, Jardín, Cafetera, Tostadora, Horno, Zona poco profunda, Microondas, Para todas las edades, Piscina al aire libre, WiFi gratis, Tendedero, Ventilador, TV, Habitaciones familiares, Servicio de streaming (como Netflix), Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/551185461.jpg?k=077fa46ef3356dd023607d23dfa27e53f7535d2c5907f7ea8945a5aab1813c33&o=&hp=1,El Espino,Panamá
Mar y Montaña,https://www.booking.com/hotel/pa/mar-y-montana.es.html?aid=2410095,"Mar y Montaña, que está en Copecito, tiene aire acondicionado y ofrece alojamiento con patio. Este apartamento tiene jardín, zona de barbacoa, wifi gratis y parking privado gratis.

El apartamento dispone de 1 dormitorio, 1 baño, ropa de cama, toallas, TV de pantalla plana, zona de comedor, cocina totalmente equipada y terraza con vistas al jardín.

El aeropuerto (Aeropuerto internacional Scarlett Martínez) está a 27 km.","Ropa de cama, Papel higiénico, Vistas al jardín, Inglés, Baño privado, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Vistas a un patio interior, Detectores de humo, Patio, TV de pantalla plana, Toda la unidad en la planta baja, Zona de cocina, Vistas, Francés, Toallas, Hervidor eléctrico, WC, Barbacoa, Entrada privada, Wifi buena gratis (42 Mbps), Zona de fumadores, Nevera, Habitaciones insonorizadas, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Artículos de aseo gratis, Ducha, Terraza, Lavadora, Zona de comedor, Jardín, Cafetera, Mobiliario exterior, Insonorización, Prohibido fumar en todo el alojamiento, Mosquitera, Tostadora, Independiente, Horno, Microondas, Extintores, Solo para adultos, Cocina, Tendedero, Adosado, Ventilador, Fogones, Productos de limpieza, Zona de estar, Terraza / solárium, Tetera / cafetera, Armario, TV, Servicio de streaming (como Netflix), Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537905493.jpg?k=f82480caed7cb041b7998b1b326578aa70c057fbbf93a1163aaf4245b1534272&o=&hp=1,El Espino,Panamá
san carlos beach inn,https://www.booking.com/hotel/pa/san-carlos-beach-inn-panama.es.html?aid=2410095,"San carlos beach inn está en San Carlos, a 7 min a pie de Playa de El Palmar, y tiene terraza, habitaciones libres de humo y wifi gratis. El alojamiento dispone de traslado para ir o volver del aeropuerto y también hay servicio de alquiler de bicicletas.

Las habitaciones disponen de baño privado con ducha, y algunas también ofrecen cocina con nevera. En el hostal o pensión, las habitaciones incluyen ropa de cama y toallas.

Playa de Río Mar está a 2,3 km del alojamiento. El aeropuerto (Aeropuerto internacional de Panamá Pacífico) está a 90 km.","Papel higiénico, Ropa de cama, Baño privado, Aire acondicionado, Parking gratis, Zona de comedor exterior, Traslado aeropuerto, Playa, Toallas, Cafetería en el alojamiento, Bañera o ducha, WC, Zona de fumadores, Servicio de conserjería, Terraza, Ducha, Alquiler de bicicletas, Llave de acceso, Prohibido fumar en todo el alojamiento, Parking en la calle, Información turística, Alquiler de coches, WiFi gratis, Toallas / sábanas (por un suplemento), Terraza / solárium, Habitaciones familiares, Inglés, Muebles de exterior, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/363243940.jpg?k=fd46e72c12920faf003984308dd3ca739acd989558e5727d492fe7deff94710f&o=&hp=1,El Espino,Panamá
Sweet Dreams,https://www.booking.com/hotel/pa/sweet-dreams.es.html?aid=2410095,"Sweet Dreams está en San Carlos, en la región de Panama Oeste, a pocos pasos de Playa de El Palmar. Ofrece alojamiento con wifi gratis, zona de barbacoa, jardín y parking privado gratis.

Todas las unidades cuentan con un patio con vistas al jardín.

En el bed and breakfast se puede disfrutar de un desayuno continental.

En Sweet Dreams, la clientela puede usar la terraza.

Playa de Río Mar está a 2,4 km del alojamiento. El aeropuerto (Aeropuerto internacional de Panamá Pacífico) está a 91 km.","Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Vistas al jardín, Inglés, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Vistas a un patio interior, Juegos de mesa / puzles, Patio, Desayuno en la habitación, Toda la unidad en la planta baja, Playa, Toallas, WC, Barbacoa, Entrada privada, Zona de fumadores, Servicio de conserjería, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Situado frente a la playa, Jardín, Mobiliario exterior, Cafetera, Llave de acceso, Zona de pícnic, Alemán, Información turística, Extintores, WiFi gratis, Tendedero, Ventilador, Tetera / cafetera, Desayuno excepcional, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/252058302.jpg?k=da15bcb6ce37ff246bbc512e3b9aaefe295a065880e015558d2f7719d6dd5e0b&o=&hp=1,El Espino,Panamá
Hotel Cabañas Casita La Ermita,https://www.booking.com/hotel/pa/casita-la-hermanita-el-higuito.es.html?aid=2410095,"La Hotel Cabañas Casita La Ermita se encuentra en La Ermita De San Carlos, en la región de Panamá, a 14 km de Playa Blanca, y cuenta con una piscina al aire libre abierta durante todo el año y una barbacoa.

Penonomé está a 32 km. El establecimiento ofrece aparcamiento privado gratuito. Las 4 exclusivas villas comparten una piscina de 100 m². Cada villa está totalmente equipada con nevera, microondas, cocina de gas, tostadora, cafetera y barbacoa. También se incluyen carbón, sartenes, vajilla y cubiertos. En la zona se pueden ver animales, como iguanas, loros y colibríes.

Playa Coronado está a 22 km de la Hotel Cabañas Casita La Ermita, mientras que Santa Clara se halla a 10 km.","Vistas a la montaña, Ropa de cama, Papel higiénico, Vistas al jardín, Inglés, Baño privado, Wifi rápida gratis (138 Mbps), Aire acondicionado, Utensilios de planchado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Zona de comedor exterior, Vistas a un patio interior, Piscina con vistas, Patio, Juegos de mesa / puzles, Zona de juegos para niños, Detectores de humo, TV de pantalla plana, Canales por cable, Toda la unidad en la planta baja, Zona de cocina, Vistas, Toallas, Plancha para ropa, Hervidor eléctrico, Bañera o ducha, Barbacoa, Entrada privada, Proporciona factura, Plancha para pantalones, Nevera, Vistas a la piscina, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Artículos de aseo gratis, Ducha, Terraza, Parking adaptado para personas de movilidad reducida, Abierta todo el año, Zona de comedor, Jardín, Escritorio, Cafetera, Mobiliario exterior, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Tostadora, Independiente, Mesa de comedor, Horno, Zona poco profunda, Microondas, Para todas las edades, Piscina al aire libre, Registro de entrada y salida exprés, Extintores, Cocina, Toda la unidad accesible en silla de ruedas, Tendedero, Canales vía satélite, Fogones, Productos de limpieza, Zona de estar, Tumbonas/sillas de playa, Tetera / cafetera, Armario, Habitaciones familiares, Servicio de streaming (como Netflix), TV, Balcón, Radio, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/560263706.jpg?k=e2827b24a74847d10c8d95a6148e623effd3627c66b837092c5787f73d0dfadf&o=&hp=1,El Espino,Panamá
A Piece of Paradise,https://www.booking.com/hotel/pa/lake-view.es.html?aid=2410095,"A Piece of Paradise está en San Carlos y ofrece vistas a la montaña, piscina al aire libre, jardín, terraza y zona de barbacoa. La casa o chalet ofrece wifi y parking privado, ambos gratis.

Todas las unidades están equipadas con balcón con vistas al jardín, cocina con nevera y fogones, y baño privado con ducha. Hay una zona de estar y de comedor en todas las unidades.

Se puede descubrir la zona practicando senderismo en los alrededores.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 104 km.","Masaje de pies, Masaje de cuello, Vistas a la montaña, Ropa de cama, Papel higiénico, Windsurf, Vistas al jardín, Baño privado, Fax / fotocopiadora, Inglés, Aire acondicionado, Eventos deportivos en directo (emisión), Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Juegos de mesa / puzles, Detectores de humo, Patio, Tarjetas de transporte público, Menús para dietas especiales (bajo petición), Playa, Horario de apertura, Vistas, Libros, DVD o música para niños, Toallas, Masaje de manos, WC, Servicio de traslado, Barbacoa, Masajes, Masaje de espalda, Senderismo, Nevera, Zona de fumadores, Canguro / servicios para niños, Enchufe cerca de la cama, Servicio de lavandería, Utensilios de cocina, Ducha, Terraza, Abierta todo el año, Tours a pie, Italiano, Zona de comedor, Lavadora, Jardín, Mobiliario exterior, Pista de tenis, Llave de acceso, Mosquitera, Equitación, Zona de pícnic, Acceso a pisos superiores solo mediante escaleras, Piscina pequeña, Clases de yoga, Servicio de limpieza diario, Masaje corporal completo, Extintores, Para todas las edades, Piscina al aire libre, Masaje de cabeza, Fruta, Paquetes de spa / bienestar, Cocina, Instalaciones de spa, Música / espectáculos en directo, Wifi rápida gratis (129 Mbps), Fogones, Zona de estar, Tumbonas/sillas de playa, Tetera / cafetera, Habitaciones familiares, Independiente, Balcón, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/448262101.jpg?k=f2f385116693b28d2e5d4a29a95e63f666e9cfc3271edfab87c324631e049756&o=&hp=1,El Espino,Panamá
Apartamento Playa Corona,https://www.booking.com/hotel/pa/apartamento-playa-corona-san-carlos.es.html?aid=2410095,"Apartamento Playa Corona está en San Carlos, a pocos pasos de Playa Corona y a 3 min a pie de Playa Grande Escondida, y ofrece alojamiento con wifi gratis, aire acondicionado, piscina al aire libre y terraza. Este alojamiento frente a la playa ofrece parking privado gratis y acceso a un balcón.

El apartamento tiene 2 dormitorios, TV de pantalla plana con canales vía satélite, una cocina equipada, lavadora y 2 baños con ducha.

Hay zona de playa privada en el propio alojamiento.

El aeropuerto más cercano (Aeropuerto internacional Scarlett Martínez) está a 18 km.","Vistas a la montaña, Papel higiénico, Vistas al jardín, Baño privado, Vistas al río, Aire acondicionado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Detectores de humo, Piscina con vistas, Teléfono, TV de pantalla plana, Canales por cable, Playa, Zona de cocina, Vistas, Bañera o ducha, Entrada privada, Sofá, Terraza, Ducha, Abierta todo el año, Vistas al mar, Lavadora, Situado frente a la playa, Prohibido fumar en todo el alojamiento, Zona privada de playa, Piscina privada, Zona poco profunda, Extintores, Para todas las edades, Piscina al aire libre, WiFi gratis, Baño adicional, Cocina, Toda la unidad accesible en silla de ruedas, Secadora de ropa, Canales vía satélite, Apartamento privado en edificio, Perchero, Productos de limpieza, Zona de estar, Piscina infinita, Armario, TV, Balcón, Radio, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569323156.jpg?k=358990a03e8ea9d392794eaa141e57b4d8f5e811ac56d8e38bf2006eb9841514&o=&hp=1,El Espino,Panamá
