hotel,hotel_url,description,popular_facilities,highres_url,city,country
EL TUMBO,https://www.booking.com/hotel/ni/el-tumbo-rivas.es.html?aid=2410095,"EL TUMBO está en El Gigante, a 3 min a pie de Playa Amarillo, y dispone de alojamiento con bicicletas gratis, parking privado gratis, jardín y salón de uso común. Ofrece terraza, bar y zona de playa privada. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis.

En el albergue, las habitaciones tienen escritorio. En EL TUMBO, las habitaciones están equipadas con baño compartido con ducha.

En el alojamiento se sirve todas las mañanas un desayuno americano.

Se puede jugar al ping-pong y a los dardos en EL TUMBO, y la zona es ideal para practicar ciclismo.

Playa Gigante está a 4 min a pie del alojamiento, y Playa La Redonda está a 2,2 km. El aeropuerto más cercano (Aeropuerto Internacional Augusto C. Sandino) está a 115 km.","Papel higiénico, Caja fuerte, Fax / fotocopiadora, Parking gratis, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Patio, Noches de cine, Tarjetas de transporte público, Seguridad 24 horas, Zona de juegos interior, Toda la unidad en la planta baja, Playa, Chimenea exterior, Cámaras de seguridad en las zonas comunitarias, Baño compartido, WC, Cocina compartida, Tours en bici, Bar, Dardos, Guardaequipaje, Ping pong, Senderismo, Entrada privada, Recepción 24 horas, Servicio de lavandería, Terraza, Ducha, Tours a pie, Alquiler de bicicletas, Jardín, Escritorio, Mobiliario exterior, Happy hour, Zona TV / salón de uso compartido, Zona privada de playa, Zona de pícnic, Servicio de limpieza diario, Tour o clase sobre cultura local, Extintores, Alquiler de coches, WiFi gratis, Ciclismo, Ventilador, Billar, Terraza / solárium, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/445636095.jpg?k=1b8d098838d43bc7ae83a7e727fa6014691fd5875e2e36d7906f8a83f2c636a2&o=&hp=1,El Gigante,Honduras
Coconut House,https://www.booking.com/hotel/ni/coconut-house.es.html?aid=2410095,"Coconut House es un alojamiento con vistas al mar que está en El Gigante, a pocos pasos de Playa Amarillo y a 1 min a pie de Playa Gigante. Este alojamiento ofrece parking privado gratis y acceso a un patio.

El apartamento incluye 1 dormitorio, 1 baño con ducha, una zona de estar y una cocina con nevera.

Playa La Redonda está a 2,5 km del alojamiento. El aeropuerto (Aeropuerto Internacional Augusto C. Sandino) está a 116 km.","Vistas a la montaña, Papel higiénico, Vistas al jardín, Inglés, Baño privado, Parking gratis, Habitaciones sin humo, Patio, Playa, Sofá cama, Toallas, Nevera, Sofá, Enchufe cerca de la cama, Suelo de madera o parquet, Ducha, Vistas al mar, Prohibido fumar en todo el alojamiento, Mesa de comedor, Cocina, Tendedero, Ventilador, Zona de estar, Tetera / cafetera, Independiente, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516778911.jpg?k=215dd8245c7453243ef88a2d6364256be07d5c4d1514ce511f590b9f195ccb4e&o=&hp=1,El Gigante,Honduras
The Grand Mango,https://www.booking.com/hotel/ni/the-grand-mango-el-gigante2.es.html?aid=2410095,"The Grand Mango es un alojamiento de 3 estrellas que está en El Gigante, a 5 min a pie de Playa Amarillo, y que tiene jardín. Este alojamiento libre de humo se encuentra a 8 min a pie de Playa Gigante.

Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha y secador de pelo. En el hotel, cada habitación cuenta con ropa de cama y toallas.

La clientela puede practicar actividades en El Gigante y alrededores, como senderismo y snorkel.

Playa La Redonda está a 2,7 km del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional Augusto C. Sandino) está a 115 km.","Masaje de pies, Masaje de cuello, Papel higiénico, Ropa de cama, Servicios de belleza, Inglés, Baño privado, Manicura, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Vistas a un patio interior, Salas de reuniones / banquetes, Juegos de mesa / puzles, Secador de pelo, Seguridad 24 horas, Toda la unidad en la planta baja, Playa, Chimenea exterior, Cámaras de seguridad en las zonas comunitarias, Toallas, Masaje de manos, Bañera o ducha, Snorkel, WC, Masajes, Entrada privada, Masaje de espalda, Senderismo, Enchufe cerca de la cama, Servicio de lavandería, Suelo de madera o parquet, Tours a pie, Ducha, Jardín, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Mosquitera, Equitación, Clases de yoga, Servicio de limpieza diario, Masaje corporal completo, Extintores, Masaje de cabeza, WiFi gratis, Pedicura, Ventilador, Habitaciones familiares, Pesca, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/505475201.jpg?k=71fc98886a880ed4ac2f7bb17ee433b21d3fbc901e9dd502db9e1ab5dbb77666&o=&hp=1,El Gigante,Honduras
Casa Amico Beach House,https://www.booking.com/hotel/ni/casa-amico-beach-house.es.html?aid=2410095,"Casa Amico Beach House tiene piscina, jardín, bar y vistas al mar. Está en El Gigante y ofrece alojamiento con dispone de. El alojamiento dispone de bañera de hidromasaje.

Cada unidad tiene baño privado, ducha, aire acondicionado, TV de pantalla plana y nevera. Hay una zona de estar y de comedor en todas las unidades.

Playa La Redonda está a 4 min a pie del alojamiento, y Playa Gigante está a 2,2 km. El aeropuerto (Aeropuerto Internacional Augusto C. Sandino) está a 115 km.","Papel higiénico, Ropa de cama, Baño privado, Aire acondicionado, Habitaciones sin humo, Piscina con vistas, TV de pantalla plana, Playa, Vistas, Horario de apertura, Toallas, WC, Barbacoa, Bar, Nevera, Bañera, Utensilios de cocina, Ducha, Artículos de aseo gratis, Abierta todo el año, Vistas al mar, Zona de comedor, Jardín, Prohibido fumar en todo el alojamiento, Mesa de comedor, Toallas de playa/piscina, Bañera de hidromasaje, Piscina pequeña, Para todas las edades, Piscina al aire libre, WiFi gratis, Perchero, Zona de estar, Tumbonas/sillas de playa, Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Muebles de exterior, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/550073997.jpg?k=6dd0bd0ae35ccb2bf1c7914791628b78f7874c2b8366b37f8d2144b339da606d&o=&hp=1,El Gigante,Honduras
Shankton Tower,https://www.booking.com/hotel/ni/shankton-properties.es.html?aid=2410095,"Shankton Tower, que tiene piscina al aire libre, jardín y terraza, dispone de alojamiento en El Gigante con wifi gratis y vistas al mar. El alojamiento, que está a 3 min a pie de Playa La Redonda, ofrece bar y parking privado gratis.

Esta casa o chalet con aire acondicionado consta de 4 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 4 baños con ducha. Hay toallas y ropa de cama en la casa o chalet.

Hay zona de playa privada en el propio alojamiento.

Playa Gigante está a 2,2 km del alojamiento. El aeropuerto (Aeropuerto Internacional Augusto C. Sandino) está a 115 km.","Holandés, Ropa de cama, Papel higiénico, Vistas al jardín, Inglés, Baño privado, Aire acondicionado, Croata, Aseo adicional, Cantonés, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Zona de comedor exterior, Patio, TV de pantalla plana, Playa, Vistas, Francés, Toallas, Bañera o ducha, WC, Barbacoa, Bar, Proporciona factura, Nevera, Árabe, Sofá, Terraza, Ducha, Abierta todo el año, Italiano, Vistas al mar, Lavadora, Situado frente a la playa, Zona de comedor, Cafetera, Jardín, Zona privada de playa, Mesa de comedor, Chino, Horno, Bañera de hidromasaje, Danés, Para todas las edades, Piscina al aire libre, WiFi gratis, Cocina, Fogones, Productos de limpieza, Noruego, TV, Habitaciones familiares, Servicio de streaming (como Netflix), Muebles de exterior, Balcón, Piscina privada, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/322621846.jpg?k=8fa72b5e74894c0d12b70d82783911fc283a22781dc98074120aea3a9d74c593&o=&hp=1,El Gigante,Honduras
Room to Roam,https://www.booking.com/hotel/ni/room-to-roam.es.html?aid=2410095,"Room to Roam está en Rivas, a pocos pasos de Playa Gigante, y dispone de alojamiento con piscina al aire libre, parking privado gratis, salón de uso común y restaurante. Este hotel de 4 estrellas ofrece bar y habitaciones con aire acondicionado y baño privado. El alojamiento ofrece servicio de habitaciones, servicio de conserjería y servicio de organización de tours.

En el hotel, cada habitación incluye escritorio. Algunas de las habitaciones también incluyen zona de cocina con nevera, microondas y fogones. En Room to Roam, cada habitación dispone de ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno a la carta, inglés/irlandés completo o americano.

Se puede jugar a los dardos en el alojamiento, y la zona es ideal para practicar senderismo y ciclismo.

Playa Amarillo está a 10 min a pie del alojamiento, y Playa La Redonda está a 1,7 km. El aeropuerto (Aeropuerto Internacional Augusto C. Sandino) está a 116 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Windsurf, Servicios de belleza, Baño privado, Manicura, Vino / champán, Registro de entrada / salida privado, Playa, Masajes, Bar, Vistas a la piscina, Ruta de bares, Escritorio, Mobiliario exterior, Tour o clase sobre cultura local, Piscina al aire libre, Servicio de habitaciones, Música / espectáculos en directo, Proporciona factura, Masaje de pies, Exfoliación corporal, Papel higiénico, Ropa de cama, Eventos deportivos en directo (emisión), Habitaciones sin humo, Desayuno en la habitación, Vistas, WC, Tratamientos corporales, Servicio de traslado, Senderismo, Servicio de conserjería, Canguro / servicios para niños, Enchufe cerca de la cama, Ducha, Zona TV / salón de uso compartido, Toallas de playa/piscina, Zona poco profunda, Clases de cocina, Servicio de limpieza diario, Masaje corporal completo, Información turística, Tumbonas/sillas de playa, Menú para niños, Aire acondicionado, Parking gratis, Traslado aeropuerto, Noches de cine, Seguridad 24 horas, Horario de apertura, Dardos, Guardaequipaje, Servicio de lavandería, Masaje en pareja, Zona privada de playa, Servicio de entrega de comestibles, Boles para mascotas, Extintores, Alquiler de coches, Masaje de cabeza, Habitaciones familiares, Desayuno, Español, Masaje de cuello, Inglés, Tratamientos faciales, Vistas a un patio interior, Juegos de mesa / puzles, Campo de golf (a menos de 3 km), Zona de juegos interior, Menús para dietas especiales (bajo petición), Toallas, Masaje de manos, Bañera o ducha, Snorkel, Entrada privada, Masaje de espalda, Restaurante, Abierta todo el año, Prohibido fumar en todo el alojamiento, Happy hour, Equitación, Clases de yoga, Para todas las edades, Ciclismo, Pedicura, Ventilador, Armario, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524324148.jpg?k=e14226b2dc1f6ec7581af15c85edb41366949f7ecd6c14619b420776e6e4d2b4&o=&hp=1,El Gigante,Honduras
Cozy Surf Studio in Gigante,https://www.booking.com/hotel/ni/cozy-surf-studio-in-gigante.es.html?aid=2410095,"Cozy Surf Studio in Gigante es un alojamiento con wifi gratis y vistas al jardín que está en Tola, a solo 6 min a pie de Playa Amarillo. El alojamiento, que se encuentra a 5 min a pie de Playa Gigante, ofrece terraza y parking privado gratis.

Este apartamento de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece zona de cocina.

Playa La Redonda está a 2,4 km del alojamiento. El aeropuerto (Aeropuerto Internacional Augusto C. Sandino) está a 115 km.","Vistas al jardín, Aire acondicionado, Parking gratis, Inglés, Terraza, TV de pantalla plana, Español, WiFi gratis, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530178269.jpg?k=b3f633871501ace249e95a5b34f2df9d564cecd74a544a5ca0cb1f2e3182b0fd&o=&hp=1,El Gigante,Honduras
Italian style novelty house,https://www.booking.com/hotel/ni/italian-style-novelty-house.es.html?aid=2410095,"Italian style novelty house, que cuenta con piscina privada y vistas al jardín, se encuentra en Tola. Este alojamiento con aire acondicionado está a pocos pasos de Playa Colorado y ofrece wifi gratis y parking privado en el propio alojamiento.

Esta villa cuenta con 4 dormitorios, TV de pantalla plana y cocina.

Playa Los Perros está a 2,3 km del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional Augusto C. Sandino) está a 103 km.","Cocina, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Vistas al jardín, Barbacoa, Aire acondicionado, Vistas, Parking gratis, Italiano, Inglés, Piscina, Piscina privada, Español, WiFi gratis, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/586015502.jpg?k=bbc2a50e289f1f4a8c4325bf24445e032534e20487d74bcb817a39af52ff3172&o=&hp=1,El Gigante,Honduras
La Cascada Hostel & Restaurant,https://www.booking.com/hotel/ni/la-cascada-hostel-amp-beach-bar.es.html?aid=2410095,"La Cascada Hostel & Restaurant está en Rivas, a pocos pasos de Playa Gigante, y dispone de alojamiento con jardín, parking privado gratis, restaurante y bar. Este alojamiento ofrece servicio de conserjería y mostrador de información turística, además de wifi gratis en todo el alojamiento. El alojamiento ofrece cocina compartida, servicio de habitaciones y cambio de moneda.

En el hostal o pensión, las habitaciones tienen baño privado y ropa de cama.

En el alojamiento se puede disfrutar de un desayuno a la carta, continental o vegetariano.

Playa Amarillo está a pocos pasos del alojamiento, y Playa La Redonda está a 2,6 km. El aeropuerto (Aeropuerto Internacional Augusto C. Sandino) está a 116 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Ropa de cama, Servicio de despertador, Baño privado, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Suelo de baldosa / mármol, Desayuno en la habitación, Seguridad 24 horas, Playa, Menús para dietas especiales (bajo petición), Toallas, Bañera o ducha, WC, Cocina compartida, Barbacoa, Bar, Restaurante, Servicio de conserjería, Servicio de lavandería, Almuerzos para llevar, Ducha, Tours a pie, Situado frente a la playa, Jardín, Mobiliario exterior, Cambio de moneda, Servicio de limpieza en seco, Llave de acceso, Servicio de entrega de comestibles, Parking en la calle, Alemán, Servicio de limpieza diario, Información turística, Fruta, Discoteca / DJ, Servicio de habitaciones, WiFi gratis, Karaoke, Toallas / sábanas (por un suplemento), Habitaciones familiares, Inglés, Menú para niños, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538641725.jpg?k=efdf4748734d06b2c9d3ad3dd603d54bc973844ca2bc7971410971a92552d66e&o=&hp=1,El Gigante,Honduras
Monoloko Lodge Popoyo,https://www.booking.com/hotel/ni/monoloko-lodge-limon-2.es.html?aid=2410095,"Monoloko Lodge Popoyo tiene piscina al aire libre, jardín, terraza y bar en El Limón. El alojamiento dispone de cocina compartida y wifi gratis en todo el alojamiento.

Hay opciones continentales o americanas de desayuno disponibles todas las mañanas en el hotel.

Playa de Santana está a 7 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional Augusto C. Sandino) está a 96 km.","Solárium, Vino / champán, Habitaciones sin humo, Juegos de mesa / puzles, Playa, Francés, Cámaras de seguridad en las zonas comunitarias, Cocina compartida, Masajes, Bar, Servicio de lavandería, Abierta todo el año, Terraza, Alquiler de bicicletas, Jardín, Mobiliario exterior, Clases de yoga, Masaje corporal completo, Extintores, Para todas las edades, Piscina al aire libre, WiFi gratis, Terraza / solárium, Tumbonas/sillas de playa, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/394244553.jpg?k=bb936f91b4c034ac3977999e620e76c5e2cf4f010c34b1d3ed991dcec371667b&o=&hp=1,El Gigante,Honduras
