hotel,hotel_url,description,popular_facilities,highres_url,city,country
Posada Restaurant La Guaricha,https://www.booking.com/hotel/ve/posada-restaurant-la-guaricha.es.html?aid=2410095,"Posada Restaurant La Guaricha se encuentra en Catia La Mar, a 32 km de Galeria de Arte Nacional, y ofrece alojamiento con salón de uso común, parking privado gratis, restaurante y bar. Este hotel de 3 estrellas ofrece recepción 24 horas y servicio de conserjería. El hotel libre de humo ofrece wifi gratisen todo el alojamiento, piscina cubierta y karaoke.

En el hotel, todas las habitaciones tienen aire acondicionado, armario, TV de pantalla plana, baño privado, ropa de cama, toallas y terraza con vistas a la ciudad.

En Posada Restaurant La Guaricha se puede disfrutar de un desayuno a la carta.

Puedes jugar al billar en el alojamiento.

Museo de Bellas Artes está a 32 km del alojamiento, y Jardín Botánico está a 33 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a pocos pasos.","Baño privado, Zona TV / salón de uso compartido, Vistas a la ciudad, Zona de fumadores, Toallas / sábanas (por un suplemento), Piscina privada, Proporciona factura, Sala de juegos, Abierta todo el año, Playa, Registro de entrada / salida privado, Entrada privada, Suelo de moqueta, TV, Detectores de humo, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Almuerzos para llevar, Guardaequipaje, Vistas a un lugar de interés, Para todas las edades, Balcón, Accesible para personas sordas, Restaurante, Cenas temáticas, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Eventos deportivos en directo (emisión), Fax / fotocopiadora, Traslado aeropuerto (gratis), Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Zona privada de playa, Traslado aeropuerto, Servicio de limpieza diario, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Extintores, Karaoke, Juegos de mesa / puzles, Seguridad 24 horas, Baños públicos, Bar, Recepción 24 horas, Patio, Habitaciones familiares, Situado frente a la playa, Billar, Bañera o ducha, Papel higiénico, Música / espectáculos en directo, Servicio de conserjería, Llave de acceso, Tour o clase sobre cultura local, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Información turística, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Servicio de traslado, Artículos de aseo gratis, Snack-bar, Personal de animación, Piscina climatizada, Piscina interior, Vistas al mar, Armario, Bar en la piscina, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/503715686.jpg?k=e77035904bfdc4e278804e17799fa1bbed8efac29837e7b6bd226a7a046f36f5&o=&hp=1,El Junquito,Venezuela
Hotel brisas del mar 2022,https://www.booking.com/hotel/ve/brisas-del-mar-2022.es.html?aid=2410095,"Hotel brisas del mar 2022 está en Catia La Mar, a pocos pasos de Playa de Puerto Viejo, y dispone de alojamiento con restaurante, parking privado gratis y bar. Este alojamiento, que tiene mostrador de información turística, también ofrece parque acuático. El alojamiento ofrece servicio de habitaciones, servicio de conserjería y cambio de moneda.

En el hotel, cada habitación cuenta con armario. El baño privado está equipado con ducha y artículos de aseo gratuitos. En Hotel brisas del mar 2022, todas las habitaciones incluyen aire acondicionado y TV de pantalla plana.

Galeria de Arte Nacional está a 30 km del alojamiento, y Museo de Bellas Artes está a 30 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 2 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Restaurante, Baño privado, Servicio de entrega de comestibles, Vistas, Cámaras de seguridad fuera del alojamiento, Canales por cable, Zona de fumadores, Servicio de traslado, Menú para niños, Fax / fotocopiadora, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Tarjetas de transporte público, Karaoke, Cambio de moneda, Parque acuático, Artículos de aseo gratis, Seguridad 24 horas, Bar, Aire acondicionado, Registro de entrada / salida privado, Ducha, Radio, Menús para dietas especiales (bajo petición), Entrada privada, Parking gratis, Español, TV, Detectores de humo, Inglés, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Vino / champán, Servicio de limpieza diario, Armario, Servicio de conserjería, Llave de acceso, Almuerzos para llevar, Entretenimiento nocturno, Habitaciones insonorizadas, Cafetería en el alojamiento, Toallas, Información turística, Acceso a pisos superiores en ascensor, Portugués, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/565822583.jpg?k=f65bcbdedfea59dc2ae972d5888622e5a939220ab3c5bcca1e77865009bafb9c&o=&hp=1,El Junquito,Venezuela
Hotel Catimar,https://www.booking.com/hotel/ve/catimar.es.html?aid=2410095,"Hotel Catimar se encuentra en Maiquetía, a pocos pasos de Playa de Puerto Viejo, y ofrece alojamiento frente a la playa con bar, entre otros. Este hotel de 3 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de traslado gratuito y servicio de habitaciones.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, todas las habitaciones tienen ropa de cama y toallas.

El personal de recepción ofrece ayuda de forma ininterrumpida.

Galeria de Arte Nacional está a 32 km del alojamiento, y Museo de Bellas Artes está a 33 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 2 km.","Restaurante, Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Extintores, Enchufe cerca de la cama, Servicio de despertador, Artículos de aseo gratis, Snack-bar, Teléfono, Perchero, Seguridad 24 horas, Ascensor, Bar, Playa, Traslado aeropuerto (gratis), Recepción 24 horas, Aire acondicionado, Habitaciones familiares, Ducha, Español, Situado frente a la playa, Adaptado personas de movilidad reducida, TV, Detectores de humo, Adaptado para sillas de ruedas, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Toallas, Ropa de cama, Acceso a pisos superiores en ascensor, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/219865398.jpg?k=7a85446c5a5a5e6aa2ea2362484f7b29f3ac8b20ef92eea21b655164d44dbe1f&o=&hp=1,El Junquito,Venezuela
Hotel Alto Mar,https://www.booking.com/hotel/ve/alto-mar.es.html?aid=2410095,"Hotel Alto Mar está en Catia La Mar, a 2,1 km de Playa de Puerto Viejo, y dispone de alojamiento con centro de fitness, parking privado gratis, salón de uso común y terraza. Este hotel de 4 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece bañera de hidromasaje, personal de animación y servicio de traslado gratuito.

En el hotel, las habitaciones están equipadas con armario. Las unidades del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

En la recepción 24 horas se hablan varios idiomas, como inglés, español, italiano y portugués.

Galeria de Arte Nacional está a 32 km del alojamiento, y Museo de Bellas Artes está a 33 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 3 km.","Baño privado, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Masaje de cabeza, Proporciona factura, Servicios de maquillaje, Terapia con luz, Servicio de despertador, Playa, Registro de entrada / salida privado, Masaje de espalda, WC con barras de apoyo, Servicios de depilación, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Vino / champán, Servicio de habitaciones, Instalaciones de spa, Tarjeta de acceso, Acceso a pisos superiores en ascensor, Restaurante, Prohibido fumar en todo el alojamiento, Tendedero, Spa y centro de bienestar, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Supermercado pequeño en el alojamiento, Masaje de manos, Secador de pelo, Traslado aeropuerto (gratis), Aire acondicionado, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Zona privada de playa, Traslado aeropuerto, Servicio de limpieza diario, Alarma de seguridad, Manicura, Terraza, TV de pantalla plana, Bidet, Portugués, WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Corte de pelo, Italiano, Masaje de pies, Extintores, Desayuno, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Zona de spa / relajación, Habitaciones familiares, Caja fuerte, Albornoz, Adaptado para sillas de ruedas, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Exfoliación corporal, Tratamientos faciales, Sombrillas, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Bañera de hidromasaje / jacuzzi, Tratamientos capilares, Toallas, Información turística, Cámaras de seguridad fuera del alojamiento, Comedia en vivo, Servicio de traslado, Cambio de moneda, Artículos de aseo gratis, Perchero, Ascensor, Tinte, Peinado, Centro de negocios, Personal de animación, Pedicura, Habitaciones hipoalergénicas, Servicio de despertador / alarma, Servicios de belleza, Tratamientos corporales, Armario, Envoltura corporal, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504325726.jpg?k=af654541f40eb6ea68037cf7e88f49decc8e4db2f3918dd8fe1c095be0c33353&o=&hp=1,El Junquito,Venezuela
Hotel Villa Playa Grande,https://www.booking.com/hotel/ve/villa-playa-grande.es.html?aid=2410095,"Hotel Villa Playa Grande tiene piscina al aire libre, salón de uso común, terraza y restaurante en Playa Grande. Este hotel de 4 estrellas ofrece bar y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de traslado gratuito, recepción 24 horas y cambio de moneda.

En el hotel, las habitaciones incluyen escritorio. Todas las habitaciones tienen TV de pantalla plana con canales por cable y caja fuerte.

Playa de Puerto Viejo está a 2,6 km del alojamiento, y Galeria de Arte Nacional está a 33 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a pocos pasos.","Restaurante, Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Muy buen desayuno, WiFi gratis, Tumbonas/sillas de playa, Portugués, Horario de apertura, Cámaras de seguridad fuera del alojamiento, Canales por cable, Salas de reuniones / banquetes, Zona de fumadores, Servicio de traslado, Fax / fotocopiadora, Escritorio, Extintores, Enchufe cerca de la cama, Cambio de moneda, Servicio de despertador, Piscina al aire libre, Artículos de aseo gratis, Snack-bar, Teléfono, Perchero, Secador de pelo, Seguridad 24 horas, Bar, Recepción 24 horas, Traslado aeropuerto (gratis), Solo para adultos, Aire acondicionado, Ascensor, Abierta todo el año, Hipoalergénico, Ducha, Español, Adaptado personas de movilidad reducida, TV, Detectores de humo, Caja fuerte, Inglés, Servicio de lavandería, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Servicio de limpieza diario, Armario, Bar en la piscina, Alarma de seguridad, Almuerzos para llevar, Cafetería en el alojamiento, Toallas, Guardaequipaje, Información turística, Acceso a pisos superiores en ascensor, Para todas las edades, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/160021905.jpg?k=d2aa646e15c190a54a52527b755ba089dfc05e43a6b14373d4351f1c5d60b2ed&o=&hp=1,El Junquito,Venezuela
BUENAVISTA INN,https://www.booking.com/hotel/ve/buenavista-inn.es.html?aid=2410095,"BUENAVISTA INN se encuentra en Maiquetía, a 2,5 km de Playa de Puerto Viejo, y ofrece alojamiento con bicicletas gratis, parking privado gratis, jardín y salón de uso común. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El restaurante sirve platos de cocina americana y de cocina caribeña, y el bar es ideal para tomar algo.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, nevera, caja fuerte, TV de pantalla plana, terraza y baño privado con ducha. Las habitaciones incluyen hervidor, algunas ofrecen patio y otras también ofrecen vistas al jardín. En BUENAVISTA INN, cada habitación incluye ropa de cama y toallas.

Hay opciones a la carta o americanas de desayuno disponibles todos los días en el alojamiento.

BUENAVISTA INN ofrece zona de juegos infantil.

Hay una cafetería en el propio alojamiento, y también se puede usar la zona business.

Galeria de Arte Nacional está a 33 km del alojamiento, y Museo de Bellas Artes está a 34 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a pocos pasos del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Zona de fumadores, Menú para niños, Proporciona factura, Servicio de despertador, Cafetera, Registro de entrada / salida privado, Hipoalergénico, TV, Detectores de humo, Zona de juegos para niños, Registro de entrada y salida exprés, Hervidor eléctrico, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Servicio de habitaciones, Vino / champán, Guardaequipaje, Nevera, Equipamiento de juegos para exterior, Restaurante, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Fax / fotocopiadora, Secador de pelo, Aire acondicionado, Ducha, Parking gratis, Terraza / solárium, Español, Mesa de comedor, Traslado aeropuerto, Jardín, Alarma de seguridad, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Mobiliario exterior, Canales por cable, Productos de limpieza, Escritorio, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Juegos de mesa / puzles, Buen desayuno, Teléfono, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Habitaciones familiares, Suelo de baldosa / mármol, Alquiler de bicicletas, Caja fuerte, Bañera o ducha, Papel higiénico, Toallas, Desayuno en la habitación, Información turística, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Servicio de traslado, Cambio de moneda, Artículos de aseo gratis, Snack-bar, Perchero, Libros, DVD o música para niños, Centro de negocios, Habitaciones hipoalergénicas, Servicio de despertador / alarma, Armario, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/290285570.jpg?k=cc9a60debe96b159e674c5c31dc472f445231087feaf3e2bd60eb028d3d385b2&o=&hp=1,El Junquito,Venezuela
BELLA SUITE frente al Aeropuerto,https://www.booking.com/hotel/ve/bella-suite.es.html?aid=2410095,"BELLA SUITE frente al Aeropuerto está en Catia La Mar, a 30 km de Galeria de Arte Nacional, y dispone de alojamiento con terraza, parking privado gratis y bar. El alojamiento está a unos 31 km de Museo de Bellas Artes, a 31 km de Jardín Botánico y a 31 km de Univesidad de Venezuela. El hostal o pensión también ofrece wifi gratis y servicio de traslado gratis para ir o volver del aeropuerto.

Todas las habitaciones están equipadas con aire acondicionado, TV de pantalla plana con canales vía satélite, nevera, cafetera, ducha, artículos de aseo gratuitos y armario. En el hostal o pensión, las habitaciones cuentan con baño privado.

Parque Los Caobos está a 31 km del alojamiento, y Estadio Olímpico está a 32 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a pocos pasos.","Servicio de streaming (como Netflix), Baño privado, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, WC, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Canales vía satélite, Desayuno, Cafetera, Artículos de aseo gratis, Snack-bar, Perchero, Bar, Patio, Aire acondicionado, Ducha, Parking gratis, Español, TV, Mesa de comedor, Traslado aeropuerto, Papel higiénico, Armario, Toda la unidad en la planta baja, Microondas, Toallas, Minibar, Información turística, Nevera, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/450483384.jpg?k=13fd5e2b69139aa271d4e889d30045444e8e6780e6731dcf8a16cd7e8df7f06d&o=&hp=1,El Junquito,Venezuela
Apartamento frente al Aeropuerto de Maiquetía,https://www.booking.com/hotel/ve/apartamento-frente-aeropuerto-de-maiquetia.es.html?aid=2410095,"Apartamento frente al Aeropuerto de Maiquetía se encuentra en Maiquetía, a 27 km de Museo de Bellas Artes, a 27 km de Jardín Botánico y a 28 km de Univesidad de Venezuela. El alojamiento, que está a 26 km de Galeria de Arte Nacional, dispone de jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 2 dormitorios independientes, una sala de estar, una cocina totalmente equipada y 2 baños. Hay TV de pantalla plana.

Parque Los Caobos está a 28 km del alojamiento, y Estadio Olímpico está a 28 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 3 km.","Habitaciones familiares, Baño privado, Cocina, TV de pantalla plana, Parking gratis, Zona de cocina, Jardín, Vistas, Ruso, Inglés, Playa, Aire acondicionado, Portugués, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/412645490.jpg?k=fae8af7fe26c33ec348874bbddd8e2adebbe804c5a167e2b41dd2fdcb1f0266f&o=&hp=1,El Junquito,Venezuela
HOTEL MUEVETE POR VARGAS,https://www.booking.com/hotel/ve/muevete-por-vargas-catia-la-mar1.es.html?aid=2410095,"HOTEL MUEVETE POR VARGAS se encuentra en Catia La Mar, a 15 min a pie de Playa de Puerto Viejo, y ofrece alojamiento con jardín, parking privado, salón de uso común y terraza. El alojamiento está a unos 32 km de Galeria de Arte Nacional, a 32 km de Museo de Bellas Artes y a 33 km de Jardín Botánico. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Las habitaciones incluyen aire acondicionado, TV de pantalla plana con canales vía satélite, nevera, hervidor, ducha, artículos de aseo gratuitos y armario. Todas las unidades incluyen baño privado, secador de pelo y ropa de cama.

El hotel cuenta con un restaurante que sirve cocina americana.

La zona es ideal para practicar ciclismo y hay alquiler de bicicletas en este hotel de 3 estrellas.

Univesidad de Venezuela está a 33 km del alojamiento, y Parque Los Caobos está a 33 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 2 km del alojamiento.","Baño privado, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Detector de monóxido de carbono, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Servicio de despertador, Registro de entrada / salida privado, WC con barras de apoyo, TV, Detectores de humo, Registro de entrada y salida exprés, Inglés, Ruta de bares, Hervidor eléctrico, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Almuerzos para llevar, Tours en bici, Submarinismo, Guardaequipaje, Nevera, Balcón, Restaurante, Prohibido fumar en todo el alojamiento, Tendedero, Fruta, Fax / fotocopiadora, Secador de pelo, Lavamanos más bajo, Aire acondicionado, Tours a pie, Ducha, Menús para dietas especiales (bajo petición), Terraza / solárium, Español, Adaptado personas de movilidad reducida, Servicio de lavandería, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), WiFi gratis, Mobiliario exterior, Canales por cable, Productos de limpieza, Servicio de limpieza en seco, Extintores, Parking adaptado para personas de movilidad reducida, Desayuno, Teléfono, Seguridad 24 horas, Baños públicos, Recepción 24 horas, Habitaciones familiares, Suelo de baldosa / mármol, Alquiler de bicicletas, Adaptado para sillas de ruedas, Papel higiénico, Reloj despertador, Canales de pago, Llave de acceso, Tour o clase sobre cultura local, Cafetería en el alojamiento, Toallas, Información turística, Acceso a pisos superiores solo mediante escaleras, Parking en la calle, Apoyo visual: carteles táctiles, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Ciclismo, Servicio de traslado, Apoyo visual: braille, Barandillas protectoras para bebés, Artículos de aseo gratis, Perchero, Habitaciones hipoalergénicas, Servicio de despertador / alarma, Armario, Parking privado, Toda la unidad en la planta baja, Taquillas, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538267503.jpg?k=afb7feaa85ac522c08e4520e0656d596d74999323a39716cf376e1b442183ef4&o=&hp=1,El Junquito,Venezuela
Posada Villa del Carmen,https://www.booking.com/hotel/ve/posada-villa-del-carmen.es.html?aid=2410095,"Posada Villa del Carmen se encuentra en Catia La Mar, a 2,6 km de Playa de Puerto Viejo, y ofrece alojamiento con salón de uso común, parking privado, terraza y restaurante. El alojamiento cuenta con bar y se encuentra a 33 km de Galeria de Arte Nacional. Este alojamiento libre de humo está a 34 km de Museo de Bellas Artes.

El hostal o pensión ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. En Posada Villa del Carmen, cada habitación tiene ropa de cama y toallas.

El personal de la recepción 24 horas habla inglés y español.

Jardín Botánico está a 34 km del alojamiento, y Univesidad de Venezuela está a 35 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a pocos pasos del alojamiento.","Restaurante, Baño privado, Servicio de aparcacoches, Zona TV / salón de uso compartido, Detector de monóxido de carbono, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Vistas a la ciudad, Mobiliario exterior, Canales por cable, Zona de fumadores, Productos de limpieza, Escritorio, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Parking en un garaje, Enchufe cerca de la cama, Servicio de despertador, Perchero, Bar, Playa, Recepción 24 horas, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Menús para dietas especiales (bajo petición), Terraza / solárium, Español, TV, Detectores de humo, Zona privada de playa, Caja fuerte, Inglés, Vistas al mar, Servicio de lavandería, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Vino / champán, Servicio de limpieza diario, Armario, Nevera, Parking privado, Servicio de conserjería, Toallas, Guardaequipaje, Ropa de cama, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/242739721.jpg?k=bd816d9ef13fe7a064c46de920376e0b924c9012ff3c46d737ceba929480a32b&o=&hp=1,El Junquito,Venezuela
