hotel,hotel_url,description,popular_facilities,highres_url,city,country
Cabañas Covemar de lujo,https://www.booking.com/hotel/co/cabana-suite.es.html?aid=2410095,"Cabañas Covemar de lujo se encuentra en Coveñas, a 4 min a pie de Playa Primera Ensenada, y ofrece alojamiento con piscina al aire libre, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El bar es ideal para tomar algo.

En el hotel, cada habitación cuenta con balcón. En Cabañas Covemar de lujo, todas las habitaciones incluyen aire acondicionado y TV de pantalla plana.

El alojamiento ofrece desayuno a la carta o americano.

El aeropuerto más cercano (Golfo de Morrosquillo ) está a 17 km.","Caja fuerte, Alarma de seguridad, Vino / champán, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Desayuno en la habitación, Seguridad 24 horas, TV de pantalla plana, Playa, Español, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Snack-bar, Bar, Baños públicos, Recepción 24 horas, Terraza, Ducha, Abierta todo el año, Llave de acceso, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Zona poco profunda, Tarjeta de acceso, Servicio de limpieza diario, Información turística, Extintores, Piscina al aire libre, Para todas las edades, Servicio de habitaciones, WiFi gratis, Habitaciones hipoalergénicas, Bar en la piscina, Habitaciones familiares, Balcón, Barandillas protectoras para bebés, Proporciona factura, Desayuno fantástico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/438495435.jpg?k=b2e947f3ae8ec46525a55073f0ff4fe6e1fe42a3180415e224c661a837958468&o=&hp=1,El Mamey,Honduras
Apartamento Exclusivo - Caribe Campestre Coveñas,https://www.booking.com/hotel/co/lindo-apartamento-turistico-amoblado-y-confortable-covenas-sucre-covenas.es.html?aid=2410095,"Apartamento Exclusivo - Caribe Campestre Coveñas está en Coveñas y dispone de vistas a la ciudad, piscina al aire libre, jardín, salón de uso común, terraza y bar.

El apartamento ofrece balcón, vistas a la montaña, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y microondas, y baño privado con bidet y artículos de aseo gratuitos. También se ofrece fogones, además de cafetera y hervidor.

Apartamento Exclusivo - Caribe Campestre Coveñas ofrece zona de juegos infantil.

Hay servicio de alquiler de bicicletas y una serie de instalaciones para practicar deportes acuáticos en el alojamiento, y en los alrededores se puede practicar ciclismo.

Playa Primera Ensenada está a 12 min a pie del alojamiento. El aeropuerto más cercano (Golfo de Morrosquillo ) está a 16 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de despertador / alarma, Windsurf, Baño privado, Wifi básica gratis (8 Mbps), Registro de entrada / salida privado, Detectores de humo, Zona de juegos para niños, Canales por cable, Playa, Snack-bar, Ascensor, Bar, Hipoalergénico, Nevera, Vistas a la piscina, Escritorio, Mobiliario exterior, Tarjeta de acceso, Tour o clase sobre cultura local, Piscina al aire libre, Trona, Toda la unidad accesible en silla de ruedas, Tendedero, Submarinismo, Apartamento privado en edificio, Toallas / sábanas (por un suplemento), TV, Proporciona factura, Ropa de cama, Papel higiénico, Servicio de despertador, Vistas al jardín, Habitaciones sin humo, Suelo de baldosa / mármol, Cenas temáticas, Albornoz, Secador de pelo, Vistas, Libros, DVD o música para niños, WC, Tours en bici, Servicio de traslado, Vistas a la ciudad, Acceso a pisos superiores en ascensor, Servicio de conserjería, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Ducha, Reloj despertador, Zona TV / salón de uso compartido, Zona de pícnic, Información turística, Habitaciones comunicadas disponibles, Canales vía satélite, Perchero, Videojuegos, Tumbonas/sillas de playa, Tetera / cafetera, Balcón, Radio, Piscina infantil, Vistas a la montaña, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Aseo adicional, Parking gratis, Valla alrededor de la piscina, Traslado aeropuerto, Adaptado para sillas de ruedas, Sala de juegos, Patio, Sombrillas, Seguridad 24 horas, Zona de cocina, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Supermercado pequeño en el alojamiento, Baños públicos, Guardaequipaje, Plancha para pantalones, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Zona de comedor, Jardín, Cafetera, Baño al aire libre, Mesa de comedor, Servicio de entrega de comestibles, Acceso a pisos superiores solo mediante escaleras, Microondas, Alquiler de coches, Registro de entrada y salida exprés, Extintores, Cocina, Fogones, Productos de limpieza, Zona de estar, Habitaciones familiares, Canales de pago, Español, Caja fuerte, Alarma de seguridad, Utensilios de planchado, Zona de comedor exterior, Vistas a un patio interior, Juegos de mesa / puzles, Vídeo, TV de pantalla plana, Zona de juegos interior, Sofá cama, Toallas, Plancha para ropa, Hervidor eléctrico, Bañera o ducha, Snorkel, Entrada privada, Pesca, Abierta todo el año, Lavadora, Cambio de moneda, Vestidor, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Llave de acceso, Para todas las edades, Instalaciones para deportes acuáticos en el alojamiento, Parking en un garaje, Adaptado personas de movilidad reducida, Bidet, Mantas eléctricas, Ciclismo, Ventilador, Armario, Servicio de streaming (como Netflix)",https://cf.bstatic.com/xdata/images/hotel/max1024x768/502441791.jpg?k=f544eaf1b2856e0e352fa690c12afd9e54a20cf8fa8b5bf4ccd0336fe49443d6&o=&hp=1,El Mamey,Honduras
Cabañas Berakah,https://www.booking.com/hotel/co/cabanas-berakah.es.html?aid=2410095,"Cabañas Berakah se encuentra a 2 min a pie de Playa Primera Ensenada y ofrece jardín y terraza, así como alojamiento con aire acondicionado, patio y wifi gratis.

Las unidades disponen de suelo de baldosa, cocina totalmente equipada con nevera, zona de comedor, TV de pantalla plana con canales vía satélite y baño privado con ducha. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Playa Segunda Ensenada está a 2,9 km del alojamiento. El aeropuerto (Golfo de Morrosquillo ) está a 15 km.","Ropa de cama, Vistas al jardín, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Vistas a un patio interior, Patio, TV de pantalla plana, Toda la unidad en la planta baja, Zona de cocina, Toallas, Entrada privada, Nevera, Enchufe cerca de la cama, Utensilios de cocina, Ducha, Terraza, Jardín, Prohibido fumar en todo el alojamiento, Independiente, WiFi gratis, Cocina, Toda la unidad accesible en silla de ruedas, Tendedero, Canales vía satélite, Adosado, Apartamento privado en edificio, Fogones, Toallas / sábanas (por un suplemento), Armario, Habitaciones familiares, Servicio de streaming (como Netflix), TV, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/408094831.jpg?k=5f6c19d3ef71a0c1a0f05d8194bf10092255dbe4f602fb977b52c8200c2ba55b&o=&hp=1,El Mamey,Honduras
Apartamentos Sol de Coveñas,https://www.booking.com/hotel/co/sol-de-covenas-covenas.es.html?aid=2410095,"Apartamentos Sol de Coveñas está en Coveñas, en la región de Sucre, y dispone de balcón. El alojamiento, que se encuentra a 10 min a pie de Playa Primera Ensenada, ofrece jardín y parking privado gratis.

Este apartamento con aire acondicionado se compone de 2 dormitorios independientes, una sala de estar, una cocina totalmente equipada con minibar y fogones, y 1 baño. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Golfo de Morrosquillo ) está a 16 km del alojamiento.","Accesible para personas sordas, Papel higiénico, Baño privado, Aire acondicionado, Parking gratis, TV de pantalla plana, Zona de cocina, Vistas, WC, Utensilios de cocina, Ducha, Jardín, Prohibido fumar en todo el alojamiento, Acceso a pisos superiores solo mediante escaleras, Cocina, Minibar, Apartamento privado en edificio, Fogones, Tetera / cafetera, TV, Habitaciones familiares, Independiente, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/539115531.jpg?k=bef6e7448466400dbac149f0c6157217ebeab19bbbf32d36de5490181efd9e81&o=&hp=1,El Mamey,Honduras
Murano Hotel,https://www.booking.com/hotel/co/murano-covenas.es.html?aid=2410095,"Murano Hotel se encuentra en Coveñas, a 3 min a pie de Playa Primera Ensenada, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel dispone de habitaciones familiares.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones incluyen aire acondicionado y baño privado.

El aeropuerto más cercano (Golfo de Morrosquillo ) está a 15 km.","2 restaurantes, Papel higiénico, Baño privado, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Seguridad 24 horas, TV de pantalla plana, Playa, Cámaras de seguridad en las zonas comunitarias, Proporciona factura, Zona de fumadores, Restaurante, Recepción 24 horas, Terraza, Ducha, Jardín, Llave de acceso, Información turística, Extintores, Servicio de habitaciones, WiFi gratis, Ventilador, Terraza / solárium, TV, Habitaciones familiares, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/450768458.jpg?k=418724163cf5810cce5887ed6c5688c97dee05ce2fd40a1b405af28a8960a0ac&o=&hp=1,El Mamey,Honduras
Hotel Caribe Coveñas,https://www.booking.com/hotel/co/caribe-covenas.es.html?aid=2410095,"Hotel Caribe Coveñas se encuentra en Coveñas, a 3 min a pie de Playa Primera Ensenada, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este hotel de 4 estrellas ofrece terraza y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El restaurante sirve platos de cocina americana y el bar es ideal para tomar algo.

Todas las unidades de este alojamiento están equipadas con TV. En el hotel, todas las habitaciones incluyen ropa de cama y toallas.

En Hotel Caribe Coveñas se puede disfrutar de un desayuno americano.

En recepción se habla inglés y español, y el personal siempre está dispuesto a echar una mano.

El aeropuerto más cercano (Golfo de Morrosquillo ) está a 17 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","WC con barras de apoyo, Piscina infantil, Papel higiénico, Ropa de cama, Alarma de seguridad, Servicio de despertador, Baño privado, Apoyo visual: carteles táctiles, Inglés, Vino / champán, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Suelo de baldosa / mármol, Habitaciones sin humo, Traslado aeropuerto, Detectores de humo, Piscina con vistas, Sombrillas, Seguridad 24 horas, Playa, Español, Cámaras de seguridad en las zonas comunitarias, Cuerda de emergencia en el baño, Toallas, Cafetería en el alojamiento, Snack-bar, Lavamanos más bajo, Servicio de traslado, Bar, Baños públicos, Guardaequipaje, Zona de fumadores, Restaurante, Habitaciones insonorizadas, Recepción 24 horas, Almuerzos para llevar, Terraza, Ducha, Abierta todo el año, Jardín, Servicio de limpieza en seco, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Zona poco profunda, Información turística, Extintores, Piscina al aire libre, Para todas las edades, Muy buen desayuno, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Productos de limpieza, Piscina infinita, Tumbonas/sillas de playa, TV, Habitaciones familiares, Bar en la piscina, Menú para niños, Proporciona factura, Sauna",https://cf.bstatic.com/xdata/images/hotel/max1024x768/534270260.jpg?k=bbde33aa6b348d00c4a4e43dde66b5c2f09a7c8cfeb8a73b568220049a9fd23f&o=&hp=1,El Mamey,Honduras
Mónaco habitaciones,https://www.booking.com/hotel/co/monaco-habitaciones.es.html?aid=2410095,"Mónaco habitaciones ofrece alojamiento en Coveñas. Este hotel de 3 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. Este alojamiento libre de humo se encuentra a pocos pasos de Playa Primera Ensenada.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones disponen de ropa de cama y toallas.

El aeropuerto (Golfo de Morrosquillo ) está a 16 km.","Toallas, TV de pantalla plana, Prohibido fumar en todo el alojamiento, Papel higiénico, Ropa de cama, Baño privado, Español, Aire acondicionado, Ventilador, Parking gratis, Playa, Ducha, Servicio de habitaciones, Vistas al mar, WiFi gratis, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/525909659.jpg?k=80498768b3b8ab531b9a24f52f30a9ea9ab50de605a527bf75cc5bb94aac7d89&o=&hp=1,El Mamey,Honduras
Hotel Villa del Mar Coveñas,https://www.booking.com/hotel/co/hostal-villa-del-mar.es.html?aid=2410095,"El Hotel Villa del Mar se encuentra en Coveñas, a 33 km de Sincelejo, y ofrece una terraza y una piscina al aire libre abierta todo el año. El establecimiento alberga un bar. Hay aparcamiento privado gratuito.

Algunas habitaciones tienen balcón o patio. Las habitaciones disponen de baño privado con ducha. El Hostal Villa del Mar ofrece habitaciones con conexión Wi-Fi gratuita y TV de pantalla plana.

El establecimiento alberga un salón compartido.

El Hostal Villa del Mar se encuentra a 17 km de Tolú y a 10 km de San Antero.","Papel higiénico, Baño privado, Aire acondicionado, Aseo adicional, Parking gratis, TV de pantalla plana, Canales por cable, Playa, WC, Restaurante, Ducha, Jardín, Zona TV / salón de uso compartido, Servicio de limpieza diario, Piscina al aire libre, Muy buen desayuno, Servicio de habitaciones, Parking en un garaje, WiFi gratis, Submarinismo, De temporada, Armario, Habitaciones familiares, TV, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/294269784.jpg?k=8a25764b55114ec36339ccd2c86178254d8f8f4ce57bb1affb9afee722316732&o=&hp=1,El Mamey,Honduras
Cabañas Melany,https://www.booking.com/hotel/co/cabanas-melany.es.html?aid=2410095,"Cabañas Melany está en Coveñas, a 13 min a pie de Playa Primera Ensenada, y ofrece alojamiento con aire acondicionado y acceso a un jardín con terraza.

También hay zona de juegos infantil en la casa o chalet.

El aeropuerto más cercano (Golfo de Morrosquillo ) está a 15 km.","Ropa de cama, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Zona de juegos para niños, TV de pantalla plana, Playa, WC, Nevera, Terraza, Ducha, Jardín, Prohibido fumar en todo el alojamiento, Mesa de comedor, Peluquería / salón de belleza, Información turística, Extintores, Tendedero, Terraza / solárium, Armario, Habitaciones familiares, TV, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581452845.jpg?k=01a9577fd644050f3d732b6b7b3f50301e0107dc6aae504177acb4a1719665df&o=&hp=1,El Mamey,Honduras
CASAS BLANCAS Coveñas,https://www.booking.com/hotel/co/casas-blancas-covenas-casa-01-02-y-03.es.html?aid=2410095,"CASAS BLANCAS Coveñas se encuentra en Coveñas, a 9 min a pie de Playa Primera Ensenada, y ofrece alojamiento con jardín, parking privado gratis y terraza. El alojamiento dispone de cajero automático, servicio de conserjería y guardaequipaje.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha y artículos de aseo gratuitos. En el hostal o pensión, cada habitación tiene ropa de cama y toallas.

El aeropuerto más cercano (Golfo de Morrosquillo ) está a 15 km del alojamiento.","Papel higiénico, Ropa de cama, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, TV de pantalla plana, Playa, Toallas, WC, Servicio de traslado, Guardaequipaje, Nevera, Servicio de conserjería, Terraza, Ducha, Artículos de aseo gratis, Jardín, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Extintores, Registro de entrada y salida exprés, WiFi gratis, Terraza / solárium, Traslado aeropuerto (gratis), Habitaciones familiares, Inglés, Español, Cajero automático en el hotel",https://cf.bstatic.com/xdata/images/hotel/max1024x768/479670329.jpg?k=b30fc6d61fadb1771866217947ef39e14b9b96d9b90bbebf8ea6dbd7657bb313&o=&hp=1,El Mamey,Honduras
