hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Casa Blanca,https://www.booking.com/hotel/ec/hostal-casa-blanca.es.html?aid=2410095,"Hostal Casa Blanca, que cuenta con jardín, se encuentra en El Coca. Hay terraza, wifi gratis y parking privado gratis.

Las habitaciones del alojamiento disponen de baño privado con ducha, TV de pantalla plana y aire acondicionado. Algunas de las habitaciones están equipadas con balcón.

El personal de recepción puede dar consejos sobre qué hacer o cómo moverse por la zona.

El aeropuerto (Aeropuerto Francisco de Orellana) está a pocos pasos, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Senderismo, Cambio de moneda, Recepción 24 horas, Baño privado, Jardín, Extintores, Aire acondicionado, TV, Tarjetas de transporte público, Tour o clase sobre cultura local, Traslado aeropuerto, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Canales por cable, Llave de acceso, Guardaequipaje, Servicio de lavandería, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Habitaciones familiares, Español, Wifi rápida gratis (100 Mbps), Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/316821575.jpg?k=bbd4638a9a9a8a135a4f0df6470e90e7cf5a3090504e1c6a1ada33d807918012&o=&hp=1,El Pangui,Ecuador
Hostal Nuevo Amanecer,https://www.booking.com/hotel/ec/hostal-nuevo-amanecer-el-coca.es.html?aid=2410095,"Hostal Nuevo Amanecer está en El Coca y cuenta con bar. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Las habitaciones incluyen patio.

Todas las habitaciones están equipadas con TV de pantalla plana con canales por cable, nevera, cafetera, ducha, artículos de aseo gratuitos y escritorio. Algunas habitaciones de este alojamiento tienen baño privado con bañera y secador de pelo, y también incluyen vistas a la ciudad. Todas las unidades cuentan con armario y hervidor.

El aeropuerto (Aeropuerto Francisco de Orellana) está a pocos pasos.","Secador de pelo, Vestidor, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Muebles de exterior, Minibar, Vistas, Recepción 24 horas, Inglés, Libros, DVD o música para niños, Baño privado, Aire acondicionado, TV, Armario, Perchero, Tetera / cafetera, Baño adicional, Vídeo, Toda la unidad accesible en silla de ruedas, Parking gratis, Patio, Entrada privada, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Servicio de habitaciones, Mesa de comedor, Vistas a un lugar de interés, Enchufe cerca de la cama, Protector de enchufes para niños, Plancha para ropa, Productos de limpieza, Canales por cable, Hervidor eléctrico, Bañera, Vistas a un patio interior, Aseo adicional, Cafetera, Sofá, Zona de estar, Acceso al salón executive, Servicio de despertador, Barandillas de seguridad para bebés, Escritorio, Utensilios de planchado, WC, Sofá cama, Tetera/cafetera en todas las habitaciones, Bar, TV de pantalla plana, Toallas, Lavadora, Servicio de despertador / alarma, Plancha para pantalones, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/210876254.jpg?k=3980d64663fce13291fe5ed6ed84951434ca8146815ead7a328da6dfd6debdd3&o=&hp=1,El Pangui,Ecuador
Hotel Coca Imperial,https://www.booking.com/hotel/ec/coca-imperial.es.html?aid=2410095,"Hotel Coca Imperial se encuentra en Puerto Francisco de Orellana y cuenta con bar. Este hotel de 3 estrellas ofrece salón de uso común y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, todas las habitaciones disponen de escritorio. Todas las unidades del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

La clientela puede practicar actividades en Puerto Francisco de Orellana y alrededores, como ciclismo.

El aeropuerto más cercano (Aeropuerto Francisco de Orellana) está a 1 km.","Servicio de entrega de comestibles, Vestidor, Sombrillas, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Almuerzos para llevar, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Muebles de exterior, Teléfono, Baños públicos, Recepción 24 horas, Inglés, Baño privado, Aire acondicionado, Extintores, TV, Ciclismo, Armario, Vino / champán, Perchero, Información turística, Vídeo, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Parking en un garaje, Menús para dietas especiales (bajo petición), Acceso a pisos superiores solo mediante escaleras, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Plancha para ropa, Ruta de bares, Servicio de aparcacoches, Pesca, Canales por cable, Tours a pie, Aseo adicional, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, Bar, Canales vía satélite, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/230038493.jpg?k=55eb76c53c4498d9005692396b0e1544eb2da4bdd334c135521d51b756d5945b&o=&hp=1,El Pangui,Ecuador
Hostal R. Williams,https://www.booking.com/hotel/ec/hostal-r-williams-puerto-francisco-de-orellana.es.html?aid=2410095,"Hostal R. Williams está en Puerto Francisco de Orellana. Este alojamiento, que tiene habitaciones familiares, también ofrece terraza solárium. El alojamiento dispone de cocina compartida, servicio de conserjería y servicio de organización de tours.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de wifi gratis. Algunas de las habitaciones también ofrecen vistas a la ciudad. Las unidades de este alojamiento disponen de aire acondicionado y escritorio.

En el hostal o pensión se puede disfrutar de un desayuno continental.

En la recepción 24 horas, el personal habla inglés, español y francés.

El aeropuerto más cercano (Aeropuerto Francisco de Orellana) está a 1 km.","Prohibido fumar en todo el alojamiento, Bañera o ducha, Minibar, Canales de pago, Recepción 24 horas, Inglés, Baño privado, Aire acondicionado, Extintores, TV, Tour o clase sobre cultura local, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Parking en un garaje, Desayuno excepcional, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Detectores de humo, Enchufe cerca de la cama, Proporciona factura, Productos de limpieza, Canales por cable, Servicio de planchado, Escritorio, Servicio de lavandería, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Francés, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/412090150.jpg?k=071221f5ae5a79a5456dd6d101999e83aa507353acac4a24914a4ceebd11c3f7&o=&hp=1,El Pangui,Ecuador
Hotel Torre Orquídea,https://www.booking.com/hotel/ec/torre-orquidea.es.html?aid=2410095,"Hotel Torre Orquídea se encuentra en Puerto Francisco de Orellana. Este hotel de 2 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece recepción 24 horas, servicio de conserjería y servicio de organización de tours.

En el hotel, cada habitación incluye escritorio. Las habitaciones del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto Francisco de Orellana) está a 1 km.","Desayuno, Servicio de entrega de comestibles, Almuerzos para llevar, Baños públicos, Cafetería en el alojamiento, Bañera o ducha, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Centro de negocios, Extintores, Aire acondicionado, TV, Armario, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Menús para dietas especiales (bajo petición), Servicio de traslado, Seguridad 24 horas, WiFi gratis, Detectores de humo, Proporciona factura, Productos de limpieza, Bañera, Desayuno en la habitación, Servicio de planchado, Escritorio, Servicio de lavandería, Salas de reuniones / banquetes, Sofá cama, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/379041990.jpg?k=d34893a1883cd427ceb8177c899fc8bc002a1892edfa93d1407c7dcfdb25a10f&o=&hp=1,El Pangui,Ecuador
Hotel El Auca,https://www.booking.com/hotel/ec/el-auca.es.html?aid=2410095,"El Hotel El Auca, en servicio durante más de 45 años, ofrece alojamiento en el centro de El Coca, en Puerto Francisco de Orellana. Dispone de spa, centro de fitness, sauna y bañera de hidromasaje. También hay bar y restaurante.

Las habitaciones de este hotel tienen aire acondicionado, TV y baño privado con ducha.

El establecimiento ofrece recepción 24 horas.

El aeropuerto más cercano es el aeropuerto Francisco de Orellana, situado a 1 km.","Terraza, Spa y centro de bienestar, Almuerzos para llevar, Alarma de seguridad, Caja fuerte, Habitaciones sin humo, Recepción 24 horas, Inglés, Centro de negocios, Jardín, Extintores, Aire acondicionado, Masajes, Menú para niños, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Fruta, Seguridad 24 horas, WiFi gratis, Buen desayuno, Detectores de humo, Servicio de habitaciones, Sauna, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de fumadores, Desayuno en la habitación, Gimnasio, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/278709942.jpg?k=7f4f7230b394665171a9dadfad6cf33be1528b80f1c3179e2a0dcbef34f2da58&o=&hp=1,El Pangui,Ecuador
Residencial RM,https://www.booking.com/hotel/ec/residencial-rm.es.html?aid=2410095,"Residencial RM se encuentra en Puerto Francisco de Orellana. Cada habitación cuenta con TV con canales por cable.

Las habitaciones del alojamiento tienen wifi gratis y baño privado con ducha y artículos de aseo gratuitos. Algunas de las habitaciones también están equipadas con balcón. En el hostal o pensión, cada habitación tiene ropa de cama y toallas.

El personal habla inglés y español, y estará encantado de dar información sobre la zona en la recepción 24 horas.

El aeropuerto más cercano (Aeropuerto Francisco de Orellana) está a 1 km del alojamiento.","Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Inglés, Baño privado, Aire acondicionado, TV, Perchero, Parking gratis, Ropa de cama, WiFi gratis, Ducha, Canales por cable, Bañera, WC, Toallas, Habitaciones familiares, Tendedero, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/466189172.jpg?k=a3e8650337008dc86c8ec6b7e65f4f5d3221b27fdd7675389f6825adced348fd&o=&hp=1,El Pangui,Ecuador
Confortable Apartamento,https://www.booking.com/hotel/ec/confortable-apartamento.es.html?aid=2410095,"Confortable Apartamento, que tiene terraza, dispone de alojamiento en Puerto Francisco de Orellana con wifi gratis y vistas al jardín. Este apartamento tiene jardín y parking privado gratis.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera y lavavajillas.

El aeropuerto (Aeropuerto Francisco de Orellana) está a 1 km.","Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Wifi buena gratis (37 Mbps), Jardín, Aire acondicionado, TV, Cocina, Parking gratis, Ducha, Enchufe cerca de la cama, Zona de cocina, Cafetera, Lavavajillas, Vistas al jardín, Tostadora, TV de pantalla plana, Balcón, Toallas, Español, Nevera, Utensilios de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/499333356.jpg?k=63915be2aa294309f285861f0913ca09e5a3e1614a62f961fba816c32c69fc10&o=&hp=1,El Pangui,Ecuador
Hostería Chambira,https://www.booking.com/hotel/ec/hosteria-chambira.es.html?aid=2410095,"Hostería Chambira, que tiene restaurante y bar, está en Puerto Francisco de Orellana. Este hotel de 3 estrellas ofrece jardín y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

En el hotel, las habitaciones cuentan con armario. Todas las habitaciones del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

Hostería Chambira ofrece desayuno continental o americano.

El aeropuerto (Aeropuerto Francisco de Orellana) está a 11 km.","Desayuno, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Piscina, Recepción 24 horas, Baño privado, Jardín, Aire acondicionado, Armario, Perchero, Parking gratis, WiFi gratis, Ducha, Servicio de habitaciones, Bar, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529552944.jpg?k=85e4c4ec5e94219467d9ef652e2f8974d08c7b3567ee892c5ff86865ac4d776c&o=&hp=1,El Pangui,Ecuador
Hotel Mirador Sacha,https://www.booking.com/hotel/ec/mirador-sacha.es.html?aid=2410095,"Hotel Mirador Sacha dispone de habitaciones con aire acondicionado en La Joya de los Sachas. El hotel también ofrece wifi gratis y parking privado gratis.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Todas las unidades disponen de baño privado, artículos de aseo gratuitos y ropa de cama.

El personal, que habla inglés y español, ofrece información en la recepción.

El aeropuerto más cercano (Aeropuerto Francisco de Orellana) está a 32 km.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Inglés, Baño privado, Jardín, Aire acondicionado, TV, Parking gratis, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Servicio de lavandería, WC, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520601808.jpg?k=74a84f2e211ce9e6c06a6f3b74fe0e731cddc76f5e4a177b9b4faed17567b84d&o=&hp=1,El Pangui,Ecuador
