hotel,hotel_url,description,popular_facilities,highres_url,city,country
"Hotel, Cocoview Valle de angeles",https://www.booking.com/hotel/hn/cocoview-valle-de-angeles1.es.html?aid=2410095,"Hotel, Cocoview Valle de angeles tiene centro de fitness, jardín, salón de uso común y restaurante en Valle de Ángeles. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, cada habitación cuenta con aire acondicionado, escritorio, terraza con vistas a la montaña, baño privado, TV de pantalla plana, ropa de cama y toallas. Las unidades cuentan con armario y hervidor.

La clientela puede usar el centro de negocios o relajarse en el bar

El aeropuerto más cercano (Aeropuerto Internacional de Toncontín) está a 31 km.","Vistas a la montaña, Papel higiénico, Ropa de cama, Vistas al jardín, Alarma de seguridad, Baño privado, Vino / champán, Cámaras de seguridad fuera del alojamiento, Gimnasio, Registro de entrada / salida privado, Parking gratis, Cenas temáticas, Salas de reuniones / banquetes, Traslado aeropuerto, Detectores de humo, Aire acondicionado, Patio, Desayuno en la habitación, Sombrillas, Seguridad 24 horas, TV de pantalla plana, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Bañera o ducha, Hervidor eléctrico, Servicio de traslado, Barbacoa, Bar, Entrada privada, Baños públicos, Proporciona factura, Plancha para pantalones, Centro de negocios, Restaurante, Bañera, Zona de fumadores, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Almuerzos para llevar, Servicio de planchado, Zona de comedor, Jardín, Escritorio, Mobiliario exterior, Happy hour, Zona TV / salón de uso compartido, Mesa de comedor, Menú para niños, Zona de pícnic, Servicio de limpieza diario, Información turística, Fruta, Registro de entrada y salida exprés, Extintores, Alquiler de coches, Servicio de habitaciones, WiFi gratis, Música / espectáculos en directo, Habitaciones hipoalergénicas, Perchero, Toallas / sábanas (por un suplemento), Armario, Habitaciones familiares, Servicio de streaming (como Netflix), TV, Balcón, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/448267391.jpg?k=19523bc4ce75b59ead19367ea8ee66874576ba221962da7b0340d48dbe9dcb9f&o=&hp=1,El Pedregal,Honduras
Villa Chelsey,https://www.booking.com/hotel/hn/villa-chelsey.es.html?aid=2410095,"Villa Chelsey está en Valle de Ángeles y dispone de wifi gratis, jardín, terraza y bar.

El aeropuerto (Aeropuerto Internacional de Toncontín) está a 29 km.","Jardín, Toallas, Prohibido fumar en todo el alojamiento, Papel higiénico, Ropa de cama, Baño privado, Español, Bar, Parking gratis, Habitaciones sin humo, Armario, Inglés, Terraza, Balcón, Desayuno, Wifi buena gratis (22 Mbps)",https://cf.bstatic.com/xdata/images/hotel/max1024x768/469282885.jpg?k=70d085f0a8a5b3fa08d2a37a0a7e6df735541fa7d49689802c0d82ecaa901084&o=&hp=1,El Pedregal,Honduras
Hotel Risco Lodge,https://www.booking.com/hotel/hn/risco-lodge.es.html?aid=2410095,"Hotel Risco Lodge, que cuenta con jardín, se encuentra en Valle de Ángeles. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Cada habitación cuenta con balcón.

En el hotel, todas las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama, toallas y una terraza con vistas a la montaña. Todas las unidades disponen de armario.","Vistas a la montaña, Papel higiénico, Ropa de cama, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, TV de pantalla plana, Toda la unidad en la planta baja, Vistas, Toallas, Recepción 24 horas, Terraza, Ducha, Artículos de aseo gratis, Zona de comedor, Jardín, Escritorio, Prohibido fumar en todo el alojamiento, Mesa de comedor, Microondas, Servicio de habitaciones, WiFi gratis, Perchero, Toallas / sábanas (por un suplemento), Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Balcón, Piscina, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578516739.jpg?k=11133ca5a20fa472c1fdd90521ed390452afdf94c1b4a85231a925f15993fc64&o=&hp=1,El Pedregal,Honduras
Bama House hn,https://www.booking.com/hotel/hn/bama-house.es.html?aid=2410095,"Bama House hn se encuentra en Valle de Ángeles y ofrece alojamiento con wifi gratis y parking privado gratis.

Todas las unidades tienen baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

También hay un jardín ideal para relajarse.

El aeropuerto más cercano (Aeropuerto Internacional de Toncontín) está a 31 km.","Chimenea exterior, Jardín, Mobiliario exterior, Toallas, Bañera de hidromasaje / jacuzzi, Piscina al aire libre, Papel higiénico, Ropa de cama, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Habitaciones familiares, Ducha, Artículos de aseo gratis, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/430918896.jpg?k=35bc0cb00668972a1624a413ccc6c1429ac5c7e22abfae8a8db6031a60ea67f8&o=&hp=1,El Pedregal,Honduras
Mirador Hotel Aoki,https://www.booking.com/hotel/hn/aoki.es.html?aid=2410095,"Mirador Hotel Aoki dispone de jardín, salón de uso común, restaurante y bar en Valle de Ángeles. Este alojamiento, que cuenta con servicio de habitaciones, también ofrece zona de juegos infantil. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, club infantil y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones cuentan con aire acondicionado, escritorio, terraza con vistas a la ciudad, baño privado, TV de pantalla plana, ropa de cama y toallas. Todas las unidades cuentan con microondas.

La zona es ideal para practicar senderismo, y en Mirador Hotel Aoki hay alquiler de bicicletas.

El aeropuerto más cercano (Aeropuerto Internacional de Toncontín) está a 30 km del alojamiento.","Club infantil, Baño privado, Vino / champán, Registro de entrada / salida privado, Salas de reuniones / banquetes, Detectores de humo, Zona de juegos para niños, Tarjetas de transporte público, Canales por cable, Cama plegable, Chimenea exterior, Bar, Zona de fumadores, Ruta de bares, Servicio de limpieza en seco, Escritorio, Mobiliario exterior, Chimenea, Tarjeta de acceso, Servicio de habitaciones, WiFi gratis, Música / espectáculos en directo, Minibar, Toallas / sábanas (por un suplemento), Terraza / solárium, TV, Barandillas protectoras para bebés, Proporciona factura, Papel higiénico, Ropa de cama, Vistas al jardín, Eventos deportivos en directo (emisión), Habitaciones sin humo, Cenas temáticas, Vistas, Tours en bici, Servicio de traslado, Vistas a la ciudad, Senderismo, Bañera, Almuerzos para llevar, Ducha, Zona TV / salón de uso compartido, Zona de pícnic, Servicio de limpieza diario, Información turística, Fruta, Vistas al lago, Menú para niños, Balcón, Vistas a la montaña, Barandillas de seguridad para bebés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Suelo de moqueta, Parking gratis, Traslado aeropuerto, Patio, Noches de cine, Seguridad 24 horas, Detector de monóxido de carbono, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Entretenimiento nocturno, Plancha para pantalones, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Jardín, Mesa de comedor, Servicio de entrega de comestibles, Acceso a pisos superiores solo mediante escaleras, Microondas, Extintores, Registro de entrada y salida exprés, Discoteca / DJ, Karaoke, Máquina expendedora (aperitivos), Habitaciones familiares, Desayuno, Español, Personal de animación, 2 restaurantes, Alarma de seguridad, Inglés, Zona de comedor exterior, Vistas a un patio interior, TV de pantalla plana, Menús para dietas especiales (bajo petición), Toallas, Restaurante, Equipamiento de juegos para exterior, Tours a pie, Servicio de planchado, Cambio de moneda, Llave de acceso, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Happy hour, Máquina expendedora (bebidas), Comedia en vivo, Ventilador, Servicio de streaming (como Netflix), Sauna",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547374629.jpg?k=7c16a78076110c47c24e10117e267a6a808a194f719929ad128cc94907138db0&o=&hp=1,El Pedregal,Honduras
Nan La Tigra,https://www.booking.com/hotel/hn/nan-la-tigra.es.html?aid=2410095,"Nan La Tigra está en El Rosario y dispone de wifi gratis, jardín, terraza y restaurante.

Se puede descubrir la zona practicando senderismo en los alrededores.

El aeropuerto (Aeropuerto Internacional de Toncontín) está a 45 km.","Baño privado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Chimenea exterior, Masajes, Masaje de espalda, Guardaequipaje, Senderismo, Zona de fumadores, Restaurante, Terraza, Italiano, Jardín, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Zona de pícnic, Clases de yoga, Masaje corporal completo, Servicio de habitaciones, WiFi gratis, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/560296503.jpg?k=ee50881e4cd271bf2724c072729290c01525af202a9b64b03d0d9772d558462d&o=&hp=1,El Pedregal,Honduras
Hotel Risco Lodge,https://www.booking.com/hotel/hn/risco-lodge-valle-de-angeles.es.html?aid=2410095,"Hotel Risco Lodge está en Valle de Ángeles y tiene jardín, terraza, restaurante y wifi gratis en todo el alojamiento. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

En el hotel, cada habitación dispone de escritorio, un balcón con vistas a la montaña, baño privado, TV de pantalla plana, ropa de cama y toallas. Todas las habitaciones tienen armario.","Vistas a la montaña, Papel higiénico, Ropa de cama, Baño privado, Parking gratis, Habitaciones sin humo, TV de pantalla plana, Toda la unidad en la planta baja, Vistas, Toallas, Recepción 24 horas, Terraza, Ducha, Zona de comedor, Jardín, Escritorio, Prohibido fumar en todo el alojamiento, Mesa de comedor, Microondas, Servicio de habitaciones, WiFi gratis, Ventilador, Perchero, Toallas / sábanas (por un suplemento), Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Balcón, Piscina, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/579022916.jpg?k=b40fd0114afbd6037a75eae22d97a9872270b8a9557e4cf9b05fd6c1033a06a5&o=&hp=1,El Pedregal,Honduras
Glamping Anturios,https://www.booking.com/hotel/hn/glamping-anturios.es.html?aid=2410095,"Glamping Anturios está en Valle de Ángeles y ofrece jardín y terraza. Este chalet de montaña dispone de parking privado gratis, servicio de habitaciones y wifi gratis.

El chalet de montaña tiene 3 dormitorios, 3 baños, cocina bien equipada, TV de pantalla plana, y bañera de hidromasaje.

En Glamping Anturios se sirve cada mañana un desayuno a la carta.

El alojamiento ofrece bañera de hidromasaje. Glamping Anturios ofrece servicio de alquiler de bicicletas, y en los alrededores se puede practicar ciclismo.

El aeropuerto (Aeropuerto Internacional de Toncontín) está a 31 km.","Vistas al jardín, Alarma de seguridad, Inglés, Baño privado, Vino / champán, Cámaras de seguridad fuera del alojamiento, Eventos deportivos en directo (emisión), Parking gratis, Habitaciones sin humo, Cenas temáticas, Detectores de humo, Desayuno en la habitación, Sombrillas, Seguridad 24 horas, TV de pantalla plana, Vistas, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Snack-bar, Tours en bici, Barbacoa, Servicio de traslado, Senderismo, Plancha para pantalones, Zona de fumadores, Ruta de bares, Servicio de lavandería, Terraza, Alquiler de bicicletas, Jardín, Cambio de moneda, Zona de pícnic, Bañera de hidromasaje, Servicio de limpieza diario, Información turística, Extintores, Servicio de habitaciones, WiFi gratis, Cocina, Bañera de hidromasaje / jacuzzi, Ciclismo, TV, Habitaciones familiares, Servicio de streaming (como Netflix), Balcón, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/554209736.jpg?k=a5c7e18b6e0e7509ddc7c8fa97559e193cb597c24be6025d5962952327c73ea0&o=&hp=1,El Pedregal,Honduras
Cabaña entre orquídeas,https://www.booking.com/hotel/hn/cabana-entre-orquideas.es.html?aid=2410095,"Cabaña entre orquídeas, que tiene bañera de hidromasaje, está en Valle de Ángeles. Este chalet de montaña dispone de parking privado gratis, servicio de habitaciones y wifi gratis.

El chalet de montaña dispone de 2 dormitorios, 1 baño, ropa de cama, toallas, TV de pantalla plana, zona de comedor, cocina totalmente equipada y terraza con vistas a la montaña. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

En el chalet de montaña, la clientela puede practicar ciclismo en los alrededores o disfrutar del jardín.

El aeropuerto (Aeropuerto Internacional de Toncontín) está a 31 km.","Vistas a la montaña, Barandillas de seguridad para bebés, Ropa de cama, Papel higiénico, Vistas al jardín, Inglés, Baño privado, Vino / champán, Cámaras de seguridad fuera del alojamiento, Aseo adicional, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Cenas temáticas, Patio, Desayuno en la habitación, Seguridad 24 horas, TV de pantalla plana, Lavavajillas, Toda la unidad en la planta baja, Zona de cocina, Vistas, Detector de monóxido de carbono, Toallas, Snack-bar, Bañera o ducha, Tours en bici, Barbacoa, Senderismo, Nevera, Plancha para pantalones, Ruta de bares, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Tours a pie, Zona de comedor, Jardín, Independiente, Mesa de comedor, Servicio de entrega de comestibles, Bañera de hidromasaje, Servicio de limpieza diario, Microondas, Información turística, Servicio de habitaciones, WiFi gratis, Cocina, Bañera de hidromasaje / jacuzzi, Minibar, Ciclismo, Fogones, Toallas / sábanas (por un suplemento), TV, Servicio de streaming (como Netflix), Muebles de exterior, Balcón, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/551178602.jpg?k=2233f38512dc071ec64928322a3a653b570a9a051e67798a7bec556cae9810e5&o=&hp=1,El Pedregal,Honduras
Villa Isabel,https://www.booking.com/hotel/hn/villa-isabel.es.html?aid=2410095,"Villa Isabel, que tiene jardín, ofrece alojamiento en Tegucigalpa con wifi gratis y vistas a la montaña. La casa o chalet, que cuenta con parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo, equitación y ciclismo.

La casa o chalet se encuentra en la planta baja y cuenta con 3 dormitorios, TV de pantalla plana con canales por cable y cocina totalmente equipada con nevera, horno, lavadora, microondas y tostadora. Hay toallas y ropa de cama en la casa o chalet.

En la casa o chalet se puede usar la terraza solárium.

El aeropuerto más cercano (Aeropuerto Internacional de Toncontín) está a 32 km del alojamiento.","WC con barras de apoyo, Vistas a la montaña, Ropa de cama, Papel higiénico, Vistas al jardín, Inglés, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Adaptado para sillas de ruedas, Patio, Secador de pelo, TV de pantalla plana, Canales por cable, Toda la unidad en la planta baja, Zona de cocina, Cámaras de seguridad en las zonas comunitarias, Toallas, Plancha para ropa, Bañera o ducha, Barbacoa, Entrada privada, Senderismo, Nevera, Zona de fumadores, Enchufe cerca de la cama, Lavadora, Zona de comedor, Jardín, Cafetera, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Tostadora, Mesa de comedor, Equitación, Horno, Zona de pícnic, Microondas, Información turística, Extintores, Adaptado personas de movilidad reducida, WiFi gratis, Cocina, Toda la unidad accesible en silla de ruedas, Ciclismo, Perchero, Terraza / solárium, Armario, Habitaciones familiares, TV, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569432176.jpg?k=738e19add2099d02355024efb423ed3c4ef72cecc47f40812881a5af85352e18&o=&hp=1,El Pedregal,Honduras
