hotel,hotel_url,description,popular_facilities,highres_url,city,country
Studio Unit in Beautiful Resort,https://www.booking.com/hotel/pa/studio-unit-in-beautiful-resort.es.html?aid=2410095,"Studio Unit in Beautiful Resort, en El Mangote, ofrece alojamiento solo para adultos con jardín, bar y instalaciones para deportes acuáticos. Este alojamiento ofrece servicio de conserjería y mostrador de información turística, además de wifi gratis en todo el alojamiento. El hotel dispone de piscina al aire libre, centro de fitness, karaoke y salón de uso común.

En el hotel, todas las habitaciones cuentan con aire acondicionado, armario, terraza con vistas a la montaña, baño privado, TV de pantalla plana, ropa de cama y toallas. Todas las unidades cuentan con nevera.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 72 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Zona de fumadores, Vistas a la montaña, Proporciona factura, Horno, Cafetera, Abierta todo el año, Registro de entrada / salida privado, Entrada privada, Instalaciones para deportes acuáticos en el alojamiento, Plancha para ropa, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Guardaequipaje, Nevera, Solo para adultos, Cenas temáticas, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Supermercado pequeño en el alojamiento, Zona de estar, Fogones, Alquiler de coches, Aire acondicionado, Ducha, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Mesa de comedor, Servicio de lavandería, Traslado aeropuerto, Utensilios de planchado, Jardín, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Vistas a la piscina, Servicio de streaming (como Netflix), Cocina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Productos de limpieza, Extintores, Karaoke, Enchufe cerca de la cama, Parking adaptado para personas de movilidad reducida, Juegos de mesa / puzles, Ventilador, Piscina al aire libre, Tetera / cafetera, Seguridad 24 horas, Bar, Baños públicos, Discoteca / DJ, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Bañera o ducha, Sombrillas, Papel higiénico, Zona de cocina, Servicio de conserjería, Llave de acceso, Entretenimiento nocturno, Tostadora, Toallas, Información turística, Tumbonas/sillas de playa, Servicio de traslado, Barbacoa, Artículos de aseo gratis, Snack-bar, Perchero, Personal de animación, Armario, Toda la unidad en la planta baja, Microondas, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/123829284.jpg?k=28a3cca057aa42f17f3c78039b5c74d3ef9da637a1d12efe14c79265e28a4a85&o=&hp=1,El Peñón,Panamá
Villa Tungara,https://www.booking.com/hotel/pa/villa-tungara-panama.es.html?aid=2410095,"Villa Tungara se encuentra en Bejuco y ofrece wifi gratis, piscina al aire libre, jardín y terraza.

Cada unidad está equipada con aire acondicionado, baño privado y cocina con nevera, lavavajillas, horno y microondas.

En la habitación en casa particular se puede disfrutar de un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional Scarlett Martínez) está a 44 km del alojamiento.","Baño privado, Cocina, WiFi gratis, Tumbonas/sillas de playa, Horario de apertura, Tetera/cafetera en todas las habitaciones, Utensilios de cocina, Lavavajillas, Zona de comedor exterior, Barbacoa, Horno, Zona poco profunda, Desayuno, Cafetera, Piscina al aire libre, Abierta todo el año, Tetera / cafetera, Bar, Aire acondicionado, Muebles de exterior, Habitaciones familiares, Ducha, Toallas de playa/piscina, Parking gratis, Español, Mesa de comedor, Sombrillas, Papel higiénico, Armario, Tobogán de agua, Nevera, Jardín, Zona de cocina, Microondas, Valla alrededor de la piscina, Toallas, Piscina pequeña, Ropa de cama, Zona de comedor, Para todas las edades, WC, Terraza, TV de pantalla plana, Piscina infinita",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585805681.jpg?k=5aac869fbcaf67101a2af735844b794ab3598a1b5262be1fa70f69e775b8d582&o=&hp=1,El Peñón,Panamá
Punta Chame Club and Resort,https://www.booking.com/hotel/pa/punta-chame-club-and-resort.es.html?aid=2410095,"Punta Chame Club and Resort está en Pajonal y cuenta con vistas a la montaña, piscina al aire libre, centro de fitness, jardín, terraza y bar. En el camping resort, tanto el wifi como el parking privado son gratis.

Punta Chame Club and Resort ofrece patio, vistas a la piscina, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y horno, y baño privado con ducha y artículos de aseo gratuitos. También se ofrece microondas, fogones y tostadora, además de cafetera.

El alojamiento tiene barbacoa, además de una serie de instalaciones para practicar deportes acuáticos.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 71 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Insonorización, Zona de fumadores, Vistas a la montaña, Proporciona factura, Zona de comedor exterior, Horno, Cafetera, Abierta todo el año, Playa, Registro de entrada / salida privado, Entrada privada, Instalaciones para deportes acuáticos en el alojamiento, Plancha para ropa, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Habitaciones sin humo, Camas extralargas (más de 2 metros), Tarjeta de acceso, Nevera, Para todas las edades, Equipamiento de juegos para exterior, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Supermercado pequeño en el alojamiento, Fax / fotocopiadora, Zona de estar, Vistas al jardín, Secador de pelo, Fogones, Aire acondicionado, Ducha, Sofá, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Mesa de comedor, Servicio de lavandería, Traslado aeropuerto, Utensilios de planchado, Jardín, Alarma de seguridad, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Vistas a la piscina, Cocina, WiFi gratis, Mobiliario exterior, Utensilios de cocina, Canales por cable, Productos de limpieza, Extintores, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Piscina al aire libre, Tetera / cafetera, Seguridad 24 horas, Bar, Patio, Juguetes para la piscina, Habitaciones familiares, Pesca, Toallas de playa/piscina, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Bañera o ducha, Papel higiénico, Servicio de conserjería, Llave de acceso, Tostadora, Toallas, Tumbonas/sillas de playa, Vistas a un patio interior, Tetera/cafetera en todas las habitaciones, Canales vía satélite, Servicio de traslado, Windsurf, Equitación, Barbacoa, Artículos de aseo gratis, Perchero, Habitaciones hipoalergénicas, Armario, Toda la unidad en la planta baja, Microondas, Happy hour, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/92818385.jpg?k=e7390d6e717a49f87acba77f6ffca3082271c8e60a79d61a8fd331d3f6e0adf6&o=&hp=1,El Peñón,Panamá
Punta Chame Club and Resort,https://www.booking.com/hotel/pa/punta-chame.es.html?aid=2410095,"Punta Chame Club and Resort se encuentra en Chame y ofrece centro de fitness, salón de uso común y bar. Este apartamento dispone de piscina privada, jardín, zona de barbacoa, wifi gratis y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y bañera de hidromasaje. Hay toallas y ropa de cama en el apartamento.

Hay piscina al aire libre y terraza en este alojamiento, y en la zona se puede practicar senderismo.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 71 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Insonorización, Servicio de entrega de comestibles, Detector de monóxido de carbono, Zona de fumadores, Vistas a la montaña, Lavadora, Piscina privada, Proporciona factura, Zona de comedor exterior, Sala de juegos, Horno, Cafetera, Abierta todo el año, Playa, Registro de entrada / salida privado, Entrada privada, Plancha para ropa, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Guardaequipaje, Nevera, Balcón, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Supermercado pequeño en el alojamiento, Fax / fotocopiadora, Zona de estar, Vistas al jardín, Fogones, Alquiler de coches, Aire acondicionado, Ducha, Sofá, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Mesa de comedor, Servicio de lavandería, Senderismo, Traslado aeropuerto, Utensilios de planchado, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), Vistas a la piscina, Campo de golf (a menos de 3 km), Cocina, Cama plegable, WiFi gratis, Vistas, Calefacción, Mobiliario exterior, Utensilios de cocina, Canales por cable, Productos de limpieza, Extintores, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Juegos de mesa / puzles, Karaoke, Piscina al aire libre, Tetera / cafetera, Seguridad 24 horas, Bar, Patio, Habitaciones familiares, Pesca, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Secadora de ropa, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Música / espectáculos en directo, Reloj despertador, Servicio de conserjería, Llave de acceso, Tostadora, Toallas, Adosado, Bañera de hidromasaje, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Equitación, Barbacoa, Artículos de aseo gratis, Perchero, Libros, DVD o música para niños, Centro de negocios, Habitaciones hipoalergénicas, Sofá cama, Armario, Toda la unidad en la planta baja, Microondas, Happy hour, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/290126148.jpg?k=a4da1e22f59971592fc02c9bc050812b2ebb4f6cb953afb36a8069ac6de4d0df&o=&hp=1,El Peñón,Panamá
The Doll House Apartment,https://www.booking.com/hotel/pa/the-doll-house-apartment.es.html?aid=2410095,"The Doll House Apartment se encuentra en Villa Rosario, a solo 45 km de Puente de Las Americas, y ofrece alojamiento con vistas al jardín, wifi gratis y parking privado gratis. Este apartamento está a 50 km de Ancon Hill y a 46 km de Estadio Maracana.

El apartamento dispone de terraza, 1 dormitorio, sala de estar y cocina bien equipada.

Museo del Canal Interoceánico de Panamá está a 49 km del alojamiento, y Palacio Presidencial está a 49 km. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 48 km del alojamiento.","Prohibido fumar en todo el alojamiento, Cocina, Parking gratis, WiFi gratis, Zona de cocina, Vistas al jardín, Español, Inglés, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578650835.jpg?k=2f9f5a581e19564e3af0ad1a8242332c69e20122e8e3ed84c9f7634f07130214&o=&hp=1,El Peñón,Panamá
Coronado Beach Paradise,https://www.booking.com/hotel/pa/coronado-beach-paradise.es.html?aid=2410095,"Coronado Beach Paradise se encuentra en El Llano del Medio y ofrece centro de fitness y zona de playa privada. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un patio.

La villa cuenta con terraza y vistas a la montaña, y dispone de 3 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 2 baños con ducha. Hay toallas y ropa de cama en la villa.

La villa ofrece zona de juegos infantil. Se puede practicar senderismo o pesca, ir a la piscina al aire libre, disfrutar de un momento de relax en el jardín o usar la zona de barbacoa.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 80 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Servicio de entrega de comestibles, Zona de fumadores, Vistas a la montaña, Lavadora, Toallas / sábanas (por un suplemento), Proporciona factura, Zona de comedor exterior, Horno, Abierta todo el año, Playa, Registro de entrada / salida privado, Entrada privada, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Zona de juegos para niños, Inglés, Ruta de bares, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Nevera, Para todas las edades, Prohibido fumar en todo el alojamiento, Horario de apertura, Baño al aire libre, Zona de estar, Vistas al jardín, Fogones, Alquiler de coches, Aire acondicionado, Ducha, Sofá, Parking gratis, Terraza / solárium, Español, Zona privada de playa, Mesa de comedor, Servicio de lavandería, Senderismo, Traslado aeropuerto, Jardín, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), Campo de golf (a menos de 3 km), Cocina, WiFi gratis, Vistas, Mobiliario exterior, Utensilios de cocina, Productos de limpieza, Parking en un garaje, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Ventilador, Tetera / cafetera, Baños públicos, Seguridad 24 horas, Patio, Habitaciones familiares, Pesca, Suelo de baldosa / mármol, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Música / espectáculos en directo, Zona de cocina, Llave de acceso, Toallas, Información turística, 2 piscinas, Noches de cine, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Barbacoa, Artículos de aseo gratis, Perchero, Sofá cama, Armario, Toda la unidad en la planta baja, Microondas, Happy hour, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490389255.jpg?k=0b259c1060323b0f07af5e6e39e7aee15c7b3def5b16eaf5d501dc3be2f5f738&o=&hp=1,El Peñón,Panamá
Gorgona Beach House,https://www.booking.com/hotel/pa/gorgona-beach-house.es.html?aid=2410095,"Gorgona Beach House está en Nueva Gorgona, a 1,7 km de Playa de Las Hamacas y a 2,4 km de Playa Malibú, y ofrece alojamiento con wifi gratis, aire acondicionado, terraza y zona de playa privada.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 79 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","WiFi gratis, Vistas, Vistas a un patio interior, Servicio de traslado, Artículos de aseo gratis, Playa, Aire acondicionado, Parking gratis, Español, TV, Zona privada de playa, Inglés, Traslado aeropuerto, Papel higiénico, Ropa de cama, Toallas, Nevera, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/468779032.jpg?k=c874e35fa9bab7cd3c93bddb0ffc8ebd63b443163f1748a300a3ad8672680e04&o=&hp=1,El Peñón,Panamá
HOSPEDAJE VILLAMAR,https://www.booking.com/hotel/pa/hospedaje-villamar.es.html?aid=2410095,"HOSPEDAJE VILLAMAR se encuentra en Nueva Gorgona, a 17 min a pie de Playa de Las Hamacas, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hostal o pensión, cada habitación dispone de un patio con vistas al jardín. Todas las unidades del alojamiento tienen baño privado con artículos de aseo gratuitos, TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también tienen balcón. En HOSPEDAJE VILLAMAR, todas las habitaciones cuentan con ropa de cama y toallas.

El alojamiento cuenta un restaurante que sirve cocina caribeña.

Puedes jugar al billar en HOSPEDAJE VILLAMAR.

Playa Malibú está a 2,2 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 79 km.","Restaurante, Baño privado, WiFi gratis, Vistas, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Canales por cable, Zona de fumadores, Fruta, Menú para niños, Servicio de traslado, Proporciona factura, Extintores, Zona de comedor exterior, Barbacoa, Vistas al jardín, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Piscina al aire libre, Artículos de aseo gratis, Abierta todo el año, Seguridad 24 horas, Baños públicos, Recepción 24 horas, Playa, Patio, Aire acondicionado, Habitaciones familiares, Pesca, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Servicio de lavandería, Billar, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Sombrillas, Jardín, Almuerzos para llevar, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Ropa de cama, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/562943335.jpg?k=2a170a1a90accee65df023317172ac85093d7fecc4768d11a3c0819b48b3d784&o=&hp=1,El Peñón,Panamá
Express Inn Coronado & Camping,https://www.booking.com/hotel/pa/express-inn.es.html?aid=2410095,"El Express Inn Coronado & Camping, situado a solo 5 km de la playa de Gorgona y a 8 km de la playa de Coronado, cuenta con piscina al aire libre y jardines. Las habitaciones disponen de conexión Wi-Fi gratuita y TV de pantalla plana por cable.

Las habitaciones del Express Inn Coronado presentan una decoración luminosa y funcional. Cuentan con aire acondicionado, escritorio, caja fuerte y baño privado con ducha y artículos de aseo gratuitos.

El restaurante del hotel sirve cocina internacional. En la ciudad de Coronado, situada a 10 minutos a pie, encontrará tiendas de comestibles, cafeterías y restaurantes.

El Express Inn Coronado & Camping dispone de una recepción abierta las 24 horas con mostrador de información turística y servicio de consigna de equipaje. También cuenta con aparcamiento privado gratuito. La ciudad de Panamá se encuentra a 90 minutos en coche.","Vistas a la piscina, Baño privado, Campo de golf (a menos de 3 km), WiFi gratis, Servicio de traslado, Escritorio, Servicio de despertador, Piscina al aire libre, Artículos de aseo gratis, Teléfono, Abierta todo el año, Alquiler de coches, Recepción 24 horas, Aire acondicionado, Ducha, Parking gratis, Español, TV, Suelo de baldosa / mármol, Inglés, Servicio de lavandería, Habitaciones sin humo, Armario, Jardín, Guardaequipaje, Información turística, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/25688024.jpg?k=b2b236c33d39d57889aa8afe9dd0ec41081439658de309d5cbd4e9782986a8a4&o=&hp=1,El Peñón,Panamá
Casa Jardín Nueva Gorgona,https://www.booking.com/hotel/pa/caja-jardin-nueva-gorgona.es.html?aid=2410095,"Casa Jardín Nueva Gorgona se encuentra en Nueva Gorgona, a 1,7 km de Playa de Las Hamacas, y ofrece alojamiento con piscina al aire libre, parking privado gratis y jardín. Este hostal o pensión acepta mascotas y ofrece wifi gratis.

El hostal o pensión ofrece desayuno continental o americano.

Playa Malibú está a 2,4 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional Scarlett Martínez) está a 41 km del alojamiento.","Habitaciones familiares, Prohibido fumar en todo el alojamiento, Parking gratis, WiFi gratis, Jardín, Español, Desayuno, Piscina al aire libre, Inglés, Abierta todo el año, Playa, Aire acondicionado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581714720.jpg?k=df2c607f7bdd9799fc109928e667d971a5534a4310fd54bfa1c22bc5c0870d50&o=&hp=1,El Peñón,Panamá
