hotel,hotel_url,description,popular_facilities,highres_url,city,country
Bodhi Santa Catalina,https://www.booking.com/hotel/pa/bodhi-santa-catalina.es.html?aid=2410095,"Bodhi Santa Catalina está en Santa Catalina, a 7 min a pie de Playa de Santa Catalina, y dispone de alojamiento con jardín, parking privado gratis y terraza. Este alojamiento se encuentra muy cerca de lugares de interés como Playa El Estero. El alojamiento ofrece cocina compartida y wifi gratis en todo el alojamiento.

Las habitaciones incluyen baño privado con ducha, algunas ofrecen balcón y otras también incluyen vistas a la ciudad. En el albergue, cada habitación cuenta con ropa de cama y toallas.

La clientela puede practicar actividades en Santa Catalina y alrededores, como ciclismo.

El aeropuerto (Aeropuerto de Pedasí) está a 257 km.","Baño privado, WiFi gratis, Zona de fumadores, Ciclismo, Extintores, Enchufe cerca de la cama, Juegos de mesa / puzles, Buen desayuno, Snorkel, Pesca, Ducha, Parking gratis, Español, Inglés, Boles para mascotas, Servicio de lavandería, Habitaciones sin humo, Papel higiénico, Jardín, Toallas, Submarinismo, Ropa de cama, WC, Terraza, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/209304233.jpg?k=8101114a5a352eceb9e9bfc5a5b758e55b9bb9589d86545c3e90ecddba881273&o=&hp=1,El Pito,Panamá
Hotel Oasis & Surf Camp,https://www.booking.com/hotel/pa/oasis-surf-camp.es.html?aid=2410095,"Hotel Oasis & Surf Camp se encuentra en Santa Catalina, a pocos pasos de Playa El Estero, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este albergue de 3 estrellas tiene wifi gratis, restaurante y bar. El alojamiento dispone de karaoke y servicio de traslado gratuito.

Todas las habitaciones disponen de baño privado con ducha, algunas ofrecen balcón y otras también disponen de vistas al mar.

Puedes jugar al ping-pong en el albergue.

Playa de Santa Catalina está a 2,1 km del alojamiento. El aeropuerto más cercano (Aeropuerto de Pedasí) está a 259 km.","Restaurante, Baño privado, Cenas temáticas, Noches de cine, Zona TV / salón de uso compartido, WiFi gratis, Tumbonas/sillas de playa, Mobiliario exterior, Zona de fumadores, Italiano, Fruta, Menú para niños, Servicio de traslado, Masaje de pies, Zona de juegos interior, Baño al aire libre, Extintores, Equitación, Desayuno fabuloso, Karaoke, Parking adaptado para personas de movilidad reducida, Snack-bar, Snorkel, Masaje de manos, Seguridad 24 horas, Baños públicos, Bar, Playa, Aire acondicionado, Masajes, Discoteca / DJ, Habitaciones familiares, Ducha, Pesca, Menús para dietas especiales (bajo petición), Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Terraza / solárium, Masaje de espalda, Situado frente a la playa, Español, Zona privada de playa, Inglés, Servicio de lavandería, Senderismo, Traslado aeropuerto, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Ping pong, Vino / champán, Servicio de limpieza diario, Masaje corporal completo, Sombrillas, Jardín, Llave de acceso, Almuerzos para llevar, Cafetería en el alojamiento, Toallas, Submarinismo, Guardaequipaje, Información turística, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/293953122.jpg?k=056731f21eba9fb8cef9342344f1798ed4586c965ff6943bb1ae1ad89bd17018&o=&hp=1,El Pito,Panamá
Cabañas Sherlley,https://www.booking.com/hotel/pa/cabanas-sherlley.es.html?aid=2410095,"Cabañas Sherlley se encuentra en Soná, a 8 min a pie de Playa El Estero, y ofrece alojamiento con jardín, parking privado gratis y terraza. El hotel libre de humo ofrece wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones incluyen armario. Cabañas Sherlley dispone de algunas unidades con vistas a la ciudad, y todas cuentan con patio. Todas las unidades de este alojamiento disponen de aire acondicionado y escritorio.

Playa de Santa Catalina está a 14 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto de Chitré-Alonso Valderrama) está a 187 km.","Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Tetera/cafetera en todas las habitaciones, Utensilios de cocina, Escritorio, Zona de estar, Baño adicional, Zona de comedor exterior, Enchufe cerca de la cama, Ventilador, Artículos de aseo gratis, Tetera / cafetera, Fogones, Patio, Aire acondicionado, Muebles de exterior, Habitaciones familiares, Entrada privada, Parking gratis, Español, Suelo de baldosa / mármol, Albornoz, Mesa de comedor, Inglés, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Armario, Nevera, Jardín, Toallas, Ropa de cama, Zona de comedor, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582085500.jpg?k=85a0806aa31e506aeb99e4b7a70575123008a37e6f80474af8cd8591b6de5fcc&o=&hp=1,El Pito,Panamá
Urbanos Hostel,https://www.booking.com/hotel/pa/turtle-hostel-santa-catalina.es.html?aid=2410095,"Urbanos Hostel está en Santa Catalina, a 7 min a pie de Playa de Santa Catalina y a 1,9 km de Playa El Estero. Ofrece alojamiento con jardín y wifi gratis en todo el alojamiento, además de parking privado gratis.

Todas las habitaciones disponen de baño compartido y aire acondicionado, y algunas tienen además balcón. Todas las habitaciones tienen ropa de cama.

En el albergue se sirve cada mañana un desayuno americano.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 257 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Detector de monóxido de carbono, WiFi gratis, Tendedero, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Productos de limpieza, Baño compartido, Servicio de traslado, Supermercado pequeño en el alojamiento, Toallas / sábanas (por un suplemento), Lavadora, Proporciona factura, Extintores, Zona de comedor exterior, Horno, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Juegos de mesa / puzles, Snorkel, Tetera / cafetera, Seguridad 24 horas, Fogones, Playa, Aire acondicionado, Registro de entrada / salida privado, Desayuno excepcional, Ducha, Parking gratis, Español, Inglés, Servicio de lavandería, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Música / espectáculos en directo, Servicio de limpieza diario, Nevera, Jardín, Llave de acceso, Tour o clase sobre cultura local, Desayuno en la habitación, Ropa de cama, Zona de comedor, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/452064159.jpg?k=03ff00231ed495d8f4d6fbf701f0286f9cb8425ae123300ded781dfcfdbe45d5&o=&hp=1,El Pito,Panamá
Sunset Catalina,https://www.booking.com/hotel/pa/sunset-catalina.es.html?aid=2410095,"Sunset Catalina dispone de wifi gratis en todo el alojamiento y habitaciones con aire acondicionado en Santa Catalina. Este alojamiento libre de humo está a 4 min a pie de Playa de Santa Catalina.

En el hostal o pensión, todas las habitaciones incluyen ropa de cama y toallas.

Playa El Estero está a 17 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto de Pedasí) está a 257 km.","Habitaciones familiares, Ducha, Prohibido fumar en todo el alojamiento, Toallas / sábanas (por un suplemento), Parking gratis, WiFi gratis, Español, Artículos de aseo gratis, Inglés, Toallas, Ropa de cama, Cocina compartida, Aire acondicionado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/404070426.jpg?k=d489c0e7c24c6b6d4d6aec8d1e1798553648a80c0c87950d74128bd11dc6b9c0&o=&hp=1,El Pito,Panamá
Hostel Villa Vento Surf,https://www.booking.com/hotel/pa/hostel-villa-vento-surf-santa-catalina.es.html?aid=2410095,"El Hostel Villa Vento Surf Surf Santa Catalina se encuentra en Santa Catalina y cuenta con piscina al aire libre y zona de barbacoa. Además, hay jardín, bar, cocina compartida, servicio de información turística y consigna de equipaje.

El menú consiste en crepes y café negro por la mañana. El personal del albergue hace la mezcla para crepes y la coloca junto a la cocina para que los huéspedes puedan preparar sus propios crepes. El café estará listo para servir en la cafetera.

El albergue ofrece solárium.","Zona TV / salón de uso compartido, WiFi gratis, Tumbonas/sillas de playa, Mobiliario exterior, Zona de fumadores, Eventos deportivos en directo (emisión), Fruta, Supermercado pequeño en el alojamiento, Parking en un garaje, Barbacoa, Desayuno, Piscina al aire libre, Snack-bar, Snorkel, Abierta todo el año, Bar, Aire acondicionado, Entrenador personal, Habitaciones familiares, Ducha, Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Terraza / solárium, Español, Inglés, Papel higiénico, Servicio de limpieza diario, Jardín, Happy hour, Submarinismo, Guardaequipaje, Información turística, Para todas las edades, WC, Portugués, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/514799174.jpg?k=2f493ac0ac2acf8e4353e9cd5709cca2369f083f51a04e9e24ff53db9299bd10&o=&hp=1,El Pito,Panamá
Bambuda Santa Catalina,https://www.booking.com/hotel/pa/bambuda-santa-catalina.es.html?aid=2410095,"Bambuda Santa Catalina está en Santa Catalina, a 9 min a pie de Playa de Santa Catalina, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. El alojamiento cuenta con bar y se encuentra a 2 km de Playa El Estero. El albergue libre de humo ofrece wifi gratis en todo el alojamiento.

En el albergue, las habitaciones están equipadas con aire acondicionado y baño privado.

Bambuda Santa Catalina ofrece desayuno continental o americano.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 257 km.","Restaurante, Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Mobiliario exterior, Proporciona factura, Extintores, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Bar, Playa, Aire acondicionado, Habitaciones familiares, Ducha, Parking gratis, Español, Alquiler de bicicletas, Inglés, Servicio de lavandería, Habitaciones sin humo, Música / espectáculos en directo, Servicio de limpieza diario, Jardín, Tours en bici, Guardaequipaje, Ropa de cama, Taquillas, WC, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581239071.jpg?k=d0792ed590acc43f4fc9d85e09da30f1e594a0fa004a554835f993e1c27b771b&o=&hp=1,El Pito,Panamá
Vista Coiba Villas & Restaurant,https://www.booking.com/hotel/pa/vista-coiba.es.html?aid=2410095,"El Hotel Vista Coiba Villas & Restaurant se encuentra a 40 metros de la Punta, un lugar popular para practicar surf. Se encuentra a 15 minutos a pie de la playa Estero, la playa de arena de Santa Catalina.

Todas las habitaciones del Vista Coiba Villas & Restaurant Panama tienen aire acondicionado, vistas al jardín y baño privado con agua caliente y secador de pelo. Las habitaciones también cuentan con TV por cable de pantalla plana, nevera pequeña, caja fuerte, mesa con sillas y terraza con hamacas.

El Vista Coiba Villas & Restaurant ofrece tablas de surf y tablas de surf de forma gratuita. En el mostrador de información turística del hotel se pueden organizar actividades como snorkel, buceo y pesca.

El Vista Coiba Villas & Restaurant está a solo 1 km de la playa de El Estero y a 1 hora en barco del parque nacional de Isla de Coiba. La ciudad de David y su aeropuerto están a 3 horas en coche y la ciudad de Panamá, a unas 5 horas.","Restaurante, Baño privado, Cama plegable, WiFi gratis, Tumbonas/sillas de playa, Balcón, Mobiliario exterior, Fruta, Servicio de traslado, Zona de estar, Zona de juegos interior, Extintores, Equitación, Cajero automático en el hotel, Barbacoa, Vistas al jardín, Piscina con vistas, Juegos de mesa / puzles, Ventilador, Francés, Piscina al aire libre, Artículos de aseo gratis, Snorkel, Perchero, Secador de pelo, Seguridad 24 horas, Abierta todo el año, Playa, Patio, Aire acondicionado, Alemán, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Entrada privada, Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Terraza / solárium, Toallas de playa/piscina, Situado frente a la playa, Español, Zona privada de playa, Mesa de comedor, Piragüismo, Servicio de lavandería, Inglés, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Ping pong, Vino / champán, Servicio de limpieza diario, Armario, Bar en la piscina, Sombrillas, Nevera, Jardín, Llave de acceso, Happy hour, Toallas, Submarinismo, Guardaequipaje, Ropa de cama, Información turística, Zona de comedor, Para todas las edades, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/231854582.jpg?k=38faee51b25c2297496836f9189aa1f51e3e0834ffa72f6c7fe112dfb03981ea&o=&hp=1,El Pito,Panamá
Hotel Las Hamacas,https://www.booking.com/hotel/pa/santa-catalina-rentals-las-hamacas.es.html?aid=2410095,"El Hotel Las Hamacas ofrece terraza, vistas a la piscina y jardín y se encuentra en el centro de Santa Catalina. El establecimiento está muy cerca de varias playas de surf, tiendas de buceo y restaurantes. Hay aparcamiento privado gratuito.

Algunos alojamientos tienen zona de estar. Las habitaciones disponen de cocina y baño privado con agua caliente. El Hotel Las Hamacas ofrece WiFi gratuita de alta velocidad por fibra óptica en todas las instalaciones.","Baño privado, Habitaciones comunicadas disponibles, WiFi gratis, Vistas, Tumbonas/sillas de playa, Mosquitera, Horario de apertura, Vistas a un patio interior, Mobiliario exterior, Zona de fumadores, Piscina de agua salada, Productos de limpieza, Corte de pelo, Servicio de traslado, Baño adicional, Extintores, Equitación, Parking en un garaje, Manicura, Acceso a pisos superiores solo mediante escaleras, Vistas al jardín, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Piscina al aire libre, Artículos de aseo gratis, Snorkel, Perchero, Abierta todo el año, Peluquería / salón de belleza, Patio, Tours a pie, Aire acondicionado, Tinte, Peinado, Habitaciones familiares, Ducha, Pesca, Pedicura, Parking gratis, Servicios de depilación, Español, Detectores de humo, Mesa de comedor, Inglés, Servicio de lavandería, Bañera o ducha, Servicios de belleza, Cámaras de seguridad en las zonas comunitarias, Exfoliación corporal, Tratamientos faciales, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Tratamientos corporales, Bar en la piscina, Nevera, Jardín, Servicio de conserjería, Clases de yoga, Envoltura corporal, Tratamientos capilares, Cafetería en el alojamiento, Toallas, Submarinismo, Información turística, Ropa de cama, Zona de comedor, Para todas las edades, WC, Terraza, Zona de pícnic, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537533629.jpg?k=06c11f2d9400a26410d69f97bba374bf98d1aab68e05e040f19d0bf48c259154&o=&hp=1,El Pito,Panamá
Hostal Familiar Rolo,https://www.booking.com/hotel/pa/hostal-familiar-rolo.es.html?aid=2410095,"Hostal Familiar Rolo se encuentra en Santa Catalina, a 1 min a pie de Playa de Santa Catalina y a 1,7 km de Playa El Estero. Ofrece alojamiento con jardín y wifi gratis, además de parking privado gratis. Este alojamiento, que cuenta con cocina compartida, también ofrece barbacoa. Algunas habitaciones del alojamiento incluyen una terraza con vistas al mar.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 257 km del alojamiento.","WiFi gratis, Zona de fumadores, Proporciona factura, Extintores, Barbacoa, Snorkel, Playa, Tours a pie, Pesca, Ducha, Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Español, Situado frente a la playa, Suelo de baldosa / mármol, Inglés, Senderismo, Ruta de bares, Habitaciones sin humo, Servicio de limpieza diario, Papel higiénico, Jardín, Información turística, WC, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/151785817.jpg?k=9a8d28ffb56e5a8fa27bb65008b91291cfb09cf7ec5be19d40f99ad5c82a5df8&o=&hp=1,El Pito,Panamá
