hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Restaurante Carolina,https://www.booking.com/hotel/es/hostal-restaurante-carolina.es.html?aid=2410095,"El Hostal Restaurante Carolina cuenta con piscina al aire libre y terraza amueblada. Este hotel está situado en Pedrosillo el Ralo y ofrece restaurante.

Todas las habitaciones del Hostal Restaurante Carolina incluyen conexión WiFi gratuita, TV y baño privado con bañera o ducha y artículos de aseo gratuitos. La ropa de cama y toallas están incluidas. Todas las habitaciones tienen calefacción.

El Hostal Restaurante Carolina dispone de recepción abierta las 24 horas, mostrador de información turística, consigna de equipaje y salón compartido.

También tiene aparcamiento gratuito.","Servicio de despertador / alarma, Papel higiénico, Ropa de cama, Fax / fotocopiadora, Alarma de seguridad, Baño privado, Servicio de despertador, Vino / champán, Aire acondicionado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Suelo de baldosa / mármol, Juegos de mesa / puzles, Detectores de humo, Valla alrededor de la piscina, Sombrillas, Teléfono, TV de pantalla plana, Menús para dietas especiales (bajo petición), Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Snack-bar, Bañera o ducha, WC, Bar, Baños públicos, Guardaequipaje, Centro de negocios, Restaurante, Buen desayuno, Servicio de conserjería, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Artículos de aseo gratis, Almuerzos para llevar, Servicio de planchado, Jardín, Servicio de limpieza en seco, Mobiliario exterior, Llave de acceso, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Parking en la calle, Acceso a pisos superiores solo mediante escaleras, Calefacción, Servicio de limpieza diario, Información turística, Fruta, Piscina al aire libre, Instalaciones para deportes acuáticos en el alojamiento, Camas extralargas (más de 2 metros), Extintores, Solo para adultos, WiFi gratis, Perchero, De temporada, Tumbonas/sillas de playa, Armario, Habitaciones familiares, TV, Bar en la piscina, Menú para niños, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/250705775.jpg?k=eaae03d150f477f5d4ed16c492e731cd3ca82710948f52414a69dacdf0da84bc&o=&hp=1,El Ralo,Honduras
Hotel Rural La Plazuela,https://www.booking.com/hotel/es/centro-de-turismo-rural-la-plazuela.es.html?aid=2410095,"El hotel La Plazuela, situado en la localidad pequeña de Aldealengua, ofrece alojamiento sencillo con conexión WiFi gratuita. En el restaurante se sirve comida regional típica. El centro histórico de Salamanca se encuentra a solo 10 km.

Todas las habitaciones del Hotel Rural La Plazuela presentan suelo de baldosa y disponen de calefacción central y baño privado con ducha.

En el restaurante de La Plazuela los huéspedes podrán probar platos típicos de Castilla y León. Se preparan almuerzos para llevar.

Además, el establecimiento cuenta con recepción, abierta de 09:30 a 22:30, y sala de juegos. El personal puede facilitar información sobre las actividades que se pueden practicar por la zona y también se proporciona servicio de lavandería.

El aeropuerto de Salamanca, que tiene vuelos regulares a Barcelona, las islas Canarias y a las Baleares, se halla a solo 20 minutos en coche.","Papel higiénico, Ropa de cama, Baño privado, Cámaras de seguridad fuera del alojamiento, Suelo de baldosa / mármol, Cenas temáticas, Juegos de mesa / puzles, Sala de juegos, Secador de pelo, TV de pantalla plana, Zona de juegos interior, Cámaras de seguridad en las zonas comunitarias, Toallas, Bañera o ducha, WC, Ascensor, Proporciona factura, Senderismo, Nevera, Restaurante, Acceso a pisos superiores en ascensor, Enchufe cerca de la cama, Almuerzos para llevar, Servicio de lavandería, Ducha, Artículos de aseo gratis, Escritorio, Prohibido fumar en todo el alojamiento, Insonorización, Zona TV / salón de uso compartido, Equitación, Calefacción, Piragüismo, Información turística, WiFi gratis, Minibar, Ventilador, Armario, Habitaciones familiares, Pesca, TV, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/45504189.jpg?k=3331b5c18b69256f00e74f0ec2c5b5fe6b0eb0deaf3b6333a934a1232236df30&o=&hp=1,El Ralo,Honduras
La Villa Hostal,https://www.booking.com/hotel/es/la-villa-hostal.es.html?aid=2410095,"La Villa Hostal se encuentra en Calvarrasa de Abajo, a 12 km de Plaza Mayor de Salamanca, y dispone de terraza, habitaciones libres de humo y wifi gratis en todo el alojamiento. El alojamiento está a 13 km de Universidad de Salamanca, a 11 km de Museo de Historia de la Automoción y a 12 km de Universidad Pontificia de Salamanca. Museo de Art Déco y Art Nouveau está a 13 km del hostal o pensión y Golf Villamayor, a 19 km.

En el hostal o pensión, todas las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades de este alojamiento incluyen aire acondicionado y armario.

Parque de los Jesuitas está a 11 km del alojamiento, y Colegio Oficial de Ingenieros Industriales de Salamanca está a 11 km. El aeropuerto más cercano (Aeropuerto de Salamanca) está a 4 km del alojamiento.","Papel higiénico, Ropa de cama, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, TV de pantalla plana, Toallas, Bañera o ducha, WC, Enchufe cerca de la cama, Terraza, Ducha, Artículos de aseo gratis, Escritorio, Prohibido fumar en todo el alojamiento, Parking en la calle, Calefacción, Microondas, Extintores, WiFi gratis, Bidet, Armario, Habitaciones familiares, TV, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/315340180.jpg?k=ee21db5aa9d74fbbc81ed7efea7c4184ea5331f5ac308ba5ad2d8e99d8f96139&o=&hp=1,El Ralo,Honduras
Hotel Helmántico,https://www.booking.com/hotel/es/helmantico.es.html?aid=2410095,"Este elegante hotel está situado a 5 minutos en coche del centro de Salamanca. Ofrece habitaciones con aire acondicionado de forma gratuita. Wi-Fi. Se facilita aparcamiento privado gratuito. El Hotel Helmántico está situado junto a la A-62.

A 50 metros del hotel hay una parada de autobús con servicio regular al centro de la ciudad, que funciona cada hora. La recepción del hotel está abierta las 24 horas.

La cafetería del Helmántico Hotel sirve tapas y otras comidas ligeras.

El restaurante Cátedra sirve platos a la carta y un menú a precio fijo.","Fax / fotocopiadora, Baño privado, Registro de entrada / salida privado, Salas de reuniones / banquetes, Detectores de humo, Snack-bar, Ascensor, Bar, Hipoalergénico, Zona de fumadores, Habitaciones insonorizadas, Escritorio, WiFi gratis, Terraza / solárium, TV, Proporciona factura, Papel higiénico, Servicio de despertador, Portugués, Habitaciones sin humo, Teléfono, Secador de pelo, WC, Servicio de traslado, Acceso a pisos superiores en ascensor, Senderismo, Bañera, Buen desayuno, Servicio de conserjería, Canguro / servicios para niños, Almuerzos para llevar, Enchufe cerca de la cama, Suelo de madera o parquet, Parking adaptado para personas de movilidad reducida, Reloj despertador, Insonorización, Zona TV / salón de uso compartido, Servicio de limpieza diario, Información turística, Buffet para niños, Menú para niños, Radio, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Traslado aeropuerto, Sala de juegos, Cafetería en el alojamiento, Guardaequipaje, Centro de negocios, Plancha para pantalones, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Extintores, Registro de entrada y salida exprés, Habitaciones familiares, Español, Caja fuerte, Alarma de seguridad, Juegos de mesa / puzles, Campo de golf (a menos de 3 km), TV de pantalla plana, Menús para dietas especiales (bajo petición), Francés, Bañera o ducha, Restaurante, Servicio de planchado, Cambio de moneda, Prohibido fumar en todo el alojamiento, Calefacción, Adaptado personas de movilidad reducida, Bidet, Ciclismo, Armario, Inglés",https://cf.bstatic.com/xdata/images/hotel/max1024x768/271765726.jpg?k=809f0bddac0896b691f28a0f5965618019216b1aac19168755e6351c3a66405b&o=&hp=1,El Ralo,Honduras
Hotel Castellano Centro,https://www.booking.com/hotel/es/r-castellano-ii.es.html?aid=2410095,"El Hotel Castellano Centro está situado en el centro de Salamanca. Ofrece WiFi gratuita y aparcamiento privado.

Las habitaciones del Hotel Castellano Centro son elegantes y confortables y tienen calefacción, caja fuerte, TV de pantalla plana y baño completo.

El Hotel Castellano Centro se encuentra a solo 10 minutos a pie de la Plaza Mayor, cerca del parque de la Alamedilla y de la plaza de España. Hay tiendas y lugares de ocio en las inmediaciones.","Servicio de despertador / alarma, Papel higiénico, Ropa de cama, Caja fuerte, Servicio de despertador, Baño privado, Inglés, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Vistas a un patio interior, Patio, Secador de pelo, TV de pantalla plana, Seguridad 24 horas, Toda la unidad en la planta baja, Francés, Cámaras de seguridad en las zonas comunitarias, Toallas, Bañera o ducha, WC, Tours en bici, Hipoalergénico, Guardaequipaje, Proporciona factura, Bañera, Servicio de conserjería, Recepción 24 horas, Enchufe cerca de la cama, Suelo de madera o parquet, Ducha, Artículos de aseo gratis, Alquiler de bicicletas, Zona de comedor, Escritorio, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Máquina expendedora (bebidas), Acceso a pisos superiores solo mediante escaleras, Tarjeta de acceso, Parking privado, Servicio de limpieza diario, Calefacción, Información turística, Extintores, Estación de carga de vehículos eléctricos, Parking en un garaje, WiFi gratis, Bidet, Ciclismo, Ventilador, Perchero, Productos de limpieza, Zona de estar, Armario, Habitaciones familiares, TV, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/248227745.jpg?k=d3fc827faedd31393da95bf678d821a13ba5d694596a0c3c624989ebd5c0c179&o=&hp=1,El Ralo,Honduras
Bardal de Huerta,https://www.booking.com/hotel/es/bardal-de-huerta.es.html?aid=2410095,"Bardal de Huerta, que cuenta con terraza, restaurante, bar y wifi gratis, se encuentra en Huerta, a 25 km de Plaza Mayor de Salamanca y a 26 km de Universidad de Salamanca. El alojamiento está a 24 km de Museo de Historia de la Automoción, a 25 km de Universidad Pontificia de Salamanca y a 26 km de Museo de Art Déco y Art Nouveau. El alojamiento ofrece cocina compartida y servicio de organización de tours.

En el hotel, las habitaciones incluyen armario y TV de pantalla plana. Todas las habitaciones disponen de baño privado con ducha y artículos de aseo gratuitos, y algunas también ofrecen cocina con nevera. En Bardal de Huerta, cada habitación incluye ropa de cama y toallas.

La clientela puede practicar actividades en Huerta y alrededores, como senderismo y pesca.

Golf Villamayor está a 32 km del alojamiento, y Estación de tren de Salamanca está a 18 km. El aeropuerto más cercano (Aeropuerto de Salamanca) está a 2 km.","Papel higiénico, Ropa de cama, Portugués, Baño privado, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Secador de pelo, TV de pantalla plana, Zona de juegos interior, Toallas, Cafetería en el alojamiento, Bañera o ducha, Cocina compartida, Bar, Senderismo, Zona de fumadores, Restaurante, Enchufe cerca de la cama, Terraza, Ducha, Artículos de aseo gratis, Suelo de madera o parquet, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Equitación, Zona de pícnic, Parking en la calle, Acceso a pisos superiores solo mediante escaleras, Calefacción, Servicio de limpieza diario, Piragüismo, Boles para mascotas, Información turística, Extintores, WiFi gratis, Terraza / solárium, Tiro con arco, Armario, Habitaciones familiares, Pesca, TV, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/140703755.jpg?k=3a4db02be03a68119f8bcb575a5210c0e0f0311b781764cfe8385bd99e9a0972&o=&hp=1,El Ralo,Honduras
Hotel Corona de Castilla,https://www.booking.com/hotel/es/corona-de-castilla.es.html?aid=2410095,"El Hotel Corona de Castilla está situado frente al estadio Helmántico, a 3 km del centro de Salamanca. Cuenta con recepción 24 horas, conexión Wi-Fi gratuita y habitaciones con aire acondicionado y TV.

Las habitaciones presentan suelos de madera y están equipadas con calefacción, escritorio y baño privado con artículos de aseo y bañera o ducha.

El hotel ofrece desayunos bufé y alberga un restaurante a la carta, un bar y un salón con chimenea y objetos taurinos de interés.

El hotel también dispone de mostrador de información turística y se encuentra a 100 metros de una parada de autobús local. Además, hay taxis disponibles las 24 horas. Las autopistas A66 y A62 están bien comunicadas con el hotel.

Madrid se halla a 2 horas y media en coche.","Papel higiénico, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Detectores de humo, Teléfono, Secador de pelo, TV de pantalla plana, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, WC, Bar, Restaurante, Buen desayuno, Enchufe cerca de la cama, Suelo de madera o parquet, Ducha, Escritorio, Prohibido fumar en todo el alojamiento, Parking en la calle, Calefacción, Información turística, Extintores, WiFi gratis, Perchero, Armario, Habitaciones familiares, TV, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/6376197.jpg?k=7c65c92959b0569e85fd5adb04720b2b96169beeb8c4423dee247775c82d82c2&o=&hp=1,El Ralo,Honduras
Hotel Condal,https://www.booking.com/hotel/es/condal-salamanca.es.html?aid=2410095,"Este hotel está situado en el centro de Salamanca, a 3 minutos a pie de la famosa Plaza Mayor y de la zona comercial. Hay un aparcamiento público en las inmediaciones.

Las habitaciones son sencillas y están bien equipadas. Disponen de baño, aire acondicionado, TV, teléfono y WiFi gratuita.

El Hotel Condal alberga un bar cafetería con WiFi gratuita y en los alrededores hay numerosos bares, restaurantes y teatros.","Servicio de despertador / alarma, Papel higiénico, Ropa de cama, Fax / fotocopiadora, Servicio de despertador, Baño privado, Inglés, Aire acondicionado, Registro de entrada / salida privado, Salas de reuniones / banquetes, Teléfono, Secador de pelo, TV de pantalla plana, Seguridad 24 horas, Francés, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Bañera o ducha, Fax, WC, Ascensor, Bar, Guardaequipaje, Acceso a pisos superiores en ascensor, Bañera, Servicio de conserjería, Recepción 24 horas, Enchufe cerca de la cama, Ducha, Artículos de aseo gratis, Parking adaptado para personas de movilidad reducida, Cambio de moneda, Parking, Escritorio, Llave de acceso, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Calefacción, Servicio de limpieza diario, Información turística, Extintores, Estación de carga de vehículos eléctricos, Registro de entrada y salida exprés, Parking en un garaje, WiFi gratis, Bidet, Toda la unidad accesible en silla de ruedas, Perchero, Armario, Habitaciones familiares, TV, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/327104811.jpg?k=4dcd688878456d83a46163128e071707a490aeeb6910715ca4a837b70e5aa490&o=&hp=1,El Ralo,Honduras
Hotel Bardo Recoletos Coco,https://www.booking.com/hotel/es/recoletos-coco.es.html?aid=2410095,"Offering an outdoor pool, this hotel is located in Salamanca. Free WiFi access is available.

Each room here will provide you with air conditioning. Private bathrooms come with a bath or shower. Extras include a desk and a safety deposit box.

At Hotel Bardo Recoletos Coco you will find a 24-hour front desk and a bar. Other facilities offered at the property include luggage storage. The property offers free private parking.

The hotel is 1.8 km from Plaza Mayor Salamanca, 2.2 km from Universidad de Salamanca and 2.5 km from Art Deco & Art Nouveau museum. The hotel has  protective apparatus and trained staff.","Papel higiénico, Ropa de cama, Fax / fotocopiadora, Alarma de seguridad, Baño privado, Caja fuerte, Inglés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Detectores de humo, Adaptado para sillas de ruedas, Sombrillas, Teléfono, Secador de pelo, TV de pantalla plana, Seguridad 24 horas, Toda la unidad en la planta baja, Horario de apertura, Francés, Cámaras de seguridad en las zonas comunitarias, Toallas, Bañera o ducha, WC, Ascensor, Bar, Vistas a la ciudad, Guardaequipaje, Centro de negocios, Acceso a pisos superiores en ascensor, Restaurante, Buen desayuno, Recepción 24 horas, Bañera, Enchufe cerca de la cama, Suelo de madera o parquet, Ducha, Italiano, Parking adaptado para personas de movilidad reducida, Jardín, Escritorio, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Toallas de playa/piscina, Parking en la calle, Calefacción, Servicio de limpieza diario, Información turística, Extintores, Piscina al aire libre, Registro de entrada y salida exprés, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Bidet, Canales vía satélite, Minibar, Perchero, De temporada, Tumbonas/sillas de playa, Armario, Habitaciones familiares, TV, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/475016393.jpg?k=9aec6de1634040df731a3ba041307ce9f936190bff08921b3e81d499aae98874&o=&hp=1,El Ralo,Honduras
Gran Hotel Corona Sol,https://www.booking.com/hotel/es/gran-corona-sol.es.html?aid=2410095,"Este moderno hotel ofrece habitaciones amplias con conexión Wi-Fi gratuita y TV por cable de pantalla plana. Está situado junto al hospital de la Santísima Trinidad y a 10 minutos a pie de la Plaza Mayor de Salamanca.

Las habitaciones del Gran Hotel Corona Sol son muy luminosas y presentan una decoración sencilla y elegante. Disponen de aire acondicionado, calefacción, caja fuerte y baño privado con artículos de aseo y secador de pelo.

En las calles circundantes hay una gran variedad de restaurantes y bares de tapas.

El Gran Sol Corona se halla a menos de 5 minutos a pie de la principal zona comercial de Salamanca, a 700 metros de la Universidad de Salamanca y a 900 metros de los bares de la calle Van Dyck.","Servicio de despertador / alarma, Fax / fotocopiadora, Vino / champán, Registro de entrada / salida privado, Salas de reuniones / banquetes, Detectores de humo, Snack-bar, Ascensor, Bar, Hipoalergénico, Nevera, Habitaciones insonorizadas, Ruta de bares, Escritorio, Tarjeta de acceso, Servicio de habitaciones, WiFi gratis, Minibar, TV, WC elevado, Proporciona factura, Papel higiénico, Ropa de cama, Servicio de despertador, Portugués, Habitaciones sin humo, Suelo de baldosa / mármol, Desayuno en la habitación, Teléfono, Secador de pelo, WC, Tours en bici, Acceso a pisos superiores en ascensor, Senderismo, Servicio de conserjería, Buen desayuno, Enchufe cerca de la cama, Ducha, Parking adaptado para personas de movilidad reducida, Insonorización, Servicio de limpieza diario, Información turística, Fruta, Buffet para niños, Menú para niños, WC con barras de apoyo, Aire acondicionado, Adaptado para sillas de ruedas, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Guardaequipaje, Centro de negocios, Recepción 24 horas, Artículos de aseo gratis, Alquiler de bicicletas, Extintores, Registro de entrada y salida exprés, Máquina expendedora (aperitivos), Español, Caja fuerte, Campo de golf (a menos de 3 km), TV de pantalla plana, Menús para dietas especiales (bajo petición), Francés, Lavamanos más bajo, Toallas, Entrada privada, Restaurante, Tours a pie, Llave de acceso, Prohibido fumar en todo el alojamiento, Equitación, Máquina expendedora (bebidas), Calefacción, Parking privado, Piragüismo, Adaptado personas de movilidad reducida, Parking en un garaje, Habitaciones hipoalergénicas, Armario, Inglés",https://cf.bstatic.com/xdata/images/hotel/max1024x768/378163928.jpg?k=a58262382195d531d671b5d2822bef6edf0a46fa13bc38a78a5fe14f7aa4ff52&o=&hp=1,El Ralo,Honduras
