hotel,hotel_url,description,popular_facilities,highres_url,city,country
HOTEL LA POSADA DEL ZAGUÁN,https://www.booking.com/hotel/co/la-posada-del-zaguan.es.html?aid=2410095,"HOTEL LA POSADA DEL ZAGUÁN se encuentra en El Retiro y dispone de jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. El alojamiento está a 33 km de Parque El Poblado, a 33 km de Parque Lleras y a 39 km de Segundo Parque Laureles. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y cambio de moneda.

En la posada u hostería, todas las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Algunas de las habitaciones también tienen zona de cocina con nevera, microondas y minibar. Todas las unidades incluyen armario.

La clientela puede practicar actividades en El Retiro y alrededores, como ciclismo.

Plaza de Toros La Macarena está a 39 km del alojamiento, y Parque Explora está a 40 km. El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 18 km del alojamiento.","Servicio de entrega de comestibles, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Baños públicos, Bañera o ducha, Habitaciones sin humo, Senderismo, Cambio de moneda, Recepción 24 horas, Baño privado, Jardín, Extintores, Hipoalergénico, TV, Ciclismo, Armario, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Mobiliario exterior, Canales por cable, Tarjeta de acceso, Llave de acceso, Camas extralargas (más de 2 metros), Escritorio, Habitaciones hipoalergénicas, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/168480655.jpg?k=9e16b5dcce8bde49f7486da581a3826316d4927b03412beb47a98cdc2455d7be&o=&hp=1,El Retiro,Colombia
BubbleSky Glamping 40 min from Medellin,https://www.booking.com/hotel/co/bubblesky-glamping-40-min-from-medellin-el-retiro.es.html?aid=2410095,"BubbleSky Glamping 40 min from Medellin dispone de bañera de hidromasaje y parking privado gratis, y está a 41 km de Parque El Poblado y a 41 km de Parque Lleras.

En el camping se puede disfrutar de un desayuno continental.

BubbleSky Glamping 40 min from Medellin dispone de terraza, además de jardín.

Segundo Parque Laureles está a 48 km del alojamiento, y Plaza de Toros La Macarena está a 48 km. El aeropuerto (Aeropuerto Internacional José María Córdova) está a 18 km.","Desayuno, Terraza, Proporciona factura, WC, Jardín, Parking gratis, Habitaciones sin humo, Vistas al jardín, Vistas a la montaña, Ropa de cama, Vistas, Español, Zona de estar, Baño privado, Ducha, Papel higiénico, Bañera de hidromasaje / jacuzzi",https://cf.bstatic.com/xdata/images/hotel/max1024x768/428535443.jpg?k=23955c93217f296807f76832be611258285bc547b6cbfc56429037721e8518b9&o=&hp=1,El Retiro,Colombia
La Liebre bed and breakfast,https://www.booking.com/hotel/co/la-liebre-bed-and-breakfast.es.html?aid=2410095,"La Liebre bed and breakfast se encuentra en El Retiro, a 33 km de Parque El Poblado, y dispone de jardín, terraza y restaurante. El alojamiento está a unos 39 km de Segundo Parque Laureles, a 39 km de Plaza de Toros La Macarena y a 40 km de Parque Explora. Este alojamiento libre de humo está a 33 km de Parque Lleras.

En el hotel, todas las habitaciones están equipadas con un patio con vistas al jardín. Todas las habitaciones tienen baño privado con ducha, algunas ofrecen balcón y otras también tienen vistas a la ciudad. En La Liebre bed and breakfast, cada habitación dispone de ropa de cama y toallas.

La zona es ideal para practicar ciclismo, y en el alojamiento hay alquiler de bicicletas.

Museo el Castillo está a 30 km del alojamiento, y Centro de Convenciones Aburrá Sur está a 32 km. El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 18 km.","Desayuno, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Senderismo, Inglés, Calefacción, Baño privado, Jardín, Extintores, Ciclismo, Masajes, Vino / champán, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de conserjería, Patio, Tours en bici, Ropa de cama, Entrada privada, Acceso a pisos superiores solo mediante escaleras, Boles para mascotas, Ducha, Zona de pícnic, Mobiliario exterior, Productos de limpieza, Tours a pie, Bañera, Aseo adicional, Alquiler de bicicletas, Llave de acceso, Vistas al jardín, Masaje corporal completo, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Restaurante, Toallas, Habitaciones familiares, Tendedero, Español, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/369683418.jpg?k=54711b814c1f7abc86727d664ed925ba2dcaa09a1d6d0cb575b759cf5618e35f&o=&hp=1,El Retiro,Colombia
Chalet B-612 entre El Retiro y La Ceja,https://www.booking.com/hotel/co/apartaestudio-campestre-entre-el-retiro-y-la-ceja.es.html?aid=2410095,"Chalet B-612 entre El Retiro y La Ceja está en El Retiro, a 34 km de Parque El Poblado, y dispone de balcón, jardín y wifi gratis. El chalet de montaña, que tiene parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo y ciclismo.

El chalet de montaña cuenta con terraza y vistas a la montaña, y tiene 1 dormitorio, una sala de estar, TV de pantalla plana, una zona de cocina equipada con nevera y microondas, y 1 baño con ducha. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Parque Lleras está a 34 km del alojamiento, y Segundo Parque Laureles está a 45 km. El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 24 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Secador de pelo, Terraza, Independiente, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Suelo de madera o parquet, Vistas, Inglés, Calefacción, Baño privado, Jardín, Libros, DVD o música para niños, Extintores, TV, Ciclismo, Traslado aeropuerto, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Wifi rápida gratis (86 Mbps), Parking en un garaje, Tours en bici, Artículos de aseo gratis, Ducha, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Reloj despertador, Zona de pícnic, Productos de limpieza, Tours a pie, Cafetera, Sofá, Aseo adicional, Vistas a la montaña, Vistas al jardín, WC, Microondas, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Balcón, Toallas, Español, Nevera, Utensilios de cocina, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552361913.jpg?k=95b13d918605b40a745778028de2308732f13f3a830466f99d2499ccec0cfc23&o=&hp=1,El Retiro,Colombia
Barbacoa y Jardín en El Retiro,https://www.booking.com/hotel/co/barbacoa-y-jardin-en-el-retiro.es.html?aid=2410095,Error al acceder a la página del hotel.,"Terraza, Vestidor, Independiente, Prohibido fumar en todo el alojamiento, Chimenea, Bañera o ducha, Habitaciones sin humo, Baño privado, Jardín, Cocina, TV, Parking gratis, Fogones, Entrada privada, Ropa de cama, WiFi gratis, Ducha, Mesa de comedor, Zona de pícnic, Barbacoa, Mobiliario exterior, Sofá, Vistas al jardín, Escritorio, Zona de comedor exterior, Microondas, Zona de comedor, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Nevera, Utensilios de cocina, Papel higiénico, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567309895.jpg?k=1f5d241ff176dfa93f0ccf088ab08966d9b848648996609c123ea4aa36ac60b5&o=&hp=1,El Retiro,Colombia
La Cabaña de Huckleberry,https://www.booking.com/hotel/co/la-cabana-de-huckleberry-el-retiro.es.html?aid=2410095,"La Cabaña de Huckleberry tiene vistas al jardín, wifi gratis y parking privado gratis. Está en El Retiro, a 36 km de Parque El Poblado. El alojamiento dispone de sauna.

Todas las unidades están equipadas con terraza con vistas a la montaña, cocina con nevera y fogones, y baño privado con ducha. Hay una zona de estar y de comedor en todas las unidades.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

Parque Lleras está a 36 km del alojamiento, y Segundo Parque Laureles está a 42 km. El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 16 km.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Muebles de exterior, Suelo de madera o parquet, Vistas, Inglés, Baño privado, Jardín, Extintores, Cocina, Armario, Italiano, Perchero, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Fogones, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Detectores de humo, Sauna, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Cafetera, Vistas a la montaña, Sofá, Zona de estar, Vistas al jardín, Camas extralargas (más de 2 metros), Escritorio, WC, Zona de comedor exterior, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Balcón, Toallas, Español, Nevera, Utensilios de cocina, Papel higiénico, Detector de monóxido de carbono",https://cf.bstatic.com/xdata/images/hotel/max1024x768/444905295.jpg?k=6b02b2378bc1078a4e4bfe735de1b70bacce144f3f43141670ab889329c15ca9&o=&hp=1,El Retiro,Colombia
Refugio de la Montaña en el Alto del Escobero,https://www.booking.com/hotel/co/refugio-de-la-montana-en-el-escobero.es.html?aid=2410095,"Refugio de la Montaña en el Alto del Escobero ofrece jardín y vistas a la montaña. Se encuentra en El Retiro, a 16 km de Parque El Poblado y a 16 km de Parque Lleras. Esta casa o chalet ofrece parking privado gratis, recepción 24 horas y wifi gratis.

La casa o chalet cuenta con 2 dormitorios y una cocina completamente equipada con nevera. Hay toallas y ropa de cama en la casa o chalet.

Segundo Parque Laureles está a 23 km del alojamiento, y Plaza de Toros La Macarena está a 23 km. El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 17 km del alojamiento.","Proporciona factura, Barbacoa, Prohibido fumar en todo el alojamiento, Parking gratis, Toallas, Vistas a la montaña, Ropa de cama, Parking en la calle, Recepción 24 horas, Nevera, WiFi gratis, Jardín, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/415787503.jpg?k=af5befbc97db7c830e45f05d93b28ef860f4350096631bcb7a0b7c507eec4219&o=&hp=1,El Retiro,Colombia
La Casa En El Bosque,https://www.booking.com/hotel/co/la-casa-en-el-bosque.es.html?aid=2410095,"La Casa En El Bosque, que tiene vistas a la montaña, ofrece alojamiento con terraza y balcón a unos 36 km de Parque Lleras. El alojamiento, que está a 36 km de Parque El Poblado, dispone de jardín y parking privado gratis.

Este apartamento consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Segundo Parque Laureles está a 42 km del alojamiento, y Plaza de Toros La Macarena está a 42 km. El aeropuerto (Aeropuerto Internacional José María Córdova) está a 16 km.","Desayuno, Terraza, Independiente, Prohibido fumar en todo el alojamiento, Chimenea, Habitaciones sin humo, Senderismo, Suelo de madera o parquet, Vistas, Inglés, Libros, DVD o música para niños, Baño privado, Jardín, Extintores, Cocina, Armario, Italiano, Parking gratis, Fogones, Entrada privada, Ropa de cama, WiFi gratis, Ducha, Detectores de humo, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Cafetera, Sofá, Vistas a la montaña, Vistas al jardín, Camas extralargas (más de 2 metros), Escritorio, Utensilios de cocina, Zona de comedor exterior, Sofá cama, Zona de comedor, Balcón, Toallas, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Detector de monóxido de carbono, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/311083748.jpg?k=e9255d90ee8eea4472c3f99266a04beaa681abdc51306fd9b6c22fa457e3ec72&o=&hp=1,El Retiro,Colombia
Casa Finca en el Retiro,https://www.booking.com/hotel/co/casa-finca-en-el-retiro-retiro.es.html?aid=2410095,"Casa Finca en el Retiro dispone de vistas al jardín, wifi gratis y parking privado gratis. Se encuentra en El Retiro, a 40 km de Parque El Poblado.

Todas las unidades cuentan con una cocina totalmente equipada para poder hacer la comida.

En la casa o chalet, la clientela puede usar la terraza.

Parque Lleras está a 41 km del alojamiento, y Parque lineal La Presidenta está a 40 km. El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 29 km.","Terraza, Parking gratis, TV de pantalla plana, Balcón, Lavadora, Entrada privada, Vistas, Español, Cocina, Inglés, WiFi gratis, Vistas al jardín, Escritorio",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577214829.jpg?k=adcf9f93cff4271bb15ebf7f8c2a5c7f2bf340706415a79ca98c987c5b2391f7&o=&hp=1,El Retiro,Colombia
Cabaña Boutique Camino del Ciprés,https://www.booking.com/hotel/co/boutique-camino-del-cipres.es.html?aid=2410095,"Cabaña Boutique Camino del Ciprés, que cuenta con vistas a la piscina, ofrece alojamiento con bar y balcón a unos 31 km de Parque El Poblado. Esta casa o chalet tiene piscina privada, jardín, zona de barbacoa, wifi gratis y parking privado gratis.

La casa o chalet cuenta con terraza y vistas a la montaña, y dispone de 1 dormitorio, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y lavavajillas, y 1 baño con ducha. Hay toallas y ropa de cama en la casa o chalet.

La casa o chalet ofrece bañera de hidromasaje. Se puede descubrir la zona practicando senderismo en los alrededores.

Parque Lleras está a 31 km del alojamiento, y Segundo Parque Laureles está a 42 km. El aeropuerto (Aeropuerto Internacional José María Córdova) está a 21 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Secador de pelo, Terraza, Chimenea, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Vistas a la piscina, Suelo de madera o parquet, Baño privado, Jardín, Extintores, Vídeo, Parking gratis, Fogones, Ropa de cama, Servicio de habitaciones, Mesa de comedor, Zona de cocina, Proporciona factura, Mobiliario exterior, Lavavajillas, Baño al aire libre, Zona de comedor, Balcón, Piscina privada, Horno, Servicio de entrega de comestibles, Cambio de moneda, Solárium, Cocina, Cámaras de seguridad en las zonas comunitarias, Patio, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Cafetera, Vistas a un patio interior, Desayuno en la habitación, Zona de estar, Llave de acceso, Escritorio, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Toda la unidad en la planta baja, Utensilios de cocina, Papel higiénico, Juegos de mesa / puzles, Almuerzos para llevar, TV, Accesible para personas sordas, Tetera / cafetera, Servicio de traslado, Artículos de aseo gratis, Seguridad 24 horas, Detectores de humo, Bañera de hidromasaje / jacuzzi, Vistas a un lugar de interés, Zona de pícnic, Barbacoa, Productos de limpieza, Hervidor eléctrico, Sofá, Vistas a la montaña, Bañera de hidromasaje, Vistas al jardín, Guardaequipaje, WC, Microondas, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Español, Nevera, Independiente, Zona de fumadores, Vistas, Inglés, Libros, DVD o música para niños, Traslado aeropuerto, Vino / champán, Información turística, Registro de entrada / salida privado, Entrada privada, Menús para dietas especiales (bajo petición), Fruta, Ducha, Solo para adultos, Vistas al río, Minibar",https://cf.bstatic.com/xdata/images/hotel/max1024x768/570238125.jpg?k=25ae7dfe36cdd7ec5db4963bcb21a05d51ecb61689b3b915621d4e2fcfd61ff9&o=&hp=1,El Retiro,Colombia
