hotel,hotel_url,description,popular_facilities,highres_url,city,country
Bodhi Hostel & Lounge,https://www.booking.com/hotel/pa/bodhi-hostel-amp-lounge.es.html?aid=2410095,"El Bodhi Hostel & Lounge se encuentra en El Valle y dispone de WiFi gratuita en todas las instalaciones, jardín y zona de barbacoa. También se facilita aparcamiento gratuito.

Todas las habitaciones constan de patio, zona de estar y cocina completamente equipada con microondas y horno. También incluyen baño compartido con ducha y secador de pelo.

Además, el establecimiento cuenta con salón compartido, sala de juegos, zonas para practicar yoga y mostrador de información turística.

En el establecimiento y sus alrededores se pueden practicar diversas actividades, como ciclismo, pesca y senderismo.

El alojamiento se halla a 32 km de la playa Río Mar, a unos 40 minutos de la playa la Ermita y a aproximadamente 3 horas en coche del aeropuerto internacional de Ciudad de Panamá.","Noches de cine, Zona TV / salón de uso compartido, Cocina, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Utensilios de cocina, Zona de fumadores, Ciclismo, Baño compartido, Servicio de traslado, Fax / fotocopiadora, Zona de estar, Proporciona factura, Extintores, Zona de comedor exterior, Sala de juegos, Barbacoa, Horno, Cajero automático en el hotel, Bingo, Desayuno fabuloso, Enchufe cerca de la cama, Juegos de mesa / puzles, Servicio de despertador, Ventilador, Alemán, Perchero, Secador de pelo, Seguridad 24 horas, Bar, Fogones, Patio, Tours a pie, Solo para adultos, Aire acondicionado, Ducha, Entrada privada, Parking gratis, Español, Suelo de baldosa / mármol, Alquiler de bicicletas, Gimnasio, Detectores de humo, Caja fuerte, Mesa de comedor, Inglés, Servicio de lavandería, Boles para mascotas, Senderismo, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Catalán, Nevera, Jardín, Microondas, Cafetería en el alojamiento, Toallas, Guardaequipaje, Información turística, Ropa de cama, Zona de comedor, Taquillas, WC, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/210698292.jpg?k=4879057c215abcdd35d907e1a69ffac567b26ef7546e50320f8b69d6ff5d15e6&o=&hp=1,El Valle de Sajalices,Panamá
Hostal La Casa de Juan,https://www.booking.com/hotel/pa/hostal-la-casa-de-juan.es.html?aid=2410095,"Hostal La Casa de Juan dispone de jardín, salón de uso común, terraza y bar en El Valle de Antón. Este alojamiento, que cuenta con cocina compartida, también ofrece barbacoa. Hay parking privado gratis y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.

Las habitaciones del alojamiento tienen wifi gratis y baño compartido con ducha. Algunas de las habitaciones disponen de balcón. En el albergue, todas las habitaciones disponen de ropa de cama y toallas.

Se puede jugar al billar en Hostal La Casa de Juan, y la zona es ideal para practicar senderismo.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 123 km.","Galerías de arte temporales, Zona TV / salón de uso compartido, WiFi gratis, Mobiliario exterior, Zona de fumadores, Eventos deportivos en directo (emisión), Baño compartido, Servicio de traslado, Toallas / sábanas (por un suplemento), Extintores, Sala de juegos, Barbacoa, Desayuno, Juegos de mesa / puzles, Seguridad 24 horas, Bar, Tours a pie, Ducha, Menús para dietas especiales (bajo petición), Entrada privada, Parking gratis, Terraza / solárium, Clases de cocina, Español, Inglés, Servicio de lavandería, Billar, Senderismo, Chimenea exterior, Traslado aeropuerto, Habitaciones sin humo, Papel higiénico, Jardín, Servicio de conserjería, Tour o clase sobre cultura local, Entretenimiento nocturno, Happy hour, Toallas, Información turística, Ropa de cama, Zona de comedor, Taquillas, WC, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/510735762.jpg?k=5e372ebaae42d3207767a029db1fa62bedf70fd293097ee65bfcebb0c2bdd346&o=&hp=1,El Valle de Sajalices,Panamá
Refugio Cariguana,https://www.booking.com/hotel/pa/refugio-cariguana.es.html?aid=2410095,"Refugio Cariguana tiene jardín, salón de uso común, terraza y restaurante en El Valle de Antón. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, las habitaciones disponen de un patio con vistas al jardín. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También cuentan con wifi gratis, y algunas habitaciones también cuentan con vistas a la montaña.

El desayuno diario ofrece opciones continentales, italianas o americanas.

El aeropuerto (Aeropuerto internacional Scarlett Martínez) está a 50 km.","Galerías de arte temporales, Restaurante, Baño privado, Servicio de entrega de comestibles, Detector de monóxido de carbono, Zona TV / salón de uso compartido, WiFi gratis, Vistas, Salas de reuniones / banquetes, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Barbacoa, Vistas al jardín, Parking adaptado para personas de movilidad reducida, Ventilador, Buen desayuno, Artículos de aseo gratis, Recepción 24 horas, Patio, Tours a pie, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Detectores de humo, Mesa de comedor, Registro de entrada y salida exprés, Servicio de lavandería, Senderismo, Bañera o ducha, Habitaciones sin humo, Bañera, Servicio de habitaciones, Papel higiénico, Vino / champán, Servicio de limpieza diario, Jardín, Llave de acceso, Almuerzos para llevar, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Zona de comedor, WC, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/544522811.jpg?k=dcef533ea45677621392518ece439a646429f2f24322417e5d19029bfbdb5caa&o=&hp=1,El Valle de Sajalices,Panamá
Valle Paradise,https://www.booking.com/hotel/pa/valle-paradise.es.html?aid=2410095,"Valle Paradise está en El Valle de Antón y ofrece vistas a la montaña, jardín y salón de uso común. Se ofrece wifi gratis en todo el alojamiento.

Las unidades están equipadas con terraza y ofrecen aire acondicionado, TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. Todas las unidades cuentan con un patio con vistas al jardín.

Se puede descubrir la zona practicando ciclismo en los alrededores.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 121 km.","Baño privado, Zona TV / salón de uso compartido, Masaje de cabeza, Zona de fumadores, Vistas a la montaña, Lavadora, Proporciona factura, Zona de comedor exterior, Servicio de despertador, Registro de entrada / salida privado, Entrada privada, Plancha para ropa, Masaje de espalda, TV, Registro de entrada y salida exprés, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Instalaciones de spa, Tours en bici, Masaje en pareja, Guardaequipaje, Vistas a un lugar de interés, Equipamiento de juegos para exterior, Tendedero, Spa y centro de bienestar, Fruta, Zona de estar, Vistas al jardín, Masaje de manos, Aire acondicionado, Tours a pie, Masajes, Ducha, Parking gratis, Terraza / solárium, Español, Mesa de comedor, Plancha para pantalones, Servicio de lavandería, Senderismo, Jardín, Clases de yoga, Ropa de cama, Manicura, Terraza, TV de pantalla plana, Baños termales, WiFi gratis, Vistas, Pediluvio, Mobiliario exterior, Canales por cable, Productos de limpieza, Corte de pelo, Masaje de pies, Enchufe cerca de la cama, Juegos de mesa / puzles, Baños públicos, Zona de spa / relajación, Patio, Paquetes de spa / bienestar, Solárium, Habitaciones familiares, Vestidor, Suelo de baldosa / mármol, Secadora de ropa, Bañera o ducha, Tratamientos faciales, Papel higiénico, Masaje corporal completo, Canales de pago, Llave de acceso, Tratamientos capilares, Cafetería en el alojamiento, Toallas, Información turística, Mosquitera, Silla de masajes, Parking en la calle, Canales vía satélite, Ciclismo, Servicio de traslado, Equitación, Artículos de aseo gratis, Perchero, Libros, DVD o música para niños, Tinte, Peinado, Pedicura, Servicio de despertador / alarma, Servicios de belleza, Tratamientos corporales, Armario, Zona de comedor, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/199798264.jpg?k=3603a0cb48d76468ca29c855ee9875e85905f8312fc04f6544d32f344e4555fc&o=&hp=1,El Valle de Sajalices,Panamá
La Casa de AnaLu,https://www.booking.com/hotel/pa/la-casa-de-analu.es.html?aid=2410095,"La Casa de AnaLu tiene piscina al aire libre, jardín, salón de uso común y terraza en El Valle de Antón. Este hotel de 3 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de club infantil, servicio de habitaciones y servicio de organización de tours.

Todas las habitaciones de este alojamiento están equipadas con TV. El hotel ofrece algunas habitaciones con vistas a la piscina, y todas cuentan con patio. En La Casa de AnaLu, las habitaciones tienen ropa de cama y toallas.

El alojamiento ofrece bañera de hidromasaje.

En recepción se hablan varios idiomas, como inglés y español.

El aeropuerto (Aeropuerto internacional Scarlett Martínez) está a 47 km.","Club infantil, Restaurante, Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Horario de apertura, Apoyo visual: carteles táctiles, Mobiliario exterior, Zona de fumadores, Adecuada para niños, Servicio de traslado, Menú para niños, Toallas / sábanas (por un suplemento), Extintores, Tarjetas de transporte público, Barbacoa, Vistas al jardín, Zona poco profunda, Bingo, Piscina con vistas, Enchufe cerca de la cama, Artículos de aseo gratis, Abierta todo el año, Seguridad 24 horas, Baños públicos, Recepción 24 horas, Patio, Tours a pie, Aire acondicionado, Guiado auditivo, Registro de entrada / salida privado, Juguetes para la piscina, Habitaciones familiares, Ducha, Entrada privada, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, TV, 2 piscinas, Detectores de humo, Inglés, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Nevera, Jardín, Servicio de conserjería, Toda la unidad en la planta baja, Toallas, Desayuno en la habitación, Información turística, Ropa de cama, Piscina infantil, Para todas las edades, WC, Terraza, Piscina infinita",https://cf.bstatic.com/xdata/images/hotel/max1024x768/534629941.jpg?k=79b97b0a6c5e0a9500180a9e3a87f9523dee01b165002b2a9cac6ec2d9f43d82&o=&hp=1,El Valle de Sajalices,Panamá
Valle Luna,https://www.booking.com/hotel/pa/valle-luna-el-valle-de-anton123.es.html?aid=2410095,"Valle Luna está en El Valle de Antón y ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín con terraza.

Hay un baño privado con bidet y artículos de aseo gratuitos en cada unidad, además de secador de pelo.

Se puede descubrir la zona practicando ciclismo en los alrededores y el bed and breakfast ofrece servicio de alquiler de bicicletas.

El aeropuerto más cercano (Aeropuerto internacional de Panamá Pacífico) está a 121 km.","Baño privado, Baños termales, Muy buen desayuno, WiFi gratis, Masaje de cabeza, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Utensilios de cocina, Comedia en vivo, Zona de fumadores, Productos de limpieza, Ciclismo, Supermercado pequeño en el alojamiento, Masaje de pies, Toallas / sábanas (por un suplemento), Zona de estar, Extintores, Zona de comedor exterior, Equitación, Sala de juegos, Enchufe cerca de la cama, Servicio de despertador, Juegos de mesa / puzles, Cafetera, Ventilador, Artículos de aseo gratis, Masaje de manos, Secador de pelo, Tetera / cafetera, Seguridad 24 horas, Patio, Tours a pie, Aire acondicionado, Masajes, Habitaciones familiares, Ducha, Masaje de espalda, Parking gratis, Terraza / solárium, Español, Suelo de baldosa / mármol, Alquiler de bicicletas, Servicio de despertador / alarma, Registro de entrada y salida exprés, Servicio de lavandería, Inglés, Ruta de bares, Chimenea exterior, Bañera o ducha, Senderismo, Hervidor eléctrico, Masaje de cuello, Habitaciones sin humo, Papel higiénico, Música / espectáculos en directo, Servicio de limpieza diario, Masaje corporal completo, Armario, Nevera, Jardín, Alarma de seguridad, Tour o clase sobre cultura local, Tostadora, Happy hour, Tours en bici, Toallas, Ropa de cama, Zona de comedor, WC, Terraza, Zona de pícnic, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/330963412.jpg?k=57cf280fc2d4b20f5fedd0821d5b3136930a188cfb201f488e10b068594ca556&o=&hp=1,El Valle de Sajalices,Panamá
The Golden Frog Inn,https://www.booking.com/hotel/pa/the-golden-frog-inn.es.html?aid=2410095,"The Golden Frog Inn tiene piscina al aire libre, jardín, terraza y restaurante en El Valle de Antón. Hay parking privado gratis y hotel también dispone de alquiler de bicicletas para descubrir los alrededores.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones de este alojamiento tienen baño privado con ducha y secador de pelo, además de wifi gratis. Algunas habitaciones incluyen vistas a la piscina. En el hotel, las habitaciones incluyen ropa de cama y toallas.

En The Golden Frog Inn se sirve cada mañana un desayuno americano.

La clientela puede practicar actividades en El Valle de Antón y alrededores, como senderismo.

En la recepción se hablan varios idiomas, como inglés y español.

El aeropuerto (Aeropuerto internacional de Panamá Pacífico) está a 120 km.","Equipamiento de juegos para exterior, Restaurante, Baño privado, Muy buen desayuno, WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Servicio de traslado, Menú para niños, Vistas a la montaña, Equitación, Vistas al jardín, Piscina con vistas, Enchufe cerca de la cama, Juegos de mesa / puzles, Ventilador, Piscina al aire libre, Perchero, Secador de pelo, Abierta todo el año, Bar, Recepción 24 horas, Traslado aeropuerto (gratis), Masajes, Habitaciones familiares, Ducha, Menús para dietas especiales (bajo petición), Toallas de playa/piscina, Parking gratis, Terraza / solárium, Español, TV, Alquiler de bicicletas, Buffet para niños, Caja fuerte, Registro de entrada y salida exprés, Servicio de lavandería, Boles para mascotas, Inglés, Senderismo, Traslado aeropuerto, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Armario, Jardín, Clases de yoga, Entretenimiento nocturno, Happy hour, Toallas, Guardaequipaje, Ropa de cama, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/264497609.jpg?k=310df4793c1057cc025fc2243c3d8732053ef0972606b1679542621fb045b72a&o=&hp=1,El Valle de Sajalices,Panamá
Casa Grimaldo,https://www.booking.com/hotel/pa/villa-sarahlouna.es.html?aid=2410095,"La Casa Grimaldo se encuentra en Valle de Antón, a 45 km de Santa Clara, y ofrece una piscina al aire libre de temporada y WiFi gratuita.

El baño privado está totalmente equipado e incluye ducha y artículos de aseo gratuitos.

La Casa Grimaldo cuenta con jardín y solárium.

El aeropuerto más cercano es el aeropuerto internacional Panamá Pacífico, a 110 km del alojamiento.","Baño privado, Zona de fumadores, Vistas a la montaña, Toallas / sábanas (por un suplemento), Zona de comedor exterior, Sala de juegos, Abierta todo el año, Registro de entrada / salida privado, Entrada privada, TV, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Tours en bici, Guardaequipaje, Nevera, Para todas las edades, Accesible para personas sordas, Equipamiento de juegos para exterior, Horario de apertura, Fruta, Vistas al jardín, Aire acondicionado, Tours a pie, Ducha, Parking gratis, Terraza / solárium, Español, Servicio de lavandería, Senderismo, Ping pong, Servicio de limpieza diario, Jardín, Alarma de seguridad, Piscina infantil, Ropa de cama, Terraza, TV de pantalla plana, WiFi gratis, Vistas, Pediluvio, Mobiliario exterior, Canales por cable, Extintores, Zona poco profunda, Piscina con vistas, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Piscina al aire libre, Seguridad 24 horas, Baños públicos, Patio, Juguetes para la piscina, Habitaciones familiares, Toallas de playa/piscina, Alquiler de bicicletas, Sombrillas, Papel higiénico, Llave de acceso, Toallas, Desayuno en la habitación, Información turística, Piscina pequeña, Tumbonas/sillas de playa, Equipamiento de bádminton, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Ciclismo, Servicio de traslado, Barbacoa, Artículos de aseo gratis, Perchero, Dardos, Armario, Toda la unidad en la planta baja, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/436007583.jpg?k=0fadf7a44e37489bd461df8c6ef235833a169b23ed7fcb7c96c3b5503de2fecf&o=&hp=1,El Valle de Sajalices,Panamá
Casa India Dormida,https://www.booking.com/hotel/pa/casa-india-dormida.es.html?aid=2410095,"La Casa India Dormida ofrece alojamiento en 2 casas. Los alojamientos disponen de terraza con vistas a la montaña, muebles de estar, hamaca, baño independiente y zona de cocina.

En la zona se puede practicar ciclismo y senderismo.

Playa Blanca se encuentra a 30 km de la casa.","Baño privado, Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Vistas, Tendedero, Mobiliario exterior, Utensilios de cocina, Canales por cable, Vistas a la montaña, Zona de estar, Extintores, Zona de comedor exterior, Barbacoa, Vistas al jardín, Enchufe cerca de la cama, Aseo adicional, Ventilador, Artículos de aseo gratis, Secador de pelo, Tetera / cafetera, Fogones, Patio, Ducha, Entrada privada, Parking gratis, TV, Suelo de baldosa / mármol, Mesa de comedor, Inglés, Bañera o ducha, Hervidor eléctrico, Habitaciones sin humo, Papel higiénico, Zona de pícnic, Nevera, Jardín, Llave de acceso, Tostadora, Toallas, Ropa de cama, Vistas a un lugar de interés, Zona de comedor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/284341392.jpg?k=9be36dc5f64b80ec996573865ed29d9018232421b05bb0ff492ec9f12f97b6d3&o=&hp=1,El Valle de Sajalices,Panamá
Hotel Campestre,https://www.booking.com/hotel/pa/campestre.es.html?aid=2410095,"El Hotel Campestre ofrece piscina exterior con agua de río, alberga un restaurante y se encuentra en el Valle de Antón. El establecimiento proporciona WiFi gratuita.

Las habitaciones del Hotel Campestre cuentan con vistas a la montaña y aire acondicionado. El baño privado incluye ducha y artículos de aseo gratuitos.

El Hotel Campestre tiene jardín, terraza y bar. Los huéspedes pueden practicar diversas actividades como senderismo. El establecimiento facilita aparcamiento gratuito.

El Hotel Campestre se encuentra a 40 minutos en coche del campo de golf Vista Mar y a 45,4 km de la playa de Coronado.","Vistas a la piscina, Restaurante, Baño privado, Servicio de streaming (como Netflix), Equipamiento de juegos para exterior, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Tendedero, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Salas de reuniones / banquetes, Zona de fumadores, Servicio de traslado, Menú para niños, Vistas a la montaña, Fax / fotocopiadora, Proporciona factura, Extintores, Equitación, Barbacoa, Enchufe cerca de la cama, Juegos de mesa / puzles, Buen desayuno, Ventilador, Piscina al aire libre, Artículos de aseo gratis, Bar, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Menús para dietas especiales (bajo petición), Entrada privada, Parking gratis, WC con barras de apoyo, Español, Adaptado personas de movilidad reducida, TV, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Inglés, Billar, Senderismo, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, TV de pantalla plana, Vino / champán, Jardín, Servicio de conserjería, Llave de acceso, Almuerzos para llevar, Happy hour, Cafetería en el alojamiento, Toallas, Información turística, Ropa de cama, WC, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/171829743.jpg?k=43765d9ce2e78037e146c52950c77d98623ba9566754d3cb2d74c00b3c3f28cd&o=&hp=1,El Valle de Sajalices,Panamá
