hotel,hotel_url,description,popular_facilities,highres_url,city,country
"Holiday Inn Express Yopal, an IHG Hotel",https://www.booking.com/hotel/co/holiday-inn-express-yopal-yopal.es.html?aid=2410095,"El Holiday Inn Express Yopal ofrece piscina al aire libre, conexión WiFi gratuita y centro de fitness y se encuentra en Yopal, Colombia. La Brigada XVI está a 8 minutos en coche.

Las habitaciones disponen de TV de pantalla plana, aire acondicionado, escritorio, caja fuerte, minibar y cafetera.

El Yopal Holiday Inn Express cuenta con recepción 24 horas, mostrador de información turística, consigna de equipaje y aparcamiento gratuito.

El hospital de Yopal se encuentra a 450 metros y el centro educativo Braulio González, a 500 metros. La alcaldía municipal está a 2,1 km.","Baño privado, Servicio de planchado, Vistas a la ciudad, Zona de fumadores, Proporciona factura, Cajero automático en el hotel, Servicio de despertador, Cafetera, Abierta todo el año, Registro de entrada / salida privado, Plancha para ropa, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Máquina expendedora (bebidas), Tours en bici, Suelo de madera o parquet, Tarjeta de acceso, Guardaequipaje, Nevera, Acceso a pisos superiores en ascensor, Para todas las edades, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Horario de apertura, Salas de reuniones / banquetes, Supermercado pequeño en el alojamiento, Fax / fotocopiadora, Secador de pelo, Lavamanos más bajo, Aire acondicionado, Tours a pie, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Plancha para pantalones, Servicio de lavandería, Senderismo, Traslado aeropuerto, Máquina expendedora (aperitivos), Utensilios de planchado, Servicio de limpieza diario, Alarma de seguridad, Ropa de cama, Cuerda de emergencia en el baño, Terraza, TV de pantalla plana, WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Escritorio, Servicio de limpieza en seco, Extintores, Parking en un garaje, Zona poco profunda, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Baños públicos, Recepción 24 horas, Habitaciones familiares, Pesca, Radio, Toallas de playa/piscina, Caja fuerte, Adaptado para sillas de ruedas, Bañera o ducha, Papel higiénico, Reloj despertador, Llave de acceso, Tour o clase sobre cultura local, Toallas, Información turística, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Ciclismo, Servicio de traslado, Apoyo visual: braille, Equitación, Artículos de aseo gratis, Ascensor, Centro de negocios, WC elevado, Servicio de despertador / alarma, Armario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584141094.jpg?k=d3489cf243802faa2d4b2fec2a28b51ef07f3907d45b5884f071c3b942e405ea&o=&hp=1,El Yopal,Venezuela
GHL Style Yopal,https://www.booking.com/hotel/co/ghl-style-yopal.es.html?aid=2410095,"El GHL Style Yopal es un hotel de estilo moderno situado en el gran Plaza Mall Alcaravan, a 2,3 km del centro deportivo Yopal. Hay conexión WiFi gratuita en todas las instalaciones. Todos los días se sirve un desayuno buffet y hay WiFi gratuita en todas las instalaciones.

Las habitaciones del GHL Style Yopal tienen aire acondicionado, TV por cable, minibar y baño privado con ducha, secador de pelo y artículos de aseo gratuitos.

El GHL Style Yopal cuenta con recepción 24 horas y terraza. Los huéspedes pueden disfrutar del restaurante y del espectáculo Llanera que se celebra todos los jueves, previa reserva.

El aeropuerto de El Alcaravan está a 3 km del GHL Style Yopal. Se ofrece servicio de traslado por un suplemento.","Restaurante, Baño privado, Cenas temáticas, Servicio de planchado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Canales por cable, Salas de reuniones / banquetes, Fruta, Menú para niños, Servicio de traslado, Escritorio, Proporciona factura, Extintores, Español, Parking adaptado para personas de movilidad reducida, Servicio de despertador, Cafetera, Artículos de aseo gratis, Snack-bar, Teléfono, Secador de pelo, Seguridad 24 horas, Bar, Recepción 24 horas, Aire acondicionado, Ascensor, Lavamanos más bajo, Masajes, Ducha, Centro de negocios, Radio, Plancha para ropa, Parking gratis, Terraza / solárium, WC con barras de apoyo, Cuerda de emergencia en el baño, Adaptado personas de movilidad reducida, Gimnasio, TV, Detectores de humo, Caja fuerte, Suelo de baldosa / mármol, WC elevado, Servicio de lavandería, Adaptado para sillas de ruedas, Inglés, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Ping pong, Papel higiénico, Servicio de habitaciones, Vino / champán, Servicio de limpieza diario, Masaje corporal completo, Desayuno fantástico, Armario, Reloj despertador, Alarma de seguridad, Toallas, Desayuno en la habitación, Minibar, Ropa de cama, Información turística, Tarjeta de acceso, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/462902539.jpg?k=c64ccc90c2b1577bb23c7e1d43e1b4d3bfdc81251cd6fb32219b6a5d4a7aeb42&o=&hp=1,El Yopal,Venezuela
Hotel Estelar Yopal,https://www.booking.com/hotel/co/estelar-yopal.es.html?aid=2410095,"El Hotel Estelar Yopal cuenta con piscina al aire libre, centro de fitness, restaurante y conexión WiFi gratuita en todas las habitaciones. El aeropuerto de El Alcaraván se encuentra a 6 km.

Todas las habitaciones de este hotel incluyen caja fuerte y están insonorizadas. Las habitaciones cuentan con baño privado con secador de pelo.

La recepción del Yopal Hotel Estelar está abierta las 24 horas. También dispone de instalaciones para reuniones.

La gran plaza Alcaraván y el centro comercial Unicentro están a 10 minutos en coche. El parque natural de La Iguana está a 2,5 km. Hay aparcamiento gratuito.","Restaurante, Baño privado, Servicio de planchado, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Horario de apertura, Cámaras de seguridad fuera del alojamiento, Canales por cable, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Servicio de traslado, Escritorio, Servicio de limpieza en seco, Extintores, Desayuno fabuloso, Enchufe cerca de la cama, Parking adaptado para personas de movilidad reducida, Servicio de despertador, Piscina al aire libre, Sauna, Teléfono, Abierta todo el año, Secador de pelo, Seguridad 24 horas, Bar, Recepción 24 horas, Aire acondicionado, Ascensor, Paquetes de spa / bienestar, Baños públicos, Hammam, Habitaciones familiares, Ducha, Centro de negocios, Radio, Menús para dietas especiales (bajo petición), Plancha para ropa, Toallas de playa/piscina, Parking gratis, Español, Baño de vapor, Adaptado personas de movilidad reducida, Gimnasio, Detectores de humo, Caja fuerte, Plancha para pantalones, Adaptado para sillas de ruedas, Servicio de lavandería, Inglés, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Armario, Servicio de conserjería, Alarma de seguridad, Llave de acceso, Almuerzos para llevar, Toallas, Guardaequipaje, Información turística, Tarjeta de acceso, Para todas las edades, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/542447545.jpg?k=71df6eb40e96801af775ba19589d8ecb9f57eac181ca0186867d5c969536baa0&o=&hp=1,El Yopal,Venezuela
Hampton By Hilton Yopal,https://www.booking.com/hotel/co/hampton-by-hilton-yopal.es.html?aid=2410095,"El Hampton By Hilton Yopal incluye un centro de fitness, y está situado en la zona de Altos de Manare de Yopal. El establecimiento dispone de conexión WiFi y aparcamiento gratuitos.

Las habitaciones ofrecen vistas a la montaña y a la ciudad, y cuentan con aire acondicionado, bañera de hidromasaje, escritorio, caja fuerte y una nevera pequeña. Los alojamientos incluyen un baño privado con ducha y secador de pelo.

El Hampton By Hilton Yopal dispone de una terraza y una bañera de hidromasaje. La recepción está abierta las 24 horas. El centro de fitness está situado en la terraza, y ofrece vistas a la ciudad.

El centro comercial Alcaraván se encuentra a un paseo de 3 minutos. El aeropuerto Alcaraván queda a solo 2 km.","Restaurante, Servicio de planchado, Servicio de entrega de comestibles, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Calefacción, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Salas de reuniones / banquetes, Zona de fumadores, Fruta, Menú para niños, Fax / fotocopiadora, Servicio de limpieza en seco, Proporciona factura, Extintores, Apoyo visual: braille, Parking adaptado para personas de movilidad reducida, Caja fuerte para ordenador portátil, Buen desayuno, Snack-bar, Teléfono, Seguridad 24 horas, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Centro de negocios, Parking gratis, WC con barras de apoyo, Español, Adaptado personas de movilidad reducida, Gimnasio, Buffet para niños, Detectores de humo, Caja fuerte, Adaptado para sillas de ruedas, Registro de entrada y salida exprés, Servicio de lavandería, Inglés, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de limpieza diario, Bañera de hidromasaje / jacuzzi, Alarma de seguridad, Llave de acceso, Almuerzos para llevar, Habitaciones insonorizadas, Cafetería en el alojamiento, Tarjeta de acceso, Guardaequipaje, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/486130677.jpg?k=0c1518aac3623454e89c166a852f786227b76faac01374dfd0a3be5305b4e61d&o=&hp=1,El Yopal,Venezuela
Hotel Morúa,https://www.booking.com/hotel/co/morua.es.html?aid=2410095,"Hotel Morúa tiene piscina al aire libre, centro de fitness, jardín y salón de uso común en Yopal. Este hotel de 4 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de club infantil, servicio de habitaciones y servicio de organización de tours.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable y caja fuerte. En el hotel, las habitaciones cuentan con ropa de cama y toallas.

Hotel Morúa ofrece zona de juegos infantil.

En recepción se habla inglés y español, y el personal estará encantado de dar consejos sobre la zona.

El aeropuerto (Aeropuerto de El Yopal) está a 4 km.","Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Detector de monóxido de carbono, Zona TV / salón de uso compartido, Insonorización, Menú para niños, Proporciona factura, Abierta todo el año, Registro de entrada / salida privado, Plancha para ropa, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Inglés, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Habitaciones sin humo, Servicio de habitaciones, Almuerzos para llevar, Suelo de madera o parquet, Tarjeta de acceso, Guardaequipaje, Nevera, Para todas las edades, Club infantil, Restaurante, Prohibido fumar en todo el alojamiento, Tendedero, Horario de apertura, Salas de reuniones / banquetes, Vistas al jardín, Secador de pelo, Aire acondicionado, Ducha, Parking gratis, Español, Adaptado personas de movilidad reducida, Plancha para pantalones, Servicio de lavandería, Utensilios de planchado, Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Ropa de cama, TV de pantalla plana, Vistas a la piscina, WiFi gratis, Mobiliario exterior, Canales por cable, Productos de limpieza, Escritorio, Extintores, Zona poco profunda, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Piscina al aire libre, Teléfono, Baños públicos, Bar, Recepción 24 horas, Habitaciones familiares, Toallas de playa/piscina, Caja fuerte, Adaptado para sillas de ruedas, Secadora de ropa, Sombrillas, Papel higiénico, Llave de acceso, Cafetería en el alojamiento, Toallas, Información turística, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Artículos de aseo gratis, Snack-bar, Perchero, Ascensor, Centro de negocios, Habitaciones hipoalergénicas, Armario, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/508700889.jpg?k=4ffd0da58c0eb3b26c768c345e124f35a88317b5d99b2d4450aed440ed42a986&o=&hp=1,El Yopal,Venezuela
hotel villa morenta,https://www.booking.com/hotel/co/villa-morenta.es.html?aid=2410095,"Hotel villa morenta ofrece alojamiento en Yopal. El alojamiento dispone de recepción 24 horas.

En el hotel, cada habitación dispone de armario. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de wifi gratis. Algunas de las habitaciones incluyen vistas a la ciudad.

El aeropuerto (Aeropuerto de El Yopal) está a 4 km.","Baño privado, Ducha, Armario, WiFi gratis, Español, Enchufe cerca de la cama, Artículos de aseo gratis, Toallas, Productos de limpieza, Perchero, Recepción 24 horas, Aire acondicionado, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/320695566.jpg?k=6f98649f8af1c71bb76131b127821e4a8659ce615df41d45cc6819cf35d47799&o=&hp=1,El Yopal,Venezuela
L`aurora Hotel Boutique,https://www.booking.com/hotel/co/l-aurora-boutique-yopal.es.html?aid=2410095,"L`aurora Hotel Boutique tiene piscina al aire libre, jardín, salón de uso común y terraza en Yopal. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Algunas habitaciones del alojamiento tienen un balcón con vistas a la piscina.

El aeropuerto (Aeropuerto de El Yopal) está a 2 km.","Restaurante, Servicio de planchado, Servicio de entrega de comestibles, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Horario de apertura, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Fruta, Servicio de traslado, Proporciona factura, Extintores, Desayuno, Piscina al aire libre, Abierta todo el año, Seguridad 24 horas, Recepción 24 horas, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Habitaciones hipoalergénicas, Caja fuerte, Plancha para pantalones, Registro de entrada y salida exprés, Servicio de lavandería, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Servicio de limpieza diario, Servicio de habitaciones, Sombrillas, Jardín, Alarma de seguridad, Llave de acceso, Desayuno en la habitación, Guardaequipaje, Información turística, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/363579095.jpg?k=505e522f208ede2b6914e12c220b623821067e981dd5addab26cf8535ed3a5ea&o=&hp=1,El Yopal,Venezuela
Hostal Esperanza & David House,https://www.booking.com/hotel/co/habitacion-privada-en-yopal.es.html?aid=2410095,"Hostal Esperanza & David House ofrece alojamiento en Yopal. El alojamiento dispone de servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hostal o pensión, cada habitación tiene armario. En Hostal Esperanza & David House, las habitaciones cuentan con aire acondicionado y TV de pantalla plana, y algunas también ofrecen vistas a la ciudad. En el alojamiento, todas las habitaciones cuentan con ropa de cama y toallas.

El aeropuerto (Aeropuerto de El Yopal) está a 3 km.","Servicio de streaming (como Netflix), Prohibido fumar en todo el alojamiento, WiFi gratis, Extintores, Seguridad 24 horas, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Español, TV, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Servicio de limpieza diario, Servicio de habitaciones, Papel higiénico, Armario, Llave de acceso, Toallas, Ropa de cama, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/452426366.jpg?k=12efefcbffd2e0189c87b8ec6e226c16d58db7b2741b0d1a8554eeacada08c4d&o=&hp=1,El Yopal,Venezuela
Casa Cumbres Ecolodge,https://www.booking.com/hotel/co/finca-ecologica-casa-cumbres.es.html?aid=2410095,"Casa Cumbres Ecolodge está en Yopal y ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín con piscina al aire libre.

El lodge ofrece desayuno a la carta o continental.

Casa Cumbres Ecolodge dispone de terraza.

El aeropuerto (Aeropuerto de El Yopal) está a 4 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Restaurante, Servicio de planchado, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Spa y centro de bienestar, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Fruta, Servicio de traslado, Equitación, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Desayuno, Juegos de mesa / puzles, Barandillas protectoras para bebés, Piscina al aire libre, Snack-bar, Abierta todo el año, Zona de spa / relajación, Aire acondicionado, Juguetes para la piscina, Habitaciones familiares, Toallas de playa/piscina, Parking gratis, Terraza / solárium, Clases de cocina, Español, Inglés, Servicio de lavandería, Senderismo, Chimenea exterior, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Ping pong, Habitaciones sin humo, Servicio de habitaciones, Vino / champán, Servicio de limpieza diario, Jardín, Alarma de seguridad, Llave de acceso, Almuerzos para llevar, Cafetería en el alojamiento, Desayuno en la habitación, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527110318.jpg?k=13c6ff37e958724af6eebec543e729c13791b6c32df99fa1d2901ef78e53012a&o=&hp=1,El Yopal,Venezuela
Hotel Luna Roja del Llano,https://www.booking.com/hotel/co/luna-roja-del-llano.es.html?aid=2410095,"Hotel Luna Roja del Llano está en Yopal y tiene jardín. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, cada habitación está equipada con un balcón con vistas al jardín. Las habitaciones de este alojamiento tienen baño privado con bañera o ducha y artículos de aseo gratuitos, y también tienen vistas a la ciudad. En Hotel Luna Roja del Llano, las habitaciones están equipadas con aire acondicionado y TV de pantalla plana.

El personal de la recepción 24 horas puede dar consejos sobre la zona.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 4 km.","Baño privado, WiFi gratis, Vistas, Tendedero, Vistas a la ciudad, Canales por cable, Toallas / sábanas (por un suplemento), Vistas al jardín, Desayuno fabuloso, Enchufe cerca de la cama, Artículos de aseo gratis, Teléfono, Perchero, Recepción 24 horas, Patio, Aire acondicionado, Habitaciones familiares, Plancha para ropa, Parking gratis, Español, TV, Mesa de comedor, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Armario, Jardín, Toallas, Minibar, Zona de comedor, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/293683964.jpg?k=6e2781835a2484813477a26706bcaa92005913e70410e8ad59ab684f9e799253&o=&hp=1,El Yopal,Venezuela
