hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel la Barca,https://www.booking.com/hotel/ec/la-barca.es.html?aid=2410095,"El Hotel la Barca, provisto de terraza y piscina exterior, se encuentra frente a la playa de Atacames, en la región de Esmeraldas. El establecimiento cuenta con restaurante, conexión WiFi gratis y aparcamiento gratuito. La ciudad costera de Esmeraldas está a 21 km.

Las habitaciones disponen de aire acondicionado, TV de pantalla plana y baño privado. Algunas ofrecen vistas al mar.

La recepción está abierta las 24 horas. Por un suplemento se organizan servicios de enlace con el aeropuerto.

La Barca Hotel se halla a 45 km de Mompiche y a 16 km de Same.","Parking en un garaje, Zona de comedor exterior, Zona de cocina, Plancha para pantalones, Parking gratis, Tratamientos faciales, Sombrillas, Perchero, Terraza, Bañera o ducha, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Baños públicos, Pesca, Canales por cable, Proporciona factura, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Cafetería en el alojamiento, 2 restaurantes, Almuerzos para llevar, Español, Zona TV / salón de uso compartido, Extintores, TV de pantalla plana, Habitaciones familiares, Fruta, Mesa de comedor, Desayuno, Tinte, Traslado aeropuerto, Buffet para niños, Armario, Alarma de seguridad, Vino / champán, Artículos de aseo gratis, Servicios de belleza, Fax / fotocopiadora, Exfoliación corporal, Habitaciones sin humo, Guardaequipaje, Peluquería / salón de belleza, Registro de entrada y salida exprés, Servicio de planchado, Zona de comedor, Envoltura corporal, Servicio de limpieza diario, Habitaciones hipoalergénicas, Papel higiénico, Cocina compartida, Servicio de lavandería, Habitaciones insonorizadas, Alquiler de bicicletas, TV, Cámaras de seguridad fuera del alojamiento, Servicios de maquillaje, Menú para niños, Tratamientos capilares, Snack-bar, Abierta todo el año, Corte de pelo, Baño privado, Aire acondicionado, Piscina al aire libre, Peinado, Pedicura, Tetera / cafetera, Ducha, Calefacción, Ciclismo, Playa, Entretenimiento nocturno, Piscina con vistas, Menús para dietas especiales (bajo petición), Cambio de moneda, Llave de acceso, Caja fuerte, Seguridad 24 horas, Servicio de conserjería, Tetera/cafetera en todas las habitaciones, Toallas / sábanas (por un suplemento), Situado frente a la playa, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Servicios de depilación, Tumbonas/sillas de playa, Toallas, Información turística, Terapia con luz, Restaurante, Tratamientos corporales, Zona de pícnic, Recepción 24 horas, Manicura, Personal de animación, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/268822389.jpg?k=5f4c38d3fef4affe16a6cdf2c8e2a2660b9b6a3188b6a59aa0e05ab078b7348e&o=&hp=1,Esmeraldas,Ecuador
Resort Playa Azul Departamentos frente al mar,https://www.booking.com/hotel/ec/resort-playa-azul.es.html?aid=2410095,"El Resort Playa Azul ofrece alojamiento tipo apartamento en Tonsupa, a 14 km de Esmeraldas. El establecimiento tiene vistas al mar y se encuentra a 7 km de Atacames. Hay aparcamiento privado gratuito.

El alojamiento dispone de TV de pantalla plana con canales por cable. El Resort Playa Azul también cuenta con bañera de hidromasaje y cocina totalmente equipada con utensilios de cocina.

El apartamento ofrece piscina, pista de tenis, mesa de billar y bañera de hidromasaje. Además, tiene un bar en la playa.","Sala de juegos, Parking en un garaje, Prohibido fumar en todo el alojamiento, Zona de cocina, Billar, Parking gratis, Terraza, Bañera o ducha, Piscina infinita, Mobiliario exterior, WiFi gratis, Nevera, Baños públicos, Canales por cable, Proporciona factura, Canales de pago, Terraza / solárium, Adosado, Jardín, Español, Máquina expendedora (bebidas), Enchufe cerca de la cama, TV de pantalla plana, Ropa de cama, Habitaciones familiares, Adaptado personas de movilidad reducida, Mesa de comedor, Baño al aire libre, Pista de tenis, Armario, Mosquitera, Vistas a un lugar de interés, WC, Artículos de aseo gratis, Microondas, Bañera de hidromasaje / jacuzzi, Toda la unidad accesible en silla de ruedas, Vistas, Insonorización, Spa y centro de bienestar, Cocina, Zona privada de playa, Entrada privada, Ventilador, Zona de comedor, Zona de estar, Papel higiénico, Apartamento privado en edificio, TV, Cámaras de seguridad fuera del alojamiento, Barandillas de seguridad para bebés, Independiente, Sofá, Abierta todo el año, Baño privado, Patio, Zona poco profunda, Balcón, Piscina al aire libre, Adaptado para sillas de ruedas, Ducha, Playa, Canales vía satélite, Piscina con vistas, Seguridad 24 horas, Utensilios de cocina, Vistas a la piscina, Bar, Gimnasio, Situado frente a la playa, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores en ascensor, Toallas, Ascensor, Sauna, Restaurante, Tendedero",https://cf.bstatic.com/xdata/images/hotel/max1024x768/405959042.jpg?k=14faaba53546812b39d5f4f5b015f6f0dca34cd4f1c4dc35b20e84d0cde82cb9&o=&hp=1,Esmeraldas,Ecuador
"Hotel Casa Arnaldo ""Esmeraldas""",https://www.booking.com/hotel/ec/casa-arnaldo-esmeraldas.es.html?aid=2410095,"Hotel Casa Arnaldo ""Esmeraldas"" está en Esmeraldas, a 3 min a pie de Playa Las Palmas, y dispone de alojamiento con piscina al aire libre, parking privado gratis, terraza y bar. Este hotel de 4 estrellas tiene wifi gratis y recepción 24 horas. El hotel tiene habitaciones familiares.

En el hotel, las habitaciones cuentan con un patio con vistas a la ciudad. Todas las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también cuentan con balcón.","Playa, Canales vía satélite, Muy buen desayuno, Piscina con vistas, Parking gratis, Cubierta para piscina, Terraza, Bañera o ducha, Papel higiénico, Bar, WiFi gratis, TV, Inglés, Toallas / sábanas (por un suplemento), Situado frente a la playa, WC, Canales por cable, Acceso a pisos superiores solo mediante escaleras, Toallas, Artículos de aseo gratis, Juguetes para la piscina, Bar en la piscina, Abierta todo el año, Español, Baño privado, Patio, Aire acondicionado, Vistas a la ciudad, Piscina al aire libre, Habitaciones sin humo, Vistas, Recepción 24 horas, TV de pantalla plana, Ducha, Valla alrededor de la piscina, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/212998306.jpg?k=b0512e8e60997384dd3fcc6f712f92249a26835295ccb1fd84f6bf0d8eb17ca4&o=&hp=1,Esmeraldas,Ecuador
Caramba Hospedaje,https://www.booking.com/hotel/ec/caramba-hospedaje.es.html?aid=2410095,"Caramba Hospedaje se encuentra en Tonsupa, a 1 min a pie de Playa de Tonsupa, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y restaurante. El alojamiento dispone de servicio de habitaciones y wifi gratis.

En el hostal o pensión, todas las habitaciones están equipadas con balcón. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también tienen patio.","Playa, Parking en un garaje, Prohibido fumar en todo el alojamiento, Piscina con vistas, Menús para dietas especiales (bajo petición), Parking gratis, Baño al aire libre, Llave de acceso, Servicio de limpieza diario, Bañera o ducha, Papel higiénico, Bar, Mobiliario exterior, WiFi gratis, TV, Piscina pequeña, Para todas las edades, Situado frente a la playa, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Cenas temáticas, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Registro de entrada / salida privado, Información turística, Piscina infantil, Almuerzos para llevar, Abierta todo el año, Horario de apertura, Baño privado, Aire acondicionado, Español, Zona poco profunda, Balcón, Piscina al aire libre, Habitaciones familiares, Restaurante, Enchufe cerca de la cama, Extintores, Habitaciones sin humo, Servicio de streaming (como Netflix), Ruta de bares, Suelo de baldosa / mármol, TV de pantalla plana, Entrada privada, Parque acuático, Adaptado para sillas de ruedas, Ducha, Desayuno en la habitación, Desayuno fabuloso, Adaptado personas de movilidad reducida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/299094558.jpg?k=7b5b2b02c604e2816a0aeff78af038301992e8a56753fe78ee774b806e2a2287&o=&hp=1,Esmeraldas,Ecuador
Cabañas Ecologicas Cayapas,https://www.booking.com/hotel/ec/hosteria-cayapas.es.html?aid=2410095,"Cabañas Ecologicas Cayapas está en Atacames, a pocos pasos de Playa de Atacames, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. El hostal o pensión también ofrece wifi gratis y servicio de traslado de pago para ir o volver del aeropuerto.

Las habitaciones están equipadas con baño privado, algunas ofrecen balcón y otras también tienen vistas al mar.","Playa, Prohibido fumar en todo el alojamiento, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Bar, WiFi gratis, Para todas las edades, Situado frente a la playa, Proporciona factura, Información turística, Snack-bar, Jardín, Abierta todo el año, Español, Aire acondicionado, Baño privado, Piscina al aire libre, Habitaciones sin humo, Guardaequipaje, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/57864783.jpg?k=8315498a8d55c1f6e119280a1fd71963db93af6e23390d10e6cfe28b7c1deaed&o=&hp=1,Esmeraldas,Ecuador
Hotel Zulema Inn,https://www.booking.com/hotel/ec/zulema-inn-esmeraldas.es.html?aid=2410095,"Hotel Zulema Inn está en Esmeraldas y ofrece salón de uso común. Hay terraza, wifi gratis y parking privado gratis.

Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas a la ciudad. En el hotel, las habitaciones disponen de escritorio y TV de pantalla plana.

En la recepción 24 horas se habla inglés y español, y el personal estará encantado de dar consejos sobre la zona.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Parking gratis, Perchero, Terraza, Seguridad 24 horas, Papel higiénico, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Terraza / solárium, Toallas, Snack-bar, Información turística, Artículos de aseo gratis, Ascensor, Español, Baño privado, Aire acondicionado, Vistas a la ciudad, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, TV de pantalla plana, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495489224.jpg?k=03b60789b179278433e801e631bfb3627e0827871a7967b5215b6af188ed36f8&o=&hp=1,Esmeraldas,Ecuador
Departamentos frente al mar en Resort Playa Azul-Tonsupa,https://www.booking.com/hotel/ec/edificios-playa-azul-tonsupa.es.html?aid=2410095,"Departamentos frente al mar en Resort Playa Azul-Tonsupa está en Tonsupa y ofrece vistas al mar, piscina al aire libre, jardín, terraza, bar y pista de tenis. En el apartamento, tanto el wifi como el parking privado son gratis.

Todas las unidades están equipadas con balcón con vistas a la piscina, cocina con nevera y microondas, y baño privado. También se ofrece tostadora y cafetera.

En Departamentos frente al mar en Resort Playa Azul-Tonsupa, la clientela puede disfrutar de sauna y bañera de hidromasaje.

También hay zona de juegos infantil en el alojamiento.

Playa de Tonsupa está a pocos pasos del alojamiento.","Playa, Parking en un garaje, Cafetera, Prohibido fumar en todo el alojamiento, Mesa de comedor, Vistas al jardín, Barbacoa, Piscina con vistas, Zona de comedor, Parking gratis, Llave de acceso, Servicio de limpieza diario, Perchero, Camas extralargas (más de 2 metros), Terraza, Pista de tenis, Armario, Papel higiénico, Vistas a la piscina, Bar, Apartamento privado en edificio, TV, Extintores, Inglés, Para todas las edades, Nevera, Baños públicos, Gimnasio, Situado frente a la playa, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores en ascensor, Toallas, Snack-bar, Jardín, Microondas, Juegos de mesa / puzles, Independiente, Servicio de limpieza en seco, Ascensor, Abierta todo el año, Muebles de exterior, Bañera de hidromasaje / jacuzzi, Toda la unidad accesible en silla de ruedas, Baño privado, Patio, Sauna, Vistas al mar, Español, Balcón, Piscina al aire libre, Wifi buena gratis (19 Mbps), Habitaciones sin humo, Habitaciones familiares, Vistas, Zona de juegos para niños, Sofá cama, Cocina, Tendedero, Zona de pícnic, Supermercado pequeño en el alojamiento, TV de pantalla plana, Ropa de cama, Tetera / cafetera, Parking adaptado para personas de movilidad reducida, Adaptado personas de movilidad reducida, Tostadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/237313046.jpg?k=b7da8e94f629fcd6c8b71118af89e9f7d4812fe5d6cb2b5909b4d59bcf7ece2d&o=&hp=1,Esmeraldas,Ecuador
Hotel Almond Beach,https://www.booking.com/hotel/ec/almond-beach.es.html?aid=2410095,"Hotel Almond Beach está en Tonsupa, a 3 min a pie de Playa de Tonsupa, y dispone de alojamiento con piscina al aire libre, parking privado gratis, centro de fitness y jardín. El alojamiento dispone de restaurante y también tiene terraza y piscina cubierta. Algunas unidades del alojamiento tienen un balcón con vistas a la piscina.

En el hotel, las habitaciones disponen de aire acondicionado, armario, patio con vistas al jardín, baño privado, TV de pantalla plana, ropa de cama y toallas. Las unidades cuentan con nevera.

En Hotel Almond Beach se sirve cada mañana un desayuno continental.","Playa, Parking en un garaje, Registro de entrada y salida exprés, Vistas al jardín, Mesa de comedor, Prohibido fumar en todo el alojamiento, Tobogán de agua, Zona de comedor, Parking gratis, Baño al aire libre, Sombrillas, Llave de acceso, Servicio de limpieza diario, Terraza, Bañera o ducha, Vistas a un patio interior, Caja fuerte, Armario, Papel higiénico, Mobiliario exterior, Servicio de conserjería, WiFi gratis, TV, Piscina pequeña, Para todas las edades, Nevera, Baños públicos, Gimnasio, Vistas a un lugar de interés, WC, Mosquitera, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Piscina privada, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Registro de entrada / salida privado, Piscina infantil, Productos de limpieza, Abierta todo el año, Bañera, Español, Baño privado, Patio, Aire acondicionado, Zona poco profunda, Adecuada para niños, Habitaciones sin humo, Habitaciones familiares, Restaurante, Vistas, Enchufe cerca de la cama, Extintores, Suelo de baldosa / mármol, Tendedero, TV de pantalla plana, Ropa de cama, Entrada privada, Buen desayuno, Adaptado para sillas de ruedas, Ducha, Horario de apertura, Adaptado personas de movilidad reducida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/213376968.jpg?k=1522a75bc96c319e7bb39729106b73f4ff9611569ab941f632d8c79765479f3d&o=&hp=1,Esmeraldas,Ecuador
Makana Tonsupa - Suites Familiares 311 y 421 - Deluxe Suites,https://www.booking.com/hotel/ec/vien-suite-residencias-spa.es.html?aid=2410095,"Makana Tonsupa - Suites Familiares 311 y 421 - Deluxe Suites está en Tonsupa y ofrece vistas a la ciudad, piscina al aire libre, jardín, terraza, bar y zona de playa privada. El alojamiento dispone de bañera de hidromasaje y aire acondicionado.

Cada unidad tiene balcón con vistas al mar, TV de pantalla plana por cable, zona de comedor, cocina bien equipada y baño privado con ducha y secador de pelo. También se ofrece nevera y tostadora, además de cafetera.

En el apartamento, la clientela puede usar la zona de juegos infantil.

Playa de Tonsupa está a pocos pasos del alojamiento.","Sala de juegos, Parking en un garaje, Solárium, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de comedor exterior, Zona de cocina, Plancha para pantalones, Plancha para ropa, Parking gratis, Terraza, Bañera o ducha, Piscina infinita, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, Nevera, Baños públicos, Canales por cable, Proporciona factura, Terraza / solárium, Jardín, Español, Enchufe cerca de la cama, Extintores, Sofá cama, TV de pantalla plana, Ropa de cama, Habitaciones familiares, Cafetera, Mesa de comedor, Baño al aire libre, Armario, Vistas a un lugar de interés, WC, Bañera de hidromasaje, Piscina privada, Toda la unidad accesible en silla de ruedas, Vistas al mar, Habitaciones sin humo, Vistas, Cocina, Zona privada de playa, Entrada privada, Ventilador, Zona de comedor, Salas de reuniones / banquetes, Papel higiénico, Apartamento privado en edificio, Cámaras de seguridad fuera del alojamiento, Secador de pelo, Independiente, Sofá, WiFi, Productos de limpieza, Abierta todo el año, Baño privado, Patio, Aire acondicionado, Balcón, Piscina al aire libre, Vestidor, Escritorio, Tetera / cafetera, Ducha, Tostadora, Playa, Entretenimiento nocturno, Piscina con vistas, Caja fuerte, Seguridad 24 horas, Utensilios de cocina, Vistas a la piscina, Bar, Inglés, Situado frente a la playa, Cámaras de seguridad en las zonas comunitarias, Toallas, Toallas de playa/piscina, Ascensor, Vistas a la ciudad, Zona de juegos para niños, Suelo de baldosa / mármol, Tendedero, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/328420571.jpg?k=2f126b5ab06f8f6411c0879d5c72291334591f219a8c7c61ffad775f4e9eeb02&o=&hp=1,Esmeraldas,Ecuador
Hotel El Marqués,https://www.booking.com/hotel/ec/el-marques.es.html?aid=2410095,"El Hotel El Marqués ofrece un alojamiento moderno con conexión W-Fi gratis. Está en la playa de Atacames, a 45 minutos en coche del aeropuerto General Rivadenerira. Las instalaciones incluyen una piscina y terraza al aire libre, gimnasio y spa.

Las amplias habitaciones de El Marqués Hotel están decoradas con gusto y disponen de aire acondicionado. Todas están equipadas con TV por cable y minibar. Las suites más grandes cuentan con balcón privado con vistas al océano Pacífico.


Los huéspedes de El Marqués pueden cenar en el restaurante Shamu, que sirve especialidades ecuatorianas, o disfrutar de un refrescante helado de la heladería Dulce Frío. Un desayuno bufé americano se sirve todos los días.

El Hotel El Marqués ofrece aparcamiento gratuito en el establecimiento. Los huéspedes también pueden beneficiarse del servicio de venta de billetes, a través del que se pueden reservar vuelos locales e internacionales.","Instalaciones para deportes acuáticos en el alojamiento, Plancha para pantalones, Billar, Masajes, Sombrillas, Perchero, Terraza, Bañera o ducha, 3 piscinas, Mobiliario exterior, Detectores de humo, WiFi gratis, Masaje de pies, Pesca, Canales por cable, Lavamanos más bajo, Proporciona factura, Zona de fumadores, Terraza / solárium, Registro de entrada / salida privado, Cafetería en el alojamiento, Centro de negocios, Español, Adecuada para niños, Máquina expendedora (bebidas), Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Ruta de bares, Cesta para mascotas, TV de pantalla plana, Habitaciones familiares, Adaptado personas de movilidad reducida, Tarjeta de acceso, Fruta, Desayuno, Tour o clase sobre cultura local, Armario, Masaje de cabeza, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Masaje de espalda, Piscina infantil, Fax / fotocopiadora, Caja fuerte para ordenador portátil, Habitaciones sin humo, Reloj despertador, Máquina expendedora (aperitivos), Registro de entrada y salida exprés, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, TV, Cámaras de seguridad fuera del alojamiento, Menú para niños, Masaje corporal completo, Snack-bar, Secador de pelo, Juegos de mesa / puzles, Tours a pie, Abierta todo el año, Baño privado, Aire acondicionado, Adaptado para sillas de ruedas, Ducha, Teléfono, Playa, Entretenimiento nocturno, Zona de juegos interior, Menús para dietas especiales (bajo petición), Radio, Llave de acceso, Boles para mascotas, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Gimnasio, Situado frente a la playa, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Toallas, Información turística, Ascensor, WC con barras de apoyo, Restaurante, Recepción 24 horas, Suelo de baldosa / mármol, Servicio de despertador / alarma, Masaje en pareja, Masaje de cuello, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/45680532.jpg?k=715ad10605de36a07830f4f2035422752ecc021ce4f44ac7027f23e1f4da616f&o=&hp=1,Esmeraldas,Ecuador
