hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hospedaje Amilcar,US$24,"9,3",Fantástico,131,https://cf.bstatic.com/xdata/images/hotel/max1024x768/359374133.webp?k=bfe06bc13881041554047f61a1cce3107a77cbbf003ba9608abad9281965c281&o=,https://www.booking.com/hotel/ar/hospedaje-amilcar.es.html?aid=2410095,"Estacionamiento gratuito, Habitaciones familiares, Prohibido fumar en todo el establecimiento, Español, Vista a un patio interno, Extintores, Patio, Vista a la montaña, Armario, Heladera, Zona TV/salón compartidos, Wifi básico gratis (9 Mbps), Ropa de cama, Tostadora, Toallas, Utensilios de cocina, Bidé, Microondas, Vista, Habitaciones para no fumadores, Papel higiénico, Escritorio, Entrada privada, Mesa de comedor, Bañera o ducha, Ducha, Vista al jardín, Kitchenette, Piso de madera o parquet, Jardín, Perchero de barral, Secador de pelo, Calefacción, TV de pantalla plana, Bañera, Enchufe cerca de la cama, Cocina compartida, Horno, Cocina, Baño compartido, Hornalla, Libros, DVD o música para niños, Zona de comedor, Acceso a pisos superiores solo por escalera",Esquel,Argentina,"El Hospedaje Amilcar se encuentra en Esquel, a 4,4 km de la estación de esquí de La Hoya, y ofrece alojamiento con salón compartido, estacionamiento privado gratuito y jardín. Hay cocina compartida y wifi gratis en todas las instalaciones.

Las habitaciones tienen patio con vistas al jardín. Las habitaciones del Hospedaje Amilcar incluyen escritorio y baño compartido.

La Hoya se encuentra a 12 km del alojamiento, mientras que el Museo de la India está a 1,4 km. El aeropuerto más cercano es el de Esquel, ubicado a 15 km del Hospedaje Amilcar."
Residencial Ski,US$22,"7,4",Bien,129,https://cf.bstatic.com/xdata/images/hotel/max1024x768/404385675.webp?k=6cce4f1543f220d35032970a3f3abec4da2add9c255acefe5129154798b355d2&o=,https://www.booking.com/hotel/ar/residencial-ski.es.html?aid=2410095,"Wifi gratis, Restaurante, Estacionamiento gratuito, Habitaciones familiares, Prohibido fumar en todo el establecimiento, Acceso con llave, Lavamanos más bajo, Español, Canales de pago, Recepción 24 horas, Fax/fotocopiadora, Extintores, Armario, Productos de limpieza, Zona TV/salón compartidos, Canales por cable, Menú light (a pedido), Servicio de despertador, Ropa de cama, Cafetería en la propiedad, Inodoro con barras de apoyo, Toallas, Adaptado para personas con movilidad reducida, Bidé, TV, Italiano, Caja fuerte, Baño público, Servicio diario de limpieza, Habitaciones para no fumadores, Estacionamiento en un garaje, Acceso a pisos superiores solo por escalera, Check-in/check-out privado, Guardaequipaje, Habitaciones aptas para alérgicos, Papel higiénico, Información turística, Mesa de comedor, Baño privado, Ducha, Cámaras de seguridad en exterior del alojamiento, Toda la unidad está situada en planta baja, Servicio de conserjería, Inodoro elevado, Toda la unidad es accesible mediante silla de ruedas, Inglés, Perchero de barral, Secador de pelo, Calefacción, Portugués, Seguridad las 24 horas, Cambio de moneda, Buen desayuno, Fax, Adaptado para sillas de ruedas, Servicio a la habitación, Estacionamiento adaptado para personas con movilidad reducida, Zona de comedor, Servicio de transfer, Cámaras de seguridad en áreas comunes",Esquel,Argentina,"El hotel, situado a sólo 20 km del centro de esquí de La Hoya, ofrece prácticas habitaciones con conexión inalámbrica a internet gratuita. Hay estacionamiento privado gratuito y servicio de lavandería.

El Residencial Ski dispone de habitaciones con TV por cable, calefacción y una decoración sencilla. Hay baños privados con ducha.

En la zona de desayunos podrá empezar el día con chocolate caliente y mermeladas regionales con pan. La zona comercial de Esquel está a 50 metros del Residencial.

En el mostrador de información turística del hotel le facilitarán información sobre los lugares de interés cercanos, como el parque nacional de Los Alerces.

El alojamiento ofrece servicios de recepción 24 horas y guardaequipaje. El aeropuerto de Brigadier Parodi está a 20 km."
My Pod House,US$17,"9,2",Fantástico,291,https://cf.bstatic.com/xdata/images/hotel/max1024x768/364217567.webp?k=ccda85177deaebac8b4ccd517aaf7807b114e4ab017ebb79f097bb4b3876eef6&o=,https://www.booking.com/hotel/ar/my-pod-house.es.html?aid=2410095,"Wifi gratis, Guardaesquíes, Habitaciones familiares, Prohibido fumar en todo el establecimiento, Español, Artículos de tocador gratuitos, Extintores, Esquí, Productos de limpieza, Ropa de cama, Toallas, Bar, Desayuno en la habitación, Habitaciones para no fumadores, Canasto para mascotas, Papel higiénico, Baño privado, Ducha, Cámaras de seguridad en exterior del alojamiento, Toda la unidad está situada en planta baja, Snack-bar, Jardín, Inglés, Perchero de barral, Calefacción, Traslados (aeropuerto), Enchufe cerca de la cama, Desayuno fantástico, Servicio a la habitación, Bols para mascotas, Cámaras de seguridad en áreas comunes",Esquel,Argentina,"El My Pod House se encuentra en Esquel, a 4,2 km de la estación de esquí de La Hoya, y ofrece alojamiento con bar, estacionamiento privado gratuito y jardín. Este hotel de 4 estrellas ofrece recepción 24 horas y room service. El hotel dispone de habitaciones familiares.

Todas las habitaciones incluyen ropa de cama y toallas.

El My Pod House sirve un desayuno buffet o a la carta.

En Esquel y sus alrededores se pueden practicar diversas actividades, como esquí.

El My Pod House está a 12 km de La Hoya y a 1,3 km del Museo Indio. El aeropuerto más cercano es el de Esquel, ubicado a 15 km. Se proporciona servicio de link con el aeropuerto por un adicional."
Hotel Sol del Sur,US$61,"7,7",Bien,106,https://cf.bstatic.com/xdata/images/hotel/max1024x768/176571259.webp?k=4d866aec3222e9ffe1acc22d19cb27633d71211c8597bdb6e3bc14892c618ac2&o=,https://www.booking.com/hotel/ar/sol-del-sur.es.html?aid=2410095,"Wifi gratis, Guardaesquíes, Habitaciones familiares, Estacionamiento privado, Acceso con llave, Prohibido fumar en todo el establecimiento, Español, Artículos de tocador gratuitos, Recepción 24 horas, Fax/fotocopiadora, Extintores, Esquí, Armario, Acceso a pisos superiores mediante ascensor, Zona TV/salón compartidos, Canales por cable, Servicio de despertador, Ropa de cama, Desayuno, Toallas, Bidé, TV, Caja fuerte, Almuerzos para llevar, Servicio diario de limpieza, Desayuno en la habitación, Toallas/sábanas (cargos extra), Estacionamiento en un garaje, Acceso a pisos superiores solo por escalera, Check-in/check-out privado, Guardaequipaje, Papel higiénico, Baño, Alquiler de equipos de esquí en la propiedad, Información turística, Bañera o ducha, Senderismo, Ascensor, Baño privado, Ducha, Teléfono, Salas de reuniones/banquetes, Servicio de conserjería, Piso de madera o parquet, Proporciona factura, Snack-bar, Toda la unidad es accesible mediante silla de ruedas, Perchero de barral, Calefacción, Traslados (aeropuerto), TV de pantalla plana, Seguridad las 24 horas, Enchufe cerca de la cama, Ciclismo, Servicio a la habitación, Estacionamiento adaptado para personas con movilidad reducida, Servicio de transfer, Cámaras de seguridad en áreas comunes",Esquel,Argentina,"A sólo 500 metros de la plaza principal de Esquel, el Hotel Sol del Sur ofrece habitaciones con conexión de wifi gratis y vistas a los cerros de Esquel. Alberga un restaurante y sirve desayunos. El centro de esquí La Hoya está a 12 km.

Las habitaciones del Sol del Sur presentan suelo de parqué, grandes ventanales que ofrecen vistas panorámicas a los cerros, calefacción y baño privado.

Todos los días se sirve un desayuno continental con tartas caseras, pasteles, mermeladas regionales y jugo de naranja. El restaurante Atalaya prepara platos regionales y goza de vistas panorámicas a los cerros. También hay una cafetería.

El alojamiento cuenta con una tienda de esquí. Podrá solicitar sesiones de masaje. Además, se pueden reservar excursiones en el mostrador de información turística.

El Hotel Sol del Sur está a 1 km de la terminal de micros y a 15 km del aeropuerto nacional Antonio Parodi."
Victoria,US$30,"8,3",Muy bien,57,https://cf.bstatic.com/xdata/images/hotel/max1024x768/398953887.webp?k=bc231834e04c5b7afcda81fceb73640dac356ddc941093f7173bf7b79f38b26d&o=,https://www.booking.com/hotel/ar/victoria-esquel2.es.html?aid=2410095,"Wifi gratis, Estacionamiento gratuito, Prohibido fumar en todo el establecimiento, Español, Artículos de tocador gratuitos, Armario, Canales por cable, Ropa de cama, Balcón, Toallas, Utensilios de cocina, Bidé, TV, Papel higiénico, Baño, Mesa de comedor, Baño privado, Ducha, Inglés, Calefacción, TV de pantalla plana, Portugués, Bañera",Esquel,Argentina,"El Victoria se encuentra en Esquel, a 16 km de La Hoya, a 25 km del Museo del Molino de Nant Fach y a pocos pasos de la estación de esquí de La Hoya. El alojamiento cuenta con balcón, estacionamiento privado gratuito y wifi gratis.

El alojamiento está equipado con TV de pantalla plana. Se proporcionan toallas y ropa de cama.

La plaza San Martín se encuentra a 1,1 km, mientras que la plaza del Cielo está a 1,2 km. El aeropuerto más cercano es el de Esquel, ubicado a 20 km del Victoria."
Hol Gok Patagonia,US$46,"9,1",Fantástico,161,https://cf.bstatic.com/xdata/images/hotel/max1024x768/443010900.webp?k=8ac23fc1f9cb9d15c10c4f037ccdb748fae471f18fd88c8cadbfba77e1732938&o=,https://www.booking.com/hotel/ar/hol-gok-patagonia-b.es.html?aid=2410095,"Wifi gratis, Guardaesquíes, Habitaciones familiares, Prohibido fumar en todo el establecimiento, Español, Artículos de tocador gratuitos, Patio, Vista a la montaña, Esquí, Armario, Productos de limpieza, Heladera, Ropa de cama, Independiente, Desayuno, Toallas, Bidé, TV, Microondas, Habitaciones para no fumadores, Papel higiénico, Vista a la ciudad, Escritorio, Servicio de streaming (ej.: Netflix), Entrada privada, Información turística, Bañera o ducha, Baño privado, Ducha, Vista al jardín, Toda la unidad está situada en planta baja, Kitchenette, Proporciona factura, Toda la unidad es accesible mediante silla de ruedas, Jardín, Inglés, Perchero de barral, Calefacción, TV de pantalla plana, Portugués, Ténder para la ropa, Horno, Cocina",Esquel,Argentina,"El Hol Gok Patagonia se encuentra en Esquel, a 3,9 km de la estación de esquí de La Hoya, y ofrece vistas a la ciudad, wifi gratis y estacionamiento privado gratuito.

El alojamiento cuenta con TV de pantalla plana, baño privado con bidet, ducha y artículos de aseo gratuitos y cocina con microondas, heladera y horno. Todos los alojamientos tienen patio con vistas a la montaña.

También hay un jardín.

El departamento está a 12 km de La Hoya y a 1,6 km del Museo Indio. El aeropuerto más cercano es el de Esquel, ubicado a 15 km del Hol Gok Patagonia."
Departamentos patagonia,US$22,"9,3",Fantástico,6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/496437440.webp?k=2c4f0e587fa622983ef7711344d7548e93862acea74955314c2f1c09cfc7f60f&o=,https://www.booking.com/hotel/ar/departamentos-patagonia-esquel.es.html?aid=2410095,"Wifi gratis, Estacionamiento gratuito, Inglés, Español, Calefacción, TV de pantalla plana, Cocina, Baño privado, Cámaras de seguridad en exterior del alojamiento",Esquel,Argentina,"Los Departamentos patagonia ofrecen alojamiento en Esquel, a 26 km del Museo Nant Fach Mill. Se encuentra a 15 km de La Hoya y ofrece wifi gratis y estacionamiento privado gratuito.

El departamento consta de 2 dormitorios, cocina totalmente equipada y baño. Hay TV de pantalla plana.

El aeropuerto más cercano es el de Esquel, ubicado a 17 km del departamento."
La Juana,US$46,"9,8",Excepcional,6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/508878652.webp?k=30a40efdfb5f1c03e6410181574a350bec3efeb68682c42269aa19686a2bbce1&o=,https://www.booking.com/hotel/ar/la-juana-esquel.es.html?aid=2410095,"Wifi gratis, Estacionamiento gratuito, Habitaciones familiares, Jardín, Prohibido fumar en todo el establecimiento, Español, Calefacción, TV de pantalla plana, Cocina, Vista, Habitaciones para no fumadores, Balcón",Esquel,Argentina,"La Juana ofrece alojamiento en Esquel, a 25 km del Museo Nant Fach Mill. El alojamiento cuenta con balcón, estacionamiento privado gratuito y wifi gratis. Este alojamiento para no fumadores se encuentra a 14 km de La Hoya.

El departamento consta de 1 dormitorio, cocina totalmente equipada y baño. Hay TV de pantalla plana.

El aeropuerto más cercano es el de Esquel, ubicado a 17 km del departamento."
Vicos,US$34,"9,0",Fantástico,3,https://cf.bstatic.com/xdata/images/hotel/max1024x768/517553461.webp?k=0968c388b7e46db8eb1de354a8d460595b32c041ba4787d4652186a51ec40678&o=,https://www.booking.com/hotel/ar/vicos.es.html?aid=2410095,"Wifi gratis, Proporciona factura, Estacionamiento gratuito, Equipamiento de tenis, Español, Calefacción, TV de pantalla plana, Juegos de mesa/puzzles, Recepción 24 horas, Extintores, Alquiler de autos, Vista, Cámaras de seguridad en exterior del alojamiento, Kitchenette",Esquel,Argentina,"El Vicos se encuentra en Esquel.

El departamento consta de 1 dormitorio, zona de cocina totalmente equipada y 1 baño. Hay TV de pantalla plana."
Hotel Tehuelche,US$83,"8,0",Muy bien,856,https://cf.bstatic.com/xdata/images/hotel/max1024x768/11762217.webp?k=9183e938fd106d00a35797f9ae32864ae3b3f6bde5328747f58241579ab32153&o=,https://www.booking.com/hotel/ar/tehuelche.es.html?aid=2410095,"Wifi gratis, Restaurante, Estacionamiento gratuito, Habitaciones familiares, Terraza, Guardaesquíes, Centro de negocios, Prohibido fumar en todo el establecimiento, Servicio de tintorería, Español, Artículos de tocador gratuitos, Recepción 24 horas, Fax/fotocopiadora, Alquiler de autos, Esquí, Acceso a pisos superiores mediante ascensor, Menú light (a pedido), Ropa de cama, Cafetería en la propiedad, Inodoro con barras de apoyo, Toallas, Adaptado para personas con movilidad reducida, Muy buen desayuno, Caja fuerte, Bar, Almuerzos para llevar, Desayuno en la habitación, Habitaciones para no fumadores, Servicio de planchado, Servicio de lavandería, Guardaequipaje, Papel higiénico, Baño, Información turística, Bañera o ducha, Senderismo, Ascensor, Baño privado, Salas de reuniones/banquetes, Escuela de esquí, Servicio de conserjería, Casino, Pesca, Jardín, Secador de pelo, Calefacción, Traslados (aeropuerto), Masajes, Secadora de ropa, Ciclismo, Adaptado para sillas de ruedas, Servicio a la habitación, Zona de comedor, Servicio de transfer",Esquel,Argentina,"El Hotel Tehuelche está a sólo 200 metros de la plaza principal de Esquel. Ofrece habitaciones con conexión inalámbrica a internet gratuita y TV por cable. Hay un restaurante, y se sirven desayunos. La terminal de autobuses está a 1 km.

Las habitaciones del Tehuelche Hotel cuentan con calefacción y escritorios, y están decoradas en tonos pastel. El departamento cuenta con una amplia zona de estar.

Todos los días se sirve un desayuno buffet. En el restaurante podrá disfrutar de platos de cocina internacional. El bar está abierto las 24 horas.

En el mostrador de información turística podrá reservar actividades de senderismo y equitación. También podrá relajarse en el jardín mientras toma bebidas del bar.

Dispone de estacionamiento privado gratuito y servicio de lavandería. En la recepción 24 horas podrá reservar el servicio de transporte al aeropuerto Francisco Gabrielli, que está a 20 km."
