hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Hecht,US$84,"7,3",Bien,853,https://cf.bstatic.com/xdata/images/hotel/max1024x768/435075409.webp?k=0492578dc49f4351a1a31a3250eff030474be7a462203700f117a1ca0e720be4&o=,https://www.booking.com/hotel/at/aksaray.es.html?aid=2410095,"Máquina expendedora (aperitivos), Taquillas, Inglés, Parking en un garaje, Alarma de seguridad, Enchufe cerca de la cama, Registro de entrada / salida privado, Secador de pelo, Baño privado, Servicio de limpieza diario, Canales vía satélite, TV de pantalla plana, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Caja fuerte, Vistas a la ciudad, Ducha, Perchero, Alemán, Ropa de cama, Suelo de madera o parquet, Llave de acceso, Prohibido fumar en todo el alojamiento, Cambio de moneda, Proporciona factura, Calefacción, Buen desayuno, Parking, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Detectores de humo, WC, Máquina expendedora (bebidas)",Feldkirch,Austria,"Hotel Hecht está en Feldkirch, a 38 km de Casino Bregenz, y ofrece habitaciones con vistas a la ciudad y wifi gratis. El alojamiento está a unos 15 km de Liechtenstein Museum of Fine Arts, a 28 km de Club de golf Brand y a 31 km de Remonte Iltios - Horren. Este alojamiento libre de humo se encuentra a 26 km de Recinto ferial Dornbirner Messe.

Todas las unidades de este alojamiento incluyen TV de pantalla plana con canales vía satélite y caja fuerte. Todas las habitaciones cuentan con baño privado con ducha y secador de pelo, y algunas también ofrecen cocina con nevera. En el hotel, cada habitación tiene ropa de cama y toallas.

Hotel Hecht ofrece desayuno buffet o continental.

Wildkirchli está a 34 km del alojamiento. El aeropuerto más cercano (Aeropuerto de St Gallen - Altenrhein) está a 39 km."
FIRMAMENT Hotel,US$102,"8,6",Fabuloso,1.096,https://cf.bstatic.com/xdata/images/hotel/max1024x768/330016476.webp?k=0c67a26b3a85bac38fd3f668a592e3cee3fc03e0d210b8ae29c359a641d02980&o=,https://www.booking.com/hotel/at/firmament.es.html?aid=2410095,"Cafetería en el alojamiento, Centro de negocios, Bar, Servicio de limpieza diario, Papel higiénico, Cámaras de seguridad en las zonas comunitarias, Ascensor, Hipoalergénico, WC elevado, Senderismo, Pista de tenis, Fax / fotocopiadora, Vistas a la montaña, Chimenea exterior, Armario, Habitaciones sin humo, Parking adaptado para personas de movilidad reducida, Restaurante, Habitaciones insonorizadas, Registro de entrada / salida privado, Baño privado, Desayuno fabuloso, WC con barras de apoyo, Ciclismo, Extintores, Registro de entrada y salida exprés, Snack-bar, Adaptado personas de movilidad reducida, Bañera o ducha, Alemán, Habitaciones hipoalergénicas, Insonorización, Parking gratis, Detectores de humo, Terraza / solárium, Máquina expendedora (aperitivos), Inglés, Enchufe cerca de la cama, Guardaequipaje, Secador de pelo, Almuerzos para llevar, Vino / champán, Aire acondicionado, Fruta, Suelo de moqueta, Ropa de cama, Mobiliario exterior, Zona de pícnic, Prohibido fumar en todo el alojamiento, Equitación, Vistas, Jardín, Toallas, TV, WC, Radio, Terraza, Salas de reuniones / banquetes, Alquiler de bicicletas, TV de pantalla plana, Adaptado para sillas de ruedas, Utensilios de planchado, Barbacoa, Ducha, Tarjeta de acceso, Cuerda de emergencia en el baño, Esquí, Suelo de baldosa / mármol, Menús para dietas especiales (bajo petición), Campo de golf (a menos de 3 km), Proporciona factura, Calefacción, Acceso a pisos superiores en ascensor, WiFi gratis, Lavamanos más bajo, Estación de carga de vehículos eléctricos, Pesca, Máquina expendedora (bebidas)",Feldkirch,Austria,"FIRMAMENT Hotel está en Feldkirch, a 18 km de Recinto ferial Dornbirner Messe, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. El alojamiento cuenta con bar y se encuentra a 29 km de Casino Bregenz. El hotel hipoalergénico dispone de wifi gratis en todo el alojamiento.

En el hotel, cada habitación dispone de armario. Las unidades del alojamiento tienen baño privado con ducha y secador de pelo, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también cuentan con zona de estar. En FIRMAMENT Hotel, las habitaciones cuentan con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet o continental.

La zona es idea para practicar esquí y ciclismo, y en FIRMAMENT Hotel hay alquiler de bicicletas.

Hay un centro de negocios y máquinas expendedoras de snacks y bebidas en el propio alojamiento en el hotel.

Olma Messen St. Gallen está a 48 km del alojamiento, y Liechtenstein Museum of Fine Arts está a 30 km. El aeropuerto (Aeropuerto de St Gallen - Altenrhein) está a 30 km."
Montfort Apartments - Feldkirch,US$59,"8,4",Muy bien,150,https://cf.bstatic.com/xdata/images/hotel/max1024x768/431644363.webp?k=a8e6ceecf84051177cf01c89c1a611069366c587d87bb85b64ce774aff52ca73&o=,https://www.booking.com/hotel/at/saniert-in-idealer-lage-top-ausgestattes-zimmer.es.html?aid=2410095,"Fogones, Inglés, Habitaciones insonorizadas, Enchufe cerca de la cama, Utensilios de cocina, Zona de cocina, Registro de entrada / salida privado, Juegos de mesa / puzles, Secador de pelo, Baño privado, TV de pantalla plana, Apartamento privado en edificio, Cocina, Papel higiénico, Extintores, Ducha, Bañera o ducha, Perchero, Alemán, Ropa de cama, Mobiliario exterior, Boles para mascotas, Llave de acceso, Prohibido fumar en todo el alojamiento, Nevera, Insonorización, Proporciona factura, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Tetera / cafetera, WiFi gratis, Armario, Jardín, Parking gratis, Habitaciones sin humo, Toallas, TV, Detectores de humo, WC",Feldkirch,Austria,"Montfort Apartments - Feldkirch se encuentra a 21 km de Recinto ferial Dornbirner Messe y ofrece alojamiento con wifi gratis y parking privado gratis.

El alojamiento está equipado con TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. La cocina dispone de nevera y fogones.

También hay un jardín ideal para relajarse.

Casino Bregenz está a 33 km del alojamiento, y Liechtenstein Museum of Fine Arts está a 16 km. El aeropuerto más cercano (Aeropuerto de St Gallen - Altenrhein) está a 34 km del alojamiento."
Hotel Bären,US$78,"7,9",Bien,1.999,https://cf.bstatic.com/xdata/images/hotel/max1024x768/92836422.webp?k=25034043201a0b2b77b57d12bb6c80256627c7eca0d66b7d926ee68c9e8d9380&o=,https://www.booking.com/hotel/at/baren.es.html?aid=2410095,"Radio, Cafetería en el alojamiento, Terraza, Parking en un garaje, Inglés, Servicio de lavandería, Alarma de seguridad, Parking privado, Habitaciones insonorizadas, Zona TV / salón de uso compartido, Bar, Guardaequipaje, Secador de pelo, Baño privado, Salas de reuniones / banquetes, Almuerzos para llevar, Vino / champán, TV de pantalla plana, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Snack-bar, Ducha, Bañera o ducha, Perchero, Alemán, Ropa de cama, Servicio de planchado, Boles para mascotas, Tarjeta de acceso, Información turística, Prohibido fumar en todo el alojamiento, WC, Menús para dietas especiales (bajo petición), Canales por cable, Calefacción, Artículos de aseo gratis, Acceso a pisos superiores en ascensor, WiFi gratis, Armario, Jardín, Toallas, Habitaciones sin humo, TV, Detectores de humo, Terraza / solárium, Muy buen desayuno",Feldkirch,Austria,"El Hotel Bären está a solo 2 minutos a pie del centro histórico de Feldkirch y a 400 metros de la estación principal de tren. Ofrece habitaciones con baño amplio. Hay WiFi en todo el edificio.

Todos los días se proporciona agua en la habitación. Las habitaciones que dan a la calle cuentan con ventanas insonorizadas.

El Hotel Bären cuenta con un vestíbulo con bar y sala de TV, así como amplias salas de seminarios y un aparcamiento subterráneo.

Liechtenstein y Suiza están a solo 3 km del Hotel Bären. La estación de bus principal queda a solo 150 metros."
Hotel-Gasthof Löwen,US$114,"8,2",Muy bien,1.717,https://cf.bstatic.com/xdata/images/hotel/max1024x768/27776393.webp?k=a586116ae05d187f2d04733d9188dac0d64aac719a9f767e1aec30fe662c4203&o=,https://www.booking.com/hotel/at/gasthof-lowen.es.html?aid=2410095,"Radio, Sauna, Cafetería en el alojamiento, Terraza, Zona de spa / relajación, Restaurante, Teléfono, Servicio de lavandería, Menú para niños, Inglés, Enchufe cerca de la cama, Spa y centro de bienestar, Bar, Guardaequipaje, Juegos de mesa / puzles, Secador de pelo, Baño privado, Servicio de limpieza diario, Salas de reuniones / banquetes, Desayuno fabuloso, Vino / champán, Alquiler de bicicletas, TV de pantalla plana, Fruta, Almuerzos para llevar, Ciclismo, Papel higiénico, Buffet para niños, Extintores, Ascensor, Registro de entrada y salida exprés, Adaptado personas de movilidad reducida, Suelo de moqueta, Ducha, Taquillas en el gimnasio / spa, Alemán, Ropa de cama, Supermercado pequeño en el alojamiento, Servicio de planchado, Mobiliario exterior, Boles para mascotas, Instalaciones de spa, Senderismo, Llave de acceso, Esquí, Cajero automático en el hotel, Habitaciones hipoalergénicas, Información turística, Servicio de despertador, Peluquería / salón de belleza, Prohibido fumar en todo el alojamiento, WC, Menús para dietas especiales (bajo petición), Canales por cable, Cambio de moneda, Proporciona factura, Calefacción, Fax / fotocopiadora, Zona de fumadores, WiFi gratis, Armario, Jardín, Parking gratis, Habitaciones sin humo, Toallas, TV, Estación de carga de vehículos eléctricos, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Terraza / solárium, Baño de vapor, Máquina expendedora (bebidas), Parking adaptado para personas de movilidad reducida",Feldkirch,Austria,"Hotel-Gasthof Löwen is 2.5 km from the centre of Feldkirch. It offers a sauna, steam bath, and a free WiFi. The restaurant serves Austrian cuisine and seasonal dishes.

Hotel-Gasthof Löwen’s restaurant features a terrace and an outdoor dining area."
HOTEL BLAUE ROSE -digital check in-,US$119,"9,1",Fantástico,73,https://cf.bstatic.com/xdata/images/hotel/max1024x768/511408900.webp?k=bcbbcd5479f0de9dee9c5a6957300b96074eea721d42854bf79345213bfd37c0&o=,https://www.booking.com/hotel/at/blaue-rose-feldkirch.es.html?aid=2410095,"Máquina expendedora (aperitivos), Inglés, Enchufe cerca de la cama, Registro de entrada / salida privado, Secador de pelo, Baño privado, Servicio de limpieza diario, Vino / champán, TV de pantalla plana, Adaptado para sillas de ruedas, Ciclismo, Papel higiénico, Cámaras de seguridad en las zonas comunitarias, Ascensor, Registro de entrada y salida exprés, Adaptado personas de movilidad reducida, Caja fuerte, Ducha, Máquina expendedora (bebidas), Habitaciones familiares, Alemán, Ropa de cama, Tarjeta de acceso, Senderismo, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, Acceso a pisos superiores en ascensor, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Detectores de humo, WC, Escritorio",Feldkirch,Austria,"HOTEL BLAUE ROSE -digital check in- se encuentra en Feldkirch, a 26 km de Recinto ferial Dornbirner Messe y a 38 km de Casino Bregenz. El alojamiento está a unos 15 km de Liechtenstein Museum of Fine Arts, a 28 km de Club de golf Brand y a 32 km de Remonte Iltios - Horren. El hotel libre de humo cuenta con wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones están equipadas con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones incluyen caja fuerte.

La clientela puede practicar actividades en Feldkirch y alrededores, como senderismo y ciclismo.

Wildkirchli está a 35 km del alojamiento. El aeropuerto más cercano (Aeropuerto de St Gallen - Altenrhein) está a 39 km."
NIGHT INN Hotel Bahnhofcity Feldkirch,US$113,"8,5",Muy bien,2.815,https://cf.bstatic.com/xdata/images/hotel/max1024x768/378324869.webp?k=e04cbb7b4131aa32b2e2a61f070ef2d230e0d28877012c0ad65a38255d350eaa&o=,https://www.booking.com/hotel/at/night-inn-feldkirch.es.html?aid=2410095,"Parking en el alojamiento, Cafetería en el alojamiento, Terraza, Parking en un garaje, Restaurante, Inglés, Habitaciones insonorizadas, Enchufe cerca de la cama, Bar, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, 2 restaurantes, Desayuno fabuloso, Instalaciones para deportes acuáticos en el alojamiento, Vino / champán, TV de pantalla plana, Almuerzos para llevar, Aire acondicionado, WC con barras de apoyo, Adaptado para sillas de ruedas, Ciclismo, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Minigolf, Registro de entrada y salida exprés, Hipoalergénico, Adaptado personas de movilidad reducida, Caja fuerte, Vistas a la ciudad, Ducha, Suelo de moqueta, Perchero, Caja fuerte para ordenador portátil, Alemán, WC elevado, Ropa de cama, Aseo adicional, Servicio de planchado, Guardaesquíes, Boles para mascotas, Tarjeta de acceso, Supermercado pequeño en el alojamiento, Senderismo, Cuerda de emergencia en el baño, Cafetera, Esquí, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, WC, Menús para dietas especiales (bajo petición), Proporciona factura, Calefacción, Artículos de aseo gratis, Acceso a pisos superiores en ascensor, WiFi gratis, Lavamanos más bajo, Toallas, Habitaciones sin humo, TV, Estación de carga de vehículos eléctricos, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Terraza / solárium, Escritorio, Parking adaptado para personas de movilidad reducida",Feldkirch,Austria,"NIGHT INN Hotel Bahnhofcity Feldkirch se encuentra en Feldkirch, a 22 km de Recinto ferial Dornbirner Messe, y ofrece servicio de check-in y check-out exprés y wifi gratis en todo el alojamiento. El hotel está a 34 km de Casino Bregenz y a 15 km de Liechtenstein Museum of Fine Arts, y dispone de guardaesquíes. El hotel tiene terraza, vistas a la ciudad, restaurante y bar.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, caja fuerte, TV de pantalla plana y baño privado con ducha. En NIGHT INN Hotel Bahnhofcity Feldkirch, todas las habitaciones están equipadas con ropa de cama y toallas.

La clientela puede practicar actividades en Feldkirch y alrededores, como esquí y ciclismo.

Club de golf Brand está a 29 km del alojamiento, y Remonte Iltios - Horren está a 32 km. El aeropuerto más cercano (Aeropuerto de St Gallen - Altenrhein) está a 35 km del alojamiento."
S'Matt Bob,US$97,"8,6",Fabuloso,1.055,https://cf.bstatic.com/xdata/images/hotel/max1024x768/489171593.webp?k=7cfd1e8d6c1290e7088f105d4e6b503e012c369a1a7def4eab0d569b23782436&o=,https://www.booking.com/hotel/at/bob.es.html?aid=2410095,"Máquina expendedora (aperitivos), Taquillas, Inglés, Terraza, Tours en bici, Alarma de seguridad, Habitaciones insonorizadas, Zona TV / salón de uso compartido, Registro de entrada / salida privado, Guardaequipaje, Barandillas protectoras para bebés, Secador de pelo, Baño privado, Juegos de mesa / puzles, Servicio de limpieza diario, Vino / champán, Almuerzos para llevar, Serbio, TV de pantalla plana, Fruta, Ciclismo, Papel higiénico, Extintores, Registro de entrada y salida exprés, Zona de juegos interior, Hipoalergénico, Caja fuerte, Ducha, Máquina expendedora (bebidas), Alemán, Ropa de cama, Mobiliario exterior, Guardaesquíes, Zapatillas, Suelo de madera o parquet, Senderismo, Esquí, Pista de tenis, Habitaciones hipoalergénicas, Información turística, Prohibido fumar en todo el alojamiento, Toda la unidad en la planta baja, Menús para dietas especiales (bajo petición), Equitación, Traslado aeropuerto, Canales por cable, Campo de golf (a menos de 3 km), Tours a pie, Proporciona factura, Calefacción, Artículos de aseo gratis, Desayuno excepcional, Vistas, Zona de fumadores, WiFi gratis, Armario, Parking gratis, Habitaciones sin humo, Toallas, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Bolos, WC, Pesca, Solo para adultos, Escritorio, Squash, Parking adaptado para personas de movilidad reducida",Feldkirch,Austria,"S'Matt Bob está en Feldkirch, a 21 km de Recinto ferial Dornbirner Messe, y dispone de alojamiento con salón de uso común, parking privado gratis y terraza. El alojamiento está a unos 33 km de Casino Bregenz, a 16 km de Liechtenstein Museum of Fine Arts y a 30 km de Club de golf Brand. El hotel también ofrece wifi gratis y servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones tienen armario.

La clientela puede practicar actividades en Feldkirch y alrededores, como esquí y ciclismo.

Remonte Iltios - Horren está a 33 km del alojamiento, y Wildkirchli está a 34 km. El aeropuerto (Aeropuerto de St Gallen - Altenrhein) está a 34 km."
Motel Z - self checkin,US$86,"8,1",Muy bien,487,https://cf.bstatic.com/xdata/images/hotel/max1024x768/308194985.webp?k=1588cce19e4a9d0585e76c50d617b1af4ae8ba972968c66f9498587badce5640&o=,https://www.booking.com/hotel/at/motel-z.es.html?aid=2410095,"Radio, Cafetería en el alojamiento, Parking en un garaje, Servicio de lavandería, Alarma de seguridad, Enchufe cerca de la cama, Registro de entrada / salida privado, Secador de pelo, Baño privado, Servicio de limpieza diario, Seguridad 24 horas, TV de pantalla plana, Papel higiénico, Extintores, Ascensor, Registro de entrada y salida exprés, Ducha, Bañera o ducha, Perchero, Alemán, Ropa de cama, Servicio de planchado, Suelo de madera o parquet, Tarjeta de acceso, Peluquería / salón de belleza, Cafetera, Cajero automático en el hotel, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Insonorización, Canales por cable, Proporciona factura, Calefacción, Artículos de aseo gratis, Tetera / cafetera, Acceso a pisos superiores en ascensor, Vistas, WiFi gratis, Armario, Parking gratis, Habitaciones sin humo, Toallas, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Escritorio, Ventilador",Feldkirch,Austria,"El Motel Z está situado en el centro residencial y de negocios Zentrum am Alberweg, a 5 minutos en coche del centro de Feldkirch. Hay conexión WiFi gratuita.

Las habitaciones son modernas y cuentan con TV LCD por cable, escritorio, cafetera Nespresso con cápsulas de té y café y baño con secador de pelo. Se puede acceder a todas las habitaciones en ascensor.

La autopista A14 está a 10 minutos en coche del Motel Z."
Business Motel Feldkirch,US$90,"9,0",Fantástico,458,https://cf.bstatic.com/xdata/images/hotel/max1024x768/205845881.webp?k=21f3c132791a888cb104cacec4098918fcebdff8cfc2dd79ed34624cb81ea714&o=,https://www.booking.com/hotel/at/business-motel-feldkirch.es.html?aid=2410095,"Máquina expendedora (aperitivos), Cafetería en el alojamiento, Inglés, Enchufe cerca de la cama, Secador de pelo, Baño privado, Aire acondicionado, Canales vía satélite, TV de pantalla plana, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Ducha, Máquina expendedora (bebidas), Habitaciones familiares, Alemán, Ropa de cama, Suelo de madera o parquet, Tarjeta de acceso, Cafetera, Habitaciones hipoalergénicas, Nevera, Calefacción, Acceso a pisos superiores en ascensor, WiFi gratis, Armario, Desayuno fantástico, Parking gratis, Habitaciones sin humo, Toallas, Estación de carga de vehículos eléctricos, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Escritorio",Feldkirch,Austria,"El Business Motel Feldkirch, inaugurado a finales de octubre de 2015, ofrece alojamiento con aire acondicionado en Feldkirch. Hay conexión WiFi gratuita y aparcamiento privado gratuito.

Las habitaciones están equipadas con TV de pantalla plana y cafetera Nespresso. El baño privado incluye ducha y secador de pelo.

El desayuno se sirve de lunes a sábado, no los domingos. El restaurante más cercano está a 800 metros y hay una tienda de comestibles a 1 km del Business Motel.

El Business Motel Feldkirch está a 900 metros de Katzenturm y a 1,1 km de Montfort House. Bregenz y el lago de Constanza están a 39 km."
