hotel,hotel_url,description,popular_facilities,highres_url,city,country
Exclusivo departamento Céntrico con Terraza,https://www.booking.com/hotel/pe/exclusivo-departamento-centrico-con-terraza.es.html?aid=2410095,"Exclusivo departamento Céntrico con Terraza está en Ferreñafe, a 21 km de Estadio Elías Aguirre, y ofrece alojamiento con wifi gratis, aire acondicionado y bar. Este apartamento ofrece alojamiento con balcón.

El apartamento cuenta con terraza y vistas a la ciudad, y tiene 2 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 1 baño con bidet. Hay parking privado en el apartamento.

El personal de recepción puede dar consejos sobre la zona.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 19 km.","Solárium, Minibar, Utensilios de planchado, Mesa de comedor, Zona de comedor exterior, Plancha para ropa, Sombrillas, Llave de acceso, Servicio de limpieza diario, Terraza, Zona de estar, Armario, Papel higiénico, Servicio de lavandería, Utensilios de cocina, Bar, Mobiliario exterior, WiFi gratis, TV, Nevera, Terraza / solárium, Toallas, Adosado, Información turística, Artículos de aseo gratis, Microondas, Zona de fumadores, Juegos de mesa / puzles, Sofá, Horno, Español, Baño privado, Aire acondicionado, Vistas a la ciudad, Balcón, Habitaciones sin humo, Enchufe cerca de la cama, Vistas, Servicio de streaming (como Netflix), Cocina, Tendedero, Recepción 24 horas, TV de pantalla plana, Entrada privada, Parking privado, Ducha, Ventilador, Habitaciones familiares, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/533950566.jpg?k=86d1c6d541c5468172d87c2df5e56541a2b4345294545baa035d5240bafeb13d&o=&hp=1,Ferreñafe,Perú
Hermosa Casa de Campo con Piscina grande en Chiclayo,https://www.booking.com/hotel/pe/beautiful-hacienda-house-close-to-chiclayo-city.es.html?aid=2410095,"Hermosa Casa de Campo con Piscina grande en Chiclayo, que tiene jardín, piscina privada y vistas a la piscina, está en Ferreñafe. Este alojamiento ofrece mesa de billar, parking privado gratis, wifi gratis y acceso a una terraza.

Esta villa con aire acondicionado consta de 4 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 4 baños con bidet y ducha. Hay toallas y ropa de cama en la villa.

Estadio Elías Aguirre está a 26 km del alojamiento. El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 24 km.","Cafetera, Mesa de comedor, Zona de comedor exterior, Barbacoa, Vistas al jardín, Zona de cocina, Plancha para ropa, Billar, Zona de comedor, Parking gratis, Sombrillas, Radio, Perchero, Terraza, Bañera o ducha, Zona de estar, Vistas a un patio interior, Armario, Papel higiénico, Toda la unidad en la planta baja, Utensilios de cocina, Vistas a la piscina, Bar, WiFi gratis, TV, Para todas las edades, Nevera, Hervidor eléctrico, Canales por cable, Piscina privada, Tumbonas/sillas de playa, Toallas, Toallas de playa/piscina, Jardín, Artículos de aseo gratis, Microondas, Sofá, Bar en la piscina, Productos de limpieza, Abierta todo el año, Muebles de exterior, Horno, Toda la unidad accesible en silla de ruedas, Baño privado, Patio, Aire acondicionado, Español, Fogones, Piscina al aire libre, Enchufe cerca de la cama, Vistas, Extintores, Servicio de streaming (como Netflix), Cocina, Sofá cama, Tendedero, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Entrada privada, Lavadora, Tetera / cafetera, Ducha, Ventilador, Habitaciones familiares, Tostadora, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/397314120.jpg?k=dfc125667e5912771bdb59291fe3a3532c8940b357ed1547f97afae9395a98f1&o=&hp=1,Ferreñafe,Perú
Hostal Huella,https://www.booking.com/hotel/pe/hostal-huella.es.html?aid=2410095,"Hostal Huella está en Lambayeque, a 10 km de Estadio Elías Aguirre, y dispone de alojamiento con jardín y parking privado gratis. Este hotel de 2 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel tiene habitaciones familiares.

En el hotel, cada habitación dispone de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 14 km.","Prohibido fumar en todo el alojamiento, Parking gratis, Traslado aeropuerto, Perchero, Papel higiénico, WiFi gratis, TV, Inglés, WC, Canales por cable, Portugués, Servicio de habitaciones, Toallas, Jardín, Artículos de aseo gratis, Español, Baño privado, Habitaciones sin humo, Vistas, Servicio de streaming (como Netflix), Recepción 24 horas, Escritorio, Ropa de cama, TV de pantalla plana, Traslado aeropuerto (gratis), Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573719978.jpg?k=13d466d446687c567a37c577d77a627f83614bfb9af37999871935df7dc744e8&o=&hp=1,Ferreñafe,Perú
Hostal Tulipán Rojo,https://www.booking.com/hotel/pe/hostal-tulipan-rojo.es.html?aid=2410095,"Hostal Tulipán Rojo se encuentra en Lambayeque, a 10 km de Estadio Elías Aguirre, y ofrece alojamiento con wifi gratis y parking privado gratis. Todas las habitaciones disponen de TV de pantalla plana con canales vía satélite y baño privado. El alojamiento dispone de recepción 24 horas y mostrador de información turística.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 14 km del alojamiento.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Mesa de comedor, Canales vía satélite, Parking gratis, Servicio de limpieza diario, Perchero, Bañera o ducha, Seguridad 24 horas, Papel higiénico, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Canales por cable, Proporciona factura, Libros, DVD o música para niños, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Productos de limpieza, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Servicio de streaming (como Netflix), Recepción 24 horas, TV de pantalla plana, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527706112.jpg?k=dd69cca771ef2c5f806acf0b0f593245536c1d3390fbb5d89ba5b08d013cf06d&o=&hp=1,Ferreñafe,Perú
Acogedora habitación privada en Chiclayo.,https://www.booking.com/hotel/pe/acogedora-habitacion-privada-en-chiclayo.es.html?aid=2410095,"Acogedora habitación privada en Chiclayo. Está en Chiclayo y dispone de alojamiento con wifi gratis a 2,8 km de Estadio Elías Aguirre.

Este apartamento consta de 1 dormitorio y 1 baño con ducha y bañera, y dispone de TV de pantalla plana.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 3 km.","Papel higiénico, Vistas, Prohibido fumar en todo el alojamiento, Español, WiFi gratis, Inglés, Productos de limpieza, Escritorio, TV de pantalla plana, Entrada privada, WC, Bañera, Ducha, Baño privado, Bañera o ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/535437184.jpg?k=664549c4a4e884ae60649b90454b1166bbef52217828f60e283737ad78b98e5f&o=&hp=1,Ferreñafe,Perú
Muchick,https://www.booking.com/hotel/pe/muchick.es.html?aid=2410095,"Muchick se encuentra en Chiclayo, en la región de Lambayeque, a 4,6 km de Estadio Elías Aguirre. Este alojamiento, que cuenta con habitaciones familiares, también ofrece terraza solárium. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, salón de uso común y wifi gratis en todo el alojamiento.

Las unidades de este alojamiento están equipadas con TV con canales por cable. Todas las unidades disponen de baño privado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 3 km.","Protector de enchufes para niños, Plancha para pantalones, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Toallas / sábanas (por un suplemento), Canales por cable, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Artículos de aseo gratis, Productos de limpieza, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Servicio de despertador / alarma, Guardaequipaje, Ducha, Reloj despertador, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/162186924.jpg?k=646e0b8e10704a4c7e7a81000218b0d119997f22d0a6db1be78ef7a2f9686b80&o=&hp=1,Ferreñafe,Perú
Habitación Céntrica,https://www.booking.com/hotel/pe/habitacion-centrica.es.html?aid=2410095,"Habitación Céntrica está en Chiclayo y ofrece alojamiento con balcón y wifi gratis. La habitación en casa particular está a 2,8 km de Estadio Elías Aguirre.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 3 km.","Papel higiénico, Artículos de aseo gratis, Secador de pelo, Prohibido fumar en todo el alojamiento, Español, WiFi gratis, Inglés, WC, Bañera, Ducha, Baño privado, Toallas, Balcón",Error al acceder a la página del hotel.,Ferreñafe,Perú
HOTEL COSTA REAL,https://www.booking.com/hotel/pe/costa-real.es.html?aid=2410095,"HOTEL COSTA REAL se encuentra en Chiclayo, a 5,3 km de Estadio Elías Aguirre, y ofrece alojamiento con salón de uso común, parking privado gratis y bar. Este hotel de 2 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El cafetería es ideal para tomar algo.

En el hotel, todas las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 3 km del alojamiento.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Parking gratis, Servicio de limpieza diario, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Bar, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Toallas / sábanas (por un suplemento), WC, Canales por cable, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Vino / champán, Snack-bar, Artículos de aseo gratis, Registro de entrada / salida privado, Español, Baño privado, Vistas a la ciudad, Enchufe cerca de la cama, Vistas, Zona TV / salón de uso compartido, Extintores, Servicio de streaming (como Netflix), Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504826204.jpg?k=c9a524c3365581c272db1918165a5c732adcc72d4dcfa16270b5db286fdc80e0&o=&hp=1,Ferreñafe,Perú
Hotel America Chiclayo,https://www.booking.com/hotel/pe/america.es.html?aid=2410095,"Hotel America Chiclayo está en Chiclayo, a 2,8 km de Estadio Elías Aguirre, y dispone de servicio de conserjería, habitaciones libres de humo, salón de uso común, wifi gratis en todo el alojamiento y restaurante. Este hotel de 3 estrellas ofrece mostrador de información turística y guardaequipaje. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y cambio de moneda.

En el hotel, las habitaciones incluyen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones tienen armario.

En Hotel America Chiclayo se puede disfrutar de un desayuno americano.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 3 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Fruta, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Desayuno, Menús para dietas especiales (bajo petición), Tours en bici, Cambio de moneda, Traslado aeropuerto, Servicio de limpieza diario, Llave de acceso, Salas de reuniones / banquetes, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Detectores de humo, Servicio de conserjería, WiFi gratis, TV, Inglés, Menú para niños, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Cenas temáticas, Servicio de habitaciones, Toallas, Vino / champán, Registro de entrada / salida privado, Artículos de aseo gratis, Cafetería en el alojamiento, Información turística, Fax / fotocopiadora, Almuerzos para llevar, Tours a pie, Ascensor, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Ducha, Ventilador, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/557906560.jpg?k=8c88f3b89251dcbdf8a7f0cc48ab26614843d07a642df9a9f1ec0c8902f40bea&o=&hp=1,Ferreñafe,Perú
Casa Andina Select Chiclayo,https://www.booking.com/hotel/pe/gran-chiclayo-by-casa-andina.es.html?aid=2410095,"La Casa Andina Select Chiclayo se encuentra en Chiclayo, la capital de Lambayeque. Ofrece un spa y una piscina al aire libre con palmeras tropicales decorativas. Hay WiFi gratuita en todas las dependencias.

Los huéspedes de la Casa Andina Select Chiclayo podrán disfrutar de un masaje relajante en el spa.

Las habitaciones de la Casa Andina Select Chiclayo están equipadas con aire acondicionado, TV por cable y minibar. Algunas cuentan con una bañera de hidromasaje y TV LCD.

Los huéspedes podrán degustar los platos típicos de la región en el restaurante La Plaza o disfrutar de un cóctel tropical en el bar al aire libre.

La Casa Andina Select Chiclayo se encuentra a 10 minutos en coche del aeropuerto de Chiclayo y de las Tumbas Reales de Sipán. Hay aparcamiento gratuito.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Plancha para ropa, Muy buen desayuno, Masajes, Parking gratis, Tratamientos faciales, Sombrillas, Perchero, Happy hour, Terraza, Detectores de humo, WiFi gratis, Canales por cable, Jardín, Centro de negocios, Español, Máquina expendedora (bebidas), Extintores, TV de pantalla plana, Adaptado personas de movilidad reducida, Tarjeta de acceso, Tinte, Armario, Hervidor eléctrico, Alarma de seguridad, WC, Artículos de aseo gratis, Servicios de belleza, Habitaciones sin humo, Insonorización, Spa y centro de bienestar, Casino, Guardaequipaje, Entrada privada, Soporte para iPod, Peluquería / salón de belleza, Reloj despertador, Parking adaptado para personas de movilidad reducida, Máquina expendedora (aperitivos), Minibar, Servicio de planchado, Salas de reuniones / banquetes, Habitaciones hipoalergénicas, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, TV, Cámaras de seguridad fuera del alojamiento, Servicios de maquillaje, Masaje corporal completo, Snack-bar, Secador de pelo, Abierta todo el año, Corte de pelo, Baño privado, Aire acondicionado, Piscina al aire libre, Pedicura, Peinado, Escritorio, Adaptado para sillas de ruedas, Ducha, Teléfono, Utensilios de planchado, Cambio de moneda, Boles para mascotas, Caja fuerte, Seguridad 24 horas, Bar, Inglés, Gimnasio, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Ascensor, Sauna, Vistas a la ciudad, Restaurante, Tratamientos corporales, Recepción 24 horas, Hipoalergénico, Manicura",https://cf.bstatic.com/xdata/images/hotel/max1024x768/203420649.jpg?k=272aa972246ac1293e61aac3fdb8733ad607e0090ed55981f0ec68228e463aa0&o=&hp=1,Ferreñafe,Perú
