hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Caquetá Real HSC,https://www.booking.com/hotel/co/caqueta-real-hsc.es.html?aid=2410095,"Hotel Caquetá Real HSC dispone de piscina al aire libre, centro de fitness, salón de uso común y terraza en Florencia. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Hay parking privado gratis y hotel también ofrece alquiler de coches para descubrir los alrededores.

Todas las unidades en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales por cable, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En Hotel Caquetá Real HSC, todas las habitaciones cuentan con ropa de cama y toallas.

El alojamiento ofrece desayuno a la carta o americano.

El aeropuerto más cercano (Aeropuerto Gustavo Artunduaga Paredes) está a 7 km del alojamiento.","Secador de pelo, Terraza, Bañera o ducha, Teléfono, Toallas / sábanas (por un suplemento), Habitaciones sin humo, Lavamanos más bajo, Baño privado, Centro de negocios, Extintores, Hipoalergénico, WC con barras de apoyo, Toda la unidad accesible en silla de ruedas, Parking gratis, Parking en un garaje, Ropa de cama, Servicio de habitaciones, Protector de enchufes para niños, Alquiler de coches, Adecuada para niños, Bañera, Ruso, Utensilios de planchado, Insonorización, Restaurante, Cafetería en el alojamiento, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Muy buen desayuno, WiFi gratis, Enchufe cerca de la cama, Canales por cable, Tarjeta de acceso, Desayuno en la habitación, Zona de estar, Llave de acceso, Habitaciones hipoalergénicas, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Papel higiénico, Suelo de baldosa / mármol, Almuerzos para llevar, Caja fuerte, TV, Armario, Servicio de traslado, Acceso a pisos superiores en ascensor, Seguridad 24 horas, Detectores de humo, Productos de limpieza, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Español, Tarjetas de transporte público, Zona de fumadores, Baños públicos, Recepción 24 horas, Inglés, Vino / champán, Información turística, Snack-bar, Registro de entrada y salida exprés, Registro de entrada / salida privado, Menús para dietas especiales (bajo petición), Fruta, Ducha, Plancha para ropa, Aseo adicional, Gimnasio, Servicio de despertador, Servicio de lavandería, Piscina infantil, Piscina  - Al aire libre (infantil), Abierta todo el año, Ascensor, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/270062097.jpg?k=7cba06cedb48db7b91ece3969a721e0e73ab5e22668f5082e766d118e1589d37&o=&hp=1,Florencia,Colombia
Hotel Andinos Plaza Florencia,https://www.booking.com/hotel/co/andinos-plaza-florencia.es.html?aid=2410095,"Hotel Andinos Plaza Florencia, que tiene bar y instalaciones para deportes acuáticos, está en Florencia. Este hotel de 4 estrellas ofrece terraza y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay un restaurante de cocina local y parking privado gratis.

En el hotel, las habitaciones cuentan con escritorio. Todas las habitaciones del alojamiento están equipadas con zona de estar y TV de pantalla plana con canales por cable.

Hay opciones buffet o americanas de desayuno disponibles cada mañana en Hotel Andinos Plaza Florencia.

El alojamiento ofrece piscina cubierta.

El personal de la recepción 24 horas puede dar consejos sobre qué hacer en la zona.

El aeropuerto (Aeropuerto Gustavo Artunduaga Paredes) está a 7 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Piscina interior, Secador de pelo, Terraza, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Caja fuerte, Minibar, Habitaciones sin humo, Recepción 24 horas, Cenas temáticas, Baño privado, Centro de negocios, Extintores, Aire acondicionado, Armario, Traslado aeropuerto, Menú para niños, Servicio de limpieza en seco, Vídeo, Parking gratis, Muy buen desayuno, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Toallas de playa/piscina, Bañera de hidromasaje / jacuzzi, Radio, Canales por cable, Bidet, Zona de estar, Llave de acceso, Gimnasio, Servicio de planchado, Habitaciones hipoalergénicas, Escritorio, Para todas las edades, Servicio de lavandería, Salas de reuniones / banquetes, Cubierta para piscina, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Bar, Instalaciones para deportes acuáticos en el alojamiento, TV de pantalla plana, Balcón, Adaptado personas de movilidad reducida, Restaurante, Plancha para pantalones, Habitaciones familiares, Abierta todo el año, Piscina con vistas, Ascensor, Happy hour, Artículos de aseo gratis, Español, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/285244128.jpg?k=5a7e4ec528bc27a2b1486ac21e598ab695b5b42b798ba8c383aca259687b941c&o=&hp=1,Florencia,Colombia
Hotel Royal Plaza,https://www.booking.com/hotel/co/royal-plaza.es.html?aid=2410095,"Hotel Royal Plaza tiene salón de uso común, terraza, restaurante y bar en Florencia. El alojamiento dispone de recepción 24 horas, servicio de traslado, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones incluyen armario. Todas las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también incluyen balcón. Las unidades tienen caja fuerte.

En Hotel Royal Plaza se sirve cada mañana un desayuno americano.

El aeropuerto (Aeropuerto Gustavo Artunduaga Paredes) está a 8 km.","Servicio de entrega de comestibles, Terraza, Almuerzos para llevar, Alarma de seguridad, Caja fuerte, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Teléfono, Senderismo, Servicios de belleza, Adaptado para sillas de ruedas, Recepción 24 horas, Ventilador, Baño privado, Centro de negocios, Extintores, Aire acondicionado, TV, WC con barras de apoyo, Manicura, Armario, Menú para niños, Perchero, Información turística, Snack-bar, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, Muy buen desayuno, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Servicios de maquillaje, Servicio de habitaciones, Proporciona factura, Zona de fumadores, Mobiliario exterior, Buffet para niños, Servicios de depilación, Aseo adicional, Desayuno en la habitación, Llave de acceso, Gimnasio, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Bar, Restaurante, TV de pantalla plana, Pedicura, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Tratamientos faciales, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/35599577.jpg?k=f63408bcaa562382c94e119b4c28d40bc597d33827143481fccc8c7bb7508e68&o=&hp=1,Florencia,Colombia
Hotel Amazon,https://www.booking.com/hotel/co/amazon.es.html?aid=2410095,"Hotel Amazon ofrece alojamiento en Florencia. Este alojamiento ofrece restaurante, salón de uso común y servicio de habitaciones, además de wifi gratis. El hotel dispone de habitaciones familiares.

En el hotel, todas las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades disponen de armario.

El personal habla tanto inglés como español y estará encantado de dar información sobre la zona en recepción.

El aeropuerto (Aeropuerto Gustavo Artunduaga Paredes) está a 6 km.","Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Inglés, Baño privado, Centro de negocios, Extintores, Aire acondicionado, TV, Armario, Vino / champán, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Muy buen desayuno, Ropa de cama, Menús para dietas especiales (bajo petición), Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Plancha para ropa, Productos de limpieza, Canales por cable, Servicio de planchado, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/433086137.jpg?k=0185d5a2a560b8b1e38d883c200f7c330ebfdc8ddbb01d57ca01da8e577c4872&o=&hp=1,Florencia,Colombia
Hotel Gran Estacion Florencia,https://www.booking.com/hotel/co/gran-estacion-florencia.es.html?aid=2410095,"Hotel Gran Estacion Florencia ofrece alojamiento en Florencia. Este alojamiento ofrece salón de uso común y servicio de habitaciones, además de wifi gratis en todo el alojamiento. El alojamiento dispone de recepción 24 horas, cajero automático y servicio de organización de tours.

En el hotel, todas las habitaciones están equipadas con armario. Las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones cuentan con terraza. En Hotel Gran Estacion Florencia, las habitaciones disponen de ropa de cama y toallas.

El aeropuerto (Aeropuerto Gustavo Artunduaga Paredes) está a 5 km.","Terraza, Cajero automático en el hotel, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Bañera o ducha, Habitaciones sin humo, Canales de pago, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Zona de fumadores, Servicio de aparcacoches, Mobiliario exterior, Canales por cable, Aseo adicional, Servicio de despertador, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/148352257.jpg?k=5016b0f87903cfa4db5ea038180211d073fc010b413602da8467befe3d531512&o=&hp=1,Florencia,Colombia
Hotel Andes,https://www.booking.com/hotel/co/andes-florencia.es.html?aid=2410095,"Hotel Andes está en Florencia y tienejardín y bar. Hay wifi gratis y se ofrece parking privado por un suplemento.

El personal de recepción puede dar consejos sobre la zona.

El aeropuerto más cercano (Aeropuerto Gustavo Artunduaga Paredes) está a 7 km.","Prohibido fumar en todo el alojamiento, Bar, Servicio de habitaciones, Habitaciones sin humo, Habitaciones familiares, Español, Recepción 24 horas, Aire acondicionado, WiFi gratis, Jardín, Parking privado, Bañera de hidromasaje / jacuzzi",https://cf.bstatic.com/xdata/images/hotel/max1024x768/572453083.jpg?k=6821fcdbfd5265e88cce596c37d48311309cc35642a9602b36df373282f5a1d2&o=&hp=1,Florencia,Colombia
Hotel plaza centro,https://www.booking.com/hotel/co/plaza-centro-florencia-caqueta.es.html?aid=2410095,"Hotel plaza centro ofrece alojamiento en Florencia. Este hotel de 2 estrellas ofrece servicio de habitaciones y mostrador de información turística. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, salón de uso común y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones tienen escritorio, TV de pantalla plana y baño privado. Todas las habitaciones tienen armario.

El aeropuerto (Aeropuerto Gustavo Artunduaga Paredes) está a 7 km.","Vestidor, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Cafetería en el alojamiento, Bañera o ducha, Toallas / sábanas (por un suplemento), Parking en la calle, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Traslado aeropuerto, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Plancha para ropa, Productos de limpieza, Canales por cable, Servicio de despertador, Escritorio, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Servicio de despertador / alarma, Español, Papel higiénico, Fax / fotocopiadora, Zona de fumadores, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/400169356.jpg?k=2fdacacecdcbb64ecdb55b9d89a92f1f0e0df4784bfd5aa33d97af8519a85627&o=&hp=1,Florencia,Colombia
Hotel Inmaculada Real,https://www.booking.com/hotel/co/inmaculada-real-florencia.es.html?aid=2410095,"Hotel Inmaculada Real ofrece alojamiento en Florencia. Todas las habitaciones disponen de TV de pantalla plana con canales por cable y baño privado. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

El aeropuerto (Aeropuerto Gustavo Artunduaga Paredes) está a 8 km.","Prohibido fumar en todo el alojamiento, Caja fuerte, Habitaciones sin humo, Parking en la calle, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Parking, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Seguridad 24 horas, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Proporciona factura, Canales por cable, Llave de acceso, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/354631454.jpg?k=febf1560b3424a8a53377fa91b25549a532cb1e5acd5e065a5928e006b98ee91&o=&hp=1,Florencia,Colombia
Grand Hotel Florencia,https://www.booking.com/hotel/co/grand-florencia-florencia.es.html?aid=2410095,"Grand Hotel Florencia está en Florencia y cuenta con terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel tiene habitaciones familiares.

El aeropuerto (Aeropuerto Gustavo Artunduaga Paredes) está a 5 km.","Terraza, Prohibido fumar en todo el alojamiento, Parking gratis, Habitaciones sin humo, Habitaciones familiares, Español, Recepción 24 horas, WiFi gratis, Aire acondicionado, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512508182.jpg?k=6deba19057f42ec1beee5c60c6deeced8b44c4826e9b3f2a6da0cb1048077df5&o=&hp=1,Florencia,Colombia
Loft con aire acondicionado,https://www.booking.com/hotel/co/loft-con-aire-acondicionado.es.html?aid=2410095,"Loft con aire acondicionado está en Florencia. Este apartamento dispone de parking privado gratis y wifi gratis.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina.

El aeropuerto (Aeropuerto Gustavo Artunduaga Paredes) está a 10 km.","Zona de cocina, Inglés, Prohibido fumar en todo el alojamiento, Parking gratis, Habitaciones sin humo, Bañera o ducha, TV de pantalla plana, Lavadora, Habitaciones familiares, Aseo adicional, Español, Aire acondicionado, Artículos de aseo gratis, WiFi gratis, Ducha, Papel higiénico, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/542534749.jpg?k=b669e4873990a3b0c56640a438d698647db7034af21e6e819d0a6ae70aa17bf1&o=&hp=1,Florencia,Colombia
