hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Mónaco de Fusa,https://www.booking.com/hotel/co/monaco-de-fusa.es.html?aid=2410095,"Hotel Mónaco de Fusa está en Fusagasugá, en la región de Cundinamarca, a 49 km de Piscilago. El alojamiento dispone de salón de uso común, servicio de habitaciones y servicio de organización de tours.

Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha y artículos de aseo gratuitos. En el hotel, cada habitación dispone de armario y TV.

En recepción se habla inglés y español, y el personal está siempre dispuesto a echar una mano.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 65 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Baños públicos, Cafetería en el alojamiento, Bañera o ducha, Recepción 24 horas, Inglés, Baño privado, Centro de negocios, Extintores, TV, Armario, Perchero, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Productos de limpieza, Llave de acceso, Servicio de planchado, Habitaciones hipoalergénicas, Guardaequipaje, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Plancha para pantalones, Habitaciones familiares, Tendedero, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/390691999.jpg?k=90bc2b1914dfb2dc76b2e6d9aa9db27355cc45fe42b13bc24fb8f14e2c1a9ac2&o=&hp=1,Fusagasugá,Colombia
Hotel Santa Monica,https://www.booking.com/hotel/co/santa-monica-fusagasuga.es.html?aid=2410095,"Hotel Santa Monica está en Fusagasugá. El hotel dispone de vistas a la ciudad, terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones están equipadas con armario y TV de pantalla plana. Las unidades disponen de baño privado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 64 km.","Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Baños públicos, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Teléfono, Vistas, Recepción 24 horas, Servicio de limpieza diario, Inglés, Baño privado, Extintores, TV, Parking, Armario, Perchero, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Detectores de humo, Proporciona factura, Zona de juegos interior, Habitaciones insonorizadas, Tarjeta de acceso, Desayuno en la habitación, Llave de acceso, Acceso al salón executive, Servicio de planchado, Servicio de despertador, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Zona de comedor, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/118814498.jpg?k=1479a67f838f6722f1c336966d5c860b117a3af2b481bba70312b0d737dca858&o=&hp=1,Fusagasugá,Colombia
Hotel Garden City Boutique,https://www.booking.com/hotel/co/garden-city.es.html?aid=2410095,"Hotel Garden City Boutique está en Fusagasugá y ofrece terraza. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis.

En el hotel, cada habitación cuenta con armario. Algunas unidades de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas a la montaña. En Hotel Garden City Boutique, las habitaciones disponen de TV de pantalla plana con canales vía satélite.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 64 km.","Terraza, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Canales de pago, Recepción 24 horas, Inglés, Baño privado, Hipoalergénico, Desayuno fantástico, Extintores, TV, Armario, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Productos de limpieza, Radio, Canales por cable, Salas de reuniones / banquetes, WC, Terraza / solárium, Servicio de streaming (como Netflix), Canales vía satélite, TV de pantalla plana, Toallas, Español, Happy hour, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/219728456.jpg?k=43e318a29369301bafe32adad64165cb8ee38720167558b46d3a17cd2753255d&o=&hp=1,Fusagasugá,Colombia
Habitaciónes Casa Holiday Fusa,https://www.booking.com/hotel/co/habitacion-casa-holiday-fusa-2.es.html?aid=2410095,"Habitaciónes Casa Holiday Fusa se encuentra en Fusagasugá. Se ofrece wifi gratis en todo el alojamiento y parking privado en el propio alojamiento.

El alojamiento está equipado con TV de pantalla plana y baño privado con ducha, bañera y artículos de aseo gratuitos. La cocina dispone de nevera, microondas y fogones. Hay una zona de estar y de comedor en todas las unidades.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 64 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Reproductor de Blu-ray, Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Baño privado, Extintores, Cocina, TV, Armario, Traslado aeropuerto, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Fogones, Parking en un garaje, Ropa de cama, Servicio de traslado, Cocina compartida, Ducha, Detectores de humo, Mesa de comedor, Enchufe cerca de la cama, Proporciona factura, Parking privado, Productos de limpieza, Canales por cable, Wifi rápida gratis (335 Mbps), Hervidor eléctrico, Bañera, Zona de estar, Utensilios de planchado, Escritorio, Utensilios de cocina, Servicio de lavandería, WC, Microondas, Tetera/cafetera en todas las habitaciones, Cámaras de seguridad fuera del alojamiento, Zona de comedor, TV de pantalla plana, Toallas, Lavadora, Habitaciones familiares, Tendedero, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Detector de monóxido de carbono, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/468154706.jpg?k=856fac93aa160f071c3756bdd3b92e8891cd8e778e3d64e9fcf44e61caa5d2bc&o=&hp=1,Fusagasugá,Colombia
Hotel Central Fusa,https://www.booking.com/hotel/co/central-fusa.es.html?aid=2410095,"Hotel Central Fusa ofrece alojamiento en Fusagasugá. Hay wifi gratis y se ofrece parking privado por un suplemento.

En el hotel, las habitaciones tienen TV de pantalla plana, baño privado y un patio con vistas a la ciudad.

El personal de recepción puede dar consejos sobre qué hacer o cómo moverse por la zona.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 64 km.","Juegos de mesa / puzles, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Bañera o ducha, Habitaciones sin humo, Vistas, Adaptado para sillas de ruedas, Recepción 24 horas, Baño privado, Extintores, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Parking en un garaje, Patio, Acceso a pisos superiores en ascensor, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Proporciona factura, Parking privado, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Vistas a la ciudad, Ascensor, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/280846150.jpg?k=43ca740ec8c215cb975994f643426695deac797bdc5eecaf08acf5e0a441fed9&o=&hp=1,Fusagasugá,Colombia
GRAN EMPERADOR,https://www.booking.com/hotel/co/gran-emperador.es.html?aid=2410095,"GRAN EMPERADOR ofrece alojamiento en Fusagasugá. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, cada habitación está equipada con armario y TV de pantalla plana. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado equipado con ducha y artículos de aseo gratuitos. Algunas habitaciones también incluyen balcón. En GRAN EMPERADOR, las habitaciones incluyen ropa de cama y toallas.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 64 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Vistas, Recepción 24 horas, Baño privado, Extintores, TV, Parking, Armario, Información turística, Registro de entrada y salida exprés, Registro de entrada / salida privado, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Mobiliario exterior, Llave de acceso, Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Servicio de despertador / alarma, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/506909770.jpg?k=1bd12b94275f686cddcc617cce191d763e5139c1a737df7c287cd685240fc400&o=&hp=1,Fusagasugá,Colombia
Hotel Ocean Fusagasuga,https://www.booking.com/hotel/co/ocean-fusagasuga.es.html?aid=2410095,"Hotel Ocean Fusagasuga se encuentra en Fusagasugá, a 46 km de Piscilago, y ofrece alojamiento con piscina al aire libre, parking privado gratis, salón de uso común y terraza. Todas las opciones de alojamiento de este hotel de 3 estrellas tienen vistas a la ciudad y bañera de hidromasaje. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones tienen escritorio. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones están equipadas con balcón. En Hotel Ocean Fusagasuga, cada habitación está equipada con ropa de cama y toallas.

En el alojamiento se sirve todos los días un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 73 km del alojamiento.","Desayuno, Secador de pelo, Terraza, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Lavamanos más bajo, Baño privado, WC con barras de apoyo, Extintores, Discoteca / DJ, Servicio de limpieza en seco, Parking gratis, Ropa de cama, Servicio de habitaciones, Proporciona factura, Mobiliario exterior, Utensilios de planchado, Máquina expendedora (bebidas), Servicio de entrega de comestibles, Entretenimiento nocturno, Aire acondicionado, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Tobogán de agua, Enchufe cerca de la cama, Piscina al aire libre, Tarjeta de acceso, Llave de acceso, Habitaciones hipoalergénicas, Escritorio, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Sombrillas, Juegos de mesa / puzles, Parking adaptado para personas de movilidad reducida, Adaptado para sillas de ruedas, TV, Armario, Servicio de traslado, Seguridad 24 horas, Detectores de humo, Karaoke, Bañera de hidromasaje / jacuzzi, Servicio de planchado, Guardaequipaje, Apoyo visual: braille, WC, Terraza / solárium, TV de pantalla plana, Toallas, Español, Zona de fumadores, Prohibido fumar en todo el alojamiento, Vistas, Recepción 24 horas, Ventilador, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Snack-bar, Registro de entrada / salida privado, Servicio de conserjería, Ducha, Plancha para ropa, Radio, Servicio de despertador, Para todas las edades, Servicio de lavandería, Abierta todo el año, Tumbonas/sillas de playa, Vistas a la ciudad, Ascensor, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/539460268.jpg?k=c76fef9e2ea8bad9f93a2789c0bd76e5b4427b352896f6c2096bc63d1d522239&o=&hp=1,Fusagasugá,Colombia
Casa Orquídea,https://www.booking.com/hotel/co/casa-orquidea-fusagasuga.es.html?aid=2410095,"Casa Orquídea se encuentra en Fusagasugá, a 50 km de Piscilago, y ofrece wifi gratis y vistas a la montaña.

Algunas unidades también tienen una cocina equipada con nevera y microondas.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 65 km del alojamiento.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Baño privado, Extintores, TV, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Seguridad 24 horas, WiFi gratis, Ducha, Mesa de comedor, Bañera, Llave de acceso, WC, Cámaras de seguridad fuera del alojamiento, Zona de comedor, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Independiente, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/466126444.jpg?k=af7e23265dd7abcec2e74c9a871c9cde1c901d868ecd865e77e1fbf746c2cc84&o=&hp=1,Fusagasugá,Colombia
Hotel Costa Del Sol,https://www.booking.com/hotel/co/costa-del-sol-fusagasuga1.es.html?aid=2410095,"Hotel Costa Del Sol está en Fusagasugá, a 49 km de Piscilago, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento, que tiene servicio de conserjería, también ofrece restaurante. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Todas las habitaciones de este alojamiento están equipadas con zona de estar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo gratuitos y ducha. En el hotel, cada habitación dispone de ropa de cama y toallas.

En Hotel Costa Del Sol se sirve cada mañana un desayuno americano.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 65 km.","Servicio de entrega de comestibles, Terraza, Vestidor, Almuerzos para llevar, Baños públicos, Bañera o ducha, Habitaciones sin humo, Teléfono, Minibar, Masaje de manos, Recepción 24 horas, Ventilador, Baño privado, Jardín, Desayuno fantástico, TV, Armario, Masajes, Traslado aeropuerto, Vino / champán, Menú para niños, Información turística, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Parking en un garaje, Entrada privada, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Sauna, Servicio de habitaciones, Enchufe cerca de la cama, Masaje de pies, Proporciona factura, Reloj despertador, Zona de fumadores, Mobiliario exterior, Productos de limpieza, Canales por cable, Aseo adicional, Masaje de cabeza, Desayuno en la habitación, Zona de estar, Servicio de planchado, Servicio de despertador, Servicio de lavandería, Salas de reuniones / banquetes, WC, Masaje corporal completo, Terraza / solárium, Masaje de cuello, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Masaje de espalda, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528295124.jpg?k=0e2e13c7a7c29bf008e0c50aeceb46a9e48ce88baaf875f7b4ac96c8291033ea&o=&hp=1,Fusagasugá,Colombia
El buen descanso,https://www.booking.com/hotel/co/el-buen-descanso-fusagasuga.es.html?aid=2410095,"El buen descanso está en Fusagasugá, a solo 49 km de Piscilago, y dispone de alojamiento con terraza y wifi gratis.

El apartamento tiene 1 dormitorio, TV de pantalla plana con canales por cable, una cocina equipada con horno y microondas, y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeropuerto internacional de El Dorado) está a 66 km.","Terraza, Independiente, Bañera o ducha, Baño privado, Apartamento privado en edificio, Cocina, TV, Parking, Vídeo, Ropa de cama, WiFi gratis, Ducha, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Canales por cable, Sofá, Servicio de despertador, Microondas, Zona de comedor, TV de pantalla plana, Toallas, Español, Utensilios de cocina, Papel higiénico, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/412977431.jpg?k=6f531afe3b12d4ab8eb895fc337253f669a5c92cfbe24795ae0d5bf63468ed7d&o=&hp=1,Fusagasugá,Colombia
