hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Kahvé,https://www.booking.com/hotel/co/kahva-c.es.html?aid=2410095,"Este hotel moderno está situado en el centro de Garzón y ofrece servicio de recepción las 24 horas del día, además de una terraza compartida con vistas a la localidad. El Hotel Kahvé también alberga un centro de negocios.

Las habitaciones son amplias y disponen de aire acondicionado, TV de pantalla plana con canales vía satélite y zona de estar pequeña. El baño incluye artículos de aseo premium gratuitos.

El bar cafetería Tienda Kahvé sirve bebidas. También hay servicio de habitaciones a disposición de los huéspedes.

El hotel alberga una tienda de regalos y ofrece servicio de lavandería y planchado. El aeropuerto Benito Salas de Huila se encuentra a 125 km del Hotel Kahvé.","Servicio de entrega de comestibles, Secador de pelo, Terraza, Cajero automático en el hotel, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Almuerzos para llevar, Senderismo, Baños públicos, Recepción 24 horas, Cenas temáticas, Baño privado, Jardín, Centro de negocios, Extintores, Aire acondicionado, Vino / champán, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Muy buen desayuno, Menús para dietas especiales (bajo petición), Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Música / espectáculos en directo, Reloj despertador, Ruta de bares, Zona de fumadores, Mobiliario exterior, Tours a pie, Tarjeta de acceso, Desayuno en la habitación, Eventos deportivos en directo (emisión), Servicio de planchado, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Máquina expendedora (bebidas), Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Canales vía satélite, TV de pantalla plana, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Happy hour, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/81273015.jpg?k=e06589ce042d9e029c84ebe6b6d6a12a9a19cfa1428e02fd90dad2b0db6f7ae8&o=&hp=1,Garzón,Colombia
"Casablanca Hotel, RestoBar, Catering, Eventos & Turismo en Garzón",https://www.booking.com/hotel/co/casa-blanca-garzon.es.html?aid=2410095,"El Hoteles Casa Blanca Garzón dispone de conexión WiFi gratuita, piscina al aire libre disponible durante todo el año y terraza, admite mascotas y está ubicado en Garzón. También alberga un centro de spa, un centro de fitness, un restaurante y aparcamiento privado gratuito.

Las habitaciones incluyen TV de pantalla plana, y algunos alojamientos tienen zona de estar. El baño es privado e incluye ducha.

Hay una recepción 24 horas.","Terraza, Teléfono, Habitaciones sin humo, Noches de cine, Baño privado, Centro de negocios, Extintores, WC con barras de apoyo, Parking gratis, Parking en un garaje, Ropa de cama, Servicio de habitaciones, Toallas de playa/piscina, Masaje de pies, Proporciona factura, Servicio de aparcacoches, Masaje de cabeza, Restaurante, Piscina con vistas, Masaje de espalda, Piscina privada, Servicio de entrega de comestibles, Cenas temáticas, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, WiFi gratis, Canales por cable, Habitaciones insonorizadas, Piscina al aire libre, Desayuno en la habitación, Llave de acceso, Habitaciones hipoalergénicas, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Masaje de cuello, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Sombrillas, Fax / fotocopiadora, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Caja fuerte, Masaje de manos, Adaptado para sillas de ruedas, Armario, Masajes, Servicio de traslado, Galerías de arte temporales, Seguridad 24 horas, Artículos de aseo gratis, Detectores de humo, Barbacoa, Valla alrededor de la piscina, Servicio de planchado, Guardaequipaje, WC, Bar, TV de pantalla plana, Toallas, Español, Prohibido fumar en todo el alojamiento, Baños públicos, Recepción 24 horas, 2 restaurantes, Traslado aeropuerto, Vino / champán, Información turística, Menús para dietas especiales (bajo petición), Fruta, Ducha, Gimnasio, Eventos deportivos en directo (emisión), Servicio de despertador, Servicio de lavandería, Abierta todo el año, Tumbonas/sillas de playa, Zona poco profunda, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/87627489.jpg?k=86d7ee77ae6cb10f52b19c5849cb0dd865acde77246d2fe2e8e33a386e38a5a7&o=&hp=1,Garzón,Colombia
Casa El Limonar Garzón Hospedaje Campestre,https://www.booking.com/hotel/co/casa-el-limonar-garzon.es.html?aid=2410095,"Casa El Limonar Garzón Hospedaje Campestre, que cuenta con terraza, ofrece alojamiento en Garzón con wifi gratis y vistas al jardín. Este agroturismo dispone de jardín y parking privado gratis.

El agroturismo cuenta con TV de pantalla plana. Hay toallas y ropa de cama en el agroturismo.

En el agroturismo se sirve todos los días un desayuno americano.

El aeropuerto más cercano (Aeropuerto de Pitalito) está a 83 km del alojamiento.","Desayuno, Terraza, Habitaciones sin humo, Vistas, Ventilador, Baño privado, Jardín, Hipoalergénico, TV, Parking gratis, Patio, Ropa de cama, WiFi gratis, Ducha, Piscina al aire libre, Vistas al jardín, WC, Zona de comedor, Abierta todo el año, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/448143685.jpg?k=2c91ae648eb05fcf80b6aba030315b18c115d3d1ed3581f3850442a27aaedf73&o=&hp=1,Garzón,Colombia
Martyni Campestre,https://www.booking.com/hotel/co/martyni-campestre.es.html?aid=2410095,"Martyni Campestre se encuentra en Garzón y ofrece alojamiento con piscina al aire libre abierta todo el año, wifi gratis, jardín y terraza.

Algunas unidades incluyen TV de pantalla plana vía satélite, zona de cocina totalmente equipada con nevera y baño privado con ducha y artículos de aseo gratuitos.

En la casa rural, la clientela también puede usar la zona de barbacoa y la zona de juegos infantil.

El aeropuerto más cercano (Aeropuerto de Pitalito) está a 87 km del alojamiento.","Desayuno, Terraza, Servicio de entrega de comestibles, Dardos, Juegos de mesa / puzles, Horario de apertura, Zona de juegos para niños, Sombrillas, Almuerzos para llevar, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Baños públicos, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Senderismo, Vistas, Baño privado, Jardín, Extintores, Vino / champán, Menú para niños, Información turística, Snack-bar, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Piscina pequeña, Parking gratis, Entrada privada, Menús para dietas especiales (bajo petición), Fruta, Juguetes para la piscina, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de pícnic, Barbacoa, Zona de juegos interior, Valla alrededor de la piscina, Productos de limpieza, Tours a pie, Piscina al aire libre, Desayuno en la habitación, Para todas las edades, Baño al aire libre, WC, Terraza / solárium, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Abierta todo el año, Habitaciones familiares, Español, Piscina con vistas, Zona poco profunda, Artículos de aseo gratis, Papel higiénico, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/403250731.jpg?k=f8ea4342e5dc1a343f5aae9af9eb9f78d136ced58ba08339d740e1cec9c7dde5&o=&hp=1,Garzón,Colombia
Tu hogar lejos de casa.,https://www.booking.com/hotel/co/tu-hogar-lejos-de-casa.es.html?aid=2410095,"Tu hogar lejos de casa. Se encuentra en Garzón.

Esta habitación en casa particular ofrece wifi gratis, TV de pantalla plana y cocina con nevera y horno. Hay toallas y ropa de cama en la habitación en casa particular.

El aeropuerto más cercano (Aeropuerto de Pitalito) está a 79 km del alojamiento.","Prohibido fumar en todo el alojamiento, Caja fuerte, Toallas / sábanas (por un suplemento), Ventilador, Baño privado, Cocina, TV, Armario, Wifi rápida gratis (214 Mbps), Fogones, Ropa de cama, Ducha, Enchufe cerca de la cama, Mesa de comedor, Zona de cocina, Escritorio, WC, Toda la unidad en la planta baja, Zona de comedor, TV de pantalla plana, Toallas, Español, Nevera, Utensilios de cocina, Papel higiénico, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/511610166.jpg?k=ca4c45f799b1f16e995ce836d271d5932927a895549e4c0a2dae311ff5236e12&o=&hp=1,Garzón,Colombia
Casa de Balcones,https://www.booking.com/hotel/co/casa-de-balcones.es.html?aid=2410095,"Casa de Balcones se encuentra en Garzón y dispone de jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. Hay parking privado en el propio alojamiento.

En el hostal o pensión, cada habitación tiene armario y TV. Todas las habitaciones tienen baño privado con ducha, algunas ofrecen balcón y otras también tienen vistas a la ciudad. Todas las unidades cuentan con nevera.

En Casa de Balcones se puede disfrutar de un desayuno a la carta.

El aeropuerto más cercano (Aeropuerto de Pitalito) está a 81 km.","Desayuno, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Adaptado para sillas de ruedas, Servicio de limpieza diario, Baño privado, Jardín, Extintores, TV, Armario, Wifi rápida gratis (249 Mbps), Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Parking en un garaje, Ducha, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de fumadores, Parking privado, Zona de juegos interior, Mobiliario exterior, Tarjeta de acceso, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Español, Ascensor, Nevera, Papel higiénico, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/178980568.jpg?k=71c2b15514d06b07cd78744996cebec58ec91a4bb6a63f6c10645704cf742f15&o=&hp=1,Garzón,Colombia
Hotel Parque la Casona,https://www.booking.com/hotel/co/parque-la-casona.es.html?aid=2410095,"Hotel Parque la Casona tiene piscina al aire libre, jardín, restaurante y bar en Garzón. Este alojamiento, que tiene habitaciones familiares, también ofrece terraza solárium. Hay parking privado gratis y hotel también dispone de alquiler de bicicletas para descubrir los alrededores.

En el hotel, las habitaciones están equipadas con escritorio, TV, baño privado, ropa de cama y toallas. Las unidades disponen de armario.

Hotel Parque la Casona ofrece zona de juegos infantil. La clientela puede practicar actividades en Garzón y alrededores, como ciclismo.

El aeropuerto más cercano (Aeropuerto Alfonso López Pumarejo) está a 119 km.","Desayuno, Juegos de mesa / puzles, Sombrillas, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Baños públicos, Cafetería en el alojamiento, Habitaciones sin humo, Senderismo, Vistas, Lavamanos más bajo, Servicio de limpieza diario, Ventilador, Adaptado para sillas de ruedas, Baño privado, Jardín, Centro de negocios, Extintores, TV, WC con barras de apoyo, Ciclismo, Armario, Menú para niños, Información turística, Piscina pequeña, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Registro de entrada / salida privado, Ping pong, Tours en bici, Ropa de cama, Menús para dietas especiales (bajo petición), Fruta, Seguridad 24 horas, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de fumadores, Mobiliario exterior, Productos de limpieza, Adecuada para niños, Tours a pie, Alquiler de bicicletas, Desayuno en la habitación, Llave de acceso, Vistas al jardín, Equitación, Servicio de planchado, Escritorio, Servicio de lavandería, Salas de reuniones / banquetes, Terraza / solárium, Piscina infantil, Piscina  - Al aire libre (infantil), Restaurante, Bar, Canales vía satélite, Adaptado personas de movilidad reducida, Toallas, Abierta todo el año, Habitaciones familiares, Tumbonas/sillas de playa, Español, Zona poco profunda, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/299088728.jpg?k=6a67b453f95da106ada2fce217e4939472ef1b1c39e549a9690e4497d62d5151&o=&hp=1,Garzón,Colombia
Hotel Campestre San Joaquin,https://www.booking.com/hotel/co/campestre-san-joaquin-garzon.es.html?aid=2410095,"Hotel Campestre San Joaquin tiene piscina al aire libre, jardín, terraza y restaurante en Garzón. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Todas las habitaciones de este alojamiento están equipadas con TV. El hotel ofrece algunas habitaciones con balcón, y todas tienen baño privado con ducha y artículos de aseo gratuitos. En Hotel Campestre San Joaquin, cada habitación dispone de ropa de cama y toallas.

El aeropuerto (Aeropuerto de Pitalito) está a 83 km.","Desayuno, Terraza, Horario de apertura, Habitaciones sin humo, Senderismo, Baño privado, Jardín, Extintores, WC con barras de apoyo, Tour o clase sobre cultura local, Servicio de limpieza en seco, Parking gratis, Bar en la piscina, Tours en bici, Ropa de cama, Servicio de habitaciones, Proporciona factura, Alquiler de coches, Mobiliario exterior, Alquiler de bicicletas, Canguro / servicios para niños, Restaurante, Happy hour, Entretenimiento nocturno, Cambio de moneda, Menú para niños, WiFi gratis, Tobogán de agua, Piscina al aire libre, Desayuno en la habitación, Llave de acceso, Salas de reuniones / banquetes, Adaptado personas de movilidad reducida, Habitaciones familiares, Sombrillas, Papel higiénico, Fax / fotocopiadora, Suelo de baldosa / mármol, Juegos de mesa / puzles, Almuerzos para llevar, Caja fuerte, Adaptado para sillas de ruedas, Clases de cocina, TV, Masajes, Servicio de traslado, Seguridad 24 horas, Detectores de humo, Zona de pícnic, Productos de limpieza, Tours a pie, Servicio de planchado, Guardaequipaje, Terraza / solárium, Bar, Toallas, Español, Tarjetas de transporte público, Zona de fumadores, Recepción 24 horas, Inglés, Traslado aeropuerto, Perchero, Vino / champán, Piscina infinita, Snack-bar, Registro de entrada / salida privado, Servicio de conserjería, Menús para dietas especiales (bajo petición), Fruta, Ducha, Eventos deportivos en directo (emisión), Servicio de despertador, Para todas las edades, Piscina infantil, Abierta todo el año, Tumbonas/sillas de playa, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/361992078.jpg?k=ec02aaab007af3073713f04c9b462bb68f6dc2474f868bffeda8d37512da8fbe&o=&hp=1,Garzón,Colombia
Hosteria Ambeyma,https://www.booking.com/hotel/co/hosteria-ambeyma.es.html?aid=2410095,"Hosteria Ambeyma tiene jardín, terraza, restaurante y bar en Garzón. Hotel dispone de parking privado gratis y wifi gratis.

En el hotel, las habitaciones cuentan con escritorio. Todas las habitaciones del alojamiento tienen baño privado con bidet y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también cuentan con balcón. Las habitaciones tienen armario.

En Hosteria Ambeyma se puede disfrutar de un desayuno americano.

El personal de la recepción 24 horas puede ofrecer consejos sobre cómo y por dónde moverse en la zona.

El aeropuerto (Aeropuerto de Pitalito) está a 81 km.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Piscina, Recepción 24 horas, Ventilador, Baño privado, Jardín, Aire acondicionado, Armario, Parking gratis, WiFi gratis, Ducha, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Bidet, Parque acuático, Gimnasio, Escritorio, WC, Bar, Zona de comedor, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/513937781.jpg?k=0af4c0a7a786834a6065a58a08ba402fa3116ac5d37a56df040245767135fe01&o=&hp=1,Garzón,Colombia
Cabaña Familiar/La jagua Huila/Piscina y BBQ,https://www.booking.com/hotel/co/cabana-familiar-la-jagua-huila-piscina-y-bbq.es.html?aid=2410095,"Cabaña Familiar/La jagua Huila/Piscina y BBQ está en Garzón. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Esta casa o chalet tiene aire acondicionado y cuenta con 3 dormitorios, TV de pantalla plana y cocina.

El aeropuerto (Aeropuerto de Pitalito) está a 73 km.","Parking gratis, TV de pantalla plana, Lavadora, Español, Piscina, Piscina privada, Aire acondicionado, WiFi gratis, Vistas al jardín, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/519595495.jpg?k=8f3910004ba38cbcbd92b8ffc359538d46757f5d3b2d4a1c0eae09597345590d&o=&hp=1,Garzón,Colombia
La Casa de Mónyk de la P En la jagua Huila,https://www.booking.com/hotel/co/la-casa-de-monyk-de-la-p-en-la-jagua-huila.es.html?aid=2410095,"La Casa de Mónyk de la P En la jagua Huila se encuentra en Garzón. Este alojamiento ofrece piscina privada y parking privado gratis.

El alojamiento ofrece cocina.

El aeropuerto más cercano (Aeropuerto de Pitalito) está a 73 km.","Barbacoa, Parking gratis, Español, Piscina, Cocina, Inglés, Piscina privada",https://cf.bstatic.com/xdata/images/hotel/max1024x768/510821837.jpg?k=86aa3ed204b6438418e9630fb092fbc92acfc5e48782b074a1112c2f27f8bce1&o=&hp=1,Garzón,Colombia
